movieId,original,good,very funny,weird,vengeance,teen movie,fun movie,light,mentor,runaway,greed,catastrophe,predictable,drama,fight scenes,chase,melancholic,culture clash,dialogue,family,unlikely friendships,pornography,betrayal,farce,quirky,independent film,stereotypes,childhood,fantasy world,adaptation,drinking,first contact,weapons,surveillance,life philosophy,sexy,absurd,computer animation,80s,sacrifice,alter ego,awesome soundtrack,life & death,death,creativity,transformation,survival,nudity (full frontal - brief),dysfunctional family,good music,queer,prejudice,classic car,underrated,california,small town,foul language,women,mad scientist,not funny,camp,new jersey,buddy movie,writers,road movie,period piece,islam,british,multiple storylines,pulp,internet,stoner movie,nudity (topless - brief),notable nudity,doctors,hospital,addiction,irish accent,simple,alternate history,hip hop,dreams,island,nudity (rear),brothers,censorship,memory,directorial debut,wartime,indians,hotel,divorce,ensemble cast,shopping,workplace,rebellion,stand-up comedy,new york city,ghosts/afterlife,bollywood,desert,kidnapping,race,wilderness,unlikeable characters,tokyo,film noir,fashion,too long,interracial romance,blindness,los angeles,prison,radio,goth,kick-butt women,robert downey jr,texas,single father,father daughter relationship,too short,graphic novel,adoption,snakes,1930s,cancer,time,atheism,australia,no plot,immortality,trilogy,god,san francisco,finnish,remake,potential oscar nom,hunting,best of 2005,reality tv,made for tv,russian,homeless,prostitution,lawyer,wine,documentary,oil,french
Mallrats (1995),0.8102499999999999,0.768,0.931,0.7777499999999999,0.59825,0.84575,0.5235,0.8260000000000001,0.51425,0.73275,0.73275,0.4955,0.505,0.59825,0.66425,0.39125,0.4459999999999999,0.73275,0.802,0.1054999999999999,0.3632499999999999,0.6685,0.2877499999999999,0.8260000000000001,0.53275,0.72525,0.372,0.28,0.30725,0.32475,0.2279999999999999,0.24125,0.21775,0.1865,0.33275,0.4495,0.50825,0.14975,0.17175,0.1915,0.405,0.8260000000000001,0.22425,0.15675,0.245,0.2604999999999999,0.1149999999999999,0.23375,0.17725,0.2784999999999999,0.26075,0.17375,0.23175,0.46875,0.1634999999999999,0.205,0.25875,0.11025,0.10575,0.2465,0.1545,0.92025,0.32125,0.24275,0.2784999999999999,0.1297499999999999,0.10775,0.654,0.40375,0.17725,0.21125,0.65975,0.21375,0.14975,0.0837499999999999,0.0939999999999999,0.29325,0.24275,0.12075,0.2025,0.089,0.0807499999999999,0.079,0.11175,0.1475,0.1892499999999999,0.1114999999999999,0.21025,0.078,0.0765,0.1297499999999999,0.04175,0.2239999999999999,0.42525,0.14575,0.0935,0.1074999999999999,0.0595,0.08775,0.0969999999999999,0.0672499999999999,0.0529999999999999,0.0959999999999999,0.10675,0.09475,0.0999999999999999,0.10175,0.0657499999999999,0.05375,0.05525,0.11575,0.06225,0.10225,0.10875,0.135,0.0815,0.1465,0.0725,0.0195,0.31475,0.04025,0.1054999999999999,0.0409999999999999,0.04275,0.0574999999999999,0.066,0.04975,0.0747499999999999,0.0837499999999999,0.1255,0.0692499999999999,0.4409999999999999,0.1795,0.0514999999999999,0.05275,0.028,0.0645,0.03475,0.0677499999999999,0.1392499999999999,0.05975,0.08975,0.0434999999999999,0.0544999999999999,0.0265,0.0469999999999999,0.04275,0.0364999999999999,0.031
Dazed and Confused (1993),0.8127500000000001,0.92225,0.7185,0.8767499999999999,0.56725,0.983,0.74775,0.7185,0.79375,0.8580000000000001,0.62225,0.5515,0.266,0.59,0.79725,0.34375,0.8547499999999999,0.74725,0.61325,0.4585,0.9705,0.33175,0.62225,0.4157499999999999,0.7215,0.74525,0.52275,0.9635,0.25075,0.28425,0.87825,0.1825,0.21,0.1725,0.55275,0.33725,0.4475,0.4585,0.50825,0.12125,0.1967499999999999,0.96525,0.3854999999999999,0.15875,0.26775,0.3017499999999999,0.1342499999999999,0.2445,0.2425,0.92225,0.30625,0.33075,0.722,0.30825,0.42225,0.8959999999999999,0.2435,0.14875,0.0807499999999999,0.3017499999999999,0.23675,0.51025,0.17725,0.27825,0.4105,0.49875,0.1694999999999999,0.4077499999999999,0.3399999999999999,0.20625,0.12125,0.85175,0.1835,0.11775,0.1282499999999999,0.1235,0.87425,0.11225,0.1937499999999999,0.1185,0.2145,0.286,0.11625,0.0564999999999999,0.15575,0.09575,0.18325,0.265,0.14425,0.09,0.1805,0.0732499999999999,0.8147500000000001,0.14325,0.1609999999999999,0.60525,0.086,0.077,0.0817499999999999,0.05175,0.10925,0.0595,0.1185,0.1332499999999999,0.24925,0.1932499999999999,0.12125,0.1255,0.08875,0.04775,0.0767499999999999,0.1079999999999999,0.11925,0.23375,0.20575,0.06025,0.15125,0.85425,0.03775,0.0539999999999999,0.04225,0.0444999999999999,0.0747499999999999,0.0702499999999999,0.0742499999999999,0.0584999999999999,0.1947499999999999,0.05575,0.0514999999999999,0.146,0.0632499999999999,0.09975,0.0285,0.0414999999999999,0.0785,0.0192499999999999,0.0845,0.0974999999999999,0.0564999999999999,0.0494999999999999,0.0399999999999999,0.05225,0.09,0.062,0.0215,0.03825,0.0642499999999999,0.0584999999999999,0.0344999999999999
"Superweib, Das (1996)",0.80175,0.8485,0.385,0.708,0.7677499999999999,0.739,0.62125,0.4034999999999999,0.45025,0.708,0.4735,0.4722499999999999,0.729,0.708,0.516,0.26875,0.72125,0.708,0.80175,0.7669999999999999,0.3385,0.7677499999999999,0.52525,0.45725,0.3,0.2895,0.21125,0.3389999999999999,0.4815,0.44125,0.46725,0.44675,0.2534999999999999,0.3512499999999999,0.4579999999999999,0.476,0.10725,0.52525,0.1185,0.194,0.22225,0.1094999999999999,0.24825,0.24925,0.2425,0.211,0.05775,0.2015,0.305,0.11125,0.57975,0.26,0.059,0.10325,0.1485,0.20375,0.2125,0.43125,0.2209999999999999,0.29825,0.4845,0.0775,0.33525,0.395,0.1435,0.387,0.194,0.4589999999999999,0.344,0.38,0.08925,0.10575,0.03175,0.16775,0.2284999999999999,0.17225,0.14575,0.10825,0.11075,0.135,0.2827499999999999,0.1699999999999999,0.49975,0.16675,0.09625,0.09025,0.0949999999999999,0.0414999999999999,0.44675,0.23375,0.3199999999999999,0.5335,0.1139999999999999,0.1624999999999999,0.1375,0.0825,0.1574999999999999,0.156,0.10225,0.1387499999999999,0.1049999999999999,0.072,0.23225,0.0175,0.03475,0.0329999999999999,0.14925,0.2845,0.1604999999999999,0.3289999999999999,0.0554999999999999,0.10825,0.0875,0.1014999999999999,0.0484999999999999,0.0489999999999999,0.23675,0.03125,0.4599999999999999,0.04725,0.0807499999999999,0.20575,0.34225,0.0712499999999999,0.254,0.073,0.0595,0.12375,0.4215,0.0915,0.1287499999999999,0.09875,0.0725,0.1149999999999999,0.04775,0.21575,0.0227499999999999,0.0232499999999999,0.04975,0.04175,0.3705,0.04875,0.0595,0.10275,0.065,0.14675,0.007,0.076,0.03025
"Blues Brothers, The (1980)",0.8045,0.7765,0.95475,0.9605,0.6845,0.23475,0.629,0.87175,0.638,0.87175,0.7695000000000001,0.4425,0.2897499999999999,0.7695000000000001,0.83575,0.94775,0.5715,0.7695000000000001,0.59275,0.21975,0.30825,0.3369999999999999,0.4635,0.7602500000000001,0.5365,0.2827499999999999,0.21125,0.4815,0.2804999999999999,0.3824999999999999,0.4355,0.23875,0.7235,0.4235,0.32175,0.172,0.534,0.1515,0.4995,0.20925,0.186,0.68175,0.2175,0.2239999999999999,0.43425,0.268,0.14175,0.25,0.2365,0.97675,0.17775,0.24975,0.6925,0.4379999999999999,0.31475,0.213,0.3665,0.14,0.14375,0.276,0.187,0.22325,0.61225,0.1325,0.778,0.1937499999999999,0.1937499999999999,0.2574999999999999,0.1639999999999999,0.208,0.0635,0.4097499999999999,0.1995,0.09825,0.0959999999999999,0.14825,0.1905,0.2724999999999999,0.266,0.139,0.17375,0.1265,0.11625,0.0514999999999999,0.66425,0.1725,0.1292499999999999,0.1709999999999999,0.09325,0.26475,0.405,0.06225,0.21725,0.39525,0.0662499999999999,0.1267499999999999,0.10025,0.0865,0.0857499999999999,0.1397499999999999,0.2887499999999999,0.2395,0.15125,0.1295,0.05475,0.1114999999999999,0.15525,0.0424999999999999,0.2299999999999999,0.091,0.1322499999999999,0.138,0.6375,0.14825,0.03575,0.1395,0.0384999999999999,0.1405,0.0217499999999999,0.0627499999999999,0.03725,0.03175,0.0857499999999999,0.17275,0.1689999999999999,0.06075,0.217,0.08925,0.1599999999999999,0.11525,0.16725,0.1245,0.09525,0.1099999999999999,0.0394999999999999,0.0232499999999999,0.0509999999999999,0.09675,0.04725,0.03525,0.0479999999999999,0.0539999999999999,0.0635,0.06175,0.09175,0.04025,0.05025,0.0805,0.0394999999999999
Better Off Dead... (1985),0.85975,0.80575,0.9165,0.94175,0.67725,0.98275,0.6675,0.873,0.7025,0.80575,0.68425,0.6405,0.728,0.68425,0.59075,0.5995,0.68425,0.611,0.504,0.29525,0.6635,0.27325,0.29225,0.8680000000000001,0.8267500000000001,0.68425,0.56825,0.86975,0.395,0.32925,0.68425,0.1965,0.23425,0.24125,0.38325,0.27125,0.78125,0.1815,0.889,0.266,0.24775,0.68025,0.70775,0.2199999999999999,0.44725,0.31525,0.1169999999999999,0.2835,0.39675,0.63575,0.214,0.289,0.3045,0.50775,0.4715,0.34875,0.1977499999999999,0.17525,0.121,0.2324999999999999,0.209,0.2624999999999999,0.25325,0.2299999999999999,0.17975,0.2339999999999999,0.11175,0.32925,0.1535,0.212,0.148,0.5875,0.3269999999999999,0.1584999999999999,0.09775,0.16125,0.1397499999999999,0.27925,0.199,0.1599999999999999,0.0627499999999999,0.2329999999999999,0.131,0.08775,0.2827499999999999,0.16625,0.15525,0.4669999999999999,0.0632499999999999,0.27125,0.122,0.06125,0.1114999999999999,0.087,0.1485,0.217,0.08975,0.0817499999999999,0.1785,0.10125,0.18475,0.0807499999999999,0.27875,0.1277499999999999,0.10075,0.16725,0.1345,0.1154999999999999,0.0815,0.09275,0.1367499999999999,0.0655,0.10825,0.0875,0.22025,0.16075,0.0755,0.128,0.0519999999999999,0.0802499999999999,0.0359999999999999,0.05225,0.18075,0.12175,0.073,0.1044999999999999,0.2825,0.0857499999999999,0.196,0.1094999999999999,0.0852499999999999,0.1257499999999999,0.05875,0.079,0.04575,0.022,0.0705,0.0665,0.059,0.0369999999999999,0.0632499999999999,0.05425,0.069,0.072,0.05525,0.0227499999999999,0.0339999999999999,0.0524999999999999,0.1307499999999999
Pump Up the Volume (1990),0.8009999999999999,0.73975,0.39875,0.8254999999999999,0.50975,0.99525,0.721,0.39875,0.7825,0.905,0.53475,0.586,0.407,0.5745,0.665,0.4227499999999999,0.55825,0.53725,0.55825,0.2957499999999999,0.57125,0.58675,0.53475,0.144,0.3605,0.59825,0.56225,0.7802500000000001,0.38575,0.35975,0.51625,0.34275,0.23025,0.48375,0.5325,0.32925,0.211,0.2957499999999999,0.71675,0.38175,0.405,0.73975,0.2885,0.201,0.216,0.401,0.1297499999999999,0.379,0.17225,0.73975,0.32925,0.905,0.363,0.469,0.2955,0.6295,0.21025,0.216,0.172,0.3335,0.42325,0.268,0.062,0.146,0.1185,0.22675,0.4685,0.14,0.2309999999999999,0.1947499999999999,0.69975,0.3189999999999999,0.4649999999999999,0.1245,0.2524999999999999,0.15775,0.1907499999999999,0.14775,0.0782499999999999,0.16975,0.2274999999999999,0.25875,0.14425,0.148,0.0964999999999999,0.7535000000000001,0.11225,0.16125,0.0939999999999999,0.11425,0.14,0.0725,0.09275,0.1589999999999999,0.1255,0.906,0.1059999999999999,0.2012499999999999,0.1225,0.08775,0.1004999999999999,0.03675,0.156,0.0964999999999999,0.16275,0.13,0.1009999999999999,0.1425,0.0715,0.1277499999999999,0.11375,0.1124999999999999,0.11475,0.86375,0.7867500000000001,0.093,0.1024999999999999,0.0782499999999999,0.0625,0.0564999999999999,0.1074999999999999,0.10675,0.15,0.0632499999999999,0.059,0.061,0.1885,0.11425,0.0419999999999999,0.0895,0.05125,0.0434999999999999,0.11425,0.1004999999999999,0.0227499999999999,0.03725,0.11875,0.0509999999999999,0.1325,0.1195,0.0627499999999999,0.0579999999999999,0.087,0.092,0.03875,0.0232499999999999,0.0324999999999999,0.0479999999999999,0.04625
Real Genius (1985),0.8382499999999999,0.7522500000000001,0.9605,0.9165,0.62575,0.8867499999999999,0.8680000000000001,0.9605,0.9075,0.7475,0.58325,0.63,0.73975,0.58325,0.74275,0.67725,0.4305,0.58325,0.621,0.33175,0.5965,0.17875,0.3532499999999999,0.66,0.5475,0.22075,0.4165,0.867,0.65925,0.271,0.3435,0.76275,0.804,0.3532499999999999,0.59675,0.4107499999999999,0.4962499999999999,0.33175,0.8805000000000001,0.26525,0.30425,0.67325,0.51025,0.16525,0.50375,0.4375,0.67175,0.16725,0.10875,0.67325,0.1445,0.218,0.413,0.59725,0.3299999999999999,0.1965,0.136,0.15475,0.3379999999999999,0.20525,0.2015,0.21575,0.27575,0.1694999999999999,0.10575,0.1915,0.1195,0.22025,0.1332499999999999,0.2314999999999999,0.14725,0.3355,0.1619999999999999,0.09925,0.17925,0.09825,0.0687499999999999,0.13,0.1922499999999999,0.1957499999999999,0.05575,0.3055,0.17175,0.10225,0.08825,0.1564999999999999,0.31325,0.1545,0.071,0.11325,0.1185,0.0605,0.1355,0.0685,0.23175,0.156,0.0787499999999999,0.16125,0.15425,0.10525,0.1009999999999999,0.066,0.14275,0.1345,0.0847499999999999,0.14175,0.09475,0.08975,0.10375,0.03675,0.11725,0.04875,0.0845,0.2155,0.1064999999999999,0.0787499999999999,0.1922499999999999,0.0822499999999999,0.0282499999999999,0.06075,0.0389999999999999,0.08725,0.0504999999999999,0.1004999999999999,0.10075,0.0349999999999999,0.383,0.0812499999999999,0.065,0.22975,0.23725,0.0564999999999999,0.09425,0.09425,0.0464999999999999,0.0292499999999999,0.0785,0.0782499999999999,0.0389999999999999,0.03,0.09925,0.0835,0.0665,0.0389999999999999,0.0292499999999999,0.0484999999999999,0.03825,0.083,0.0334999999999999
"Nightmare on Elm Street, A (1984)",0.8965000000000001,0.7445,0.65975,0.8532500000000001,0.8560000000000001,0.95825,0.73025,0.8532500000000001,0.5225,0.8532500000000001,0.8560000000000001,0.4237499999999999,0.93675,0.63875,0.729,0.5635,0.627,0.627,0.7445,0.2845,0.2927499999999999,0.70975,0.86825,0.25775,0.42225,0.63625,0.2927499999999999,0.3884999999999999,0.58475,0.48075,0.44125,0.729,0.43425,0.54875,0.3289999999999999,0.473,0.26175,0.1639999999999999,0.747,0.3075,0.44825,0.4975,0.2987499999999999,0.74725,0.4985,0.54625,0.41425,0.26225,0.2012499999999999,0.2259999999999999,0.1877499999999999,0.18625,0.4297499999999999,0.3525,0.2815,0.38775,0.17025,0.118,0.721,0.33975,0.54425,0.293,0.1795,0.1982499999999999,0.1395,0.1357499999999999,0.1357499999999999,0.1084999999999999,0.1765,0.1885,0.1435,0.1965,0.41725,0.10475,0.18225,0.33525,0.149,0.1149999999999999,0.17575,0.1195,0.0964999999999999,0.9835,0.1594999999999999,0.06075,0.12075,0.1302499999999999,0.122,0.1372499999999999,0.0845,0.0687499999999999,0.19,0.09425,0.0672499999999999,0.0905,0.1029999999999999,0.0722499999999999,0.11775,0.1064999999999999,0.237,0.0675,0.0835,0.14275,0.0554999999999999,0.16225,0.14125,0.12325,0.1315,0.0677499999999999,0.0944999999999999,0.05075,0.18375,0.18675,0.1312499999999999,0.08925,0.212,0.0539999999999999,0.0797499999999999,0.1385,0.0252499999999999,0.04925,0.03425,0.12375,0.0652499999999999,0.3419999999999999,0.08775,0.0832499999999999,0.1285,0.0752499999999999,0.06,0.0792499999999999,0.1725,0.208,0.0752499999999999,0.0845,0.0424999999999999,0.1099999999999999,0.067,0.2345,0.09825,0.1185,0.0657499999999999,0.04975,0.076,0.062,0.0469999999999999,0.03625,0.02975,0.03925,0.04125
Young Guns (1988),0.8972500000000001,0.7562500000000001,0.51225,0.656,0.8972500000000001,0.53025,0.676,0.51225,0.95475,0.6295,0.7742500000000001,0.561,0.4782499999999999,0.5945,0.8260000000000001,0.8260000000000001,0.41625,0.54,0.55775,0.64775,0.62225,0.28925,0.7742500000000001,0.1302499999999999,0.18025,0.25775,0.33275,0.64775,0.388,0.31775,0.2885,0.25625,0.8260000000000001,0.5035,0.37625,0.1297499999999999,0.12025,0.64775,0.53725,0.5485,0.2684999999999999,0.42,0.399,0.35575,0.2684999999999999,0.25475,0.2455,0.25625,0.136,0.23425,0.16325,0.3804999999999999,0.4115,0.3764999999999999,0.2965,0.2274999999999999,0.3107499999999999,0.12425,0.0974999999999999,0.3435,0.1907499999999999,0.174,0.31975,0.124,0.1285,0.69025,0.56775,0.141,0.26325,0.25175,0.1907499999999999,0.15775,0.48675,0.1985,0.1679999999999999,0.1674999999999999,0.0954999999999999,0.3189999999999999,0.15325,0.276,0.083,0.085,0.09925,0.259,0.17325,0.11225,0.1669999999999999,0.0792499999999999,0.2877499999999999,0.428,0.1337499999999999,0.0939999999999999,0.2249999999999999,0.0847499999999999,0.088,0.1347499999999999,0.0857499999999999,0.20875,0.14275,0.0675,0.24775,0.1362499999999999,0.2017499999999999,0.0802499999999999,0.068,0.083,0.0939999999999999,0.03525,0.10575,0.059,0.15775,0.1579999999999999,0.14475,0.0514999999999999,0.10575,0.0847499999999999,0.0827499999999999,0.288,0.0999999999999999,0.03225,0.0765,0.068,0.0735,0.0635,0.076,0.1795,0.18225,0.0672499999999999,0.072,0.0682499999999999,0.08775,0.1149999999999999,0.03725,0.09925,0.05825,0.0625,0.147,0.1634999999999999,0.0464999999999999,0.05375,0.09725,0.0765,0.06175,0.0549999999999999,0.3462499999999999,0.031,0.0349999999999999,0.0514999999999999,0.03775
Scream (1996),0.8322499999999999,0.817,0.8587499999999999,0.817,0.8334999999999999,0.96525,0.8585,0.44175,0.504,0.59825,0.794,0.545,0.5555,0.6275,0.518,0.592,0.46025,0.537,0.51375,0.362,0.3065,0.31775,0.70325,0.8587499999999999,0.4024999999999999,0.30725,0.53575,0.34175,0.255,0.38,0.31125,0.23575,0.2987499999999999,0.5035,0.26275,0.3512499999999999,0.4972499999999999,0.17775,0.3944999999999999,0.3209999999999999,0.3535,0.2355,0.189,0.59475,0.482,0.34075,0.38175,0.22775,0.206,0.17375,0.2355,0.1927499999999999,0.16625,0.277,0.395,0.8527499999999999,0.299,0.142,0.26625,0.2194999999999999,0.29625,0.24475,0.308,0.2269999999999999,0.10375,0.1405,0.1255,0.10775,0.198,0.14825,0.1525,0.1175,0.1375,0.11375,0.1937499999999999,0.26925,0.155,0.1245,0.15025,0.1235,0.14425,0.1257499999999999,0.14675,0.0657499999999999,0.10025,0.22125,0.0667499999999999,0.1235,0.068,0.08775,0.1312499999999999,0.10825,0.16575,0.0772499999999999,0.1322499999999999,0.04375,0.08775,0.0742499999999999,0.0964999999999999,0.0752499999999999,0.05225,0.067,0.067,0.10725,0.16775,0.0697499999999999,0.09675,0.14275,0.0765,0.0702499999999999,0.17825,0.0509999999999999,0.1149999999999999,0.1387499999999999,0.208,0.0534999999999999,0.0852499999999999,0.16975,0.03825,0.03925,0.05275,0.0747499999999999,0.05725,0.1634999999999999,0.0857499999999999,0.09325,0.0464999999999999,0.05375,0.0584999999999999,0.10725,0.05875,0.198,0.0454999999999999,0.06225,0.03125,0.0479999999999999,0.1257499999999999,0.0865,0.0554999999999999,0.181,0.05375,0.06025,0.05675,0.0369999999999999,0.0812499999999999,0.0484999999999999,0.03,0.03625,0.03475
