movieId,drama,melancholic,original,greed,culture clash,weird,independent film,good,runaway,life & death,vengeance,drinking,unlikely friendships,mentor,dialogue,pornography,life philosophy,dysfunctional family,quirky,death,betrayal,catastrophe,adaptation,childhood,light,hospital,family,sacrifice,prejudice,addiction,cancer,very funny,writers,queer,teen movie,creativity,not funny,nudity (full frontal - brief),transformation,women,small town,doctors,predictable,good music,sexy,surveillance,dreams,absurd,islam,nudity (topless - brief),divorce,fantasy world,british,stereotypes,chase,multiple storylines,classic car,underrated,road movie,first contact,fight scenes,new jersey,awesome soundtrack,survival,irish accent,period piece,fun movie,california,alter ego,simple,memory,workplace,brothers,film noir,censorship,adoption,weapons,directorial debut,tokyo,bollywood,father daughter relationship,hotel,foul language,computer animation,blindness,atheism,potential oscar nom,single father,too long,farce,prison,homeless,wilderness,wartime,stoner movie,texas,best of 2005,new york city,ensemble cast,stand-up comedy,interracial romance,1930s,god,pulp,rebellion,alternate history,internet,indians,documentary,race,wine,80s,hunting,lawyer,prostitution,mad scientist,nudity (rear),camp,australia,unlikeable characters,radio,immortality,french,made for tv,island,hip hop,notable nudity,los angeles,ghosts/afterlife,goth,finnish,russian,shopping,robert downey jr,san francisco,reality tv,oil,kick-butt women,desert,graphic novel,kidnapping,no plot,buddy movie,snakes,time,fashion,trilogy,too short,remake
Leaving Las Vegas (1995),0.93525,0.97725,0.912,0.93525,0.93525,0.97725,0.912,0.8925000000000001,0.93525,0.8015000000000001,0.78575,0.97825,0.8480000000000001,0.4882499999999999,0.5815,0.8145,0.53275,0.3685,0.6555,0.8174999999999999,0.69,0.4257499999999999,0.57025,0.09925,0.508,0.22275,0.11925,0.2654999999999999,0.1967499999999999,0.8745,0.41825,0.2875,0.38975,0.28025,0.10775,0.1372499999999999,0.35175,0.4405,0.32825,0.13,0.1267499999999999,0.1397499999999999,0.3492499999999999,0.54575,0.4277499999999999,0.3065,0.1905,0.3605,0.076,0.27125,0.1205,0.27325,0.22775,0.153,0.21325,0.40075,0.17225,0.35175,0.26275,0.1972499999999999,0.2375,0.18575,0.54575,0.1292499999999999,0.3097499999999999,0.09275,0.1619999999999999,0.2095,0.4054999999999999,0.12275,0.1262499999999999,0.091,0.10375,0.24525,0.1684999999999999,0.0755,0.16075,0.151,0.0989999999999999,0.1044999999999999,0.05375,0.3502499999999999,0.1375,0.11825,0.1415,0.09575,0.17925,0.0272499999999999,0.1312499999999999,0.1014999999999999,0.11325,0.17675,0.11775,0.0752499999999999,0.148,0.076,0.10175,0.0765,0.0755,0.0717499999999999,0.09925,0.066,0.0682499999999999,0.173,0.0579999999999999,0.0817499999999999,0.09325,0.0655,0.0519999999999999,0.078,0.1215,0.08675,0.05625,0.0285,0.7275,0.0745,0.12475,0.0672499999999999,0.0489999999999999,0.2284999999999999,0.0479999999999999,0.04525,0.0344999999999999,0.0529999999999999,0.04925,0.1014999999999999,0.1405,0.583,0.077,0.178,0.04675,0.0767499999999999,0.073,0.16125,0.0469999999999999,0.1159999999999999,0.0459999999999999,0.0554999999999999,0.078,0.1039999999999999,0.0404999999999999,0.04125,0.15975,0.0812499999999999,0.0202499999999999,0.0329999999999999,0.0419999999999999,0.02975,0.0185
Dead Man Walking (1995),0.95925,0.7625,0.919,0.95925,0.95925,0.7475,0.90825,0.919,0.95925,0.92,0.8200000000000001,0.7165,0.577,0.63925,0.55925,0.7355,0.40925,0.4287499999999999,0.32225,0.974,0.8995,0.477,0.9375,0.1875,0.24025,0.28125,0.388,0.26525,0.51475,0.25675,0.3095,0.2917499999999999,0.22775,0.2339999999999999,0.1765,0.20675,0.3715,0.39775,0.25475,0.2065,0.146,0.1425,0.20975,0.4297499999999999,0.184,0.25225,0.0979999999999999,0.1684999999999999,0.3705,0.0935,0.0857499999999999,0.1877499999999999,0.264,0.2189999999999999,0.2465,0.1805,0.2405,0.31975,0.1282499999999999,0.1945,0.1887499999999999,0.1397499999999999,0.136,0.1955,0.23225,0.144,0.18625,0.084,0.14925,0.1109999999999999,0.07,0.0785,0.2455,0.126,0.7355,0.1897499999999999,0.12025,0.1267499999999999,0.0767499999999999,0.14275,0.1387499999999999,0.10775,0.1972499999999999,0.144,0.1659999999999999,0.4095,0.129,0.0949999999999999,0.143,0.06075,0.668,0.11475,0.1402499999999999,0.20875,0.1375,0.0747499999999999,0.1114999999999999,0.072,0.0807499999999999,0.1405,0.10975,0.1365,0.4625,0.09125,0.0702499999999999,0.0979999999999999,0.0802499999999999,0.088,0.0817499999999999,0.16375,0.03375,0.06075,0.0509999999999999,0.7185,0.0667499999999999,0.072,0.06225,0.0702499999999999,0.06075,0.071,0.0474999999999999,0.0359999999999999,0.0364999999999999,0.1515,0.0795,0.11275,0.192,0.0469999999999999,0.072,0.03725,0.04825,0.05575,0.024,0.0969999999999999,0.0454999999999999,0.18575,0.0645,0.0745,0.0277499999999999,0.1084999999999999,0.0752499999999999,0.0504999999999999,0.0974999999999999,0.05075,0.03275,0.04525,0.0344999999999999,0.0742499999999999,0.0202499999999999
Antonia's Line (Antonia) (1995),0.6765,0.9955,0.9955,0.87225,0.73,0.9955,0.63825,0.58175,0.8200000000000001,0.76875,0.588,0.60325,0.6925,0.471,0.87225,0.55475,0.626,0.8095000000000001,0.54475,0.4805,0.206,0.47875,0.512,0.3235,0.35875,0.187,0.2947499999999999,0.392,0.5915,0.11825,0.1755,0.2945,0.4,0.28,0.16025,0.26625,0.29625,0.34775,0.47975,0.9355,0.3445,0.10775,0.1855,0.27025,0.3037499999999999,0.1272499999999999,0.1225,0.2334999999999999,0.37275,0.192,0.25525,0.42025,0.28,0.44025,0.237,0.2945,0.31525,0.296,0.145,0.1897499999999999,0.2022499999999999,0.16375,0.2155,0.32925,0.20375,0.18325,0.1957499999999999,0.1255,0.0832499999999999,0.1922499999999999,0.12175,0.3107499999999999,0.0722499999999999,0.0767499999999999,0.619,0.564,0.15275,0.0949999999999999,0.2125,0.0984999999999999,0.2299999999999999,0.11425,0.0514999999999999,0.149,0.10975,0.2594999999999999,0.0847499999999999,0.0777499999999999,0.08775,0.2334999999999999,0.0815,0.05375,0.09225,0.3135,0.0742499999999999,0.06225,0.10475,0.063,0.172,0.0782499999999999,0.2189999999999999,0.11175,0.217,0.21625,0.09925,0.1129999999999999,0.1089999999999999,0.08675,0.1079999999999999,0.1689999999999999,0.1054999999999999,0.10475,0.0625,0.04025,0.0732499999999999,0.0787499999999999,0.2224999999999999,0.12475,0.14425,0.1034999999999999,0.03575,0.0677499999999999,0.09175,0.0805,0.185,0.0409999999999999,0.2239999999999999,0.04025,0.3409999999999999,0.0534999999999999,0.269,0.118,0.059,0.071,0.0504999999999999,0.0797499999999999,0.0969999999999999,0.11925,0.1014999999999999,0.0479999999999999,0.0549999999999999,0.0394999999999999,0.03425,0.0424999999999999,0.0554999999999999,0.0489999999999999,0.14775,0.03875,0.0125
"Young Poisoner's Handbook, The (1995)",0.671,0.749,0.83525,0.83525,0.749,0.83525,0.83525,0.51575,0.72475,0.6,0.8225,0.72475,0.47375,0.94275,0.72475,0.83525,0.3265,0.58025,0.8322499999999999,0.5175,0.8585,0.42525,0.498,0.48475,0.4615,0.562,0.1935,0.16275,0.25125,0.31625,0.0727499999999999,0.64275,0.15525,0.274,0.52225,0.258,0.3055,0.3289999999999999,0.3057499999999999,0.3007499999999999,0.18275,0.33775,0.2005,0.14375,0.23475,0.251,0.1992499999999999,0.3159999999999999,0.257,0.44725,0.068,0.3555,0.51025,0.26425,0.1967499999999999,0.1897499999999999,0.306,0.4992499999999999,0.2015,0.1967499999999999,0.4115,0.20825,0.14375,0.0737499999999999,0.1902499999999999,0.4285,0.19,0.2734999999999999,0.18675,0.1079999999999999,0.2015,0.2165,0.4385,0.27675,0.207,0.2284999999999999,0.23775,0.2324999999999999,0.237,0.1624999999999999,0.1109999999999999,0.16425,0.21025,0.1714999999999999,0.198,0.08625,0.063,0.0637499999999999,0.1004999999999999,0.40225,0.382,0.09125,0.1505,0.14475,0.41525,0.082,0.1917499999999999,0.087,0.04575,0.10225,0.0459999999999999,0.0974999999999999,0.0722499999999999,0.1704999999999999,0.1955,0.08875,0.0727499999999999,0.0682499999999999,0.10075,0.0865,0.077,0.1345,0.0484999999999999,0.06025,0.118,0.25475,0.17175,0.22375,0.149,0.0827499999999999,0.0499999999999999,0.0449999999999999,0.1149999999999999,0.1195,0.0615,0.09575,0.09025,0.05025,0.03775,0.1382499999999999,0.03375,0.0685,0.0359999999999999,0.0915,0.04775,0.0554999999999999,0.021,0.10875,0.0409999999999999,0.3097499999999999,0.1405,0.05825,0.0379999999999999,0.0222499999999999,0.0384999999999999,0.17425,0.0479999999999999,0.021,0.0207499999999999
Once Were Warriors (1994),0.918,0.8162499999999999,0.97725,0.918,0.918,0.885,0.8687499999999999,0.8647499999999999,0.918,0.861,0.97725,0.82775,0.46775,0.6355,0.548,0.885,0.3722499999999999,0.8362499999999999,0.4405,0.384,0.94225,0.47675,0.54075,0.414,0.25975,0.2095,0.61025,0.6525,0.4575,0.39375,0.185,0.3375,0.22075,0.2209999999999999,0.181,0.18,0.381,0.3662499999999999,0.34775,0.30425,0.1745,0.1385,0.32575,0.3325,0.2495,0.679,0.0974999999999999,0.15675,0.27925,0.26575,0.15975,0.27175,0.3135,0.3175,0.25875,0.2927499999999999,0.3475,0.35575,0.1395,0.32575,0.3235,0.15475,0.3325,0.23175,0.26425,0.195,0.1659999999999999,0.147,0.25025,0.1059999999999999,0.1159999999999999,0.10775,0.25325,0.10625,0.2095,0.189,0.40025,0.1312499999999999,0.192,0.25475,0.1302499999999999,0.08625,0.2219999999999999,0.4125,0.14875,0.1932499999999999,0.16325,0.1109999999999999,0.201,0.0949999999999999,0.129,0.2574999999999999,0.1302499999999999,0.1054999999999999,0.08,0.064,0.26975,0.05625,0.1599999999999999,0.1079999999999999,0.1604999999999999,0.083,0.0954999999999999,0.1877499999999999,0.26425,0.10925,0.1307499999999999,0.24425,0.11175,0.1977499999999999,0.05325,0.04675,0.0745,0.05325,0.06125,0.0797499999999999,0.1004999999999999,0.0652499999999999,0.33075,0.083,0.0245,0.027,0.0615,0.0857499999999999,0.14475,0.21325,0.12125,0.11075,0.03825,0.09025,0.0737499999999999,0.09025,0.0182499999999999,0.0775,0.04525,0.17175,0.08925,0.1175,0.0584999999999999,0.38775,0.0732499999999999,0.05775,0.04475,0.04925,0.028,0.04175,0.088,0.0449999999999999,0.015
What's Eating Gilbert Grape (1993),0.94075,0.93775,0.94075,0.7625,0.94075,0.6675,0.80725,0.94075,0.7625,0.626,0.7625,0.6115,0.93775,0.6455,0.4755,0.2465,0.41625,0.966,0.7495,0.28325,0.3542499999999999,0.4399999999999999,0.79975,0.282,0.2624999999999999,0.20475,0.63975,0.23475,0.4067499999999999,0.29725,0.2085,0.26275,0.24575,0.28925,0.263,0.20825,0.3415,0.1962499999999999,0.257,0.16925,0.97925,0.27775,0.216,0.2022499999999999,0.1714999999999999,0.122,0.2254999999999999,0.1659999999999999,0.11125,0.1302499999999999,0.0755,0.25725,0.1902499999999999,0.2299999999999999,0.1669999999999999,0.16875,0.23775,0.41625,0.21625,0.16225,0.18225,0.36075,0.146,0.06225,0.196,0.15225,0.17975,0.1755,0.1372499999999999,0.1935,0.082,0.1079999999999999,0.681,0.088,0.0707499999999999,0.27625,0.137,0.1579999999999999,0.09475,0.1877499999999999,0.14125,0.138,0.10625,0.1235,0.1109999999999999,0.14525,0.123,0.15725,0.074,0.05875,0.11325,0.1175,0.09225,0.078,0.08675,0.3864999999999999,0.0767499999999999,0.04875,0.22375,0.0787499999999999,0.1175,0.062,0.0544999999999999,0.10575,0.1405,0.09325,0.05325,0.082,0.0519999999999999,0.1039999999999999,0.0429999999999999,0.03625,0.068,0.059,0.03425,0.10725,0.0715,0.0747499999999999,0.093,0.10225,0.0855,0.0359999999999999,0.03675,0.12225,0.03625,0.04525,0.12,0.03525,0.0755,0.10175,0.06125,0.0379999999999999,0.04475,0.11275,0.0489999999999999,0.0885,0.0792499999999999,0.0519999999999999,0.0319999999999999,0.0215,0.023,0.063,0.0885,0.04275,0.0364999999999999,0.0255,0.027,0.0285,0.019
Fearless (1993),0.90175,0.929,0.71225,0.92975,0.7662500000000001,0.929,0.90175,0.7662500000000001,0.7662500000000001,0.985,0.6465,0.90175,0.698,0.58025,0.48675,0.45225,0.64675,0.301,0.3179999999999999,0.9845,0.29,0.59325,0.3045,0.266,0.3055,0.58425,0.2209999999999999,0.31525,0.254,0.558,0.70025,0.26,0.195,0.18025,0.1139999999999999,0.296,0.357,0.27025,0.51475,0.125,0.2075,0.17675,0.3585,0.1649999999999999,0.13,0.1392499999999999,0.149,0.31325,0.1049999999999999,0.11925,0.091,0.248,0.11325,0.0999999999999999,0.2865,0.177,0.1579999999999999,0.4755,0.198,0.31875,0.25975,0.2199999999999999,0.1395,0.431,0.1624999999999999,0.08,0.16825,0.2664999999999999,0.23675,0.16225,0.4107499999999999,0.278,0.0797499999999999,0.09375,0.0657499999999999,0.15825,0.1584999999999999,0.0954999999999999,0.15175,0.05875,0.1059999999999999,0.1282499999999999,0.072,0.1367499999999999,0.11175,0.16375,0.1029999999999999,0.05675,0.1287499999999999,0.073,0.0885,0.1415,0.10075,0.0647499999999999,0.16775,0.0855,0.0825,0.09775,0.10225,0.08,0.0384999999999999,0.05925,0.33775,0.1285,0.05375,0.0842499999999999,0.09,0.05125,0.0369999999999999,0.0469999999999999,0.0379999999999999,0.05375,0.10725,0.28025,0.04375,0.11075,0.09225,0.0745,0.10525,0.22025,0.06,0.7517499999999999,0.0389999999999999,0.0717499999999999,0.079,0.0672499999999999,0.0687499999999999,0.0697499999999999,0.3219999999999999,0.03125,0.0632499999999999,0.0384999999999999,0.0984999999999999,0.11025,0.3155,0.0812499999999999,0.0429999999999999,0.0767499999999999,0.15575,0.0255,0.03125,0.05225,0.05475,0.075,0.0825,0.05675,0.0815,0.0237499999999999,0.0215
Philadelphia (1993),0.9775,0.8680000000000001,0.9705,0.9705,0.9635,0.82925,0.91375,0.9705,0.9565,0.91375,0.90775,0.53025,0.9125,0.8365,0.5395,0.5995,0.4665,0.54875,0.1485,0.79375,0.577,0.7665,0.44675,0.2,0.32225,0.55475,0.54225,0.7905,0.7985,0.3155,0.741,0.291,0.2185,0.98175,0.49975,0.24275,0.4077499999999999,0.40625,0.36175,0.22325,0.1714999999999999,0.3565,0.31025,0.42525,0.27075,0.27175,0.1009999999999999,0.136,0.50375,0.1785,0.143,0.203,0.2224999999999999,0.7175,0.279,0.304,0.2022499999999999,0.32675,0.10875,0.281,0.2284999999999999,0.311,0.42525,0.27875,0.3195,0.392,0.2475,0.126,0.195,0.16475,0.11025,0.2935,0.21925,0.074,0.4615,0.1257499999999999,0.14925,0.1044999999999999,0.09125,0.22625,0.09525,0.1525,0.14,0.1569999999999999,0.1674999999999999,0.2105,0.14625,0.203,0.2022499999999999,0.0632499999999999,0.1185,0.1317499999999999,0.0847499999999999,0.35,0.0852499999999999,0.074,0.2027499999999999,0.1049999999999999,0.1287499999999999,0.0939999999999999,0.1825,0.1205,0.1435,0.0695,0.0757499999999999,0.36075,0.1144999999999999,0.0999999999999999,0.0429999999999999,0.16975,0.02975,0.57875,0.0479999999999999,0.95325,0.04625,0.09,0.0665,0.09625,0.0344999999999999,0.03725,0.14275,0.0727499999999999,0.04025,0.0984999999999999,0.0742499999999999,0.07,0.11475,0.10025,0.148,0.03075,0.02,0.05375,0.1029999999999999,0.14725,0.1245,0.174,0.0474999999999999,0.06075,0.0292499999999999,0.0539999999999999,0.0242499999999999,0.0479999999999999,0.0685,0.06175,0.0682499999999999,0.0559999999999999,0.0499999999999999,0.0637499999999999,0.064
East of Eden (1955),0.9515,0.74675,0.9115,0.9515,0.9115,0.85625,0.8925000000000001,0.88375,0.9115,0.5365,0.9115,0.8925000000000001,0.4715,0.65625,0.74675,0.503,0.2724999999999999,0.71,0.25,0.51225,0.4952499999999999,0.4365,0.97925,0.35,0.62225,0.1619999999999999,0.45925,0.3245,0.4565,0.178,0.118,0.27675,0.26325,0.2574999999999999,0.26275,0.1882499999999999,0.3824999999999999,0.2604999999999999,0.41225,0.18725,0.3067499999999999,0.1312499999999999,0.2015,0.2319999999999999,0.186,0.2644999999999999,0.1579999999999999,0.2329999999999999,0.2345,0.1985,0.11375,0.44525,0.2035,0.2224999999999999,0.3235,0.17825,0.25575,0.31025,0.139,0.22825,0.243,0.0802499999999999,0.136,0.0787499999999999,0.2145,0.405,0.1795,0.5245,0.241,0.1387499999999999,0.1287499999999999,0.05175,0.76725,0.491,0.18375,0.14875,0.15175,0.18125,0.088,0.2155,0.18625,0.14325,0.12275,0.14125,0.146,0.09275,0.09775,0.6,0.26625,0.2329999999999999,0.09825,0.0374999999999999,0.0692499999999999,0.3265,0.11725,0.1292499999999999,0.14575,0.0652499999999999,0.1104999999999999,0.11475,0.1302499999999999,0.1972499999999999,0.267,0.09275,0.53125,0.1119999999999999,0.0662499999999999,0.18,0.05025,0.0687499999999999,0.0979999999999999,0.0534999999999999,0.09525,0.0989999999999999,0.0959999999999999,0.11625,0.06025,0.08725,0.0489999999999999,0.0605,0.0235,0.1475,0.0434999999999999,0.1927499999999999,0.0655,0.0379999999999999,0.0675,0.05475,0.024,0.0885,0.04175,0.0832499999999999,0.03025,0.0747499999999999,0.0777499999999999,0.05475,0.05925,0.0569999999999999,0.05025,0.02975,0.0275,0.0549999999999999,0.03125,0.0705,0.0584999999999999,0.0627499999999999,0.1029999999999999,0.03275,0.029
Cat on a Hot Tin Roof (1958),0.99125,0.9575,0.9575,0.9575,0.91775,0.8552500000000001,0.924,0.91775,0.91025,0.42425,0.72525,0.924,0.51575,0.56675,0.74575,0.50125,0.3155,0.9165,0.2714999999999999,0.708,0.61525,0.46625,0.66775,0.3595,0.8552500000000001,0.3215,0.73925,0.1922499999999999,0.41425,0.33475,0.8367500000000001,0.2674999999999999,0.26125,0.38225,0.1149999999999999,0.2022499999999999,0.3515,0.262,0.45375,0.2135,0.1634999999999999,0.33575,0.2224999999999999,0.1855,0.58425,0.2385,0.16775,0.594,0.25725,0.2825,0.669,0.17725,0.276,0.3355,0.2284999999999999,0.24575,0.127,0.30725,0.0845,0.2224999999999999,0.16725,0.0825,0.0949999999999999,0.1262499999999999,0.1887499999999999,0.44025,0.32275,0.2025,0.25775,0.129,0.09425,0.192,0.25825,0.47775,0.8847499999999999,0.21075,0.1985,0.16325,0.09425,0.16625,0.188,0.3472499999999999,0.0722499999999999,0.1664999999999999,0.1475,0.14625,0.0752499999999999,0.11025,0.188,0.3285,0.09375,0.0314999999999999,0.0642499999999999,0.09925,0.0765,0.12325,0.19,0.1277499999999999,0.4117499999999999,0.1119999999999999,0.374,0.22525,0.09175,0.09975,0.0812499999999999,0.1495,0.1272499999999999,0.10375,0.065,0.14175,0.0504999999999999,0.064,0.0767499999999999,0.3814999999999999,0.1034999999999999,0.15825,0.06125,0.0852499999999999,0.0272499999999999,0.1634999999999999,0.083,0.081,0.0632499999999999,0.145,0.0954999999999999,0.03325,0.085,0.0615,0.0559999999999999,0.04875,0.0222499999999999,0.0479999999999999,0.0175,0.10925,0.136,0.093,0.10325,0.0715,0.04825,0.0394999999999999,0.0384999999999999,0.067,0.10175,0.10125,0.0252499999999999,0.0989999999999999,0.0257499999999999,0.0257499999999999,0.04925
