movieId,fight scenes,chase,good,weird,original,weapons,first contact,catastrophe,predictable,greed,vengeance,dialogue,drama,surveillance,mentor,fantasy world,culture clash,runaway,light,fun movie,sacrifice,survival,alter ego,melancholic,betrayal,very funny,adaptation,awesome soundtrack,family,pornography,life & death,islam,independent film,unlikely friendships,computer animation,mad scientist,trilogy,transformation,childhood,life philosophy,creativity,prejudice,wartime,good music,teen movie,not funny,death,drinking,too long,period piece,stereotypes,dysfunctional family,absurd,graphic novel,classic car,immortality,underrated,rebellion,british,alternate history,sexy,ensemble cast,quirky,80s,simple,pulp,multiple storylines,desert,tokyo,nudity (full frontal - brief),island,too short,irish accent,california,robert downey jr,farce,ghosts/afterlife,queer,internet,camp,best of 2005,doctors,brothers,foul language,snakes,memory,writers,time,race,no plot,women,indians,father daughter relationship,hospital,new jersey,new york city,dreams,prison,film noir,hotel,buddy movie,1930s,god,road movie,nudity (topless - brief),small town,san francisco,bollywood,blindness,unlikeable characters,censorship,atheism,nudity (rear),oil,hip hop,directorial debut,kidnapping,kick-butt women,remake,cancer,wilderness,divorce,hunting,addiction,interracial romance,made for tv,russian,fashion,goth,notable nudity,reality tv,stand-up comedy,los angeles,workplace,single father,stoner movie,radio,adoption,australia,shopping,potential oscar nom,wine,texas,documentary,homeless,french,prostitution,finnish,lawyer
Star Wars: Episode IV - A New Hope (1977),0.9685,0.92125,0.97975,0.97975,0.97975,0.91475,0.99725,0.8314999999999999,0.94775,0.97975,0.86575,0.9185,0.97975,0.92125,0.8700000000000001,0.9785,0.97975,0.935,0.8865000000000001,0.92125,0.84125,0.97375,0.424,0.9185,0.44875,0.8727499999999999,0.4347499999999999,0.8585,0.50725,0.71925,0.8520000000000001,0.84125,0.71925,0.62475,0.63275,0.8425,0.98225,0.502,0.75075,0.4044999999999999,0.54125,0.44475,0.84125,0.756,0.55575,0.37725,0.4885,0.41225,0.33525,0.4555,0.16825,0.4985,0.17275,0.029,0.346,0.2845,0.2917499999999999,0.98,0.3419999999999999,0.277,0.23225,0.17525,0.239,0.7555000000000001,0.3934999999999999,0.34975,0.23975,0.89425,0.29025,0.26725,0.20675,0.1159999999999999,0.2524999999999999,0.21825,0.0379999999999999,0.15775,0.10825,0.1639999999999999,0.24575,0.247,0.14525,0.1327499999999999,0.1365,0.0969999999999999,0.3515,0.26275,0.1397499999999999,0.49775,0.16125,0.1119999999999999,0.0765,0.25925,0.0762499999999999,0.04275,0.09825,0.05175,0.31975,0.09825,0.3229999999999999,0.09775,0.16575,0.3149999999999999,0.247,0.124,0.0825,0.15775,0.08775,0.176,0.0875,0.0379999999999999,0.09275,0.247,0.0379999999999999,0.175,0.0277499999999999,0.1094999999999999,0.0662499999999999,0.0652499999999999,0.022,0.0685,0.0792499999999999,0.06225,0.0765,0.067,0.0852499999999999,0.1392499999999999,0.0944999999999999,0.03025,0.03625,0.04125,0.0212499999999999,0.0645,0.0539999999999999,0.0439999999999999,0.0389999999999999,0.09475,0.1257499999999999,0.0429999999999999,0.079,0.04425,0.0257499999999999,0.04075,0.06125,0.0319999999999999,0.03025,0.04175,0.0399999999999999,0.0225,0.025
Jurassic Park (1993),0.98925,0.952,0.94375,0.92525,0.92525,0.952,0.98925,0.97825,0.97825,0.92525,0.92525,0.7642500000000001,0.8752500000000001,0.947,0.69025,0.8247500000000001,0.7095,0.8752500000000001,0.7662500000000001,0.94375,0.602,0.7822499999999999,0.40075,0.658,0.3542499999999999,0.61125,0.901,0.54125,0.8787499999999999,0.40225,0.8065,0.3409999999999999,0.59025,0.4195,0.8787499999999999,0.955,0.48475,0.4465,0.8787499999999999,0.713,0.6785,0.42325,0.18225,0.3784999999999999,0.2855,0.395,0.4255,0.2329999999999999,0.16525,0.3409999999999999,0.2244999999999999,0.3005,0.1332499999999999,0.089,0.33125,0.31025,0.3209999999999999,0.1594999999999999,0.1599999999999999,0.4,0.14675,0.1975,0.2035,0.38875,0.372,0.20975,0.29925,0.33275,0.148,0.18225,0.8320000000000001,0.1124999999999999,0.15725,0.2395,0.03,0.0989999999999999,0.40075,0.1337499999999999,0.1815,0.17225,0.1495,0.53775,0.10125,0.2704999999999999,0.43825,0.2015,0.0994999999999999,0.59675,0.15825,0.0837499999999999,0.1014999999999999,0.25675,0.0559999999999999,0.1267499999999999,0.11275,0.1024999999999999,0.24775,0.09425,0.0847499999999999,0.1392499999999999,0.1689999999999999,0.1345,0.22775,0.1044999999999999,0.1084999999999999,0.1629999999999999,0.1049999999999999,0.0635,0.138,0.03425,0.10225,0.11975,0.0665,0.1387499999999999,0.0514999999999999,0.0857499999999999,0.069,0.03675,0.0434999999999999,0.1149999999999999,0.1302499999999999,0.1845,0.18575,0.0584999999999999,0.0775,0.0685,0.05425,0.0702499999999999,0.04525,0.0697499999999999,0.03875,0.0915,0.0579999999999999,0.0479999999999999,0.081,0.09775,0.10575,0.11125,0.04575,0.09475,0.03725,0.0314999999999999,0.0632499999999999,0.024,0.0529999999999999,0.04075,0.0257499999999999,0.0222499999999999,0.146
Terminator 2: Judgment Day (1991),0.98575,0.98575,0.9555,0.9555,0.9555,0.98575,0.99275,0.914,0.8507499999999999,0.9555,0.8892500000000001,0.9175,0.9555,0.90325,0.737,0.6055,0.9555,0.8365,0.841,0.73525,0.6455,0.975,0.503,0.7709999999999999,0.8075000000000001,0.841,0.3325,0.8420000000000001,0.309,0.8892500000000001,0.62525,0.3235,0.43325,0.32925,0.4245,0.871,0.6285,0.4905,0.5415,0.4475,0.47875,0.26625,0.146,0.4865,0.29,0.4177499999999999,0.2445,0.54125,0.18425,0.22825,0.1917499999999999,0.4137499999999999,0.151,0.1765,0.4525,0.382,0.38925,0.3774999999999999,0.1709999999999999,0.2385,0.3695,0.1164999999999999,0.175,0.733,0.25875,0.22175,0.23175,0.44675,0.31825,0.291,0.272,0.0725,0.16625,0.48475,0.04075,0.18175,0.0847499999999999,0.156,0.17275,0.125,0.0807499999999999,0.1947499999999999,0.09775,0.55475,0.26825,0.3047499999999999,0.0939999999999999,0.5995,0.1905,0.10925,0.0994999999999999,0.3225,0.0785,0.1654999999999999,0.1119999999999999,0.08875,0.14675,0.1099999999999999,0.1649999999999999,0.09875,0.23625,0.0974999999999999,0.145,0.18475,0.1694999999999999,0.1962499999999999,0.09225,0.0974999999999999,0.1277499999999999,0.0767499999999999,0.1927499999999999,0.0777499999999999,0.0765,0.1397499999999999,0.04875,0.11425,0.1382499999999999,0.1569999999999999,0.05075,0.078,0.12475,0.1054999999999999,0.2554999999999999,0.05825,0.126,0.067,0.05875,0.05975,0.028,0.0692499999999999,0.0474999999999999,0.073,0.2664999999999999,0.05975,0.05125,0.10275,0.027,0.0852499999999999,0.0807499999999999,0.09525,0.0429999999999999,0.0384999999999999,0.1159999999999999,0.0267499999999999,0.04775,0.0524999999999999,0.05325,0.0192499999999999,0.0287499999999999
"Rock, The (1996)",0.994,0.994,0.8320000000000001,0.7595000000000001,0.79775,0.992,0.69275,0.86575,0.86575,0.7595000000000001,0.849,0.704,0.79775,0.8320000000000001,0.80325,0.48575,0.624,0.6885,0.4702499999999999,0.8320000000000001,0.702,0.559,0.4459999999999999,0.73625,0.66825,0.4735,0.3944999999999999,0.85625,0.406,0.519,0.2229999999999999,0.303,0.3319999999999999,0.26275,0.2269999999999999,0.21325,0.182,0.4245,0.3017499999999999,0.522,0.34375,0.36975,0.303,0.31725,0.6755,0.365,0.3045,0.2249999999999999,0.1367499999999999,0.16275,0.3814999999999999,0.2504999999999999,0.2022499999999999,0.1029999999999999,0.3884999999999999,0.1579999999999999,0.40625,0.1119999999999999,0.18025,0.2684999999999999,0.26425,0.21075,0.1805,0.2604999999999999,0.25875,0.2065,0.2095,0.3129999999999999,0.1054999999999999,0.2314999999999999,0.498,0.12175,0.22725,0.2204999999999999,0.0682499999999999,0.2907499999999999,0.26475,0.293,0.23525,0.1644999999999999,0.072,0.176,0.1704999999999999,0.37575,0.18025,0.073,0.1725,0.0697499999999999,0.22925,0.17725,0.206,0.10575,0.086,0.2465,0.1312499999999999,0.11275,0.0832499999999999,0.9025,0.0765,0.1362499999999999,0.40125,0.0692499999999999,0.0379999999999999,0.1485,0.1292499999999999,0.1387499999999999,0.9195,0.0765,0.17275,0.073,0.379,0.05525,0.0775,0.1332499999999999,0.0752499999999999,0.1124999999999999,0.0949999999999999,0.14475,0.0554999999999999,0.1295,0.0795,0.267,0.118,0.0827499999999999,0.1609999999999999,0.04125,0.09075,0.0712499999999999,0.06075,0.1465,0.0635,0.0852499999999999,0.0827499999999999,0.10675,0.09675,0.0762499999999999,0.10225,0.0737499999999999,0.061,0.17675,0.0747499999999999,0.05275,0.076,0.0232499999999999,0.06125,0.04575,0.0394999999999999,0.03325,0.0989999999999999
Die Hard (1988),0.99425,0.99425,0.9455,0.969,0.969,0.9915,0.68225,0.74525,0.74525,0.969,0.969,0.7745,0.9455,0.7735000000000001,0.7435,0.51725,0.9455,0.8494999999999999,0.8405,0.7625,0.44175,0.57475,0.67775,0.67075,0.80775,0.7915000000000001,0.689,0.46875,0.43725,0.8819999999999999,0.37675,0.2244999999999999,0.60075,0.6165,0.312,0.2987499999999999,0.4425,0.4125,0.45075,0.4669999999999999,0.46825,0.44175,0.1925,0.435,0.2294999999999999,0.3455,0.2764999999999999,0.403,0.14875,0.273,0.39025,0.4525,0.475,0.05725,0.4399999999999999,0.16125,0.33875,0.153,0.21525,0.2165,0.367,0.18525,0.3215,0.7797499999999999,0.33175,0.207,0.20825,0.27875,0.21975,0.3015,0.18025,0.0687499999999999,0.29,0.725,0.0675,0.3844999999999999,0.09775,0.1967499999999999,0.18675,0.16925,0.182,0.2495,0.17925,0.7875000000000001,0.306,0.0964999999999999,0.1292499999999999,0.24775,0.1302499999999999,0.0842499999999999,0.11325,0.1997499999999999,0.0857499999999999,0.2204999999999999,0.2175,0.39875,0.088,0.1285,0.17375,0.2887499999999999,0.59575,0.1335,0.0627499999999999,0.1795,0.55075,0.1515,0.15125,0.074,0.14225,0.11875,0.2155,0.0685,0.0675,0.21525,0.0845,0.11375,0.34375,0.153,0.03125,0.1387499999999999,0.12,0.2025,0.1985,0.075,0.145,0.067,0.0765,0.0797499999999999,0.066,0.1297499999999999,0.0374999999999999,0.0797499999999999,0.916,0.289,0.07,0.08925,0.1049999999999999,0.0905,0.08875,0.203,0.1094999999999999,0.0605,0.1525,0.03125,0.0595,0.04925,0.076,0.0374999999999999,0.05125
Top Gun (1986),0.97025,0.97025,0.94875,0.8554999999999999,0.7425,0.97025,0.8314999999999999,0.821,0.8314999999999999,0.51625,0.8554999999999999,0.64975,0.8554999999999999,0.597,0.91,0.58775,0.5435,0.8554999999999999,0.63375,0.85775,0.52275,0.24875,0.23425,0.2955,0.3425,0.6255,0.26525,0.92375,0.4459999999999999,0.31125,0.2025,0.409,0.33825,0.53975,0.39475,0.1977499999999999,0.089,0.3722499999999999,0.77875,0.2907499999999999,0.17075,0.52275,0.409,0.5325,0.8872500000000001,0.3395,0.354,0.18625,0.0717499999999999,0.35875,0.5125,0.1982499999999999,0.1395,0.0379999999999999,0.1755,0.16275,0.23975,0.0767499999999999,0.10025,0.3067499999999999,0.5285,0.0895,0.1262499999999999,0.8560000000000001,0.275,0.2339999999999999,0.1365,0.0825,0.0605,0.1704999999999999,0.1835,0.15225,0.18525,0.2674999999999999,0.06225,0.092,0.27275,0.28725,0.1985,0.31,0.0237499999999999,0.12275,0.18025,0.2209999999999999,0.18175,0.0755,0.15875,0.17625,0.2199999999999999,0.1267499999999999,0.2644999999999999,0.17025,0.05175,0.146,0.15525,0.0835,0.09125,0.11325,0.08625,0.11025,0.477,0.10925,0.0574999999999999,0.05675,0.11975,0.074,0.16375,0.1272499999999999,0.14,0.03625,0.0777499999999999,0.062,0.0915,0.0747499999999999,0.08,0.0635,0.0569999999999999,0.0795,0.076,0.15025,0.04925,0.09925,0.05225,0.0569999999999999,0.2915,0.0539999999999999,0.2204999999999999,0.1679999999999999,0.05875,0.18475,0.0615,0.0852499999999999,0.1099999999999999,0.05025,0.14,0.071,0.1835,0.0344999999999999,0.04075,0.201,0.05175,0.024,0.0509999999999999,0.0215,0.0287499999999999,0.031,0.0349999999999999,0.0227499999999999,0.0559999999999999
Star Wars: Episode V - The Empire Strikes Back (1980),0.94725,0.9405,0.98,0.98,0.98,0.93375,0.99725,0.731,0.96125,0.98,0.8680000000000001,0.937,0.98,0.9405,0.837,0.9435,0.98,0.947,0.8347500000000001,0.9405,0.865,0.96225,0.39425,0.93375,0.6485,0.7962499999999999,0.361,0.8362499999999999,0.677,0.94525,0.78325,0.865,0.94525,0.67325,0.677,0.74525,0.987,0.432,0.62225,0.3465,0.4185,0.34775,0.865,0.74025,0.643,0.39575,0.37075,0.44975,0.2887499999999999,0.407,0.128,0.8105,0.1257499999999999,0.03,0.32475,0.3007499999999999,0.2987499999999999,0.9755,0.27925,0.21275,0.61375,0.2239999999999999,0.2365,0.784,0.21675,0.21625,0.2734999999999999,0.7415,0.2915,0.301,0.15875,0.10725,0.3057499999999999,0.2259999999999999,0.0569999999999999,0.16275,0.1215,0.39975,0.17175,0.561,0.1755,0.1415,0.11575,0.1215,0.32225,0.1709999999999999,0.1755,0.33425,0.12425,0.1124999999999999,0.0797499999999999,0.23975,0.0675,0.066,0.14725,0.068,0.15875,0.1205,0.4157499999999999,0.135,0.20775,0.23025,0.246,0.1397499999999999,0.0865,0.185,0.0782499999999999,0.11075,0.0757499999999999,0.05025,0.0835,0.246,0.05225,0.17025,0.04125,0.1094999999999999,0.0827499999999999,0.085,0.031,0.0519999999999999,0.08725,0.0792499999999999,0.1335,0.09025,0.05975,0.1009999999999999,0.1099999999999999,0.0344999999999999,0.0675,0.0449999999999999,0.0232499999999999,0.0625,0.067,0.0484999999999999,0.03,0.0939999999999999,0.04875,0.04825,0.0762499999999999,0.069,0.03525,0.0549999999999999,0.0802499999999999,0.0324999999999999,0.03425,0.0702499999999999,0.05925,0.031,0.028
"Princess Bride, The (1987)",0.81925,0.81925,0.9635,0.9635,0.9635,0.81925,0.58075,0.58525,0.415,0.9635,0.7929999999999999,0.7522500000000001,0.9635,0.52625,0.699,0.97925,0.9635,0.9285,0.9815,0.81525,0.47475,0.1902499999999999,0.2135,0.843,0.4155,0.9815,0.94625,0.5775,0.6465,0.244,0.80375,0.18425,0.2155,0.61675,0.6465,0.2299999999999999,0.2835,0.395,0.717,0.365,0.3359999999999999,0.47475,0.179,0.5335,0.4337499999999999,0.28725,0.3219999999999999,0.3375,0.12225,0.4495,0.216,0.1887499999999999,0.586,0.04925,0.34075,0.22475,0.39525,0.17525,0.431,0.187,0.27425,0.2485,0.645,0.5315,0.3075,0.25,0.3075,0.185,0.0802499999999999,0.27825,0.148,0.1164999999999999,0.23825,0.10225,0.06225,0.69425,0.2189999999999999,0.20625,0.11275,0.21325,0.081,0.1257499999999999,0.15925,0.1952499999999999,0.2744999999999999,0.179,0.179,0.4157499999999999,0.09525,0.06225,0.09725,0.1402499999999999,0.0687499999999999,0.11175,0.08625,0.0529999999999999,0.1659999999999999,0.1375,0.17075,0.10025,0.17075,0.1445,0.0489999999999999,0.1059999999999999,0.1505,0.1285,0.089,0.2935,0.1689999999999999,0.0434999999999999,0.10825,0.1134999999999999,0.0509999999999999,0.04825,0.0354999999999999,0.1574999999999999,0.3572499999999999,0.0464999999999999,0.03075,0.0815,0.1175,0.14725,0.086,0.0584999999999999,0.10125,0.1049999999999999,0.074,0.09825,0.0855,0.0564999999999999,0.065,0.1084999999999999,0.0319999999999999,0.072,0.0232499999999999,0.0842499999999999,0.0595,0.08,0.12075,0.0424999999999999,0.07,0.0837499999999999,0.05025,0.0499999999999999,0.0389999999999999,0.08725,0.0349999999999999,0.04025,0.0359999999999999
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),0.981,0.981,0.982,0.982,0.982,0.981,0.92925,0.8465,0.905,0.982,0.8302499999999999,0.86775,0.982,0.9595,0.8162499999999999,0.947,0.982,0.9535,0.9535,0.9595,0.5525,0.60825,0.5765,0.86775,0.595,0.9125,0.63125,0.72525,0.675,0.553,0.64225,0.4505,0.53175,0.57225,0.675,0.617,0.83775,0.51225,0.675,0.3984999999999999,0.435,0.5525,0.4505,0.68175,0.3085,0.32825,0.27925,0.4127499999999999,0.30125,0.60425,0.33475,0.4775,0.24125,0.071,0.374,0.415,0.32725,0.303,0.33925,0.2624999999999999,0.43925,0.177,0.2754999999999999,0.607,0.2754999999999999,0.52475,0.26375,0.75925,0.252,0.2845,0.36,0.1009999999999999,0.174,0.3309999999999999,0.05475,0.37925,0.24175,0.23225,0.09675,0.299,0.14675,0.1455,0.16125,0.29525,0.9495,0.17175,0.0725,0.35075,0.2095,0.0885,0.1175,0.3205,0.0765,0.0762499999999999,0.0885,0.0944999999999999,0.17375,0.1579999999999999,0.27125,0.1644999999999999,0.2975,0.91675,0.285,0.1955,0.10375,0.15725,0.1619999999999999,0.1352499999999999,0.11175,0.03675,0.1365,0.285,0.04775,0.12375,0.0277499999999999,0.14725,0.17175,0.0852499999999999,0.0237499999999999,0.04275,0.1252499999999999,0.1164999999999999,0.18275,0.0459999999999999,0.1257499999999999,0.0494999999999999,0.08925,0.1099999999999999,0.04725,0.0805,0.0245,0.0667499999999999,0.1034999999999999,0.0479999999999999,0.03225,0.09675,0.0915,0.065,0.0632499999999999,0.0969999999999999,0.0722499999999999,0.0782499999999999,0.0792499999999999,0.0354999999999999,0.028,0.093,0.0459999999999999,0.03675,0.03225
Aliens (1986),0.98025,0.98025,0.97525,0.9855,0.9855,0.98025,0.97825,0.71625,0.918,0.9855,0.9855,0.92,0.97525,0.7777499999999999,0.54375,0.53725,0.97525,0.92,0.9115,0.7777499999999999,0.4832499999999999,0.91875,0.49075,0.92,0.82325,0.9115,0.3702499999999999,0.5065,0.3345,0.9505,0.64225,0.25525,0.6445,0.28075,0.4014999999999999,0.8109999999999999,0.3442499999999999,0.5935,0.4305,0.5545,0.485,0.3472499999999999,0.25525,0.3864999999999999,0.22625,0.4147499999999999,0.266,0.48675,0.56125,0.2495,0.281,0.4315,0.293,0.0635,0.399,0.272,0.40625,0.21625,0.252,0.2917499999999999,0.557,0.6395,0.26625,0.57475,0.26875,0.21525,0.28825,0.3025,0.4065,0.2504999999999999,0.31675,0.0815,0.18125,0.3742499999999999,0.05775,0.12425,0.0742499999999999,0.127,0.1977499999999999,0.16475,0.1535,0.3097499999999999,0.0752499999999999,0.60575,0.3115,0.1362499999999999,0.15475,0.269,0.1912499999999999,0.09075,0.14375,0.1397499999999999,0.10075,0.15025,0.1124999999999999,0.09575,0.27575,0.1014999999999999,0.20925,0.1689999999999999,0.15275,0.1277499999999999,0.20975,0.11025,0.24725,0.198,0.10025,0.1024999999999999,0.11775,0.1079999999999999,0.12425,0.15675,0.0835,0.21075,0.0319999999999999,0.1599999999999999,0.10225,0.09775,0.0334999999999999,0.0647499999999999,0.14775,0.122,0.26925,0.0652499999999999,0.0999999999999999,0.09025,0.0632499999999999,0.065,0.10375,0.0637499999999999,0.0334999999999999,0.0732499999999999,0.0832499999999999,0.15425,0.0554999999999999,0.093,0.0807499999999999,0.05875,0.0762499999999999,0.0662499999999999,0.0647499999999999,0.1109999999999999,0.0732499999999999,0.0324999999999999,0.03425,0.0534999999999999,0.05175,0.0287499999999999,0.0339999999999999
