movieId,god,atheism,original,good,islam,greed,weird,drama,vengeance,catastrophe,culture clash,mentor,sacrifice,melancholic,runaway,predictable,dialogue,first contact,adaptation,independent film,life & death,wartime,betrayal,pornography,fight scenes,fantasy world,life philosophy,family,prejudice,very funny,chase,transformation,surveillance,not funny,drinking,unlikely friendships,death,period piece,survival,light,teen movie,stereotypes,absurd,childhood,censorship,creativity,quirky,weapons,dysfunctional family,women,hospital,nudity (full frontal - brief),fun movie,computer animation,indians,underrated,writers,sexy,queer,irish accent,internet,simple,alternate history,blindness,doctors,bollywood,classic car,multiple storylines,alter ego,good music,farce,immortality,british,pulp,too long,new jersey,california,small town,divorce,dreams,mad scientist,adoption,stand-up comedy,camp,interracial romance,road movie,brothers,memory,desert,tokyo,cancer,foul language,island,film noir,made for tv,wilderness,race,documentary,workplace,awesome soundtrack,finnish,notable nudity,stoner movie,single father,russian,addiction,rebellion,prison,nudity (rear),nudity (topless - brief),1930s,hip hop,too short,hotel,kick-butt women,directorial debut,snakes,texas,oil,father daughter relationship,remake,shopping,new york city,potential oscar nom,ensemble cast,best of 2005,no plot,80s,time,homeless,radio,lawyer,reality tv,wine,australia,kidnapping,trilogy,graphic novel,unlikeable characters,french,ghosts/afterlife,prostitution,san francisco,hunting,goth,fashion,robert downey jr,los angeles,buddy movie
"Prophecy, The (1995)",0.96325,0.95175,0.74175,0.6035,0.60675,0.57,0.4992499999999999,0.6035,0.57,0.50125,0.6035,0.50325,0.63475,0.40175,0.57,0.2927499999999999,0.54225,0.50125,0.28725,0.4227499999999999,0.39425,0.60675,0.32675,0.4227499999999999,0.3894999999999999,0.8300000000000001,0.3007499999999999,0.11225,0.25725,0.2764999999999999,0.2857499999999999,0.353,0.26925,0.31525,0.16025,0.21625,0.31625,0.11225,0.28725,0.2937499999999999,0.178,0.2055,0.27075,0.15925,0.133,0.16975,0.32125,0.42525,0.1435,0.122,0.19,0.15875,0.3015,0.14775,0.3665,0.3844999999999999,0.20525,0.1765,0.1265,0.3854999999999999,0.0964999999999999,0.1175,0.144,0.176,0.092,0.0772499999999999,0.1997499999999999,0.15275,0.255,0.09375,0.09525,0.39225,0.123,0.26275,0.0822499999999999,0.1955,0.1255,0.26425,0.0379999999999999,0.0994999999999999,0.24475,0.06025,0.0747499999999999,0.20575,0.0715,0.08625,0.09925,0.09375,0.191,0.08775,0.0655,0.0647499999999999,0.11125,0.1014999999999999,0.1545,0.09775,0.12325,0.0207499999999999,0.0765,0.0974999999999999,0.0762499999999999,0.05925,0.0999999999999999,0.0232499999999999,0.148,0.0685,0.2294999999999999,0.08625,0.1305,0.22025,0.1089999999999999,0.0695,0.0524999999999999,0.10425,0.0715,0.08725,0.1049999999999999,0.0697499999999999,0.0657499999999999,0.0464999999999999,0.0479999999999999,0.03725,0.05275,0.04875,0.09625,0.1159999999999999,0.0827499999999999,0.0805,0.0584999999999999,0.09025,0.1069999999999999,0.028,0.026,0.0257499999999999,0.069,0.05825,0.1322499999999999,0.089,0.0655,0.03375,0.09475,0.03,0.0564999999999999,0.0817499999999999,0.35575,0.0324999999999999,0.1149999999999999,0.0722499999999999,0.0662499999999999
Priest (1994),0.8972500000000001,0.883,0.78175,0.737,0.483,0.737,0.507,0.78175,0.6315,0.44675,0.6315,0.4085,0.481,0.7005,0.6315,0.3492499999999999,0.3844999999999999,0.1897499999999999,0.29325,0.67025,0.372,0.1322499999999999,0.3482499999999999,0.85825,0.258,0.28,0.2875,0.16275,0.54925,0.292,0.17475,0.2855,0.14,0.311,0.302,0.39975,0.1805,0.2194999999999999,0.1039999999999999,0.1634999999999999,0.22825,0.3472499999999999,0.2002499999999999,0.148,0.85825,0.1709999999999999,0.1525,0.21175,0.4429999999999999,0.54275,0.1139999999999999,0.31275,0.10775,0.12275,0.2199999999999999,0.2804999999999999,0.17525,0.82575,0.9555,0.29,0.0672499999999999,0.0685,0.09175,0.17875,0.089,0.45325,0.16775,0.1735,0.1367499999999999,0.131,0.0857499999999999,0.06125,0.25,0.09225,0.1257499999999999,0.1225,0.1327499999999999,0.1555,0.0812499999999999,0.0974999999999999,0.0655,0.1357499999999999,0.12025,0.119,0.33375,0.089,0.17525,0.079,0.0349999999999999,0.273,0.10325,0.086,0.06075,0.0857499999999999,0.21725,0.1395,0.09475,0.05125,0.0999999999999999,0.0665,0.0354999999999999,0.241,0.1099999999999999,0.1435,0.04475,0.0925,0.11725,0.09,0.16225,0.124,0.068,0.0574999999999999,0.04075,0.05775,0.1937499999999999,0.0999999999999999,0.04475,0.076,0.0275,0.2774999999999999,0.0334999999999999,0.019,0.0364999999999999,0.1255,0.0524999999999999,0.079,0.069,0.0409999999999999,0.019,0.0494999999999999,0.0215,0.11775,0.079,0.02975,0.1275,0.0459999999999999,0.03825,0.2125,0.0394999999999999,0.03425,0.027,0.0647499999999999,0.0409999999999999,0.02975,0.0574999999999999,0.05125,0.0682499999999999,0.03,0.028
"Apostle, The (1997)",0.92125,0.92125,0.8220000000000001,0.8220000000000001,0.2345,0.917,0.917,0.917,0.646,0.4327499999999999,0.8220000000000001,0.47075,0.2115,0.917,0.646,0.291,0.5575,0.21975,0.272,0.917,0.40125,0.1039999999999999,0.5195,0.368,0.1932499999999999,0.294,0.41425,0.1149999999999999,0.23325,0.23175,0.1962499999999999,0.2905,0.185,0.3145,0.917,0.199,0.21,0.1019999999999999,0.15675,0.24,0.11025,0.33125,0.22525,0.1465,0.125,0.187,0.28825,0.18675,0.18025,0.131,0.14975,0.26625,0.1327499999999999,0.1332499999999999,0.089,0.1925,0.26725,0.1235,0.1594999999999999,0.2025,0.05525,0.16675,0.069,0.1317499999999999,0.1337499999999999,0.1699999999999999,0.15,0.1297499999999999,0.12025,0.1342499999999999,0.1455,0.0409999999999999,0.1669999999999999,0.0994999999999999,0.1332499999999999,0.16175,0.16475,0.4445,0.1907499999999999,0.1129999999999999,0.0747499999999999,0.05975,0.0762499999999999,0.0564999999999999,0.0715,0.2907499999999999,0.10275,0.0782499999999999,0.061,0.0782499999999999,0.062,0.08825,0.0514999999999999,0.1255,0.0847499999999999,0.126,0.0765,0.0579999999999999,0.1064999999999999,0.078,0.0579999999999999,0.05125,0.09725,0.0242499999999999,0.05175,0.2955,0.04175,0.14725,0.06225,0.0655,0.05325,0.0994999999999999,0.04075,0.10975,0.0737499999999999,0.1305,0.0842499999999999,0.6635,0.0675,0.0459999999999999,0.0197499999999999,0.0242499999999999,0.062,0.05875,0.1175,0.0717499999999999,0.0765,0.0295,0.0339999999999999,0.0825,0.2704999999999999,0.0595,0.0529999999999999,0.0202499999999999,0.05275,0.03375,0.031,0.0247499999999999,0.1089999999999999,0.029,0.0434999999999999,0.04775,0.02975,0.0852499999999999,0.0252499999999999,0.03125,0.1327499999999999,0.0484999999999999,0.059
"Price Above Rubies, A (1998)",0.735,0.735,0.579,0.59175,0.26575,0.49,0.525,0.4702499999999999,0.4702499999999999,0.51475,0.487,0.4425,0.39075,0.696,0.4702499999999999,0.43,0.40475,0.28425,0.47775,0.964,0.42025,0.8505,0.479,0.3399999999999999,0.17825,0.309,0.4679999999999999,0.27675,0.5805,0.3199999999999999,0.2827499999999999,0.3685,0.11275,0.3585,0.4669999999999999,0.2827499999999999,0.38575,0.1957499999999999,0.31375,0.4325,0.1302499999999999,0.6195,0.33175,0.21025,0.0787499999999999,0.22725,0.33675,0.21675,0.32075,0.68525,0.1765,0.3179999999999999,0.1599999999999999,0.23425,0.09525,0.25675,0.32025,0.31725,0.2544999999999999,0.15875,0.0785,0.1835,0.1262499999999999,0.1649999999999999,0.3964999999999999,0.07,0.1977499999999999,0.16425,0.10725,0.1154999999999999,0.0785,0.074,0.1195,0.1305,0.06175,0.15575,0.18575,0.15025,0.577,0.089,0.09025,0.2704999999999999,0.0707499999999999,0.1535,0.26475,0.22125,0.1195,0.1272499999999999,0.11575,0.0837499999999999,0.1262499999999999,0.04225,0.0705,0.093,0.0574999999999999,0.0569999999999999,0.11075,0.0324999999999999,0.27625,0.1029999999999999,0.0635,0.09375,0.0645,0.089,0.061,0.128,0.027,0.0772499999999999,0.0479999999999999,0.0509999999999999,0.0994999999999999,0.0685,0.072,0.119,0.06075,0.10675,0.1332499999999999,0.10825,0.04725,0.10175,0.04175,0.1745,0.35875,0.1574999999999999,0.0662499999999999,0.03275,0.1114999999999999,0.0632499999999999,0.0334999999999999,0.489,0.0727499999999999,0.075,0.0715,0.15825,0.0439999999999999,0.03175,0.0379999999999999,0.133,0.0685,0.05925,0.1272499999999999,0.0305,0.0925,0.1282499999999999,0.0242499999999999,0.0584999999999999,0.05875,0.0255,0.031
"Last Temptation of Christ, The (1988)",0.97825,0.96175,0.79575,0.93725,0.90625,0.76875,0.76875,0.93725,0.6845,0.42725,0.93725,0.4225,0.668,0.92725,0.93725,0.2967499999999999,0.7355,0.2877499999999999,0.91125,0.53675,0.83725,0.598,0.531,0.966,0.2455,0.31425,0.45125,0.1119999999999999,0.27725,0.3035,0.1704999999999999,0.38425,0.428,0.357,0.49,0.2035,0.50425,0.29525,0.2365,0.3035,0.11275,0.153,0.3545,0.242,0.966,0.29925,0.414,0.17975,0.1987499999999999,0.17525,0.1805,0.33825,0.1342499999999999,0.1245,0.1952499999999999,0.3742499999999999,0.1765,0.28325,0.1947499999999999,0.197,0.064,0.1277499999999999,0.0802499999999999,0.258,0.1887499999999999,0.08825,0.20525,0.2764999999999999,0.33025,0.5315,0.243,0.24525,0.22375,0.1114999999999999,0.63425,0.23025,0.16575,0.14475,0.05925,0.4399999999999999,0.1375,0.0687499999999999,0.22975,0.14175,0.0845,0.152,0.1282499999999999,0.1257499999999999,0.3705,0.2455,0.1317499999999999,0.1039999999999999,0.071,0.1644999999999999,0.1094999999999999,0.3035,0.0625,0.0755,0.09875,0.22825,0.0267499999999999,0.059,0.45775,0.0197499999999999,0.06125,0.30125,0.38475,0.11675,0.10125,0.27225,0.08675,0.064,0.0429999999999999,0.09975,0.10375,0.1584999999999999,0.347,0.10075,0.09425,0.0755,0.0227499999999999,0.03025,0.1004999999999999,0.074,0.1159999999999999,0.0935,0.0295,0.0989999999999999,0.0579999999999999,0.18425,0.05675,0.03675,0.028,0.09275,0.04075,0.03925,0.0767499999999999,0.131,0.066,0.03925,0.08725,0.3215,0.0359999999999999,0.0632499999999999,0.03175,0.0464999999999999,0.08975,0.0994999999999999,0.0519999999999999
"Rapture, The (1991)",0.98675,0.968,0.7982499999999999,0.32125,0.36875,0.7982499999999999,0.7625,0.7982499999999999,0.7982499999999999,0.8972500000000001,0.7982499999999999,0.55,0.6345,0.6545,0.7982499999999999,0.4579999999999999,0.641,0.8972500000000001,0.3349999999999999,0.665,0.50175,0.1415,0.25375,0.84325,0.2375,0.247,0.69625,0.1704999999999999,0.1614999999999999,0.28125,0.26275,0.39325,0.16875,0.3552499999999999,0.394,0.18625,0.3275,0.0797499999999999,0.8452500000000001,0.23925,0.1709999999999999,0.32575,0.47975,0.1555,0.53775,0.23025,0.2594999999999999,0.1972499999999999,0.196,0.26675,0.1987499999999999,0.2524999999999999,0.14475,0.1629999999999999,0.0835,0.296,0.2185,0.84325,0.17925,0.0964999999999999,0.1644999999999999,0.12375,0.0847499999999999,0.1619999999999999,0.18025,0.1109999999999999,0.21825,0.16425,0.1579999999999999,0.08725,0.12275,0.0755,0.12125,0.12475,0.1355,0.22575,0.18375,0.11075,0.11925,0.274,0.1255,0.082,0.138,0.1505,0.0767499999999999,0.14925,0.0687499999999999,0.0939999999999999,0.47,0.14575,0.072,0.0979999999999999,0.09675,0.09625,0.0682499999999999,0.2314999999999999,0.0439999999999999,0.03275,0.43425,0.0695,0.0484999999999999,0.1014999999999999,0.12375,0.0459999999999999,0.04175,0.29625,0.0635,0.136,0.0915,0.1997499999999999,0.04225,0.0855,0.0757499999999999,0.0905,0.12175,0.1119999999999999,0.1235,0.0845,0.0755,0.0595,0.0424999999999999,0.0419999999999999,0.0827499999999999,0.0737499999999999,0.05325,0.023,0.04675,0.05575,0.0314999999999999,0.0795,0.0354999999999999,0.0277499999999999,0.0742499999999999,0.0544999999999999,0.059,0.05925,0.0494999999999999,0.0727499999999999,0.0935,0.0379999999999999,0.0524999999999999,0.077,0.03875,0.04425,0.03575,0.06225,0.03975,0.14475,0.0364999999999999
"Seventh Sign, The (1988)",0.8935,0.8935,0.8799999999999999,0.8799999999999999,0.38925,0.8799999999999999,0.58125,0.39425,0.8799999999999999,0.921,0.3465,0.5555,0.9045,0.265,0.38725,0.703,0.35775,0.921,0.3175,0.235,0.2299999999999999,0.263,0.5905,0.209,0.421,0.60625,0.2935,0.27975,0.0845,0.27,0.67325,0.2985,0.8799999999999999,0.3492499999999999,0.152,0.1835,0.3065,0.11275,0.91925,0.24325,0.2744999999999999,0.18175,0.15875,0.1882499999999999,0.05225,0.3087499999999999,0.177,0.2684999999999999,0.1272499999999999,0.14925,0.44775,0.15925,0.3005,0.16375,0.1159999999999999,0.5585,0.1054999999999999,0.20625,0.12325,0.29825,0.3085,0.1124999999999999,0.17375,0.212,0.2334999999999999,0.0692499999999999,0.23625,0.15775,0.17025,0.09075,0.08625,0.089,0.0795,0.24175,0.0915,0.0915,0.25525,0.15975,0.0817499999999999,0.23875,0.1255,0.0717499999999999,0.123,0.15225,0.0785,0.089,0.082,0.20725,0.1385,0.0635,0.0559999999999999,0.0969999999999999,0.1835,0.1327499999999999,0.0792499999999999,0.11825,0.123,0.0197499999999999,0.0802499999999999,0.0852499999999999,0.0574999999999999,0.1619999999999999,0.0817499999999999,0.0584999999999999,0.081,0.0409999999999999,0.029,0.14275,0.21025,0.2209999999999999,0.0554999999999999,0.0677499999999999,0.0667499999999999,0.11475,0.073,0.0787499999999999,0.079,0.03325,0.0329999999999999,0.0785,0.09125,0.1995,0.1034999999999999,0.0354999999999999,0.05725,0.023,0.1902499999999999,0.1455,0.0959999999999999,0.0404999999999999,0.08925,0.41025,0.03325,0.04275,0.0727499999999999,0.21875,0.0409999999999999,0.05575,0.0657499999999999,0.03275,0.0984999999999999,0.03725,0.10475,0.0642499999999999,0.04675,0.04175,0.0419999999999999,0.06,0.05225
"Prince of Egypt, The (1998)",0.8005,0.748,0.955,0.955,0.6675,0.56975,0.7717499999999999,0.67775,0.67775,0.514,0.4922499999999999,0.57725,0.55125,0.47175,0.67775,0.33875,0.4097499999999999,0.33725,0.7827500000000001,0.3205,0.18,0.59525,0.34675,0.1725,0.3692499999999999,0.5585,0.2907499999999999,0.92,0.378,0.2997499999999999,0.355,0.3732499999999999,0.2674999999999999,0.35575,0.11675,0.3675,0.32275,0.51975,0.15525,0.40125,0.36675,0.374,0.09575,0.4992499999999999,0.064,0.47475,0.15475,0.26375,0.249,0.1337499999999999,0.119,0.25975,0.356,0.985,0.36675,0.3502499999999999,0.1292499999999999,0.1355,0.1262499999999999,0.1865,0.1195,0.17275,0.26275,0.1169999999999999,0.10625,0.1599999999999999,0.1475,0.1215,0.18275,0.752,0.0725,0.09075,0.1684999999999999,0.1352499999999999,0.0745,0.11175,0.11275,0.1255,0.0652499999999999,0.1962499999999999,0.1024999999999999,0.2827499999999999,0.0677499999999999,0.0994999999999999,0.0954999999999999,0.085,0.31275,0.1014999999999999,0.187,0.10325,0.0635,0.0807499999999999,0.14275,0.0915,0.0807499999999999,0.16075,0.21575,0.0314999999999999,0.05325,0.5125,0.0439999999999999,0.0434999999999999,0.0817499999999999,0.08725,0.10475,0.04475,0.0722499999999999,0.1024999999999999,0.05775,0.03475,0.10325,0.1352499999999999,0.121,0.0712499999999999,0.0524999999999999,0.0842499999999999,0.1865,0.05575,0.0464999999999999,0.0677499999999999,0.071,0.0354999999999999,0.05075,0.04925,0.05025,0.03,0.088,0.05225,0.05625,0.03925,0.0677499999999999,0.0627499999999999,0.0354999999999999,0.04325,0.0785,0.069,0.0509999999999999,0.138,0.02975,0.0379999999999999,0.0534999999999999,0.027,0.0697499999999999,0.0414999999999999,0.0414999999999999,0.0885,0.0494999999999999,0.03525,0.0584999999999999
Mass Appeal (1984),0.954,0.954,0.79775,0.73575,0.71475,0.7125,0.54675,0.7165,0.7165,0.73575,0.64225,0.92775,0.53125,0.6735,0.7155,0.4137499999999999,0.7849999999999999,0.257,0.4639999999999999,0.42625,0.39075,0.2867499999999999,0.35275,0.242,0.2214999999999999,0.5125,0.37775,0.4955,0.60175,0.3179999999999999,0.5015,0.4225,0.27375,0.3199999999999999,0.59925,0.35075,0.30825,0.3259999999999999,0.2229999999999999,0.3075,0.521,0.57825,0.195,0.2917499999999999,0.3105,0.21225,0.24325,0.181,0.272,0.6955,0.26175,0.26725,0.2857499999999999,0.2584999999999999,0.1902499999999999,0.535,0.30325,0.2395,0.8400000000000001,0.2375,0.153,0.11175,0.26975,0.1505,0.20775,0.15825,0.16475,0.25075,0.26575,0.1205,0.119,0.05125,0.21225,0.1275,0.11825,0.301,0.1555,0.2867499999999999,0.1614999999999999,0.11575,0.0692499999999999,0.12125,0.083,0.293,0.24975,0.192,0.0852499999999999,0.1292499999999999,0.04075,0.17625,0.11275,0.17025,0.2314999999999999,0.09325,0.03625,0.0885,0.20525,0.0677499999999999,0.32775,0.15775,0.0237499999999999,0.32875,0.09325,0.20675,0.0399999999999999,0.21475,0.122,0.09825,0.3429999999999999,0.47475,0.1505,0.0672499999999999,0.0657499999999999,0.09575,0.03875,0.16675,0.0845,0.1144999999999999,0.0354999999999999,0.2,0.0742499999999999,0.0399999999999999,0.1877499999999999,0.345,0.1669999999999999,0.26675,0.0655,0.11525,0.04775,0.0584999999999999,0.10475,0.3035,0.132,0.31425,0.0509999999999999,0.0369999999999999,0.04375,0.0082499999999999,0.0855,0.04575,0.04975,0.0399999999999999,0.15025,0.04825,0.0444999999999999,0.0379999999999999,0.204,0.028,0.0409999999999999
Damien: Omen II (1978),0.81325,0.81325,0.802,0.75,0.2209999999999999,0.3924999999999999,0.3984999999999999,0.33125,0.56075,0.4659999999999999,0.31725,0.58175,0.46825,0.31725,0.473,0.70175,0.34775,0.2887499999999999,0.3582499999999999,0.1825,0.4499999999999999,0.0772499999999999,0.524,0.419,0.2887499999999999,0.5085,0.27675,0.2867499999999999,0.0785,0.25325,0.32975,0.36175,0.3984999999999999,0.3235,0.17725,0.18325,0.932,0.0685,0.2269999999999999,0.17125,0.532,0.10775,0.194,0.1574999999999999,0.14575,0.2794999999999999,0.22075,0.29825,0.2125,0.132,0.4187499999999999,0.381,0.1935,0.1332499999999999,0.08775,0.29425,0.18175,0.15725,0.127,0.17675,0.11725,0.0827499999999999,0.11925,0.1525,0.2544999999999999,0.0737499999999999,0.27375,0.2075,0.16325,0.1195,0.1024999999999999,0.291,0.0772499999999999,0.1815,0.085,0.125,0.18625,0.10575,0.0665,0.1054999999999999,0.20475,0.14825,0.0939999999999999,0.3169999999999999,0.0539999999999999,0.15175,0.0687499999999999,0.0665,0.0944999999999999,0.1397499999999999,0.09975,0.05125,0.175,0.10125,0.1337499999999999,0.13,0.0705,0.03575,0.0842499999999999,0.5475,0.1277499999999999,0.12075,0.09225,0.0235,0.05775,0.0989999999999999,0.03475,0.10275,0.2204999999999999,0.22825,0.04925,0.087,0.0539999999999999,0.0782499999999999,0.0817499999999999,0.072,0.0797499999999999,0.066,0.05175,0.04525,0.1545,0.03725,0.15525,0.04425,0.0454999999999999,0.0469999999999999,0.0755,0.1059999999999999,0.0554999999999999,0.0414999999999999,0.0394999999999999,0.08675,0.0479999999999999,0.0349999999999999,0.03975,0.0745,0.244,0.1485,0.05675,0.03475,0.15775,0.04125,0.062,0.06025,0.0845,0.0544999999999999,0.04025,0.05975,0.0474999999999999
