movieId,original,greed,drama,good,islam,weird,culture clash,vengeance,sacrifice,runaway,wartime,melancholic,betrayal,mentor,independent film,dialogue,period piece,surveillance,prejudice,adaptation,catastrophe,chase,weapons,pornography,fight scenes,survival,light,drinking,unlikely friendships,british,life & death,fun movie,very funny,death,predictable,first contact,life philosophy,not funny,stereotypes,nudity (full frontal - brief),fantasy world,transformation,absurd,family,underrated,childhood,quirky,camp,good music,film noir,irish accent,too long,alternate history,classic car,awesome soundtrack,censorship,desert,ensemble cast,alter ego,rebellion,russian,doctors,sexy,dysfunctional family,multiple storylines,brothers,1930s,hospital,prison,california,nudity (topless - brief),indians,foul language,teen movie,creativity,queer,farce,computer animation,women,small town,hotel,simple,tokyo,radio,island,race,bollywood,80s,writers,memory,blindness,oil,mad scientist,wilderness,pulp,new jersey,best of 2005,road movie,directorial debut,addiction,finnish,hunting,interracial romance,atheism,nudity (rear),internet,potential oscar nom,kidnapping,lawyer,texas,graphic novel,new york city,god,australia,stoner movie,notable nudity,dreams,divorce,time,workplace,made for tv,buddy movie,san francisco,french,trilogy,snakes,stand-up comedy,immortality,adoption,cancer,documentary,robert downey jr,father daughter relationship,no plot,unlikeable characters,too short,hip hop,ghosts/afterlife,wine,kick-butt women,los angeles,fashion,prostitution,goth,homeless,reality tv,remake,single father,shopping
Braveheart (1995),0.98775,0.97175,0.984,0.984,0.98775,0.97175,0.984,0.94275,0.9795,0.984,0.8972500000000001,0.9115,0.9085,0.8394999999999999,0.8069999999999999,0.9115,0.9895,0.62275,0.9795,0.64925,0.82575,0.9185,0.9185,0.85425,0.9185,0.5795,0.66925,0.6565,0.6435,0.9215,0.603,0.74925,0.66925,0.516,0.82575,0.53025,0.4609999999999999,0.41525,0.27825,0.411,0.6565,0.4277499999999999,0.1659999999999999,0.418,0.288,0.4439999999999999,0.155,0.1599999999999999,0.646,0.1039999999999999,0.54,0.8140000000000001,0.46525,0.3085,0.646,0.176,0.2274999999999999,0.0755,0.40075,0.90825,0.20425,0.21925,0.22225,0.25075,0.291,0.28075,0.2015,0.14375,0.16925,0.11825,0.1865,0.4695,0.385,0.4175,0.2005,0.20825,0.211,0.24925,0.1282499999999999,0.1044999999999999,0.081,0.3117499999999999,0.15275,0.09575,0.18625,0.198,0.388,0.2209999999999999,0.10975,0.1619999999999999,0.2194999999999999,0.069,0.2229999999999999,0.1257499999999999,0.1694999999999999,0.09975,0.1634999999999999,0.0685,0.203,0.10475,0.0364999999999999,0.0835,0.1044999999999999,0.10625,0.0807499999999999,0.1069999999999999,0.126,0.1277499999999999,0.0657499999999999,0.0812499999999999,0.44175,0.0605,0.1545,0.1639999999999999,0.1114999999999999,0.1044999999999999,0.14425,0.0767499999999999,0.26075,0.03925,0.11975,0.25875,0.0847499999999999,0.0657499999999999,0.2634999999999999,0.1455,0.0935,0.2185,0.0549999999999999,0.16475,0.04225,0.0625,0.0837499999999999,0.0554999999999999,0.0265,0.14775,0.03625,0.125,0.0295,0.0534999999999999,0.0539999999999999,0.05075,0.03375,0.04075,0.0369999999999999,0.025,0.06175,0.066,0.025
Crimson Tide (1995),0.99325,0.99325,0.8472500000000001,0.88375,0.8915,0.99325,0.8282499999999999,0.99325,0.8915,0.78925,0.8915,0.40475,0.58425,0.717,0.573,0.6285,0.5615,0.88375,0.65325,0.31025,0.747,0.839,0.9275,0.29825,0.839,0.63325,0.23225,0.2027499999999999,0.1735,0.21475,0.33125,0.43925,0.26675,0.1955,0.6465,0.56525,0.3115,0.36975,0.4,0.17725,0.2975,0.3455,0.2334999999999999,0.2055,0.218,0.12225,0.1315,0.207,0.2199999999999999,0.0837499999999999,0.2837499999999999,0.08725,0.3379999999999999,0.23475,0.1064999999999999,0.155,0.17075,0.27125,0.14725,0.46575,0.7889999999999999,0.256,0.132,0.17575,0.24625,0.0959999999999999,0.0549999999999999,0.184,0.1295,0.1475,0.1175,0.1307499999999999,0.1164999999999999,0.21775,0.23725,0.11325,0.10825,0.21925,0.08825,0.145,0.1825,0.177,0.0647499999999999,0.47075,0.1347499999999999,0.21975,0.0865,0.10675,0.16225,0.1352499999999999,0.15675,0.1985,0.1619999999999999,0.05825,0.1074999999999999,0.23575,0.0559999999999999,0.0667499999999999,0.0807499999999999,0.05125,0.087,0.0627499999999999,0.1465,0.1164999999999999,0.1129999999999999,0.3095,0.0615,0.11975,0.1515,0.04825,0.03675,0.0675,0.04975,0.0434999999999999,0.072,0.0845,0.05875,0.1367499999999999,0.0564999999999999,0.186,0.09175,0.0439999999999999,0.082,0.04375,0.064,0.0414999999999999,0.08,0.03925,0.0499999999999999,0.04825,0.027,0.04025,0.03325,0.1372499999999999,0.059,0.07,0.062,0.0805,0.0409999999999999,0.0459999999999999,0.0449999999999999,0.0329999999999999,0.0329999999999999,0.03825,0.0267499999999999,0.0399999999999999,0.0399999999999999,0.0459999999999999,0.04625
Schindler's List (1993),0.984,0.98675,0.99575,0.99575,0.94025,0.98675,0.99575,0.952,0.90725,0.99575,0.99825,0.98675,0.72275,0.86175,0.96175,0.98675,0.94025,0.68,0.8765000000000001,0.92025,0.7165,0.3715,0.3642499999999999,0.71675,0.39975,0.8422499999999999,0.8732500000000001,0.57425,0.9605,0.3355,0.96175,0.48875,0.53825,0.48475,0.3695,0.34325,0.39725,0.40625,0.415,0.56725,0.38475,0.50725,0.16075,0.3565,0.3309999999999999,0.4872499999999999,0.17175,0.646,0.60125,0.8732500000000001,0.3305,0.6825,0.3682499999999999,0.3027499999999999,0.5945,0.2827499999999999,0.12475,0.17275,0.33675,0.3575,0.15075,0.26175,0.424,0.356,0.33675,0.31225,0.61225,0.194,0.24625,0.14775,0.20975,0.363,0.36975,0.32125,0.22875,0.2654999999999999,0.18375,0.22375,0.173,0.14325,0.1265,0.251,0.1932499999999999,0.21675,0.148,0.28625,0.393,0.1805,0.1347499999999999,0.26,0.235,0.069,0.2274999999999999,0.14075,0.10325,0.14075,0.212,0.1084999999999999,0.177,0.15975,0.0494999999999999,0.09625,0.11575,0.20425,0.05275,0.0827499999999999,0.15075,0.0647499999999999,0.09425,0.0805,0.30125,0.0777499999999999,0.1684999999999999,0.0524999999999999,0.17675,0.0499999999999999,0.3219999999999999,0.093,0.177,0.04575,0.17125,0.1325,0.0732499999999999,0.04375,0.11075,0.15725,0.10275,0.1129999999999999,0.0984999999999999,0.17475,0.1054999999999999,0.04375,0.10525,0.04275,0.0409999999999999,0.0727499999999999,0.04175,0.0822499999999999,0.03775,0.03875,0.04825,0.03175,0.03775,0.16275,0.087,0.0569999999999999,0.0267499999999999,0.067,0.0339999999999999
Dances with Wolves (1990),0.8799999999999999,0.743,0.9505,0.9505,0.9215,0.98325,0.9505,0.7665,0.9215,0.9505,0.6675,0.88425,0.39225,0.5765,0.61325,0.631,0.9215,0.55925,0.8002499999999999,0.7809999999999999,0.6465,0.37275,0.27325,0.38225,0.42925,0.61275,0.367,0.647,0.64425,0.2035,0.4495,0.3239999999999999,0.28825,0.277,0.42925,0.3954999999999999,0.31025,0.3195,0.5415,0.4075,0.34025,0.36575,0.1119999999999999,0.3189999999999999,0.2284999999999999,0.32275,0.1505,0.1619999999999999,0.3632499999999999,0.0944999999999999,0.23125,0.8694999999999999,0.41625,0.2115,0.268,0.08875,0.4419999999999999,0.0479999999999999,0.0969999999999999,0.129,0.10925,0.1669999999999999,0.0895,0.177,0.137,0.247,0.141,0.1367499999999999,0.1094999999999999,0.1935,0.10625,0.99675,0.0722499999999999,0.411,0.20625,0.15075,0.09325,0.1955,0.1327499999999999,0.1345,0.0939999999999999,0.3339999999999999,0.079,0.1154999999999999,0.18725,0.3249999999999999,0.182,0.21475,0.10025,0.0584999999999999,0.1355,0.0665,0.10575,0.3415,0.10675,0.0757499999999999,0.0394999999999999,0.1415,0.189,0.081,0.0419999999999999,0.355,0.4519999999999999,0.21025,0.0647499999999999,0.174,0.04575,0.0692499999999999,0.0685,0.1345,0.0409999999999999,0.0494999999999999,0.16325,0.10075,0.15975,0.075,0.11175,0.06075,0.1932499999999999,0.05425,0.0687499999999999,0.04375,0.078,0.027,0.1365,0.16275,0.09425,0.0792499999999999,0.14325,0.20325,0.0379999999999999,0.029,0.0479999999999999,0.0524999999999999,0.0237499999999999,0.10825,0.04225,0.1215,0.0305,0.0695,0.04525,0.0359999999999999,0.03725,0.0267499999999999,0.04825,0.0344999999999999,0.0285,0.05475,0.05525
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),0.98275,0.98275,0.98275,0.98275,0.8965000000000001,0.98275,0.98275,0.8205,0.7235,0.95975,0.7235,0.95975,0.642,0.4822499999999999,0.85825,0.95975,0.46325,0.91475,0.375,0.83175,0.6235,0.29225,0.87425,0.672,0.18675,0.686,0.942,0.58525,0.25825,0.69375,0.4812499999999999,0.37525,0.942,0.2415,0.3532499999999999,0.6235,0.34175,0.20425,0.2907499999999999,0.4044999999999999,0.21575,0.40525,0.96975,0.1084999999999999,0.3007499999999999,0.15825,0.979,0.26575,0.3904999999999999,0.8947499999999999,0.20825,0.148,0.21,0.308,0.2614999999999999,0.46475,0.1975,0.3375,0.344,0.309,0.3532499999999999,0.2194999999999999,0.35975,0.3462499999999999,0.29125,0.1972499999999999,0.1089999999999999,0.1312499999999999,0.1059999999999999,0.24775,0.27375,0.05575,0.144,0.11425,0.30425,0.2794999999999999,0.86825,0.2269999999999999,0.14225,0.16625,0.26925,0.1704999999999999,0.2837499999999999,0.22275,0.10375,0.1285,0.128,0.086,0.17025,0.0875,0.1175,0.1815,0.3854999999999999,0.10475,0.133,0.1124999999999999,0.1634999999999999,0.128,0.2544999999999999,0.10225,0.04125,0.06075,0.066,0.1114999999999999,0.09025,0.0655,0.06125,0.04825,0.0529999999999999,0.1265,0.04225,0.0915,0.08,0.0479999999999999,0.3369999999999999,0.0292499999999999,0.11725,0.1054999999999999,0.129,0.37275,0.08775,0.05375,0.05825,0.0944999999999999,0.07,0.137,0.09175,0.0682499999999999,0.0479999999999999,0.0257499999999999,0.0805,0.09975,0.0717499999999999,0.0564999999999999,0.0815,0.0314999999999999,0.03075,0.03275,0.148,0.0272499999999999,0.04375,0.061,0.09175,0.04375,0.05175,0.05025,0.0127499999999999,0.0135,0.0205
Casablanca (1942),0.9845,0.9845,0.9845,0.9845,0.7635000000000001,0.9845,0.9845,0.82125,0.7635000000000001,0.97025,0.929,0.90225,0.7205,0.53925,0.51875,0.90225,0.49375,0.483,0.47575,0.30525,0.4712499999999999,0.51525,0.27325,0.3025,0.674,0.1945,0.97025,0.63375,0.8247500000000001,0.3552499999999999,0.369,0.37825,0.941,0.14525,0.28525,0.254,0.3884999999999999,0.3159999999999999,0.2279999999999999,0.21825,0.251,0.4167499999999999,0.31525,0.214,0.2415,0.6745,0.2694999999999999,0.26625,0.38275,0.94375,0.1475,0.11825,0.1965,0.27025,0.27725,0.36975,0.4227499999999999,0.36675,0.14075,0.1735,0.1114999999999999,0.1262499999999999,0.30025,0.1644999999999999,0.22275,0.22175,0.45325,0.1009999999999999,0.1134999999999999,0.209,0.18425,0.1019999999999999,0.12475,0.1257499999999999,0.24775,0.275,0.24225,0.214,0.10325,0.184,0.36775,0.22875,0.1235,0.15925,0.1302499999999999,0.0697499999999999,0.25175,0.066,0.1942499999999999,0.24025,0.1195,0.154,0.11875,0.0857499999999999,0.15825,0.0695,0.15425,0.121,0.155,0.04625,0.0504999999999999,0.0812499999999999,0.18625,0.085,0.0227499999999999,0.062,0.09375,0.0444999999999999,0.0559999999999999,0.05525,0.0359999999999999,0.1257499999999999,0.03425,0.04075,0.0677499999999999,0.03375,0.14275,0.3505,0.4509999999999999,0.0464999999999999,0.0667499999999999,0.0635,0.14675,0.29025,0.1325,0.122,0.0762499999999999,0.14675,0.03425,0.0369999999999999,0.04825,0.05525,0.03775,0.1149999999999999,0.0324999999999999,0.04575,0.0334999999999999,0.0559999999999999,0.17075,0.0285,0.06225,0.06,0.04575,0.0225,0.0295,0.0222499999999999,0.019,0.0182499999999999,0.021
Foreign Correspondent (1940),0.8992500000000001,0.97175,0.6995,0.8102499999999999,0.91625,0.891,0.6995,0.908,0.91625,0.646,0.91625,0.92675,0.97175,0.37625,0.3335,0.65875,0.703,0.97175,0.368,0.49575,0.4579999999999999,0.9455,0.38125,0.15075,0.37875,0.21325,0.7,0.34675,0.17325,0.703,0.31275,0.40025,0.4425,0.303,0.1855,0.25725,0.2574999999999999,0.32125,0.1704999999999999,0.22425,0.24475,0.27625,0.397,0.277,0.351,0.2022499999999999,0.2514999999999999,0.2269999999999999,0.15125,0.4095,0.17425,0.16775,0.0969999999999999,0.21825,0.0757499999999999,0.148,0.26025,0.14525,0.16125,0.0974999999999999,0.11975,0.18625,0.4812499999999999,0.1402499999999999,0.14825,0.1275,0.381,0.129,0.155,0.265,0.086,0.0969999999999999,0.0767499999999999,0.119,0.16475,0.27925,0.4107499999999999,0.1865,0.299,0.1262499999999999,0.73125,0.18025,0.0767499999999999,0.2005,0.15325,0.1044999999999999,0.1272499999999999,0.0574999999999999,0.1545,0.2309999999999999,0.1545,0.1277499999999999,0.0935,0.09875,0.21225,0.082,0.0817499999999999,0.2654999999999999,0.1415,0.0509999999999999,0.03875,0.15175,0.1169999999999999,0.0722499999999999,0.061,0.09475,0.05925,0.7522500000000001,0.14325,0.0554999999999999,0.0287499999999999,0.31025,0.0267499999999999,0.0702499999999999,0.06125,0.05725,0.05875,0.294,0.1285,0.0737499999999999,0.05825,0.0404999999999999,0.129,0.14,0.10125,0.04025,0.06125,0.0329999999999999,0.1327499999999999,0.0295,0.03875,0.05625,0.06175,0.24875,0.0627499999999999,0.06225,0.0339999999999999,0.0715,0.1395,0.0667499999999999,0.0369999999999999,0.18125,0.0667499999999999,0.0227499999999999,0.0504999999999999,0.0277499999999999,0.0354999999999999,0.03375,0.05175
Mr. Smith Goes to Washington (1939),0.9805,0.98925,0.98925,0.9805,0.9915,0.9805,0.98925,0.98925,0.7582500000000001,0.96625,0.7582500000000001,0.83725,0.961,0.92425,0.615,0.83725,0.44675,0.40925,0.5575,0.35875,0.4922499999999999,0.4077499999999999,0.3844999999999999,0.258,0.26125,0.34075,0.92975,0.4077499999999999,0.8567499999999999,0.3067499999999999,0.414,0.51475,0.71075,0.2804999999999999,0.1745,0.291,0.3189999999999999,0.3655,0.31325,0.32275,0.61125,0.40725,0.62125,0.3442499999999999,0.309,0.57625,0.1835,0.7995000000000001,0.2185,0.7922499999999999,0.18375,0.212,0.21775,0.32375,0.1735,0.42925,0.17925,0.1375,0.27175,0.2105,0.0925,0.1997499999999999,0.193,0.1629999999999999,0.15725,0.19,0.542,0.15975,0.1405,0.3239999999999999,0.14675,0.1624999999999999,0.17375,0.1679999999999999,0.2022499999999999,0.211,0.49975,0.2425,0.15325,0.5555,0.15225,0.33975,0.10775,0.2375,0.16975,0.2007499999999999,0.1927499999999999,0.1569999999999999,0.10925,0.126,0.1679999999999999,0.3139999999999999,0.2764999999999999,0.155,0.21625,0.1875,0.16775,0.15775,0.14675,0.074,0.0409999999999999,0.1305,0.1235,0.09775,0.0369999999999999,0.077,0.0655,0.069,0.2209999999999999,0.09725,0.0449999999999999,0.09875,0.15925,0.0409999999999999,0.0885,0.0267499999999999,0.34225,0.1277499999999999,0.2002499999999999,0.14075,0.10175,0.1569999999999999,0.1215,0.061,0.0662499999999999,0.18025,0.0767499999999999,0.0464999999999999,0.0662499999999999,0.0785,0.03875,0.09375,0.081,0.0675,0.0344999999999999,0.0755,0.03375,0.0529999999999999,0.05875,0.0444999999999999,0.0389999999999999,0.0584999999999999,0.0707499999999999,0.015,0.08625,0.03975,0.0305,0.03875,0.0275
Platoon (1986),0.968,0.968,0.96975,0.968,0.9935,0.968,0.968,0.9235,0.9935,0.965,0.9935,0.92075,0.8845000000000001,0.739,0.902,0.8972500000000001,0.8865000000000001,0.62925,0.762,0.62,0.52375,0.76325,0.76325,0.891,0.76325,0.66025,0.68325,0.642,0.567,0.33175,0.5445,0.3492499999999999,0.63325,0.5155,0.35975,0.3155,0.2955,0.389,0.46175,0.4685,0.4765,0.37375,0.26125,0.24925,0.376,0.415,0.31125,0.423,0.50075,0.31275,0.272,0.258,0.3175,0.294,0.4237499999999999,0.3209999999999999,0.1895,0.4842499999999999,0.38375,0.185,0.172,0.1584999999999999,0.2314999999999999,0.2495,0.33175,0.254,0.2115,0.2299999999999999,0.1704999999999999,0.23575,0.2905,0.22075,0.46125,0.185,0.1382499999999999,0.206,0.235,0.20675,0.14275,0.20775,0.15825,0.23025,0.1975,0.1545,0.10175,0.177,0.0835,0.351,0.1365,0.17525,0.204,0.0662499999999999,0.3155,0.11925,0.17025,0.15775,0.1435,0.1124999999999999,0.21225,0.486,0.151,0.20725,0.1277499999999999,0.091,0.0857499999999999,0.072,0.12275,0.0807499999999999,0.0647499999999999,0.128,0.26075,0.11125,0.091,0.05825,0.39475,0.0974999999999999,0.1169999999999999,0.1069999999999999,0.0915,0.0564999999999999,0.0732499999999999,0.2435,0.092,0.0635,0.15275,0.2334999999999999,0.08,0.0369999999999999,0.0755,0.0742499999999999,0.059,0.10425,0.05425,0.05225,0.0752499999999999,0.05575,0.04375,0.0682499999999999,0.0354999999999999,0.05075,0.11325,0.03825,0.06025,0.0712499999999999,0.05825,0.0514999999999999,0.0314999999999999,0.0255,0.0359999999999999
Paths of Glory (1957),0.98125,0.98125,0.98125,0.98125,0.95075,0.98125,0.98125,0.9005000000000001,0.95075,0.96475,0.95075,0.9715,0.7537499999999999,0.50975,0.8700000000000001,0.96475,0.4862499999999999,0.7075,0.72575,0.86775,0.4459999999999999,0.38225,0.4815,0.7989999999999999,0.33975,0.4014999999999999,0.9425,0.91075,0.37275,0.53625,0.5665,0.184,0.46675,0.65525,0.27,0.204,0.29425,0.3682499999999999,0.25225,0.4419999999999999,0.17275,0.374,0.6365,0.17325,0.278,0.255,0.574,0.357,0.33675,0.9425,0.15225,0.21025,0.17325,0.3,0.19,0.4872499999999999,0.25275,0.21975,0.2175,0.35,0.1987499999999999,0.17275,0.411,0.2339999999999999,0.1805,0.2204999999999999,0.15625,0.23075,0.187,0.22125,0.26625,0.0785,0.0984999999999999,0.0964999999999999,0.14825,0.22725,0.3209999999999999,0.247,0.15725,0.1957499999999999,0.2897499999999999,0.32225,0.288,0.0815,0.11425,0.09425,0.1382499999999999,0.064,0.1024999999999999,0.15925,0.18525,0.183,0.18325,0.1392499999999999,0.1337499999999999,0.08,0.14725,0.1714999999999999,0.23025,0.12275,0.15875,0.1159999999999999,0.0969999999999999,0.0825,0.1109999999999999,0.069,0.0787499999999999,0.0564999999999999,0.27725,0.1069999999999999,0.0645,0.09275,0.078,0.0725,0.1714999999999999,0.0255,0.10475,0.22675,0.0827499999999999,0.33775,0.11775,0.03675,0.1195,0.57825,0.10175,0.0745,0.08775,0.05025,0.05775,0.0334999999999999,0.0999999999999999,0.04275,0.0549999999999999,0.06025,0.0662499999999999,0.031,0.03425,0.0247499999999999,0.1505,0.03425,0.0379999999999999,0.0389999999999999,0.136,0.04875,0.0544999999999999,0.0277499999999999,0.0167499999999999,0.0147499999999999,0.0142499999999999
