movieId,fight scenes,weapons,chase,predictable,catastrophe,first contact,alter ego,light,good,original,fantasy world,weird,surveillance,vengeance,dialogue,mentor,very funny,fun movie,greed,adaptation,transformation,betrayal,mad scientist,graphic novel,immortality,sacrifice,family,computer animation,life philosophy,melancholic,survival,runaway,creativity,culture clash,drama,not funny,pulp,teen movie,pornography,camp,absurd,sexy,death,stereotypes,childhood,life & death,unlikeable characters,quirky,robert downey jr,internet,writers,too short,awesome soundtrack,trilogy,nudity (full frontal - brief),independent film,islam,god,no plot,remake,underrated,dysfunctional family,multiple storylines,unlikely friendships,women,alternate history,classic car,drinking,simple,queer,island,goth,too long,prejudice,ghosts/afterlife,period piece,farce,irish accent,tokyo,new jersey,british,blindness,california,brothers,nudity (rear),new york city,best of 2005,hospital,wartime,doctors,race,kick-butt women,desert,memory,film noir,ensemble cast,bollywood,80s,indians,hip hop,prison,stand-up comedy,fashion,snakes,russian,single father,road movie,san francisco,1930s,good music,dreams,notable nudity,father daughter relationship,atheism,buddy movie,hotel,kidnapping,small town,workplace,divorce,cancer,foul language,shopping,adoption,stoner movie,los angeles,censorship,interracial romance,reality tv,rebellion,finnish,addiction,made for tv,wilderness,nudity (topless - brief),oil,time,directorial debut,hunting,wine,homeless,australia,french,radio,prostitution,texas,potential oscar nom,lawyer,documentary
Mortal Kombat (1995),0.98925,0.9735,0.9735,0.7882499999999999,0.7882499999999999,0.8614999999999999,0.4965,0.40475,0.68575,0.77725,0.63,0.5515,0.4435,0.75675,0.5805,0.6165,0.58075,0.60175,0.31,0.53775,0.4355,0.39325,0.4722499999999999,0.11125,0.60425,0.28425,0.37925,0.187,0.31625,0.5515,0.3964999999999999,0.31675,0.25225,0.3415,0.3735,0.3359999999999999,0.2309999999999999,0.264,0.24375,0.39225,0.2105,0.2355,0.3429999999999999,0.36275,0.4692499999999999,0.30425,0.21725,0.254,0.10225,0.2644999999999999,0.2239999999999999,0.08675,0.9315,0.0625,0.2007499999999999,0.1679999999999999,0.0857499999999999,0.17625,0.25775,0.0939999999999999,0.172,0.17725,0.25475,0.27275,0.1584999999999999,0.14325,0.188,0.0999999999999999,0.1977499999999999,0.156,0.6985,0.16575,0.0755,0.0984999999999999,0.081,0.0875,0.1415,0.127,0.08925,0.1937499999999999,0.0832499999999999,0.14425,0.1932499999999999,0.18125,0.09975,0.0722499999999999,0.0319999999999999,0.11975,0.05625,0.11175,0.0812499999999999,0.21275,0.0742499999999999,0.0949999999999999,0.10775,0.09475,0.09475,0.1992499999999999,0.086,0.1699999999999999,0.10225,0.1255,0.064,0.24825,0.08875,0.04525,0.074,0.067,0.0584999999999999,0.12025,0.11125,0.0662499999999999,0.03075,0.0675,0.15025,0.069,0.0782499999999999,0.09325,0.0842499999999999,0.0825,0.0539999999999999,0.1119999999999999,0.05075,0.0712499999999999,0.0842499999999999,0.0735,0.0852499999999999,0.06025,0.0949999999999999,0.0319999999999999,0.04575,0.0627499999999999,0.0637499999999999,0.1044999999999999,0.09,0.03725,0.0379999999999999,0.1134999999999999,0.0999999999999999,0.03125,0.03575,0.0712499999999999,0.03875,0.0782499999999999,0.04025,0.05625,0.0384999999999999,0.02975,0.021
Batman Forever (1995),0.968,0.8805000000000001,0.8805000000000001,0.9725,0.7265,0.548,0.9835,0.968,0.58675,0.69275,0.31725,0.4865,0.5635,0.97425,0.46825,0.615,0.4075,0.34175,0.4865,0.4705,0.39075,0.35375,0.47175,0.3535,0.22525,0.4145,0.44175,0.21,0.28425,0.4405,0.18575,0.3512499999999999,0.32425,0.3512499999999999,0.24425,0.367,0.20725,0.21975,0.4865,0.52225,0.15875,0.3205,0.3585,0.194,0.2584999999999999,0.18,0.2375,0.24225,0.1664999999999999,0.186,0.14725,0.0745,0.12025,0.069,0.192,0.4865,0.091,0.0712499999999999,0.092,0.0915,0.1877499999999999,0.1922499999999999,0.1415,0.16875,0.1564999999999999,0.17675,0.144,0.0999999999999999,0.08675,0.21025,0.1317499999999999,0.58675,0.071,0.1104999999999999,0.08625,0.12075,0.11025,0.128,0.0695,0.11425,0.09825,0.09675,0.09,0.1745,0.1044999999999999,0.081,0.1019999999999999,0.09225,0.0559999999999999,0.16075,0.0707499999999999,0.04175,0.03875,0.076,0.2309999999999999,0.06175,0.1059999999999999,0.0825,0.0735,0.11175,0.1925,0.10225,0.077,0.0755,0.0584999999999999,0.066,0.08725,0.09025,0.0655,0.09225,0.0742499999999999,0.0762499999999999,0.04125,0.06025,0.05125,0.076,0.0584999999999999,0.0812499999999999,0.0842499999999999,0.1009999999999999,0.0665,0.0705,0.0484999999999999,0.0979999999999999,0.066,0.03475,0.10675,0.0852499999999999,0.146,0.03,0.0384999999999999,0.1089999999999999,0.06,0.03875,0.0549999999999999,0.0464999999999999,0.03075,0.0847499999999999,0.029,0.03475,0.0389999999999999,0.0399999999999999,0.0349999999999999,0.04325,0.04125,0.0489999999999999,0.0295,0.04975,0.0205
Judge Dredd (1995),0.99525,0.9465,0.9465,0.9325,0.9325,0.9965,0.949,0.99525,0.618,0.76525,0.3209999999999999,0.51725,0.502,0.639,0.491,0.658,0.4295,0.68425,0.639,0.59475,0.3595,0.56625,0.4895,0.4812499999999999,0.45375,0.29625,0.3472499999999999,0.3097499999999999,0.3565,0.3924999999999999,0.9965,0.349,0.307,0.27775,0.2594999999999999,0.34475,0.414,0.3055,0.21675,0.4895,0.48575,0.1569999999999999,0.26975,0.12025,0.1967499999999999,0.18225,0.1795,0.277,0.11075,0.356,0.2065,0.0815,0.1325,0.0935,0.2015,0.1262499999999999,0.4257499999999999,0.0677499999999999,0.078,0.1119999999999999,0.20875,0.20575,0.208,0.1485,0.141,0.1659999999999999,0.2,0.125,0.11325,0.152,0.128,0.18475,0.077,0.0732499999999999,0.1024999999999999,0.0752499999999999,0.2614999999999999,0.08875,0.0832499999999999,0.194,0.1392499999999999,0.10325,0.145,0.0722499999999999,0.1352499999999999,0.1285,0.0722499999999999,0.0979999999999999,0.0635,0.12075,0.0642499999999999,0.069,0.2825,0.271,0.141,0.0569999999999999,0.0815,0.27975,0.0595,0.10925,0.179,0.10625,0.143,0.126,0.0635,0.03775,0.11125,0.1059999999999999,0.0645,0.11425,0.0715,0.062,0.0314999999999999,0.0494999999999999,0.0697499999999999,0.0817499999999999,0.04825,0.076,0.11525,0.0827499999999999,0.05425,0.0564999999999999,0.1312499999999999,0.0677499999999999,0.067,0.15025,0.385,0.0787499999999999,0.10425,0.10875,0.03475,0.066,0.04775,0.0817499999999999,0.10275,0.0682499999999999,0.08975,0.0652499999999999,0.03825,0.0334999999999999,0.0642499999999999,0.0439999999999999,0.0379999999999999,0.0655,0.0865,0.03225,0.0282499999999999,0.0489999999999999,0.0177499999999999
"Shadow, The (1994)",0.9955,0.6215,0.6215,0.81125,0.81125,0.79325,0.9955,0.9955,0.57575,0.6835,0.54775,0.56225,0.37925,0.938,0.4515,0.59425,0.4722499999999999,0.54825,0.56225,0.5695,0.4499999999999999,0.3894999999999999,0.47275,0.415,0.56125,0.2927499999999999,0.22825,0.16975,0.31575,0.52075,0.38925,0.3335,0.2334999999999999,0.3335,0.24525,0.31025,0.90725,0.134,0.3125,0.47275,0.2005,0.181,0.16925,0.15575,0.2744999999999999,0.1689999999999999,0.1382499999999999,0.218,0.1332499999999999,0.2284999999999999,0.18025,0.06125,0.14475,0.0499999999999999,0.15325,0.3125,0.0755,0.05025,0.1079999999999999,0.05825,0.32375,0.1965,0.1855,0.1285,0.1255,0.1415,0.17575,0.1342499999999999,0.0727499999999999,0.1402499999999999,0.18,0.146,0.10775,0.0727499999999999,0.0677499999999999,0.22775,0.16625,0.149,0.0672499999999999,0.1084999999999999,0.076,0.1277499999999999,0.178,0.088,0.1124999999999999,0.762,0.0999999999999999,0.11625,0.05475,0.16725,0.0672499999999999,0.0672499999999999,0.0797499999999999,0.14575,0.285,0.09525,0.05625,0.0787499999999999,0.09475,0.0745,0.071,0.1004999999999999,0.15975,0.0785,0.0625,0.0319999999999999,0.09075,0.1044999999999999,0.926,0.15325,0.10125,0.0409999999999999,0.0379999999999999,0.04475,0.023,0.15925,0.1014999999999999,0.14,0.0595,0.0687499999999999,0.04875,0.03025,0.05025,0.0479999999999999,0.05925,0.0969999999999999,0.0999999999999999,0.05725,0.0534999999999999,0.024,0.04275,0.074,0.068,0.078,0.14375,0.09575,0.0757499999999999,0.05775,0.0439999999999999,0.0285,0.0544999999999999,0.1044999999999999,0.0305,0.4985,0.04075,0.0519999999999999,0.0489999999999999,0.03,0.0195
"Phantom, The (1996)",0.99875,0.8500000000000001,0.8500000000000001,0.8494999999999999,0.8494999999999999,0.73275,0.99875,0.99875,0.6035,0.6575,0.56975,0.671,0.3369999999999999,0.68425,0.41025,0.45125,0.54875,0.79325,0.402,0.63475,0.4842499999999999,0.31825,0.58725,0.2957499999999999,0.74425,0.3015,0.30325,0.25475,0.3115,0.32125,0.15125,0.3944999999999999,0.2299999999999999,0.2405,0.239,0.3007499999999999,0.84825,0.217,0.1709999999999999,0.58725,0.21925,0.34975,0.155,0.15675,0.26625,0.1515,0.14925,0.2175,0.151,0.1925,0.1465,0.118,0.1134999999999999,0.04625,0.1505,0.12075,0.0672499999999999,0.0374999999999999,0.05275,0.10275,0.1589999999999999,0.15125,0.17125,0.177,0.1704999999999999,0.11425,0.14775,0.12425,0.1282499999999999,0.14925,0.31125,0.0817499999999999,0.10525,0.1009999999999999,0.1014999999999999,0.4355,0.15775,0.081,0.06075,0.09675,0.0642499999999999,0.1124999999999999,0.259,0.071,0.0725,0.22125,0.09125,0.09975,0.05625,0.1325,0.0662499999999999,0.05675,0.09325,0.0692499999999999,0.10375,0.05325,0.0642499999999999,0.1327499999999999,0.1215,0.0765,0.0697499999999999,0.09775,0.3645,0.09225,0.0449999999999999,0.0354999999999999,0.0775,0.10375,0.6095,0.1124999999999999,0.0647499999999999,0.04675,0.04425,0.04075,0.03025,0.0735,0.09025,0.0984999999999999,0.05575,0.0677499999999999,0.05825,0.027,0.0702499999999999,0.06175,0.06125,0.0655,0.0717499999999999,0.0805,0.03375,0.03125,0.031,0.063,0.0524999999999999,0.0519999999999999,0.08625,0.073,0.0292499999999999,0.0434999999999999,0.03825,0.0519999999999999,0.03,0.15325,0.03025,0.0655,0.05225,0.065,0.023,0.0369999999999999,0.0157499999999999
Batman Returns (1992),0.97325,0.786,0.786,0.93275,0.52025,0.30925,0.9965,0.97325,0.5265,0.88575,0.72625,0.88575,0.417,0.989,0.51725,0.43925,0.29925,0.34475,0.88575,0.55525,0.4805,0.60025,0.394,0.635,0.2304999999999999,0.387,0.25675,0.1337499999999999,0.3595,0.50475,0.1069999999999999,0.3575,0.34875,0.3575,0.45075,0.32875,0.21575,0.1275,0.88575,0.394,0.258,0.428,0.2955,0.1377499999999999,0.27575,0.1987499999999999,0.2334999999999999,0.4629999999999999,0.241,0.1059999999999999,0.16675,0.05425,0.1372499999999999,0.1402499999999999,0.16775,0.88575,0.08625,0.0399999999999999,0.0944999999999999,0.0847499999999999,0.3774999999999999,0.2415,0.1365,0.2085,0.1624999999999999,0.16225,0.1957499999999999,0.20925,0.09225,0.21525,0.0627499999999999,0.66925,0.064,0.1262499999999999,0.1465,0.1154999999999999,0.1855,0.1265,0.15175,0.1335,0.09875,0.10675,0.16925,0.15225,0.1004999999999999,0.1175,0.24575,0.1205,0.05925,0.15625,0.0559999999999999,0.06,0.0489999999999999,0.0672499999999999,0.3015,0.0795,0.0695,0.0994999999999999,0.059,0.0715,0.09,0.0855,0.0514999999999999,0.08625,0.04275,0.024,0.079,0.091,0.12475,0.0925,0.084,0.0584999999999999,0.0419999999999999,0.05975,0.0657499999999999,0.1252499999999999,0.131,0.133,0.082,0.0802499999999999,0.0625,0.06,0.03975,0.074,0.0785,0.061,0.11775,0.0524999999999999,0.131,0.0399999999999999,0.05025,0.16725,0.0647499999999999,0.05825,0.14125,0.04225,0.04575,0.07,0.04825,0.04375,0.0534999999999999,0.065,0.04225,0.0389999999999999,0.0539999999999999,0.061,0.0549999999999999,0.03475,0.027
Batman & Robin (1997),0.95875,0.87025,0.87025,0.9725,0.90475,0.73375,0.97825,0.95875,0.611,0.72825,0.44875,0.6155,0.651,0.887,0.60675,0.52475,0.68725,0.38725,0.34675,0.524,0.40225,0.3195,0.6145,0.53125,0.2855,0.4087499999999999,0.53175,0.3552499999999999,0.30225,0.3225,0.1124999999999999,0.2784999999999999,0.1957499999999999,0.292,0.2774999999999999,0.31425,0.2947499999999999,0.3185,0.36475,0.694,0.22025,0.42025,0.3155,0.2254999999999999,0.23425,0.20425,0.399,0.24725,0.1375,0.2877499999999999,0.27475,0.1164999999999999,0.1059999999999999,0.1225,0.20675,0.242,0.10925,0.278,0.21425,0.244,0.1392499999999999,0.2269999999999999,0.1902499999999999,0.182,0.2017499999999999,0.1594999999999999,0.1689999999999999,0.1252499999999999,0.10925,0.243,0.10875,0.2684999999999999,0.1267499999999999,0.0895,0.0655,0.1149999999999999,0.29025,0.1405,0.0652499999999999,0.1555,0.0847499999999999,0.11175,0.1405,0.1604999999999999,0.1925,0.09575,0.11225,0.13,0.0667499999999999,0.14,0.09825,0.0665,0.0494999999999999,0.08975,0.11975,0.08875,0.1337499999999999,0.092,0.082,0.1495,0.10225,0.11275,0.09475,0.1169999999999999,0.0712499999999999,0.091,0.12425,0.0787499999999999,0.0662499999999999,0.068,0.09,0.11225,0.0424999999999999,0.0782499999999999,0.0479999999999999,0.0652499999999999,0.067,0.079,0.0742499999999999,0.077,0.0969999999999999,0.0564999999999999,0.08825,0.0817499999999999,0.0845,0.0637499999999999,0.07,0.08725,0.2244999999999999,0.03425,0.04425,0.0777499999999999,0.072,0.04825,0.0539999999999999,0.0524999999999999,0.03275,0.059,0.03175,0.04325,0.03225,0.04125,0.0404999999999999,0.0319999999999999,0.04425,0.03675,0.0295,0.04475,0.023
Spawn (1997),0.997,0.7889999999999999,0.7889999999999999,0.79775,0.796,0.93625,0.997,0.997,0.74525,0.703,0.624,0.6965,0.5595,0.72975,0.55775,0.63525,0.3602499999999999,0.27975,0.607,0.6925,0.46425,0.489,0.632,0.93975,0.48475,0.4347499999999999,0.2355,0.47875,0.34125,0.4365,0.24675,0.40325,0.35175,0.29425,0.29425,0.32075,0.45875,0.203,0.44575,0.45775,0.31775,0.1992499999999999,0.303,0.154,0.1664999999999999,0.2189999999999999,0.30225,0.24575,0.1875,0.17325,0.211,0.0939999999999999,0.4315,0.09,0.32925,0.359,0.0677499999999999,0.23775,0.09375,0.0865,0.22375,0.27275,0.2445,0.2334999999999999,0.1345,0.14225,0.1947499999999999,0.14175,0.10775,0.15875,0.10225,0.55675,0.0817499999999999,0.1049999999999999,0.10475,0.06,0.1609999999999999,0.1114999999999999,0.09675,0.145,0.075,0.15475,0.18325,0.1355,0.1395,0.1555,0.1039999999999999,0.14575,0.1355,0.1704999999999999,0.0722499999999999,0.1029999999999999,0.0792499999999999,0.0865,0.14575,0.072,0.0775,0.0812499999999999,0.1327499999999999,0.10325,0.0835,0.1134999999999999,0.0429999999999999,0.10725,0.05025,0.0292499999999999,0.11525,0.08975,0.063,0.0667499999999999,0.063,0.0835,0.04025,0.0657499999999999,0.0404999999999999,0.0625,0.04075,0.09625,0.079,0.0595,0.1355,0.0494999999999999,0.0702499999999999,0.1307499999999999,0.1004999999999999,0.0742499999999999,0.09175,0.09925,0.0625,0.03,0.0434999999999999,0.0702499999999999,0.0685,0.059,0.12425,0.0349999999999999,0.0339999999999999,0.0762499999999999,0.0454999999999999,0.0314999999999999,0.1307499999999999,0.0695,0.04075,0.04325,0.04975,0.09,0.0454999999999999,0.0292499999999999,0.0212499999999999
Steel (1997),0.98875,0.92775,0.70975,0.95075,0.7649999999999999,0.71225,0.98875,0.98875,0.578,0.742,0.375,0.52925,0.2289999999999999,0.869,0.51225,0.4825,0.51925,0.36175,0.40825,0.46725,0.22525,0.2875,0.37475,0.1897499999999999,0.1485,0.26625,0.5615,0.20625,0.276,0.31,0.0647499999999999,0.39325,0.22375,0.2794999999999999,0.2794999999999999,0.262,0.48375,0.32275,0.24475,0.37475,0.24975,0.156,0.503,0.1927499999999999,0.1485,0.28025,0.32725,0.3265,0.17125,0.2015,0.32975,0.09925,0.072,0.0349999999999999,0.2254999999999999,0.3632499999999999,0.119,0.0989999999999999,0.0935,0.283,0.09175,0.271,0.4034999999999999,0.23825,0.1877499999999999,0.173,0.20375,0.1365,0.10075,0.52525,0.11925,0.0524999999999999,0.152,0.0775,0.08875,0.119,0.3265,0.138,0.0847499999999999,0.16175,0.05175,0.09375,0.37775,0.1154999999999999,0.1699999999999999,0.087,0.0842499999999999,0.15675,0.0875,0.10075,0.06175,0.084,0.0655,0.22275,0.15375,0.093,0.0935,0.189,0.08725,0.177,0.1029999999999999,0.135,0.0652499999999999,0.05275,0.0652499999999999,0.0449999999999999,0.14525,0.12225,0.1144999999999999,0.087,0.092,0.1385,0.0499999999999999,0.06075,0.0732499999999999,0.0702499999999999,0.0554999999999999,0.0682499999999999,0.1004999999999999,0.065,0.2345,0.03975,0.16825,0.071,0.0944999999999999,0.86775,0.15575,0.0657499999999999,0.0459999999999999,0.0295,0.0444999999999999,0.0569999999999999,0.0657499999999999,0.0529999999999999,0.0737499999999999,0.04175,0.03575,0.0514999999999999,0.0225,0.04275,0.067,0.0389999999999999,0.0439999999999999,0.03725,0.0737499999999999,0.1129999999999999,0.0374999999999999,0.04775,0.014
Prince Valiant (1997),0.94975,0.739,0.63875,0.7265,0.632,0.8022499999999999,0.81925,0.94975,0.62675,0.8035000000000001,0.9205,0.4992499999999999,0.27775,0.61775,0.60875,0.58825,0.7265,0.437,0.61775,0.72075,0.4097499999999999,0.3345,0.1795,0.4942499999999999,0.4097499999999999,0.41725,0.4575,0.3904999999999999,0.273,0.40175,0.11675,0.397,0.1875,0.4519999999999999,0.385,0.3219999999999999,0.7729999999999999,0.175,0.3565,0.1415,0.15775,0.59575,0.1069999999999999,0.3984999999999999,0.2204999999999999,0.1295,0.307,0.27025,0.1365,0.14775,0.4297499999999999,0.2395,0.15375,0.16625,0.2075,0.25675,0.16725,0.129,0.07,0.374,0.08875,0.2624999999999999,0.2455,0.21075,0.16375,0.16175,0.14275,0.1525,0.1795,0.18725,0.312,0.18025,0.204,0.11025,0.10175,0.3502499999999999,0.25225,0.2175,0.1069999999999999,0.08625,0.22875,0.09525,0.18325,0.2015,0.51125,0.1322499999999999,0.0369999999999999,0.11775,0.139,0.11775,0.2135,0.09625,0.21275,0.15575,0.139,0.0655,0.08925,0.0939999999999999,0.0792499999999999,0.024,0.1009999999999999,0.135,0.1367499999999999,0.0752499999999999,0.04575,0.2784999999999999,0.1415,0.0707499999999999,0.253,0.0672499999999999,0.088,0.1619999999999999,0.03275,0.066,0.03475,0.05275,0.0665,0.05725,0.0474999999999999,0.077,0.0692499999999999,0.0339999999999999,0.0197499999999999,0.05025,0.0544999999999999,0.03875,0.1074999999999999,0.126,0.0777499999999999,0.16675,0.03425,0.0959999999999999,0.203,0.0364999999999999,0.10525,0.0265,0.0305,0.15775,0.04525,0.03725,0.0519999999999999,0.0359999999999999,0.0324999999999999,0.03475,0.0647499999999999,0.17025,0.0509999999999999,0.03825,0.03775
