movieId,pornography,sexy,original,melancholic,women,predictable,weird,good,vengeance,teen movie,mentor,independent film,greed,catastrophe,dialogue,runaway,drama,queer,betrayal,very funny,culture clash,unlikely friendships,adaptation,stereotypes,fantasy world,life philosophy,nudity (full frontal - brief),chase,drinking,quirky,not funny,fight scenes,light,fun movie,first contact,writers,notable nudity,life & death,family,dysfunctional family,absurd,transformation,multiple storylines,death,nudity (rear),divorce,camp,censorship,farce,addiction,weapons,internet,surveillance,prejudice,new jersey,pulp,classic car,interracial romance,computer animation,creativity,underrated,childhood,sacrifice,alter ego,california,doctors,awesome soundtrack,islam,hospital,irish accent,road movie,nudity (topless - brief),period piece,hotel,mad scientist,hip hop,unlikeable characters,80s,british,fashion,small town,new york city,too long,stand-up comedy,dreams,kick-butt women,shopping,foul language,good music,los angeles,alternate history,blindness,workplace,film noir,bollywood,memory,stoner movie,reality tv,prostitution,no plot,tokyo,graphic novel,directorial debut,wartime,island,simple,atheism,goth,prison,survival,indians,ensemble cast,san francisco,adoption,remake,wilderness,kidnapping,god,cancer,robert downey jr,immortality,brothers,texas,race,single father,wine,1930s,australia,too short,made for tv,finnish,father daughter relationship,buddy movie,potential oscar nom,rebellion,lawyer,russian,ghosts/afterlife,radio,documentary,snakes,desert,best of 2005,french,trilogy,homeless,time,hunting,oil
When Night Is Falling (1995),0.8125,0.863,0.5745,0.90775,0.808,0.25975,0.90775,0.9335,0.4429999999999999,0.17025,0.36675,0.3265,0.90775,0.43125,0.3562499999999999,0.5015,0.23825,0.697,0.4004999999999999,0.25975,0.5665,0.184,0.26725,0.32625,0.3219999999999999,0.18275,0.46375,0.264,0.25425,0.24225,0.33275,0.2744999999999999,0.26125,0.0944999999999999,0.2415,0.1669999999999999,0.17775,0.3399999999999999,0.12075,0.182,0.13,0.44125,0.21925,0.2817499999999999,0.29525,0.266,0.142,0.18475,0.144,0.0845,0.142,0.084,0.203,0.20475,0.0785,0.1362499999999999,0.16575,0.46125,0.14075,0.258,0.22175,0.1114999999999999,0.344,0.15425,0.11675,0.04975,0.203,0.0762499999999999,0.0994999999999999,0.4257499999999999,0.1139999999999999,0.3087499999999999,0.10025,0.1714999999999999,0.142,0.08875,0.10625,0.059,0.181,0.1164999999999999,0.08625,0.0489999999999999,0.062,0.17475,0.1049999999999999,0.092,0.12325,0.03475,0.085,0.05025,0.0635,0.1014999999999999,0.0554999999999999,0.11325,0.4365,0.14475,0.0595,0.05525,0.073,0.1014999999999999,0.1225,0.27575,0.1205,0.1649999999999999,0.06075,0.10775,0.378,0.1049999999999999,0.09,0.0662499999999999,0.1357499999999999,0.0394999999999999,0.10725,0.0847499999999999,0.0237499999999999,0.04475,0.04625,0.32725,0.0915,0.0449999999999999,0.1054999999999999,0.0875,0.0865,0.0847499999999999,0.0414999999999999,0.0429999999999999,0.04825,0.0767499999999999,0.0424999999999999,0.0584999999999999,0.0524999999999999,0.0647499999999999,0.04325,0.1365,0.20575,0.0227499999999999,0.04925,0.092,0.0549999999999999,0.05075,0.0419999999999999,0.08925,0.0235,0.03675,0.04125,0.0195,0.068,0.011,0.03375
French Twist (Gazon maudit) (1995),0.92675,0.92675,0.55675,0.9455,0.8905000000000001,0.2345,0.49975,0.41525,0.40075,0.1342499999999999,0.3854999999999999,0.3319999999999999,0.5135,0.4297499999999999,0.3732499999999999,0.383,0.5135,0.4802499999999999,0.588,0.50325,0.39125,0.15975,0.29825,0.4835,0.2345,0.45175,0.45025,0.23125,0.2395,0.20475,0.21,0.2095,0.6055,0.51,0.24625,0.4479999999999999,0.40725,0.1535,0.1307499999999999,0.22575,0.18575,0.22125,0.1845,0.155,0.4165,0.81175,0.0805,0.666,0.4469999999999999,0.0989999999999999,0.17825,0.0682499999999999,0.16875,0.263,0.09375,0.147,0.11525,0.20325,0.15025,0.24375,0.1825,0.16075,0.09325,0.1205,0.09675,0.1332499999999999,0.11075,0.11725,0.0605,0.12475,0.08625,0.1345,0.1535,0.2249999999999999,0.0554999999999999,0.0509999999999999,0.10575,0.0939999999999999,0.1515,0.1825,0.085,0.0554999999999999,0.0632499999999999,0.0667499999999999,0.0755,0.0652499999999999,0.0584999999999999,0.0645,0.0905,0.0574999999999999,0.088,0.13,0.1965,0.155,0.09625,0.0735,0.09,0.0762499999999999,0.0845,0.12275,0.1089999999999999,0.0202499999999999,0.08975,0.1679999999999999,0.0777499999999999,0.0737499999999999,0.0697499999999999,0.03525,0.0665,0.05725,0.0627499999999999,0.0474999999999999,0.0384999999999999,0.1129999999999999,0.0217499999999999,0.09325,0.06125,0.03025,0.03525,0.0725,0.03725,0.0579999999999999,0.04275,0.06125,0.0519999999999999,0.15175,0.10225,0.0805,0.015,0.062,0.05775,0.088,0.0359999999999999,0.0245,0.0272499999999999,0.03575,0.05175,0.04975,0.0292499999999999,0.0494999999999999,0.0277499999999999,0.0359999999999999,0.05275,0.472,0.03825,0.0227499999999999,0.0212499999999999,0.0292499999999999,0.03475
"Doom Generation, The (1995)",0.94525,0.94525,0.92675,0.519,0.22175,0.808,0.9245,0.246,0.92675,0.4952499999999999,0.3299999999999999,0.65,0.362,0.4207499999999999,0.60175,0.3145,0.24675,0.7405,0.69975,0.3429999999999999,0.257,0.17325,0.24425,0.1024999999999999,0.31975,0.29,0.34325,0.2594999999999999,0.14225,0.541,0.30025,0.246,0.14575,0.1445,0.2365,0.15525,0.15075,0.243,0.09275,0.1935,0.473,0.2115,0.23575,0.2485,0.1395,0.0697499999999999,0.378,0.39775,0.18275,0.211,0.1932499999999999,0.193,0.68975,0.09,0.1044999999999999,0.60275,0.21925,0.0584999999999999,0.12175,0.18725,0.1337499999999999,0.1099999999999999,0.12025,0.12375,0.277,0.10225,0.15825,0.0732499999999999,0.10725,0.1377499999999999,0.59025,0.1069999999999999,0.062,0.199,0.2957499999999999,0.062,0.10275,0.1084999999999999,0.05925,0.05375,0.0554999999999999,0.0529999999999999,0.1079999999999999,0.0765,0.10425,0.063,0.082,0.09925,0.15825,0.0737499999999999,0.0984999999999999,0.0665,0.0792499999999999,0.14175,0.05025,0.085,0.21225,0.1159999999999999,0.082,0.1205,0.073,0.1992499999999999,0.0727499999999999,0.0687499999999999,0.0544999999999999,0.06225,0.071,0.57475,0.0697499999999999,0.1935,0.0685,0.04175,0.04475,0.0424999999999999,0.0257499999999999,0.077,0.0605,0.1975,0.0354999999999999,0.0504999999999999,0.0847499999999999,0.0647499999999999,0.0424999999999999,0.05475,0.0117499999999999,0.03375,0.03525,0.0765,0.0247499999999999,0.0404999999999999,0.05725,0.0197499999999999,0.04375,0.0192499999999999,0.09825,0.0165,0.0549999999999999,0.03575,0.0369999999999999,0.0195,0.0494999999999999,0.05675,0.016,0.0364999999999999,0.09075,0.0419999999999999,0.0344999999999999,0.026,0.022
Jeffrey (1995),0.61625,0.54125,0.6495,0.6855,0.289,0.25525,0.369,0.5415,0.4287499999999999,0.20625,0.61,0.5475,0.43,0.4375,0.57425,0.427,0.5475,0.99625,0.2955,0.5615,0.5475,0.4895,0.418,0.7495,0.2827499999999999,0.3705,0.4155,0.258,0.3642499999999999,0.364,0.25475,0.3005,0.3512499999999999,0.23175,0.192,0.214,0.11875,0.6975,0.1505,0.1897499999999999,0.26775,0.27075,0.16875,0.57125,0.155,0.0994999999999999,0.523,0.12425,0.26775,0.241,0.131,0.0857499999999999,0.2955,0.4145,0.2239999999999999,0.13,0.1619999999999999,0.21775,0.154,0.23275,0.2917499999999999,0.14825,0.1825,0.194,0.1252499999999999,0.09425,0.266,0.1322499999999999,0.1805,0.26625,0.12475,0.1114999999999999,0.133,0.12025,0.0857499999999999,0.08775,0.1024999999999999,0.08825,0.2214999999999999,0.0652499999999999,0.15775,0.4325,0.0855,0.1609999999999999,0.2867499999999999,0.078,0.04925,0.09625,0.21825,0.0697499999999999,0.10775,0.15525,0.08,0.0969999999999999,0.15275,0.0777499999999999,0.1725,0.1282499999999999,0.0735,0.0484999999999999,0.0574999999999999,0.0682499999999999,0.11075,0.08825,0.05225,0.0732499999999999,0.18025,0.04625,0.0944999999999999,0.0999999999999999,0.0692499999999999,0.0479999999999999,0.1262499999999999,0.061,0.064,0.0667499999999999,0.0424999999999999,0.0772499999999999,0.268,0.1684999999999999,0.06075,0.1265,0.05925,0.0722499999999999,0.0989999999999999,0.03025,0.09625,0.1044999999999999,0.03075,0.1014999999999999,0.0222499999999999,0.077,0.05325,0.0379999999999999,0.0544999999999999,0.063,0.0539999999999999,0.1365,0.03675,0.03125,0.04025,0.0449999999999999,0.0514999999999999,0.0439999999999999,0.1139999999999999,0.081,0.0399999999999999,0.03075,0.0217499999999999
Love & Human Remains (1993),0.754,0.754,0.6215,0.9595,0.4195,0.36975,0.78725,0.5665,0.618,0.33125,0.55475,0.56875,0.618,0.4489999999999999,0.59425,0.37075,0.534,0.9645,0.3502499999999999,0.35075,0.37075,0.46275,0.359,0.305,0.3245,0.4735,0.1972499999999999,0.1945,0.32525,0.4257499999999999,0.3047499999999999,0.23975,0.35075,0.18675,0.23225,0.3339999999999999,0.3824999999999999,0.22675,0.1415,0.4255,0.1594999999999999,0.2445,0.42025,0.26175,0.16175,0.1922499999999999,0.09575,0.11675,0.25525,0.20925,0.23275,0.1094999999999999,0.1669999999999999,0.16125,0.11475,0.1569999999999999,0.1644999999999999,0.18675,0.15125,0.15925,0.2794999999999999,0.14825,0.2339999999999999,0.1272499999999999,0.1725,0.14525,0.218,0.08,0.18,0.39575,0.11475,0.1009999999999999,0.1054999999999999,0.3275,0.07,0.04675,0.209,0.09,0.1305,0.04825,0.17875,0.0935,0.127,0.0999999999999999,0.0835,0.06,0.025,0.0449999999999999,0.08925,0.06225,0.0964999999999999,0.14725,0.089,0.31625,0.2045,0.1119999999999999,0.0762499999999999,0.0825,0.064,0.1335,0.09125,0.0692499999999999,0.142,0.08925,0.0539999999999999,0.04975,0.10875,0.084,0.0857499999999999,0.148,0.08,0.10175,0.0949999999999999,0.059,0.0379999999999999,0.0757499999999999,0.0732499999999999,0.03675,0.0687499999999999,0.2674999999999999,0.0667499999999999,0.0807499999999999,0.1059999999999999,0.0625,0.0474999999999999,0.0707499999999999,0.071,0.0732499999999999,0.04675,0.0735,0.09425,0.0615,0.03875,0.10725,0.0569999999999999,0.0202499999999999,0.05025,0.05025,0.05025,0.0267499999999999,0.04775,0.0419999999999999,0.0595,0.04825,0.059,0.0429999999999999,0.021,0.03475,0.0172499999999999
Showgirls (1995),0.98175,0.98175,0.66625,0.45375,0.57775,0.8540000000000001,0.71125,0.28225,0.8765000000000001,0.2905,0.4742499999999999,0.199,0.417,0.4539999999999999,0.60125,0.417,0.3075,0.172,0.3205,0.71575,0.417,0.24925,0.31475,0.1932499999999999,0.4054999999999999,0.2907499999999999,0.55075,0.3315,0.21,0.304,0.2284999999999999,0.44975,0.22625,0.28225,0.35175,0.32875,0.277,0.24875,0.254,0.16375,0.7502500000000001,0.2835,0.2204999999999999,0.2264999999999999,0.4962499999999999,0.05475,0.8734999999999999,0.8892500000000001,0.38825,0.12325,0.266,0.21525,0.2309999999999999,0.16475,0.1074999999999999,0.2835,0.1995,0.15125,0.1704999999999999,0.21075,0.1362499999999999,0.1445,0.1355,0.1945,0.17125,0.15275,0.1069999999999999,0.1385,0.0939999999999999,0.10275,0.2155,0.981,0.0747499999999999,0.1957499999999999,0.69775,0.1392499999999999,0.3495,0.252,0.0825,0.14425,0.10275,0.10425,0.118,0.1144999999999999,0.254,0.082,0.05925,0.3612499999999999,0.0875,0.201,0.138,0.1134999999999999,0.1485,0.15175,0.092,0.09575,0.11775,0.355,0.25425,0.10225,0.082,0.1395,0.0895,0.0615,0.14625,0.09925,0.09625,0.05575,0.0777499999999999,0.0865,0.0775,0.0529999999999999,0.0569999999999999,0.0519999999999999,0.1054999999999999,0.09275,0.0969999999999999,0.2015,0.04775,0.0785,0.089,0.06175,0.072,0.0677499999999999,0.0215,0.0285,0.11825,0.0954999999999999,0.05875,0.0429999999999999,0.04625,0.0384999999999999,0.05575,0.04225,0.03025,0.03075,0.05375,0.05775,0.0489999999999999,0.024,0.0807499999999999,0.0935,0.031,0.0454999999999999,0.0369999999999999,0.04225,0.04725,0.04225,0.0389999999999999
Unzipped (1995),0.712,0.712,0.546,0.5835,0.93875,0.3289999999999999,0.54575,0.392,0.64625,0.2514999999999999,0.413,0.17475,0.64625,0.43775,0.403,0.418,0.27975,0.35775,0.20575,0.2365,0.41025,0.11975,0.369,0.34975,0.2204999999999999,0.24,0.26625,0.271,0.2435,0.174,0.2955,0.201,0.51025,0.4585,0.187,0.1649999999999999,0.2855,0.18725,0.1714999999999999,0.18025,0.16775,0.2867499999999999,0.10325,0.1579999999999999,0.16675,0.1905,0.1094999999999999,0.25625,0.1119999999999999,0.0755,0.1372499999999999,0.257,0.1445,0.1957499999999999,0.1335,0.1614999999999999,0.24175,0.3275,0.16275,0.55225,0.1505,0.13,0.074,0.1564999999999999,0.14575,0.12325,0.1624999999999999,0.18075,0.08,0.0885,0.0697499999999999,0.11075,0.2644999999999999,0.193,0.0939999999999999,0.0625,0.04225,0.09775,0.18275,0.996,0.071,0.174,0.0994999999999999,0.1322499999999999,0.0539999999999999,0.3067499999999999,0.128,0.05475,0.09175,0.0439999999999999,0.0954999999999999,0.09125,0.138,0.119,0.05875,0.05175,0.05975,0.1937499999999999,0.1114999999999999,0.03925,0.2017499999999999,0.0202499999999999,0.0672499999999999,0.0697499999999999,0.0725,0.04475,0.067,0.04325,0.0745,0.0777499999999999,0.04725,0.04175,0.071,0.0875,0.0147499999999999,0.0627499999999999,0.04775,0.0509999999999999,0.03875,0.066,0.0777499999999999,0.0687499999999999,0.05725,0.0697499999999999,0.0319999999999999,0.129,0.14825,0.05875,0.0192499999999999,0.04975,0.01,0.0964999999999999,0.03075,0.0135,0.03825,0.04525,0.0359999999999999,0.04675,0.04325,0.70425,0.0685,0.0404999999999999,0.02,0.1134999999999999,0.05375,0.0287499999999999,0.0554999999999999,0.0454999999999999,0.0399999999999999
"Babysitter, The (1995)",0.80175,0.605,0.6745,0.973,0.1074999999999999,0.71325,0.973,0.3804999999999999,0.3884999999999999,0.831,0.4579999999999999,0.5455,0.5455,0.43725,0.5285,0.475,0.3884999999999999,0.1619999999999999,0.32425,0.37525,0.212,0.1009999999999999,0.31325,0.10375,0.80975,0.256,0.3265,0.39025,0.14775,0.1574999999999999,0.381,0.26475,0.12325,0.16725,0.2897499999999999,0.134,0.173,0.28825,0.30425,0.21175,0.10325,0.17725,0.28625,0.1795,0.1634999999999999,0.127,0.17925,0.0655,0.0855,0.0715,0.26475,0.3339999999999999,0.3804999999999999,0.0725,0.08825,0.1932499999999999,0.26325,0.07,0.14475,0.23275,0.1004999999999999,0.1845,0.175,0.184,0.1312499999999999,0.15625,0.10725,0.0777499999999999,0.1285,0.1375,0.1044999999999999,0.173,0.06075,0.132,0.10825,0.0964999999999999,0.04025,0.1345,0.3545,0.04475,0.0519999999999999,0.0685,0.0827499999999999,0.1054999999999999,0.39325,0.05525,0.0662499999999999,0.0564999999999999,0.05775,0.0682499999999999,0.1385,0.0805,0.2584999999999999,0.10625,0.079,0.1425,0.0785,0.061,0.0584999999999999,0.2309999999999999,0.0765,0.0235,0.059,0.0712499999999999,0.1069999999999999,0.0757499999999999,0.0632499999999999,0.03825,0.0949999999999999,0.0615,0.06175,0.06125,0.0685,0.08675,0.0672499999999999,0.073,0.24275,0.0775,0.04275,0.0625,0.083,0.0795,0.0237499999999999,0.03625,0.146,0.03025,0.03625,0.03625,0.061,0.062,0.11275,0.04375,0.026,0.0262499999999999,0.0285,0.04275,0.0595,0.03475,0.05725,0.0125,0.03175,0.05525,0.0157499999999999,0.0439999999999999,0.031,0.0499999999999999,0.0414999999999999,0.02975,0.04425
Exit to Eden (1994),0.9435,0.9435,0.61675,0.4175,0.4235,0.6375,0.2845,0.4395,0.4127499999999999,0.1795,0.41125,0.134,0.27375,0.5485,0.39775,0.25925,0.3475,0.16075,0.3239999999999999,0.63525,0.22125,0.133,0.8727499999999999,0.2985,0.46075,0.37725,0.501,0.477,0.11775,0.288,0.2214999999999999,0.32825,0.3107499999999999,0.35975,0.34475,0.1987499999999999,0.22875,0.16775,0.279,0.11625,0.14775,0.3632499999999999,0.20925,0.21425,0.63775,0.09575,0.51375,0.4267499999999999,0.09975,0.0762499999999999,0.20325,0.1845,0.16975,0.09175,0.0737499999999999,0.21175,0.15975,0.15475,0.1714999999999999,0.16625,0.0837499999999999,0.1887499999999999,0.16675,0.17675,0.084,0.1377499999999999,0.1024999999999999,0.1262499999999999,0.09575,0.1104999999999999,0.081,0.09875,0.0655,0.1342499999999999,0.1475,0.09125,0.0329999999999999,0.131,0.067,0.0569999999999999,0.0625,0.0539999999999999,0.11475,0.0895,0.10425,0.0569999999999999,0.05525,0.061,0.06225,0.12075,0.1505,0.0772499999999999,0.0797499999999999,0.10175,0.0722499999999999,0.1044999999999999,0.0707499999999999,0.0399999999999999,0.0424999999999999,0.1987499999999999,0.0394999999999999,0.03775,0.0627499999999999,0.0554999999999999,0.8612500000000001,0.0755,0.0787499999999999,0.05725,0.0807499999999999,0.10675,0.0785,0.0519999999999999,0.0655,0.0785,0.08925,0.0775,0.10375,0.32875,0.04725,0.04975,0.083,0.04275,0.03,0.0574999999999999,0.03425,0.023,0.0605,0.05125,0.0544999999999999,0.0369999999999999,0.077,0.0287499999999999,0.1245,0.0277499999999999,0.018,0.0354999999999999,0.061,0.10175,0.05825,0.0152499999999999,0.0469999999999999,0.08875,0.0187499999999999,0.0287499999999999,0.031,0.0275,0.03625,0.0695,0.0374999999999999
Miami Rhapsody (1995),0.4529999999999999,0.608,0.70225,0.97025,0.4187499999999999,0.3315,0.493,0.53375,0.29125,0.181,0.4695,0.4862499999999999,0.37625,0.4375,0.4935,0.3075,0.4399999999999999,0.255,0.39575,0.33525,0.3259999999999999,0.2294999999999999,0.3764999999999999,0.23125,0.2045,0.4237499999999999,0.25525,0.26225,0.23425,0.30625,0.24,0.2634999999999999,0.50375,0.3572499999999999,0.2465,0.4087499999999999,0.2734999999999999,0.26675,0.4475,0.6015,0.1659999999999999,0.20475,0.4455,0.1355,0.1295,0.96025,0.085,0.09225,0.1594999999999999,0.1084999999999999,0.2465,0.15625,0.11775,0.1277499999999999,0.199,0.1835,0.1505,0.274,0.211,0.175,0.1895,0.3015,0.1252499999999999,0.17125,0.119,0.2085,0.08825,0.09,0.14925,0.0835,0.069,0.1149999999999999,0.14075,0.24375,0.0979999999999999,0.085,0.1775,0.0414999999999999,0.2405,0.1545,0.09125,0.31625,0.10875,0.09875,0.09725,0.09325,0.071,0.05225,0.1119999999999999,0.1054999999999999,0.141,0.071,0.1275,0.1144999999999999,0.10125,0.093,0.0637499999999999,0.1019999999999999,0.064,0.05125,0.1215,0.04625,0.1044999999999999,0.09425,0.0685,0.0752499999999999,0.1024999999999999,0.03925,0.0752499999999999,0.069,0.0827499999999999,0.1654999999999999,0.0885,0.1465,0.0499999999999999,0.10075,0.0242499999999999,0.05025,0.05825,0.12375,0.04425,0.059,0.05175,0.0519999999999999,0.12025,0.071,0.085,0.04125,0.062,0.06225,0.016,0.1515,0.026,0.04925,0.0539999999999999,0.04975,0.031,0.149,0.0695,0.04625,0.0379999999999999,0.0235,0.04075,0.0227499999999999,0.0349999999999999,0.0285,0.0285,0.04575,0.03475
