movieId,original,weird,greed,vengeance,drama,good,betrayal,culture clash,melancholic,runaway,surveillance,dialogue,pornography,independent film,mentor,drinking,chase,quirky,light,fight scenes,adaptation,very funny,catastrophe,good music,weapons,life & death,awesome soundtrack,unlikely friendships,fun movie,addiction,foul language,death,absurd,life philosophy,film noir,classic car,underrated,multiple storylines,alter ego,sexy,sacrifice,nudity (full frontal - brief),predictable,irish accent,nudity (topless - brief),not funny,creativity,pulp,fantasy world,british,ensemble cast,islam,dysfunctional family,prejudice,california,survival,childhood,transformation,period piece,first contact,too long,small town,writers,stereotypes,hotel,directorial debut,queer,hospital,kidnapping,family,farce,brothers,prison,road movie,new jersey,dreams,censorship,doctors,stoner movie,80s,memory,new york city,teen movie,wartime,best of 2005,tokyo,wilderness,texas,simple,los angeles,alternate history,women,potential oscar nom,buddy movie,graphic novel,desert,1930s,hunting,lawyer,computer animation,bollywood,indians,blindness,trilogy,unlikeable characters,rebellion,divorce,internet,hip hop,nudity (rear),workplace,robert downey jr,no plot,kick-butt women,prostitution,race,russian,camp,cancer,oil,mad scientist,notable nudity,atheism,father daughter relationship,san francisco,australia,snakes,stand-up comedy,goth,island,homeless,time,french,adoption,documentary,radio,interracial romance,god,made for tv,immortality,wine,finnish,reality tv,ghosts/afterlife,shopping,remake,fashion,too short,single father
Heat (1995),0.9425,0.9185,0.9185,0.881,0.9425,0.9425,0.881,0.9425,0.8775,0.8492500000000001,0.76475,0.8234999999999999,0.8507499999999999,0.89175,0.79325,0.89175,0.93025,0.3675,0.5715,0.93025,0.3465,0.50475,0.43425,0.4054999999999999,0.93025,0.4097499999999999,0.6255,0.34125,0.378,0.24775,0.4265,0.2115,0.1564999999999999,0.47175,0.2564999999999999,0.36575,0.4157499999999999,0.5175,0.38875,0.2415,0.3515,0.289,0.251,0.30625,0.2314999999999999,0.35975,0.22075,0.20575,0.25525,0.2035,0.7645,0.16675,0.2847499999999999,0.201,0.26075,0.1332499999999999,0.148,0.268,0.16675,0.17425,0.72375,0.0974999999999999,0.18525,0.1535,0.237,0.1405,0.1932499999999999,0.19,0.14525,0.14225,0.0715,0.1589999999999999,0.16025,0.12,0.1569999999999999,0.10625,0.0875,0.15625,0.1144999999999999,0.1129999999999999,0.1014999999999999,0.1215,0.1019999999999999,0.10075,0.152,0.12225,0.11925,0.0792499999999999,0.173,0.8374999999999999,0.1257499999999999,0.10475,0.173,0.207,0.0944999999999999,0.04775,0.0722499999999999,0.1725,0.11875,0.1144999999999999,0.0855,0.09175,0.1317499999999999,0.1252499999999999,0.14425,0.0827499999999999,0.18725,0.118,0.09625,0.1327499999999999,0.14225,0.237,0.11675,0.06,0.0662499999999999,0.08625,0.0765,0.0847499999999999,0.10225,0.0662499999999999,0.0627499999999999,0.1029999999999999,0.074,0.05675,0.14675,0.04875,0.085,0.082,0.06025,0.09225,0.06225,0.077,0.05775,0.0697499999999999,0.02975,0.04275,0.0735,0.04125,0.06125,0.04125,0.0775,0.03175,0.06125,0.03525,0.091,0.0364999999999999,0.024,0.04375,0.0334999999999999
Casino (1995),0.99425,0.96475,0.96475,0.98125,0.94475,0.93575,0.99425,0.96475,0.96475,0.88375,0.999,0.88375,0.857,0.593,0.74775,0.593,0.6795,0.594,0.72575,0.7577499999999999,0.72925,0.531,0.472,0.7682500000000001,0.22375,0.3035,0.7682500000000001,0.45475,0.53975,0.688,0.72425,0.23225,0.17925,0.3239999999999999,0.24875,0.37925,0.59575,0.43325,0.473,0.39425,0.25975,0.25425,0.283,0.437,0.64125,0.3685,0.17975,0.4972499999999999,0.26575,0.16025,0.4912499999999999,0.25975,0.1952499999999999,0.17275,0.28,0.0954999999999999,0.152,0.2244999999999999,0.21325,0.204,0.7597499999999999,0.22875,0.1387499999999999,0.12125,0.35775,0.1265,0.1629999999999999,0.12275,0.09175,0.1074999999999999,0.085,0.1689999999999999,0.1327499999999999,0.1159999999999999,0.32425,0.10325,0.201,0.1564999999999999,0.14325,0.4385,0.078,0.14975,0.0994999999999999,0.1272499999999999,0.09475,0.1475,0.1074999999999999,0.1644999999999999,0.1004999999999999,0.154,0.20975,0.0974999999999999,0.18425,0.275,0.10125,0.192,0.14675,0.05825,0.2754999999999999,0.1104999999999999,0.0695,0.0772499999999999,0.1019999999999999,0.11575,0.3255,0.05375,0.0832499999999999,0.091,0.145,0.2634999999999999,0.0969999999999999,0.1704999999999999,0.04575,0.0632499999999999,0.1034999999999999,0.1089999999999999,0.09575,0.0935,0.15375,0.1387499999999999,0.0667499999999999,0.1124999999999999,0.0499999999999999,0.04225,0.08725,0.059,0.082,0.089,0.0439999999999999,0.04425,0.0414999999999999,0.05825,0.0394999999999999,0.0469999999999999,0.06175,0.0665,0.04825,0.04475,0.0569999999999999,0.0314999999999999,0.04425,0.0369999999999999,0.0745,0.0197499999999999,0.02975,0.03475,0.0479999999999999,0.0399999999999999,0.0145
Seven (a.k.a. Se7en) (1995),0.98,0.9755,0.98,0.98,0.98,0.96875,0.95325,0.98,0.92225,0.98,0.94625,0.96225,0.9755,0.9755,0.71975,0.94325,0.67025,0.66325,0.57675,0.3565,0.53075,0.50175,0.46425,0.4237499999999999,0.3452499999999999,0.559,0.25225,0.258,0.4785,0.28075,0.53375,0.39575,0.3615,0.3814999999999999,0.77525,0.373,0.48675,0.3269999999999999,0.428,0.4555,0.34275,0.4307499999999999,0.283,0.3329999999999999,0.1942499999999999,0.3944999999999999,0.33725,0.38175,0.2975,0.282,0.1287499999999999,0.138,0.199,0.266,0.2445,0.12225,0.15475,0.2329999999999999,0.141,0.24625,0.1465,0.17075,0.218,0.1957499999999999,0.2189999999999999,0.2504999999999999,0.1942499999999999,0.1942499999999999,0.2189999999999999,0.1164999999999999,0.1315,0.15025,0.16475,0.11925,0.15125,0.1952499999999999,0.23525,0.202,0.15575,0.07,0.2857499999999999,0.2514999999999999,0.1089999999999999,0.0825,0.2165,0.10775,0.10675,0.0735,0.16575,0.21275,0.2115,0.09875,0.21575,0.3385,0.4247499999999999,0.0745,0.0797499999999999,0.12375,0.2425,0.143,0.1069999999999999,0.08925,0.3085,0.119,0.073,0.24575,0.1009999999999999,0.11425,0.0519999999999999,0.0832499999999999,0.05825,0.09525,0.0807499999999999,0.0805,0.1614999999999999,0.147,0.05225,0.0725,0.0544999999999999,0.0275,0.0959999999999999,0.0795,0.21325,0.0529999999999999,0.123,0.06025,0.0665,0.0832499999999999,0.0969999999999999,0.071,0.08875,0.1352499999999999,0.05425,0.0529999999999999,0.0454999999999999,0.0687499999999999,0.0379999999999999,0.151,0.0837499999999999,0.03325,0.04525,0.03825,0.0735,0.06025,0.029,0.0215,0.04225,0.04275,0.0275
"Usual Suspects, The (1995)",0.9955,0.987,0.99275,0.9955,0.99875,0.9955,0.8134999999999999,0.9845,0.96875,0.98025,0.9015,0.96875,0.782,0.8182499999999999,0.7435,0.4559999999999999,0.8505,0.60425,0.954,0.745,0.594,0.70675,0.60675,0.556,0.745,0.6165,0.4499999999999999,0.4389999999999999,0.74275,0.45625,0.82525,0.26525,0.4519999999999999,0.2885,0.601,0.3794999999999999,0.45225,0.50075,0.3455,0.44625,0.3239999999999999,0.4479999999999999,0.39375,0.589,0.2634999999999999,0.3585,0.3389999999999999,0.26875,0.3522499999999999,0.3824999999999999,0.8879999999999999,0.3239999999999999,0.2674999999999999,0.38175,0.39075,0.31325,0.18625,0.2634999999999999,0.3239999999999999,0.3195,0.21425,0.1654999999999999,0.3319999999999999,0.269,0.2987499999999999,0.24925,0.2274999999999999,0.22225,0.32525,0.20825,0.3552499999999999,0.188,0.203,0.0732499999999999,0.22275,0.351,0.15025,0.15825,0.1755,0.11625,0.40075,0.35675,0.15925,0.1425,0.15475,0.13,0.088,0.0642499999999999,0.2534999999999999,0.6605,0.262,0.0745,0.1917499999999999,0.25775,0.03875,0.0822499999999999,0.173,0.0549999999999999,0.4235,0.1947499999999999,0.427,0.1545,0.1589999999999999,0.213,0.0732499999999999,0.1415,0.0845,0.21175,0.0959999999999999,0.0712499999999999,0.0642499999999999,0.11175,0.3087499999999999,0.0692499999999999,0.04175,0.17275,0.142,0.068,0.068,0.05025,0.0825,0.08,0.1735,0.10875,0.11825,0.0717499999999999,0.0735,0.0757499999999999,0.022,0.08675,0.05775,0.4067499999999999,0.0822499999999999,0.05725,0.0667499999999999,0.068,0.03775,0.09375,0.1302499999999999,0.03425,0.0449999999999999,0.0354999999999999,0.0207499999999999,0.05925,0.03325,0.0222499999999999,0.0514999999999999,0.059,0.0277499999999999
Things to Do in Denver When You're Dead (1995),0.99125,0.9985,0.9985,0.94725,0.71525,0.8627499999999999,0.9985,0.71525,0.69725,0.6625,0.997,0.7625,0.68725,0.7145,0.616,0.656,0.55425,0.74375,0.6625,0.8627499999999999,0.26275,0.49,0.4985,0.4479999999999999,0.3482499999999999,0.67525,0.4479999999999999,0.7965,0.3764999999999999,0.3225,0.23925,0.41025,0.2194999999999999,0.62225,0.514,0.3565,0.4995,0.5325,0.201,0.248,0.29125,0.1694999999999999,0.344,0.42525,0.2075,0.32275,0.17775,0.705,0.3359999999999999,0.14,0.8302499999999999,0.077,0.15625,0.09725,0.1825,0.11425,0.16275,0.22525,0.0807499999999999,0.27375,0.0584999999999999,0.2304999999999999,0.281,0.176,0.25075,0.1425,0.1385,0.15175,0.1347499999999999,0.1352499999999999,0.0812499999999999,0.1084999999999999,0.20525,0.1257499999999999,0.3315,0.1295,0.04975,0.10975,0.146,0.0865,0.1345,0.1372499999999999,0.11475,0.0775,0.0915,0.09025,0.059,0.1084999999999999,0.1997499999999999,0.11275,0.126,0.11825,0.14225,0.1725,0.05775,0.0524999999999999,0.079,0.1104999999999999,0.0727499999999999,0.1475,0.06,0.0817499999999999,0.1362499999999999,0.09125,0.1905,0.0275,0.0662499999999999,0.122,0.1495,0.0959999999999999,0.12325,0.1144999999999999,0.0969999999999999,0.09525,0.0747499999999999,0.082,0.0647499999999999,0.075,0.1654999999999999,0.11125,0.075,0.074,0.0584999999999999,0.025,0.0484999999999999,0.0459999999999999,0.0509999999999999,0.09175,0.0677499999999999,0.05425,0.0685,0.06075,0.0419999999999999,0.05425,0.0324999999999999,0.121,0.0579999999999999,0.04475,0.0579999999999999,0.24025,0.04975,0.069,0.04275,0.10325,0.0925,0.03725,0.0394999999999999,0.04125,0.023
Taxi Driver (1976),0.98175,0.9925,0.98925,0.973,0.983,0.98175,0.973,0.98925,0.9925,0.98925,0.778,0.98925,0.9475,0.983,0.7629999999999999,0.983,0.4105,0.674,0.81975,0.53725,0.5235,0.748,0.4655,0.5695,0.60925,0.67475,0.4772499999999999,0.38825,0.198,0.5065,0.3055,0.2415,0.4519999999999999,0.62675,0.52625,0.39125,0.4579999999999999,0.2925,0.46025,0.36875,0.15125,0.4135,0.3642499999999999,0.1865,0.51975,0.39925,0.29625,0.3105,0.32475,0.26925,0.2135,0.517,0.22475,0.296,0.254,0.28025,0.30925,0.49075,0.1079999999999999,0.24,0.1912499999999999,0.22125,0.244,0.1709999999999999,0.3555,0.22225,0.2495,0.3522499999999999,0.0772499999999999,0.0855,0.306,0.11775,0.152,0.2007499999999999,0.4034999999999999,0.3764999999999999,0.61125,0.26275,0.4207499999999999,0.25725,0.11225,0.94425,0.12375,0.174,0.2229999999999999,0.2784999999999999,0.1372499999999999,0.10875,0.214,0.15975,0.09,0.207,0.22975,0.1367499999999999,0.1342499999999999,0.11325,0.1099999999999999,0.1134999999999999,0.061,0.11675,0.067,0.05375,0.18125,0.0752499999999999,0.1169999999999999,0.16775,0.146,0.0549999999999999,0.0444999999999999,0.09175,0.372,0.10875,0.04375,0.0647499999999999,0.8514999999999999,0.08675,0.04075,0.15425,0.0667499999999999,0.1735,0.1579999999999999,0.0374999999999999,0.127,0.04225,0.126,0.0374999999999999,0.15575,0.09025,0.09825,0.0687499999999999,0.33175,0.0777499999999999,0.0524999999999999,0.05375,0.0725,0.10175,0.05875,0.1195,0.0464999999999999,0.05425,0.0379999999999999,0.022,0.084,0.0449999999999999,0.062,0.0195,0.0984999999999999,0.03025,0.0187499999999999
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.94025,0.94025,0.94025,0.93775,0.94025,0.94025,0.99325,0.94025,0.924,0.8727499999999999,0.99325,0.7849999999999999,0.914,0.674,0.91075,0.674,0.94025,0.60575,0.4325,0.94025,0.4257499999999999,0.475,0.517,0.67225,0.94025,0.52575,0.67225,0.8992500000000001,0.389,0.6425,0.51175,0.29025,0.33025,0.64675,0.2244999999999999,0.4569999999999999,0.498,0.39925,0.7535000000000001,0.504,0.39375,0.287,0.265,0.25425,0.51625,0.404,0.3077499999999999,0.2925,0.294,0.2877499999999999,0.1009999999999999,0.1099999999999999,0.5615,0.28925,0.1392499999999999,0.23225,0.44775,0.3712499999999999,0.1335,0.1877499999999999,0.1235,0.1377499999999999,0.14825,0.2405,0.27475,0.263,0.24125,0.2845,0.1024999999999999,0.31375,0.14825,0.2214999999999999,0.1282499999999999,0.1064999999999999,0.27125,0.11625,0.23725,0.1332499999999999,0.09225,0.17025,0.1382499999999999,0.57225,0.1927499999999999,0.0875,0.175,0.353,0.1287499999999999,0.0827499999999999,0.21975,0.0747499999999999,0.12325,0.33625,0.1972499999999999,0.2269999999999999,0.177,0.04525,0.05925,0.12375,0.0389999999999999,0.15275,0.2405,0.0459999999999999,0.2065,0.12325,0.1004999999999999,0.1049999999999999,0.11975,0.09675,0.0675,0.1282499999999999,0.10925,0.0559999999999999,0.079,0.1725,0.1054999999999999,0.10275,0.0642499999999999,0.10175,0.1689999999999999,0.0717499999999999,0.0752499999999999,0.09275,0.0825,0.907,0.0735,0.0595,0.1034999999999999,0.0757499999999999,0.16725,0.0584999999999999,0.1099999999999999,0.062,0.5045,0.28825,0.03925,0.0277499999999999,0.15275,0.0404999999999999,0.0722499999999999,0.10425,0.0875,0.03375,0.0605,0.03875,0.089,0.0267499999999999,0.0499999999999999,0.0732499999999999,0.0775
Pulp Fiction (1994),0.98325,0.9845,0.9835,0.9905,0.98325,0.98325,0.99925,0.9835,0.9835,0.9835,0.99925,0.9835,0.9905,0.959,0.511,0.521,0.766,0.9845,0.96075,0.9225,0.44175,0.96075,0.4285,0.87025,0.51425,0.721,0.87025,0.3017499999999999,0.72675,0.78725,0.922,0.1555,0.74825,0.3045,0.5695,0.4992499999999999,0.44425,0.88975,0.60775,0.4505,0.21675,0.3655,0.655,0.3105,0.31325,0.28025,0.392,0.7802500000000001,0.24975,0.206,0.8305,0.21675,0.3007499999999999,0.249,0.23925,0.0999999999999999,0.191,0.25425,0.21675,0.1942499999999999,0.49875,0.15725,0.38025,0.1942499999999999,0.26275,0.3055,0.2504999999999999,0.0832499999999999,0.1674999999999999,0.068,0.51675,0.17975,0.1445,0.143,0.1277499999999999,0.1589999999999999,0.3472499999999999,0.079,0.366,0.0964999999999999,0.152,0.0554999999999999,0.11925,0.0837499999999999,0.1947499999999999,0.2249999999999999,0.11725,0.1569999999999999,0.139,0.3794999999999999,0.1912499999999999,0.0817499999999999,0.18375,0.22975,0.34575,0.131,0.0712499999999999,0.0444999999999999,0.069,0.0984999999999999,0.16775,0.1805,0.11525,0.1589999999999999,0.1604999999999999,0.1034999999999999,0.05075,0.0825,0.1054999999999999,0.0682499999999999,0.0725,0.1335,0.14125,0.174,0.03,0.085,0.05625,0.0712499999999999,0.0802499999999999,0.04025,0.0529999999999999,0.0645,0.10075,0.0419999999999999,0.0295,0.0785,0.12125,0.08875,0.05025,0.0404999999999999,0.0255,0.12225,0.0394999999999999,0.0394999999999999,0.0479999999999999,0.0349999999999999,0.0359999999999999,0.1725,0.05575,0.04525,0.0374999999999999,0.03475,0.04225,0.0145,0.0205,0.013,0.03125,0.0285,0.0095
Shallow Grave (1994),0.91375,0.98825,0.978,0.8660000000000001,0.7045,0.9375,0.91375,0.91225,0.8500000000000001,0.91225,0.8660000000000001,0.76325,0.913,0.913,0.4772499999999999,0.561,0.5245,0.98825,0.577,0.56275,0.3339999999999999,0.37275,0.4419999999999999,0.39225,0.1912499999999999,0.3045,0.34225,0.87975,0.4357499999999999,0.45225,0.1485,0.3087499999999999,0.4519999999999999,0.3442499999999999,0.3844999999999999,0.34275,0.487,0.2299999999999999,0.1654999999999999,0.5045,0.17275,0.25325,0.3612499999999999,0.401,0.4525,0.3165,0.25975,0.5815,0.272,0.63125,0.1955,0.09925,0.2847499999999999,0.1365,0.2035,0.1099999999999999,0.125,0.27075,0.17375,0.25475,0.0855,0.21925,0.3235,0.181,0.2485,0.592,0.2175,0.1925,0.28925,0.1169999999999999,0.2847499999999999,0.1405,0.11875,0.3175,0.2025,0.0832499999999999,0.10575,0.2564999999999999,0.21775,0.08875,0.0845,0.08675,0.14725,0.1104999999999999,0.269,0.0662499999999999,0.1589999999999999,0.09375,0.1674999999999999,0.0655,0.093,0.16925,0.1425,0.09125,0.14775,0.0802499999999999,0.0499999999999999,0.09525,0.1054999999999999,0.2015,0.08675,0.05825,0.15075,0.0822499999999999,0.8394999999999999,0.0772499999999999,0.11625,0.10975,0.11375,0.135,0.24475,0.11825,0.15125,0.091,0.123,0.0885,0.0645,0.1465,0.04925,0.06,0.0785,0.0999999999999999,0.078,0.0349999999999999,0.1089999999999999,0.1297499999999999,0.0344999999999999,0.0642499999999999,0.18,0.062,0.086,0.0252499999999999,0.06175,0.09,0.067,0.0489999999999999,0.0444999999999999,0.0394999999999999,0.04875,0.04925,0.14725,0.0969999999999999,0.1302499999999999,0.0655,0.14875,0.0217499999999999,0.04325,0.0389999999999999,0.0162499999999999
Carlito's Way (1993),0.9965,0.91325,0.895,0.90275,0.90575,0.90575,0.993,0.90575,0.78975,0.895,0.9985,0.64475,0.651,0.4775,0.8234999999999999,0.4775,0.8660000000000001,0.298,0.5635,0.553,0.3884999999999999,0.45875,0.42225,0.55725,0.3455,0.677,0.55725,0.5975,0.3229999999999999,0.8387500000000001,0.748,0.382,0.0775,0.405,0.28325,0.417,0.63975,0.35175,0.2002499999999999,0.27425,0.17175,0.24525,0.24175,0.4235,0.20925,0.3745,0.155,0.2704999999999999,0.2534999999999999,0.17175,0.1795,0.14175,0.1149999999999999,0.2289999999999999,0.16725,0.121,0.25125,0.2405,0.16825,0.1972499999999999,0.24525,0.26725,0.14875,0.1877499999999999,0.1355,0.16875,0.1262499999999999,0.20575,0.0787499999999999,0.1104999999999999,0.05575,0.20725,0.7822499999999999,0.1584999999999999,0.27725,0.36075,0.0685,0.14075,0.23125,0.1392499999999999,0.1185,0.39525,0.10375,0.0765,0.0675,0.10175,0.09625,0.17125,0.145,0.06025,0.1119999999999999,0.1059999999999999,0.128,0.15475,0.0359999999999999,0.0434999999999999,0.14925,0.0944999999999999,0.8280000000000001,0.1185,0.0885,0.1382499999999999,0.1327499999999999,0.12275,0.0785,0.0695,0.0554999999999999,0.08,0.18475,0.0984999999999999,0.0389999999999999,0.1709999999999999,0.04175,0.05625,0.0605,0.1955,0.09025,0.0574999999999999,0.15725,0.0384999999999999,0.0554999999999999,0.09125,0.0559999999999999,0.04275,0.064,0.067,0.0705,0.09425,0.023,0.08925,0.0817499999999999,0.076,0.0379999999999999,0.0404999999999999,0.03975,0.05375,0.06125,0.0469999999999999,0.0737499999999999,0.0434999999999999,0.0379999999999999,0.0484999999999999,0.03025,0.0954999999999999,0.0267499999999999,0.0257499999999999,0.0272499999999999,0.03,0.0202499999999999
