movieId,original,very funny,weird,predictable,light,good,fun movie,runaway,chase,dialogue,weapons,fight scenes,culture clash,vengeance,absurd,betrayal,catastrophe,melancholic,greed,first contact,farce,quirky,mentor,drama,mad scientist,fantasy world,creativity,independent film,pornography,drinking,adaptation,alter ego,survival,transformation,life philosophy,childhood,teen movie,camp,family,death,80s,sexy,stereotypes,underrated,surveillance,life & death,classic car,unlikely friendships,pulp,sacrifice,computer animation,awesome soundtrack,nudity (full frontal - brief),british,dysfunctional family,road movie,california,not funny,small town,nudity (topless - brief),buddy movie,writers,multiple storylines,hospital,doctors,queer,good music,period piece,desert,prejudice,islam,foul language,island,women,wilderness,snakes,simple,new jersey,irish accent,alternate history,stoner movie,hotel,directorial debut,graphic novel,immortality,censorship,brothers,notable nudity,tokyo,nudity (rear),internet,ensemble cast,dreams,kidnapping,workplace,goth,blindness,film noir,unlikeable characters,too long,kick-butt women,memory,stand-up comedy,addiction,hunting,radio,ghosts/afterlife,no plot,race,shopping,trilogy,prison,bollywood,new york city,wartime,divorce,los angeles,indians,australia,time,1930s,texas,hip hop,god,atheism,too short,best of 2005,reality tv,fashion,robert downey jr,san francisco,interracial romance,cancer,rebellion,remake,finnish,homeless,made for tv,oil,russian,adoption,potential oscar nom,father daughter relationship,wine,french,prostitution,lawyer,single father,documentary
From Dusk Till Dawn (1996),0.80725,0.45425,0.97875,0.67125,0.67225,0.67225,0.85625,0.925,0.92375,0.85625,0.92375,0.92375,0.67225,0.971,0.592,0.96275,0.4489999999999999,0.8200000000000001,0.45375,0.5115,0.24775,0.73525,0.46675,0.62575,0.67125,0.2339999999999999,0.3804999999999999,0.67225,0.8975,0.36375,0.40925,0.44975,0.37675,0.42,0.38075,0.1154999999999999,0.16875,0.67125,0.26825,0.2524999999999999,0.20675,0.69975,0.259,0.392,0.485,0.1962499999999999,0.39725,0.1897499999999999,0.57925,0.193,0.1089999999999999,0.34175,0.3047499999999999,0.11525,0.299,0.3245,0.1877499999999999,0.308,0.1725,0.558,0.3179999999999999,0.2022499999999999,0.3545,0.132,0.1395,0.19,0.3055,0.1004999999999999,0.17675,0.1385,0.0785,0.77,0.1089999999999999,0.1945,0.2249999999999999,0.70025,0.09375,0.2229999999999999,0.198,0.1704999999999999,0.09525,0.2055,0.1882499999999999,0.53925,0.072,0.2125,0.8260000000000001,0.1205,0.11325,0.1124999999999999,0.13,0.2624999999999999,0.0865,0.41825,0.0534999999999999,0.3159999999999999,0.11625,0.10275,0.2514999999999999,0.08625,0.1094999999999999,0.066,0.0855,0.17125,0.1425,0.04825,0.0695,0.061,0.0677499999999999,0.0414999999999999,0.0509999999999999,0.1315,0.05625,0.0772499999999999,0.04875,0.06075,0.11225,0.0579999999999999,0.09125,0.0235,0.04725,0.372,0.0777499999999999,0.06175,0.05625,0.03875,0.14575,0.175,0.0685,0.1335,0.0494999999999999,0.0805,0.0642499999999999,0.03,0.0489999999999999,0.0399999999999999,0.0374999999999999,0.05475,0.0484999999999999,0.05425,0.0765,0.0745,0.0524999999999999,0.0314999999999999,0.0384999999999999,0.03725,0.0242499999999999,0.0245,0.0324999999999999
Maverick (1994),0.78125,0.959,0.66125,0.8467499999999999,0.75925,0.78075,0.95325,0.69625,0.74375,0.55675,0.72925,0.72925,0.733,0.591,0.285,0.48175,0.6315,0.37375,0.65475,0.3115,0.63675,0.3205,0.68675,0.561,0.21725,0.23825,0.43125,0.23375,0.1937499999999999,0.1895,0.3452499999999999,0.32475,0.1927499999999999,0.2967499999999999,0.32675,0.31475,0.4097499999999999,0.16925,0.35075,0.202,0.146,0.39775,0.34875,0.3595,0.4155,0.2214999999999999,0.2634999999999999,0.27425,0.21775,0.304,0.1614999999999999,0.1235,0.2145,0.187,0.17625,0.1124999999999999,0.39825,0.2299999999999999,0.17275,0.14925,0.27725,0.1164999999999999,0.1252499999999999,0.146,0.3155,0.129,0.1139999999999999,0.26625,0.1287499999999999,0.10425,0.14825,0.1149999999999999,0.1405,0.1855,0.09525,0.261,0.14175,0.14825,0.2564999999999999,0.36375,0.0722499999999999,0.1877499999999999,0.088,0.0277499999999999,0.21675,0.14125,0.16825,0.09025,0.1175,0.14325,0.27475,0.08675,0.0692499999999999,0.1225,0.0642499999999999,0.0662499999999999,0.1387499999999999,0.2017499999999999,0.04825,0.092,0.1024999999999999,0.10625,0.08,0.05675,0.081,0.11375,0.15025,0.137,0.133,0.11525,0.0875,0.11575,0.08725,0.0969999999999999,0.0802499999999999,0.11775,0.076,0.7657499999999999,0.0822499999999999,0.2395,0.11425,0.18525,0.0652499999999999,0.0389999999999999,0.0727499999999999,0.079,0.03925,0.10175,0.139,0.075,0.1317499999999999,0.0832499999999999,0.0645,0.04325,0.14225,0.0267499999999999,0.0404999999999999,0.0805,0.0787499999999999,0.22075,0.0635,0.04825,0.05925,0.071,0.04675,0.05775,0.1679999999999999,0.1275,0.0265
"Frighteners, The (1996)",0.79325,0.8142499999999999,0.7642500000000001,0.8360000000000001,0.57925,0.713,0.7847500000000001,0.705,0.50625,0.38475,0.8360000000000001,0.4795,0.6525,0.4892499999999999,0.2299999999999999,0.44375,0.579,0.422,0.45175,0.8360000000000001,0.1957499999999999,0.4955,0.519,0.376,0.57825,0.713,0.4962499999999999,0.3125,0.2475,0.185,0.3465,0.2704999999999999,0.202,0.37825,0.40475,0.1982499999999999,0.2199999999999999,0.21825,0.26175,0.87175,0.3215,0.1569999999999999,0.211,0.5875,0.29325,0.34975,0.2075,0.29025,0.2035,0.30625,0.40525,0.778,0.1915,0.1725,0.173,0.2259999999999999,0.2817499999999999,0.29025,0.91,0.192,0.1694999999999999,0.16925,0.1699999999999999,0.5745,0.21625,0.1445,0.17525,0.1074999999999999,0.1069999999999999,0.12275,0.10425,0.1079999999999999,0.1322499999999999,0.12025,0.1402499999999999,0.20925,0.09325,0.2614999999999999,0.31825,0.1679999999999999,0.10675,0.1435,0.11375,0.155,0.16375,0.1114999999999999,0.17425,0.0944999999999999,0.0842499999999999,0.134,0.1805,0.10725,0.10375,0.04125,0.1312499999999999,0.36175,0.1569999999999999,0.14975,0.0842499999999999,0.1169999999999999,0.05925,0.1225,0.09,0.09125,0.12075,0.09175,0.653,0.0627499999999999,0.09725,0.0667499999999999,0.264,0.0935,0.0825,0.0835,0.0705,0.076,0.05425,0.124,0.1624999999999999,0.15225,0.08,0.15325,0.0584999999999999,0.0424999999999999,0.0605,0.0494999999999999,0.149,0.09975,0.0847499999999999,0.152,0.05875,0.05825,0.15175,0.03425,0.0479999999999999,0.0757499999999999,0.078,0.07,0.06175,0.0662499999999999,0.0665,0.0574999999999999,0.0574999999999999,0.04575,0.0354999999999999,0.03475,0.09475,0.0404999999999999,0.06025
"Great Race, The (1965)",0.6865,0.93725,0.516,0.5295,0.67125,0.8995,0.8785000000000001,0.65125,0.6565,0.67125,0.38875,0.484,0.8995,0.4215,0.45275,0.31875,0.484,0.4692499999999999,0.47675,0.38875,0.727,0.2304999999999999,0.582,0.4735,0.4635,0.6885,0.298,0.31,0.23625,0.21825,0.3572499999999999,0.388,0.1335,0.3794999999999999,0.24625,0.553,0.21125,0.1855,0.57175,0.1795,0.3035,0.32975,0.25425,0.4529999999999999,0.16875,0.262,0.34175,0.2584999999999999,0.38025,0.312,0.4469999999999999,0.24475,0.1902499999999999,0.208,0.1579999999999999,0.4722499999999999,0.26275,0.209,0.2115,0.076,0.1392499999999999,0.11675,0.1887499999999999,0.1735,0.25175,0.12425,0.17675,0.3415,0.17075,0.2304999999999999,0.31,0.26425,0.201,0.1649999999999999,0.135,0.16775,0.2165,0.0969999999999999,0.1629999999999999,0.23175,0.1104999999999999,0.22525,0.08975,0.02975,0.293,0.0595,0.1345,0.1367499999999999,0.12475,0.11325,0.0847499999999999,0.2877499999999999,0.11175,0.0999999999999999,0.08675,0.0509999999999999,0.1139999999999999,0.09475,0.063,0.63475,0.0792499999999999,0.11675,0.0772499999999999,0.063,0.084,0.1195,0.173,0.10625,0.9245,0.085,0.0777499999999999,0.20775,0.147,0.2774999999999999,0.1357499999999999,0.1029999999999999,0.1285,0.202,0.075,0.33425,0.3339999999999999,0.1285,0.0324999999999999,0.0469999999999999,0.05275,0.0959999999999999,0.03725,0.03525,0.12275,0.1124999999999999,0.134,0.21325,0.05925,0.0745,0.03675,0.0359999999999999,0.04325,0.0767499999999999,0.148,0.204,0.0637499999999999,0.031,0.0652499999999999,0.2105,0.05875,0.0524999999999999,0.05525,0.03,0.0232499999999999
Army of Darkness (1993),0.863,0.9345,0.98675,0.802,0.91925,0.8885000000000001,0.8015000000000001,0.8885000000000001,0.7947500000000001,0.8885000000000001,0.7947500000000001,0.7947500000000001,0.73525,0.7575000000000001,0.744,0.5065,0.4565,0.592,0.51325,0.68,0.829,0.90575,0.537,0.51325,0.67575,0.8532500000000001,0.523,0.3007499999999999,0.3289999999999999,0.4034999999999999,0.52375,0.3325,0.57925,0.44325,0.3642499999999999,0.30125,0.14975,0.67575,0.1129999999999999,0.2264999999999999,0.27525,0.23725,0.11825,0.405,0.2385,0.377,0.34875,0.34975,0.3455,0.298,0.1535,0.4044999999999999,0.272,0.63675,0.14825,0.2007499999999999,0.17575,0.1955,0.17075,0.5035,0.26925,0.1579999999999999,0.18,0.14825,0.1594999999999999,0.151,0.3007499999999999,0.63675,0.1985,0.18425,0.10625,0.1054999999999999,0.18275,0.09675,0.65,0.21575,0.14875,0.16625,0.21925,0.11675,0.194,0.1267499999999999,0.1935,0.1755,0.48175,0.22425,0.16475,0.0652499999999999,0.16525,0.0805,0.0732499999999999,0.05625,0.0984999999999999,0.0964999999999999,0.11625,0.2214999999999999,0.1275,0.11175,0.0504999999999999,0.0705,0.0705,0.10225,0.0954999999999999,0.0865,0.0979999999999999,0.0762499999999999,0.2027499999999999,0.0727499999999999,0.0682499999999999,0.0999999999999999,0.7595000000000001,0.26225,0.0499999999999999,0.05675,0.10025,0.05625,0.0642499999999999,0.06175,0.15425,0.27025,0.0842499999999999,0.0687499999999999,0.0344999999999999,0.0549999999999999,0.05975,0.0519999999999999,0.0855,0.05025,0.059,0.079,0.062,0.0444999999999999,0.05625,0.1149999999999999,0.03875,0.0695,0.0805,0.0725,0.0579999999999999,0.0667499999999999,0.0404999999999999,0.0364999999999999,0.04625,0.0242499999999999,0.0409999999999999,0.0444999999999999,0.0152499999999999,0.013,0.03675
Dead Alive (Braindead) (1992),0.73725,0.71875,0.9875,0.6635,0.6635,0.766,0.44875,0.97975,0.3545,0.82525,0.50725,0.371,0.5905,0.97975,0.7542500000000001,0.7895000000000001,0.41225,0.582,0.5905,0.3685,0.71875,0.8474999999999999,0.4307499999999999,0.5905,0.6635,0.2997499999999999,0.60025,0.33325,0.50825,0.41725,0.4087499999999999,0.23275,0.615,0.4715,0.3149999999999999,0.21575,0.151,0.6635,0.11725,0.3349999999999999,0.1629999999999999,0.201,0.21175,0.24675,0.2895,0.40625,0.33325,0.17725,0.23225,0.1995,0.1365,0.2574999999999999,0.39925,0.18325,0.287,0.1332499999999999,0.1069999999999999,0.2445,0.2564999999999999,0.24025,0.0805,0.12125,0.1495,0.2254999999999999,0.148,0.1927499999999999,0.14125,0.1099999999999999,0.0944999999999999,0.1927499999999999,0.06025,0.15625,0.311,0.14875,0.50975,0.22725,0.11925,0.14475,0.12425,0.0949999999999999,0.1564999999999999,0.12475,0.20725,0.37275,0.0815,0.37875,0.1835,0.08625,0.2115,0.0727499999999999,0.093,0.04225,0.09775,0.0695,0.0835,0.1099999999999999,0.15825,0.21975,0.04425,0.06225,0.0667499999999999,0.05825,0.1887499999999999,0.11725,0.1569999999999999,0.0605,0.03925,0.05225,0.0429999999999999,0.0439999999999999,0.184,0.0969999999999999,0.0564999999999999,0.0479999999999999,0.0732499999999999,0.0574999999999999,0.028,0.0504999999999999,0.127,0.03525,0.05075,0.1059999999999999,0.0409999999999999,0.0469999999999999,0.0429999999999999,0.03125,0.1169999999999999,0.0939999999999999,0.0519999999999999,0.0559999999999999,0.03475,0.0742499999999999,0.0657499999999999,0.079,0.0235,0.03675,0.085,0.0454999999999999,0.03275,0.0434999999999999,0.0474999999999999,0.0544999999999999,0.04725,0.0287499999999999,0.03975,0.04575,0.0205,0.0127499999999999,0.0409999999999999
Bad Taste (1987),0.727,0.77,0.99425,0.7665,0.77,0.7597499999999999,0.6265,0.9455,0.399,0.6285,0.75675,0.655,0.42,0.9455,0.7575000000000001,0.6265,0.45975,0.5255,0.5255,0.7597499999999999,0.641,0.53575,0.38025,0.4014999999999999,0.7665,0.3662499999999999,0.60575,0.51775,0.4539999999999999,0.47775,0.346,0.3552499999999999,0.39325,0.539,0.29525,0.1292499999999999,0.1654999999999999,0.7665,0.1079999999999999,0.2017499999999999,0.34225,0.2774999999999999,0.1009999999999999,0.2445,0.08925,0.24325,0.23375,0.17075,0.24625,0.176,0.1679999999999999,0.1475,0.271,0.22775,0.14175,0.14925,0.193,0.26375,0.303,0.2734999999999999,0.0615,0.129,0.18375,0.1594999999999999,0.22575,0.1317499999999999,0.11725,0.0925,0.3235,0.16325,0.0715,0.10625,0.3045,0.12025,0.46875,0.23925,0.20525,0.1545,0.1312499999999999,0.1109999999999999,0.1297499999999999,0.1104999999999999,0.5805,0.264,0.15275,0.1392499999999999,0.09525,0.0652499999999999,0.2259999999999999,0.1297499999999999,0.05325,0.06025,0.1392499999999999,0.125,0.0875,0.1119999999999999,0.1104999999999999,0.1029999999999999,0.071,0.1149999999999999,0.0989999999999999,0.1119999999999999,0.1034999999999999,0.0662499999999999,0.1594999999999999,0.1357499999999999,0.0227499999999999,0.10675,0.09875,0.0277499999999999,0.18125,0.0807499999999999,0.0697499999999999,0.05725,0.06025,0.04175,0.03675,0.0772499999999999,0.1644999999999999,0.05425,0.059,0.11025,0.04325,0.1977499999999999,0.0857499999999999,0.03925,0.0675,0.03775,0.0514999999999999,0.071,0.0399999999999999,0.0652499999999999,0.05025,0.0494999999999999,0.0265,0.0344999999999999,0.03875,0.0662499999999999,0.0939999999999999,0.05225,0.0272499999999999,0.03375,0.0489999999999999,0.03,0.0364999999999999,0.03975,0.0137499999999999,0.0122499999999999,0.0697499999999999
Evil Dead II (Dead by Dawn) (1987),0.8805000000000001,0.8895,0.989,0.667,0.8895,0.7605,0.5345,0.943,0.5195,0.8514999999999999,0.59975,0.5345,0.8160000000000001,0.943,0.5115,0.8234999999999999,0.4125,0.8287500000000001,0.5395,0.59975,0.6455,0.985,0.45475,0.5395,0.667,0.3635,0.5225,0.51125,0.492,0.51125,0.4475,0.4004999999999999,0.4852499999999999,0.479,0.2995,0.20825,0.16675,0.667,0.1257499999999999,0.2977499999999999,0.3525,0.28125,0.1445,0.365,0.15325,0.31575,0.3565,0.25075,0.15175,0.3359999999999999,0.14925,0.35375,0.3229999999999999,0.22725,0.205,0.18575,0.1925,0.21775,0.1877499999999999,0.32025,0.18175,0.14225,0.24425,0.1865,0.18575,0.17125,0.197,0.2005,0.1644999999999999,0.2012499999999999,0.0825,0.191,0.139,0.11725,0.8465,0.21525,0.1252499999999999,0.30525,0.2234999999999999,0.0935,0.16525,0.15175,0.21925,0.3904999999999999,0.21225,0.16025,0.1584999999999999,0.0595,0.2135,0.0885,0.0725,0.05925,0.062,0.10025,0.1367499999999999,0.3125,0.14225,0.138,0.0767499999999999,0.0655,0.09025,0.04375,0.11125,0.11225,0.1905,0.0474999999999999,0.12,0.0652499999999999,0.0479999999999999,0.03975,0.44075,0.1074999999999999,0.0484999999999999,0.0682499999999999,0.09375,0.065,0.0655,0.067,0.1262499999999999,0.0414999999999999,0.0667499999999999,0.1144999999999999,0.05675,0.0454999999999999,0.04475,0.031,0.1465,0.0524999999999999,0.05775,0.0795,0.0564999999999999,0.0529999999999999,0.0855,0.12025,0.17475,0.0579999999999999,0.0632499999999999,0.05825,0.063,0.0459999999999999,0.0534999999999999,0.0434999999999999,0.04625,0.0514999999999999,0.05225,0.05725,0.0175,0.013,0.0489999999999999
"American Werewolf in London, An (1981)",0.7989999999999999,0.81325,0.94875,0.8360000000000001,0.81325,0.80125,0.571,0.8525,0.5375,0.80125,0.8360000000000001,0.39225,0.91425,0.7795000000000001,0.559,0.91425,0.4207499999999999,0.6905,0.58425,0.8360000000000001,0.52875,0.91275,0.49375,0.58425,0.72525,0.4685,0.38175,0.3774999999999999,0.538,0.4712499999999999,0.39825,0.291,0.344,0.73525,0.2504999999999999,0.3189999999999999,0.2907499999999999,0.44525,0.26,0.3595,0.813,0.37575,0.249,0.3335,0.28625,0.275,0.3635,0.4367499999999999,0.2075,0.293,0.4922499999999999,0.48675,0.2794999999999999,0.6665,0.18075,0.53375,0.294,0.23425,0.30025,0.58125,0.3055,0.15725,0.2365,0.5585,0.33125,0.17275,0.2604999999999999,0.60025,0.1977499999999999,0.21,0.1305,0.172,0.14425,0.11225,0.3904999999999999,0.31425,0.2189999999999999,0.14425,0.263,0.1129999999999999,0.269,0.16825,0.1735,0.185,0.18125,0.1345,0.1402499999999999,0.0999999999999999,0.09075,0.133,0.0775,0.0687499999999999,0.3035,0.05175,0.121,0.3405,0.20375,0.24525,0.0554999999999999,0.0847499999999999,0.04125,0.04575,0.09175,0.0717499999999999,0.287,0.079,0.2877499999999999,0.0354999999999999,0.0807499999999999,0.072,0.0677499999999999,0.0964999999999999,0.04725,0.0832499999999999,0.1357499999999999,0.0785,0.0549999999999999,0.1004999999999999,0.1297499999999999,0.0999999999999999,0.1044999999999999,0.13,0.0439999999999999,0.04825,0.04825,0.0267499999999999,0.05475,0.05075,0.10075,0.091,0.077,0.12025,0.0514999999999999,0.0805,0.0364999999999999,0.02975,0.0652499999999999,0.05225,0.0615,0.0419999999999999,0.079,0.0524999999999999,0.0514999999999999,0.0459999999999999,0.04475,0.0459999999999999,0.05025,0.0227499999999999,0.04075
"Blob, The (1958)",0.75525,0.59475,0.944,0.8354999999999999,0.8527499999999999,0.8825000000000001,0.8434999999999999,0.8527499999999999,0.67025,0.7537499999999999,0.8354999999999999,0.395,0.56,0.32125,0.275,0.56,0.8322499999999999,0.90025,0.7925,0.8825000000000001,0.15075,0.22675,0.425,0.51375,0.887,0.299,0.3485,0.34775,0.23725,0.4425,0.28725,0.23125,0.3085,0.52175,0.254,0.49475,0.72175,0.79575,0.27225,0.3135,0.60975,0.2534999999999999,0.26275,0.17625,0.1275,0.36675,0.3784999999999999,0.17075,0.26475,0.23525,0.2564999999999999,0.26575,0.2644999999999999,0.11225,0.1594999999999999,0.3415,0.397,0.38225,0.9795,0.304,0.065,0.1159999999999999,0.12125,0.352,0.49,0.145,0.0895,0.182,0.4825,0.2804999999999999,0.10625,0.0735,0.51275,0.1624999999999999,0.1485,0.32825,0.384,0.25125,0.09125,0.11975,0.122,0.16775,0.1795,0.0464999999999999,0.18,0.1079999999999999,0.11875,0.1024999999999999,0.2504999999999999,0.11575,0.0865,0.03725,0.16475,0.0574999999999999,0.10575,0.082,0.178,0.34775,0.071,0.16125,0.0645,0.1149999999999999,0.088,0.04725,0.1709999999999999,0.2125,0.074,0.0514999999999999,0.3077499999999999,0.09025,0.0369999999999999,0.0795,0.0842499999999999,0.0825,0.10675,0.0655,0.03275,0.0815,0.0725,0.1965,0.1445,0.28125,0.0429999999999999,0.0777499999999999,0.0777499999999999,0.0277499999999999,0.05175,0.0605,0.132,0.0235,0.0852499999999999,0.135,0.0812499999999999,0.0702499999999999,0.27625,0.03975,0.12025,0.0745,0.11125,0.04625,0.05825,0.0379999999999999,0.05075,0.0272499999999999,0.0424999999999999,0.0389999999999999,0.0394999999999999,0.04175,0.0389999999999999
