movieId,original,greed,drama,islam,culture clash,weird,melancholic,good,runaway,wartime,vengeance,sacrifice,independent film,period piece,mentor,betrayal,dialogue,prejudice,drinking,adaptation,catastrophe,life & death,pornography,unlikely friendships,light,british,death,surveillance,life philosophy,not funny,childhood,transformation,nudity (full frontal - brief),women,censorship,very funny,film noir,1930s,survival,chase,fantasy world,quirky,family,weapons,absurd,dysfunctional family,predictable,fight scenes,first contact,queer,bollywood,too long,sexy,hospital,camp,stereotypes,fun movie,russian,creativity,underrated,irish accent,rebellion,good music,doctors,classic car,multiple storylines,teen movie,writers,small town,hotel,brothers,indians,divorce,prison,interracial romance,tokyo,farce,memory,computer animation,nudity (topless - brief),finnish,french,alternate history,atheism,simple,road movie,alter ego,documentary,blindness,california,awesome soundtrack,god,new jersey,race,directorial debut,dreams,ensemble cast,radio,adoption,wilderness,island,desert,workplace,addiction,pulp,nudity (rear),oil,best of 2005,hunting,made for tv,stand-up comedy,lawyer,stoner movie,mad scientist,notable nudity,texas,internet,australia,potential oscar nom,wine,immortality,cancer,foul language,prostitution,new york city,80s,father daughter relationship,hip hop,kidnapping,graphic novel,trilogy,time,kick-butt women,san francisco,homeless,fashion,robert downey jr,no plot,too short,snakes,reality tv,ghosts/afterlife,single father,goth,unlikeable characters,shopping,los angeles,buddy movie,remake
Nixon (1995),0.81325,0.81325,0.7795000000000001,0.974,0.69475,0.54825,0.54425,0.77475,0.8414999999999999,0.275,0.59825,0.81175,0.54425,0.606,0.6515,0.81325,0.6175,0.8414999999999999,0.632,0.3315,0.46225,0.4147499999999999,0.57,0.203,0.266,0.15675,0.37275,0.7445,0.303,0.38,0.36375,0.3685,0.27925,0.18575,0.57,0.23625,0.236,0.1455,0.09175,0.2465,0.3115,0.217,0.196,0.24625,0.27125,0.179,0.24775,0.16025,0.257,0.15525,0.1307499999999999,0.52775,0.156,0.1614999999999999,0.11125,0.09425,0.177,0.05775,0.1445,0.3914999999999999,0.1902499999999999,0.086,0.10825,0.287,0.261,0.1664999999999999,0.11325,0.124,0.11625,0.1415,0.23925,0.1342499999999999,0.0807499999999999,0.0984999999999999,0.10125,0.09725,0.0772499999999999,0.193,0.1307499999999999,0.09725,0.0212499999999999,0.0344999999999999,0.15025,0.1282499999999999,0.09925,0.17025,0.74325,0.09925,0.15675,0.67275,0.10825,0.121,0.1965,0.1917499999999999,0.0717499999999999,0.1252499999999999,0.22025,0.21,0.1164999999999999,0.1089999999999999,0.084,0.0652499999999999,0.0969999999999999,0.17425,0.14525,0.09675,0.288,0.0715,0.15275,0.1609999999999999,0.10275,0.2027499999999999,0.1317499999999999,0.16725,0.0885,0.307,0.09975,0.05075,0.1064999999999999,0.0314999999999999,0.0444999999999999,0.2175,0.29025,0.04625,0.0832499999999999,0.1892499999999999,0.0579999999999999,0.0665,0.05725,0.08825,0.0459999999999999,0.1305,0.0775,0.0615,0.0969999999999999,0.074,0.2204999999999999,0.03975,0.0564999999999999,0.1405,0.0499999999999999,0.05075,0.0282499999999999,0.03575,0.0554999999999999,0.02975,0.0875,0.09725,0.03625
"Misérables, Les (1995)",0.8207500000000001,0.8700000000000001,0.6055,0.36075,0.56175,0.8700000000000001,0.8700000000000001,0.8207500000000001,0.5395,0.83525,0.55825,0.6885,0.51225,0.3864999999999999,0.681,0.656,0.46125,0.6885,0.283,0.96775,0.52225,0.4995,0.1614999999999999,0.529,0.5055,0.23125,0.146,0.1619999999999999,0.46775,0.3612499999999999,0.5885,0.3279999999999999,0.3645,0.14075,0.0499999999999999,0.31975,0.1044999999999999,0.14875,0.4419999999999999,0.2817499999999999,0.395,0.1564999999999999,0.35475,0.14,0.1367499999999999,0.15875,0.17425,0.25875,0.2865,0.127,0.145,0.31125,0.11375,0.196,0.081,0.10125,0.1574999999999999,0.15075,0.3804999999999999,0.32275,0.304,0.09625,0.2145,0.14125,0.20325,0.1887499999999999,0.22975,0.23475,0.1455,0.1144999999999999,0.1402499999999999,0.16025,0.0615,0.2817499999999999,0.0524999999999999,0.09375,0.0827499999999999,0.16575,0.1589999999999999,0.1297499999999999,0.119,0.57875,0.22175,0.1029999999999999,0.3125,0.1639999999999999,0.1644999999999999,0.0354999999999999,0.1195,0.09125,0.10125,0.0464999999999999,0.0752499999999999,0.05975,0.09275,0.1435,0.0574999999999999,0.0514999999999999,0.15175,0.05675,0.10475,0.04075,0.0757499999999999,0.0752499999999999,0.12475,0.08825,0.0384999999999999,0.1029999999999999,0.0292499999999999,0.1019999999999999,0.0787499999999999,0.31225,0.09675,0.10875,0.0697499999999999,0.04775,0.0727499999999999,0.04525,0.0439999999999999,0.08,0.201,0.10825,0.0579999999999999,0.0797499999999999,0.04175,0.04575,0.09,0.0444999999999999,0.06125,0.03625,0.141,0.067,0.05325,0.06175,0.05875,0.0344999999999999,0.03675,0.088,0.03975,0.03775,0.0285,0.12425,0.05875,0.0444999999999999,0.0262499999999999,0.04325,0.025,0.029,0.0625
Anne Frank Remembered (1995),0.67525,0.674,0.6545,0.56,0.674,0.674,0.745,0.6545,0.5225,0.9775,0.649,0.65675,0.6545,0.3462499999999999,0.55425,0.49275,0.24875,0.65675,0.24725,0.609,0.59425,0.6545,0.2005,0.51225,0.2754999999999999,0.3117499999999999,0.7095,0.148,0.55625,0.3542499999999999,0.6395,0.24125,0.379,0.652,0.1255,0.29325,0.242,0.1392499999999999,0.28,0.2375,0.22725,0.2105,0.44225,0.10825,0.1372499999999999,0.32675,0.17675,0.18025,0.17675,0.2455,0.60325,0.0969999999999999,0.16425,0.17375,0.6505,0.23375,0.16525,0.0725,0.1892499999999999,0.1305,0.23725,0.0635,0.21075,0.079,0.42625,0.12375,0.33625,0.25825,0.18475,0.09375,0.15475,0.16675,0.077,0.078,0.23575,0.0815,0.27525,0.09525,0.16675,0.0835,0.24975,0.0657499999999999,0.092,0.12175,0.0949999999999999,0.1134999999999999,0.0857499999999999,0.8294999999999999,0.10475,0.22225,0.0857499999999999,0.0984999999999999,0.204,0.1805,0.0847499999999999,0.0822499999999999,0.0524999999999999,0.05575,0.1674999999999999,0.0712499999999999,0.0812499999999999,0.0255,0.0925,0.10175,0.1079999999999999,0.05175,0.084,0.0807499999999999,0.0479999999999999,0.1109999999999999,0.16625,0.069,0.074,0.05275,0.10225,0.0989999999999999,0.1825,0.081,0.0687499999999999,0.10025,0.03225,0.6715,0.04975,0.0662499999999999,0.0665,0.0665,0.1555,0.11825,0.0627499999999999,0.0222499999999999,0.0295,0.024,0.05275,0.05175,0.05325,0.05875,0.0369999999999999,0.0354999999999999,0.0964999999999999,0.0444999999999999,0.0272499999999999,0.0454999999999999,0.0785,0.03975,0.027,0.03475,0.03025,0.0344999999999999,0.0165
Before the Rain (Pred dozhdot) (1994),0.7967500000000001,0.74475,0.724,0.72325,0.67125,0.7895000000000001,0.9705,0.6865,0.67125,0.7995000000000001,0.8022499999999999,0.72325,0.65125,0.4449999999999999,0.3984999999999999,0.363,0.6215,0.44875,0.477,0.1985,0.4495,0.6305,0.286,0.394,0.25675,0.54325,0.33675,0.12225,0.29225,0.352,0.435,0.26275,0.3492499999999999,0.148,0.09,0.27,0.1649999999999999,0.11575,0.143,0.186,0.2754999999999999,0.2475,0.08825,0.28125,0.1915,0.1347499999999999,0.15825,0.1644999999999999,0.177,0.17725,0.617,0.22275,0.1644999999999999,0.1285,0.10775,0.069,0.0974999999999999,0.2774999999999999,0.23175,0.28075,0.26925,0.11325,0.5355,0.0984999999999999,0.24875,0.24225,0.1144999999999999,0.1352499999999999,0.1485,0.08925,0.2704999999999999,0.2865,0.1355,0.1164999999999999,0.14825,0.27825,0.08775,0.3175,0.10325,0.04575,0.33625,0.16125,0.1257499999999999,0.10525,0.1825,0.1159999999999999,0.0747499999999999,0.08825,0.10075,0.0645,0.21325,0.086,0.0984999999999999,0.12275,0.1185,0.1044999999999999,0.0625,0.05975,0.09275,0.1094999999999999,0.1019999999999999,0.086,0.0717499999999999,0.0554999999999999,0.1099999999999999,0.0605,0.0554999999999999,0.05275,0.0454999999999999,0.10225,0.14875,0.0225,0.192,0.0514999999999999,0.148,0.0842499999999999,0.05175,0.1019999999999999,0.0262499999999999,0.04975,0.28075,0.0267499999999999,0.05125,0.066,0.03725,0.03125,0.0777499999999999,0.04525,0.0782499999999999,0.0235,0.1674999999999999,0.299,0.064,0.0255,0.05075,0.03,0.0359999999999999,0.1405,0.05725,0.0147499999999999,0.0192499999999999,0.0504999999999999,0.0177499999999999,0.15825,0.0334999999999999,0.0232499999999999,0.0207499999999999,0.024,0.0147499999999999
Legends of the Fall (1994),0.92025,0.8872500000000001,0.8872500000000001,0.879,0.92025,0.997,0.8867499999999999,0.94075,0.8795,0.879,0.64275,0.879,0.83375,0.75075,0.57125,0.69625,0.3525,0.57075,0.75275,0.32575,0.61,0.607,0.19,0.8167500000000001,0.1664999999999999,0.188,0.4495,0.3385,0.28725,0.3452499999999999,0.26675,0.26575,0.1955,0.20375,0.05825,0.24825,0.0747499999999999,0.25575,0.42925,0.3065,0.25775,0.17225,0.633,0.2554999999999999,0.2017499999999999,0.7777499999999999,0.3994999999999999,0.33075,0.38625,0.1382499999999999,0.22025,0.76925,0.1679999999999999,0.2644999999999999,0.0707499999999999,0.1955,0.1945,0.1679999999999999,0.16875,0.23225,0.7695000000000001,0.0652499999999999,0.37175,0.1714999999999999,0.20325,0.1902499999999999,0.2684999999999999,0.1079999999999999,0.0842499999999999,0.15225,0.95325,0.8819999999999999,0.14425,0.09825,0.289,0.0747499999999999,0.088,0.10275,0.124,0.31425,0.04125,0.03675,0.3625,0.0845,0.2204999999999999,0.1252499999999999,0.12025,0.021,0.16025,0.1245,0.211,0.10375,0.0949999999999999,0.0999999999999999,0.0647499999999999,0.10325,0.10125,0.0964999999999999,0.1185,0.299,0.1185,0.141,0.0539999999999999,0.065,0.14925,0.0842499999999999,0.04375,0.0642499999999999,0.16475,0.0657499999999999,0.0832499999999999,0.05775,0.084,0.0665,0.1402499999999999,0.0954999999999999,0.1099999999999999,0.0732499999999999,0.0635,0.0404999999999999,0.0685,0.2085,0.05925,0.04225,0.0459999999999999,0.0584999999999999,0.0782499999999999,0.0394999999999999,0.0672499999999999,0.03875,0.05325,0.0954999999999999,0.06075,0.0645,0.0394999999999999,0.0682499999999999,0.04175,0.1099999999999999,0.1262499999999999,0.0494999999999999,0.03725,0.075,0.1475,0.0282499999999999,0.03775,0.0727499999999999,0.04125,0.03075,0.05275
"Madness of King George, The (1994)",0.93625,0.8382499999999999,0.90175,0.93625,0.89775,0.841,0.52475,0.89775,0.74725,0.27325,0.63175,0.7685,0.654,0.968,0.527,0.3359999999999999,0.4565,0.4237499999999999,0.38275,0.54,0.4852499999999999,0.1815,0.2644999999999999,0.21325,0.5745,0.95025,0.1255,0.2035,0.25775,0.30825,0.11925,0.2955,0.2815,0.12125,0.1679999999999999,0.352,0.11175,0.254,0.0725,0.1982499999999999,0.22125,0.786,0.27275,0.14175,0.16425,0.4499999999999999,0.20625,0.21475,0.206,0.2,0.211,0.0792499999999999,0.18325,0.2985,0.14825,0.09575,0.2995,0.082,0.20425,0.271,0.407,0.62175,0.17675,0.7577499999999999,0.1257499999999999,0.18325,0.1317499999999999,0.17775,0.15025,0.1505,0.28725,0.1382499999999999,0.2704999999999999,0.09425,0.09875,0.0782499999999999,0.14225,0.192,0.142,0.123,0.05525,0.0554999999999999,0.16975,0.1332499999999999,0.04825,0.0737499999999999,0.14725,0.0419999999999999,0.3205,0.24175,0.1154999999999999,0.1139999999999999,0.14925,0.15325,0.091,0.0895,0.3924999999999999,0.0692499999999999,0.0925,0.13,0.089,0.0324999999999999,0.0605,0.08875,0.1114999999999999,0.10225,0.04575,0.21375,0.03925,0.21525,0.0782499999999999,0.0835,0.0762499999999999,0.2269999999999999,0.203,0.0964999999999999,0.06,0.1564999999999999,0.081,0.04625,0.0905,0.064,0.08775,0.03975,0.10825,0.0364999999999999,0.15225,0.04875,0.0707499999999999,0.079,0.027,0.0652499999999999,0.06025,0.0404999999999999,0.0384999999999999,0.0685,0.17425,0.0539999999999999,0.04175,0.04975,0.04775,0.0569999999999999,0.08,0.04675,0.0484999999999999,0.0157499999999999,0.03775,0.04775,0.0314999999999999
"Queen Margot (Reine Margot, La) (1994)",0.96425,0.742,0.742,0.96425,0.61025,0.7757499999999999,0.7145,0.7255,0.60525,0.30925,0.8740000000000001,0.766,0.54425,0.96425,0.45075,0.74175,0.611,0.359,0.34775,0.63025,0.45775,0.40125,0.65375,0.21775,0.61225,0.6295,0.29525,0.5385,0.359,0.3672499999999999,0.1825,0.3442499999999999,0.4275,0.3794999999999999,0.32725,0.25425,0.14225,0.1935,0.0994999999999999,0.26575,0.24325,0.2425,0.2085,0.23525,0.3125,0.23175,0.22725,0.23525,0.1997499999999999,0.23175,0.11275,0.2907499999999999,0.63025,0.11625,0.151,0.0969999999999999,0.1475,0.08675,0.2365,0.3742499999999999,0.24225,0.17425,0.15475,0.16375,0.27125,0.28825,0.128,0.26775,0.09175,0.27675,0.23525,0.077,0.349,0.08975,0.1765,0.1992499999999999,0.1074999999999999,0.15575,0.1332499999999999,0.236,0.0812499999999999,0.952,0.21425,0.4745,0.0637499999999999,0.073,0.1377499999999999,0.0544999999999999,0.18025,0.10075,0.1262499999999999,0.4745,0.10475,0.0667499999999999,0.1074999999999999,0.065,0.1129999999999999,0.03425,0.14875,0.1267499999999999,0.0735,0.0675,0.0782499999999999,0.065,0.15075,0.25825,0.04275,0.1074999999999999,0.04975,0.146,0.11225,0.04475,0.0915,0.0742499999999999,0.3055,0.0605,0.1144999999999999,0.0692499999999999,0.0742499999999999,0.24925,0.0725,0.031,0.10025,0.131,0.0627499999999999,0.10125,0.076,0.0359999999999999,0.1079999999999999,0.0339999999999999,0.0429999999999999,0.0647499999999999,0.0682499999999999,0.0692499999999999,0.03225,0.0755,0.0954999999999999,0.0702499999999999,0.0329999999999999,0.0334999999999999,0.022,0.0414999999999999,0.0277499999999999,0.04275,0.0544999999999999,0.0777499999999999,0.059,0.0499999999999999,0.03925
To Live (Huozhe) (1994),0.91075,0.8087500000000001,0.91075,0.9825,0.91075,0.9575,0.9575,0.8394999999999999,0.8394999999999999,0.2827499999999999,0.7685,0.63625,0.91075,0.692,0.4932499999999999,0.399,0.71225,0.4875,0.604,0.3075,0.4755,0.7735000000000001,0.3005,0.6915,0.2564999999999999,0.29525,0.79375,0.1952499999999999,0.4665,0.3635,0.50225,0.3245,0.208,0.15575,0.51725,0.359,0.18425,0.2365,0.36075,0.1649999999999999,0.20525,0.27325,0.52675,0.2355,0.2224999999999999,0.7967500000000001,0.1765,0.23125,0.1765,0.146,0.513,0.2105,0.16225,0.386,0.05575,0.1235,0.179,0.26575,0.311,0.209,0.2324999999999999,0.418,0.2937499999999999,0.5115,0.33125,0.1895,0.1262499999999999,0.1307499999999999,0.183,0.1134999999999999,0.1942499999999999,0.18,0.2007499999999999,0.1257499999999999,0.0742499999999999,0.2937499999999999,0.08725,0.09975,0.1574999999999999,0.0979999999999999,0.23075,0.12475,0.09525,0.1295,0.29825,0.3645,0.11675,0.10925,0.0999999999999999,0.1362499999999999,0.1295,0.088,0.1649999999999999,0.1252499999999999,0.11075,0.1225,0.05125,0.05175,0.21675,0.079,0.1029999999999999,0.11325,0.1525,0.2654999999999999,0.075,0.075,0.11325,0.09775,0.04025,0.182,0.2514999999999999,0.04875,0.0822499999999999,0.0857499999999999,0.0827499999999999,0.093,0.0499999999999999,0.10875,0.0685,0.1579999999999999,0.09475,0.26825,0.0569999999999999,0.0632499999999999,0.0349999999999999,0.0379999999999999,0.1907499999999999,0.03075,0.0379999999999999,0.0175,0.0857499999999999,0.0915,0.0725,0.0454999999999999,0.3365,0.025,0.0329999999999999,0.04075,0.0524999999999999,0.03675,0.0374999999999999,0.1415,0.1049999999999999,0.0424999999999999,0.022,0.0295,0.0277499999999999,0.03525,0.011
Farewell My Concubine (Ba wang bie ji) (1993),0.815,0.8320000000000001,0.7815000000000001,0.934,0.8320000000000001,0.92575,0.92575,0.7815000000000001,0.8320000000000001,0.14775,0.706,0.523,0.73425,0.7505,0.58925,0.81375,0.8320000000000001,0.4545,0.47275,0.80525,0.434,0.6595,0.637,0.825,0.265,0.21275,0.27125,0.1375,0.57375,0.3774999999999999,0.495,0.46375,0.2224999999999999,0.23575,0.4925,0.2495,0.1109999999999999,0.61575,0.11025,0.1679999999999999,0.31375,0.1887499999999999,0.09025,0.15525,0.26725,0.16375,0.31525,0.4395,0.31525,0.41725,0.345,0.2455,0.23925,0.1285,0.09975,0.1089999999999999,0.1515,0.0682499999999999,0.267,0.2815,0.2027499999999999,0.1897499999999999,0.181,0.1039999999999999,0.14275,0.177,0.25875,0.1917499999999999,0.1114999999999999,0.11125,0.2774999999999999,0.1455,0.2007499999999999,0.09475,0.17575,0.31525,0.10675,0.1887499999999999,0.1942499999999999,0.15625,0.05425,0.1215,0.1312499999999999,0.09075,0.10625,0.17525,0.15025,0.06075,0.11475,0.0885,0.1609999999999999,0.1024999999999999,0.0745,0.09525,0.1084999999999999,0.31875,0.05125,0.0247499999999999,0.1297499999999999,0.0954999999999999,0.06175,0.0627499999999999,0.0807499999999999,0.2022499999999999,0.072,0.068,0.04075,0.079,0.04075,0.0815,0.0915,0.0409999999999999,0.1392499999999999,0.0807499999999999,0.1435,0.0642499999999999,0.1149999999999999,0.0745,0.05575,0.0685,0.17275,0.0782499999999999,0.0369999999999999,0.2664999999999999,0.0419999999999999,0.0549999999999999,0.0954999999999999,0.03675,0.0379999999999999,0.075,0.1159999999999999,0.079,0.0642499999999999,0.0647499999999999,0.0969999999999999,0.0539999999999999,0.0777499999999999,0.05725,0.0197499999999999,0.0625,0.0252499999999999,0.0672499999999999,0.023,0.0414999999999999,0.03625,0.0235,0.03125,0.04525,0.0175
"Remains of the Day, The (1993)",0.88375,0.853,0.88375,0.774,0.88375,0.853,0.8700000000000001,0.88375,0.833,0.4922499999999999,0.7475,0.47175,0.7505,0.92225,0.572,0.2885,0.52275,0.45925,0.64425,0.92025,0.513,0.7505,0.28075,0.5585,0.38425,0.702,0.17875,0.2022499999999999,0.6375,0.378,0.33525,0.46825,0.3097499999999999,0.1755,0.072,0.2264999999999999,0.1099999999999999,0.658,0.1337499999999999,0.22075,0.22175,0.177,0.0999999999999999,0.2234999999999999,0.1679999999999999,0.1445,0.145,0.15425,0.2345,0.172,0.0847499999999999,0.175,0.18625,0.18125,0.1004999999999999,0.08775,0.17275,0.0705,0.22875,0.27025,0.1629999999999999,0.06125,0.16825,0.174,0.218,0.21575,0.1079999999999999,0.20325,0.1272499999999999,0.2875,0.1054999999999999,0.11625,0.173,0.10125,0.11975,0.11075,0.0994999999999999,0.21675,0.138,0.09575,0.04075,0.27425,0.10425,0.09925,0.215,0.1684999999999999,0.145,0.0404999999999999,0.311,0.11725,0.12225,0.063,0.0979999999999999,0.0865,0.0895,0.188,0.09575,0.08,0.09125,0.143,0.10925,0.05875,0.0905,0.1287499999999999,0.10725,0.08725,0.0574999999999999,0.0767499999999999,0.10325,0.087,0.071,0.04875,0.086,0.139,0.181,0.05275,0.0499999999999999,0.04875,0.11525,0.2604999999999999,0.10775,0.1059999999999999,0.04425,0.04375,0.0564999999999999,0.0742499999999999,0.0692499999999999,0.0277499999999999,0.0334999999999999,0.0177499999999999,0.05775,0.0817499999999999,0.04025,0.04825,0.05625,0.093,0.071,0.0389999999999999,0.03525,0.0682499999999999,0.0275,0.076,0.0232499999999999,0.0235,0.04875,0.04625,0.0265,0.04375,0.0237499999999999
