movieId,original,predictable,vengeance,teen movie,betrayal,pornography,weird,death,mentor,very funny,chase,catastrophe,first contact,greed,good,fight scenes,camp,dialogue,fantasy world,sexy,mad scientist,adaptation,family,drama,melancholic,fun movie,weapons,not funny,hospital,remake,culture clash,runaway,life philosophy,nudity (full frontal - brief),life & death,independent film,quirky,transformation,stereotypes,surveillance,writers,pulp,creativity,classic car,farce,light,absurd,80s,survival,dysfunctional family,internet,multiple storylines,drinking,computer animation,sacrifice,doctors,alter ego,dreams,new jersey,queer,goth,women,unlikely friendships,small town,graphic novel,childhood,island,immortality,california,road movie,unlikeable characters,underrated,too long,kidnapping,notable nudity,reality tv,memory,nudity (topless - brief),awesome soundtrack,nudity (rear),irish accent,god,hip hop,alternate history,stand-up comedy,stoner movie,film noir,blindness,censorship,snakes,prejudice,hotel,islam,no plot,ghosts/afterlife,atheism,wilderness,texas,simple,prison,kick-butt women,good music,trilogy,addiction,foul language,tokyo,adoption,british,fashion,made for tv,new york city,shopping,bollywood,indians,workplace,directorial debut,period piece,brothers,hunting,radio,desert,los angeles,divorce,wartime,too short,cancer,finnish,homeless,interracial romance,ensemble cast,best of 2005,race,potential oscar nom,buddy movie,australia,prostitution,single father,robert downey jr,russian,san francisco,1930s,time,lawyer,wine,father daughter relationship,rebellion,oil,french,documentary
Lord of Illusions (1995),0.68875,0.40225,0.60925,0.2155,0.60025,0.68175,0.9365,0.60675,0.62475,0.264,0.407,0.4117499999999999,0.59975,0.48975,0.41825,0.59975,0.25675,0.34975,0.992,0.246,0.312,0.44475,0.16725,0.2304999999999999,0.4665,0.1902499999999999,0.18525,0.32875,0.2385,0.0449999999999999,0.35175,0.35175,0.305,0.8779999999999999,0.3385,0.48975,0.266,0.39025,0.0822499999999999,0.1955,0.371,0.27475,0.24475,0.2319999999999999,0.10975,0.32425,0.16675,0.21175,0.143,0.17625,0.182,0.2125,0.1935,0.16175,0.3435,0.1785,0.21825,0.11575,0.145,0.1327499999999999,0.4772499999999999,0.11375,0.142,0.14475,0.1937499999999999,0.1392499999999999,0.0802499999999999,0.2995,0.1765,0.1009999999999999,0.0489999999999999,0.4135,0.15725,0.2314999999999999,0.1054999999999999,0.0374999999999999,0.1054999999999999,0.1877499999999999,0.26125,0.189,0.2135,0.2664999999999999,0.0757499999999999,0.10425,0.09225,0.0954999999999999,0.51975,0.178,0.0479999999999999,0.1465,0.0627499999999999,0.118,0.10425,0.12275,0.3562499999999999,0.2664999999999999,0.075,0.06075,0.0852499999999999,0.087,0.0675,0.0762499999999999,0.05525,0.077,0.03225,0.09075,0.0767499999999999,0.0847499999999999,0.0825,0.059,0.1272499999999999,0.05725,0.04075,0.05225,0.1049999999999999,0.09675,0.05325,0.0825,0.0245,0.0559999999999999,0.278,0.3329999999999999,0.0504999999999999,0.0725,0.0349999999999999,0.04475,0.066,0.0339999999999999,0.0419999999999999,0.0772499999999999,0.0262499999999999,0.03725,0.03225,0.03925,0.0225,0.05125,0.0267499999999999,0.0662499999999999,0.04975,0.0574999999999999,0.04775,0.04375,0.03825,0.0627499999999999,0.04475,0.0187499999999999,0.04275,0.0329999999999999,0.025
Castle Freak (1995),0.69425,0.48675,0.58725,0.27575,0.4375,0.4882499999999999,0.5915,0.913,0.44525,0.2239999999999999,0.3027499999999999,0.38125,0.3165,0.512,0.36975,0.3175,0.308,0.32375,0.3155,0.2415,0.3325,0.3415,0.3595,0.399,0.426,0.1975,0.25025,0.3652499999999999,0.3409999999999999,0.072,0.426,0.426,0.424,0.249,0.33475,0.4247499999999999,0.33675,0.1892499999999999,0.08825,0.31,0.18275,0.4409999999999999,0.27975,0.2554999999999999,0.17475,0.16575,0.1977499999999999,0.25225,0.06,0.3804999999999999,0.09525,0.30525,0.3542499999999999,0.15475,0.138,0.17775,0.14725,0.156,0.1935,0.1465,0.1285,0.10875,0.17075,0.2115,0.694,0.1335,0.14625,0.09175,0.16375,0.1664999999999999,0.03375,0.15075,0.15,0.1215,0.1599999999999999,0.0632499999999999,0.0984999999999999,0.1395,0.1064999999999999,0.12175,0.12325,0.05475,0.0569999999999999,0.1024999999999999,0.1149999999999999,0.0822499999999999,0.1159999999999999,0.3565,0.0825,0.14975,0.08925,0.2355,0.068,0.0419999999999999,0.08675,0.03625,0.145,0.1185,0.086,0.11675,0.066,0.05925,0.0419999999999999,0.0835,0.04875,0.10675,0.1099999999999999,0.10575,0.0584999999999999,0.0559999999999999,0.06,0.0494999999999999,0.0429999999999999,0.05825,0.05625,0.09,0.0665,0.0692499999999999,0.0324999999999999,0.0272499999999999,0.07,0.0539999999999999,0.17125,0.0504999999999999,0.0414999999999999,0.0905,0.0499999999999999,0.0605,0.0715,0.0647499999999999,0.0232499999999999,0.03925,0.05375,0.026,0.1029999999999999,0.2664999999999999,0.03025,0.0434999999999999,0.0369999999999999,0.0272499999999999,0.0439999999999999,0.04825,0.0205,0.11475,0.059,0.0349999999999999,0.0374999999999999,0.0359999999999999,0.0275
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",0.8342499999999999,0.8999999999999999,0.4885,0.551,0.3165,0.2564999999999999,0.4075,0.58725,0.47975,0.24325,0.585,0.4097499999999999,0.36375,0.3502499999999999,0.487,0.36375,0.207,0.2995,0.4489999999999999,0.1175,0.31675,0.28525,0.1795,0.3502499999999999,0.4075,0.4379999999999999,0.15875,0.3442499999999999,0.686,0.518,0.3245,0.3502499999999999,0.255,0.22925,0.31,0.3057499999999999,0.1855,0.4034999999999999,0.1297499999999999,0.18325,0.2967499999999999,0.1267499999999999,0.368,0.18625,0.2284999999999999,0.15425,0.212,0.0994999999999999,0.1039999999999999,0.175,0.14775,0.1579999999999999,0.1054999999999999,0.14075,0.1564999999999999,0.393,0.31575,0.8327500000000001,0.20375,0.141,0.0755,0.11275,0.147,0.149,0.03125,0.201,0.10275,0.28825,0.2045,0.11475,0.0645,0.21325,0.122,0.1594999999999999,0.0632499999999999,0.1322499999999999,0.154,0.2065,0.066,0.0687499999999999,0.124,0.08675,0.1159999999999999,0.10375,0.15,0.0705,0.09275,0.1004999999999999,0.267,0.24625,0.078,0.1195,0.11625,0.04875,0.17825,0.06225,0.0835,0.1124999999999999,0.06075,0.077,0.04725,0.0772499999999999,0.1337499999999999,0.12425,0.04275,0.1124999999999999,0.0615,0.0564999999999999,0.0574999999999999,0.0857499999999999,0.05775,0.04025,0.0822499999999999,0.05525,0.0685,0.0605,0.05675,0.0697499999999999,0.05075,0.05525,0.04625,0.1629999999999999,0.0519999999999999,0.0479999999999999,0.04525,0.04825,0.0399999999999999,0.0672499999999999,0.0454999999999999,0.05675,0.05425,0.04625,0.12275,0.0344999999999999,0.0275,0.0474999999999999,0.0489999999999999,0.0847499999999999,0.0379999999999999,0.05575,0.04375,0.074,0.03025,0.03725,0.03425,0.0207499999999999,0.03125,0.0287499999999999,0.03175
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),0.77075,0.98,0.643,0.9035,0.8140000000000001,0.32625,0.4205,0.8547499999999999,0.46675,0.3555,0.399,0.40075,0.30825,0.292,0.2847499999999999,0.265,0.276,0.32475,0.40325,0.252,0.1164999999999999,0.26875,0.3642499999999999,0.2764999999999999,0.33475,0.246,0.2309999999999999,0.3725,0.6925,0.193,0.25225,0.25225,0.28925,0.1855,0.252,0.18,0.2289999999999999,0.252,0.0979999999999999,0.1144999999999999,0.2584999999999999,0.1525,0.272,0.2075,0.15,0.14475,0.15,0.09175,0.09275,0.24075,0.1392499999999999,0.29725,0.1139999999999999,0.1114999999999999,0.4095,0.3375,0.17775,0.16925,0.10775,0.1669999999999999,0.10775,0.10975,0.1445,0.1252499999999999,0.0419999999999999,0.1957499999999999,0.1169999999999999,0.46675,0.16925,0.14975,0.126,0.2025,0.09275,0.1992499999999999,0.0662499999999999,0.203,0.1882499999999999,0.2017499999999999,0.0605,0.12175,0.11775,0.1159999999999999,0.0745,0.11025,0.1315,0.087,0.1029999999999999,0.0885,0.075,0.0539999999999999,0.077,0.1275,0.0822499999999999,0.10675,0.0632499999999999,0.0625,0.0605,0.0702499999999999,0.0692499999999999,0.373,0.0414999999999999,0.06125,0.1069999999999999,0.0949999999999999,0.0374999999999999,0.0964999999999999,0.1825,0.0637499999999999,0.03775,0.08925,0.06175,0.0647499999999999,0.06,0.0544999999999999,0.0657499999999999,0.0657499999999999,0.0745,0.085,0.093,0.1445,0.0374999999999999,0.06025,0.068,0.0692499999999999,0.0504999999999999,0.0787499999999999,0.029,0.0549999999999999,0.0389999999999999,0.068,0.0215,0.0339999999999999,0.0429999999999999,0.03925,0.023,0.03575,0.0305,0.03675,0.04775,0.03675,0.0277499999999999,0.0324999999999999,0.03725,0.03175,0.0287499999999999,0.03175,0.0235,0.027,0.0242499999999999
Amityville 1992: It's About Time (1992),0.81325,0.938,0.6705,0.24975,0.27775,0.28,0.3662499999999999,0.637,0.45475,0.3185,0.31375,0.4085,0.5835,0.27475,0.34225,0.5835,0.2624999999999999,0.392,0.498,0.24625,0.33475,0.262,0.67525,0.43425,0.253,0.2927499999999999,0.29625,0.3605,0.21025,0.1977499999999999,0.27925,0.2334999999999999,0.1925,0.26925,0.30625,0.377,0.3622499999999999,0.2012499999999999,0.245,0.1262499999999999,0.414,0.615,0.4185,0.25025,0.11975,0.22725,0.2294999999999999,0.0895,0.0855,0.3555,0.1265,0.27,0.08975,0.2015,0.16975,0.1962499999999999,0.1755,0.1235,0.12075,0.17225,0.09025,0.093,0.1699999999999999,0.11275,0.05325,0.15225,0.359,0.5005,0.3602499999999999,0.12,0.05025,0.09975,0.33025,0.11075,0.1129999999999999,0.2204999999999999,0.119,0.0574999999999999,0.5305,0.11725,0.1094999999999999,0.1119999999999999,0.1327499999999999,0.1265,0.10025,0.0777499999999999,0.1315,0.0647499999999999,0.068,0.081,0.08625,0.05125,0.09575,0.0569999999999999,0.11575,0.1119999999999999,0.06225,0.0812499999999999,0.0827499999999999,0.09775,0.0805,0.0579999999999999,0.0549999999999999,0.0722499999999999,0.0772499999999999,0.076,0.1034999999999999,0.0782499999999999,0.0404999999999999,0.153,0.0672499999999999,0.0692499999999999,0.0389999999999999,0.0657499999999999,0.0605,0.0642499999999999,0.10125,0.0605,0.027,0.11475,0.0157499999999999,0.0762499999999999,0.065,0.079,0.0725,0.0524999999999999,0.0685,0.0314999999999999,0.0424999999999999,0.05125,0.1094999999999999,0.0464999999999999,0.066,0.04375,0.026,0.04975,0.8305,0.04325,0.059,0.05425,0.05275,0.11725,0.0429999999999999,0.0374999999999999,0.0339999999999999,0.0287499999999999,0.0842499999999999,0.0389999999999999,0.0157499999999999
Amityville 3-D (1983),0.8067500000000001,0.9135,0.4355,0.638,0.509,0.3672499999999999,0.4267499999999999,0.7315,0.4732499999999999,0.38875,0.3085,0.39575,0.6855,0.259,0.309,0.6855,0.24825,0.34575,0.528,0.16375,0.2827499999999999,0.5135,0.65775,0.2674999999999999,0.2435,0.2794999999999999,0.2847499999999999,0.3209999999999999,0.23925,0.3974999999999999,0.2284999999999999,0.23575,0.1992499999999999,0.26725,0.286,0.2289999999999999,0.3405,0.16675,0.1825,0.16925,0.30025,0.31725,0.1425,0.2115,0.1639999999999999,0.25275,0.185,0.42125,0.0499999999999999,0.25275,0.15975,0.3139999999999999,0.1252499999999999,0.32425,0.125,0.3359999999999999,0.2194999999999999,0.1897499999999999,0.17925,0.181,0.11325,0.137,0.2254999999999999,0.0675,0.087,0.18325,0.32075,0.1292499999999999,0.17225,0.11175,0.0727499999999999,0.10075,0.3615,0.0534999999999999,0.198,0.1295,0.09475,0.0672499999999999,0.1039999999999999,0.09925,0.17875,0.125,0.1387499999999999,0.154,0.1262499999999999,0.12275,0.1292499999999999,0.093,0.0722499999999999,0.1004999999999999,0.11075,0.064,0.10575,0.06125,0.4665,0.125,0.0349999999999999,0.09075,0.1169999999999999,0.10075,0.09025,0.0745,0.09875,0.0782499999999999,0.05075,0.0792499999999999,0.15375,0.12325,0.09175,0.1272499999999999,0.0949999999999999,0.10725,0.06,0.1069999999999999,0.0672499999999999,0.06125,0.086,0.0787499999999999,0.0237499999999999,0.05125,0.0262499999999999,0.087,0.126,0.0835,0.04475,0.0735,0.0905,0.03175,0.05425,0.05675,0.1327499999999999,0.0544999999999999,0.0404999999999999,0.0559999999999999,0.03575,0.0564999999999999,0.11725,0.0434999999999999,0.0484999999999999,0.0564999999999999,0.0682499999999999,0.0449999999999999,0.05075,0.0677499999999999,0.0569999999999999,0.03325,0.04075,0.03875,0.027
Amityville: Dollhouse (1996),0.8200000000000001,0.909,0.50075,0.36975,0.3632499999999999,0.267,0.35275,0.508,0.44225,0.4725,0.38875,0.404,0.6815,0.31425,0.33075,0.6815,0.37475,0.373,0.4965,0.239,0.498,0.287,0.78525,0.33075,0.26175,0.35875,0.2804999999999999,0.34175,0.2204999999999999,0.27925,0.33075,0.2234999999999999,0.1285,0.3745,0.30925,0.1825,0.2945,0.28725,0.1795,0.1435,0.40225,0.3195,0.15325,0.2534999999999999,0.1375,0.2644999999999999,0.182,0.132,0.1144999999999999,0.3894999999999999,0.16125,0.2165,0.1049999999999999,0.23775,0.218,0.2165,0.2175,0.24125,0.1397499999999999,0.173,0.0762499999999999,0.0827499999999999,0.18325,0.083,0.1049999999999999,0.1624999999999999,0.3175,0.12375,0.2002499999999999,0.10325,0.10975,0.10575,0.29525,0.10125,0.1674999999999999,0.2085,0.147,0.10325,0.0949999999999999,0.17725,0.1342499999999999,0.18575,0.1059999999999999,0.1327499999999999,0.0827499999999999,0.0762499999999999,0.1277499999999999,0.0805,0.0627499999999999,0.0695,0.08,0.0295,0.0807499999999999,0.09625,0.10825,0.10025,0.066,0.08725,0.0855,0.11625,0.0762499999999999,0.05475,0.05575,0.0645,0.0605,0.10375,0.16925,0.0762499999999999,0.03825,0.17525,0.065,0.0384999999999999,0.04475,0.08725,0.0569999999999999,0.0584999999999999,0.0807499999999999,0.0697499999999999,0.0314999999999999,0.05725,0.03575,0.061,0.0727499999999999,0.0697499999999999,0.09675,0.0519999999999999,0.0705,0.0359999999999999,0.0469999999999999,0.0489999999999999,0.1315,0.0559999999999999,0.0489999999999999,0.03825,0.03875,0.0439999999999999,0.10825,0.0389999999999999,0.04725,0.0329999999999999,0.0544999999999999,0.0615,0.0267499999999999,0.0364999999999999,0.04475,0.03025,0.0265,0.0305,0.0125
Amityville: A New Generation (1993),0.8005,0.9585,0.6,0.45675,0.7945,0.40425,0.347,0.67525,0.46325,0.373,0.55025,0.4147499999999999,0.6805,0.6,0.4872499999999999,0.6805,0.2339999999999999,0.3149999999999999,0.48375,0.34375,0.30025,0.3195,0.69075,0.6,0.23725,0.2125,0.5805,0.3545,0.3037499999999999,0.251,0.6,0.6,0.20775,0.253,0.31675,0.2845,0.3285,0.2005,0.1659999999999999,0.16225,0.51125,0.3299999999999999,0.216,0.2405,0.1375,0.27375,0.1574999999999999,0.1295,0.0885,0.389,0.1619999999999999,0.3107499999999999,0.11575,0.2324999999999999,0.20925,0.433,0.22025,0.1995,0.1009999999999999,0.15225,0.0742499999999999,0.1337499999999999,0.2624999999999999,0.083,0.1024999999999999,0.25775,0.54775,0.15775,0.1639999999999999,0.12025,0.0655,0.10475,0.53525,0.0815,0.16425,0.238,0.27375,0.131,0.0675,0.197,0.14,0.09925,0.1629999999999999,0.16075,0.11225,0.10125,0.136,0.0702499999999999,0.05025,0.083,0.082,0.04975,0.14175,0.10375,0.0772499999999999,0.09925,0.059,0.0852499999999999,0.0935,0.12375,0.08925,0.0722499999999999,0.05125,0.0772499999999999,0.06075,0.0712499999999999,0.09775,0.0687499999999999,0.0775,0.086,0.09775,0.0685,0.06025,0.0855,0.04975,0.063,0.14175,0.0767499999999999,0.05775,0.068,0.02,0.0895,0.07,0.0755,0.16375,0.0702499999999999,0.10275,0.655,0.09025,0.06225,0.1019999999999999,0.0792499999999999,0.086,0.059,0.0414999999999999,0.0444999999999999,0.062,0.0474999999999999,0.0539999999999999,0.05825,0.0667499999999999,0.0544999999999999,0.0404999999999999,0.0454999999999999,0.03,0.03575,0.0319999999999999,0.03375,0.0147499999999999
Amityville II: The Possession (1982),0.85175,0.8287500000000001,0.73725,0.53525,0.86775,0.50275,0.50175,0.399,0.4965,0.275,0.4307499999999999,0.39675,0.66225,0.3355,0.33775,0.66225,0.251,0.3525,0.4399999999999999,0.4095,0.25325,0.56775,0.83525,0.40525,0.2887499999999999,0.1877499999999999,0.3249999999999999,0.37625,0.3285,0.248,0.3355,0.2915,0.21325,0.1445,0.212,0.38575,0.3097499999999999,0.264,0.1292499999999999,0.1377499999999999,0.212,0.4385,0.1704999999999999,0.25475,0.202,0.212,0.1654999999999999,0.25725,0.08625,0.8480000000000001,0.132,0.258,0.1129999999999999,0.1855,0.354,0.208,0.1947499999999999,0.182,0.154,0.1674999999999999,0.0655,0.15325,0.17075,0.091,0.1644999999999999,0.134,0.3492499999999999,0.0825,0.14975,0.09575,0.0539999999999999,0.11475,0.272,0.0915,0.10875,0.10125,0.1435,0.1014999999999999,0.0944999999999999,0.0855,0.129,0.2022499999999999,0.0895,0.15675,0.118,0.0767499999999999,0.1307499999999999,0.0787499999999999,0.14825,0.0539999999999999,0.0735,0.083,0.354,0.0715,0.0692499999999999,0.192,0.0695,0.0742499999999999,0.0984999999999999,0.12425,0.0735,0.0944999999999999,0.0707499999999999,0.081,0.08625,0.1074999999999999,0.216,0.071,0.04525,0.10575,0.0797499999999999,0.0404999999999999,0.0645,0.17175,0.0765,0.1034999999999999,0.073,0.089,0.0835,0.0579999999999999,0.0265,0.07,0.0524999999999999,0.06025,0.0449999999999999,0.05325,0.0999999999999999,0.0334999999999999,0.0334999999999999,0.05325,0.0615,0.0474999999999999,0.07,0.04275,0.031,0.0554999999999999,0.0777499999999999,0.0334999999999999,0.05475,0.04775,0.0509999999999999,0.0399999999999999,0.0647499999999999,0.072,0.0414999999999999,0.0295,0.0379999999999999,0.03225,0.0334999999999999
"Amityville Horror, The (1979)",0.7825,0.8939999999999999,0.6865,0.35475,0.75275,0.493,0.5985,0.4295,0.608,0.26575,0.41225,0.43525,0.51175,0.648,0.60675,0.51175,0.413,0.4489999999999999,0.36,0.26675,0.4215,0.9135,0.8047500000000001,0.62825,0.415,0.2339999999999999,0.245,0.3635,0.284,0.34025,0.415,0.415,0.26475,0.2564999999999999,0.22825,0.366,0.23975,0.348,0.1337499999999999,0.5985,0.2784999999999999,0.1915,0.1955,0.353,0.118,0.3399999999999999,0.1392499999999999,0.1985,0.26625,0.421,0.153,0.1975,0.1945,0.2165,0.29525,0.23425,0.14875,0.25625,0.45525,0.15225,0.198,0.11975,0.176,0.18475,0.0732499999999999,0.211,0.393,0.0737499999999999,0.12225,0.12125,0.0785,0.3275,0.20475,0.0939999999999999,0.1937499999999999,0.0757499999999999,0.10975,0.3115,0.1019999999999999,0.1029999999999999,0.1445,0.16775,0.09,0.1397499999999999,0.10325,0.1024999999999999,0.10025,0.29325,0.0857499999999999,0.0807499999999999,0.119,0.127,0.239,0.05225,0.299,0.16775,0.092,0.1355,0.1485,0.1124999999999999,0.0384999999999999,0.177,0.04175,0.0875,0.12125,0.0845,0.18125,0.0837499999999999,0.0692499999999999,0.09475,0.1069999999999999,0.0675,0.0712499999999999,0.1345,0.05725,0.08825,0.14625,0.16025,0.0865,0.072,0.0354999999999999,0.11125,0.09225,0.0832499999999999,0.0449999999999999,0.1405,0.03625,0.075,0.0549999999999999,0.04725,0.20925,0.0625,0.06025,0.06075,0.0349999999999999,0.04175,0.0797499999999999,0.0434999999999999,0.0474999999999999,0.068,0.067,0.04725,0.12,0.0559999999999999,0.09125,0.04075,0.0369999999999999,0.0369999999999999,0.04375
