movieId,pornography,sexy,weird,melancholic,runaway,original,independent film,censorship,greed,vengeance,culture clash,betrayal,women,dialogue,predictable,drama,good,mentor,catastrophe,adaptation,nudity (full frontal - brief),drinking,life philosophy,queer,absurd,quirky,light,fantasy world,not funny,very funny,fight scenes,life & death,nudity (rear),death,teen movie,dysfunctional family,writers,first contact,chase,notable nudity,transformation,addiction,multiple storylines,creativity,divorce,unlikely friendships,weapons,classic car,hotel,pulp,camp,doctors,fun movie,childhood,prejudice,stereotypes,farce,prostitution,underrated,islam,surveillance,road movie,computer animation,film noir,alter ego,dreams,hospital,period piece,mad scientist,interracial romance,california,graphic novel,nudity (topless - brief),workplace,family,new jersey,too long,sacrifice,internet,tokyo,blindness,british,irish accent,god,stand-up comedy,stoner movie,small town,unlikeable characters,kick-butt women,good music,atheism,80s,memory,fashion,kidnapping,directorial debut,reality tv,wilderness,awesome soundtrack,hip hop,alternate history,bollywood,prison,wartime,goth,new york city,french,los angeles,survival,adoption,no plot,island,immortality,texas,1930s,indians,australia,simple,desert,ensemble cast,documentary,foul language,wine,robert downey jr,brothers,shopping,san francisco,finnish,russian,best of 2005,cancer,remake,made for tv,potential oscar nom,race,father daughter relationship,hunting,lawyer,snakes,ghosts/afterlife,rebellion,homeless,radio,too short,trilogy,single father,buddy movie,oil,time
When Night Is Falling (1995),0.8125,0.863,0.90775,0.90775,0.5815,0.5745,0.4419999999999999,0.2289999999999999,0.45275,0.4429999999999999,0.90775,0.3612499999999999,0.808,0.3562499999999999,0.25975,0.23825,0.9335,0.36675,0.43125,0.26725,0.46375,0.3325,0.18275,0.697,0.144,0.24225,0.30525,0.3219999999999999,0.33275,0.22675,0.2744999999999999,0.3399999999999999,0.29525,0.2817499999999999,0.17025,0.182,0.1669999999999999,0.2415,0.264,0.17775,0.44125,0.0845,0.21925,0.258,0.266,0.184,0.142,0.16575,0.1714999999999999,0.1362499999999999,0.142,0.04975,0.11675,0.1887499999999999,0.20475,0.32625,0.11825,0.073,0.22175,0.0762499999999999,0.203,0.1139999999999999,0.14075,0.11325,0.15425,0.1049999999999999,0.0994999999999999,0.10025,0.142,0.46125,0.11675,0.27575,0.3087499999999999,0.0554999999999999,0.12075,0.0785,0.062,0.344,0.084,0.1225,0.1014999999999999,0.181,0.4257499999999999,0.32725,0.17475,0.0595,0.08625,0.10625,0.092,0.085,0.378,0.059,0.14475,0.1164999999999999,0.04625,0.1205,0.05525,0.04475,0.203,0.08875,0.0635,0.4365,0.09,0.1649999999999999,0.1049999999999999,0.0489999999999999,0.03675,0.05025,0.0662499999999999,0.0847499999999999,0.1014999999999999,0.06075,0.1054999999999999,0.0865,0.04825,0.1357499999999999,0.0767499999999999,0.10775,0.08925,0.0394999999999999,0.05075,0.03475,0.0429999999999999,0.0449999999999999,0.0875,0.12325,0.10725,0.0524999999999999,0.04925,0.0235,0.0915,0.0237499999999999,0.0584999999999999,0.1365,0.0847499999999999,0.0647499999999999,0.011,0.0227499999999999,0.0419999999999999,0.092,0.20575,0.0195,0.0549999999999999,0.0424999999999999,0.04125,0.0414999999999999,0.04325,0.03375,0.068
French Twist (Gazon maudit) (1995),0.92675,0.92675,0.7529999999999999,0.9455,0.7529999999999999,0.55675,0.7405,0.6725,0.5135,0.3077499999999999,0.5135,0.588,0.8905000000000001,0.3732499999999999,0.2345,0.5135,0.41525,0.3854999999999999,0.4297499999999999,0.29825,0.45025,0.27375,0.45175,0.4802499999999999,0.18575,0.20475,0.6055,0.2345,0.21,0.50325,0.2095,0.1535,0.4165,0.155,0.1465,0.22575,0.4479999999999999,0.24625,0.23125,0.40725,0.22125,0.0989999999999999,0.1845,0.24375,0.81175,0.15975,0.17825,0.11525,0.2249999999999999,0.147,0.0805,0.1332499999999999,0.51,0.16075,0.263,0.4835,0.4469999999999999,0.0845,0.1825,0.11725,0.16875,0.08625,0.15025,0.155,0.1205,0.0755,0.0605,0.1535,0.0554999999999999,0.20325,0.09675,0.0202499999999999,0.1345,0.1965,0.1307499999999999,0.09375,0.0632499999999999,0.09325,0.0682499999999999,0.1089999999999999,0.13,0.1515,0.12475,0.03025,0.0667499999999999,0.09,0.085,0.10575,0.0652499999999999,0.0905,0.0697499999999999,0.0939999999999999,0.0735,0.1825,0.06125,0.08975,0.0762499999999999,0.09325,0.11075,0.0509999999999999,0.088,0.09625,0.0665,0.1679999999999999,0.03525,0.0554999999999999,0.472,0.0574999999999999,0.0404999999999999,0.1129999999999999,0.12275,0.0777499999999999,0.03725,0.04275,0.10225,0.0627499999999999,0.0805,0.0737499999999999,0.0359999999999999,0.0474999999999999,0.0494999999999999,0.0645,0.15175,0.0725,0.0579999999999999,0.0584999999999999,0.0384999999999999,0.05775,0.05175,0.05275,0.03525,0.0217499999999999,0.062,0.0245,0.06125,0.088,0.0292499999999999,0.03575,0.0277499999999999,0.04975,0.0272499999999999,0.0227499999999999,0.0292499999999999,0.015,0.03825,0.0519999999999999,0.0359999999999999,0.03475,0.0212499999999999
"Doom Generation, The (1995)",0.94525,0.94525,0.9245,0.519,0.62975,0.66425,0.65,0.39775,0.248,0.92675,0.257,0.92675,0.22175,0.60175,0.808,0.24675,0.32625,0.3299999999999999,0.4207499999999999,0.24425,0.34325,0.14225,0.29,0.7405,0.473,0.541,0.2957499999999999,0.31975,0.30025,0.28825,0.5015,0.243,0.1395,0.2485,0.4952499999999999,0.1935,0.15525,0.2365,0.2594999999999999,0.15075,0.2115,0.211,0.23575,0.18725,0.0697499999999999,0.17325,0.246,0.21925,0.199,0.60275,0.378,0.10225,0.246,0.1099999999999999,0.09,0.1024999999999999,0.18275,0.082,0.1337499999999999,0.0732499999999999,0.0662499999999999,0.59025,0.12175,0.14175,0.12375,0.10425,0.10725,0.062,0.2957499999999999,0.0584999999999999,0.277,0.1992499999999999,0.1069999999999999,0.0792499999999999,0.09275,0.1044999999999999,0.1079999999999999,0.12025,0.193,0.073,0.0665,0.05925,0.1377499999999999,0.1975,0.0765,0.21225,0.0554999999999999,0.10275,0.063,0.15825,0.071,0.1084999999999999,0.085,0.05375,0.0605,0.0727499999999999,0.1159999999999999,0.077,0.15825,0.062,0.0984999999999999,0.05025,0.0697499999999999,0.0687499999999999,0.57475,0.0529999999999999,0.0364999999999999,0.0737499999999999,0.1935,0.0424999999999999,0.1205,0.0544999999999999,0.0847499999999999,0.0424999999999999,0.03525,0.0685,0.0765,0.06225,0.05675,0.04175,0.0195,0.09925,0.03375,0.0504999999999999,0.0647499999999999,0.082,0.04475,0.05725,0.0549999999999999,0.016,0.0354999999999999,0.0257499999999999,0.0404999999999999,0.0192499999999999,0.05475,0.0197499999999999,0.026,0.0165,0.0494999999999999,0.03575,0.09825,0.0419999999999999,0.0369999999999999,0.0247499999999999,0.09075,0.0117499999999999,0.04375,0.022,0.0344999999999999
Showgirls (1995),0.98175,0.98175,0.71125,0.2574999999999999,0.8892500000000001,0.66625,0.18475,0.8892500000000001,0.37825,0.503,0.417,0.503,0.57775,0.60125,0.8540000000000001,0.3075,0.475,0.4742499999999999,0.4539999999999999,0.31475,0.55075,0.21,0.2907499999999999,0.172,0.7502500000000001,0.304,0.69775,0.4054999999999999,0.2284999999999999,0.38825,0.8540000000000001,0.24875,0.4962499999999999,0.2264999999999999,0.2905,0.16375,0.32875,0.35175,0.3315,0.277,0.2835,0.12325,0.2204999999999999,0.21075,0.05475,0.24925,0.266,0.1995,0.1957499999999999,0.2835,0.8734999999999999,0.15275,0.28225,0.1445,0.16475,0.1932499999999999,0.1845,0.25425,0.1362499999999999,0.2804999999999999,0.09725,0.2155,0.1704999999999999,0.15175,0.1945,0.254,0.0939999999999999,0.0667499999999999,0.69775,0.15125,0.17125,0.1395,0.981,0.1485,0.254,0.1074999999999999,0.118,0.133,0.21525,0.082,0.1134999999999999,0.0825,0.10275,0.2015,0.1144999999999999,0.11775,0.10275,0.3495,0.082,0.0875,0.09625,0.252,0.09575,0.14425,0.0969999999999999,0.0895,0.355,0.09275,0.1069999999999999,0.1392499999999999,0.138,0.092,0.0777499999999999,0.0615,0.05575,0.10425,0.0454999999999999,0.201,0.0845,0.0519999999999999,0.10225,0.14625,0.089,0.072,0.11825,0.0775,0.0954999999999999,0.09925,0.0935,0.0529999999999999,0.024,0.3612499999999999,0.0285,0.0785,0.06175,0.05925,0.0569999999999999,0.04625,0.05375,0.031,0.04775,0.1054999999999999,0.0429999999999999,0.04225,0.0677499999999999,0.0384999999999999,0.04225,0.03075,0.0807499999999999,0.05775,0.03025,0.04225,0.0489999999999999,0.05875,0.0369999999999999,0.0215,0.05575,0.0389999999999999,0.04725
Unzipped (1995),0.712,0.712,0.64625,0.5835,0.64625,0.546,0.4054999999999999,0.25625,0.41025,0.275,0.41025,0.21425,0.93875,0.403,0.3289999999999999,0.27975,0.392,0.413,0.43775,0.369,0.26625,0.2435,0.24,0.35775,0.16775,0.174,0.51025,0.2204999999999999,0.2955,0.2365,0.201,0.18725,0.16675,0.1579999999999999,0.2514999999999999,0.18025,0.1649999999999999,0.187,0.271,0.2855,0.2867499999999999,0.0755,0.10325,0.55225,0.1905,0.11975,0.1372499999999999,0.24175,0.193,0.1614999999999999,0.1094999999999999,0.12325,0.4585,0.13,0.1957499999999999,0.34975,0.1119999999999999,0.1114999999999999,0.1505,0.18075,0.1445,0.0697499999999999,0.16275,0.119,0.1564999999999999,0.0539999999999999,0.08,0.2644999999999999,0.0939999999999999,0.3275,0.14575,0.0202499999999999,0.11075,0.138,0.1714999999999999,0.1335,0.0994999999999999,0.074,0.257,0.2017499999999999,0.09125,0.18275,0.0885,0.0509999999999999,0.1322499999999999,0.05975,0.071,0.04225,0.3067499999999999,0.09175,0.067,0.09775,0.05175,0.996,0.04775,0.0672499999999999,0.1937499999999999,0.0627499999999999,0.1624999999999999,0.0625,0.0954999999999999,0.05875,0.0745,0.0697499999999999,0.04325,0.174,0.1134999999999999,0.0439999999999999,0.0715,0.0875,0.03925,0.0725,0.0777499999999999,0.05725,0.14825,0.04725,0.05875,0.04475,0.0404999999999999,0.04175,0.70425,0.05475,0.129,0.066,0.0687499999999999,0.128,0.071,0.01,0.0359999999999999,0.02,0.03875,0.0147499999999999,0.04975,0.0135,0.0697499999999999,0.0964999999999999,0.0454999999999999,0.04525,0.0685,0.04675,0.03825,0.0287499999999999,0.04325,0.0192499999999999,0.05375,0.0319999999999999,0.03075,0.0399999999999999,0.0554999999999999
Exit to Eden (1994),0.9435,0.9435,0.27125,0.4175,0.4267499999999999,0.61675,0.15175,0.54825,0.189,0.4127499999999999,0.22125,0.2784999999999999,0.4235,0.39775,0.6375,0.3475,0.46075,0.41125,0.5485,0.8727499999999999,0.501,0.15175,0.37725,0.16075,0.14775,0.288,0.55125,0.46075,0.2214999999999999,0.63525,0.5685,0.16775,0.63775,0.21425,0.1795,0.11625,0.1987499999999999,0.34475,0.477,0.22875,0.3632499999999999,0.0762499999999999,0.20925,0.16625,0.09575,0.133,0.20325,0.15975,0.1342499999999999,0.21175,0.51375,0.1377499999999999,0.35975,0.1887499999999999,0.09175,0.2985,0.0944999999999999,0.0424999999999999,0.0837499999999999,0.1262499999999999,0.1164999999999999,0.081,0.1714999999999999,0.10175,0.17675,0.10425,0.09575,0.0655,0.1475,0.15475,0.084,0.03775,0.09875,0.0797499999999999,0.279,0.0737499999999999,0.11475,0.16675,0.1845,0.0394999999999999,0.0772499999999999,0.067,0.1104999999999999,0.32875,0.0895,0.0707499999999999,0.0625,0.0329999999999999,0.0569999999999999,0.06225,0.0787499999999999,0.131,0.1044999999999999,0.0569999999999999,0.10375,0.0627499999999999,0.0399999999999999,0.0775,0.1024999999999999,0.09125,0.1505,0.0722499999999999,0.0807499999999999,0.0554999999999999,0.05725,0.0539999999999999,0.0287499999999999,0.12075,0.10675,0.0785,0.1987499999999999,0.8612500000000001,0.083,0.03,0.0605,0.0785,0.05125,0.0755,0.08875,0.0519999999999999,0.0152499999999999,0.061,0.023,0.04975,0.04275,0.05525,0.0655,0.077,0.061,0.0187499999999999,0.04725,0.08925,0.0369999999999999,0.0277499999999999,0.0574999999999999,0.0287499999999999,0.0695,0.0354999999999999,0.0469999999999999,0.10175,0.018,0.0275,0.05825,0.0544999999999999,0.031,0.03425,0.1245,0.0374999999999999,0.03625
Ready to Wear (Pret-A-Porter) (1994),0.8062499999999999,0.68775,0.622,0.568,0.43125,0.64275,0.67125,0.46175,0.3844999999999999,0.32475,0.4305,0.4529999999999999,0.31825,0.61,0.566,0.4305,0.4305,0.387,0.4145,0.274,0.26025,0.25525,0.3555,0.2025,0.7425,0.2634999999999999,0.2935,0.387,0.251,0.26525,0.2299999999999999,0.49175,0.42425,0.20475,0.151,0.22875,0.3087499999999999,0.2644999999999999,0.23575,0.4135,0.2145,0.17725,0.5225,0.2065,0.1644999999999999,0.12325,0.1765,0.1535,0.58525,0.2309999999999999,0.2105,0.305,0.25775,0.11825,0.10075,0.16025,0.4379999999999999,0.04875,0.272,0.0855,0.1154999999999999,0.0747499999999999,0.1357499999999999,0.10425,0.1169999999999999,0.06175,0.0737499999999999,0.1164999999999999,0.0935,0.089,0.14775,0.0187499999999999,0.0732499999999999,0.08625,0.127,0.1377499999999999,0.1287499999999999,0.06125,0.118,0.08925,0.08675,0.1069999999999999,0.0795,0.0384999999999999,0.0974999999999999,0.081,0.0682499999999999,0.279,0.1019999999999999,0.08925,0.0785,0.1079999999999999,0.093,0.98,0.04475,0.04725,0.09375,0.0752499999999999,0.09075,0.078,0.1064999999999999,0.093,0.0705,0.0645,0.03825,0.0865,0.1257499999999999,0.09,0.0494999999999999,0.0737499999999999,0.1119999999999999,0.0514999999999999,0.059,0.0865,0.0792499999999999,0.05525,0.06175,0.08725,0.03525,0.7629999999999999,0.0369999999999999,0.0404999999999999,0.21875,0.22725,0.0459999999999999,0.02975,0.0384999999999999,0.0235,0.074,0.0282499999999999,0.09775,0.05225,0.03725,0.04425,0.05575,0.0579999999999999,0.05425,0.03825,0.0419999999999999,0.0692499999999999,0.0215,0.03125,0.0434999999999999,0.03175,0.0404999999999999,0.0242499999999999,0.03525,0.0379999999999999,0.0227499999999999
Bitter Moon (1992),0.94625,0.94625,0.9715,0.95625,0.7955000000000001,0.66375,0.4535,0.58225,0.7769999999999999,0.58225,0.73275,0.56325,0.56475,0.5805,0.38425,0.73275,0.73275,0.3904999999999999,0.424,0.44725,0.54875,0.4535,0.34075,0.22525,0.3615,0.3645,0.3615,0.23625,0.32925,0.215,0.187,0.3067499999999999,0.483,0.15775,0.11425,0.1644999999999999,0.44375,0.2244999999999999,0.26125,0.31575,0.306,0.1609999999999999,0.4065,0.2007499999999999,0.6445,0.183,0.2264999999999999,0.2455,0.3225,0.345,0.0569999999999999,0.435,0.15875,0.1225,0.1992499999999999,0.156,0.1927499999999999,0.0807499999999999,0.40575,0.1805,0.204,0.091,0.10875,0.1455,0.1465,0.1074999999999999,0.3055,0.15525,0.11625,0.1942499999999999,0.1114999999999999,0.25125,0.27875,0.1139999999999999,0.08975,0.05225,0.16775,0.1805,0.09225,0.1144999999999999,0.1795,0.1882499999999999,0.18225,0.0329999999999999,0.0645,0.09775,0.08825,0.11925,0.0645,0.10425,0.0795,0.0742499999999999,0.14525,0.077,0.0632499999999999,0.09575,0.0459999999999999,0.11875,0.10425,0.04025,0.11975,0.0632499999999999,0.10325,0.14375,0.0509999999999999,0.14575,0.18275,0.06225,0.0852499999999999,0.0625,0.05575,0.0632499999999999,0.1574999999999999,0.0504999999999999,0.0625,0.0777499999999999,0.04425,0.1019999999999999,0.0474999999999999,0.0444999999999999,0.0287499999999999,0.0737499999999999,0.1295,0.09925,0.06125,0.026,0.0642499999999999,0.0484999999999999,0.04125,0.0735,0.0439999999999999,0.04475,0.04425,0.16375,0.0554999999999999,0.03075,0.062,0.0434999999999999,0.05225,0.026,0.029,0.03075,0.0474999999999999,0.024,0.0287499999999999,0.0237499999999999,0.0419999999999999,0.03775,0.04075
Boxing Helena (1993),0.8895,0.76875,0.991,0.59475,0.8747499999999999,0.7569999999999999,0.5445,0.59225,0.6305,0.6015,0.3095,0.407,0.4722499999999999,0.675,0.69925,0.3095,0.50025,0.4225,0.50375,0.307,0.39575,0.203,0.4,0.25225,0.4247499999999999,0.4712499999999999,0.2294999999999999,0.50025,0.33075,0.2764999999999999,0.65675,0.25625,0.3425,0.2744999999999999,0.1335,0.29,0.309,0.25075,0.3515,0.35475,0.23975,0.08,0.2945,0.2,0.11525,0.206,0.2189999999999999,0.21775,0.15275,0.2997499999999999,0.236,0.8,0.16425,0.22125,0.1347499999999999,0.1352499999999999,0.10925,0.11125,0.2684999999999999,0.0827499999999999,0.131,0.23975,0.13,0.12375,0.177,0.4932499999999999,0.39,0.0974999999999999,0.31225,0.1402499999999999,0.1287499999999999,0.1425,0.26725,0.10125,0.26775,0.1307499999999999,0.1574999999999999,0.202,0.1282499999999999,0.10025,0.1845,0.1375,0.16375,0.262,0.08625,0.10575,0.0737499999999999,0.188,0.1564999999999999,0.0949999999999999,0.152,0.1875,0.1992499999999999,0.1074999999999999,0.6355,0.1977499999999999,0.0935,0.08875,0.0949999999999999,0.09975,0.1292499999999999,0.073,0.1317499999999999,0.0534999999999999,0.0635,0.076,0.04925,0.0944999999999999,0.0735,0.1004999999999999,0.1089999999999999,0.1079999999999999,0.066,0.09125,0.063,0.087,0.0409999999999999,0.1154999999999999,0.0807499999999999,0.0625,0.0265,0.0632499999999999,0.0635,0.0964999999999999,0.082,0.0334999999999999,0.0742499999999999,0.05175,0.0449999999999999,0.04975,0.0474999999999999,0.09325,0.0605,0.068,0.05525,0.0815,0.03,0.0265,0.09525,0.0489999999999999,0.04275,0.0384999999999999,0.0364999999999999,0.074,0.03125,0.05975,0.069,0.0242499999999999,0.0469999999999999
Even Cowgirls Get the Blues (1993),0.79575,0.5445,0.69825,0.4675,0.4535,0.72175,0.3329999999999999,0.15725,0.33975,0.47,0.3375,0.31775,0.477,0.4077499999999999,0.64125,0.24275,0.32875,0.4669999999999999,0.402,0.98725,0.3592499999999999,0.1555,0.3994999999999999,0.55325,0.44425,0.64925,0.521,0.386,0.296,0.521,0.39825,0.2724999999999999,0.3235,0.16425,0.1735,0.25875,0.3722499999999999,0.28325,0.3379999999999999,0.198,0.1965,0.1054999999999999,0.28525,0.2405,0.0549999999999999,0.1877499999999999,0.21375,0.294,0.1302499999999999,0.2674999999999999,0.26075,0.17775,0.26925,0.16375,0.1699999999999999,0.1367499999999999,0.1365,0.0524999999999999,0.22975,0.1029999999999999,0.0994999999999999,0.37525,0.16925,0.12025,0.26125,0.1039999999999999,0.0827499999999999,0.0827499999999999,0.1265,0.10125,0.22625,0.0554999999999999,0.18325,0.0702499999999999,0.17175,0.1962499999999999,0.1395,0.12025,0.16025,0.086,0.10075,0.072,0.16125,0.21075,0.175,0.1275,0.09825,0.12075,0.124,0.28,0.082,0.10825,0.1074999999999999,0.0595,0.09475,0.089,0.0735,0.21225,0.0822499999999999,0.1485,0.14475,0.081,0.0857499999999999,0.0715,0.0905,0.281,0.04275,0.0655,0.0852499999999999,0.0727499999999999,0.09375,0.1257499999999999,0.0752499999999999,0.0647499999999999,0.0627499999999999,0.0767499999999999,0.0777499999999999,0.0812499999999999,0.1435,0.10775,0.03575,0.0569999999999999,0.03075,0.1257499999999999,0.0822499999999999,0.04325,0.0655,0.0632499999999999,0.0822499999999999,0.0409999999999999,0.077,0.17225,0.1255,0.0677499999999999,0.059,0.0429999999999999,0.025,0.025,0.1382499999999999,0.0434999999999999,0.03375,0.0579999999999999,0.0964999999999999,0.04725,0.03175,0.0235,0.03975,0.0247499999999999,0.04125
