movieId,chase,fight scenes,surveillance,weapons,betrayal,original,vengeance,greed,good,predictable,mentor,catastrophe,weird,fun movie,dialogue,drama,runaway,first contact,culture clash,melancholic,very funny,life philosophy,adaptation,kidnapping,not funny,pornography,fantasy world,light,survival,sexy,classic car,death,sacrifice,transformation,pulp,creativity,absurd,family,internet,alter ego,teen movie,islam,life & death,underrated,british,stereotypes,nudity (full frontal - brief),hospital,drinking,irish accent,independent film,period piece,hotel,unlikely friendships,california,quirky,dysfunctional family,women,computer animation,memory,writers,no plot,prison,childhood,notable nudity,doctors,russian,prejudice,foul language,buddy movie,multiple storylines,remake,nudity (topless - brief),blindness,new york city,new jersey,oil,san francisco,divorce,simple,nudity (rear),queer,alternate history,island,lawyer,farce,kick-butt women,mad scientist,80s,road movie,camp,los angeles,wartime,ensemble cast,good music,film noir,hunting,too long,small town,race,trilogy,awesome soundtrack,addiction,shopping,single father,interracial romance,unlikeable characters,father daughter relationship,wilderness,desert,brothers,tokyo,indians,too short,bollywood,immortality,fashion,workplace,hip hop,atheism,snakes,censorship,time,stand-up comedy,adoption,directorial debut,potential oscar nom,robert downey jr,dreams,cancer,ghosts/afterlife,graphic novel,radio,stoner movie,best of 2005,1930s,made for tv,reality tv,homeless,prostitution,god,texas,wine,rebellion,french,australia,finnish,goth,documentary
GoldenEye (1995),0.9725,0.9725,0.85575,0.9725,0.8827499999999999,0.66725,0.6765,0.6765,0.74,0.96975,0.59675,0.68075,0.54325,0.7285,0.413,0.37525,0.7345,0.62075,0.37675,0.32975,0.37775,0.27525,0.3185,0.10375,0.33575,0.2495,0.37075,0.358,0.33125,0.603,0.49975,0.3015,0.31125,0.3189999999999999,0.17675,0.25075,0.22675,0.283,0.18475,0.4117499999999999,0.32375,0.5885,0.20325,0.24175,0.3642499999999999,0.294,0.16025,0.15925,0.2855,0.18425,0.18075,0.3642499999999999,0.1952499999999999,0.2825,0.27575,0.18625,0.24025,0.3622499999999999,0.1892499999999999,0.09725,0.14225,0.124,0.084,0.32925,0.0802499999999999,0.304,0.52775,0.16325,0.0835,0.1305,0.1327499999999999,0.03625,0.18125,0.1275,0.0802499999999999,0.16075,0.46825,0.1805,0.1009999999999999,0.09425,0.0959999999999999,0.12425,0.14525,0.20825,0.04025,0.137,0.132,0.3105,0.3057499999999999,0.14525,0.198,0.05925,0.15,0.0685,0.1109999999999999,0.0915,0.09775,0.10975,0.125,0.15725,0.1957499999999999,0.53925,0.062,0.1064999999999999,0.0459999999999999,0.1535,0.04575,0.0785,0.0732499999999999,0.1775,0.0479999999999999,0.1347499999999999,0.07,0.0755,0.074,0.1362499999999999,0.09375,0.11375,0.0569999999999999,0.059,0.1735,0.10575,0.10575,0.0835,0.05175,0.0685,0.05925,0.0384999999999999,0.0802499999999999,0.05625,0.1149999999999999,0.03075,0.1357499999999999,0.0657499999999999,0.03075,0.0787499999999999,0.0812499999999999,0.1195,0.0484999999999999,0.05075,0.04775,0.04875,0.0534999999999999,0.09825,0.03375,0.062,0.0255,0.062,0.024
Assassins (1995),0.9775,0.9775,0.99425,0.9775,0.99425,0.66925,0.93975,0.9705,0.66925,0.4955,0.86425,0.48475,0.377,0.398,0.3522499999999999,0.2375,0.4177499999999999,0.28025,0.3572499999999999,0.3572499999999999,0.23475,0.3994999999999999,0.23525,0.147,0.372,0.2185,0.243,0.15275,0.177,0.23575,0.241,0.201,0.18625,0.2885,0.207,0.2395,0.22725,0.1475,0.377,0.24625,0.1905,0.0895,0.14325,0.20575,0.0692499999999999,0.1332499999999999,0.14525,0.2249999999999999,0.0994999999999999,0.25675,0.17175,0.0782499999999999,0.4327499999999999,0.17775,0.08875,0.27,0.1375,0.15125,0.16925,0.093,0.1925,0.1377499999999999,0.11525,0.12125,0.09175,0.1415,0.09925,0.0647499999999999,0.0954999999999999,0.14175,0.2135,0.119,0.238,0.14825,0.08725,0.0875,0.0855,0.154,0.14775,0.1485,0.1915,0.1287499999999999,0.122,0.12025,0.0359999999999999,0.09775,0.0727499999999999,0.1109999999999999,0.10725,0.09025,0.0807499999999999,0.0757499999999999,0.04925,0.0534999999999999,0.061,0.088,0.088,0.1435,0.0645,0.073,0.03225,0.0732499999999999,0.05875,0.10275,0.05125,0.0842499999999999,0.0222499999999999,0.0262499999999999,0.03725,0.04225,0.2274999999999999,0.0642499999999999,0.04425,0.04925,0.064,0.0787499999999999,0.0389999999999999,0.09175,0.0777499999999999,0.0544999999999999,0.0569999999999999,0.08675,0.0464999999999999,0.0712499999999999,0.092,0.0765,0.05375,0.031,0.0807499999999999,0.04825,0.0504999999999999,0.0195,0.0454999999999999,0.0494999999999999,0.0227499999999999,0.0334999999999999,0.04275,0.0479999999999999,0.0642499999999999,0.03925,0.0409999999999999,0.0344999999999999,0.028,0.0147499999999999,0.04425,0.019,0.025,0.03875,0.0127499999999999
Nick of Time (1995),0.9025,0.629,0.99175,0.629,0.92225,0.91225,0.91225,0.92225,0.8827499999999999,0.71975,0.52225,0.51175,0.91225,0.4765,0.5185,0.499,0.5845,0.378,0.499,0.32375,0.2355,0.3722499999999999,0.1942499999999999,0.9095,0.34025,0.3259999999999999,0.3339999999999999,0.2997499999999999,0.2435,0.1835,0.29025,0.25925,0.2435,0.2269999999999999,0.22125,0.151,0.209,0.2694999999999999,0.37375,0.17775,0.185,0.6025,0.2095,0.367,0.05925,0.1377499999999999,0.2105,0.24525,0.0915,0.2345,0.1149999999999999,0.0762499999999999,0.6095,0.17225,0.73325,0.24175,0.179,0.17525,0.1679999999999999,0.172,0.1669999999999999,0.2927499999999999,0.1235,0.11725,0.089,0.2827499999999999,0.062,0.089,0.0615,0.04975,0.18225,0.086,0.1664999999999999,0.22025,0.10025,0.151,0.085,0.2319999999999999,0.16375,0.2012499999999999,0.14175,0.1347499999999999,0.1325,0.128,0.16825,0.145,0.1347499999999999,0.1014999999999999,0.09975,0.1945,0.0822499999999999,0.77875,0.0732499999999999,0.05775,0.0857499999999999,0.1129999999999999,0.2055,0.132,0.08625,0.16925,0.04175,0.0715,0.0544999999999999,0.22475,0.15475,0.0842499999999999,0.06175,0.1307499999999999,0.09875,0.1569999999999999,0.0484999999999999,0.0637499999999999,0.086,0.17175,0.0767499999999999,0.0665,0.0454999999999999,0.09425,0.072,0.075,0.0712499999999999,0.0842499999999999,0.69425,0.0842499999999999,0.11125,0.0685,0.11025,0.0707499999999999,0.11325,0.04675,0.05175,0.0285,0.05875,0.0645,0.0685,0.04525,0.0974999999999999,0.0662499999999999,0.0539999999999999,0.04825,0.0349999999999999,0.05275,0.04025,0.028,0.0305,0.04675,0.0324999999999999,0.03775,0.023
Die Hard: With a Vengeance (1995),0.98725,0.98725,0.62975,0.98725,0.45025,0.8507499999999999,0.97925,0.58825,0.71275,0.7965,0.647,0.56225,0.62025,0.78975,0.4892499999999999,0.56825,0.8487499999999999,0.5105,0.4255,0.3125,0.3712499999999999,0.377,0.2514999999999999,0.16125,0.3602499999999999,0.305,0.259,0.2764999999999999,0.2704999999999999,0.1555,0.37775,0.3115,0.3409999999999999,0.29525,0.207,0.3774999999999999,0.1555,0.195,0.14275,0.30525,0.14425,0.2135,0.2189999999999999,0.29625,0.1134999999999999,0.18325,0.22925,0.1669999999999999,0.256,0.27425,0.1337499999999999,0.075,0.1927499999999999,0.2284999999999999,0.3035,0.1902499999999999,0.17225,0.1064999999999999,0.16875,0.0915,0.135,0.12,0.1034999999999999,0.17225,0.0825,0.1425,0.0655,0.8487499999999999,0.582,0.60425,0.132,0.04625,0.14675,0.10025,0.81975,0.18,0.0855,0.1385,0.1935,0.15725,0.0802499999999999,0.12075,0.14275,0.1765,0.04925,0.1584999999999999,0.2025,0.1327499999999999,0.2714999999999999,0.0925,0.1865,0.25925,0.09325,0.0519999999999999,0.1545,0.1014999999999999,0.1069999999999999,0.0802499999999999,0.1054999999999999,0.2165,0.565,0.20475,0.069,0.26725,0.04425,0.1332499999999999,0.0469999999999999,0.0439999999999999,0.076,0.1397499999999999,0.14125,0.1455,0.218,0.05275,0.0772499999999999,0.126,0.0857499999999999,0.0529999999999999,0.06175,0.0544999999999999,0.2045,0.11975,0.1947499999999999,0.0895,0.0529999999999999,0.089,0.05425,0.03925,0.05375,0.08,0.1795,0.04375,0.072,0.0579999999999999,0.0474999999999999,0.05125,0.04375,0.04025,0.0785,0.07,0.0369999999999999,0.082,0.025,0.0544999999999999,0.0344999999999999,0.0605,0.0247499999999999,0.04925,0.0197499999999999
"Net, The (1995)",0.97525,0.701,0.967,0.701,0.541,0.845,0.845,0.73025,0.73025,0.7,0.54875,0.9565,0.845,0.49875,0.7725,0.31675,0.562,0.9565,0.21975,0.2279999999999999,0.477,0.36075,0.2095,0.1495,0.3369999999999999,0.18225,0.31025,0.256,0.48975,0.2415,0.16975,0.2955,0.412,0.39175,0.10625,0.3745,0.2674999999999999,0.2855,0.98125,0.18375,0.4395,0.412,0.23675,0.1895,0.10175,0.1865,0.1932499999999999,0.45325,0.09625,0.12475,0.23675,0.11575,0.1699999999999999,0.1664999999999999,0.2907499999999999,0.13,0.10225,0.26,0.244,0.661,0.26275,0.236,0.118,0.201,0.1029999999999999,0.3249999999999999,0.0775,0.12025,0.03875,0.0237499999999999,0.1149999999999999,0.0584999999999999,0.068,0.17825,0.0832499999999999,0.0925,0.0845,0.55225,0.2475,0.18225,0.0787499999999999,0.14925,0.14725,0.26275,0.17725,0.074,0.0574999999999999,0.23975,0.0564999999999999,0.1049999999999999,0.15575,0.0727499999999999,0.04975,0.03175,0.0504999999999999,0.0735,0.074,0.086,0.1004999999999999,0.09925,0.0549999999999999,0.0827499999999999,0.0682499999999999,0.24625,0.1267499999999999,0.17725,0.0339999999999999,0.0267499999999999,0.0755,0.1297499999999999,0.0519999999999999,0.03175,0.083,0.129,0.08725,0.10125,0.0822499999999999,0.253,0.09225,0.16825,0.077,0.1019999999999999,0.299,0.0797499999999999,0.0544999999999999,0.062,0.024,0.03125,0.093,0.0642499999999999,0.11175,0.0595,0.2115,0.0569999999999999,0.03375,0.04625,0.08675,0.0682499999999999,0.0757499999999999,0.0727499999999999,0.0637499999999999,0.0247499999999999,0.0504999999999999,0.0235,0.03425,0.0287499999999999,0.03025,0.0175,0.0257499999999999
Outbreak (1995),0.8992500000000001,0.7902499999999999,0.863,0.7542500000000001,0.6315,0.9105,0.9105,0.9105,0.9265,0.7902499999999999,0.70325,0.7902499999999999,0.9105,0.66525,0.6655,0.7847500000000001,0.7847500000000001,0.6425,0.68475,0.3385,0.3035,0.2935,0.6045,0.11925,0.38325,0.1714999999999999,0.1907499999999999,0.25375,0.515,0.089,0.20475,0.39725,0.49575,0.3565,0.1104999999999999,0.21825,0.3289999999999999,0.28,0.46125,0.1905,0.356,0.298,0.4912499999999999,0.2514999999999999,0.15525,0.36175,0.2314999999999999,0.418,0.1285,0.207,0.2724999999999999,0.298,0.0817499999999999,0.24775,0.57775,0.2002499999999999,0.17925,0.12475,0.211,0.172,0.1992499999999999,0.12075,0.14475,0.1604999999999999,0.0474999999999999,0.62825,0.1362499999999999,0.4034999999999999,0.12325,0.0235,0.249,0.083,0.0979999999999999,0.1825,0.0842499999999999,0.1815,0.1225,0.39225,0.2495,0.18475,0.0895,0.1215,0.27125,0.2185,0.14675,0.1367499999999999,0.0454999999999999,0.34225,0.05675,0.0875,0.26575,0.03875,0.2274999999999999,0.1377499999999999,0.37175,0.0797499999999999,0.1455,0.0762499999999999,0.4922499999999999,0.22825,0.0394999999999999,0.10025,0.075,0.149,0.0672499999999999,0.10575,0.04725,0.04825,0.0529999999999999,0.155,0.1505,0.066,0.0795,0.0787499999999999,0.0697499999999999,0.0464999999999999,0.0409999999999999,0.10625,0.0514999999999999,0.09075,0.065,0.09525,0.0677499999999999,0.0745,0.0792499999999999,0.0999999999999999,0.04375,0.05675,0.08925,0.1044999999999999,0.071,0.05525,0.44025,0.072,0.04175,0.09525,0.071,0.03675,0.04975,0.03325,0.04625,0.05975,0.0454999999999999,0.0534999999999999,0.0334999999999999,0.04625,0.025,0.0255,0.0217499999999999
Clear and Present Danger (1994),0.97725,0.97725,0.984,0.97725,0.964,0.9665,0.9665,0.9665,0.891,0.3622499999999999,0.96725,0.6,0.9665,0.4792499999999999,0.32675,0.544,0.67475,0.287,0.4692499999999999,0.35175,0.25975,0.356,0.96575,0.12425,0.3279999999999999,0.14525,0.27675,0.1599999999999999,0.2987499999999999,0.1225,0.3884999999999999,0.4459999999999999,0.7895000000000001,0.26625,0.17025,0.1947499999999999,0.1865,0.34075,0.21925,0.2095,0.2815,0.94875,0.15525,0.1975,0.155,0.2194999999999999,0.27775,0.1604999999999999,0.15975,0.239,0.22875,0.1395,0.15925,0.27175,0.1945,0.15625,0.17575,0.151,0.1644999999999999,0.12275,0.15175,0.1985,0.15875,0.182,0.0915,0.2249999999999999,0.37625,0.2634999999999999,0.08725,0.04975,0.153,0.04475,0.125,0.3275,0.0787499999999999,0.1315,0.25375,0.121,0.153,0.1114999999999999,0.0852499999999999,0.1277499999999999,0.1684999999999999,0.1044999999999999,0.15675,0.09075,0.09,0.0812499999999999,0.0915,0.0999999999999999,0.1245,0.0424999999999999,0.7895000000000001,0.1387499999999999,0.088,0.0855,0.15375,0.14425,0.12025,0.0885,0.28,0.1034999999999999,0.34975,0.119,0.0439999999999999,0.1024999999999999,0.0439999999999999,0.0329999999999999,0.0642499999999999,0.09275,0.09075,0.05425,0.0672499999999999,0.077,0.05625,0.0559999999999999,0.022,0.1094999999999999,0.0657499999999999,0.0665,0.0842499999999999,0.1205,0.04575,0.0835,0.0732499999999999,0.073,0.0727499999999999,0.0379999999999999,0.0675,0.4207499999999999,0.05775,0.016,0.079,0.09275,0.0454999999999999,0.0509999999999999,0.0707499999999999,0.04875,0.0707499999999999,0.05175,0.0369999999999999,0.064,0.0369999999999999,0.0504999999999999,0.0399999999999999,0.0324999999999999,0.04575,0.03625,0.021
"River Wild, The (1994)",0.78575,0.78575,0.706,0.7745,0.4639999999999999,0.706,0.706,0.706,0.706,0.603,0.49075,0.603,0.65075,0.4712499999999999,0.352,0.4965,0.8205,0.603,0.6415,0.4922499999999999,0.24725,0.3279999999999999,0.24425,0.4317499999999999,0.3515,0.156,0.25375,0.27825,0.421,0.1669999999999999,0.2025,0.21625,0.38625,0.2875,0.15575,0.216,0.11775,0.7809999999999999,0.2095,0.1149999999999999,0.24775,0.11275,0.2714999999999999,0.17225,0.0765,0.2774999999999999,0.2355,0.2945,0.22375,0.18225,0.23175,0.122,0.1104999999999999,0.26975,0.2724999999999999,0.1877499999999999,0.7115,0.2125,0.276,0.0825,0.13,0.20625,0.09875,0.3245,0.12375,0.284,0.05775,0.38625,0.09125,0.0349999999999999,0.144,0.0584999999999999,0.1195,0.14,0.0667499999999999,0.11325,0.10875,0.1292499999999999,0.3682499999999999,0.118,0.1312499999999999,0.12075,0.148,0.21375,0.156,0.0677499999999999,0.12225,0.1285,0.0677499999999999,0.1985,0.1312499999999999,0.03475,0.0745,0.0662499999999999,0.2345,0.1649999999999999,0.24775,0.0695,0.1327499999999999,0.0925,0.0384999999999999,0.0635,0.0474999999999999,0.061,0.3037499999999999,0.346,0.04175,0.1094999999999999,0.7705,0.1917499999999999,0.17075,0.0469999999999999,0.26825,0.09075,0.0805,0.05275,0.09325,0.071,0.0454999999999999,0.0885,0.1962499999999999,0.03675,0.0314999999999999,0.0852499999999999,0.254,0.05725,0.05025,0.03925,0.0554999999999999,0.09175,0.0394999999999999,0.015,0.0722499999999999,0.061,0.0232499999999999,0.0632499999999999,0.05075,0.0665,0.04375,0.03825,0.086,0.11125,0.07,0.0349999999999999,0.024,0.0847499999999999,0.023,0.0197499999999999,0.0237499999999999
Speed (1994),0.9915,0.9915,0.8895,0.98775,0.4379999999999999,0.96025,0.96025,0.96025,0.8895,0.87575,0.782,0.87575,0.96025,0.8895,0.64425,0.8895,0.77275,0.7537499999999999,0.6445,0.387,0.352,0.43,0.311,0.22475,0.34775,0.60675,0.24225,0.405,0.5115,0.3365,0.32525,0.3542499999999999,0.53625,0.3874999999999999,0.207,0.4075,0.2289999999999999,0.543,0.28825,0.386,0.68975,0.11275,0.2495,0.1922499999999999,0.1149999999999999,0.359,0.17275,0.26025,0.23275,0.1347499999999999,0.2847499999999999,0.1725,0.21,0.21425,0.22875,0.1932499999999999,0.175,0.2199999999999999,0.23925,0.09875,0.11925,0.17325,0.1292499999999999,0.248,0.11875,0.307,0.0637499999999999,0.3097499999999999,0.5115,0.3015,0.1679999999999999,0.0677499999999999,0.12275,0.16775,0.1337499999999999,0.1235,0.11425,0.206,0.3325,0.43425,0.0855,0.139,0.1972499999999999,0.21825,0.05175,0.11625,0.14825,0.281,0.3025,0.262,0.1465,0.4365,0.0812499999999999,0.05375,0.1905,0.0825,0.0855,0.1215,0.1124999999999999,0.14425,0.1262499999999999,0.21425,0.0647499999999999,0.23275,0.1555,0.195,0.073,0.05675,0.0837499999999999,0.1315,0.088,0.10875,0.12,0.126,0.09175,0.10625,0.11275,0.1064999999999999,0.0775,0.0642499999999999,0.14,0.118,0.14125,0.081,0.0727499999999999,0.2309999999999999,0.076,0.04075,0.0637499999999999,0.08825,0.27825,0.026,0.09975,0.0817499999999999,0.04875,0.0707499999999999,0.0459999999999999,0.0569999999999999,0.0662499999999999,0.076,0.03975,0.05825,0.0559999999999999,0.0399999999999999,0.0504999999999999,0.05025,0.0245,0.0489999999999999,0.0242499999999999
Blown Away (1994),0.96925,0.96925,0.7805,0.96925,0.5825,0.90625,0.90625,0.7805,0.7805,0.63625,0.8460000000000001,0.63625,0.45775,0.49675,0.3725,0.8767499999999999,0.6455,0.407,0.4872499999999999,0.45775,0.32225,0.44375,0.25425,0.23675,0.37075,0.27875,0.3145,0.243,0.2524999999999999,0.2115,0.369,0.28825,0.24675,0.21575,0.2155,0.18375,0.141,0.4539999999999999,0.18675,0.282,0.1397499999999999,0.17125,0.23325,0.31325,0.0857499999999999,0.432,0.28625,0.23725,0.45375,0.9955,0.23125,0.0959999999999999,0.0939999999999999,0.1952499999999999,0.1945,0.1965,0.24725,0.1835,0.33925,0.16075,0.1895,0.0685,0.48275,0.1402499999999999,0.18725,0.1392499999999999,0.0722499999999999,0.1357499999999999,0.125,0.2445,0.193,0.1277499999999999,0.22225,0.1255,0.11025,0.1699999999999999,0.06125,0.131,0.15625,0.0782499999999999,0.206,0.14825,0.1415,0.12275,0.09725,0.0835,0.154,0.0857499999999999,0.079,0.091,0.1069999999999999,0.16575,0.09125,0.05125,0.349,0.0905,0.18475,0.16525,0.0999999999999999,0.12375,0.076,0.078,0.11025,0.0905,0.10175,0.0807499999999999,0.0765,0.0625,0.0595,0.0605,0.15975,0.0682499999999999,0.0842499999999999,0.11425,0.09125,0.0662499999999999,0.0305,0.1069999999999999,0.0707499999999999,0.0797499999999999,0.0677499999999999,0.26175,0.03175,0.0832499999999999,0.0954999999999999,0.072,0.0817499999999999,0.0857499999999999,0.091,0.0827499999999999,0.123,0.03825,0.0625,0.0662499999999999,0.0439999999999999,0.203,0.0579999999999999,0.062,0.09525,0.0404999999999999,0.05825,0.08775,0.0292499999999999,0.04225,0.03625,0.0324999999999999,0.03125,0.05675,0.0295
