movieId,weird,culture clash,runaway,melancholic,drama,greed,betrayal,pornography,independent film,original,good,drinking,dialogue,sexy,vengeance,censorship,mentor,light,adaptation,women,life & death,catastrophe,quirky,unlikely friendships,dysfunctional family,absurd,islam,queer,life philosophy,death,nudity (full frontal - brief),prejudice,predictable,addiction,not funny,writers,transformation,divorce,period piece,very funny,childhood,creativity,fantasy world,teen movie,film noir,multiple storylines,british,chase,nudity (topless - brief),surveillance,underrated,sacrifice,doctors,stereotypes,fight scenes,hotel,first contact,alter ego,family,small town,weapons,hospital,classic car,fun movie,workplace,good music,california,1930s,dreams,wartime,interracial romance,farce,tokyo,new jersey,prostitution,nudity (rear),too long,road movie,awesome soundtrack,directorial debut,blindness,atheism,computer animation,pulp,graphic novel,new york city,irish accent,camp,god,rebellion,prison,stoner movie,survival,notable nudity,ensemble cast,bollywood,best of 2005,mad scientist,brothers,memory,unlikeable characters,foul language,texas,wilderness,internet,adoption,simple,potential oscar nom,father daughter relationship,alternate history,stand-up comedy,kick-butt women,lawyer,80s,cancer,hunting,robert downey jr,french,race,indians,documentary,wine,reality tv,island,kidnapping,homeless,goth,desert,los angeles,fashion,immortality,radio,hip hop,made for tv,australia,san francisco,russian,oil,no plot,snakes,finnish,single father,shopping,trilogy,ghosts/afterlife,buddy movie,time,too short,remake
Dead Man Walking (1995),0.919,0.95925,0.8867499999999999,0.7165,0.95925,0.8867499999999999,0.90825,0.7355,0.90825,0.737,0.919,0.7625,0.7475,0.184,0.9385,0.7355,0.63925,0.62925,0.9375,0.2065,0.92,0.477,0.32225,0.577,0.4287499999999999,0.1684999999999999,0.3705,0.2339999999999999,0.40925,0.974,0.39775,0.51475,0.20975,0.25675,0.3715,0.22775,0.25475,0.0857499999999999,0.144,0.2917499999999999,0.1875,0.20675,0.1877499999999999,0.1765,0.126,0.1805,0.264,0.2465,0.0935,0.1679999999999999,0.31975,0.252,0.1425,0.2189999999999999,0.20975,0.10775,0.1945,0.14925,0.388,0.146,0.12025,0.28125,0.2405,0.18625,0.0785,0.4297499999999999,0.084,0.1365,0.0979999999999999,0.20875,0.10975,0.06075,0.0767499999999999,0.1397499999999999,0.0667499999999999,0.06225,0.143,0.1282499999999999,0.136,0.1267499999999999,0.1659999999999999,0.4095,0.144,0.09125,0.1084999999999999,0.072,0.23225,0.0702499999999999,0.4625,0.0702499999999999,0.668,0.1375,0.1955,0.192,0.0807499999999999,0.14275,0.1114999999999999,0.072,0.2455,0.07,0.071,0.1972499999999999,0.0747499999999999,0.1402499999999999,0.0802499999999999,0.1897499999999999,0.1109999999999999,0.129,0.1387499999999999,0.0979999999999999,0.1405,0.0745,0.7185,0.06075,0.3095,0.0509999999999999,0.0969999999999999,0.0364999999999999,0.16375,0.088,0.0817499999999999,0.03375,0.18575,0.0795,0.0752499999999999,0.11475,0.03725,0.0277499999999999,0.0469999999999999,0.04525,0.0359999999999999,0.0474999999999999,0.11275,0.1515,0.06075,0.0454999999999999,0.05575,0.0645,0.0504999999999999,0.05075,0.04825,0.0949999999999999,0.024,0.0344999999999999,0.072,0.0974999999999999,0.03275,0.0742499999999999,0.0202499999999999
Crumb (1994),0.9495,0.9495,0.8847499999999999,0.9495,0.8207500000000001,0.8207500000000001,0.67325,0.851,0.9495,0.839,0.8207500000000001,0.63425,0.54875,0.851,0.47,0.638,0.503,0.72,0.51975,0.59925,0.27075,0.512,0.88825,0.32375,0.8685,0.72,0.2935,0.261,0.473,0.1332499999999999,0.24675,0.1835,0.512,0.39425,0.33825,0.29,0.2835,0.156,0.0979999999999999,0.4995,0.404,0.6255,0.1714999999999999,0.14475,0.2455,0.2259999999999999,0.2002499999999999,0.26625,0.178,0.26425,0.31775,0.0815,0.26325,0.1245,0.2724999999999999,0.27825,0.512,0.194,0.355,0.17675,0.2724999999999999,0.1505,0.27525,0.275,0.2857499999999999,0.2219999999999999,0.37525,0.15025,0.1039999999999999,0.069,0.09625,0.17475,0.16475,0.2105,0.09325,0.0735,0.083,0.1912499999999999,0.11675,0.14475,0.15775,0.16625,0.2309999999999999,0.1372499999999999,0.2835,0.1397499999999999,0.0989999999999999,0.0715,0.0504999999999999,0.05225,0.089,0.09225,0.15075,0.1009999999999999,0.11925,0.064,0.26325,0.1357499999999999,0.67,0.0845,0.1815,0.0672499999999999,0.1307499999999999,0.11525,0.2845,0.1805,0.0817499999999999,0.0662499999999999,0.091,0.077,0.092,0.1337499999999999,0.0339999999999999,0.0389999999999999,0.074,0.089,0.0974999999999999,0.0857499999999999,0.0509999999999999,0.04225,0.8985000000000001,0.15675,0.08725,0.089,0.1175,0.09375,0.0657499999999999,0.027,0.0579999999999999,0.0529999999999999,0.0414999999999999,0.03225,0.0722499999999999,0.0775,0.067,0.383,0.0364999999999999,0.11475,0.02,0.0579999999999999,0.04375,0.0237499999999999,0.0529999999999999,0.0344999999999999,0.0384999999999999,0.05725,0.05125,0.025,0.0147499999999999
Kids (1995),0.9195,0.9195,0.9535,0.9195,0.7175,0.7175,0.72625,0.9535,0.70675,0.70975,0.35875,0.80375,0.65475,0.87625,0.7669999999999999,0.9535,0.595,0.22925,0.3445,0.259,0.3175,0.425,0.2774999999999999,0.3562499999999999,0.399,0.22925,0.1059999999999999,0.2234999999999999,0.51675,0.25025,0.5105,0.20675,0.45675,0.95075,0.32125,0.22925,0.251,0.1004999999999999,0.0845,0.3209999999999999,0.76675,0.2274999999999999,0.307,0.887,0.1094999999999999,0.32775,0.11725,0.24475,0.172,0.1405,0.30325,0.17125,0.18675,0.29025,0.31025,0.21375,0.22025,0.1282499999999999,0.76675,0.263,0.31025,0.188,0.2915,0.31025,0.1357499999999999,0.23025,0.14825,0.0632499999999999,0.2,0.10225,0.075,0.0685,0.1245,0.30325,0.15175,0.24875,0.075,0.1235,0.7689999999999999,0.3027499999999999,0.10575,0.06225,0.76675,0.1845,0.23375,0.72825,0.0959999999999999,0.201,0.0504999999999999,0.10175,0.1265,0.3874999999999999,0.0742499999999999,0.2229999999999999,0.1352499999999999,0.05825,0.0959999999999999,0.0544999999999999,0.0959999999999999,0.08625,0.10725,0.4995,0.122,0.1347499999999999,0.1225,0.10825,0.0954999999999999,0.09375,0.0364999999999999,0.10275,0.0979999999999999,0.0549999999999999,0.0374999999999999,0.20525,0.04725,0.06075,0.149,0.061,0.10075,0.0645,0.1397499999999999,0.021,0.1495,0.075,0.0735,0.25,0.154,0.06,0.0717499999999999,0.1084999999999999,0.0665,0.06175,0.2339999999999999,0.04325,0.0564999999999999,0.0379999999999999,0.04475,0.0409999999999999,0.0782499999999999,0.0449999999999999,0.03175,0.0354999999999999,0.0994999999999999,0.04425,0.0394999999999999,0.0702499999999999,0.0364999999999999,0.0257499999999999,0.0172499999999999
Priest (1994),0.78175,0.7865,0.949,0.7005,0.78175,0.78175,0.737,0.85825,0.67025,0.65125,0.67725,0.401,0.3844999999999999,0.82575,0.43625,0.85825,0.4085,0.3355,0.29325,0.54275,0.3389999999999999,0.44675,0.1525,0.39975,0.4429999999999999,0.2002499999999999,0.483,0.9555,0.2875,0.1805,0.31275,0.54925,0.3492499999999999,0.0925,0.311,0.17525,0.2855,0.0812499999999999,0.2194999999999999,0.277,0.148,0.1709999999999999,0.28,0.22825,0.0857499999999999,0.1735,0.25,0.17475,0.124,0.1335,0.2804999999999999,0.481,0.089,0.3472499999999999,0.258,0.05775,0.1897499999999999,0.1367499999999999,0.16275,0.1555,0.21175,0.1139999999999999,0.16775,0.10775,0.0999999999999999,0.131,0.1327499999999999,0.068,0.0974999999999999,0.1322499999999999,0.33375,0.0857499999999999,0.273,0.1225,0.0647499999999999,0.16225,0.1257499999999999,0.089,0.0665,0.0999999999999999,0.17875,0.883,0.12275,0.09225,0.2125,0.0364999999999999,0.29,0.119,0.8972500000000001,0.11725,0.09,0.1099999999999999,0.1039999999999999,0.241,0.0524999999999999,0.45325,0.079,0.0655,0.17525,0.079,0.0394999999999999,0.086,0.076,0.1395,0.0672499999999999,0.1357499999999999,0.0685,0.1255,0.2774999999999999,0.09175,0.12025,0.1937499999999999,0.11775,0.0409999999999999,0.10325,0.02975,0.0682499999999999,0.03425,0.09475,0.2199999999999999,0.05125,0.02975,0.079,0.06075,0.0459999999999999,0.0494999999999999,0.0574999999999999,0.0349999999999999,0.03,0.05125,0.06125,0.0215,0.0574999999999999,0.21725,0.1275,0.0409999999999999,0.04475,0.0275,0.069,0.04475,0.0354999999999999,0.1435,0.019,0.03825,0.027,0.028,0.019,0.04075,0.0334999999999999
Naked (1993),0.941,0.9345,0.979,0.979,0.9345,0.979,0.74725,0.8180000000000001,0.76475,0.66425,0.583,0.7509999999999999,0.78075,0.6815,0.7989999999999999,0.3185,0.4004999999999999,0.652,0.36175,0.5305,0.359,0.42725,0.37375,0.1704999999999999,0.37375,0.652,0.16125,0.4805,0.54925,0.196,0.31475,0.29325,0.385,0.41,0.3245,0.244,0.32075,0.0949999999999999,0.3045,0.21875,0.1927499999999999,0.2254999999999999,0.2827499999999999,0.10075,0.24525,0.3442499999999999,0.7965,0.26775,0.16875,0.1465,0.3602499999999999,0.11525,0.2415,0.10175,0.17775,0.21225,0.2837499999999999,0.24975,0.0845,0.1465,0.17775,0.1589999999999999,0.181,0.17775,0.21175,0.18325,0.1402499999999999,0.0404999999999999,0.09825,0.10975,0.05875,0.0812499999999999,0.132,0.16375,0.239,0.09925,0.10075,0.3239999999999999,0.151,0.1109999999999999,0.10225,0.09325,0.11175,0.1365,0.0637499999999999,0.1074999999999999,0.1392499999999999,0.0989999999999999,0.09725,0.11125,0.0715,0.26025,0.677,0.1059999999999999,0.198,0.0605,0.0459999999999999,0.077,0.0737499999999999,0.0737499999999999,0.3562499999999999,0.06075,0.0697499999999999,0.1297499999999999,0.072,0.1009999999999999,0.0807499999999999,0.073,0.03725,0.0817499999999999,0.0762499999999999,0.0579999999999999,0.0185,0.05175,0.0459999999999999,0.0777499999999999,0.1815,0.04475,0.06025,0.05525,0.0349999999999999,0.061,0.35675,0.09075,0.0359999999999999,0.919,0.38925,0.0989999999999999,0.0344999999999999,0.0735,0.0499999999999999,0.0354999999999999,0.04075,0.0404999999999999,0.0549999999999999,0.03825,0.0635,0.124,0.05725,0.0665,0.0339999999999999,0.0242499999999999,0.0559999999999999,0.0667499999999999,0.0544999999999999,0.021,0.0207499999999999,0.03575,0.0155
"Piano, The (1993)",0.96075,0.98375,0.8872500000000001,0.96075,0.98375,0.7695000000000001,0.885,0.905,0.689,0.7135,0.6815,0.5625,0.689,0.905,0.49775,0.3075,0.388,0.57,0.46175,0.619,0.52725,0.4975,0.298,0.53675,0.2885,0.17875,0.10275,0.3005,0.4187499999999999,0.14375,0.43975,0.279,0.30725,0.11225,0.35075,0.24025,0.30825,0.5575,0.69225,0.211,0.1312499999999999,0.2855,0.2065,0.4197499999999999,0.1405,0.3155,0.2867499999999999,0.16525,0.10925,0.11575,0.25725,0.3335,0.1367499999999999,0.1664999999999999,0.193,0.1689999999999999,0.1927499999999999,0.1805,0.10125,0.0845,0.1644999999999999,0.08925,0.1495,0.12325,0.078,0.52775,0.0715,0.18225,0.1019999999999999,0.0817499999999999,0.24575,0.09575,0.2329999999999999,0.086,0.173,0.37275,0.1387499999999999,0.0959999999999999,0.52775,0.08725,0.22725,0.1709999999999999,0.1545,0.21125,0.1674999999999999,0.05975,0.0994999999999999,0.05325,0.05925,0.1275,0.0842499999999999,0.0767499999999999,0.0807499999999999,0.3485,0.062,0.10275,0.1109999999999999,0.09025,0.09925,0.0745,0.34875,0.04375,0.0832499999999999,0.43,0.04325,0.11425,0.1169999999999999,0.1302499999999999,0.1915,0.0959999999999999,0.0657499999999999,0.16575,0.03625,0.0529999999999999,0.04725,0.0777499999999999,0.1755,0.063,0.0615,0.09475,0.0329999999999999,0.14425,0.05725,0.1262499999999999,0.04375,0.0232499999999999,0.09575,0.078,0.0369999999999999,0.0692499999999999,0.0394999999999999,0.062,0.0765,0.04825,0.1347499999999999,0.04475,0.03475,0.03625,0.075,0.05025,0.02975,0.0544999999999999,0.03125,0.0295,0.0324999999999999,0.03375,0.0205,0.0252499999999999,0.0235
Romper Stomper (1992),0.84175,0.7989999999999999,0.883,0.6925,0.7989999999999999,0.7575000000000001,0.9905,0.8267500000000001,0.8095000000000001,0.7995000000000001,0.7989999999999999,0.595,0.883,0.24975,0.9905,0.8267500000000001,0.46075,0.3225,0.37625,0.1445,0.32325,0.41125,0.4885,0.64625,0.45275,0.2534999999999999,0.39175,0.33875,0.3325,0.39125,0.493,0.6095,0.4207499999999999,0.39175,0.369,0.15125,0.247,0.0464999999999999,0.1297499999999999,0.263,0.22175,0.16975,0.3685,0.21725,0.134,0.309,0.29625,0.3814999999999999,0.2885,0.17975,0.3652499999999999,0.2704999999999999,0.0865,0.4385,0.5285,0.1315,0.275,0.3115,0.17725,0.17325,0.4195,0.16925,0.27225,0.4195,0.0845,0.3067499999999999,0.241,0.0915,0.0657499999999999,0.346,0.134,0.082,0.11025,0.26725,0.0835,0.1584999999999999,0.06075,0.27075,0.33975,0.21425,0.1262499999999999,0.1325,0.15525,0.1445,0.48275,0.0735,0.20375,0.382,0.09025,0.20725,0.129,0.2239999999999999,0.275,0.12375,0.1569999999999999,0.1195,0.0662499999999999,0.09025,0.1957499999999999,0.0717499999999999,0.1322499999999999,0.22525,0.088,0.303,0.0832499999999999,0.061,0.09075,0.1295,0.0637499999999999,0.11075,0.0822499999999999,0.12425,0.0257499999999999,0.15225,0.155,0.1285,0.1405,0.0539999999999999,0.25075,0.10625,0.0777499999999999,0.026,0.152,0.0802499999999999,0.0999999999999999,0.1245,0.3502499999999999,0.15925,0.1795,0.0625,0.15,0.02975,0.205,0.0959999999999999,0.91025,0.0419999999999999,0.0737499999999999,0.03225,0.04375,0.0675,0.0672499999999999,0.024,0.05375,0.0544999999999999,0.0444999999999999,0.0384999999999999,0.0237499999999999,0.05025,0.021
"Last Supper, The (1995)",0.7695000000000001,0.85375,0.6955,0.4972499999999999,0.85375,0.668,0.8725,0.59525,0.59775,0.8122499999999999,0.68375,0.41625,0.6955,0.59525,0.583,0.38575,0.5095,0.656,0.26925,0.2284999999999999,0.33575,0.4745,0.7695000000000001,0.281,0.2185,0.8214999999999999,0.976,0.45375,0.4579999999999999,0.8325,0.23325,0.29425,0.4107499999999999,0.22575,0.22125,0.4389999999999999,0.30025,0.1029999999999999,0.0855,0.393,0.1322499999999999,0.2204999999999999,0.38275,0.16475,0.11325,0.2817499999999999,0.26725,0.399,0.15175,0.37525,0.4605,0.17375,0.14825,0.60625,0.2847499999999999,0.1855,0.20875,0.12225,0.1307499999999999,0.1377499999999999,0.25325,0.23875,0.31225,0.264,0.23025,0.26075,0.218,0.17625,0.09025,0.42625,0.0707499999999999,0.2115,0.0715,0.20625,0.05425,0.0895,0.05875,0.1985,0.12025,0.1415,0.1639999999999999,0.2199999999999999,0.15725,0.1709999999999999,0.20825,0.079,0.2624999999999999,0.15975,0.119,0.09225,0.1064999999999999,0.18375,0.2365,0.1257499999999999,0.423,0.0772499999999999,0.1252499999999999,0.1292499999999999,0.0855,0.12475,0.284,0.125,0.04475,0.076,0.253,0.0469999999999999,0.084,0.1245,0.0514999999999999,0.14725,0.0712499999999999,0.1164999999999999,0.1282499999999999,0.06175,0.08625,0.0745,0.1014999999999999,0.0504999999999999,0.1357499999999999,0.0954999999999999,0.0329999999999999,0.638,0.27375,0.1034999999999999,0.2857499999999999,0.082,0.0737499999999999,0.1997499999999999,0.0745,0.0645,0.09725,0.15125,0.15725,0.069,0.0647499999999999,0.0569999999999999,0.0682499999999999,0.0895,0.1312499999999999,0.04925,0.0305,0.0225,0.0852499999999999,0.03925,0.071,0.04525,0.062,0.03375,0.03975
Cat on a Hot Tin Roof (1958),0.91775,0.91775,0.91025,0.9575,0.99125,0.9575,0.924,0.50125,0.924,0.768,0.99125,0.924,0.74575,0.58425,0.24925,0.8847499999999999,0.56675,0.8552500000000001,0.66775,0.2135,0.42425,0.46625,0.2714999999999999,0.51575,0.9165,0.594,0.25725,0.38225,0.3155,0.708,0.262,0.41425,0.2224999999999999,0.33475,0.3515,0.26125,0.45375,0.669,0.44025,0.24325,0.3595,0.2022499999999999,0.17725,0.1149999999999999,0.47775,0.24575,0.276,0.2284999999999999,0.2825,0.18175,0.30725,0.1922499999999999,0.33575,0.3355,0.16725,0.3472499999999999,0.2224999999999999,0.25775,0.73925,0.1634999999999999,0.1985,0.3215,0.127,0.32275,0.192,0.1855,0.2025,0.22525,0.16775,0.09925,0.374,0.3285,0.09425,0.0825,0.1034999999999999,0.06125,0.188,0.0845,0.0949999999999999,0.16325,0.1475,0.14625,0.1664999999999999,0.09975,0.0394999999999999,0.1277499999999999,0.1887499999999999,0.0852499999999999,0.09175,0.0812499999999999,0.09375,0.0765,0.1262499999999999,0.085,0.4117499999999999,0.16625,0.19,0.15825,0.25825,0.09425,0.1634999999999999,0.0722499999999999,0.12325,0.0642499999999999,0.1272499999999999,0.21075,0.129,0.0752499999999999,0.188,0.1495,0.1119999999999999,0.0715,0.3814999999999999,0.064,0.8367500000000001,0.0767499999999999,0.10925,0.0632499999999999,0.14175,0.10375,0.065,0.0504999999999999,0.093,0.0954999999999999,0.0384999999999999,0.0314999999999999,0.04875,0.04825,0.0615,0.0989999999999999,0.081,0.083,0.03325,0.145,0.0272499999999999,0.136,0.0479999999999999,0.10325,0.067,0.10125,0.0222499999999999,0.11025,0.0175,0.0257499999999999,0.0559999999999999,0.10175,0.0252499999999999,0.0257499999999999,0.04925
Jude (1996),0.8107500000000001,0.8107500000000001,0.8107500000000001,0.8087500000000001,0.8107500000000001,0.8107500000000001,0.682,0.8995,0.8107500000000001,0.6755,0.8107500000000001,0.8107500000000001,0.49775,0.7769999999999999,0.589,0.7769999999999999,0.57025,0.278,0.84625,0.3645,0.682,0.426,0.209,0.203,0.16475,0.187,0.1235,0.2784999999999999,0.54175,0.42125,0.414,0.24875,0.2774999999999999,0.1262499999999999,0.3085,0.413,0.2865,0.4785,0.68675,0.202,0.3705,0.21275,0.2495,0.15225,0.15175,0.2229999999999999,0.417,0.2355,0.119,0.0627499999999999,0.2957499999999999,0.1089999999999999,0.27025,0.068,0.22175,0.16375,0.1927499999999999,0.1335,0.128,0.174,0.1684999999999999,0.11375,0.2284999999999999,0.11475,0.1089999999999999,0.23275,0.08,0.082,0.2485,0.0954999999999999,0.147,0.1029999999999999,0.09925,0.08675,0.06025,0.426,0.1332499999999999,0.0797499999999999,0.09575,0.1004999999999999,0.28725,0.10575,0.11675,0.1555,0.0847499999999999,0.0812499999999999,0.11125,0.0974999999999999,0.14075,0.0642499999999999,0.0675,0.092,0.04375,0.4439999999999999,0.0529999999999999,0.1104999999999999,0.152,0.05825,0.0574999999999999,0.1252499999999999,0.0635,0.05675,0.078,0.1169999999999999,0.0494999999999999,0.356,0.1262499999999999,0.0944999999999999,0.05675,0.1054999999999999,0.088,0.0685,0.0267499999999999,0.0825,0.0757499999999999,0.03525,0.1659999999999999,0.0832499999999999,0.0702499999999999,0.063,0.03775,0.0394999999999999,0.03625,0.05025,0.05025,0.204,0.0344999999999999,0.0474999999999999,0.04925,0.091,0.0757499999999999,0.0314999999999999,0.0414999999999999,0.11125,0.52125,0.03275,0.06175,0.02,0.0409999999999999,0.0245,0.03525,0.0314999999999999,0.03025,0.04125,0.09275,0.024,0.0797499999999999,0.0192499999999999,0.0155
