movieId,weird,original,greed,melancholic,computer animation,culture clash,good,drama,life & death,runaway,childhood,independent film,vengeance,family,dialogue,unlikely friendships,fantasy world,mentor,drinking,light,pornography,creativity,adaptation,catastrophe,betrayal,life philosophy,quirky,tokyo,transformation,dreams,good music,very funny,first contact,sacrifice,fight scenes,surveillance,chase,death,not funny,awesome soundtrack,simple,dysfunctional family,fun movie,survival,prejudice,british,classic car,predictable,film noir,teen movie,alter ego,underrated,nudity (full frontal - brief),islam,absurd,mad scientist,weapons,memory,period piece,irish accent,queer,small town,sexy,stereotypes,hospital,wilderness,alternate history,writers,multiple storylines,wartime,1930s,island,pulp,doctors,farce,hotel,women,brothers,nudity (topless - brief),adoption,directorial debut,bollywood,road movie,immortality,too long,goth,blindness,stoner movie,indians,censorship,rebellion,internet,atheism,french,workplace,hunting,addiction,ghosts/afterlife,divorce,california,stand-up comedy,too short,prison,new jersey,best of 2005,documentary,graphic novel,80s,russian,god,desert,father daughter relationship,camp,cancer,interracial romance,kidnapping,made for tv,race,foul language,snakes,potential oscar nom,homeless,time,trilogy,no plot,hip hop,kick-butt women,radio,finnish,australia,oil,ensemble cast,wine,texas,prostitution,nudity (rear),san francisco,notable nudity,fashion,new york city,single father,buddy movie,shopping,reality tv,unlikeable characters,lawyer,robert downey jr,los angeles,remake
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0.99275,0.99125,0.99125,0.9185,0.178,0.88025,0.71975,0.83725,0.9815,0.83975,0.89825,0.9415,0.70025,0.89825,0.88025,0.45925,0.9965,0.4357499999999999,0.55225,0.506,0.9415,0.7045,0.4569999999999999,0.4972499999999999,0.638,0.37525,0.536,0.38025,0.42425,0.96225,0.244,0.2897499999999999,0.907,0.20875,0.42,0.506,0.29725,0.1574999999999999,0.38775,0.244,0.23975,0.29025,0.178,0.907,0.16375,0.43425,0.25225,0.197,0.471,0.1815,0.26725,0.483,0.2194999999999999,0.43875,0.643,0.61725,0.2095,0.36375,0.31,0.22825,0.16125,0.14625,0.2435,0.11325,0.1225,0.2279999999999999,0.1669999999999999,0.16875,0.17725,0.215,0.205,0.36675,0.261,0.2199999999999999,0.2514999999999999,0.30625,0.1855,0.1875,0.2022499999999999,0.16725,0.1845,0.16025,0.1932499999999999,0.2199999999999999,0.084,0.14775,0.2977499999999999,0.14975,0.0865,0.1282499999999999,0.1397499999999999,0.0825,0.12375,0.8374999999999999,0.17225,0.05225,0.0695,0.0564999999999999,0.0745,0.1019999999999999,0.0667499999999999,0.02975,0.0939999999999999,0.1149999999999999,0.153,0.0519999999999999,0.1175,0.0762499999999999,0.068,0.05875,0.1805,0.073,0.1185,0.024,0.04375,0.659,0.068,0.092,0.03675,0.0737499999999999,0.12375,0.0999999999999999,0.1034999999999999,0.14675,0.204,0.0414999999999999,0.0845,0.0285,0.0695,0.10425,0.23725,0.0762499999999999,0.21675,0.04575,0.0777499999999999,0.1169999999999999,0.03625,0.092,0.066,0.0657499999999999,0.0235,0.05225,0.03875,0.03,0.0745,0.0145,0.0702499999999999,0.0379999999999999,0.0207499999999999
"Nightmare Before Christmas, The (1993)",0.945,0.93475,0.9165,0.9005000000000001,0.9155,0.6815,0.67975,0.5935,0.945,0.6815,0.65125,0.9165,0.6815,0.65125,0.5715,0.35075,0.98425,0.38425,0.5935,0.67925,0.9165,0.7195,0.3612499999999999,0.4237499999999999,0.5925,0.4067499999999999,0.74525,0.1785,0.3732499999999999,0.3175,0.75875,0.52375,0.22875,0.16025,0.43425,0.21125,0.27225,0.1679999999999999,0.3502499999999999,0.57025,0.2957499999999999,0.238,0.571,0.193,0.1947499999999999,0.2455,0.2947499999999999,0.24025,0.26225,0.10375,0.24825,0.44225,0.1185,0.0825,0.3445,0.4415,0.21925,0.14275,0.14275,0.218,0.178,0.408,0.17925,0.126,0.1245,0.1475,0.11925,0.183,0.21425,0.12025,0.1019999999999999,0.08975,0.17175,0.1475,0.206,0.2254999999999999,0.11075,0.1267499999999999,0.1584999999999999,0.0807499999999999,0.1445,0.0645,0.2055,0.0752499999999999,0.0915,0.83925,0.128,0.144,0.0845,0.1054999999999999,0.0825,0.0802499999999999,0.10725,0.0787499999999999,0.1262499999999999,0.059,0.1225,0.213,0.11475,0.11375,0.0695,0.0539999999999999,0.08675,0.1009999999999999,0.173,0.0444999999999999,0.0792499999999999,0.093,0.04475,0.0364999999999999,0.1159999999999999,0.03575,0.126,0.0262499999999999,0.0429999999999999,0.3077499999999999,0.068,0.0657499999999999,0.03925,0.20975,0.078,0.0409999999999999,0.1305,0.066,0.09275,0.0454999999999999,0.0645,0.09325,0.05125,0.0702499999999999,0.08825,0.093,0.089,0.0637499999999999,0.04075,0.066,0.03025,0.0632499999999999,0.05675,0.0584999999999999,0.0187499999999999,0.05625,0.0825,0.0414999999999999,0.1019999999999999,0.0182499999999999,0.04075,0.03325,0.0222499999999999
"Wizard of Oz, The (1939)",0.96375,0.939,0.939,0.75925,0.72825,0.939,0.939,0.939,0.88425,0.96375,0.901,0.393,0.746,0.72825,0.75925,0.82775,0.956,0.59025,0.44825,0.96375,0.1659999999999999,0.5305,0.905,0.56575,0.206,0.5255,0.2405,0.0832499999999999,0.491,0.632,0.8029999999999999,0.64875,0.64925,0.8905000000000001,0.64925,0.2355,0.45825,0.1629999999999999,0.35675,0.3105,0.4712499999999999,0.15575,0.685,0.45725,0.8905000000000001,0.2005,0.3145,0.3315,0.85175,0.243,0.1982499999999999,0.3017499999999999,0.148,0.2314999999999999,0.24025,0.2835,0.20725,0.23775,0.2314999999999999,0.15875,0.278,0.22425,0.1124999999999999,0.239,0.1375,0.11175,0.1175,0.14375,0.0984999999999999,0.12475,0.58225,0.1892499999999999,0.154,0.1357499999999999,0.1397499999999999,0.1855,0.10925,0.16075,0.0642499999999999,0.079,0.1074999999999999,0.1347499999999999,0.86625,0.56575,0.1332499999999999,0.0574999999999999,0.09775,0.10625,0.1535,0.08725,0.1069999999999999,0.06025,0.0842499999999999,0.0549999999999999,0.05975,0.1555,0.0745,0.1877499999999999,0.1114999999999999,0.1674999999999999,0.0675,0.05875,0.1029999999999999,0.1084999999999999,0.1084999999999999,0.0374999999999999,0.0242499999999999,0.1322499999999999,0.0559999999999999,0.04025,0.15475,0.0439999999999999,0.174,0.06175,0.10075,0.0792499999999999,0.092,0.1079999999999999,0.031,0.2937499999999999,0.0329999999999999,0.08825,0.28525,0.16725,0.067,0.03975,0.03875,0.156,0.03175,0.05325,0.1144999999999999,0.0369999999999999,0.0692499999999999,0.0444999999999999,0.0394999999999999,0.0177499999999999,0.11725,0.0275,0.0757499999999999,0.0727499999999999,0.04525,0.1345,0.119,0.0334999999999999,0.031,0.0409999999999999,0.0349999999999999,0.0339999999999999,0.0235
It's a Wonderful Life (1946),0.9695,0.9695,0.9695,0.8347500000000001,0.305,0.9695,0.9695,0.9695,0.895,0.9535,0.8260000000000001,0.895,0.8912500000000001,0.6515,0.8347500000000001,0.9325,0.525,0.7657499999999999,0.6385,0.9535,0.1392499999999999,0.36975,0.45375,0.51475,0.41025,0.7495,0.16575,0.123,0.50025,0.649,0.33075,0.53825,0.3245,0.62425,0.4479999999999999,0.31025,0.4479999999999999,0.2435,0.3522499999999999,0.34325,0.494,0.28225,0.55425,0.4575,0.475,0.15725,0.2664999999999999,0.2269999999999999,0.7737499999999999,0.2115,0.25025,0.266,0.271,0.18,0.1402499999999999,0.1679999999999999,0.1735,0.186,0.18,0.1614999999999999,0.14675,0.93825,0.10025,0.17425,0.2304999999999999,0.0715,0.305,0.1019999999999999,0.12,0.14725,0.21375,0.1599999999999999,0.1134999999999999,0.17675,0.11575,0.1745,0.1074999999999999,0.3924999999999999,0.0742499999999999,0.078,0.09475,0.1267499999999999,0.2065,0.2945,0.4982499999999999,0.0215,0.1307499999999999,0.1372499999999999,0.13,0.1084999999999999,0.0915,0.0832499999999999,0.10175,0.0404999999999999,0.09225,0.09425,0.1337499999999999,0.1579999999999999,0.1505,0.2075,0.1044999999999999,0.0747499999999999,0.14525,0.1845,0.05625,0.0282499999999999,0.0225,0.1897499999999999,0.0615,0.23725,0.1624999999999999,0.0569999999999999,0.1019999999999999,0.18075,0.076,0.0349999999999999,0.119,0.1392499999999999,0.141,0.16125,0.0334999999999999,0.1674999999999999,0.4215,0.20475,0.0439999999999999,0.0292499999999999,0.029,0.1669999999999999,0.05175,0.0469999999999999,0.09425,0.0787499999999999,0.03475,0.10125,0.077,0.0267499999999999,0.081,0.0227499999999999,0.0459999999999999,0.077,0.10575,0.14425,0.16575,0.0519999999999999,0.0295,0.0752499999999999,0.04475,0.03125,0.0212499999999999
Something Wicked This Way Comes (1983),0.98575,0.98575,0.98575,0.637,0.416,0.637,0.5835,0.4569999999999999,0.64625,0.60225,0.79175,0.98575,0.66825,0.364,0.38325,0.51275,0.98525,0.57225,0.306,0.40525,0.98575,0.38425,0.97625,0.4165,0.428,0.39775,0.32775,0.0752499999999999,0.4589999999999999,0.55325,0.206,0.25375,0.5145,0.478,0.5145,0.6645,0.4742499999999999,0.3702499999999999,0.4014999999999999,0.1104999999999999,0.125,0.22775,0.2835,0.088,0.18375,0.209,0.3695,0.2634999999999999,0.4875,0.3097499999999999,0.32225,0.55875,0.203,0.0959999999999999,0.242,0.66275,0.1937499999999999,0.3389999999999999,0.2937499999999999,0.27475,0.14375,0.8065,0.14375,0.128,0.1992499999999999,0.0772499999999999,0.10125,0.263,0.1205,0.10125,0.385,0.1465,0.34125,0.24825,0.11375,0.196,0.156,0.1049999999999999,0.185,0.1639999999999999,0.147,0.06025,0.131,0.2895,0.1215,0.688,0.1987499999999999,0.1765,0.0645,0.0755,0.0732499999999999,0.0792499999999999,0.05025,0.068,0.1257499999999999,0.08825,0.11425,0.274,0.0625,0.12425,0.0755,0.0242499999999999,0.10825,0.1297499999999999,0.08775,0.0275,0.08,0.3269999999999999,0.0554999999999999,0.0439999999999999,0.0637499999999999,0.0444999999999999,0.248,0.0374999999999999,0.0295,0.1725,0.067,0.0625,0.0449999999999999,0.0782499999999999,0.03925,0.0792499999999999,0.0732499999999999,0.10425,0.0554999999999999,0.04375,0.04675,0.0632499999999999,0.1124999999999999,0.0569999999999999,0.03975,0.0359999999999999,0.0747499999999999,0.05425,0.0732499999999999,0.0845,0.0645,0.10525,0.0954999999999999,0.0857499999999999,0.029,0.065,0.15725,0.028,0.1069999999999999,0.0627499999999999,0.081,0.03775,0.0845
Watership Down (1978),0.8567499999999999,0.925,0.841,0.8345,0.967,0.713,0.67775,0.67775,0.7735000000000001,0.713,0.736,0.841,0.925,0.93725,0.63425,0.587,0.53675,0.577,0.63425,0.62825,0.841,0.2975,0.983,0.51225,0.925,0.25175,0.3379999999999999,0.089,0.37775,0.09675,0.195,0.33825,0.21325,0.4805,0.2254999999999999,0.3159999999999999,0.3864999999999999,0.529,0.36475,0.195,0.1709999999999999,0.18225,0.18,0.4925,0.4805,0.5405,0.3149999999999999,0.22775,0.1957499999999999,0.236,0.26225,0.4955,0.381,0.25625,0.32375,0.12175,0.21775,0.1515,0.41925,0.3,0.21975,0.12425,0.1674999999999999,0.2514999999999999,0.135,0.34475,0.16025,0.138,0.1885,0.0827499999999999,0.10475,0.1332499999999999,0.214,0.128,0.1245,0.139,0.17725,0.1262499999999999,0.15175,0.11075,0.34125,0.0677499999999999,0.2694999999999999,0.1535,0.076,0.267,0.1877499999999999,0.2674999999999999,0.1282499999999999,0.33175,0.2975,0.085,0.18425,0.0459999999999999,0.06075,0.2837499999999999,0.15575,0.05725,0.0539999999999999,0.08925,0.0845,0.0444999999999999,0.10375,0.1054999999999999,0.05325,0.04725,0.42425,0.11075,0.0855,0.18425,0.122,0.0364999999999999,0.1699999999999999,0.0777499999999999,0.05625,0.1134999999999999,0.1039999999999999,0.08925,0.14675,0.15275,0.12375,0.0519999999999999,0.0359999999999999,0.11275,0.0702499999999999,0.0424999999999999,0.06,0.0665,0.0574999999999999,0.1079999999999999,0.0424999999999999,0.0672499999999999,0.05475,0.0677499999999999,0.0812499999999999,0.14625,0.05475,0.08825,0.0295,0.066,0.0359999999999999,0.06175,0.0235,0.05275,0.0802499999999999,0.04275,0.04325,0.0202499999999999,0.0277499999999999
"Dark Crystal, The (1982)",0.9675,0.91125,0.91125,0.64,0.745,0.64,0.74325,0.5775,0.9675,0.68875,0.74425,0.7865,0.507,0.745,0.64,0.276,0.997,0.53075,0.2887499999999999,0.68875,0.7865,0.66,0.4715,0.53275,0.24225,0.486,0.41625,0.2065,0.501,0.271,0.126,0.46625,0.74675,0.4639999999999999,0.74675,0.308,0.3512499999999999,0.295,0.349,0.48975,0.3425,0.146,0.519,0.3665,0.207,0.1897499999999999,0.22275,0.32525,0.172,0.204,0.237,0.56175,0.16175,0.12075,0.2334999999999999,0.515,0.3189999999999999,0.1997499999999999,0.1674999999999999,0.1882499999999999,0.1392499999999999,0.196,0.1272499999999999,0.1149999999999999,0.10475,0.135,0.18325,0.16175,0.16175,0.0652499999999999,0.1019999999999999,0.11575,0.22375,0.2155,0.153,0.15225,0.12125,0.0757499999999999,0.15525,0.0767499999999999,0.11875,0.073,0.1287499999999999,0.8600000000000001,0.14125,0.3165,0.1267499999999999,0.14675,0.12175,0.0637499999999999,0.1317499999999999,0.16275,0.1435,0.0855,0.14275,0.06,0.0775,0.43525,0.063,0.09,0.08,0.0364999999999999,0.0842499999999999,0.08725,0.0772499999999999,0.0519999999999999,0.0667499999999999,0.5015,0.0499999999999999,0.0717499999999999,0.20825,0.03825,0.1435,0.03475,0.0595,0.066,0.0682499999999999,0.3105,0.0287499999999999,0.1175,0.0394999999999999,0.0632499999999999,0.2975,0.39525,0.0539999999999999,0.0424999999999999,0.05325,0.10025,0.04925,0.0792499999999999,0.0712499999999999,0.05975,0.076,0.0419999999999999,0.04225,0.1024999999999999,0.0499999999999999,0.0615,0.0954999999999999,0.072,0.0247499999999999,0.0632499999999999,0.0865,0.0409999999999999,0.06075,0.0255,0.03825,0.028,0.0277499999999999
Village of the Damned (1960),0.8532500000000001,0.83775,0.8125,0.8125,0.32275,0.591,0.4325,0.62825,0.65175,0.81,0.9765,0.8125,0.75275,0.9765,0.77125,0.2105,0.31125,0.357,0.4832499999999999,0.81,0.4014999999999999,0.3705,0.55325,0.4165,0.4307499999999999,0.2455,0.37675,0.215,0.4539999999999999,0.178,0.05275,0.32775,0.80575,0.26125,0.5555,0.77125,0.406,0.246,0.387,0.0959999999999999,0.24525,0.258,0.4317499999999999,0.2564999999999999,0.16775,0.664,0.2907499999999999,0.3675,0.81,0.204,0.1875,0.1957499999999999,0.18325,0.0949999999999999,0.3095,0.548,0.4425,0.14675,0.664,0.09475,0.143,0.61375,0.1967499999999999,0.14125,0.142,0.23275,0.09675,0.15875,0.155,0.09,0.0959999999999999,0.37075,0.24,0.31625,0.26225,0.2937499999999999,0.28925,0.0605,0.3595,0.1825,0.1375,0.0767499999999999,0.22325,0.0772499999999999,0.1044999999999999,0.1144999999999999,0.22025,0.1034999999999999,0.0662499999999999,0.1835,0.0815,0.10975,0.10475,0.0579999999999999,0.15975,0.09225,0.0642499999999999,0.05575,0.1372499999999999,0.237,0.074,0.03125,0.0797499999999999,0.08,0.1885,0.04825,0.0642499999999999,0.1357499999999999,0.0399999999999999,0.0667499999999999,0.15425,0.0439999999999999,0.45425,0.0369999999999999,0.08625,0.08825,0.05925,0.078,0.0695,0.21325,0.0439999999999999,0.05125,0.11925,0.0265,0.06175,0.0275,0.06125,0.078,0.0182499999999999,0.1725,0.1109999999999999,0.04275,0.0449999999999999,0.0672499999999999,0.0727499999999999,0.0755,0.065,0.0394999999999999,0.0519999999999999,0.0827499999999999,0.0344999999999999,0.0399999999999999,0.0262499999999999,0.03525,0.05725,0.0292499999999999,0.03675,0.0265,0.138
Yellow Submarine (1968),0.96325,0.8587499999999999,0.885,0.885,0.964,0.885,0.77275,0.3754999999999999,0.8422499999999999,0.4935,0.38075,0.2855,0.358,0.76325,0.6535,0.25,0.64175,0.4147499999999999,0.26725,0.57675,0.358,0.687,0.3095,0.40825,0.33025,0.3077499999999999,0.511,0.1054999999999999,0.3037499999999999,0.266,0.932,0.495,0.15275,0.142,0.353,0.1545,0.40525,0.2025,0.33575,0.77275,0.2229999999999999,0.16575,0.46225,0.2815,0.254,0.4197499999999999,0.1912499999999999,0.29225,0.28225,0.1175,0.18525,0.33375,0.218,0.15475,0.54125,0.22975,0.2199999999999999,0.2214999999999999,0.26675,0.11275,0.433,0.14325,0.25,0.1865,0.10425,0.1307499999999999,0.10425,0.17025,0.12425,0.0584999999999999,0.119,0.10725,0.176,0.0949999999999999,0.45725,0.22175,0.1325,0.09175,0.198,0.0635,0.147,0.0509999999999999,0.2005,0.0564999999999999,0.14525,0.17775,0.1555,0.30125,0.293,0.1305,0.09875,0.0579999999999999,0.0875,0.0344999999999999,0.08,0.0484999999999999,0.16975,0.0852499999999999,0.0817499999999999,0.1325,0.1044999999999999,0.04525,0.0822499999999999,0.1124999999999999,0.0267499999999999,0.05375,0.05725,0.135,0.06,0.06225,0.10675,0.04475,0.10075,0.0364999999999999,0.10075,0.04575,0.0782499999999999,0.075,0.0235,0.09425,0.04625,0.16125,0.1992499999999999,0.04425,0.2007499999999999,0.1395,0.12025,0.10575,0.03075,0.10975,0.0464999999999999,0.0695,0.0217499999999999,0.0675,0.0474999999999999,0.05025,0.04675,0.0692499999999999,0.0379999999999999,0.081,0.0212499999999999,0.0584999999999999,0.0255,0.0349999999999999,0.04475,0.0429999999999999,0.04125,0.03725,0.0252499999999999
Princess Mononoke (Mononoke-hime) (1997),0.96475,0.9465,0.9465,0.8925000000000001,0.9635,0.9465,0.9465,0.9465,0.8752500000000001,0.8925000000000001,0.50025,0.6795,0.8407500000000001,0.8025,0.8925000000000001,0.67,0.92,0.58425,0.6275,0.4792499999999999,0.6795,0.42125,0.4499999999999999,0.54125,0.8407500000000001,0.352,0.3259999999999999,0.677,0.538,0.2012499999999999,0.8075000000000001,0.3735,0.62475,0.50225,0.6015,0.60625,0.6015,0.241,0.355,0.8075000000000001,0.27975,0.22575,0.173,0.383,0.45375,0.29125,0.27175,0.17225,0.3077499999999999,0.12325,0.416,0.40575,0.271,0.27625,0.301,0.2249999999999999,0.6015,0.1134999999999999,0.31625,0.29425,0.2314999999999999,0.2204999999999999,0.30725,0.31225,0.14525,0.357,0.279,0.11825,0.21825,0.251,0.1164999999999999,0.1335,0.1367499999999999,0.1109999999999999,0.122,0.14175,0.308,0.152,0.16125,0.0974999999999999,0.144,0.1445,0.1004999999999999,0.3675,0.2875,0.1535,0.1845,0.239,0.17875,0.20475,0.1365,0.11125,0.14575,0.0755,0.1054999999999999,0.09775,0.0979999999999999,0.04225,0.05275,0.13,0.0725,0.0235,0.10925,0.1099999999999999,0.1044999999999999,0.0509999999999999,0.3452499999999999,0.1099999999999999,0.08775,0.50375,0.1564999999999999,0.1064999999999999,0.0702499999999999,0.10025,0.1257499999999999,0.09475,0.0727499999999999,0.1129999999999999,0.20775,0.34675,0.09875,0.04175,0.0439999999999999,0.0705,0.1574999999999999,0.04725,0.1312499999999999,0.0529999999999999,0.03875,0.0827499999999999,0.0825,0.11275,0.04275,0.11125,0.15825,0.0544999999999999,0.05225,0.0434999999999999,0.03375,0.0569999999999999,0.019,0.09525,0.0282499999999999,0.04075,0.04375,0.0364999999999999,0.0637499999999999,0.0474999999999999,0.0185
