movieId,betrayal,weird,culture clash,vengeance,drama,greed,runaway,melancholic,good,original,dialogue,independent film,chase,mentor,drinking,fun movie,surveillance,light,weapons,fight scenes,quirky,adaptation,pornography,catastrophe,good music,unlikely friendships,very funny,awesome soundtrack,predictable,life & death,death,life philosophy,foul language,classic car,absurd,addiction,film noir,alter ego,multiple storylines,sacrifice,underrated,sexy,nudity (full frontal - brief),irish accent,fantasy world,creativity,not funny,nudity (topless - brief),islam,pulp,british,prejudice,ensemble cast,childhood,survival,dysfunctional family,transformation,first contact,stereotypes,period piece,too long,california,kidnapping,writers,queer,small town,hotel,family,hospital,directorial debut,prison,brothers,wartime,censorship,road movie,tokyo,new jersey,farce,simple,doctors,dreams,teen movie,best of 2005,graphic novel,stoner movie,80s,alternate history,buddy movie,memory,potential oscar nom,new york city,los angeles,women,wilderness,bollywood,computer animation,trilogy,desert,texas,blindness,1930s,rebellion,lawyer,hunting,unlikeable characters,hip hop,indians,no plot,kick-butt women,divorce,internet,workplace,nudity (rear),robert downey jr,camp,race,prostitution,russian,father daughter relationship,oil,cancer,san francisco,mad scientist,island,goth,atheism,notable nudity,french,snakes,stand-up comedy,homeless,australia,adoption,time,documentary,immortality,finnish,radio,god,interracial romance,wine,made for tv,ghosts/afterlife,reality tv,remake,shopping,fashion,too short,single father
Heat (1995),0.8807499999999999,0.9425,0.9425,0.97975,0.9425,0.9185,0.8545,0.8775,0.9425,0.8460000000000001,0.8507499999999999,0.768,0.93025,0.79325,0.768,0.7415,0.76475,0.5715,0.93025,0.93025,0.3675,0.3465,0.379,0.43425,0.4054999999999999,0.34125,0.31825,0.6255,0.377,0.4097499999999999,0.2115,0.47175,0.4265,0.36575,0.1564999999999999,0.24775,0.2564999999999999,0.38875,0.5175,0.3515,0.4157499999999999,0.2415,0.289,0.30625,0.25525,0.22075,0.35975,0.2314999999999999,0.16675,0.20575,0.2035,0.201,0.7645,0.148,0.1332499999999999,0.2847499999999999,0.268,0.17425,0.1535,0.132,0.72375,0.26075,0.14525,0.18525,0.1932499999999999,0.0974999999999999,0.237,0.14225,0.19,0.1405,0.16025,0.1589999999999999,0.10075,0.0875,0.12,0.12225,0.1569999999999999,0.0712499999999999,0.173,0.15625,0.10625,0.1019999999999999,0.152,0.0944999999999999,0.1144999999999999,0.1129999999999999,0.1257499999999999,0.207,0.1014999999999999,0.173,0.1215,0.8374999999999999,0.10475,0.11925,0.0855,0.1144999999999999,0.1252499999999999,0.04775,0.0792499999999999,0.1317499999999999,0.0722499999999999,0.0827499999999999,0.11875,0.1725,0.14425,0.09625,0.09175,0.11675,0.06,0.18725,0.118,0.14225,0.1327499999999999,0.237,0.0847499999999999,0.08625,0.0662499999999999,0.0765,0.05675,0.0662499999999999,0.10225,0.14675,0.0627499999999999,0.09225,0.06025,0.074,0.1029999999999999,0.05775,0.085,0.082,0.06225,0.04875,0.0697499999999999,0.077,0.02975,0.04125,0.03175,0.04275,0.04125,0.0735,0.0775,0.06125,0.03525,0.06125,0.0364999999999999,0.091,0.024,0.04375,0.0334999999999999
Casino (1995),0.999,0.93575,0.96475,0.98125,0.94475,0.93575,0.96475,0.9305,0.94475,0.7985,0.90925,0.7682500000000001,0.6795,0.74775,0.593,0.7577499999999999,0.4085,0.72575,0.7577499999999999,0.7577499999999999,0.594,0.72925,0.4875,0.472,0.7682500000000001,0.45475,0.36975,0.7682500000000001,0.283,0.3035,0.23225,0.3239999999999999,0.72425,0.37925,0.17925,0.688,0.24875,0.473,0.43325,0.2199999999999999,0.59575,0.39425,0.25425,0.437,0.26575,0.17975,0.3685,0.64125,0.25975,0.4972499999999999,0.16025,0.25975,0.4912499999999999,0.152,0.0954999999999999,0.1952499999999999,0.2244999999999999,0.204,0.12125,0.17275,0.7597499999999999,0.28,0.09175,0.1387499999999999,0.1629999999999999,0.22875,0.35775,0.1074999999999999,0.12275,0.1265,0.1327499999999999,0.1689999999999999,0.1272499999999999,0.201,0.1159999999999999,0.1475,0.32425,0.0825,0.1004999999999999,0.1564999999999999,0.10325,0.0994999999999999,0.09475,0.10125,0.14325,0.4385,0.20975,0.275,0.078,0.18425,0.14975,0.154,0.0974999999999999,0.1074999999999999,0.0695,0.1104999999999999,0.11575,0.192,0.1644999999999999,0.1019999999999999,0.14675,0.05375,0.2754999999999999,0.05825,0.3255,0.145,0.0772499999999999,0.04575,0.0632499999999999,0.0832499999999999,0.091,0.0969999999999999,0.2634999999999999,0.1704999999999999,0.0935,0.1089999999999999,0.1034999999999999,0.09575,0.04225,0.1387499999999999,0.15375,0.08725,0.0667499999999999,0.04425,0.0439999999999999,0.0499999999999999,0.1124999999999999,0.0394999999999999,0.082,0.089,0.0414999999999999,0.059,0.0469999999999999,0.05825,0.06175,0.0314999999999999,0.0369999999999999,0.0665,0.04475,0.04825,0.04425,0.0569999999999999,0.0197499999999999,0.0745,0.03475,0.02975,0.0479999999999999,0.0399999999999999,0.0145
Get Shorty (1995),0.69925,0.71425,0.87625,0.798,0.69225,0.79375,0.7769999999999999,0.69375,0.87625,0.8445,0.8187500000000001,0.7769999999999999,0.4925,0.46275,0.3754999999999999,0.8187500000000001,0.2259999999999999,0.7769999999999999,0.8187500000000001,0.8187500000000001,0.7275,0.67825,0.2907499999999999,0.43975,0.2997499999999999,0.33675,0.59175,0.2997499999999999,0.245,0.3239999999999999,0.1945,0.27975,0.2314999999999999,0.2125,0.727,0.3934999999999999,0.1455,0.20575,0.30525,0.1362499999999999,0.3015,0.51125,0.18175,0.346,0.24525,0.3007499999999999,0.20875,0.1594999999999999,0.17825,0.481,0.21475,0.1992499999999999,0.702,0.15075,0.072,0.21125,0.27025,0.2224999999999999,0.3265,0.1277499999999999,0.0735,0.2997499999999999,0.0817499999999999,0.384,0.2937499999999999,0.2534999999999999,0.1982499999999999,0.1327499999999999,0.08975,0.1495,0.093,0.1745,0.0702499999999999,0.33025,0.0795,0.07,0.21275,0.49275,0.0615,0.092,0.10525,0.15975,0.0964999999999999,0.03025,0.11175,0.06025,0.11125,0.2967499999999999,0.0682499999999999,0.0762499999999999,0.066,0.68875,0.1004999999999999,0.0772499999999999,0.0705,0.1972499999999999,0.03325,0.0772499999999999,0.15525,0.0655,0.1684999999999999,0.03975,0.077,0.05875,0.11825,0.0705,0.2339999999999999,0.1619999999999999,0.1402499999999999,0.0514999999999999,0.11125,0.061,0.0632499999999999,0.1345,0.0762499999999999,0.0817499999999999,0.0429999999999999,0.05675,0.05225,0.05975,0.0632499999999999,0.03125,0.09725,0.09075,0.0697499999999999,0.085,0.074,0.03025,0.0885,0.0662499999999999,0.05375,0.05825,0.0707499999999999,0.04525,0.0464999999999999,0.0647499999999999,0.0662499999999999,0.0647499999999999,0.0444999999999999,0.10475,0.0544999999999999,0.079,0.0319999999999999,0.05725,0.023,0.0215,0.0667499999999999,0.0737499999999999,0.03275
Seven (a.k.a. Se7en) (1995),0.96675,0.9755,0.98,0.97075,0.98,0.9755,0.9315,0.92225,0.968,0.97975,0.9755,0.55175,0.67025,0.71975,0.55175,0.587,0.94625,0.57675,0.45475,0.3565,0.66325,0.53075,0.6555,0.46425,0.4237499999999999,0.258,0.50175,0.25225,0.45475,0.2945,0.39575,0.3814999999999999,0.53375,0.373,0.3615,0.28075,0.77525,0.428,0.3269999999999999,0.34275,0.48675,0.4555,0.4307499999999999,0.3329999999999999,0.2975,0.33725,0.3944999999999999,0.1942499999999999,0.15275,0.38175,0.282,0.266,0.1287499999999999,0.15475,0.119,0.199,0.2329999999999999,0.279,0.1957499999999999,0.141,0.1465,0.2445,0.2189999999999999,0.218,0.1942499999999999,0.17075,0.2189999999999999,0.1164999999999999,0.1942499999999999,0.2504999999999999,0.16475,0.15025,0.0825,0.23525,0.11925,0.10775,0.15125,0.1315,0.16575,0.202,0.1952499999999999,0.1089999999999999,0.2165,0.4247499999999999,0.15575,0.07,0.2115,0.3385,0.2857499999999999,0.21575,0.2514999999999999,0.21275,0.09875,0.10675,0.1069999999999999,0.143,0.119,0.0745,0.0735,0.3085,0.0797499999999999,0.24575,0.2425,0.12375,0.073,0.0519999999999999,0.08925,0.0807499999999999,0.0805,0.1009999999999999,0.11425,0.05825,0.0832499999999999,0.09525,0.0725,0.147,0.1614999999999999,0.05225,0.0529999999999999,0.0275,0.0544999999999999,0.123,0.0959999999999999,0.071,0.0969999999999999,0.21325,0.0795,0.05425,0.0665,0.0832499999999999,0.08875,0.06025,0.0529999999999999,0.1352499999999999,0.0454999999999999,0.03325,0.03825,0.0687499999999999,0.151,0.0379999999999999,0.04525,0.0837499999999999,0.06025,0.0735,0.0215,0.029,0.04225,0.04275,0.0275
"Usual Suspects, The (1995)",0.9955,0.9845,0.987,0.9815,0.99875,0.9845,0.98025,0.96875,0.99875,0.98875,0.96875,0.80925,0.8505,0.7435,0.59125,0.8505,0.9015,0.954,0.745,0.745,0.60425,0.594,0.4982499999999999,0.60675,0.556,0.4389999999999999,0.5875,0.4499999999999999,0.53375,0.2907499999999999,0.26525,0.2885,0.82525,0.3794999999999999,0.4519999999999999,0.45625,0.601,0.3455,0.50075,0.3145,0.45225,0.44625,0.4479999999999999,0.589,0.3522499999999999,0.3389999999999999,0.3585,0.2634999999999999,0.3239999999999999,0.26875,0.3824999999999999,0.38175,0.8879999999999999,0.2395,0.31325,0.2674999999999999,0.2634999999999999,0.39375,0.269,0.3129999999999999,0.21425,0.39075,0.32525,0.3319999999999999,0.2274999999999999,0.1654999999999999,0.2987499999999999,0.20825,0.22225,0.24925,0.203,0.188,0.1425,0.15025,0.0732499999999999,0.13,0.22275,0.3552499999999999,0.2534999999999999,0.15825,0.351,0.17275,0.15475,0.03875,0.1755,0.11625,0.262,0.25775,0.40075,0.1917499999999999,0.35675,0.6605,0.0745,0.088,0.427,0.1947499999999999,0.213,0.0822499999999999,0.0642499999999999,0.1589999999999999,0.173,0.1415,0.4235,0.0549999999999999,0.0732499999999999,0.0959999999999999,0.1545,0.3087499999999999,0.0692499999999999,0.0845,0.21175,0.0642499999999999,0.0712499999999999,0.11175,0.068,0.17275,0.04175,0.142,0.10875,0.05025,0.068,0.11825,0.0825,0.08675,0.022,0.1735,0.08,0.0822499999999999,0.0735,0.0757499999999999,0.05775,0.0717499999999999,0.05725,0.4067499999999999,0.0667499999999999,0.03425,0.0354999999999999,0.068,0.09375,0.03775,0.0449999999999999,0.1302499999999999,0.05925,0.0207499999999999,0.0222499999999999,0.03325,0.0514999999999999,0.059,0.0277499999999999
Things to Do in Denver When You're Dead (1995),0.997,0.74375,0.9985,0.94725,0.71525,0.648,0.6625,0.94775,0.71525,0.8287500000000001,0.9985,0.7145,0.55425,0.616,0.656,0.8627499999999999,0.347,0.6625,0.8627499999999999,0.8627499999999999,0.74375,0.26275,0.3047499999999999,0.4985,0.4479999999999999,0.7965,0.2224999999999999,0.4479999999999999,0.344,0.67525,0.41025,0.62225,0.23925,0.3565,0.2194999999999999,0.3225,0.514,0.201,0.5325,0.29125,0.4995,0.248,0.1694999999999999,0.42525,0.3359999999999999,0.17775,0.32275,0.2075,0.077,0.705,0.14,0.09725,0.8302499999999999,0.16275,0.11425,0.15625,0.22525,0.27375,0.176,0.0807499999999999,0.0584999999999999,0.1825,0.1347499999999999,0.281,0.1385,0.2304999999999999,0.25075,0.1352499999999999,0.15175,0.1425,0.20525,0.1084999999999999,0.0775,0.04975,0.1257499999999999,0.09025,0.3315,0.0812499999999999,0.1997499999999999,0.10975,0.1295,0.11475,0.0915,0.05775,0.146,0.0865,0.126,0.1725,0.1345,0.14225,0.1372499999999999,0.11275,0.11825,0.059,0.06,0.1475,0.09125,0.0524999999999999,0.1084999999999999,0.1362499999999999,0.079,0.0275,0.0727499999999999,0.1104999999999999,0.1905,0.1495,0.0817499999999999,0.0969999999999999,0.09525,0.0662499999999999,0.122,0.12325,0.0959999999999999,0.1144999999999999,0.075,0.082,0.0747499999999999,0.0647499999999999,0.025,0.11125,0.1654999999999999,0.0484999999999999,0.075,0.05425,0.0677499999999999,0.0584999999999999,0.074,0.0419999999999999,0.0509999999999999,0.09175,0.0685,0.0459999999999999,0.05425,0.06075,0.0324999999999999,0.24025,0.069,0.121,0.04475,0.0579999999999999,0.04975,0.0579999999999999,0.10325,0.04275,0.03725,0.0925,0.0394999999999999,0.04125,0.023
Taxi Driver (1976),0.8885000000000001,0.9925,0.983,0.973,0.983,0.98175,0.98925,0.9925,0.93,0.8667499999999999,0.98925,0.983,0.4105,0.7629999999999999,0.983,0.53725,0.69625,0.81975,0.60925,0.53725,0.674,0.5235,0.65125,0.4655,0.5695,0.38825,0.37375,0.4772499999999999,0.3642499999999999,0.50925,0.2415,0.62675,0.3055,0.39125,0.4519999999999999,0.5065,0.52625,0.46025,0.2925,0.15125,0.4579999999999999,0.36875,0.4135,0.1865,0.32475,0.29625,0.39925,0.51975,0.517,0.3105,0.26925,0.296,0.2135,0.30925,0.26875,0.22475,0.49075,0.24,0.1709999999999999,0.0855,0.1912499999999999,0.254,0.0772499999999999,0.244,0.2495,0.22125,0.3555,0.0855,0.3522499999999999,0.22225,0.152,0.11775,0.174,0.61125,0.2007499999999999,0.2784999999999999,0.4034999999999999,0.093,0.214,0.26275,0.3764999999999999,0.12375,0.2229999999999999,0.1342499999999999,0.4207499999999999,0.25725,0.09,0.1367499999999999,0.11225,0.22975,0.94425,0.15975,0.207,0.1372499999999999,0.067,0.11675,0.0752499999999999,0.11325,0.10875,0.18125,0.1099999999999999,0.16775,0.061,0.1134999999999999,0.1169999999999999,0.0444999999999999,0.05375,0.04375,0.0647499999999999,0.146,0.0549999999999999,0.372,0.09175,0.10875,0.15425,0.08675,0.8514999999999999,0.04075,0.04225,0.1735,0.0667499999999999,0.126,0.1579999999999999,0.0687499999999999,0.09825,0.127,0.0374999999999999,0.0524999999999999,0.15575,0.09025,0.33175,0.0374999999999999,0.05375,0.0777499999999999,0.0725,0.05425,0.022,0.10175,0.1195,0.05875,0.0379999999999999,0.0464999999999999,0.0449999999999999,0.084,0.0195,0.062,0.0984999999999999,0.03025,0.0187499999999999
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),0.9025,0.94025,0.94025,0.93775,0.94025,0.94025,0.914,0.924,0.93525,0.8812500000000001,0.93775,0.67225,0.94025,0.91075,0.6035,0.815,0.9025,0.5835,0.94025,0.94025,0.60575,0.4257499999999999,0.5895,0.517,0.67225,0.8992500000000001,0.475,0.67225,0.34775,0.52575,0.29025,0.64675,0.51175,0.4569999999999999,0.33025,0.6425,0.2244999999999999,0.7535000000000001,0.39925,0.39375,0.498,0.504,0.287,0.25425,0.294,0.3077499999999999,0.404,0.51625,0.1099999999999999,0.2925,0.2877499999999999,0.28925,0.1009999999999999,0.4835,0.14825,0.5615,0.3712499999999999,0.1877499999999999,0.2405,0.1335,0.1235,0.1392499999999999,0.1024999999999999,0.14825,0.24125,0.1377499999999999,0.27475,0.31375,0.2845,0.263,0.1282499999999999,0.2214999999999999,0.0875,0.23725,0.1064999999999999,0.353,0.27125,0.14825,0.21975,0.1332499999999999,0.11625,0.1927499999999999,0.175,0.177,0.09225,0.17025,0.12325,0.2269999999999999,0.1382499999999999,0.1972499999999999,0.57225,0.0747499999999999,0.33625,0.1287499999999999,0.2405,0.15275,0.12325,0.04525,0.0827499999999999,0.2065,0.05925,0.1049999999999999,0.0389999999999999,0.12375,0.1004999999999999,0.0675,0.0459999999999999,0.079,0.1725,0.11975,0.09675,0.10925,0.1282499999999999,0.0559999999999999,0.10175,0.10275,0.1054999999999999,0.0642499999999999,0.907,0.0717499999999999,0.1689999999999999,0.0735,0.0752499999999999,0.0584999999999999,0.16725,0.0825,0.09275,0.5045,0.1034999999999999,0.0757499999999999,0.1099999999999999,0.0595,0.28825,0.062,0.03925,0.10425,0.03375,0.0277499999999999,0.0404999999999999,0.15275,0.0875,0.0722499999999999,0.03875,0.0605,0.0267499999999999,0.089,0.0499999999999999,0.0732499999999999,0.0775
Pulp Fiction (1994),0.9725,0.9845,0.98325,0.9905,0.98325,0.98325,0.9835,0.9835,0.96075,0.982,0.9835,0.93925,0.766,0.511,0.58675,0.9225,0.479,0.96075,0.9225,0.9225,0.9845,0.44175,0.8975,0.4285,0.87025,0.3017499999999999,0.7115,0.87025,0.655,0.28425,0.1555,0.3045,0.922,0.4992499999999999,0.74825,0.78725,0.5695,0.60775,0.88975,0.12025,0.44425,0.4505,0.3655,0.3105,0.24975,0.392,0.28025,0.31325,0.21675,0.7802500000000001,0.206,0.249,0.8305,0.191,0.093,0.3007499999999999,0.25425,0.1942499999999999,0.1942499999999999,0.10925,0.49875,0.23925,0.1674999999999999,0.38025,0.2504999999999999,0.15725,0.26275,0.068,0.0832499999999999,0.3055,0.1445,0.17975,0.0837499999999999,0.3472499999999999,0.143,0.2249999999999999,0.1277499999999999,0.44725,0.139,0.079,0.1589999999999999,0.11925,0.1947499999999999,0.34575,0.366,0.0964999999999999,0.1912499999999999,0.22975,0.152,0.18375,0.0554999999999999,0.3794999999999999,0.0817499999999999,0.11725,0.16775,0.0984999999999999,0.1589999999999999,0.131,0.1569999999999999,0.11525,0.0712499999999999,0.1034999999999999,0.069,0.0444999999999999,0.1604999999999999,0.1054999999999999,0.1805,0.14125,0.174,0.05075,0.0825,0.0725,0.0682499999999999,0.1335,0.0712499999999999,0.085,0.03,0.05625,0.0419999999999999,0.04025,0.0802499999999999,0.0295,0.0529999999999999,0.0404999999999999,0.05025,0.10075,0.0645,0.0394999999999999,0.12125,0.08875,0.0255,0.0785,0.0394999999999999,0.12225,0.0479999999999999,0.04525,0.03475,0.0349999999999999,0.1725,0.0359999999999999,0.0374999999999999,0.05575,0.0145,0.04225,0.013,0.0205,0.03125,0.0285,0.0095
"Shawshank Redemption, The (1994)",0.949,0.98425,0.98425,0.8267500000000001,0.98425,0.98425,0.9735,0.9735,0.9695,0.9495,0.9735,0.9025,0.6775,0.8765000000000001,0.7847500000000001,0.72275,0.65275,0.87775,0.6775,0.6775,0.27725,0.9215,0.2975,0.7562500000000001,0.70975,0.94425,0.628,0.70975,0.492,0.8242499999999999,0.26975,0.70675,0.66525,0.52525,0.141,0.32075,0.2845,0.294,0.26975,0.7862499999999999,0.43825,0.18725,0.5785,0.21025,0.2714999999999999,0.32475,0.38,0.23325,0.873,0.207,0.3225,0.7862499999999999,0.2155,0.56125,0.65675,0.2915,0.40425,0.3984999999999999,0.2664999999999999,0.4825,0.6375,0.138,0.08,0.27325,0.26,0.2274999999999999,0.11275,0.21175,0.303,0.4185,0.97225,0.2714999999999999,0.28625,0.1332499999999999,0.255,0.1564999999999999,0.189,0.214,0.4485,0.25575,0.601,0.2259999999999999,0.14825,0.0682499999999999,0.27125,0.1555,0.33825,0.245,0.30725,0.12475,0.089,0.0745,0.0944999999999999,0.1287499999999999,0.4922499999999999,0.2209999999999999,0.278,0.08675,0.0765,0.2007499999999999,0.2345,0.33225,0.1397499999999999,0.0797499999999999,0.0242499999999999,0.083,0.248,0.05825,0.0187499999999999,0.06225,0.1644999999999999,0.0772499999999999,0.03725,0.0772499999999999,0.06125,0.2987499999999999,0.0459999999999999,0.15225,0.1054999999999999,0.0444999999999999,0.27675,0.0935,0.1352499999999999,0.1327499999999999,0.0324999999999999,0.2055,0.03325,0.05225,0.1287499999999999,0.1272499999999999,0.153,0.08925,0.0637499999999999,0.49075,0.0479999999999999,0.1545,0.0549999999999999,0.195,0.135,0.0454999999999999,0.0349999999999999,0.154,0.088,0.0344999999999999,0.0227499999999999,0.04275,0.0252499999999999,0.1475,0.04275
