movieId,betrayal,runaway,islam,independent film,culture clash,mentor,good,drama,weird,original,period piece,prejudice,greed,catastrophe,melancholic,sacrifice,vengeance,adaptation,dialogue,drinking,predictable,light,life philosophy,life & death,transformation,atheism,fight scenes,first contact,unlikely friendships,chase,not funny,god,wartime,pornography,fantasy world,family,british,death,fun movie,surveillance,indians,very funny,weapons,childhood,nudity (full frontal - brief),women,irish accent,teen movie,doctors,creativity,underrated,survival,dysfunctional family,quirky,censorship,stereotypes,hospital,writers,rebellion,alternate history,1930s,bollywood,classic car,queer,too long,good music,race,computer animation,new jersey,california,absurd,sexy,brothers,alter ego,small town,blindness,internet,multiple storylines,interracial romance,immortality,prison,memory,simple,pulp,made for tv,adoption,lawyer,film noir,island,divorce,road movie,dreams,notable nudity,wilderness,nudity (topless - brief),texas,camp,mad scientist,cancer,hotel,awesome soundtrack,foul language,desert,nudity (rear),farce,addiction,stand-up comedy,radio,australia,russian,tokyo,ensemble cast,workplace,single father,directorial debut,80s,father daughter relationship,hip hop,kidnapping,stoner movie,san francisco,time,oil,new york city,best of 2005,robert downey jr,too short,documentary,potential oscar nom,homeless,finnish,french,remake,hunting,ghosts/afterlife,fashion,graphic novel,reality tv,kick-butt women,wine,snakes,prostitution,trilogy,no plot,los angeles,goth,buddy movie,unlikeable characters,shopping
Nixon (1995),0.81325,0.77475,0.974,0.81175,0.81325,0.951,0.7445,0.7795000000000001,0.69575,0.716,0.606,0.8414999999999999,0.81325,0.46225,0.54425,0.3315,0.43775,0.3315,0.428,0.632,0.24775,0.33225,0.303,0.4147499999999999,0.3685,0.1282499999999999,0.16025,0.257,0.203,0.2465,0.38,0.121,0.275,0.57,0.3115,0.196,0.15675,0.37275,0.177,0.7445,0.1342499999999999,0.23625,0.24625,0.36375,0.27925,0.18575,0.1902499999999999,0.11325,0.287,0.1445,0.3914999999999999,0.09175,0.179,0.217,0.57,0.09425,0.1614999999999999,0.124,0.086,0.15025,0.1455,0.1307499999999999,0.261,0.15525,0.52775,0.10825,0.1917499999999999,0.1307499999999999,0.1965,0.67275,0.27125,0.156,0.23925,0.74325,0.11625,0.15675,0.09975,0.1664999999999999,0.10125,0.0444999999999999,0.0984999999999999,0.193,0.09925,0.14525,0.1609999999999999,0.1164999999999999,0.2027499999999999,0.236,0.084,0.0807499999999999,0.17025,0.1252499999999999,0.0885,0.1089999999999999,0.09725,0.307,0.11125,0.16725,0.2175,0.1415,0.10825,0.29025,0.0652499999999999,0.09675,0.0772499999999999,0.17425,0.10275,0.21,0.05075,0.05775,0.09725,0.22025,0.0969999999999999,0.0282499999999999,0.0717499999999999,0.1892499999999999,0.0579999999999999,0.0665,0.05725,0.1317499999999999,0.0615,0.1305,0.288,0.0832499999999999,0.0715,0.2204999999999999,0.0564999999999999,0.09925,0.1064999999999999,0.0969999999999999,0.0212499999999999,0.0344999999999999,0.03625,0.15275,0.05075,0.074,0.08825,0.0499999999999999,0.0775,0.0314999999999999,0.1405,0.04625,0.0459999999999999,0.03975,0.0875,0.03575,0.09725,0.0554999999999999,0.02975
Restoration (1995),0.94325,0.80525,0.80525,0.94325,0.7425,0.63175,0.7602500000000001,0.63175,0.64425,0.71475,0.97075,0.3475,0.53475,0.491,0.54375,0.37275,0.374,0.59325,0.43725,0.39725,0.432,0.687,0.4965,0.4034999999999999,0.5245,0.16025,0.28325,0.432,0.3685,0.5775,0.34025,0.0675,0.172,0.2604999999999999,0.3425,0.1709999999999999,0.967,0.24975,0.3642499999999999,0.33525,0.15825,0.237,0.21425,0.22475,0.18525,0.3429999999999999,0.9465,0.16225,0.713,0.2955,0.2907499999999999,0.2877499999999999,0.128,0.2075,0.0725,0.1555,0.41225,0.1624999999999999,0.2985,0.3289999999999999,0.31,0.0672499999999999,0.1629999999999999,0.1599999999999999,0.14975,0.136,0.145,0.1699999999999999,0.12275,0.124,0.182,0.24,0.0822499999999999,0.21625,0.1589999999999999,0.17875,0.09,0.1445,0.1252499999999999,0.2564999999999999,0.089,0.181,0.1912499999999999,0.20575,0.1044999999999999,0.0762499999999999,0.0504999999999999,0.09425,0.22925,0.21075,0.0989999999999999,0.24325,0.24775,0.1059999999999999,0.28075,0.0519999999999999,0.15875,0.32325,0.10475,0.18025,0.136,0.05975,0.091,0.17975,0.25775,0.0675,0.0695,0.119,0.09375,0.121,0.1024999999999999,0.0735,0.08,0.0549999999999999,0.0802499999999999,0.0722499999999999,0.0772499999999999,0.0419999999999999,0.05975,0.0827499999999999,0.08725,0.1945,0.1114999999999999,0.0765,0.0564999999999999,0.965,0.06125,0.0285,0.04925,0.0735,0.03275,0.03775,0.0394999999999999,0.05675,0.26275,0.08625,0.04775,0.03025,0.05025,0.3255,0.1064999999999999,0.0584999999999999,0.0499999999999999,0.063,0.0319999999999999,0.0469999999999999,0.1425,0.067,0.0662499999999999
Rob Roy (1995),0.8480000000000001,0.76525,0.5745,0.8480000000000001,0.8527499999999999,0.76525,0.7685,0.7685,0.7685,0.6595,0.8480000000000001,0.76525,0.65875,0.476,0.658,0.76525,0.7657499999999999,0.3379999999999999,0.658,0.658,0.295,0.45725,0.26775,0.15625,0.29,0.082,0.52075,0.1997499999999999,0.1885,0.50275,0.356,0.0835,0.1634999999999999,0.7075,0.66275,0.30725,0.469,0.2664999999999999,0.3205,0.2125,0.305,0.24125,0.50275,0.1569999999999999,0.3512499999999999,0.1307499999999999,0.794,0.12475,0.16625,0.11925,0.33325,0.146,0.151,0.155,0.09275,0.16525,0.08,0.14325,0.2145,0.2075,0.1709999999999999,0.076,0.20325,0.205,0.22325,0.2289999999999999,0.0969999999999999,0.12225,0.0885,0.1169999999999999,0.0747499999999999,0.27025,0.15425,0.1619999999999999,0.156,0.187,0.09425,0.15075,0.1365,0.11375,0.08875,0.0677499999999999,0.1505,0.1882499999999999,0.072,0.06125,0.15175,0.0832499999999999,0.1064999999999999,0.05875,0.089,0.04575,0.134,0.12325,0.17675,0.11625,0.064,0.1024999999999999,0.09425,0.08,0.1382499999999999,0.0895,0.15225,0.126,0.05425,0.072,0.082,0.03125,0.088,0.0865,0.0657499999999999,0.04825,0.0449999999999999,0.0494999999999999,0.059,0.0915,0.0262499999999999,0.05325,0.0989999999999999,0.077,0.0647499999999999,0.04375,0.08725,0.0534999999999999,0.03975,0.0647499999999999,0.0717499999999999,0.0272499999999999,0.0584999999999999,0.1195,0.0212499999999999,0.0329999999999999,0.07,0.17625,0.0795,0.0685,0.14875,0.0359999999999999,0.10475,0.0554999999999999,0.24975,0.06,0.06175,0.0722499999999999,0.0414999999999999,0.1599999999999999,0.04475,0.0454999999999999,0.0334999999999999
Beyond Rangoon (1995),0.486,0.60975,0.90525,0.60975,0.5305,0.60175,0.5305,0.5305,0.5305,0.63575,0.484,0.60175,0.5305,0.53025,0.363,0.671,0.5045,0.24025,0.3675,0.5305,0.39825,0.471,0.3145,0.3229999999999999,0.36575,0.1937499999999999,0.216,0.39825,0.29525,0.3299999999999999,0.3662499999999999,0.1154999999999999,0.10775,0.2574999999999999,0.22475,0.1629999999999999,0.1335,0.20875,0.133,0.0979999999999999,0.61225,0.2435,0.2239999999999999,0.1089999999999999,0.2887499999999999,0.2289999999999999,0.27975,0.17775,0.33775,0.129,0.33125,0.3482499999999999,0.1392499999999999,0.1624999999999999,0.083,0.1425,0.22675,0.11925,0.12225,0.1292499999999999,0.0807499999999999,0.1019999999999999,0.141,0.122,0.09425,0.148,0.17975,0.17075,0.14675,0.133,0.09225,0.14775,0.12325,0.0815,0.202,0.1584999999999999,0.12175,0.136,0.10225,0.05925,0.118,0.144,0.1525,0.1342499999999999,0.091,0.0954999999999999,0.1109999999999999,0.09225,0.0994999999999999,0.0389999999999999,0.14775,0.12425,0.1039999999999999,0.05675,0.1337499999999999,0.1465,0.0805,0.0915,0.3279999999999999,0.18225,0.10125,0.05525,0.1275,0.11975,0.06125,0.04975,0.0605,0.05525,0.11925,0.0782499999999999,0.11475,0.04275,0.04675,0.06225,0.05925,0.0777499999999999,0.04525,0.0939999999999999,0.05775,0.08925,0.0519999999999999,0.0949999999999999,0.05875,0.05375,0.03525,0.0429999999999999,0.068,0.04475,0.05575,0.069,0.04175,0.0379999999999999,0.03475,0.0195,0.0802499999999999,0.0235,0.0324999999999999,0.03075,0.05875,0.0232499999999999,0.0272499999999999,0.0459999999999999,0.0262499999999999,0.0454999999999999,0.0539999999999999,0.0364999999999999,0.0275,0.0364999999999999,0.026
"Prophecy, The (1995)",0.3445,0.4595,0.4832499999999999,0.60675,0.6035,0.50325,0.8300000000000001,0.6035,0.6035,0.74175,0.11225,0.25725,0.544,0.50125,0.40175,0.63475,0.507,0.28725,0.54225,0.14375,0.50125,0.2937499999999999,0.3007499999999999,0.39425,0.353,0.95175,0.3894999999999999,0.50125,0.21625,0.2857499999999999,0.31525,0.96325,0.60675,0.2339999999999999,0.8300000000000001,0.11225,0.123,0.31625,0.387,0.2504999999999999,0.3665,0.2764999999999999,0.42525,0.15925,0.15875,0.122,0.3854999999999999,0.178,0.092,0.16975,0.3844999999999999,0.28725,0.1435,0.32125,0.133,0.2055,0.19,0.20525,0.2294999999999999,0.144,0.1089999999999999,0.0772499999999999,0.1997499999999999,0.1265,0.0822499999999999,0.09375,0.12325,0.14775,0.1955,0.1255,0.27075,0.1765,0.09925,0.255,0.26425,0.176,0.0964999999999999,0.15275,0.0715,0.39225,0.08625,0.09375,0.1175,0.26275,0.1545,0.06025,0.028,0.1014999999999999,0.11125,0.0379999999999999,0.08625,0.0994999999999999,0.05925,0.09775,0.22025,0.0697499999999999,0.20575,0.24475,0.0655,0.10425,0.0974999999999999,0.0647499999999999,0.191,0.1305,0.08775,0.0685,0.0747499999999999,0.1069999999999999,0.069,0.148,0.08775,0.09625,0.0765,0.0232499999999999,0.08725,0.0805,0.0464999999999999,0.0695,0.05825,0.0999999999999999,0.0564999999999999,0.0584999999999999,0.0657499999999999,0.05275,0.1159999999999999,0.1149999999999999,0.0524999999999999,0.0207499999999999,0.04875,0.09025,0.0762499999999999,0.03375,0.0479999999999999,0.0817499999999999,0.09475,0.0324999999999999,0.089,0.026,0.0715,0.0257499999999999,0.1049999999999999,0.03,0.1322499999999999,0.0827499999999999,0.0722499999999999,0.35575,0.0662499999999999,0.0655,0.03725
Jefferson in Paris (1995),0.9095,0.9465,0.97275,0.97275,0.97275,0.56525,0.511,0.4855,0.8069999999999999,0.708,0.9095,0.30025,0.4855,0.4745,0.44425,0.2005,0.3672499999999999,0.3622499999999999,0.44625,0.2339999999999999,0.36475,0.495,0.3605,0.194,0.2504999999999999,0.28625,0.201,0.3129999999999999,0.178,0.2554999999999999,0.39025,0.16375,0.10375,0.54975,0.274,0.47375,0.4579999999999999,0.17475,0.2115,0.11375,0.1049999999999999,0.2714999999999999,0.1942499999999999,0.1694999999999999,0.30825,0.56425,0.1669999999999999,0.174,0.3235,0.2445,0.2209999999999999,0.10075,0.2837499999999999,0.24975,0.22725,0.1302499999999999,0.1345,0.33825,0.66475,0.3429999999999999,0.1624999999999999,0.151,0.23725,0.21225,0.14225,0.1019999999999999,0.142,0.1669999999999999,0.4115,0.1119999999999999,0.132,0.33875,0.0665,0.15675,0.0785,0.11025,0.1795,0.22725,0.25775,0.08,0.08725,0.16775,0.10475,0.1865,0.092,0.15475,0.1745,0.10775,0.1624999999999999,0.18725,0.0745,0.0797499999999999,0.2269999999999999,0.0677499999999999,0.187,0.0444999999999999,0.077,0.17825,0.05325,0.3255,0.067,0.0414999999999999,0.04975,0.1684999999999999,0.1609999999999999,0.06225,0.1059999999999999,0.03475,0.0504999999999999,0.03975,0.2764999999999999,0.06075,0.10875,0.1079999999999999,0.0685,0.0735,0.1564999999999999,0.0812499999999999,0.1402499999999999,0.08775,0.1084999999999999,0.0692499999999999,0.05675,0.0832499999999999,0.0275,0.05125,0.04725,0.066,0.0305,0.0384999999999999,0.0287499999999999,0.41,0.09325,0.0275,0.0454999999999999,0.177,0.025,0.0439999999999999,0.0677499999999999,0.196,0.03725,0.04125,0.0305,0.05375,0.0697499999999999,0.03975,0.0394999999999999,0.0767499999999999,0.04925
"Madness of King George, The (1994)",0.9345,0.93625,0.93625,0.93625,0.89775,0.5515,0.89775,0.89775,0.89775,0.7505,0.968,0.7685,0.57225,0.4852499999999999,0.47675,0.252,0.3592499999999999,0.54,0.4565,0.52475,0.20625,0.5745,0.25775,0.1815,0.2955,0.1332499999999999,0.21475,0.206,0.21325,0.1982499999999999,0.30825,0.1139999999999999,0.27325,0.2644999999999999,0.22125,0.27275,0.95025,0.1255,0.2995,0.15375,0.1382499999999999,0.352,0.14175,0.11925,0.2815,0.12125,0.407,0.1317499999999999,0.7577499999999999,0.20425,0.271,0.0687499999999999,0.4499999999999999,0.786,0.1679999999999999,0.09575,0.2985,0.17775,0.62175,0.16975,0.254,0.211,0.1257499999999999,0.2,0.0792499999999999,0.17675,0.15325,0.142,0.14925,0.24175,0.16425,0.18325,0.28725,0.14725,0.15025,0.3205,0.06,0.18325,0.09875,0.0905,0.09425,0.192,0.04825,0.1114999999999999,0.21525,0.0925,0.0835,0.11175,0.089,0.2704999999999999,0.0737499999999999,0.0895,0.203,0.13,0.123,0.0964999999999999,0.14825,0.2269999999999999,0.064,0.1505,0.1154999999999999,0.08775,0.0324999999999999,0.10225,0.14225,0.08875,0.0782499999999999,0.0692499999999999,0.1564999999999999,0.082,0.0782499999999999,0.3924999999999999,0.0605,0.08,0.091,0.0364999999999999,0.15225,0.04875,0.0707499999999999,0.0762499999999999,0.0404999999999999,0.0652499999999999,0.04575,0.10825,0.21375,0.17425,0.04175,0.0419999999999999,0.081,0.0384999999999999,0.05525,0.0554999999999999,0.0314999999999999,0.03925,0.0569999999999999,0.0685,0.079,0.04775,0.06025,0.04625,0.04975,0.03975,0.027,0.0539999999999999,0.03775,0.04675,0.04775,0.0484999999999999,0.0157499999999999
Murder in the First (1995),0.91875,0.8267500000000001,0.78325,0.78325,0.91875,0.88575,0.90925,0.831,0.831,0.74525,0.42425,0.78325,0.91875,0.5455,0.4845,0.4115,0.8402499999999999,0.389,0.3379999999999999,0.3365,0.282,0.3325,0.4125,0.32425,0.298,0.0812499999999999,0.21275,0.23825,0.61175,0.493,0.38325,0.08,0.1099999999999999,0.78325,0.2534999999999999,0.1372499999999999,0.153,0.4207499999999999,0.34325,0.4419999999999999,0.1425,0.275,0.1997499999999999,0.30725,0.26075,0.1555,0.34025,0.20975,0.1614999999999999,0.15325,0.4145,0.2534999999999999,0.1175,0.144,0.09875,0.2005,0.31275,0.1525,0.1262499999999999,0.18075,0.669,0.1119999999999999,0.23225,0.1312499999999999,0.0825,0.15675,0.20975,0.145,0.22125,0.1995,0.135,0.09425,0.177,0.1957499999999999,0.194,0.1897499999999999,0.2395,0.11225,0.06025,0.08625,0.9355,0.06175,0.11825,0.09275,0.08825,0.0762499999999999,0.94125,0.08975,0.1897499999999999,0.05375,0.0735,0.2435,0.0662499999999999,0.067,0.155,0.0722499999999999,0.065,0.0969999999999999,0.11975,0.0722499999999999,0.0959999999999999,0.134,0.0235,0.0915,0.0665,0.18425,0.0845,0.11525,0.05575,0.1019999999999999,0.06,0.175,0.08,0.0707499999999999,0.1355,0.08625,0.04925,0.0705,0.1825,0.146,0.3722499999999999,0.09375,0.03,0.0732499999999999,0.0399999999999999,0.123,0.0815,0.0275,0.06225,0.09875,0.03775,0.03275,0.074,0.0394999999999999,0.1337499999999999,0.0262499999999999,0.086,0.05825,0.05975,0.03575,0.03325,0.0632499999999999,0.04125,0.0354999999999999,0.03875,0.0384999999999999,0.0775,0.03325,0.0314999999999999
Panther (1995),0.83975,0.8200000000000001,0.823,0.823,0.6775,0.83175,0.60975,0.706,0.75675,0.7865,0.7542500000000001,0.823,0.51775,0.51775,0.37725,0.3055,0.8812500000000001,0.641,0.38975,0.52725,0.45475,0.302,0.41325,0.4455,0.31225,0.39175,0.5765,0.2927499999999999,0.2309999999999999,0.4985,0.3169999999999999,0.2294999999999999,0.34375,0.62475,0.31925,0.32425,0.1907499999999999,0.4815,0.4399999999999999,0.5295,0.119,0.391,0.499,0.1937499999999999,0.4297499999999999,0.37675,0.22775,0.38925,0.09975,0.2,0.1915,0.1992499999999999,0.2185,0.23475,0.551,0.41525,0.2264999999999999,0.305,0.1922499999999999,0.21525,0.0822499999999999,0.304,0.38925,0.25275,0.1024999999999999,0.1392499999999999,0.235,0.1735,0.26425,0.534,0.188,0.1937499999999999,0.09025,0.22475,0.10875,0.22825,0.26825,0.1955,0.15525,0.5515,0.13,0.16375,0.11825,0.15875,0.0235,0.132,0.1372499999999999,0.09625,0.25775,0.09025,0.15675,0.2334999999999999,0.15025,0.0677499999999999,0.4525,0.073,0.1402499999999999,0.0994999999999999,0.073,0.087,0.1392499999999999,0.25225,0.08975,0.23425,0.10575,0.58825,0.10475,0.0637499999999999,0.0772499999999999,0.2229999999999999,0.09075,0.1245,0.11725,0.0474999999999999,0.15575,0.0675,0.0379999999999999,0.43,0.3535,0.1325,0.1357499999999999,0.0625,0.0285,0.0822499999999999,0.0875,0.11725,0.0959999999999999,0.144,0.2435,0.145,0.0489999999999999,0.0324999999999999,0.1545,0.04325,0.118,0.05175,0.2435,0.09175,0.1322499999999999,0.04375,0.04375,0.0479999999999999,0.03925,0.0584999999999999,0.1372499999999999,0.0665,0.10325,0.09775,0.1039999999999999
Quiz Show (1994),0.83325,0.90425,0.38025,0.46475,0.8585,0.8832500000000001,0.8585,0.8585,0.90425,0.768,0.67925,0.38675,0.8174999999999999,0.48175,0.52525,0.22575,0.51825,0.4054999999999999,0.6955,0.46475,0.252,0.44075,0.269,0.3195,0.23775,0.1327499999999999,0.16125,0.18725,0.2135,0.189,0.3552499999999999,0.073,0.5175,0.46325,0.237,0.24075,0.2764999999999999,0.1292499999999999,0.39,0.41325,0.0989999999999999,0.2294999999999999,0.208,0.32875,0.351,0.15725,0.172,0.136,0.2544999999999999,0.235,0.3924999999999999,0.0752499999999999,0.354,0.25675,0.22325,0.20575,0.1282499999999999,0.21475,0.1245,0.1312499999999999,0.1659999999999999,0.11875,0.2022499999999999,0.2734999999999999,0.21425,0.15175,0.20325,0.16725,0.1555,0.26575,0.24325,0.23375,0.2554999999999999,0.18025,0.18125,0.11575,0.1892499999999999,0.15725,0.1119999999999999,0.03775,0.09675,0.16875,0.10125,0.1295,0.2219999999999999,0.128,0.73375,0.1639999999999999,0.0712499999999999,0.077,0.0832499999999999,0.1144999999999999,0.12325,0.1295,0.0939999999999999,0.14425,0.11525,0.1034999999999999,0.05725,0.1455,0.15175,0.2,0.0424999999999999,0.04925,0.0857499999999999,0.176,0.0875,0.3475,0.0895,0.0529999999999999,0.08,0.3505,0.0625,0.0625,0.192,0.0777499999999999,0.12275,0.074,0.031,0.069,0.04975,0.0735,0.0707499999999999,0.09025,0.1352499999999999,0.1377499999999999,0.03725,0.10975,0.1295,0.0479999999999999,0.0215,0.0339999999999999,0.0172499999999999,0.08875,0.0262499999999999,0.0964999999999999,0.05525,0.8445,0.123,0.0885,0.04675,0.04075,0.03375,0.04125,0.0544999999999999,0.0444999999999999,0.05825,0.0722499999999999,0.02
