movieId,first contact,predictable,fight scenes,catastrophe,original,chase,weapons,survival,good,dialogue,weird,mad scientist,mentor,fantasy world,very funny,vengeance,greed,fun movie,surveillance,adaptation,transformation,runaway,light,family,not funny,life philosophy,betrayal,drama,culture clash,melancholic,pulp,camp,sacrifice,teen movie,computer animation,creativity,death,pornography,alter ego,life & death,internet,island,absurd,immortality,quirky,writers,stereotypes,nudity (full frontal - brief),sexy,god,remake,dysfunctional family,underrated,islam,childhood,desert,classic car,memory,doctors,independent film,women,unlikely friendships,multiple storylines,alternate history,california,farce,80s,hospital,snakes,new jersey,no plot,drinking,prejudice,nudity (rear),queer,simple,irish accent,too long,unlikeable characters,trilogy,road movie,race,too short,blindness,notable nudity,small town,atheism,awesome soundtrack,period piece,los angeles,new york city,tokyo,film noir,prison,dreams,indians,british,made for tv,time,wartime,kick-butt women,wilderness,stand-up comedy,hotel,hunting,nudity (topless - brief),san francisco,good music,russian,graphic novel,hip hop,reality tv,radio,shopping,kidnapping,bollywood,ghosts/afterlife,brothers,interracial romance,single father,stoner movie,workplace,ensemble cast,fashion,adoption,divorce,goth,oil,addiction,foul language,rebellion,censorship,finnish,directorial debut,australia,cancer,1930s,buddy movie,homeless,father daughter relationship,robert downey jr,texas,best of 2005,prostitution,wine,potential oscar nom,lawyer,french,documentary
Lawnmower Man 2: Beyond Cyberspace (1996),0.8859999999999999,0.8480000000000001,0.734,0.8314999999999999,0.83575,0.4285,0.4034999999999999,0.8062499999999999,0.46875,0.35075,0.3622499999999999,0.1679999999999999,0.50175,0.6015,0.4589999999999999,0.4215,0.46875,0.2185,0.2229999999999999,0.23425,0.239,0.2224999999999999,0.17575,0.24425,0.3592499999999999,0.3075,0.3442499999999999,0.26225,0.2485,0.2624999999999999,0.2564999999999999,0.2135,0.2524999999999999,0.3195,0.5845,0.1245,0.2319999999999999,0.21825,0.1895,0.11825,0.3315,0.12225,0.11325,0.45125,0.21025,0.206,0.14375,0.309,0.16075,0.69675,0.154,0.1315,0.10925,0.16525,0.14475,0.22975,0.1725,0.3159999999999999,0.17025,0.1644999999999999,0.1252499999999999,0.14075,0.1977499999999999,0.14975,0.0827499999999999,0.269,0.20975,0.087,0.0449999999999999,0.092,0.1987499999999999,0.1305,0.0655,0.15875,0.1564999999999999,0.15425,0.1185,0.209,0.03725,0.2005,0.17125,0.0605,0.04975,0.0595,0.10675,0.0722499999999999,0.1255,0.1995,0.0657499999999999,0.1262499999999999,0.0625,0.0832499999999999,0.12475,0.089,0.0775,0.09375,0.0667499999999999,0.0652499999999999,0.11225,0.0725,0.1302499999999999,0.0454999999999999,0.0852499999999999,0.05825,0.0122499999999999,0.0875,0.04975,0.08625,0.04325,0.09425,0.12475,0.06025,0.0292499999999999,0.06125,0.0489999999999999,0.05925,0.0364999999999999,0.0359999999999999,0.0695,0.0514999999999999,0.064,0.1054999999999999,0.06025,0.03,0.0509999999999999,0.0885,0.0504999999999999,0.0549999999999999,0.0625,0.0389999999999999,0.0655,0.05575,0.03625,0.0564999999999999,0.0319999999999999,0.04425,0.04875,0.0232499999999999,0.26075,0.031,0.03675,0.03775,0.0207499999999999,0.0359999999999999,0.05975,0.0247499999999999,0.0255,0.04025,0.0147499999999999
Screamers (1995),0.99325,0.6255,0.8162499999999999,0.9345,0.7922499999999999,0.4615,0.7075,0.97725,0.64475,0.61675,0.508,0.46175,0.3894999999999999,0.2254999999999999,0.21,0.3675,0.48075,0.2857499999999999,0.61675,0.36,0.3285,0.41325,0.243,0.12175,0.393,0.309,0.2644999999999999,0.3675,0.3675,0.35175,0.17925,0.1505,0.4135,0.1415,0.1402499999999999,0.2875,0.15425,0.2017499999999999,0.122,0.16475,0.18425,0.15,0.17325,0.1465,0.2027499999999999,0.2264999999999999,0.1694999999999999,0.1957499999999999,0.10275,0.128,0.05025,0.16575,0.3117499999999999,0.2045,0.119,0.4065,0.194,0.3017499999999999,0.14575,0.14,0.11175,0.15925,0.1624999999999999,0.1272499999999999,0.121,0.1355,0.1302499999999999,0.129,0.07,0.1094999999999999,0.0579999999999999,0.0974999999999999,0.09275,0.1267499999999999,0.1307499999999999,0.134,0.1352499999999999,0.10975,0.0569999999999999,0.0514999999999999,0.1069999999999999,0.0665,0.218,0.09725,0.078,0.131,0.0524999999999999,0.0722499999999999,0.0842499999999999,0.0595,0.05125,0.14175,0.09725,0.0745,0.152,0.10975,0.0697499999999999,0.062,0.10725,0.2045,0.0549999999999999,0.088,0.0935,0.09975,0.20475,0.176,0.0439999999999999,0.14975,0.0755,0.0394999999999999,0.0725,0.0494999999999999,0.11275,0.03925,0.03375,0.0755,0.05325,0.0797499999999999,0.0554999999999999,0.0354999999999999,0.0745,0.0722499999999999,0.06125,0.04375,0.08725,0.0682499999999999,0.027,0.1069999999999999,0.1034999999999999,0.0314999999999999,0.0845,0.0645,0.062,0.085,0.06025,0.03075,0.064,0.03025,0.09725,0.04675,0.0305,0.04975,0.028,0.04725,0.0314999999999999,0.0295,0.0242499999999999,0.0364999999999999,0.021
Congo (1995),0.806,0.8665,0.8665,0.8665,0.67075,0.79525,0.79525,0.38375,0.47075,0.4555,0.31025,0.566,0.50075,0.3409999999999999,0.7525,0.4087499999999999,0.49275,0.50225,0.2847499999999999,0.977,0.4237499999999999,0.3502499999999999,0.18625,0.32225,0.3545,0.378,0.2694999999999999,0.25975,0.24725,0.252,0.247,0.566,0.254,0.15025,0.1845,0.2784999999999999,0.295,0.1947499999999999,0.2185,0.23575,0.5175,0.3389999999999999,0.3149999999999999,0.0785,0.3934999999999999,0.22625,0.2524999999999999,0.16225,0.129,0.217,0.1245,0.1694999999999999,0.1357499999999999,0.217,0.16475,0.1745,0.1962499999999999,0.09925,0.14575,0.1124999999999999,0.1589999999999999,0.2219999999999999,0.2294999999999999,0.17125,0.184,0.1982499999999999,0.0697499999999999,0.1555,0.61075,0.16825,0.2105,0.14925,0.10275,0.1287499999999999,0.1365,0.11325,0.122,0.15875,0.0534999999999999,0.028,0.0807499999999999,0.09725,0.10275,0.10025,0.064,0.07,0.1357499999999999,0.0574999999999999,0.0677499999999999,0.1609999999999999,0.10575,0.09625,0.0984999999999999,0.0979999999999999,0.08675,0.11975,0.0627499999999999,0.0667499999999999,0.03475,0.077,0.0805,0.15475,0.11225,0.0785,0.06225,0.12075,0.0974999999999999,0.04575,0.0702499999999999,0.0964999999999999,0.0875,0.0429999999999999,0.09525,0.1714999999999999,0.08875,0.09125,0.04825,0.11875,0.1129999999999999,0.03775,0.0707499999999999,0.0765,0.05075,0.10225,0.10075,0.10975,0.04675,0.0574999999999999,0.05575,0.04525,0.0152499999999999,0.0635,0.04875,0.05725,0.03025,0.0667499999999999,0.0429999999999999,0.05325,0.076,0.03,0.03425,0.05325,0.0185,0.04975,0.03575,0.0389999999999999,0.0344999999999999,0.03975,0.0152499999999999
Hackers (1995),0.94925,0.73175,0.87175,0.94925,0.63825,0.5445,0.5445,0.684,0.87175,0.5155,0.5565,0.45975,0.56125,0.38825,0.46025,0.404,0.42225,0.8362499999999999,0.27825,0.30025,0.303,0.35175,0.33325,0.24525,0.36475,0.4137499999999999,0.20575,0.28025,0.28025,0.28325,0.31575,0.45975,0.31775,0.8985000000000001,0.292,0.39925,0.11575,0.2175,0.3532499999999999,0.209,0.953,0.2504999999999999,0.1505,0.0959999999999999,0.2012499999999999,0.1977499999999999,0.4155,0.12225,0.4185,0.1395,0.03875,0.11925,0.22525,0.31775,0.3135,0.11125,0.1895,0.1659999999999999,0.1352499999999999,0.21275,0.1345,0.17725,0.15375,0.16175,0.1629999999999999,0.181,0.22925,0.08875,0.09875,0.1169999999999999,0.214,0.1372499999999999,0.1465,0.093,0.1555,0.1387499999999999,0.20925,0.063,0.2002499999999999,0.0564999999999999,0.0647499999999999,0.15125,0.0605,0.1049999999999999,0.1104999999999999,0.1109999999999999,0.1684999999999999,0.96825,0.059,0.0559999999999999,0.2544999999999999,0.076,0.0822499999999999,0.0865,0.1049999999999999,0.07,0.1034999999999999,0.0755,0.0732499999999999,0.05275,0.0939999999999999,0.075,0.0787499999999999,0.08,0.0185,0.39175,0.0564999999999999,0.47375,0.0615,0.1639999999999999,0.134,0.069,0.1342499999999999,0.087,0.0275,0.073,0.027,0.0672499999999999,0.11675,0.0305,0.09675,0.1009999999999999,0.0534999999999999,0.1917499999999999,0.0474999999999999,0.0765,0.256,0.2937499999999999,0.04875,0.0675,0.0479999999999999,0.0827499999999999,0.03175,0.0812499999999999,0.0647499999999999,0.03675,0.03925,0.03425,0.0369999999999999,0.0344999999999999,0.08675,0.03675,0.0554999999999999,0.0185,0.0287499999999999,0.03175,0.0257499999999999,0.03,0.03825
Johnny Mnemonic (1995),0.996,0.8540000000000001,0.7695000000000001,0.98925,0.8007500000000001,0.60125,0.60125,0.9995,0.54425,0.55925,0.79325,0.3105,0.4665,0.34175,0.39425,0.394,0.71875,0.1997499999999999,0.3245,0.4742499999999999,0.3452499999999999,0.3185,0.185,0.152,0.38075,0.34475,0.32525,0.3185,0.4054999999999999,0.4054999999999999,0.43925,0.1704999999999999,0.24025,0.137,0.28,0.471,0.22725,0.27325,0.17225,0.2244999999999999,0.88975,0.10825,0.2815,0.3672499999999999,0.2465,0.26275,0.1335,0.14075,0.21675,0.39275,0.0802499999999999,0.18075,0.23025,0.1634999999999999,0.25575,0.1275,0.18525,0.87975,0.1795,0.173,0.1144999999999999,0.1395,0.1372499999999999,0.14375,0.1014999999999999,0.138,0.1064999999999999,0.1029999999999999,0.04925,0.4225,0.1195,0.1109999999999999,0.0959999999999999,0.193,0.14725,0.12075,0.12325,0.1169999999999999,0.1024999999999999,0.192,0.11975,0.0677499999999999,0.27,0.10775,0.0825,0.068,0.1435,0.08825,0.063,0.0742499999999999,0.0605,0.176,0.1609999999999999,0.0807499999999999,0.082,0.059,0.072,0.0875,0.15125,0.05675,0.0949999999999999,0.0514999999999999,0.08725,0.11925,0.04575,0.1109999999999999,0.0469999999999999,0.1327499999999999,0.0554999999999999,0.298,0.0969999999999999,0.0735,0.0449999999999999,0.083,0.0429999999999999,0.0722499999999999,0.03775,0.05875,0.076,0.04025,0.0852499999999999,0.1564999999999999,0.04025,0.0625,0.04625,0.05675,0.03725,0.0637499999999999,0.0792499999999999,0.1649999999999999,0.21575,0.0852499999999999,0.05375,0.0805,0.0374999999999999,0.05075,0.0439999999999999,0.028,0.0429999999999999,0.03775,0.0569999999999999,0.0364999999999999,0.04175,0.04375,0.0295,0.03575,0.0202499999999999,0.0354999999999999,0.0197499999999999
Species (1995),0.95975,0.8394999999999999,0.88375,0.8394999999999999,0.6865,0.8400000000000001,0.69675,0.64525,0.4885,0.57175,0.54175,0.7555000000000001,0.4619999999999999,0.3512499999999999,0.76525,0.53725,0.54175,0.73575,0.472,0.25425,0.74975,0.61825,0.51275,0.2574999999999999,0.3165,0.32625,0.25,0.38,0.421,0.421,0.3249999999999999,0.60025,0.368,0.1977499999999999,0.1785,0.33725,0.38825,0.72475,0.2289999999999999,0.21275,0.38675,0.401,0.302,0.43025,0.2455,0.15175,0.203,0.28525,0.72475,0.23325,0.084,0.16625,0.2065,0.1124999999999999,0.1495,0.3804999999999999,0.20425,0.2209999999999999,0.5865,0.17375,0.2594999999999999,0.149,0.1995,0.2224999999999999,0.4439999999999999,0.1362499999999999,0.22175,0.23225,0.23925,0.1335,0.175,0.17225,0.10525,0.246,0.1372499999999999,0.1902499999999999,0.118,0.11875,0.0752499999999999,0.0275,0.11075,0.2299999999999999,0.09475,0.1362499999999999,0.11675,0.09975,0.122,0.0835,0.1034999999999999,0.83725,0.0949999999999999,0.14875,0.10225,0.1114999999999999,0.215,0.10975,0.0817499999999999,0.0852499999999999,0.08825,0.0712499999999999,0.09725,0.1245,0.0837499999999999,0.22975,0.5125,0.22775,0.1322499999999999,0.06,0.0657499999999999,0.0667499999999999,0.086,0.0484999999999999,0.3565,0.23425,0.0885,0.06175,0.05775,0.0767499999999999,0.1295,0.05125,0.0762499999999999,0.1327499999999999,0.18625,0.08,0.0832499999999999,0.14875,0.04325,0.2395,0.05375,0.0825,0.0282499999999999,0.12025,0.03925,0.0737499999999999,0.04475,0.0625,0.0715,0.0564999999999999,0.0489999999999999,0.03625,0.04975,0.04575,0.03025,0.0579999999999999,0.0519999999999999,0.03625,0.03,0.0334999999999999,0.02
Star Trek: Generations (1994),0.96375,0.96625,0.74825,0.704,0.746,0.531,0.42125,0.64575,0.677,0.38525,0.3405,0.39525,0.59225,0.2734999999999999,0.26925,0.3794999999999999,0.372,0.4469999999999999,0.4469999999999999,0.1897499999999999,0.3462499999999999,0.58025,0.3295,0.33725,0.3502499999999999,0.3129999999999999,0.3087499999999999,0.58025,0.58025,0.3405,0.1965,0.11175,0.7175,0.284,0.20475,0.311,0.8832500000000001,0.16825,0.2817499999999999,0.39925,0.1475,0.127,0.1815,0.746,0.1957499999999999,0.3065,0.10675,0.1362499999999999,0.083,0.0635,0.03825,0.3077499999999999,0.276,0.1317499999999999,0.34125,0.308,0.1372499999999999,0.23575,0.3442499999999999,0.25325,0.118,0.309,0.1649999999999999,0.1609999999999999,0.08975,0.0812499999999999,0.138,0.26725,0.0399999999999999,0.0802499999999999,0.17525,0.131,0.122,0.0944999999999999,0.1245,0.091,0.12375,0.1285,0.03875,0.3635,0.0835,0.1164999999999999,0.129,0.0837499999999999,0.0449999999999999,0.071,0.05925,0.11075,0.1317499999999999,0.0262499999999999,0.0369999999999999,0.1614999999999999,0.089,0.0737499999999999,0.151,0.0825,0.1114999999999999,0.31475,0.49875,0.069,0.04975,0.03175,0.068,0.1292499999999999,0.03525,0.05425,0.16125,0.25125,0.0852499999999999,0.0195,0.0504999999999999,0.11425,0.1034999999999999,0.09075,0.059,0.05625,0.1684999999999999,0.0514999999999999,0.0795,0.0682499999999999,0.073,0.05775,0.132,0.0242499999999999,0.076,0.0852499999999999,0.02975,0.09575,0.1555,0.03825,0.132,0.0645,0.0369999999999999,0.0569999999999999,0.05375,0.1694999999999999,0.0434999999999999,0.0329999999999999,0.03325,0.04775,0.03875,0.0389999999999999,0.02975,0.03125,0.0434999999999999,0.026,0.04225,0.0282499999999999,0.0195
Virtuosity (1995),0.98075,0.776,0.8187500000000001,0.95975,0.68225,0.8867499999999999,0.8134999999999999,0.98075,0.6085,0.3864999999999999,0.3695,0.356,0.4952499999999999,0.5,0.61525,0.56575,0.38425,0.669,0.29425,0.254,0.4715,0.46025,0.2395,0.21275,0.32625,0.3159999999999999,0.38825,0.276,0.3695,0.3695,0.3249999999999999,0.28625,0.1892499999999999,0.11975,0.1624999999999999,0.389,0.27425,0.602,0.96125,0.1579999999999999,0.70875,0.15675,0.27125,0.1935,0.1815,0.17425,0.12125,0.1405,0.35375,0.0875,0.1114999999999999,0.15125,0.1917499999999999,0.10025,0.1614999999999999,0.10825,0.2035,0.26775,0.2002499999999999,0.14,0.2035,0.1405,0.129,0.15775,0.1714999999999999,0.1089999999999999,0.10275,0.15875,0.2594999999999999,0.1069999999999999,0.30525,0.1039999999999999,0.092,0.1402499999999999,0.15875,0.0727499999999999,0.14575,0.074,0.0544999999999999,0.0349999999999999,0.0802499999999999,0.0605,0.09025,0.1455,0.0742499999999999,0.083,0.1114999999999999,0.11075,0.0682499999999999,0.414,0.076,0.066,0.093,0.284,0.0935,0.0715,0.0702499999999999,0.0722499999999999,0.08725,0.05525,0.11625,0.0419999999999999,0.076,0.09,0.1845,0.17475,0.1272499999999999,0.066,0.0672499999999999,0.09,0.077,0.1114999999999999,0.0715,0.10175,0.307,0.076,0.0409999999999999,0.0514999999999999,0.1019999999999999,0.0579999999999999,0.0647499999999999,0.156,0.03825,0.10825,0.05625,0.11725,0.04025,0.0755,0.078,0.04175,0.03275,0.14625,0.0282499999999999,0.0637499999999999,0.10575,0.0384999999999999,0.0434999999999999,0.0662499999999999,0.0414999999999999,0.0439999999999999,0.0795,0.04375,0.023,0.03875,0.0389999999999999,0.02975,0.0267499999999999,0.0275,0.0185
Timecop (1994),0.98325,0.931,0.9665,0.8294999999999999,0.69775,0.9665,0.963,0.98325,0.6245,0.4335,0.26725,0.39225,0.58475,0.3239999999999999,0.34375,0.4034999999999999,0.4345,0.7625,0.42825,0.27775,0.4135,0.34175,0.28075,0.3934999999999999,0.3249999999999999,0.31225,0.38275,0.354,0.26725,0.2365,0.6415,0.19,0.25825,0.20925,0.154,0.38475,0.3914999999999999,0.3662499999999999,0.26225,0.27675,0.3169999999999999,0.2,0.2025,0.289,0.172,0.22775,0.16975,0.41225,0.42725,0.0464999999999999,0.0915,0.1589999999999999,0.16025,0.09575,0.24275,0.1307499999999999,0.14075,0.495,0.21125,0.1307499999999999,0.178,0.179,0.1485,0.15775,0.14225,0.1159999999999999,0.43975,0.1935,0.1307499999999999,0.11175,0.1684999999999999,0.1322499999999999,0.1124999999999999,0.45975,0.14725,0.22075,0.09075,0.06075,0.05275,0.2219999999999999,0.0687499999999999,0.10475,0.1915,0.1285,0.2534999999999999,0.0797499999999999,0.06025,0.127,0.08775,0.11375,0.0797499999999999,0.0737499999999999,0.10725,0.1044999999999999,0.081,0.085,0.0657499999999999,0.0424999999999999,0.518,0.05975,0.22725,0.0444999999999999,0.1014999999999999,0.08825,0.0682499999999999,0.07,0.11925,0.0817499999999999,0.0755,0.03175,0.10225,0.06125,0.0735,0.18175,0.147,0.0692499999999999,0.236,0.04775,0.11125,0.0675,0.0815,0.077,0.05725,0.156,0.0692499999999999,0.125,0.0265,0.0489999999999999,0.0822499999999999,0.09225,0.05575,0.1865,0.0222499999999999,0.0595,0.0429999999999999,0.03825,0.1277499999999999,0.15825,0.03175,0.03825,0.0579999999999999,0.04025,0.0329999999999999,0.04325,0.0222499999999999,0.0404999999999999,0.0429999999999999,0.0379999999999999,0.0185
Body Snatchers (1993),0.7577499999999999,0.4379999999999999,0.68825,0.47675,0.731,0.3542499999999999,0.4669999999999999,0.1659999999999999,0.4922499999999999,0.71925,0.392,0.6315,0.43975,0.184,0.237,0.4155,0.4792499999999999,0.268,0.71925,0.6325,0.66025,0.37875,0.37875,0.3662499999999999,0.3632499999999999,0.2877499999999999,0.3745,0.3299999999999999,0.3339999999999999,0.3512499999999999,0.14925,0.267,0.247,0.31375,0.142,0.2544999999999999,0.16425,0.364,0.1347499999999999,0.18075,0.09175,0.1545,0.20625,0.1435,0.1955,0.1962499999999999,0.1235,0.382,0.364,0.1515,0.95025,0.25775,0.2264999999999999,0.1594999999999999,0.1235,0.1925,0.1684999999999999,0.1069999999999999,0.30225,0.284,0.15725,0.177,0.1725,0.1257499999999999,0.2875,0.12375,0.0855,0.23225,0.2445,0.1089999999999999,0.0935,0.1395,0.1825,0.212,0.1245,0.0632499999999999,0.1084999999999999,0.0845,0.091,0.0212499999999999,0.08725,0.1267499999999999,0.0827499999999999,0.11875,0.11325,0.2754999999999999,0.0944999999999999,0.0549999999999999,0.1074999999999999,0.04625,0.0514999999999999,0.1927499999999999,0.17725,0.0777499999999999,0.0842499999999999,0.0925,0.0832499999999999,0.0787499999999999,0.05675,0.0569999999999999,0.0667499999999999,0.0949999999999999,0.1159999999999999,0.08925,0.08675,0.23525,0.351,0.09025,0.05875,0.04975,0.062,0.0235,0.04625,0.0262499999999999,0.0484999999999999,0.086,0.0469999999999999,0.0732499999999999,0.134,0.0647499999999999,0.0807499999999999,0.05725,0.0707499999999999,0.05275,0.081,0.06075,0.05125,0.0807499999999999,0.1287499999999999,0.04925,0.1624999999999999,0.1049999999999999,0.0215,0.0752499999999999,0.03375,0.0369999999999999,0.0677499999999999,0.03375,0.0287499999999999,0.0812499999999999,0.0429999999999999,0.065,0.05575,0.0454999999999999,0.0374999999999999,0.0459999999999999,0.03225,0.0282499999999999,0.0324999999999999
