movieId,melancholic,weird,culture clash,runaway,independent film,original,greed,drama,good,drinking,betrayal,mentor,dialogue,unlikely friendships,light,bollywood,catastrophe,life & death,childhood,vengeance,life philosophy,pornography,islam,very funny,fantasy world,adaptation,good music,quirky,not funny,indians,dysfunctional family,creativity,transformation,prejudice,chase,fight scenes,russian,teen movie,death,family,classic car,fun movie,predictable,nudity (full frontal - brief),tokyo,sacrifice,finnish,film noir,wartime,absurd,british,period piece,weapons,queer,computer animation,surveillance,simple,first contact,irish accent,dreams,women,writers,sexy,road movie,small town,multiple storylines,brothers,hospital,1930s,stereotypes,underrated,stand-up comedy,french,farce,awesome soundtrack,hotel,documentary,censorship,memory,interracial romance,divorce,alter ego,too long,doctors,stoner movie,pulp,atheism,new jersey,addiction,blindness,adoption,directorial debut,workplace,wilderness,god,prison,made for tv,hip hop,alternate history,australia,nudity (topless - brief),immortality,wine,father daughter relationship,cancer,california,notable nudity,mad scientist,survival,rebellion,race,island,camp,kick-butt women,texas,internet,homeless,trilogy,hunting,prostitution,desert,no plot,nudity (rear),potential oscar nom,radio,oil,ensemble cast,too short,ghosts/afterlife,80s,best of 2005,fashion,shopping,foul language,single father,new york city,time,kidnapping,lawyer,san francisco,goth,robert downey jr,reality tv,graphic novel,buddy movie,snakes,unlikeable characters,los angeles,remake
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.9195,0.9195,0.859,0.614,0.7842499999999999,0.813,0.7842499999999999,0.54975,0.541,0.63575,0.744,0.46475,0.4479999999999999,0.5365,0.72725,0.14275,0.43325,0.4509999999999999,0.5685,0.54175,0.207,0.3682499999999999,0.4605,0.21975,0.375,0.298,0.14775,0.22825,0.37075,0.1375,0.26275,0.23425,0.28025,0.22675,0.2997499999999999,0.21625,0.09825,0.1987499999999999,0.41425,0.125,0.244,0.152,0.16525,0.1907499999999999,0.408,0.11025,0.0439999999999999,0.20975,0.14475,0.1634999999999999,0.238,0.20875,0.194,0.15875,0.16875,0.3145,0.3512499999999999,0.2219999999999999,0.2274999999999999,0.39975,0.39475,0.1325,0.306,0.24675,0.11325,0.137,0.0954999999999999,0.14225,0.8322499999999999,0.10575,0.18275,0.0845,0.1475,0.0979999999999999,0.11725,0.15225,0.04725,0.11075,0.1634999999999999,0.0895,0.09675,0.10875,0.087,0.187,0.12025,0.1957499999999999,0.04475,0.1287499999999999,0.0615,0.1235,0.15825,0.09275,0.14525,0.09275,0.04375,0.08975,0.0449999999999999,0.0574999999999999,0.11675,0.0815,0.0944999999999999,0.03925,0.1029999999999999,0.16925,0.03825,0.11775,0.14775,0.0925,0.063,0.0994999999999999,0.17925,0.4499999999999999,0.0974999999999999,0.092,0.0857499999999999,0.0662499999999999,0.0262499999999999,0.0627499999999999,0.0419999999999999,0.0762499999999999,0.09975,0.16325,0.1084999999999999,0.0549999999999999,0.03,0.05825,0.03675,0.04425,0.0742499999999999,0.0509999999999999,0.0802499999999999,0.079,0.03,0.0414999999999999,0.03725,0.0414999999999999,0.0742499999999999,0.1134999999999999,0.04625,0.03925,0.0484999999999999,0.0324999999999999,0.0187499999999999,0.0474999999999999,0.0252499999999999,0.0344999999999999,0.0564999999999999,0.03675,0.0142499999999999
"Postman, The (Postino, Il) (1994)",0.936,0.936,0.9645,0.72475,0.6855,0.66675,0.64375,0.74375,0.8887499999999999,0.6855,0.74375,0.8580000000000001,0.6855,0.8007500000000001,0.46725,0.32675,0.44775,0.5985,0.43625,0.274,0.5505,0.2915,0.27925,0.23875,0.33225,0.696,0.14925,0.20325,0.282,0.2835,0.1287499999999999,0.2764999999999999,0.46525,0.2825,0.2209999999999999,0.22375,0.0832499999999999,0.15775,0.372,0.1044999999999999,0.26025,0.1315,0.2135,0.248,0.1855,0.2175,0.04425,0.09025,0.15825,0.149,0.3535,0.49475,0.1342499999999999,0.14775,0.1385,0.22025,0.60975,0.16225,0.18075,0.32875,0.3319999999999999,0.4297499999999999,0.30025,0.14575,0.21825,0.16725,0.155,0.1674999999999999,0.1397499999999999,0.0984999999999999,0.25625,0.087,0.14775,0.0817499999999999,0.1159999999999999,0.1435,0.0742499999999999,0.14975,0.26,0.20375,0.2175,0.0762499999999999,0.11075,0.259,0.0732499999999999,0.10425,0.16775,0.11675,0.05325,0.186,0.081,0.0959999999999999,0.10075,0.1624999999999999,0.0627499999999999,0.091,0.0687499999999999,0.04325,0.10925,0.10625,0.0635,0.2115,0.0989999999999999,0.10975,0.1387499999999999,0.093,0.1574999999999999,0.1004999999999999,0.10175,0.0434999999999999,0.1149999999999999,0.8082499999999999,0.0655,0.0802499999999999,0.04975,0.0885,0.04725,0.04475,0.0827499999999999,0.05375,0.16525,0.132,0.067,0.0685,0.0939999999999999,0.0645,0.0364999999999999,0.03925,0.0725,0.04575,0.0554999999999999,0.05475,0.03525,0.05225,0.028,0.0484999999999999,0.08775,0.04475,0.0285,0.0534999999999999,0.018,0.05725,0.0295,0.03125,0.04025,0.05825,0.03825,0.0195,0.0185
"Confessional, The (Confessionnal, Le) (1995)",0.7669999999999999,0.7415,0.668,0.5775,0.735,0.7725,0.7415,0.654,0.66475,0.735,0.508,0.49075,0.485,0.24525,0.5775,0.51475,0.434,0.2917499999999999,0.26875,0.6545,0.16475,0.33525,0.1302499999999999,0.2012499999999999,0.211,0.35975,0.21975,0.399,0.32425,0.11675,0.405,0.494,0.20675,0.20375,0.16925,0.353,0.28075,0.1215,0.68425,0.17575,0.52,0.10725,0.353,0.33025,0.0989999999999999,0.1185,0.3319999999999999,0.3485,0.12425,0.1579999999999999,0.22125,0.191,0.17875,0.191,0.1907499999999999,0.11425,0.0509999999999999,0.183,0.0865,0.25125,0.17325,0.239,0.20875,0.1049999999999999,0.10675,0.21425,0.64625,0.1639999999999999,0.17675,0.067,0.36775,0.15175,0.18025,0.071,0.0905,0.43525,0.0802499999999999,0.0725,0.087,0.0697499999999999,0.074,0.10375,0.0979999999999999,0.076,0.09975,0.12025,0.0742499999999999,0.1425,0.252,0.08,0.0805,0.1352499999999999,0.08625,0.0707499999999999,0.05175,0.1069999999999999,0.3149999999999999,0.0852499999999999,0.0725,0.147,0.0635,0.06225,0.124,0.188,0.05125,0.0544999999999999,0.0815,0.0642499999999999,0.0712499999999999,0.0637499999999999,0.093,0.03975,0.0802499999999999,0.0797499999999999,0.075,0.0625,0.0364999999999999,0.11075,0.0122499999999999,0.0795,0.03025,0.18375,0.10275,0.0225,0.028,0.122,0.11875,0.0107499999999999,0.0765,0.10525,0.031,0.02975,0.0212499999999999,0.067,0.025,0.04775,0.0257499999999999,0.0762499999999999,0.03375,0.0245,0.04175,0.265,0.0212499999999999,0.0329999999999999,0.0245,0.0192499999999999,0.03425,0.027,0.02975
"White Balloon, The (Badkonake sefid) (1995)",0.747,0.675,0.57075,0.7545,0.747,0.63825,0.7785,0.4459999999999999,0.386,0.3894999999999999,0.3219999999999999,0.48275,0.675,0.4255,0.2925,0.505,0.43975,0.53675,0.98875,0.23275,0.2289999999999999,0.40425,0.2065,0.22325,0.3375,0.24275,0.11625,0.2654999999999999,0.3824999999999999,0.142,0.2209999999999999,0.15725,0.21575,0.35475,0.2544999999999999,0.18325,0.1355,0.45525,0.141,0.98875,0.18625,0.136,0.15075,0.1755,0.26275,0.1029999999999999,0.1795,0.23525,0.1255,0.1689999999999999,0.1465,0.1109999999999999,0.2055,0.17975,0.499,0.124,0.4085,0.177,0.1054999999999999,0.15125,0.1397499999999999,0.1785,0.2145,0.2254999999999999,0.2334999999999999,0.1134999999999999,0.1882499999999999,0.1415,0.076,0.16075,0.152,0.06125,0.0964999999999999,0.0845,0.0707499999999999,0.1405,0.08875,0.1089999999999999,0.06075,0.1185,0.1029999999999999,0.0939999999999999,0.0627499999999999,0.1599999999999999,0.11375,0.10825,0.09475,0.1094999999999999,0.089,0.153,0.2249999999999999,0.21825,0.1094999999999999,0.2,0.05225,0.0782499999999999,0.05625,0.0409999999999999,0.0835,0.1255,0.03575,0.0334999999999999,0.0529999999999999,0.2514999999999999,0.0354999999999999,0.0645,0.1004999999999999,0.09575,0.0712499999999999,0.1377499999999999,0.09225,0.11125,0.1205,0.1962499999999999,0.1564999999999999,0.0647499999999999,0.05625,0.04575,0.0252499999999999,0.1347499999999999,0.04025,0.0935,0.0817499999999999,0.061,0.072,0.05475,0.0429999999999999,0.04375,0.0667499999999999,0.0509999999999999,0.0737499999999999,0.0257499999999999,0.04825,0.0409999999999999,0.1337499999999999,0.0444999999999999,0.0564999999999999,0.172,0.04925,0.0237499999999999,0.03175,0.0277499999999999,0.03475,0.04225,0.0155,0.11075,0.0484999999999999,0.0067499999999999,0.011
"Boys of St. Vincent, The (1992)",0.53475,0.8612500000000001,0.8082499999999999,0.9215,0.5845,0.69975,0.8082499999999999,0.69,0.69,0.5845,0.8082499999999999,0.6195,0.44375,0.3475,0.3239999999999999,0.36575,0.4335,0.69,0.551,0.44125,0.30425,0.7649999999999999,0.11675,0.2574999999999999,0.2145,0.3532499999999999,0.10475,0.25,0.3502499999999999,0.0687499999999999,0.3275,0.2375,0.26375,0.384,0.18625,0.1795,0.0469999999999999,0.25,0.2194999999999999,0.3415,0.12475,0.1395,0.2324999999999999,0.4399999999999999,0.0949999999999999,0.384,0.03425,0.3097499999999999,0.11975,0.2027499999999999,0.26425,0.14725,0.1885,0.34125,0.1475,0.18475,0.0797499999999999,0.1907499999999999,0.25875,0.1054999999999999,0.16925,0.1345,0.2674999999999999,0.0785,0.144,0.0984999999999999,0.58025,0.23625,0.1114999999999999,0.1119999999999999,0.243,0.1327499999999999,0.076,0.0817499999999999,0.0925,0.0745,0.0827499999999999,0.16875,0.12,0.0509999999999999,0.0559999999999999,0.1034999999999999,0.0797499999999999,0.214,0.0974999999999999,0.093,0.2445,0.2007499999999999,0.215,0.09375,0.1654999999999999,0.1084999999999999,0.0737499999999999,0.16975,0.423,0.092,0.38975,0.0697499999999999,0.0757499999999999,0.40475,0.0964999999999999,0.0499999999999999,0.03675,0.1009999999999999,0.04175,0.1397499999999999,0.1599999999999999,0.066,0.09475,0.1669999999999999,0.05025,0.04525,0.1039999999999999,0.0544999999999999,0.14625,0.0459999999999999,0.0645,0.0857499999999999,0.0635,0.0865,0.03875,0.0277499999999999,0.0579999999999999,0.11325,0.03075,0.0354999999999999,0.0579999999999999,0.0449999999999999,0.03925,0.075,0.04625,0.03575,0.017,0.1285,0.10825,0.0702499999999999,0.027,0.1325,0.15125,0.028,0.04025,0.08925,0.1555,0.05525,0.0257499999999999,0.025,0.03625,0.0272499999999999,0.0257499999999999
Burnt by the Sun (Utomlyonnye solntsem) (1994),0.99475,0.733,0.733,0.733,0.99475,0.6285,0.8492500000000001,0.7555000000000001,0.733,0.99475,0.70375,0.40225,0.59975,0.28025,0.4217499999999999,0.31575,0.46225,0.4629999999999999,0.3415,0.5735,0.269,0.271,0.6805,0.22025,0.29825,0.31,0.2249999999999999,0.16675,0.3365,0.09275,0.34575,0.14375,0.3209999999999999,0.294,0.3452499999999999,0.1755,0.96875,0.0802499999999999,0.38875,0.3612499999999999,0.1317499999999999,0.1377499999999999,0.15825,0.344,0.14675,0.3655,0.33225,0.14175,0.28925,0.23075,0.26025,0.4575,0.1962499999999999,0.143,0.1119999999999999,0.3465,0.0795,0.181,0.29625,0.1347499999999999,0.207,0.1302499999999999,0.123,0.17475,0.20525,0.16475,0.11375,0.1594999999999999,0.59175,0.0827499999999999,0.2005,0.1312499999999999,0.1435,0.0569999999999999,0.07,0.1362499999999999,0.087,0.3245,0.15075,0.1014999999999999,0.18525,0.0795,0.3582499999999999,0.1064999999999999,0.06175,0.09825,0.10525,0.11625,0.091,0.16175,0.1619999999999999,0.09275,0.0979999999999999,0.16075,0.08775,0.136,0.0817499999999999,0.04325,0.0695,0.09,0.10625,0.05125,0.08725,0.8302499999999999,0.1129999999999999,0.09375,0.1495,0.0564999999999999,0.2764999999999999,0.10425,0.10175,0.1139999999999999,0.1089999999999999,0.0785,0.09425,0.0647499999999999,0.0765,0.0615,0.151,0.0464999999999999,0.0667499999999999,0.0529999999999999,0.0949999999999999,0.04375,0.0787499999999999,0.256,0.0857499999999999,0.061,0.0329999999999999,0.03475,0.0627499999999999,0.0329999999999999,0.015,0.0369999999999999,0.05625,0.04725,0.071,0.05125,0.0672499999999999,0.0359999999999999,0.0285,0.03225,0.05975,0.026,0.03025,0.0379999999999999,0.0399999999999999,0.021,0.009
Before the Rain (Pred dozhdot) (1994),0.9705,0.7895000000000001,0.724,0.724,0.7829999999999999,0.7967500000000001,0.7829999999999999,0.724,0.65125,0.7749999999999999,0.7597499999999999,0.3984999999999999,0.74475,0.394,0.511,0.617,0.4495,0.6305,0.435,0.8022499999999999,0.29225,0.2319999999999999,0.46125,0.27,0.2754999999999999,0.1985,0.5355,0.2475,0.352,0.2865,0.1347499999999999,0.23175,0.26275,0.44875,0.186,0.1644999999999999,0.2774999999999999,0.1144999999999999,0.33675,0.08825,0.24875,0.1377499999999999,0.15825,0.3492499999999999,0.27825,0.25725,0.33625,0.1649999999999999,0.7995000000000001,0.1915,0.54325,0.39225,0.28125,0.17725,0.10325,0.12225,0.1825,0.177,0.26925,0.1044999999999999,0.148,0.1352499999999999,0.1644999999999999,0.1159999999999999,0.1485,0.24225,0.2704999999999999,0.1285,0.11575,0.069,0.28075,0.14875,0.16125,0.08775,0.21325,0.08925,0.08825,0.09,0.3175,0.14825,0.1355,0.0747499999999999,0.22275,0.0984999999999999,0.192,0.1099999999999999,0.10525,0.0984999999999999,0.0554999999999999,0.10075,0.09275,0.1185,0.0717499999999999,0.1094999999999999,0.086,0.1164999999999999,0.10225,0.04525,0.1257499999999999,0.1019999999999999,0.04575,0.28075,0.04975,0.0777499999999999,0.0267499999999999,0.0645,0.148,0.0514999999999999,0.143,0.11325,0.12275,0.1019999999999999,0.10775,0.064,0.0842499999999999,0.05175,0.05075,0.1674999999999999,0.0454999999999999,0.066,0.086,0.1405,0.0605,0.0262499999999999,0.05975,0.0554999999999999,0.0625,0.05725,0.0504999999999999,0.03125,0.05275,0.03,0.0232499999999999,0.05125,0.0177499999999999,0.03725,0.299,0.0782499999999999,0.0225,0.0255,0.15825,0.0359999999999999,0.0192499999999999,0.0235,0.024,0.0147499999999999,0.0334999999999999,0.0207499999999999,0.0147499999999999
Ladybird Ladybird (1994),0.8145,0.90775,0.90775,0.90775,0.59475,0.688,0.90775,0.90775,0.627,0.56375,0.615,0.415,0.4307499999999999,0.4095,0.4792499999999999,0.683,0.51625,0.56975,0.8534999999999999,0.3754999999999999,0.42,0.3884999999999999,0.30425,0.2017499999999999,0.27075,0.3884999999999999,0.0979999999999999,0.32175,0.33375,0.068,0.4785,0.1795,0.238,0.4475,0.21925,0.1159999999999999,0.1574999999999999,0.22025,0.1307499999999999,0.8534999999999999,0.1332499999999999,0.10925,0.14425,0.29825,0.0915,0.194,0.21325,0.11425,0.0805,0.1815,0.4905,0.4905,0.1855,0.1975,0.1252499999999999,0.10275,0.0519999999999999,0.15425,0.11425,0.0782499999999999,0.18675,0.26375,0.1377499999999999,0.1114999999999999,0.136,0.2199999999999999,0.27125,0.1609999999999999,0.12475,0.0827499999999999,0.24075,0.0685,0.1315,0.0832499999999999,0.0979999999999999,0.12225,0.38375,0.0959999999999999,0.075,0.1144999999999999,0.0939999999999999,0.1094999999999999,0.0554999999999999,0.05925,0.0727499999999999,0.1205,0.04775,0.1089999999999999,0.1927499999999999,0.18375,0.294,0.1044999999999999,0.21775,0.142,0.05425,0.08675,0.0935,0.04225,0.0625,0.10925,0.1159999999999999,0.0247499999999999,0.0805,0.14075,0.05925,0.1297499999999999,0.15525,0.064,0.0667499999999999,0.0857499999999999,0.0464999999999999,0.0399999999999999,0.0655,0.0414999999999999,0.15625,0.0499999999999999,0.2345,0.0479999999999999,0.0409999999999999,0.05575,0.0295,0.015,0.0815,0.1064999999999999,0.0232499999999999,0.0625,0.1049999999999999,0.0185,0.0162499999999999,0.0424999999999999,0.0479999999999999,0.03475,0.008,0.09625,0.1545,0.072,0.0282499999999999,0.03275,0.1024999999999999,0.02,0.0404999999999999,0.1089999999999999,0.10275,0.021,0.03,0.0222499999999999,0.1362499999999999,0.0187499999999999,0.0165
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",0.87225,0.75525,0.69325,0.73125,0.87225,0.7682500000000001,0.87225,0.689,0.73575,0.689,0.51675,0.4912499999999999,0.5325,0.2835,0.689,0.551,0.4379999999999999,0.2935,0.1282499999999999,0.26,0.351,0.4872499999999999,0.69325,0.21925,0.3,0.4247499999999999,0.18725,0.4167499999999999,0.31575,0.1352499999999999,0.45375,0.1915,0.2269999999999999,0.1569999999999999,0.2664999999999999,0.27875,0.11975,0.10175,0.252,0.40825,0.4575,0.2229999999999999,0.23075,0.1347499999999999,0.22125,0.146,0.2935,0.123,0.12425,0.3065,0.20975,0.3389999999999999,0.3265,0.3605,0.23675,0.3964999999999999,0.2594999999999999,0.14675,0.44525,0.1347499999999999,0.1634999999999999,0.21,0.2214999999999999,0.0835,0.16325,0.39525,0.2455,0.12275,0.244,0.1302499999999999,0.213,0.05175,0.0915,0.08825,0.18725,0.11225,0.0815,0.0979999999999999,0.10325,0.11475,0.25775,0.1377499999999999,0.268,0.1014999999999999,0.074,0.14925,0.0852499999999999,0.1029999999999999,0.0777499999999999,0.1014999999999999,0.1402499999999999,0.1579999999999999,0.22225,0.068,0.05025,0.11125,0.05625,0.0559999999999999,0.09175,0.143,0.18075,0.04725,0.11775,0.17375,0.0665,0.1765,0.27625,0.0687499999999999,0.1079999999999999,0.1555,0.1225,0.0645,0.087,0.1395,0.0667499999999999,0.20575,0.42625,0.2125,0.03225,0.0469999999999999,0.0737499999999999,0.10725,0.1004999999999999,0.0687499999999999,0.027,0.04625,0.11175,0.04775,0.0167499999999999,0.0637499999999999,0.0484999999999999,0.0722499999999999,0.0282499999999999,0.0984999999999999,0.09375,0.0494999999999999,0.028,0.0792499999999999,0.0855,0.0444999999999999,0.023,0.0584999999999999,0.08775,0.02,0.0192499999999999,0.0242499999999999,0.076,0.0349999999999999,0.0157499999999999
"Secret of Roan Inish, The (1994)",0.88025,0.88025,0.88025,0.623,0.623,0.914,0.5345,0.4187499999999999,0.92575,0.623,0.31675,0.488,0.623,0.8532500000000001,0.45575,0.3369999999999999,0.46225,0.17825,0.61675,0.3,0.2774999999999999,0.2324999999999999,0.196,0.238,0.92575,0.4535,0.22975,0.413,0.32625,0.4257499999999999,0.484,0.3555,0.2644999999999999,0.26475,0.31275,0.2015,0.0685,0.1694999999999999,0.1992499999999999,0.68325,0.22225,0.22425,0.1815,0.23625,0.2007499999999999,0.1699999999999999,0.064,0.0935,0.0797499999999999,0.10275,0.41125,0.41125,0.1815,0.1795,0.1455,0.1385,0.24575,0.1815,0.9755,0.1589999999999999,0.2289999999999999,0.22125,0.1887499999999999,0.123,0.16375,0.21725,0.3077499999999999,0.06175,0.1634999999999999,0.1644999999999999,0.3115,0.0725,0.06175,0.05625,0.22975,0.069,0.061,0.0544999999999999,0.0615,0.1205,0.04075,0.0875,0.082,0.0795,0.0832499999999999,0.08675,0.0895,0.092,0.05625,0.0837499999999999,0.1805,0.119,0.04525,0.1977499999999999,0.059,0.0812499999999999,0.085,0.0519999999999999,0.09725,0.1915,0.06,0.0632499999999999,0.0287499999999999,0.17725,0.0384999999999999,0.1044999999999999,0.2105,0.061,0.09775,0.10625,0.1659999999999999,0.76525,0.0519999999999999,0.10025,0.093,0.0615,0.03275,0.10825,0.1089999999999999,0.0267499999999999,0.1644999999999999,0.05425,0.11225,0.069,0.0277499999999999,0.0667499999999999,0.09275,0.0235,0.0697499999999999,0.0905,0.0419999999999999,0.0504999999999999,0.0217499999999999,0.065,0.12375,0.0615,0.0212499999999999,0.0534999999999999,0.0319999999999999,0.03025,0.14275,0.04825,0.023,0.03,0.0285,0.05025,0.03575,0.0285,0.0165
