movieId,independent film,betrayal,runaway,culture clash,wartime,good,fight scenes,weapons,islam,chase,mentor,original,drama,weird,sacrifice,catastrophe,prejudice,vengeance,fun movie,period piece,predictable,greed,dialogue,drinking,survival,melancholic,adaptation,first contact,surveillance,light,fantasy world,death,unlikely friendships,not funny,stereotypes,british,life & death,life philosophy,transformation,very funny,family,nudity (full frontal - brief),camp,teen movie,irish accent,pornography,alternate history,childhood,russian,underrated,desert,indians,computer animation,alter ego,classic car,absurd,doctors,island,hospital,dysfunctional family,california,ensemble cast,creativity,rebellion,too long,women,quirky,brothers,multiple storylines,foul language,pulp,prison,good music,awesome soundtrack,sexy,simple,queer,mad scientist,1930s,radio,new jersey,memory,nudity (topless - brief),blindness,internet,80s,interracial romance,writers,nudity (rear),race,notable nudity,small town,finnish,tokyo,kidnapping,bollywood,wilderness,oil,australia,farce,censorship,film noir,hotel,hunting,atheism,graphic novel,road movie,god,texas,immortality,trilogy,too short,best of 2005,buddy movie,time,san francisco,directorial debut,snakes,remake,new york city,potential oscar nom,made for tv,stoner movie,divorce,no plot,stand-up comedy,adoption,dreams,addiction,hip hop,cancer,ghosts/afterlife,lawyer,kick-butt women,unlikeable characters,workplace,fashion,robert downey jr,french,father daughter relationship,single father,los angeles,reality tv,goth,shopping,wine,homeless,prostitution,documentary
Apollo 13 (1995),0.95275,0.962,0.962,0.962,0.20875,0.87825,0.7335,0.72525,0.883,0.54975,0.97025,0.79525,0.962,0.91925,0.95275,0.8714999999999999,0.95275,0.3974999999999999,0.556,0.9265,0.77125,0.69525,0.651,0.651,0.7929999999999999,0.651,0.71875,0.77125,0.46175,0.752,0.24775,0.2145,0.53675,0.3495,0.1345,0.21575,0.44375,0.3159999999999999,0.4765,0.276,0.49875,0.2634999999999999,0.087,0.3399999999999999,0.567,0.15675,0.40025,0.72025,0.1445,0.26275,0.183,0.41925,0.2995,0.1255,0.2005,0.1139999999999999,0.4822499999999999,0.2329999999999999,0.22575,0.31875,0.27425,0.4599999999999999,0.4167499999999999,0.089,0.1865,0.12225,0.146,0.1144999999999999,0.1352499999999999,0.1285,0.10075,0.122,0.26125,0.1679999999999999,0.09875,0.265,0.11375,0.397,0.20775,0.389,0.16175,0.147,0.087,0.1255,0.17875,0.21475,0.1255,0.1465,0.06075,0.3522499999999999,0.0449999999999999,0.1684999999999999,0.0295,0.087,0.0715,0.2027499999999999,0.1262499999999999,0.1425,0.0895,0.0595,0.0692499999999999,0.079,0.14525,0.0717499999999999,0.20975,0.026,0.0792499999999999,0.177,0.09725,0.2475,0.05175,0.126,0.0484999999999999,0.05325,0.238,0.10525,0.0795,0.0637499999999999,0.0499999999999999,0.0595,0.0544999999999999,0.192,0.0725,0.089,0.05175,0.0642499999999999,0.0832499999999999,0.244,0.05325,0.04525,0.15725,0.11475,0.08825,0.0584999999999999,0.024,0.05575,0.0529999999999999,0.0514999999999999,0.03175,0.08975,0.152,0.04275,0.0419999999999999,0.04325,0.03975,0.03625,0.0549999999999999,0.0257499999999999,0.0595
Crimson Tide (1995),0.8915,0.99325,0.8142499999999999,0.99325,0.8915,0.88375,0.839,0.9275,0.6785,0.839,0.717,0.6685,0.8472500000000001,0.99325,0.70075,0.747,0.6785,0.45525,0.784,0.5615,0.6465,0.58425,0.6285,0.78925,0.63325,0.40475,0.31025,0.56525,0.88375,0.4347499999999999,0.2975,0.1955,0.1735,0.36975,0.4,0.21475,0.33125,0.3115,0.3455,0.26675,0.2055,0.17725,0.207,0.21775,0.2837499999999999,0.1725,0.3379999999999999,0.12225,0.7889999999999999,0.218,0.17075,0.1307499999999999,0.21925,0.14725,0.23475,0.2334999999999999,0.256,0.1347499999999999,0.184,0.17575,0.1475,0.27125,0.23725,0.46575,0.08725,0.08825,0.1315,0.0959999999999999,0.24625,0.1164999999999999,0.1074999999999999,0.1295,0.2199999999999999,0.1064999999999999,0.132,0.177,0.11325,0.1619999999999999,0.0549999999999999,0.47075,0.23575,0.1352499999999999,0.1175,0.15675,0.3095,0.10675,0.1465,0.16225,0.1129999999999999,0.21975,0.0845,0.145,0.087,0.0647499999999999,0.11975,0.0865,0.05825,0.1985,0.0434999999999999,0.10825,0.155,0.0837499999999999,0.1825,0.0627499999999999,0.1164999999999999,0.03675,0.0667499999999999,0.04975,0.04825,0.03925,0.064,0.07,0.0559999999999999,0.0439999999999999,0.0564999999999999,0.082,0.0807499999999999,0.0414999999999999,0.0399999999999999,0.0675,0.0615,0.09175,0.072,0.1367499999999999,0.1372499999999999,0.08,0.0499999999999999,0.05875,0.05125,0.062,0.04825,0.0805,0.1515,0.0459999999999999,0.059,0.186,0.0329999999999999,0.04025,0.04375,0.03325,0.0459999999999999,0.0449999999999999,0.0399999999999999,0.03825,0.04625,0.0409999999999999,0.0267499999999999,0.0329999999999999,0.027
First Knight (1995),0.7105,0.8075000000000001,0.6225,0.68175,0.32725,0.95625,0.76725,0.532,0.53025,0.6625,0.6225,0.62325,0.31775,0.4882499999999999,0.6225,0.76725,0.6225,0.45075,0.6625,0.7555000000000001,0.76725,0.361,0.4882499999999999,0.4882499999999999,0.1302499999999999,0.4882499999999999,0.40025,0.4825,0.21825,0.22975,0.72125,0.3435,0.203,0.3395,0.1932499999999999,0.31325,0.15575,0.3179999999999999,0.3047499999999999,0.26925,0.3904999999999999,0.1902499999999999,0.0969999999999999,0.567,0.275,0.1654999999999999,0.38125,0.20475,0.1387499999999999,0.17175,0.09175,0.27725,0.1589999999999999,0.123,0.1377499999999999,0.25125,0.1619999999999999,0.12325,0.1272499999999999,0.1332499999999999,0.10475,0.0449999999999999,0.2035,0.0464999999999999,0.0822499999999999,0.15425,0.1669999999999999,0.1609999999999999,0.14975,0.05075,0.16975,0.08,0.062,0.068,0.11675,0.1225,0.1362499999999999,0.0785,0.067,0.09325,0.0827499999999999,0.068,0.086,0.1555,0.41225,0.0767499999999999,0.283,0.1882499999999999,0.16075,0.0705,0.1004999999999999,0.0685,0.03575,0.0379999999999999,0.194,0.0732499999999999,0.04975,0.0359999999999999,0.0479999999999999,0.18425,0.068,0.08675,0.10375,0.03375,0.09125,0.0215,0.0885,0.135,0.05675,0.3135,0.06175,0.17675,0.0225,0.0222499999999999,0.10375,0.0845,0.0549999999999999,0.0449999999999999,0.15275,0.05775,0.026,0.06225,0.0615,0.14325,0.08925,0.081,0.05875,0.087,0.0479999999999999,0.064,0.073,0.1555,0.074,0.04775,0.0379999999999999,0.0574999999999999,0.0544999999999999,0.03925,0.03675,0.0287499999999999,0.0984999999999999,0.0305,0.0369999999999999,0.0534999999999999,0.1315,0.069,0.04125,0.0389999999999999,0.0182499999999999
Clear and Present Danger (1994),0.7895000000000001,0.9665,0.67475,0.9665,0.7895000000000001,0.984,0.97725,0.97725,0.94875,0.97725,0.96725,0.64375,0.544,0.9665,0.3375,0.6,0.2634999999999999,0.7797499999999999,0.92525,0.1395,0.46825,0.79575,0.46825,0.4692499999999999,0.2987499999999999,0.27275,0.96575,0.287,0.984,0.421,0.27675,0.4459999999999999,0.27175,0.3279999999999999,0.2194999999999999,0.155,0.15525,0.356,0.26625,0.25975,0.34075,0.27775,0.1245,0.2815,0.239,0.14525,0.1684999999999999,0.182,0.37625,0.1975,0.09275,0.0672499999999999,0.1644999999999999,0.2095,0.3884999999999999,0.1865,0.2249999999999999,0.1044999999999999,0.1604999999999999,0.17575,0.1945,0.1387499999999999,0.1947499999999999,0.0504999999999999,0.14425,0.151,0.15625,0.09075,0.153,0.08725,0.17025,0.15875,0.088,0.1034999999999999,0.1225,0.1114999999999999,0.1277499999999999,0.0812499999999999,0.0509999999999999,0.079,0.1315,0.12275,0.125,0.3275,0.21925,0.0915,0.1024999999999999,0.15175,0.0852499999999999,0.0885,0.0915,0.12025,0.04575,0.05425,0.12425,0.05625,0.0642499999999999,0.25375,0.0324999999999999,0.0777499999999999,0.1205,0.0855,0.15925,0.15375,0.0665,0.016,0.0999999999999999,0.0369999999999999,0.064,0.0559999999999999,0.28,0.077,0.0454999999999999,0.04975,0.04575,0.121,0.073,0.0842499999999999,0.04475,0.0787499999999999,0.0727499999999999,0.0707499999999999,0.09275,0.153,0.1985,0.0835,0.0732499999999999,0.0675,0.34975,0.0657499999999999,0.4207499999999999,0.05775,0.15675,0.09,0.0439999999999999,0.1094999999999999,0.022,0.0379999999999999,0.0399999999999999,0.0329999999999999,0.0439999999999999,0.0424999999999999,0.04875,0.03625,0.119,0.0369999999999999,0.0707499999999999,0.05175,0.021
Tombstone (1993),0.80525,0.80525,0.77875,0.8819999999999999,0.137,0.8819999999999999,0.75275,0.75275,0.60575,0.75275,0.7665,0.71925,0.8819999999999999,0.8819999999999999,0.5075,0.557,0.56975,0.8614999999999999,0.714,0.80525,0.57725,0.6275,0.77875,0.3695,0.1997499999999999,0.5545,0.32325,0.29725,0.26975,0.7445,0.33875,0.3692499999999999,0.54825,0.38775,0.1604999999999999,0.177,0.3057499999999999,0.3379999999999999,0.36575,0.33075,0.17925,0.23475,0.1134999999999999,0.1905,0.42525,0.217,0.2289999999999999,0.2975,0.1129999999999999,0.3502499999999999,0.191,0.3369999999999999,0.1525,0.27075,0.37175,0.1054999999999999,0.2554999999999999,0.14175,0.14825,0.15925,0.42225,0.558,0.26125,0.1515,0.22575,0.12175,0.17375,0.66975,0.1907499999999999,0.32325,0.1425,0.1039999999999999,0.27775,0.3894999999999999,0.18575,0.1505,0.17775,0.14825,0.137,0.059,0.2145,0.071,0.11625,0.14475,0.10875,0.26175,0.083,0.10225,0.085,0.1835,0.0755,0.26375,0.0232499999999999,0.11775,0.06125,0.0964999999999999,0.12025,0.073,0.128,0.0695,0.14375,0.091,0.129,0.12325,0.0792499999999999,0.18425,0.0817499999999999,0.15,0.3355,0.1952499999999999,0.14075,0.0635,0.066,0.188,0.16575,0.09025,0.09775,0.1302499999999999,0.04775,0.0722499999999999,0.0837499999999999,0.1069999999999999,0.10375,0.0524999999999999,0.05875,0.0857499999999999,0.066,0.069,0.1684999999999999,0.05075,0.135,0.082,0.0969999999999999,0.0775,0.0885,0.05075,0.087,0.22125,0.03725,0.0469999999999999,0.0539999999999999,0.0732499999999999,0.03675,0.0755,0.03175,0.0314999999999999,0.06025,0.0652499999999999,0.0314999999999999
Courage Under Fire (1996),0.96825,0.8819999999999999,0.96825,0.8819999999999999,0.9675,0.7655000000000001,0.67525,0.67525,0.6715,0.67525,0.96825,0.6655,0.8819999999999999,0.72275,0.96825,0.61225,0.96825,0.44425,0.423,0.357,0.42325,0.81575,0.3722499999999999,0.52775,0.52775,0.505,0.24525,0.24275,0.7655000000000001,0.44525,0.25325,0.645,0.27975,0.384,0.46775,0.153,0.2395,0.293,0.2845,0.258,0.34775,0.237,0.215,0.3894999999999999,0.3405,0.18275,0.3575,0.1584999999999999,0.2264999999999999,0.3097499999999999,0.67175,0.133,0.18325,0.1272499999999999,0.1287499999999999,0.184,0.3452499999999999,0.10075,0.3745,0.22775,0.1352499999999999,0.4267499999999999,0.125,0.2234999999999999,0.0605,0.31775,0.201,0.27125,0.14575,0.1154999999999999,0.11575,0.18075,0.1292499999999999,0.0675,0.148,0.1704999999999999,0.14775,0.073,0.0667499999999999,0.32325,0.1975,0.092,0.10075,0.14425,0.1305,0.0509999999999999,0.15075,0.1074999999999999,0.1392499999999999,0.137,0.0797499999999999,0.1775,0.0595,0.065,0.0662499999999999,0.0837499999999999,0.073,0.0722499999999999,0.04275,0.066,0.11625,0.0964999999999999,0.0855,0.1019999999999999,0.08725,0.02,0.0605,0.08725,0.187,0.04675,0.0399999999999999,0.0895,0.024,0.085,0.0247499999999999,0.0984999999999999,0.0695,0.03825,0.05525,0.066,0.03625,0.0795,0.0772499999999999,0.10425,0.1175,0.0782499999999999,0.09475,0.062,0.0697499999999999,0.0775,0.23225,0.09475,0.2065,0.0469999999999999,0.04075,0.1024999999999999,0.029,0.0605,0.0384999999999999,0.05775,0.09575,0.0424999999999999,0.03825,0.05175,0.0632499999999999,0.0384999999999999,0.0494999999999999,0.0339999999999999,0.0285
"Davy Crockett, King of the Wild Frontier (1955)",0.916,0.8554999999999999,0.916,0.64575,0.52925,0.6475,0.63275,0.4872499999999999,0.916,0.708,0.6735,0.7255,0.3472499999999999,0.38375,0.485,0.484,0.678,0.485,0.83775,0.8554999999999999,0.45025,0.351,0.52175,0.31225,0.16625,0.36875,0.27525,0.401,0.15925,0.37975,0.302,0.2945,0.50825,0.3385,0.26475,0.22225,0.3249999999999999,0.245,0.30825,0.3409999999999999,0.579,0.1755,0.2857499999999999,0.1912499999999999,0.1569999999999999,0.2045,0.203,0.7609999999999999,0.1235,0.2624999999999999,0.14775,0.953,0.5415,0.25975,0.33625,0.1129999999999999,0.2405,0.24175,0.12425,0.1515,0.43525,0.0627499999999999,0.22625,0.16775,0.1327499999999999,0.0865,0.24425,0.05925,0.15875,0.062,0.2817499999999999,0.126,0.2965,0.2644999999999999,0.14575,0.3904999999999999,0.1297499999999999,0.18225,0.1252499999999999,0.1014999999999999,0.1649999999999999,0.3329999999999999,0.08725,0.14075,0.152,0.1689999999999999,0.1624999999999999,0.1545,0.12475,0.32775,0.0464999999999999,0.3525,0.0272499999999999,0.11125,0.0852499999999999,0.05125,0.04975,0.0645,0.0792499999999999,0.0712499999999999,0.0944999999999999,0.10675,0.154,0.126,0.05425,0.03575,0.0979999999999999,0.04675,0.4405,0.302,0.1365,0.0732499999999999,0.0205,0.71375,0.42925,0.14475,0.074,0.17675,0.0379999999999999,0.0672499999999999,0.0389999999999999,0.2957499999999999,0.0777499999999999,0.0584999999999999,0.067,0.0637499999999999,0.079,0.0767499999999999,0.05125,0.04675,0.0822499999999999,0.1694999999999999,0.031,0.08825,0.0509999999999999,0.0675,0.0762499999999999,0.0404999999999999,0.03575,0.0324999999999999,0.0524999999999999,0.0737499999999999,0.0559999999999999,0.04125,0.09325,0.03,0.04775,0.0354999999999999,0.0172499999999999
Robin Hood: Prince of Thieves (1991),0.80125,0.80125,0.628,0.74,0.18225,0.8772500000000001,0.93425,0.93425,0.7677499999999999,0.93425,0.6865,0.63975,0.5365,0.5365,0.628,0.8402499999999999,0.63775,0.4649999999999999,0.8692500000000001,0.88425,0.8402499999999999,0.4935,0.4862499999999999,0.3475,0.1957499999999999,0.3475,0.592,0.48075,0.215,0.39225,0.68175,0.2455,0.2435,0.3125,0.35875,0.88425,0.2254999999999999,0.2865,0.3195,0.42025,0.4469999999999999,0.26525,0.20925,0.5895,0.40375,0.18075,0.40325,0.31625,0.12475,0.3612499999999999,0.1099999999999999,0.4125,0.1435,0.2214999999999999,0.1392499999999999,0.1272499999999999,0.1725,0.1892499999999999,0.1074999999999999,0.135,0.16325,0.0732499999999999,0.1455,0.2455,0.0742499999999999,0.1564999999999999,0.20625,0.1957499999999999,0.17625,0.1225,0.33625,0.1927499999999999,0.18625,0.18625,0.21925,0.1059999999999999,0.1415,0.18475,0.11525,0.087,0.079,0.0747499999999999,0.11725,0.3874999999999999,0.1579999999999999,0.151,0.1912499999999999,0.0984999999999999,0.22425,0.186,0.1545,0.11625,0.0369999999999999,0.04925,0.0782499999999999,0.1342499999999999,0.1295,0.0514999999999999,0.068,0.11525,0.1327499999999999,0.0852499999999999,0.0732499999999999,0.0499999999999999,0.155,0.061,0.0822499999999999,0.076,0.0707499999999999,0.43325,0.063,0.122,0.0272499999999999,0.14125,0.1175,0.0822499999999999,0.0665,0.1654999999999999,0.1322499999999999,0.067,0.0642499999999999,0.0795,0.0687499999999999,0.0707499999999999,0.0574999999999999,0.0722499999999999,0.05125,0.0637499999999999,0.06125,0.04375,0.0665,0.2264999999999999,0.03875,0.05975,0.03425,0.0439999999999999,0.065,0.0895,0.0339999999999999,0.04475,0.0999999999999999,0.0444999999999999,0.04825,0.175,0.0767499999999999,0.03825,0.0389999999999999,0.0499999999999999,0.022
"Ghost and the Darkness, The (1996)",0.8035000000000001,0.919,0.67975,0.83525,0.10575,0.68625,0.57625,0.57625,0.8035000000000001,0.68675,0.96875,0.669,0.637,0.646,0.67975,0.54625,0.8035000000000001,0.712,0.35175,0.4579999999999999,0.5185,0.59475,0.46175,0.399,0.8460000000000001,0.646,0.5015,0.3492499999999999,0.5365,0.2917499999999999,0.4842499999999999,0.284,0.21,0.3355,0.21,0.23375,0.21125,0.41025,0.35675,0.252,0.17375,0.23625,0.3705,0.1415,0.94175,0.1755,0.2115,0.48675,0.1089999999999999,0.3472499999999999,0.38325,0.7405,0.48675,0.1669999999999999,0.2095,0.17375,0.3349999999999999,0.2012499999999999,0.4885,0.1252499999999999,0.3055,0.04975,0.26725,0.073,0.08725,0.18625,0.143,0.186,0.10675,0.0702499999999999,0.2614999999999999,0.1257499999999999,0.203,0.09275,0.10375,0.1149999999999999,0.1332499999999999,0.1525,0.0905,0.0815,0.1395,0.0959999999999999,0.14175,0.14975,0.1225,0.09675,0.0895,0.10525,0.1084999999999999,0.17275,0.1064999999999999,0.1699999999999999,0.0364999999999999,0.04825,0.1362499999999999,0.0855,0.22825,0.085,0.17475,0.09175,0.0409999999999999,0.1014999999999999,0.1054999999999999,0.9195,0.0697499999999999,0.0979999999999999,0.21,0.067,0.09575,0.1099999999999999,0.0647499999999999,0.0845,0.0245,0.07,0.11225,0.1624999999999999,0.05175,0.2574999999999999,0.1235,0.0725,0.0444999999999999,0.05325,0.0857499999999999,0.075,0.05175,0.0805,0.12125,0.0717499999999999,0.069,0.062,0.073,0.1322499999999999,0.068,0.04425,0.0645,0.0662499999999999,0.0974999999999999,0.0514999999999999,0.0434999999999999,0.0287499999999999,0.0359999999999999,0.078,0.06125,0.0469999999999999,0.05225,0.028,0.14325,0.04825,0.0195
Young Guns (1988),0.69025,0.7742500000000001,0.6295,0.7742500000000001,0.2877499999999999,0.7562500000000001,0.8260000000000001,0.8260000000000001,0.56775,0.8260000000000001,0.95475,0.7475,0.5945,0.54,0.4935,0.561,0.5045,0.8972500000000001,0.748,0.69025,0.4782499999999999,0.7742500000000001,0.639,0.2935,0.2455,0.41625,0.31775,0.25625,0.2485,0.51225,0.388,0.35575,0.62225,0.3435,0.33275,0.141,0.399,0.37625,0.25475,0.4615,0.64775,0.25625,0.1907499999999999,0.53025,0.3189999999999999,0.28925,0.276,0.64775,0.0765,0.3764999999999999,0.24775,0.428,0.64775,0.2684999999999999,0.4115,0.12025,0.1679999999999999,0.09925,0.1674999999999999,0.136,0.2965,0.2249999999999999,0.2684999999999999,0.1347499999999999,0.10575,0.12425,0.18025,0.17325,0.26325,0.3107499999999999,0.25175,0.14475,0.23425,0.42,0.1297499999999999,0.15325,0.16325,0.0974999999999999,0.076,0.0514999999999999,0.174,0.1669999999999999,0.48675,0.15775,0.1907499999999999,0.53725,0.059,0.124,0.259,0.2017499999999999,0.1985,0.2274999999999999,0.05825,0.083,0.1362499999999999,0.0675,0.0802499999999999,0.0514999999999999,0.072,0.1302499999999999,0.11225,0.0939999999999999,0.1337499999999999,0.1634999999999999,0.0672499999999999,0.068,0.1285,0.03725,0.288,0.08775,0.1149999999999999,0.0765,0.0464999999999999,0.31975,0.18225,0.09925,0.0792499999999999,0.0635,0.0625,0.20875,0.147,0.09725,0.15775,0.0939999999999999,0.0682499999999999,0.0857499999999999,0.0735,0.085,0.0954999999999999,0.083,0.1795,0.14275,0.3462499999999999,0.0847499999999999,0.068,0.088,0.03525,0.0827499999999999,0.03775,0.03225,0.0999999999999999,0.1579999999999999,0.05375,0.10575,0.0847499999999999,0.031,0.06175,0.0549999999999999,0.0349999999999999
