movieId,melancholic,original,weird,greed,culture clash,good,drama,runaway,vengeance,independent film,mentor,catastrophe,life & death,drinking,dialogue,betrayal,islam,unlikely friendships,bollywood,life philosophy,pornography,light,childhood,fantasy world,adaptation,prejudice,not funny,very funny,sacrifice,period piece,quirky,chase,transformation,wartime,indians,fight scenes,death,surveillance,creativity,dysfunctional family,predictable,good music,russian,family,nudity (full frontal - brief),first contact,classic car,british,queer,irish accent,women,computer animation,weapons,film noir,absurd,tokyo,fun movie,documentary,finnish,teen movie,multiple storylines,sexy,writers,small town,1930s,road movie,brothers,dreams,underrated,farce,stereotypes,simple,hospital,interracial romance,too long,hotel,memory,stand-up comedy,alter ego,awesome soundtrack,wilderness,doctors,prison,pulp,california,survival,divorce,censorship,french,new jersey,atheism,blindness,australia,made for tv,addiction,adoption,alternate history,race,desert,god,nudity (topless - brief),texas,directorial debut,stoner movie,hip hop,notable nudity,workplace,cancer,internet,wine,mad scientist,camp,hunting,rebellion,immortality,island,kick-butt women,father daughter relationship,oil,nudity (rear),prostitution,homeless,trilogy,no plot,ensemble cast,radio,too short,potential oscar nom,80s,best of 2005,new york city,fashion,reality tv,kidnapping,ghosts/afterlife,san francisco,lawyer,time,robert downey jr,shopping,foul language,graphic novel,snakes,goth,single father,buddy movie,unlikeable characters,los angeles,remake
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.9195,0.9195,0.9195,0.859,0.60425,0.541,0.54975,0.614,0.57375,0.58425,0.46475,0.43325,0.4509999999999999,0.5265,0.40825,0.74,0.4605,0.5365,0.14275,0.207,0.3682499999999999,0.4327499999999999,0.5685,0.375,0.298,0.22675,0.37075,0.21975,0.192,0.20875,0.22825,0.2997499999999999,0.28025,0.14475,0.1375,0.21625,0.41425,0.744,0.23425,0.26275,0.16525,0.14775,0.09825,0.125,0.1907499999999999,0.2219999999999999,0.244,0.238,0.15875,0.2274999999999999,0.39475,0.16875,0.194,0.20975,0.1634999999999999,0.408,0.152,0.04725,0.0439999999999999,0.1987499999999999,0.137,0.306,0.1325,0.11325,0.8322499999999999,0.24675,0.0954999999999999,0.39975,0.18275,0.0979999999999999,0.10575,0.3512499999999999,0.14225,0.0895,0.087,0.15225,0.1634999999999999,0.0845,0.10875,0.11725,0.09275,0.187,0.08975,0.1957499999999999,0.11775,0.10225,0.09675,0.11075,0.1475,0.1287499999999999,0.04475,0.1235,0.0815,0.0449999999999999,0.0615,0.15825,0.11675,0.17925,0.09975,0.04375,0.0944999999999999,0.0857499999999999,0.09275,0.12025,0.0574999999999999,0.14775,0.14525,0.03825,0.0662499999999999,0.1029999999999999,0.0925,0.0974999999999999,0.0419999999999999,0.0994999999999999,0.03925,0.4499999999999999,0.092,0.16925,0.05825,0.1084999999999999,0.0762499999999999,0.0262499999999999,0.0627499999999999,0.16325,0.03675,0.03,0.04425,0.0549999999999999,0.0509999999999999,0.0802499999999999,0.0414999999999999,0.079,0.0187499999999999,0.1134999999999999,0.0742499999999999,0.03925,0.04625,0.0742499999999999,0.0324999999999999,0.03,0.0414999999999999,0.0474999999999999,0.0344999999999999,0.0484999999999999,0.03725,0.0252499999999999,0.0564999999999999,0.03675,0.0142499999999999
"Cry, the Beloved Country (1995)",0.646,0.68525,0.6175,0.5435,0.68525,0.493,0.646,0.6135,0.6175,0.646,0.4599999999999999,0.4519999999999999,0.344,0.193,0.32075,0.2485,0.2189999999999999,0.2475,0.1765,0.26125,0.33675,0.24525,0.14175,0.25225,0.9525,0.957,0.32425,0.21775,0.33625,0.22025,0.1709999999999999,0.21875,0.2002499999999999,0.10875,0.2055,0.189,0.33525,0.10025,0.2027499999999999,0.3185,0.21525,0.1965,0.0727499999999999,0.35075,0.3165,0.22175,0.16125,0.1975,0.18075,0.2339999999999999,0.1644999999999999,0.1972499999999999,0.1262499999999999,0.24525,0.1725,0.0655,0.10525,0.03925,0.0564999999999999,0.1044999999999999,0.15175,0.12225,0.2744999999999999,0.1887499999999999,0.09825,0.09575,0.1624999999999999,0.0627499999999999,0.185,0.0615,0.15975,0.0722499999999999,0.0954999999999999,0.2604999999999999,0.1405,0.0755,0.072,0.09675,0.092,0.067,0.1897499999999999,0.0825,0.08875,0.10775,0.1149999999999999,0.08625,0.03425,0.1267499999999999,0.0439999999999999,0.16975,0.1387499999999999,0.11225,0.119,0.3139999999999999,0.14225,0.2239999999999999,0.0725,0.4097499999999999,0.0757499999999999,0.2002499999999999,0.069,0.1322499999999999,0.09075,0.065,0.0329999999999999,0.17925,0.0509999999999999,0.066,0.063,0.0324999999999999,0.0429999999999999,0.0895,0.0685,0.1375,0.04025,0.15575,0.1034999999999999,0.0732499999999999,0.04575,0.1149999999999999,0.175,0.093,0.0464999999999999,0.04575,0.0787499999999999,0.0285,0.0409999999999999,0.0339999999999999,0.03825,0.0334999999999999,0.04725,0.0334999999999999,0.05025,0.066,0.0359999999999999,0.0314999999999999,0.05825,0.0287499999999999,0.061,0.027,0.0344999999999999,0.03025,0.03425,0.0474999999999999,0.0772499999999999,0.029,0.0369999999999999,0.03575,0.0192499999999999
"Postman, The (Postino, Il) (1994)",0.936,0.9645,0.936,0.936,0.9645,0.8887499999999999,0.74375,0.7315,0.47475,0.4745,0.8580000000000001,0.44775,0.5985,0.586,0.52625,0.2925,0.27925,0.8007500000000001,0.32675,0.5505,0.2915,0.3235,0.43625,0.33225,0.696,0.2825,0.282,0.23875,0.2175,0.49475,0.20325,0.2209999999999999,0.46525,0.15825,0.2835,0.22375,0.372,0.22025,0.2764999999999999,0.1287499999999999,0.2135,0.14925,0.0832499999999999,0.1044999999999999,0.248,0.16225,0.26025,0.3535,0.14775,0.18075,0.3319999999999999,0.1385,0.1342499999999999,0.09025,0.149,0.1855,0.1315,0.0742499999999999,0.04425,0.15775,0.16725,0.30025,0.4297499999999999,0.21825,0.1397499999999999,0.14575,0.155,0.32875,0.25625,0.0817499999999999,0.0984999999999999,0.60975,0.1674999999999999,0.20375,0.11075,0.1435,0.26,0.087,0.0762499999999999,0.1159999999999999,0.1624999999999999,0.259,0.091,0.10425,0.093,0.10175,0.2175,0.14975,0.14775,0.11675,0.16775,0.186,0.10625,0.0687499999999999,0.05325,0.081,0.10925,0.1149999999999999,0.16525,0.0627499999999999,0.0635,0.04975,0.0959999999999999,0.0732499999999999,0.04325,0.1574999999999999,0.10075,0.1387499999999999,0.0885,0.0989999999999999,0.1004999999999999,0.0655,0.0827499999999999,0.0434999999999999,0.2115,0.8082499999999999,0.0802499999999999,0.10975,0.0645,0.067,0.05375,0.04725,0.04475,0.132,0.0364999999999999,0.0939999999999999,0.03925,0.0685,0.04575,0.0554999999999999,0.0484999999999999,0.05475,0.0295,0.04475,0.0725,0.0534999999999999,0.0285,0.08775,0.05725,0.03525,0.05225,0.03125,0.05825,0.018,0.028,0.04025,0.03825,0.0195,0.0185
"Confessional, The (Confessionnal, Le) (1995)",0.7669999999999999,0.7725,0.7415,0.668,0.5775,0.66475,0.654,0.53925,0.6545,0.4499999999999999,0.49075,0.434,0.2917499999999999,0.3325,0.38375,0.485,0.1302499999999999,0.24525,0.51475,0.16475,0.3485,0.3485,0.26875,0.211,0.35975,0.20375,0.32425,0.2012499999999999,0.1185,0.191,0.399,0.16925,0.20675,0.12425,0.11675,0.178,0.68425,0.295,0.494,0.405,0.353,0.21975,0.28075,0.17575,0.33025,0.183,0.52,0.22125,0.191,0.0865,0.17325,0.1907499999999999,0.17875,0.3485,0.1579999999999999,0.0989999999999999,0.10725,0.0802499999999999,0.3319999999999999,0.1215,0.21425,0.20875,0.239,0.10675,0.17675,0.1049999999999999,0.64625,0.25125,0.36775,0.077,0.067,0.0509999999999999,0.1639999999999999,0.0697499999999999,0.0979999999999999,0.43525,0.087,0.15175,0.10375,0.0905,0.0707499999999999,0.076,0.1069999999999999,0.12025,0.0544999999999999,0.08675,0.074,0.0722499999999999,0.18025,0.1425,0.0742499999999999,0.08,0.147,0.3149999999999999,0.252,0.0805,0.0725,0.093,0.03025,0.05175,0.0635,0.075,0.1352499999999999,0.09975,0.0852499999999999,0.0815,0.08625,0.05125,0.0625,0.124,0.0642499999999999,0.0802499999999999,0.0122499999999999,0.0637499999999999,0.06225,0.03975,0.0797499999999999,0.188,0.122,0.10275,0.0795,0.0364999999999999,0.11075,0.18375,0.11875,0.028,0.0107499999999999,0.0225,0.10525,0.031,0.04775,0.02975,0.0212499999999999,0.0762499999999999,0.0765,0.0245,0.03375,0.0257499999999999,0.265,0.0212499999999999,0.067,0.0329999999999999,0.0192499999999999,0.04175,0.025,0.0245,0.03425,0.027,0.02975
"White Balloon, The (Badkonake sefid) (1995)",0.747,0.675,0.747,0.7785,0.57075,0.386,0.4459999999999999,0.7545,0.535,0.34275,0.48275,0.43975,0.53675,0.3135,0.32575,0.22675,0.2065,0.4255,0.505,0.2289999999999999,0.40425,0.2925,0.98875,0.3375,0.24275,0.35475,0.3824999999999999,0.22325,0.1029999999999999,0.1109999999999999,0.2654999999999999,0.2544999999999999,0.21575,0.1255,0.142,0.18325,0.141,0.124,0.15725,0.2209999999999999,0.15075,0.11625,0.1355,0.98875,0.1755,0.177,0.18625,0.1465,0.17975,0.1054999999999999,0.1397499999999999,0.499,0.2055,0.23525,0.1689999999999999,0.26275,0.136,0.08875,0.1795,0.45525,0.1134999999999999,0.2145,0.1785,0.2334999999999999,0.076,0.2254999999999999,0.1882499999999999,0.15125,0.152,0.0845,0.16075,0.4085,0.1415,0.1185,0.0627499999999999,0.1405,0.06075,0.06125,0.0939999999999999,0.0707499999999999,0.2,0.1599999999999999,0.0782499999999999,0.10825,0.0645,0.12325,0.1029999999999999,0.1089999999999999,0.0964999999999999,0.1094999999999999,0.09475,0.153,0.1255,0.05625,0.089,0.2249999999999999,0.0835,0.09225,0.04025,0.05225,0.03575,0.1564999999999999,0.21825,0.11375,0.0409999999999999,0.1004999999999999,0.1094999999999999,0.0354999999999999,0.0647499999999999,0.0529999999999999,0.09575,0.1205,0.0252499999999999,0.1377499999999999,0.0334999999999999,0.11125,0.1962499999999999,0.2514999999999999,0.05475,0.0817499999999999,0.1347499999999999,0.05625,0.04575,0.0935,0.0429999999999999,0.072,0.04375,0.061,0.0509999999999999,0.0737499999999999,0.0444999999999999,0.0257499999999999,0.03475,0.172,0.0667499999999999,0.0237499999999999,0.04925,0.0564999999999999,0.0277499999999999,0.04825,0.0409999999999999,0.04225,0.11075,0.03175,0.1337499999999999,0.0155,0.0484999999999999,0.0067499999999999,0.011
Once Upon a Time... When We Were Colored (1995),0.4715,0.69575,0.8447499999999999,0.46325,0.663,0.60175,0.524,0.67725,0.46325,0.583,0.4975,0.4475,0.4317499999999999,0.2385,0.3702499999999999,0.2857499999999999,0.28525,0.39575,0.4097499999999999,0.2365,0.3345,0.2204999999999999,0.4105,0.2925,0.74225,0.9905,0.303,0.33675,0.21,0.46525,0.2977499999999999,0.2827499999999999,0.27025,0.60025,0.206,0.64325,0.44875,0.193,0.18575,0.53375,0.1997499999999999,0.1825,0.23275,0.4895,0.2915,0.1957499999999999,0.1385,0.21775,0.2877499999999999,0.2985,0.1895,0.199,0.21075,0.2204999999999999,0.1589999999999999,0.0667499999999999,0.36375,0.49475,0.2897499999999999,0.2355,0.27325,0.15725,0.2534999999999999,0.26475,0.1345,0.4925,0.1795,0.082,0.2895,0.0959999999999999,0.378,0.086,0.1312499999999999,0.29925,0.0675,0.14275,0.2189999999999999,0.1225,0.1455,0.15175,0.0865,0.14875,0.09875,0.14975,0.16175,0.09825,0.0605,0.1357499999999999,0.03875,0.29225,0.04925,0.121,0.1275,0.1594999999999999,0.16975,0.1877499999999999,0.14225,0.47875,0.0394999999999999,0.0697499999999999,0.1322499999999999,0.16925,0.1937499999999999,0.087,0.26925,0.0989999999999999,0.09575,0.15975,0.1315,0.0807499999999999,0.069,0.0745,0.03375,0.089,0.0379999999999999,0.0915,0.31625,0.1589999999999999,0.08,0.1674999999999999,0.03925,0.08675,0.0439999999999999,0.18425,0.24975,0.09675,0.03375,0.1315,0.03975,0.0205,0.0817499999999999,0.0499999999999999,0.23375,0.0595,0.0645,0.0657499999999999,0.0459999999999999,0.0615,0.1215,0.0242499999999999,0.09775,0.029,0.03025,0.0635,0.2155,0.11775,0.063,0.0672499999999999,0.018
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",0.83575,0.74725,0.74725,0.71,0.71,0.71,0.71,0.609,0.71,0.7155,0.4215,0.515,0.7155,0.532,0.26325,0.18275,0.2734999999999999,0.71075,0.6005,0.309,0.54725,0.2847499999999999,0.69875,0.4155,0.4105,0.54175,0.283,0.303,0.0762499999999999,0.1262499999999999,0.6335,0.18175,0.5605,0.1375,0.1285,0.126,0.1405,0.1144999999999999,0.28225,0.27125,0.22625,0.0459999999999999,0.4034999999999999,0.11775,0.137,0.22125,0.38825,0.23925,0.373,0.1059999999999999,0.8340000000000001,0.1609999999999999,0.308,0.1694999999999999,0.25175,0.29125,0.12075,0.291,0.3415,0.0857499999999999,0.0795,0.1024999999999999,0.43625,0.11525,0.0735,0.0885,0.14925,0.396,0.1009999999999999,0.0915,0.0737499999999999,0.1307499999999999,0.06025,0.3087499999999999,0.17775,0.238,0.10875,0.03125,0.1935,0.0489999999999999,0.0147499999999999,0.23825,0.0715,0.1679999999999999,0.0454999999999999,0.32825,0.1644999999999999,0.0725,0.672,0.14875,0.03925,0.05675,0.205,0.0574999999999999,0.399,0.2244999999999999,0.0569999999999999,0.0949999999999999,0.0197499999999999,0.0484999999999999,0.0672499999999999,0.04425,0.0464999999999999,0.22575,0.0267499999999999,0.026,0.39875,0.35275,0.0449999999999999,0.7569999999999999,0.1535,0.0499999999999999,0.006,0.0275,0.0384999999999999,0.15925,0.0702499999999999,0.286,0.2145,0.029,0.15375,0.04975,0.0344999999999999,0.0257499999999999,0.0444999999999999,0.0187499999999999,0.03425,0.0247499999999999,0.0222499999999999,0.024,0.0155,0.061,0.04125,0.03275,0.059,0.0815,0.0227499999999999,0.0142499999999999,0.05875,0.2115,0.0147499999999999,0.0112499999999999,0.0102499999999999,0.0554999999999999,0.0394999999999999,0.018,0.0225,0.0102499999999999,0.0065
"Boys of St. Vincent, The (1992)",0.5845,0.8082499999999999,0.8612500000000001,0.8082499999999999,0.62975,0.69,0.69,0.63475,0.8612500000000001,0.69,0.6195,0.4335,0.69,0.31925,0.44375,0.8082499999999999,0.11675,0.3475,0.36575,0.30425,0.7649999999999999,0.3097499999999999,0.551,0.2145,0.3532499999999999,0.384,0.3502499999999999,0.2574999999999999,0.384,0.14725,0.25,0.18625,0.26375,0.11975,0.0687499999999999,0.1795,0.2194999999999999,0.30325,0.2375,0.3275,0.2324999999999999,0.10475,0.0469999999999999,0.3415,0.4399999999999999,0.1907499999999999,0.12475,0.26425,0.34125,0.25875,0.16925,0.1475,0.1885,0.3097499999999999,0.2027499999999999,0.0949999999999999,0.1395,0.0827499999999999,0.03425,0.25,0.0984999999999999,0.2674999999999999,0.1345,0.144,0.1114999999999999,0.0785,0.58025,0.1054999999999999,0.243,0.0817499999999999,0.1119999999999999,0.0797499999999999,0.23625,0.0509999999999999,0.0797499999999999,0.0745,0.12,0.1327499999999999,0.1034999999999999,0.0925,0.16975,0.214,0.092,0.093,0.1397499999999999,0.09475,0.0559999999999999,0.16875,0.076,0.2007499999999999,0.2445,0.09375,0.40475,0.38975,0.215,0.1654999999999999,0.0757499999999999,0.05025,0.03875,0.423,0.0964999999999999,0.14625,0.1084999999999999,0.0974999999999999,0.0697499999999999,0.1599999999999999,0.0737499999999999,0.04175,0.0459999999999999,0.03675,0.066,0.1039999999999999,0.0635,0.1669999999999999,0.0499999999999999,0.04525,0.0544999999999999,0.1009999999999999,0.0354999999999999,0.0579999999999999,0.0865,0.0645,0.0857499999999999,0.0277499999999999,0.0579999999999999,0.03075,0.0449999999999999,0.11325,0.075,0.04625,0.0702499999999999,0.03575,0.1555,0.1325,0.03925,0.028,0.15125,0.027,0.08925,0.017,0.1285,0.05525,0.025,0.04025,0.10825,0.0257499999999999,0.03625,0.0272499999999999,0.0257499999999999
Frankie Starlight (1995),0.61025,0.5605,0.61025,0.57125,0.4865,0.724,0.58475,0.3325,0.307,0.4865,0.531,0.4419999999999999,0.65975,0.27825,0.2857499999999999,0.27775,0.1074999999999999,0.58475,0.1825,0.4599999999999999,0.266,0.34275,0.3974999999999999,0.6215,0.48675,0.288,0.345,0.2002499999999999,0.288,0.2975,0.28125,0.22775,0.266,0.21025,0.52625,0.25525,0.47875,0.0832499999999999,0.22775,0.1977499999999999,0.2224999999999999,0.0905,0.092,0.30625,0.1887499999999999,0.2304999999999999,0.139,0.1134999999999999,0.15225,0.955,0.14725,0.17075,0.21625,0.09325,0.09075,0.0484999999999999,0.1445,0.0344999999999999,0.0605,0.11125,0.152,0.19,0.2865,0.21725,0.1099999999999999,0.381,0.17725,0.0837499999999999,0.1935,0.06025,0.1034999999999999,0.09525,0.1589999999999999,0.1285,0.0514999999999999,0.0564999999999999,0.1034999999999999,0.0865,0.08875,0.0905,0.4575,0.091,0.1317499999999999,0.1337499999999999,0.0662499999999999,0.123,0.085,0.0429999999999999,0.0964999999999999,0.29425,0.14125,0.10175,0.15975,0.0529999999999999,0.0702499999999999,0.1302499999999999,0.1159999999999999,0.05025,0.03275,0.14125,0.03125,0.44475,0.0905,0.0695,0.062,0.374,0.11475,0.1967499999999999,0.0534999999999999,0.06,0.0747499999999999,0.06025,0.1034999999999999,0.05675,0.0875,0.069,0.04225,0.08625,0.03975,0.14225,0.04775,0.04325,0.03725,0.0539999999999999,0.065,0.05375,0.0732499999999999,0.0172499999999999,0.077,0.0125,0.0692499999999999,0.04725,0.03725,0.1104999999999999,0.354,0.0369999999999999,0.05025,0.0349999999999999,0.04025,0.0722499999999999,0.0459999999999999,0.0207499999999999,0.0275,0.05475,0.0925,0.03175,0.0202499999999999,0.014,0.0215
Feast of July (1995),0.855,0.62775,0.855,0.855,0.6245,0.6245,0.6245,0.58725,0.6245,0.51325,0.4247499999999999,0.42025,0.5405,0.51325,0.31725,0.298,0.50225,0.5325,0.1004999999999999,0.2604999999999999,0.5,0.1089999999999999,0.1957499999999999,0.3279999999999999,0.49175,0.1347499999999999,0.3445,0.21775,0.1322499999999999,0.54425,0.2857499999999999,0.15325,0.205,0.7682500000000001,0.05775,0.213,0.8245,0.3037499999999999,0.12125,0.2877499999999999,0.24475,0.0637499999999999,0.0712499999999999,0.187,0.2815,0.2017499999999999,0.5575,0.3652499999999999,0.4205,0.205,0.16525,0.1977499999999999,0.1725,0.1004999999999999,0.15975,0.11175,0.0795,0.146,0.23275,0.09725,0.12475,0.3045,0.1475,0.6225,0.2055,0.078,0.358,0.0815,0.11325,0.1079999999999999,0.0805,0.08625,0.1282499999999999,0.3037499999999999,0.09675,0.0832499999999999,0.3195,0.1495,0.10675,0.0675,0.03675,0.0842499999999999,0.0677499999999999,0.1325,0.22925,0.0635,0.21675,0.09425,0.1305,0.0692499999999999,0.0424999999999999,0.251,0.0817499999999999,0.1922499999999999,0.23325,0.17225,0.093,0.04425,0.0255,0.0424999999999999,0.15125,0.05975,0.0785,0.0837499999999999,0.0329999999999999,0.0657499999999999,0.082,0.05925,0.0584999999999999,0.0817499999999999,0.1149999999999999,0.03375,0.013,0.1654999999999999,0.04275,0.0524999999999999,0.278,0.14625,0.01,0.23925,0.12375,0.415,0.132,0.03775,0.04975,0.0282499999999999,0.0265,0.0815,0.029,0.04675,0.0647499999999999,0.0225,0.023,0.05025,0.022,0.0195,0.085,0.0147499999999999,0.0285,0.0579999999999999,0.0237499999999999,0.0137499999999999,0.0232499999999999,0.1154999999999999,0.10025,0.027,0.0282499999999999,0.017,0.0157499999999999
