movieId,betrayal,good,original,surveillance,weird,greed,culture clash,vengeance,runaway,chase,drama,predictable,mentor,catastrophe,dialogue,melancholic,weapons,pornography,first contact,adaptation,fight scenes,kidnapping,death,fun movie,not funny,sexy,life philosophy,lawyer,fantasy world,independent film,light,nudity (full frontal - brief),internet,life & death,writers,very funny,hospital,underrated,teen movie,drinking,family,doctors,classic car,pulp,creativity,transformation,quirky,absurd,sacrifice,dysfunctional family,islam,irish accent,women,memory,survival,hotel,california,stereotypes,blindness,divorce,unlikely friendships,film noir,nudity (topless - brief),multiple storylines,childhood,prejudice,alter ego,nudity (rear),small town,notable nudity,computer animation,new york city,new jersey,queer,prison,no plot,road movie,period piece,remake,san francisco,british,foul language,alternate history,censorship,farce,too long,unlikeable characters,simple,addiction,mad scientist,los angeles,camp,dreams,atheism,good music,workplace,wartime,island,80s,single father,adoption,interracial romance,ensemble cast,wilderness,race,indians,brothers,directorial debut,bollywood,hunting,russian,stand-up comedy,shopping,hip hop,stoner movie,radio,kick-butt women,robert downey jr,god,awesome soundtrack,potential oscar nom,cancer,prostitution,homeless,texas,made for tv,1930s,fashion,graphic novel,reality tv,buddy movie,immortality,time,father daughter relationship,ghosts/afterlife,desert,tokyo,australia,goth,best of 2005,wine,too short,oil,trilogy,snakes,finnish,french,rebellion,documentary
Copycat (1995),0.902,0.902,0.70475,0.902,0.90525,0.84425,0.8115000000000001,0.6965,0.90525,0.7725,0.66725,0.5535,0.6455,0.49,0.348,0.308,0.4875,0.33225,0.4875,0.3794999999999999,0.31625,0.3864999999999999,0.39425,0.3065,0.37475,0.239,0.26875,0.208,0.26325,0.123,0.3335,0.261,0.582,0.14425,0.2947499999999999,0.25525,0.276,0.3015,0.2825,0.14575,0.246,0.25275,0.21525,0.211,0.25375,0.2199999999999999,0.2385,0.1927499999999999,0.2194999999999999,0.14575,0.1029999999999999,0.176,0.516,0.1714999999999999,0.2075,0.126,0.2895,0.1875,0.253,0.1694999999999999,0.1455,0.11075,0.11175,0.136,0.174,0.10675,0.22825,0.14875,0.1322499999999999,0.0969999999999999,0.1614999999999999,0.09025,0.09125,0.182,0.21575,0.1584999999999999,0.11275,0.17125,0.05975,0.8447499999999999,0.1164999999999999,0.1275,0.1362499999999999,0.146,0.0707499999999999,0.09,0.03675,0.1245,0.0692499999999999,0.0807499999999999,0.14325,0.1039999999999999,0.1039999999999999,0.0645,0.1684999999999999,0.26275,0.0642499999999999,0.143,0.0792499999999999,0.066,0.0712499999999999,0.0757499999999999,0.0305,0.0762499999999999,0.09075,0.0687499999999999,0.059,0.07,0.09025,0.1967499999999999,0.064,0.0775,0.1277499999999999,0.078,0.0722499999999999,0.17125,0.0519999999999999,0.0805,0.03425,0.06175,0.0524999999999999,0.0384999999999999,0.0772499999999999,0.05725,0.0595,0.06125,0.1099999999999999,0.081,0.0632499999999999,0.0845,0.0944999999999999,0.086,0.0752499999999999,0.03475,0.0742499999999999,0.0364999999999999,0.0549999999999999,0.0635,0.0272499999999999,0.0232499999999999,0.0484999999999999,0.0509999999999999,0.018,0.03425,0.04125,0.0272499999999999,0.04075,0.029,0.0257499999999999
Eye for an Eye (1996),0.8045,0.66425,0.556,0.59625,0.5135,0.502,0.50725,0.9975,0.565,0.4992499999999999,0.58275,0.45025,0.45725,0.46325,0.2827499999999999,0.1892499999999999,0.24175,0.51025,0.26275,0.21825,0.3582499999999999,0.37,0.345,0.138,0.36275,0.207,0.30125,0.67625,0.29525,0.176,0.15825,0.3035,0.2005,0.1624999999999999,0.0847499999999999,0.275,0.15075,0.17775,0.66425,0.176,0.362,0.1124999999999999,0.3107499999999999,0.12325,0.1392499999999999,0.291,0.1599999999999999,0.10725,0.30725,0.26075,0.086,0.0994999999999999,0.555,0.141,0.09075,0.1169999999999999,0.20575,0.153,0.16125,0.2045,0.10825,0.071,0.1902499999999999,0.1252499999999999,0.1465,0.12325,0.2075,0.04375,0.1104999999999999,0.0797499999999999,0.1465,0.0499999999999999,0.0792499999999999,0.1262499999999999,0.135,0.078,0.082,0.06125,0.06075,0.1104999999999999,0.0544999999999999,0.04775,0.0935,0.198,0.1277499999999999,0.1305,0.0534999999999999,0.0692499999999999,0.04475,0.0755,0.0852499999999999,0.06175,0.05475,0.0655,0.09325,0.063,0.05125,0.0717499999999999,0.04775,0.308,0.1475,0.146,0.05525,0.1149999999999999,0.05075,0.0514999999999999,0.0672499999999999,0.05175,0.03775,0.12475,0.04375,0.059,0.0742499999999999,0.10275,0.0519999999999999,0.0275,0.05975,0.0419999999999999,0.0419999999999999,0.06225,0.0449999999999999,0.04375,0.0747499999999999,0.0324999999999999,0.04075,0.05225,0.03,0.0374999999999999,0.1927499999999999,0.06,0.04075,0.0509999999999999,0.0314999999999999,0.1709999999999999,0.0637499999999999,0.04575,0.03525,0.025,0.11175,0.0232499999999999,0.065,0.06125,0.0635,0.0277499999999999,0.03475,0.0162499999999999,0.0354999999999999,0.0245,0.0132499999999999
"Juror, The (1996)",0.8827499999999999,0.8827499999999999,0.6145,0.8827499999999999,0.6925,0.697,0.697,0.576,0.4485,0.6105,0.3189999999999999,0.49075,0.57825,0.4409999999999999,0.38575,0.36775,0.3139999999999999,0.206,0.3285,0.2425,0.3139999999999999,0.1967499999999999,0.1942499999999999,0.1584999999999999,0.35475,0.3097499999999999,0.38425,0.37375,0.2825,0.10275,0.1644999999999999,0.17825,0.3465,0.152,0.11125,0.2085,0.14475,0.1649999999999999,0.1555,0.0984999999999999,0.23825,0.16325,0.15175,0.1455,0.176,0.18675,0.1332499999999999,0.139,0.22975,0.1009999999999999,0.0812499999999999,0.28025,0.1282499999999999,0.1014999999999999,0.1365,0.09525,0.091,0.1917499999999999,0.17525,0.11975,0.3452499999999999,0.0857499999999999,0.2897499999999999,0.14975,0.1275,0.065,0.1365,0.1917499999999999,0.1235,0.0742499999999999,0.1277499999999999,0.0605,0.10025,0.11125,0.10125,0.12025,0.0615,0.05725,0.05475,0.11025,0.04125,0.04025,0.11825,0.04075,0.0715,0.16275,0.0775,0.0695,0.0574999999999999,0.0792499999999999,0.0369999999999999,0.0792499999999999,0.0775,0.05075,0.0767499999999999,0.0722499999999999,0.0379999999999999,0.05225,0.0434999999999999,0.0964999999999999,0.05975,0.0855,0.04825,0.0847499999999999,0.0379999999999999,0.05775,0.0655,0.0369999999999999,0.04125,0.04575,0.06025,0.068,0.081,0.11075,0.0514999999999999,0.04725,0.06025,0.0434999999999999,0.0314999999999999,0.06025,0.026,0.1317499999999999,0.0409999999999999,0.0349999999999999,0.0444999999999999,0.05925,0.04425,0.05275,0.0162499999999999,0.02975,0.029,0.0792499999999999,0.03975,0.0197499999999999,0.04075,0.0227499999999999,0.03625,0.0265,0.0277499999999999,0.014,0.083,0.0657499999999999,0.0549999999999999,0.028,0.0257499999999999,0.04025,0.0237499999999999,0.0207499999999999,0.0157499999999999
Nick of Time (1995),0.92225,0.99175,0.71425,0.99175,0.91225,0.75125,0.91225,0.60375,0.5845,0.9025,0.499,0.71975,0.52225,0.51175,0.3542499999999999,0.32375,0.71975,0.3259999999999999,0.71975,0.1942499999999999,0.629,0.9095,0.25925,0.58025,0.34025,0.1835,0.3722499999999999,0.16825,0.3339999999999999,0.14125,0.2997499999999999,0.2105,0.37375,0.2095,0.1669999999999999,0.2355,0.24525,0.367,0.185,0.1402499999999999,0.2694999999999999,0.2827499999999999,0.29025,0.22125,0.151,0.2269999999999999,0.24175,0.209,0.2435,0.179,0.6025,0.2345,0.17525,0.172,0.2435,0.6095,0.73325,0.1377499999999999,0.22025,0.16375,0.17225,0.1129999999999999,0.1664999999999999,0.18225,0.1745,0.089,0.17775,0.14175,0.08625,0.089,0.1679999999999999,0.10025,0.151,0.1347499999999999,0.1235,0.2927499999999999,0.1945,0.0762499999999999,0.086,0.2319999999999999,0.05925,0.0615,0.1325,0.0842499999999999,0.145,0.132,0.06175,0.2012499999999999,0.0544999999999999,0.1014999999999999,0.77875,0.0822499999999999,0.11325,0.075,0.0857499999999999,0.09425,0.0732499999999999,0.128,0.09975,0.15475,0.11125,0.0842499999999999,0.05775,0.09875,0.16925,0.086,0.0484999999999999,0.0685,0.0767499999999999,0.2055,0.062,0.0842499999999999,0.22475,0.072,0.0645,0.05875,0.1347499999999999,0.0707499999999999,0.0349999999999999,0.0715,0.11025,0.04675,0.04825,0.0539999999999999,0.05275,0.0974999999999999,0.04525,0.0454999999999999,0.0285,0.0662499999999999,0.04975,0.0665,0.69425,0.1307499999999999,0.05175,0.1569999999999999,0.0637499999999999,0.04675,0.03775,0.0685,0.04025,0.17175,0.085,0.04175,0.0712499999999999,0.0324999999999999,0.0305,0.028,0.023
City Hall (1996),0.974,0.8685,0.6785,0.8685,0.53925,0.974,0.974,0.4625,0.609,0.5495,0.7577499999999999,0.43875,0.81175,0.4499999999999999,0.595,0.5575,0.2204999999999999,0.37775,0.25475,0.25425,0.2204999999999999,0.0802499999999999,0.3315,0.208,0.373,0.1589999999999999,0.395,0.64475,0.3492499999999999,0.26625,0.34025,0.2684999999999999,0.1405,0.2007499999999999,0.298,0.22125,0.16275,0.31425,0.15725,0.3129999999999999,0.20725,0.14375,0.257,0.23225,0.14475,0.208,0.21175,0.2065,0.18425,0.1922499999999999,0.9765,0.32125,0.16525,0.0842499999999999,0.1089999999999999,0.12025,0.22575,0.2279999999999999,0.10475,0.065,0.376,0.1225,0.1917499999999999,0.1634999999999999,0.155,0.17975,0.153,0.15125,0.3047499999999999,0.1109999999999999,0.16175,0.77675,0.6185,0.17025,0.11825,0.10525,0.19,0.0732499999999999,0.0732499999999999,0.10775,0.11125,0.0885,0.14325,0.118,0.0652499999999999,0.135,0.0717499999999999,0.1365,0.22275,0.0935,0.124,0.0757499999999999,0.09625,0.0777499999999999,0.1129999999999999,0.10075,0.1129999999999999,0.09125,0.08,0.0835,0.092,0.09575,0.1525,0.0717499999999999,0.0984999999999999,0.2165,0.10025,0.0712499999999999,0.0772499999999999,0.0695,0.06025,0.072,0.0822499999999999,0.0627499999999999,0.10175,0.0812499999999999,0.09875,0.0665,0.0529999999999999,0.0857499999999999,0.05525,0.066,0.0742499999999999,0.062,0.14675,0.06075,0.0559999999999999,0.0424999999999999,0.0354999999999999,0.05575,0.0424999999999999,0.05825,0.04725,0.04875,0.0802499999999999,0.09175,0.0727499999999999,0.0394999999999999,0.0354999999999999,0.03575,0.027,0.0419999999999999,0.079,0.0409999999999999,0.04225,0.03375,0.03475,0.04875,0.03025
Unforgettable (1996),0.8785000000000001,0.8785000000000001,0.66075,0.8785000000000001,0.48275,0.52025,0.52025,0.4555,0.379,0.72825,0.486,0.5245,0.4465,0.5245,0.3159999999999999,0.3,0.294,0.2229999999999999,0.5365,0.23725,0.294,0.11225,0.1435,0.30725,0.355,0.17625,0.364,0.2209999999999999,0.26975,0.15375,0.22875,0.2714999999999999,0.1735,0.18725,0.1584999999999999,0.2309999999999999,0.3465,0.1985,0.17625,0.1149999999999999,0.2189999999999999,0.34025,0.16025,0.26775,0.1897499999999999,0.17975,0.18075,0.125,0.12075,0.1252499999999999,0.0795,0.367,0.1367499999999999,0.64175,0.0722499999999999,0.1375,0.17825,0.1275,0.145,0.09575,0.175,0.09825,0.1275,0.1262499999999999,0.26675,0.082,0.1322499999999999,0.1815,0.1004999999999999,0.1129999999999999,0.154,0.063,0.05925,0.176,0.10375,0.0712499999999999,0.09775,0.09825,0.03475,0.14725,0.074,0.0569999999999999,0.10925,0.0895,0.0782499999999999,0.12375,0.0319999999999999,0.0994999999999999,0.14575,0.1265,0.03475,0.0677499999999999,0.1425,0.0762499999999999,0.10425,0.0675,0.04375,0.077,0.05125,0.06075,0.10875,0.076,0.05025,0.10075,0.0762499999999999,0.0842499999999999,0.0569999999999999,0.05075,0.0695,0.09325,0.05375,0.0672499999999999,0.0484999999999999,0.0514999999999999,0.06225,0.0705,0.0584999999999999,0.061,0.04275,0.085,0.0314999999999999,0.04175,0.03475,0.0255,0.0464999999999999,0.0424999999999999,0.0569999999999999,0.089,0.0519999999999999,0.03475,0.0564999999999999,0.0642499999999999,0.0499999999999999,0.03325,0.0305,0.05875,0.05125,0.04075,0.0242499999999999,0.0175,0.05875,0.027,0.0175,0.0329999999999999,0.023,0.0722499999999999,0.0305,0.03025,0.0225
Jade (1995),0.926,0.6585,0.70675,0.6585,0.6955,0.63625,0.63625,0.649,0.4195,0.8652500000000001,0.37825,0.4972499999999999,0.494,0.43025,0.506,0.67525,0.32075,0.98125,0.298,0.3512499999999999,0.3485,0.1674999999999999,0.32675,0.3195,0.36,0.98125,0.3115,0.57025,0.2465,0.1225,0.2405,0.4762499999999999,0.20925,0.16475,0.2624999999999999,0.2664999999999999,0.1257499999999999,0.16275,0.1114999999999999,0.10225,0.181,0.1735,0.20425,0.3129999999999999,0.1935,0.2294999999999999,0.21675,0.173,0.1175,0.1694999999999999,0.2319999999999999,0.1435,0.3,0.1455,0.0765,0.14925,0.411,0.138,0.60775,0.16525,0.2355,0.1917499999999999,0.38975,0.18025,0.1445,0.09125,0.1614999999999999,0.58525,0.0647499999999999,0.1725,0.1589999999999999,0.08825,0.1169999999999999,0.1315,0.0925,0.1545,0.09225,0.0807499999999999,0.084,0.9215,0.0722499999999999,0.076,0.1515,0.4965,0.237,0.12475,0.04025,0.16325,0.0989999999999999,0.11725,0.0755,0.14225,0.1664999999999999,0.0642499999999999,0.076,0.28025,0.0564999999999999,0.10975,0.0625,0.04425,0.0842499999999999,0.0797499999999999,0.0707499999999999,0.075,0.03775,0.073,0.0667499999999999,0.074,0.04725,0.04475,0.0677499999999999,0.059,0.0732499999999999,0.068,0.05125,0.0822499999999999,0.0707499999999999,0.0459999999999999,0.04775,0.0832499999999999,0.04275,0.0494999999999999,0.497,0.0504999999999999,0.0394999999999999,0.04475,0.0637499999999999,0.0529999999999999,0.0727499999999999,0.0747499999999999,0.04425,0.0705,0.05025,0.0285,0.0454999999999999,0.04775,0.064,0.0195,0.0364999999999999,0.0187499999999999,0.0374999999999999,0.08625,0.1064999999999999,0.03525,0.0305,0.05975,0.0354999999999999,0.026,0.0137499999999999
Mute Witness (1994),0.914,0.914,0.73825,0.914,0.86175,0.40575,0.86175,0.5415,0.41825,0.91525,0.60875,0.363,0.37725,0.4459999999999999,0.3605,0.41825,0.423,0.27775,0.273,0.2995,0.423,0.32425,0.1965,0.48875,0.3195,0.3485,0.257,0.0765,0.23975,0.44825,0.359,0.2744999999999999,0.15075,0.32325,0.20975,0.25475,0.2309999999999999,0.22525,0.17975,0.1765,0.1535,0.084,0.3722499999999999,0.218,0.22125,0.21925,0.384,0.187,0.21575,0.1589999999999999,0.078,0.2425,0.15725,0.0895,0.1735,0.2219999999999999,0.131,0.2875,0.37925,0.05625,0.22225,0.11075,0.0837499999999999,0.14325,0.1982499999999999,0.137,0.15325,0.139,0.1664999999999999,0.18425,0.16175,0.0519999999999999,0.12275,0.1385,0.11375,0.09525,0.0964999999999999,0.119,0.0215,0.09575,0.1054999999999999,0.12175,0.09325,0.0504999999999999,0.125,0.10975,0.0989999999999999,0.12325,0.0399999999999999,0.0752499999999999,0.0484999999999999,0.11375,0.0832499999999999,0.04125,0.11075,0.066,0.065,0.0815,0.064,0.027,0.0817499999999999,0.0745,0.05625,0.0939999999999999,0.0595,0.0652499999999999,0.0822499999999999,0.0954999999999999,0.1154999999999999,0.14425,0.3732499999999999,0.084,0.0369999999999999,0.0464999999999999,0.0584999999999999,0.0655,0.1034999999999999,0.0344999999999999,0.0379999999999999,0.084,0.0539999999999999,0.03725,0.04025,0.0235,0.05375,0.148,0.0984999999999999,0.1154999999999999,0.44175,0.08875,0.067,0.0504999999999999,0.0265,0.0722499999999999,0.0235,0.0504999999999999,0.0429999999999999,0.0905,0.0285,0.0484999999999999,0.0605,0.03975,0.02975,0.04575,0.03575,0.0469999999999999,0.0419999999999999,0.03625,0.0172499999999999
Disclosure (1994),0.8440000000000001,0.875,0.618,0.875,0.808,0.63775,0.808,0.517,0.69075,0.6475,0.434,0.647,0.6445,0.647,0.436,0.24225,0.23525,0.97825,0.647,0.97075,0.30225,0.14425,0.2145,0.30225,0.3635,0.97825,0.33975,0.73425,0.27,0.3259999999999999,0.2524999999999999,0.3349999999999999,0.666,0.1674999999999999,0.21025,0.2564999999999999,0.141,0.1649999999999999,0.2925,0.3259999999999999,0.203,0.216,0.26225,0.1292499999999999,0.302,0.28625,0.1649999999999999,0.23075,0.26825,0.1124999999999999,0.54375,0.12175,0.57325,0.074,0.089,0.1644999999999999,0.1387499999999999,0.1574999999999999,0.17125,0.2385,0.145,0.083,0.12025,0.1335,0.1525,0.1084999999999999,0.20625,0.2925,0.087,0.1609999999999999,0.1644999999999999,0.0812499999999999,0.0925,0.1275,0.0772499999999999,0.23125,0.064,0.121,0.0767499999999999,0.3015,0.05825,0.05625,0.1925,0.3475,0.09,0.0974999999999999,0.0247499999999999,0.09225,0.0825,0.1235,0.0439999999999999,0.10175,0.05975,0.1054999999999999,0.0949999999999999,0.93875,0.0569999999999999,0.192,0.0772499999999999,0.0514999999999999,0.064,0.181,0.0519999999999999,0.082,0.05325,0.08675,0.0524999999999999,0.04625,0.0637499999999999,0.04175,0.0675,0.08675,0.16575,0.0625,0.05575,0.11875,0.0635,0.0459999999999999,0.04075,0.0949999999999999,0.03125,0.0499999999999999,0.0895,0.03225,0.0439999999999999,0.0645,0.04575,0.0757499999999999,0.10125,0.0484999999999999,0.021,0.0509999999999999,0.03675,0.0222499999999999,0.0509999999999999,0.0559999999999999,0.05275,0.0267499999999999,0.03425,0.0222499999999999,0.11825,0.0775,0.121,0.04025,0.0277499999999999,0.04675,0.04825,0.019,0.016
Just Cause (1995),0.879,0.839,0.62325,0.839,0.691,0.8140000000000001,0.8140000000000001,0.931,0.61375,0.80375,0.44775,0.57575,0.67025,0.4772499999999999,0.2774999999999999,0.3215,0.3319999999999999,0.3625,0.3319999999999999,0.2875,0.296,0.39575,0.7737499999999999,0.2564999999999999,0.34375,0.16575,0.386,0.88775,0.258,0.14075,0.1987499999999999,0.297,0.31475,0.25625,0.1292499999999999,0.26975,0.21575,0.15375,0.3107499999999999,0.14075,0.2304999999999999,0.17475,0.3319999999999999,0.3525,0.2017499999999999,0.22275,0.183,0.175,0.20975,0.1302499999999999,0.274,0.25475,0.23275,0.11075,0.077,0.11225,0.1245,0.3692499999999999,0.2095,0.1262499999999999,0.1569999999999999,0.08925,0.1835,0.1149999999999999,0.1664999999999999,0.2415,0.1535,0.1649999999999999,0.2495,0.08775,0.132,0.0847499999999999,0.30725,0.1114999999999999,0.393,0.1704999999999999,0.17925,0.0969999999999999,0.04975,0.1594999999999999,0.0717499999999999,0.0677499999999999,0.1357499999999999,0.10625,0.0544999999999999,0.0964999999999999,0.03075,0.0742499999999999,0.0665,0.0842499999999999,0.04375,0.0672499999999999,0.0822499999999999,0.0835,0.0905,0.12425,0.0647499999999999,0.0857499999999999,0.0554999999999999,0.1074999999999999,0.09825,0.11275,0.0509999999999999,0.0787499999999999,0.0735,0.09125,0.0742499999999999,0.063,0.06125,0.0795,0.1845,0.087,0.121,0.0717499999999999,0.05225,0.075,0.08875,0.0544999999999999,0.0424999999999999,0.078,0.03275,0.0675,0.0655,0.0615,0.0494999999999999,0.0464999999999999,0.0504999999999999,0.031,0.0414999999999999,0.0339999999999999,0.0364999999999999,0.0737499999999999,0.025,0.04025,0.1215,0.0369999999999999,0.05025,0.0489999999999999,0.0409999999999999,0.0339999999999999,0.05075,0.05925,0.0652499999999999,0.0409999999999999,0.0369999999999999,0.0292499999999999,0.03625,0.0292499999999999,0.0205
