movieId,weird,greed,original,runaway,melancholic,light,culture clash,good,drama,very funny,farce,vengeance,dialogue,fun movie,betrayal,chase,mentor,drinking,1930s,film noir,catastrophe,adaptation,period piece,independent film,childhood,absurd,quirky,divorce,surveillance,unlikely friendships,sexy,hotel,british,transformation,life philosophy,creativity,life & death,family,women,fantasy world,pornography,prejudice,predictable,fight scenes,islam,wartime,not funny,first contact,underrated,alter ego,sacrifice,dysfunctional family,writers,classic car,queer,death,teen movie,censorship,stereotypes,mad scientist,computer animation,california,good music,nudity (full frontal - brief),new york city,weapons,doctors,small town,simple,french,workplace,interracial romance,multiple storylines,survival,wine,hospital,road movie,san francisco,tokyo,island,pulp,fashion,blindness,dreams,memory,brothers,nudity (topless - brief),bollywood,lawyer,too long,irish accent,awesome soundtrack,radio,camp,ensemble cast,immortality,prison,new jersey,alternate history,time,desert,directorial debut,80s,oil,race,adoption,wilderness,indians,hunting,ghosts/afterlife,stand-up comedy,shopping,kidnapping,no plot,internet,snakes,rebellion,stoner movie,father daughter relationship,russian,best of 2005,atheism,made for tv,texas,addiction,prostitution,notable nudity,foul language,homeless,buddy movie,nudity (rear),finnish,robert downey jr,kick-butt women,australia,documentary,unlikeable characters,trilogy,potential oscar nom,single father,hip hop,too short,los angeles,cancer,god,goth,remake,graphic novel,reality tv
Bullets Over Broadway (1994),0.8089999999999999,0.959,0.794,0.74875,0.8089999999999999,0.794,0.8089999999999999,0.794,0.959,0.64275,0.51625,0.5405,0.74875,0.4775,0.80375,0.209,0.53,0.43925,0.861,0.1297499999999999,0.4337499999999999,0.4805,0.46375,0.4535,0.18425,0.415,0.601,0.3215,0.66375,0.2025,0.32775,0.2475,0.2564999999999999,0.29625,0.3665,0.43225,0.3339999999999999,0.09625,0.2435,0.2425,0.3305,0.3565,0.2445,0.25025,0.1315,0.1149999999999999,0.2837499999999999,0.18125,0.3399999999999999,0.285,0.1704999999999999,0.32625,0.69225,0.177,0.2339999999999999,0.1579999999999999,0.10575,0.147,0.2415,0.1285,0.1987499999999999,0.1475,0.1664999999999999,0.25725,0.84775,0.25125,0.14325,0.23075,0.10325,0.04025,0.1215,0.11575,0.303,0.0837499999999999,0.05375,0.1094999999999999,0.068,0.0494999999999999,0.08925,0.10375,0.2534999999999999,0.1109999999999999,0.0959999999999999,0.12175,0.066,0.1205,0.153,0.062,0.091,0.0672499999999999,0.207,0.1119999999999999,0.1405,0.072,0.69025,0.05175,0.0765,0.20825,0.1272499999999999,0.0414999999999999,0.04025,0.127,0.1164999999999999,0.069,0.1119999999999999,0.0999999999999999,0.13,0.0687499999999999,0.05725,0.0275,0.0752499999999999,0.03225,0.0277499999999999,0.0339999999999999,0.0837499999999999,0.0865,0.04625,0.0695,0.1169999999999999,0.03775,0.0687499999999999,0.0554999999999999,0.0549999999999999,0.11925,0.1629999999999999,0.05475,0.10575,0.149,0.05525,0.0469999999999999,0.085,0.0262499999999999,0.131,0.0715,0.03975,0.0645,0.1365,0.0414999999999999,0.11125,0.0329999999999999,0.17425,0.0175,0.04025,0.04775,0.0722499999999999,0.0399999999999999,0.0162499999999999,0.025,0.0702499999999999
Manhattan Murder Mystery (1993),0.8167500000000001,0.95625,0.8167500000000001,0.57125,0.8049999999999999,0.8167500000000001,0.46525,0.8167500000000001,0.57125,0.8454999999999999,0.45175,0.724,0.7045,0.6595,0.8685,0.569,0.43,0.4305,0.25275,0.638,0.4197499999999999,0.39875,0.21325,0.58275,0.36975,0.727,0.682,0.673,0.55875,0.32425,0.4034999999999999,0.4972499999999999,0.246,0.26375,0.2957499999999999,0.371,0.24875,0.20925,0.22275,0.2815,0.28625,0.11225,0.23775,0.1684999999999999,0.1039999999999999,0.137,0.2189999999999999,0.20725,0.43025,0.32625,0.1074999999999999,0.2244999999999999,0.54575,0.2847499999999999,0.13,0.4615,0.1342499999999999,0.1342499999999999,0.0685,0.081,0.14925,0.26075,0.0984999999999999,0.257,0.53375,0.1564999999999999,0.2847499999999999,0.1604999999999999,0.1795,0.148,0.22425,0.06175,0.35475,0.0707499999999999,0.364,0.1619999999999999,0.1205,0.124,0.0935,0.1265,0.482,0.1129999999999999,0.1395,0.0792499999999999,0.23475,0.0802499999999999,0.0797499999999999,0.0605,0.15925,0.1325,0.23025,0.0935,0.071,0.0949999999999999,0.3375,0.0344999999999999,0.12025,0.09125,0.1144999999999999,0.08775,0.0464999999999999,0.1185,0.089,0.03575,0.0802499999999999,0.16425,0.1009999999999999,0.0579999999999999,0.04875,0.0865,0.08725,0.1039999999999999,0.0984999999999999,0.1982499999999999,0.0657499999999999,0.04525,0.027,0.0785,0.0539999999999999,0.03675,0.0459999999999999,0.06225,0.04175,0.0464999999999999,0.0802499999999999,0.069,0.0737499999999999,0.076,0.04875,0.063,0.12075,0.0359999999999999,0.14975,0.0419999999999999,0.0354999999999999,0.0635,0.1149999999999999,0.0735,0.0504999999999999,0.0282499999999999,0.0584999999999999,0.025,0.12325,0.0404999999999999,0.029,0.03725,0.0215,0.0237499999999999,0.0364999999999999
"Philadelphia Story, The (1940)",0.9755,0.9755,0.9755,0.9485,0.8755,0.9485,0.9755,0.9755,0.9755,0.74475,0.8959999999999999,0.728,0.8009999999999999,0.65975,0.39525,0.31525,0.43925,0.5085,0.72125,0.749,0.4615,0.4842499999999999,0.38925,0.3522499999999999,0.3329999999999999,0.5855,0.22175,0.7475,0.39525,0.2865,0.49275,0.264,0.34275,0.4217499999999999,0.30225,0.2385,0.1589999999999999,0.2917499999999999,0.3199999999999999,0.1992499999999999,0.15625,0.4317499999999999,0.3239999999999999,0.23175,0.30025,0.1877499999999999,0.31375,0.192,0.22675,0.2445,0.17825,0.2145,0.2784999999999999,0.20725,0.27275,0.1285,0.20775,0.249,0.3279999999999999,0.2224999999999999,0.20425,0.188,0.23575,0.1992499999999999,0.1495,0.15525,0.1129999999999999,0.16325,0.1074999999999999,0.09025,0.1149999999999999,0.26975,0.15675,0.156,0.1925,0.0812499999999999,0.178,0.10725,0.0979999999999999,0.09175,0.0999999999999999,0.1292499999999999,0.1564999999999999,0.089,0.061,0.142,0.0815,0.1402499999999999,0.134,0.1305,0.1815,0.14675,0.1535,0.11175,0.364,0.0969999999999999,0.0895,0.0742499999999999,0.14825,0.0939999999999999,0.1029999999999999,0.177,0.1019999999999999,0.12175,0.1039999999999999,0.0705,0.08725,0.10925,0.0762499999999999,0.0642499999999999,0.074,0.04025,0.03275,0.0682499999999999,0.0715,0.135,0.1825,0.0647499999999999,0.09325,0.04025,0.08825,0.077,0.09875,0.0857499999999999,0.08,0.0605,0.04225,0.04625,0.03925,0.03925,0.0282499999999999,0.0242499999999999,0.0984999999999999,0.08675,0.029,0.0489999999999999,0.1654999999999999,0.05425,0.0444999999999999,0.03725,0.03275,0.04425,0.0247499999999999,0.0344999999999999,0.0324999999999999,0.0202499999999999,0.04625,0.03375,0.03375
Singin' in the Rain (1952),0.9455,0.9455,0.9455,0.89425,0.8879999999999999,0.89425,0.9455,0.9455,0.9455,0.6525,0.54125,0.52875,0.7005,0.718,0.2877499999999999,0.42525,0.4545,0.3495,0.598,0.6525,0.50875,0.352,0.42225,0.266,0.5365,0.4835,0.18525,0.0837499999999999,0.2199999999999999,0.396,0.22225,0.19,0.25,0.4345,0.28025,0.539,0.1709999999999999,0.4034999999999999,0.10025,0.22675,0.1684999999999999,0.3854999999999999,0.21325,0.3035,0.3389999999999999,0.0954999999999999,0.2145,0.2239999999999999,0.284,0.25075,0.28425,0.1905,0.10925,0.23575,0.22225,0.12375,0.26575,0.2199999999999999,0.2967499999999999,0.1355,0.217,0.18675,0.9465,0.17725,0.0875,0.15525,0.0657499999999999,0.14775,0.21725,0.05375,0.068,0.1987499999999999,0.17175,0.10775,0.06175,0.09275,0.136,0.153,0.0857499999999999,0.0939999999999999,0.122,0.09775,0.09375,0.1855,0.0999999999999999,0.21,0.0797499999999999,0.2885,0.03425,0.1932499999999999,0.12025,0.33375,0.1975,0.1342499999999999,0.1054999999999999,0.0944999999999999,0.089,0.1049999999999999,0.09625,0.0935,0.073,0.11225,0.0807499999999999,0.07,0.0939999999999999,0.03775,0.0625,0.20875,0.0364999999999999,0.0479999999999999,0.0925,0.0544999999999999,0.0544999999999999,0.195,0.0792499999999999,0.0944999999999999,0.186,0.1302499999999999,0.0792499999999999,0.0732499999999999,0.0534999999999999,0.0959999999999999,0.0717499999999999,0.0627499999999999,0.0722499999999999,0.04375,0.026,0.089,0.04475,0.1149999999999999,0.0182499999999999,0.0657499999999999,0.04325,0.0635,0.06125,0.04075,0.0494999999999999,0.063,0.0605,0.0255,0.26525,0.0529999999999999,0.0559999999999999,0.03875,0.03475,0.03075,0.0167499999999999,0.03025,0.04425
It Happened One Night (1934),0.98775,0.98775,0.98775,0.9965,0.93475,0.97625,0.9965,0.9965,0.9965,0.70775,0.957,0.8852500000000001,0.82575,0.669,0.43525,0.52275,0.558,0.5735,0.91625,0.8035000000000001,0.4499999999999999,0.39225,0.35575,0.60175,0.4569999999999999,0.2867499999999999,0.261,0.8660000000000001,0.32975,0.61325,0.601,0.4812499999999999,0.32375,0.409,0.32025,0.33125,0.29,0.2875,0.3007499999999999,0.4147499999999999,0.1327499999999999,0.43325,0.272,0.26775,0.29725,0.2065,0.2957499999999999,0.20925,0.24725,0.20525,0.40425,0.22675,0.2264999999999999,0.30825,0.1945,0.16875,0.27075,0.60975,0.23025,0.21125,0.1714999999999999,0.26875,0.21075,0.2624999999999999,0.34225,0.17025,0.203,0.22525,0.39075,0.10525,0.135,0.26425,0.1124999999999999,0.17825,0.1945,0.20925,0.796,0.16225,0.29225,0.14325,0.21225,0.15875,0.3185,0.25325,0.15075,0.21625,0.1649999999999999,0.402,0.1272499999999999,0.15875,0.151,0.11125,0.1515,0.138,0.04375,0.1084999999999999,0.127,0.1024999999999999,0.12325,0.22425,0.24075,0.1352499999999999,0.1064999999999999,0.10225,0.1315,0.089,0.15675,0.3442499999999999,0.2385,0.1624999999999999,0.0725,0.0805,0.0855,0.085,0.0702499999999999,0.151,0.16425,0.0665,0.195,0.04575,0.1054999999999999,0.0524999999999999,0.06025,0.0785,0.05275,0.0817499999999999,0.0314999999999999,0.04775,0.083,0.04725,0.0519999999999999,0.0282499999999999,0.04125,0.06025,0.0489999999999999,0.04325,0.1425,0.092,0.0489999999999999,0.0579999999999999,0.03125,0.03375,0.0459999999999999,0.03275,0.04875,0.014,0.0272499999999999,0.023,0.0212499999999999
"Apartment, The (1960)",0.97075,0.97075,0.97075,0.93225,0.93275,0.9145,0.97075,0.97075,0.97075,0.931,0.76925,0.7542500000000001,0.8287500000000001,0.666,0.4645,0.49675,0.5765,0.8665,0.2825,0.8832500000000001,0.4375,0.32775,0.365,0.871,0.5245,0.5775,0.51775,0.64425,0.362,0.7902499999999999,0.494,0.62975,0.2815,0.4485,0.50575,0.408,0.36475,0.21525,0.4712499999999999,0.215,0.39025,0.36675,0.1835,0.2007499999999999,0.27675,0.20725,0.2694999999999999,0.2584999999999999,0.39725,0.33475,0.29125,0.2774999999999999,0.33975,0.2855,0.2524999999999999,0.2155,0.12425,0.583,0.28075,0.259,0.2012499999999999,0.26175,0.199,0.2355,0.8160000000000001,0.1975,0.3884999999999999,0.27325,0.3409999999999999,0.127,0.819,0.1902499999999999,0.18725,0.2654999999999999,0.239,0.2764999999999999,0.17275,0.194,0.25325,0.12275,0.15225,0.1307499999999999,0.1955,0.2584999999999999,0.1355,0.10625,0.3085,0.0787499999999999,0.1305,0.1709999999999999,0.16775,0.1302499999999999,0.1515,0.092,0.15525,0.075,0.11275,0.25225,0.1385,0.17225,0.139,0.1825,0.12375,0.2027499999999999,0.1485,0.0765,0.286,0.0832499999999999,0.1044999999999999,0.1034999999999999,0.0712499999999999,0.139,0.0695,0.0949999999999999,0.089,0.1272499999999999,0.08825,0.1134999999999999,0.0915,0.0564999999999999,0.1265,0.06125,0.0642499999999999,0.0702499999999999,0.126,0.178,0.0374999999999999,0.09625,0.1049999999999999,0.2385,0.06175,0.0384999999999999,0.059,0.0464999999999999,0.067,0.059,0.09925,0.03275,0.0615,0.03225,0.0374999999999999,0.0212499999999999,0.0692499999999999,0.05925,0.03475,0.03975,0.014,0.0215,0.0252499999999999
Some Like It Hot (1959),0.9815,0.9815,0.9815,0.9665,0.8660000000000001,0.9665,0.9815,0.9815,0.9815,0.954,0.8919999999999999,0.6695,0.8660000000000001,0.76,0.9015,0.67425,0.4715,0.54825,0.44925,0.91975,0.4745,0.3715,0.4004999999999999,0.2917499999999999,0.3824999999999999,0.4227499999999999,0.2877499999999999,0.2385,0.69,0.5005,0.80575,0.5605,0.2345,0.4485,0.3275,0.2887499999999999,0.25725,0.174,0.74875,0.259,0.3325,0.31925,0.23775,0.3067499999999999,0.29225,0.18725,0.2264999999999999,0.1875,0.2957499999999999,0.30825,0.29225,0.14425,0.1535,0.36375,0.4912499999999999,0.20725,0.4639999999999999,0.38875,0.377,0.25975,0.1775,0.40575,0.41725,0.2259999999999999,0.10575,0.1987499999999999,0.143,0.1684999999999999,0.179,0.10875,0.20725,0.2299999999999999,0.1515,0.15975,0.189,0.11275,0.14275,0.1922499999999999,0.2714999999999999,0.0989999999999999,0.15225,0.1054999999999999,0.175,0.17275,0.0815,0.15175,0.1902499999999999,0.14275,0.147,0.15825,0.16025,0.1714999999999999,0.0885,0.1589999999999999,0.0642499999999999,0.09275,0.09975,0.1009999999999999,0.1315,0.32275,0.173,0.1405,0.11675,0.31475,0.09275,0.0705,0.15175,0.0939999999999999,0.09,0.0765,0.1139999999999999,0.0717499999999999,0.10325,0.1044999999999999,0.0825,0.1104999999999999,0.0964999999999999,0.1079999999999999,0.1009999999999999,0.0484999999999999,0.14225,0.0569999999999999,0.0384999999999999,0.0697499999999999,0.0514999999999999,0.09375,0.0354999999999999,0.1345,0.0285,0.1257499999999999,0.04875,0.0287499999999999,0.0272499999999999,0.0707499999999999,0.0344999999999999,0.0534999999999999,0.027,0.05375,0.0534999999999999,0.026,0.04625,0.03275,0.0652499999999999,0.0349999999999999,0.03775,0.0379999999999999,0.0277499999999999,0.029,0.0217499999999999
Charade (1963),0.8795,0.946,0.9155,0.8165,0.9685,0.9075,0.8795,0.946,0.8795,0.7465,0.61775,0.9155,0.7485,0.7617499999999999,0.8947499999999999,0.86175,0.509,0.4295,0.1995,0.37825,0.4692499999999999,0.358,0.3255,0.24925,0.37375,0.38425,0.3335,0.5175,0.905,0.24525,0.63925,0.592,0.3405,0.33575,0.2985,0.41,0.371,0.261,0.18075,0.3289999999999999,0.181,0.2724999999999999,0.24825,0.45475,0.3615,0.429,0.33925,0.26625,0.4177499999999999,0.25375,0.202,0.15375,0.2905,0.30325,0.20975,0.2524999999999999,0.1704999999999999,0.1987499999999999,0.21,0.133,0.207,0.1614999999999999,0.4205,0.23525,0.12025,0.25175,0.217,0.1405,0.17125,0.7827500000000001,0.123,0.1357499999999999,0.156,0.21175,0.3495,0.14125,0.15475,0.138,0.088,0.1272499999999999,0.1982499999999999,0.2319999999999999,0.197,0.1104999999999999,0.26175,0.11275,0.183,0.10125,0.147,0.1287499999999999,0.1965,0.1815,0.1094999999999999,0.1377499999999999,0.11875,0.0314999999999999,0.1609999999999999,0.076,0.1659999999999999,0.263,0.09575,0.14075,0.09575,0.1887499999999999,0.1624999999999999,0.0895,0.08725,0.0925,0.10375,0.0822499999999999,0.0757499999999999,0.0827499999999999,0.1785,0.15725,0.1604999999999999,0.0812499999999999,0.0534999999999999,0.06,0.063,0.09325,0.0905,0.124,0.05675,0.0687499999999999,0.0534999999999999,0.076,0.05675,0.0755,0.0539999999999999,0.0705,0.0605,0.03875,0.04025,0.0549999999999999,0.0439999999999999,0.066,0.05075,0.083,0.09625,0.0255,0.0252499999999999,0.03425,0.04625,0.0314999999999999,0.0255,0.0182499999999999,0.05575,0.0282499999999999,0.0282499999999999
Sabrina (1954),0.8912500000000001,0.70775,0.7895000000000001,0.8912500000000001,0.7517499999999999,0.8912500000000001,0.71275,0.84125,0.94975,0.67725,0.34375,0.6255,0.54,0.6705,0.32775,0.4782499999999999,0.51275,0.281,0.5,0.7895000000000001,0.47475,0.34275,0.512,0.23825,0.532,0.1684999999999999,0.18525,0.4605,0.2224999999999999,0.3365,0.37925,0.32325,0.29725,0.5855,0.25925,0.23675,0.147,0.53675,0.4267499999999999,0.547,0.17475,0.3482499999999999,0.249,0.2244999999999999,0.1495,0.0974999999999999,0.32875,0.18375,0.3275,0.16775,0.216,0.255,0.2259999999999999,0.16825,0.2445,0.17425,0.71475,0.21325,0.248,0.22775,0.272,0.17075,0.10275,0.18,0.67975,0.1545,0.17225,0.15575,0.18125,0.195,0.0625,0.32275,0.10475,0.14775,0.14975,0.11225,0.0974999999999999,0.187,0.1139999999999999,0.36675,0.1679999999999999,0.4014999999999999,0.21075,0.1335,0.1327499999999999,0.3325,0.09325,0.1455,0.1262499999999999,0.189,0.1679999999999999,0.09575,0.069,0.0847499999999999,0.05875,0.15225,0.0822499999999999,0.11275,0.15175,0.1307499999999999,0.093,0.1024999999999999,0.1129999999999999,0.1235,0.11575,0.088,0.14925,0.138,0.0725,0.0954999999999999,0.0632499999999999,0.1225,0.0529999999999999,0.0732499999999999,0.16225,0.12225,0.0454999999999999,0.0657499999999999,0.3515,0.04925,0.0687499999999999,0.11875,0.0742499999999999,0.066,0.0554999999999999,0.0715,0.0519999999999999,0.04425,0.03975,0.0564999999999999,0.0287499999999999,0.028,0.05625,0.1039999999999999,0.0519999999999999,0.0529999999999999,0.0579999999999999,0.05025,0.04175,0.176,0.04075,0.04775,0.0267499999999999,0.1355,0.03325,0.03225,0.20925,0.023,0.03625
Roman Holiday (1953),0.978,0.9905,0.978,0.9905,0.833,0.95425,0.9905,0.978,0.9905,0.68,0.7827500000000001,0.76,0.717,0.72675,0.394,0.47,0.6595,0.6715,0.312,0.93425,0.4599999999999999,0.32775,0.372,0.45025,0.6445,0.1589999999999999,0.2319999999999999,0.31225,0.3285,0.833,0.4842499999999999,0.42325,0.358,0.543,0.3532499999999999,0.23425,0.45025,0.366,0.189,0.6625,0.14425,0.352,0.25,0.23975,0.2927499999999999,0.38875,0.34175,0.2209999999999999,0.2887499999999999,0.22925,0.502,0.12175,0.188,0.2877499999999999,0.20525,0.2284999999999999,0.63175,0.1877499999999999,0.3015,0.23725,0.3269999999999999,0.204,0.2025,0.23775,0.245,0.172,0.2234999999999999,0.18575,0.4034999999999999,0.11975,0.0667499999999999,0.3085,0.0949999999999999,0.34325,0.15125,0.1495,0.14425,0.1895,0.185,0.1495,0.128,0.31,0.1907499999999999,0.33875,0.26,0.15625,0.181,0.4014999999999999,0.1252499999999999,0.23125,0.17575,0.1185,0.1365,0.11475,0.0212499999999999,0.2504999999999999,0.16725,0.1387499999999999,0.15475,0.2684999999999999,0.199,0.12375,0.1139999999999999,0.09725,0.15275,0.03625,0.0974999999999999,0.1619999999999999,0.119,0.202,0.0785,0.1225,0.0837499999999999,0.0692499999999999,0.0665,0.14125,0.11525,0.0687499999999999,0.1205,0.0722499999999999,0.06125,0.085,0.0807499999999999,0.0752499999999999,0.05325,0.1089999999999999,0.04625,0.1144999999999999,0.05775,0.1104999999999999,0.03475,0.0247499999999999,0.0454999999999999,0.05375,0.0682499999999999,0.04425,0.0305,0.0655,0.05875,0.04325,0.0314999999999999,0.063,0.05625,0.1059999999999999,0.0399999999999999,0.0195,0.03275,0.0242499999999999,0.0287499999999999
