movieId,original,melancholic,good,teen movie,unlikely friendships,independent film,runaway,weird,mentor,pornography,culture clash,drama,betrayal,queer,catastrophe,women,sexy,greed,dialogue,stereotypes,predictable,drinking,quirky,vengeance,childhood,life philosophy,light,adaptation,dysfunctional family,family,fantasy world,very funny,fun movie,life & death,not funny,writers,prejudice,fight scenes,chase,small town,nudity (full frontal - brief),new jersey,transformation,first contact,death,underrated,classic car,creativity,multiple storylines,awesome soundtrack,california,weapons,addiction,interracial romance,absurd,divorce,sacrifice,road movie,computer animation,internet,irish accent,british,good music,islam,camp,farce,notable nudity,dreams,hip hop,pulp,censorship,hospital,bollywood,period piece,alter ego,doctors,surveillance,nudity (topless - brief),hotel,new york city,stoner movie,directorial debut,80s,workplace,texas,cancer,ensemble cast,nudity (rear),shopping,unlikeable characters,simple,stand-up comedy,wartime,brothers,film noir,tokyo,alternate history,indians,adoption,blindness,single father,memory,foul language,kick-butt women,too long,fashion,atheism,rebellion,australia,goth,mad scientist,san francisco,los angeles,survival,race,prison,finnish,reality tv,father daughter relationship,wilderness,island,robert downey jr,no plot,prostitution,wine,1930s,graphic novel,made for tv,potential oscar nom,radio,documentary,too short,god,homeless,russian,immortality,best of 2005,kidnapping,buddy movie,ghosts/afterlife,desert,lawyer,french,trilogy,remake,hunting,snakes,time,oil
Now and Then (1995),0.5745,0.37075,0.97625,0.97625,0.98475,0.427,0.68525,0.2915,0.69225,0.731,0.427,0.546,0.47775,0.1372499999999999,0.52125,0.93675,0.356,0.38325,0.427,0.3025,0.304,0.17375,0.1614999999999999,0.379,0.90675,0.28725,0.18675,0.245,0.145,0.4395,0.3725,0.2309999999999999,0.49475,0.23525,0.303,0.15125,0.2574999999999999,0.2209999999999999,0.45775,0.33475,0.1855,0.1614999999999999,0.26575,0.25175,0.417,0.17275,0.3695,0.1689999999999999,0.1392499999999999,0.7385,0.17475,0.2209999999999999,0.0762499999999999,0.291,0.143,0.2827499999999999,0.2319999999999999,0.11225,0.1285,0.15925,0.1815,0.0675,0.427,0.147,0.183,0.069,0.09525,0.1305,0.14425,0.1079999999999999,0.05975,0.1337499999999999,0.0795,0.10275,0.143,0.11225,0.16775,0.12075,0.0835,0.04875,0.1185,0.069,0.1272499999999999,0.0449999999999999,0.0677499999999999,0.0944999999999999,0.081,0.091,0.05775,0.0287499999999999,0.1745,0.08775,0.09225,0.1195,0.082,0.09475,0.17025,0.173,0.0895,0.1322499999999999,0.1634999999999999,0.1992499999999999,0.03825,0.1054999999999999,0.0842499999999999,0.0855,0.0695,0.0652499999999999,0.0625,0.0772499999999999,0.132,0.076,0.04775,0.0757499999999999,0.1064999999999999,0.0735,0.065,0.03125,0.1009999999999999,0.1029999999999999,0.1325,0.04225,0.151,0.0812499999999999,0.03575,0.05875,0.025,0.05075,0.04175,0.09,0.0225,0.08925,0.0275,0.0277499999999999,0.05275,0.0682499999999999,0.018,0.0737499999999999,0.0529999999999999,0.05975,0.03325,0.0369999999999999,0.027,0.03225,0.076,0.0635,0.04125,0.0667499999999999,0.04525
Home for the Holidays (1995),0.67375,0.591,0.36775,0.17275,0.39725,0.39125,0.39125,0.46725,0.39825,0.27175,0.4675,0.77125,0.37925,0.4832499999999999,0.4399999999999999,0.242,0.1805,0.3295,0.5565,0.2887499999999999,0.31925,0.2734999999999999,0.92625,0.31975,0.184,0.3399999999999999,0.40725,0.3804999999999999,0.97825,0.712,0.31275,0.469,0.132,0.2145,0.2524999999999999,0.26425,0.1937499999999999,0.24375,0.2875,0.1277499999999999,0.17575,0.1317499999999999,0.283,0.29925,0.1922499999999999,0.31825,0.2495,0.20875,0.3299999999999999,0.599,0.14775,0.186,0.1084999999999999,0.17425,0.24,0.1882499999999999,0.1099999999999999,0.1159999999999999,0.1312499999999999,0.14925,0.17875,0.201,0.09025,0.0857499999999999,0.0782499999999999,0.15025,0.3305,0.0584999999999999,0.06125,0.14675,0.0695,0.09775,0.268,0.09875,0.1034999999999999,0.1054999999999999,0.08675,0.1064999999999999,0.1215,0.05525,0.081,0.1114999999999999,0.03775,0.1014999999999999,0.0722499999999999,0.0737499999999999,0.66125,0.075,0.028,0.1845,0.0847499999999999,0.0782499999999999,0.10275,0.181,0.0979999999999999,0.10125,0.09625,0.0735,0.1952499999999999,0.1325,0.0939999999999999,0.1159999999999999,0.0625,0.1805,0.081,0.0817499999999999,0.1455,0.0237499999999999,0.0785,0.0374999999999999,0.0687499999999999,0.0645,0.0434999999999999,0.05425,0.0905,0.1029999999999999,0.238,0.11675,0.15625,0.089,0.0529999999999999,0.96775,0.1049999999999999,0.0275,0.1355,0.06075,0.0524999999999999,0.10375,0.0569999999999999,0.04225,0.0504999999999999,0.0677499999999999,0.0645,0.0329999999999999,0.05775,0.05425,0.082,0.05175,0.0354999999999999,0.029,0.04875,0.03625,0.04525,0.0344999999999999,0.03,0.03625,0.03275,0.024,0.0499999999999999
Beautiful Girls (1996),0.7415,0.895,0.7405,0.61375,0.90575,0.72525,0.598,0.6615,0.81975,0.2145,0.7115,0.7885,0.4585,0.3095,0.424,0.4942499999999999,0.304,0.393,0.60825,0.291,0.2514999999999999,0.73375,0.4585,0.39525,0.4485,0.5875,0.51225,0.2887499999999999,0.2209999999999999,0.1654999999999999,0.3325,0.2774999999999999,0.60825,0.4965,0.3255,0.23375,0.4357499999999999,0.60825,0.3605,0.97575,0.274,0.4345,0.41025,0.2022499999999999,0.16325,0.3814999999999999,0.3265,0.197,0.3345,0.3715,0.32325,0.60825,0.1674999999999999,0.14825,0.12275,0.11975,0.16425,0.35775,0.1365,0.0832499999999999,0.17275,0.174,0.3715,0.0755,0.09775,0.0817499999999999,0.11175,0.28025,0.0662499999999999,0.1525,0.04975,0.21225,0.1564999999999999,0.1327499999999999,0.207,0.1475,0.1074999999999999,0.12325,0.1069999999999999,0.1907499999999999,0.15575,0.1357499999999999,0.208,0.11075,0.2,0.11425,0.7969999999999999,0.12225,0.11625,0.12275,0.23725,0.0652499999999999,0.1312499999999999,0.10975,0.09625,0.14325,0.1129999999999999,0.1064999999999999,0.0675,0.17375,0.0509999999999999,0.1455,0.11525,0.10675,0.05425,0.03775,0.0745,0.0605,0.0574999999999999,0.2155,0.0825,0.05275,0.0845,0.0795,0.132,0.1039999999999999,0.11625,0.0737499999999999,0.0579999999999999,0.0885,0.075,0.1114999999999999,0.062,0.04475,0.16275,0.1285,0.05075,0.0509999999999999,0.0675,0.12225,0.04475,0.0842499999999999,0.03025,0.11475,0.0675,0.0579999999999999,0.092,0.03,0.18075,0.20525,0.068,0.11925,0.04025,0.05575,0.028,0.0665,0.1129999999999999,0.05725,0.0707499999999999
If Lucy Fell (1996),0.69275,0.8892500000000001,0.956,0.956,0.4845,0.9665,0.4419999999999999,0.55475,0.72475,0.4067499999999999,0.29,0.2804999999999999,0.3145,0.1912499999999999,0.4519999999999999,0.2857499999999999,0.357,0.283,0.537,0.27225,0.48575,0.4237499999999999,0.61875,0.45575,0.4419999999999999,0.44375,0.3289999999999999,0.26725,0.16325,0.34175,0.302,0.39525,0.41625,0.2704999999999999,0.3037499999999999,0.5685,0.1267499999999999,0.2784999999999999,0.4635,0.1654999999999999,0.3245,0.1835,0.1925,0.2534999999999999,0.49975,0.3007499999999999,0.2465,0.2395,0.21075,0.203,0.1094999999999999,0.2085,0.11775,0.1307499999999999,0.3199999999999999,0.137,0.1277499999999999,0.10425,0.18225,0.1997499999999999,0.1579999999999999,0.092,0.17925,0.0717499999999999,0.0939999999999999,0.1877499999999999,0.0944999999999999,0.18275,0.1019999999999999,0.2065,0.07,0.14875,0.10875,0.0885,0.24475,0.12225,0.3525,0.119,0.188,0.4862499999999999,0.11775,0.11025,0.0652499999999999,0.0655,0.05725,0.0677499999999999,0.06025,0.125,0.3462499999999999,0.552,0.1154999999999999,0.079,0.0504999999999999,0.0579999999999999,0.1004999999999999,0.04825,0.1579999999999999,0.0695,0.0344999999999999,0.1029999999999999,0.0474999999999999,0.1164999999999999,0.0707499999999999,0.0685,0.1144999999999999,0.073,0.146,0.0399999999999999,0.029,0.0755,0.08725,0.1004999999999999,0.0785,0.08,0.0705,0.081,0.0187499999999999,0.1285,0.03925,0.06075,0.1099999999999999,0.11325,0.082,0.05675,0.12025,0.05975,0.03275,0.05575,0.0625,0.0989999999999999,0.024,0.0944999999999999,0.0474999999999999,0.0675,0.0682499999999999,0.0925,0.031,0.03725,0.05125,0.20425,0.0285,0.04325,0.0319999999999999,0.0499999999999999,0.0625,0.04125,0.0419999999999999,0.087,0.0295
Pie in the Sky (1996),0.62525,0.58175,0.7737499999999999,0.61775,0.3695,0.54875,0.45875,0.6005,0.52725,0.4479999999999999,0.51325,0.3007499999999999,0.2847499999999999,0.25825,0.45175,0.262,0.36675,0.4217499999999999,0.3345,0.10125,0.30425,0.256,0.6925,0.41725,0.45875,0.32025,0.256,0.269,0.21875,0.383,0.33075,0.252,0.30125,0.58025,0.33525,0.39775,0.269,0.1932499999999999,0.2334999999999999,0.392,0.1887499999999999,0.2977499999999999,0.209,0.27025,0.25875,0.29425,0.509,0.22725,0.17775,0.15825,0.121,0.1915,0.077,0.22075,0.1599999999999999,0.09525,0.10025,0.1335,0.2299999999999999,0.11275,0.3249999999999999,0.10375,0.14875,0.1134999999999999,0.0885,0.10325,0.294,0.68025,0.0777499999999999,0.15825,0.06175,0.1124999999999999,0.067,0.138,0.1932499999999999,0.1564999999999999,0.0564999999999999,0.0657499999999999,0.0705,0.1377499999999999,0.1415,0.11375,0.22825,0.1129999999999999,0.17575,0.09075,0.04575,0.26225,0.1915,0.0504999999999999,0.125,0.0529999999999999,0.176,0.0994999999999999,0.09,0.15725,0.1619999999999999,0.2825,0.09,0.0842499999999999,0.0755,0.087,0.0414999999999999,0.24925,0.1699999999999999,0.05975,0.188,0.03575,0.0792499999999999,0.06125,0.1392499999999999,0.0379999999999999,0.1574999999999999,0.0677499999999999,0.1215,0.0805,0.4565,0.0479999999999999,0.087,0.0702499999999999,0.0747499999999999,0.11775,0.077,0.0787499999999999,0.0672499999999999,0.0842499999999999,0.15425,0.0595,0.1245,0.06075,0.1569999999999999,0.1669999999999999,0.0822499999999999,0.0349999999999999,0.08775,0.04625,0.0514999999999999,0.075,0.04275,0.131,0.0994999999999999,0.0339999999999999,0.0324999999999999,0.03875,0.0177499999999999,0.0339999999999999,0.0645,0.0632499999999999,0.0257499999999999
Jeffrey (1995),0.6495,0.6855,0.5475,0.49275,0.4895,0.5475,0.5475,0.5475,0.61,0.61625,0.5475,0.5475,0.4895,0.99625,0.4375,0.289,0.54125,0.5475,0.57425,0.7495,0.25525,0.5475,0.364,0.4287499999999999,0.14825,0.3705,0.3512499999999999,0.418,0.1897499999999999,0.1505,0.2827499999999999,0.5615,0.23175,0.6975,0.25475,0.214,0.4145,0.3005,0.258,0.15775,0.4155,0.2239999999999999,0.27075,0.192,0.57125,0.2917499999999999,0.1619999999999999,0.23275,0.16875,0.266,0.1252499999999999,0.1337499999999999,0.241,0.21775,0.26775,0.0994999999999999,0.1825,0.12475,0.154,0.0857499999999999,0.26625,0.2214999999999999,0.21825,0.1322499999999999,0.523,0.215,0.11875,0.2867499999999999,0.08775,0.13,0.12425,0.1805,0.15275,0.133,0.194,0.09425,0.1054999999999999,0.1114999999999999,0.12025,0.4325,0.1725,0.11075,0.08825,0.08,0.05925,0.268,0.0479999999999999,0.155,0.04925,0.1024999999999999,0.0732499999999999,0.1609999999999999,0.08825,0.1265,0.0969999999999999,0.0574999999999999,0.10775,0.0692499999999999,0.061,0.15525,0.0989999999999999,0.0777499999999999,0.09625,0.078,0.0855,0.0652499999999999,0.18025,0.0544999999999999,0.1044999999999999,0.04625,0.0857499999999999,0.1262499999999999,0.0697499999999999,0.0999999999999999,0.0722499999999999,0.0944999999999999,0.0222499999999999,0.1282499999999999,0.077,0.0667499999999999,0.05225,0.1684999999999999,0.0484999999999999,0.0735,0.03025,0.09625,0.0682499999999999,0.1014999999999999,0.0379999999999999,0.03675,0.03125,0.03075,0.0772499999999999,0.081,0.0539999999999999,0.06075,0.0514999999999999,0.0424999999999999,0.05325,0.1365,0.0449999999999999,0.063,0.0439999999999999,0.1139999999999999,0.064,0.03075,0.04025,0.0399999999999999,0.0217499999999999
Love & Human Remains (1993),0.6215,0.9595,0.5665,0.33125,0.46275,0.56875,0.618,0.78725,0.55475,0.754,0.4679999999999999,0.4605,0.3542499999999999,0.9645,0.4489999999999999,0.4195,0.754,0.411,0.59425,0.305,0.36975,0.32525,0.4257499999999999,0.402,0.14825,0.4735,0.4479999999999999,0.359,0.4255,0.1372499999999999,0.3245,0.20825,0.18675,0.22675,0.3047499999999999,0.3339999999999999,0.16125,0.36975,0.1945,0.17875,0.1972499999999999,0.11475,0.2445,0.23225,0.26175,0.2794999999999999,0.1644999999999999,0.15925,0.42025,0.218,0.1725,0.23275,0.20925,0.18675,0.1594999999999999,0.1922499999999999,0.2339999999999999,0.11475,0.15125,0.1094999999999999,0.39575,0.1305,0.08925,0.08,0.09575,0.25525,0.3824999999999999,0.0835,0.04675,0.1569999999999999,0.11675,0.18,0.2045,0.1054999999999999,0.1272499999999999,0.14525,0.12275,0.1009999999999999,0.3275,0.0935,0.0762499999999999,0.142,0.09,0.089,0.1059999999999999,0.0687499999999999,0.10175,0.16175,0.025,0.209,0.04975,0.0999999999999999,0.08925,0.0807499999999999,0.31625,0.09125,0.0964999999999999,0.08,0.059,0.14725,0.0474999999999999,0.1119999999999999,0.0449999999999999,0.06,0.127,0.04825,0.10875,0.0569999999999999,0.0732499999999999,0.084,0.07,0.0949999999999999,0.06225,0.148,0.0625,0.0857499999999999,0.09425,0.0825,0.0615,0.0757499999999999,0.0539999999999999,0.2674999999999999,0.1335,0.064,0.0707499999999999,0.071,0.0692499999999999,0.0735,0.10725,0.05025,0.0267499999999999,0.04675,0.03675,0.0429999999999999,0.05025,0.0667499999999999,0.0595,0.0732499999999999,0.03875,0.05025,0.0419999999999999,0.0202499999999999,0.04825,0.059,0.0379999999999999,0.03475,0.04775,0.021,0.0172499999999999
Mad Love (1995),0.7882499999999999,0.7385,0.81,0.7862499999999999,0.48275,0.596,0.4992499999999999,0.5235,0.54225,0.384,0.4992499999999999,0.596,0.596,0.22975,0.4337499999999999,0.3645,0.42325,0.4992499999999999,0.2965,0.15575,0.59925,0.596,0.36975,0.38025,0.3107499999999999,0.23625,0.27625,0.2907499999999999,0.381,0.42,0.2219999999999999,0.23325,0.213,0.202,0.4145,0.22275,0.0969999999999999,0.25075,0.3355,0.0795,0.2175,0.12275,0.2055,0.34575,0.191,0.255,0.20975,0.14825,0.2784999999999999,0.623,0.247,0.1845,0.26425,0.297,0.40725,0.21925,0.1855,0.54925,0.14775,0.4399999999999999,0.17925,0.0642499999999999,0.199,0.081,0.1277499999999999,0.11375,0.0765,0.1735,0.1704999999999999,0.2279999999999999,0.09875,0.591,0.0605,0.08,0.155,0.32525,0.1257499999999999,0.7485,0.1144999999999999,0.082,0.0815,0.0787499999999999,0.0354999999999999,0.10675,0.0642499999999999,0.1215,0.0544999999999999,0.12375,0.0675,0.0802499999999999,0.135,0.0895,0.0737499999999999,0.08975,0.1119999999999999,0.04475,0.16725,0.0464999999999999,0.1322499999999999,0.182,0.1109999999999999,0.14625,0.06,0.0409999999999999,0.087,0.0404999999999999,0.1054999999999999,0.0349999999999999,0.03325,0.0685,0.12125,0.12025,0.1255,0.085,0.03925,0.0687499999999999,0.0464999999999999,0.06175,0.0272499999999999,0.0334999999999999,0.072,0.03825,0.0727499999999999,0.0539999999999999,0.0534999999999999,0.04175,0.0212499999999999,0.0544999999999999,0.0712499999999999,0.078,0.018,0.1084999999999999,0.0339999999999999,0.05925,0.0895,0.06075,0.0247499999999999,0.1382499999999999,0.05675,0.03225,0.11275,0.03275,0.0287499999999999,0.0235,0.09725,0.0192499999999999,0.03975,0.05175,0.04575
Moonlight and Valentino (1995),0.627,0.8527499999999999,0.8500000000000001,0.5575,0.792,0.433,0.37975,0.356,0.56625,0.25425,0.37975,0.65775,0.37975,0.2465,0.44325,0.8240000000000001,0.178,0.51575,0.46375,0.32075,0.67525,0.27025,0.3269999999999999,0.3954999999999999,0.201,0.7135,0.2804999999999999,0.26225,0.2405,0.28125,0.3472499999999999,0.22725,0.16525,0.2837499999999999,0.2975,0.33675,0.15175,0.236,0.241,0.16875,0.3205,0.22625,0.21025,0.2794999999999999,0.6365,0.186,0.1315,0.14575,0.23425,0.18275,0.0737499999999999,0.1775,0.09625,0.2475,0.1169999999999999,0.15275,0.2007499999999999,0.121,0.18075,0.154,0.14875,0.143,0.1109999999999999,0.09175,0.073,0.0807499999999999,0.16775,0.0925,0.12125,0.156,0.0429999999999999,0.201,0.0675,0.121,0.14225,0.118,0.09125,0.11325,0.11125,0.09875,0.0625,0.1004999999999999,0.05975,0.1069999999999999,0.0964999999999999,0.60875,0.17475,0.1584999999999999,0.1094999999999999,0.0725,0.1325,0.1225,0.06075,0.08625,0.09875,0.05275,0.1579999999999999,0.0822499999999999,0.0642499999999999,0.126,0.0707499999999999,0.16975,0.0787499999999999,0.0635,0.21575,0.182,0.0595,0.0262499999999999,0.04025,0.0732499999999999,0.0677499999999999,0.09875,0.04525,0.0857499999999999,0.07,0.0974999999999999,0.0252499999999999,0.12275,0.0584999999999999,0.064,0.0735,0.1262499999999999,0.10325,0.0379999999999999,0.05775,0.0687499999999999,0.021,0.0479999999999999,0.03025,0.0595,0.0212499999999999,0.0574999999999999,0.03975,0.03875,0.0702499999999999,0.0832499999999999,0.0227499999999999,0.0374999999999999,0.05075,0.0554999999999999,0.04125,0.0277499999999999,0.0285,0.05675,0.077,0.05225,0.03875,0.0514999999999999,0.0282499999999999
Party Girl (1995),0.69375,0.5305,0.6535,0.25325,0.54725,0.8875,0.55525,0.4067499999999999,0.5945,0.1982499999999999,0.63325,0.32625,0.82575,0.16575,0.4307499999999999,0.16925,0.2554999999999999,0.4247499999999999,0.473,0.51675,0.33225,0.45275,0.82575,0.3255,0.3984999999999999,0.69,0.62025,0.3605,0.15875,0.32975,0.301,0.3605,0.8959999999999999,0.253,0.27825,0.17975,0.3555,0.473,0.30125,0.2375,0.14325,0.3365,0.40225,0.2012499999999999,0.16175,0.25075,0.18325,0.3295,0.1745,0.3685,0.199,0.473,0.259,0.0675,0.2244999999999999,0.04875,0.0737499999999999,0.1579999999999999,0.14325,0.0665,0.1765,0.16475,0.41,0.1074999999999999,0.2825,0.1372499999999999,0.0459999999999999,0.16325,0.074,0.1935,0.04175,0.0959999999999999,0.1265,0.1312499999999999,0.14325,0.14575,0.1337499999999999,0.1335,0.179,0.269,0.1084999999999999,0.1305,0.1215,0.2997499999999999,0.0812499999999999,0.0514999999999999,0.11975,0.0479999999999999,0.059,0.10625,0.0647499999999999,0.0745,0.064,0.0707499999999999,0.10075,0.0875,0.0837499999999999,0.0717499999999999,0.03925,0.072,0.021,0.0949999999999999,0.0364999999999999,0.09675,0.068,0.2654999999999999,0.0712499999999999,0.34975,0.0682499999999999,0.09325,0.2825,0.0569999999999999,0.03475,0.079,0.09775,0.079,0.09,0.04225,0.0632499999999999,0.068,0.0752499999999999,0.145,0.0559999999999999,0.0655,0.066,0.0875,0.03325,0.0675,0.05625,0.123,0.0514999999999999,0.0409999999999999,0.0479999999999999,0.0705,0.0635,0.076,0.11425,0.0454999999999999,0.05575,0.133,0.0282499999999999,0.03825,0.0329999999999999,0.14275,0.0319999999999999,0.0665,0.0509999999999999,0.1004999999999999,0.04925
