movieId,original,predictable,mentor,good,catastrophe,very funny,vengeance,chase,weird,greed,fantasy world,first contact,fight scenes,betrayal,dialogue,family,life philosophy,runaway,adaptation,melancholic,drama,culture clash,teen movie,fun movie,not funny,light,pornography,life & death,death,weapons,transformation,quirky,farce,surveillance,creativity,writers,nudity (full frontal - brief),independent film,computer animation,unlikely friendships,pulp,absurd,dysfunctional family,women,stereotypes,childhood,sacrifice,hospital,internet,sexy,classic car,remake,multiple storylines,drinking,alter ego,new jersey,camp,doctors,queer,mad scientist,underrated,california,irish accent,prejudice,too long,road movie,notable nudity,islam,survival,alternate history,nudity (rear),memory,small town,immortality,hip hop,stand-up comedy,indians,period piece,80s,hotel,island,divorce,british,film noir,dreams,simple,prison,adoption,bollywood,god,blindness,kidnapping,interracial romance,shopping,new york city,good music,no plot,ghosts/afterlife,awesome soundtrack,brothers,stoner movie,wartime,atheism,race,wilderness,workplace,addiction,reality tv,unlikeable characters,los angeles,nudity (topless - brief),lawyer,single father,finnish,foul language,cancer,san francisco,russian,1930s,too short,radio,made for tv,fashion,kick-butt women,buddy movie,texas,tokyo,censorship,ensemble cast,homeless,australia,desert,goth,time,robert downey jr,trilogy,directorial debut,snakes,prostitution,wine,father daughter relationship,graphic novel,hunting,oil,french,potential oscar nom,best of 2005,rebellion,documentary
Grumpier Old Men (1995),0.7542500000000001,0.5415,0.50375,0.578,0.52375,0.853,0.5105,0.4835,0.3505,0.3732499999999999,0.2514999999999999,0.278,0.2604999999999999,0.3385,0.3665,0.49375,0.3067499999999999,0.372,0.252,0.2925,0.35675,0.3665,0.37775,0.49675,0.25225,0.4389999999999999,0.2514999999999999,0.216,0.3269999999999999,0.16025,0.2415,0.17825,0.4389999999999999,0.26125,0.22975,0.122,0.41825,0.152,0.2165,0.3359999999999999,0.1392499999999999,0.11375,0.16275,0.35075,0.25025,0.1957499999999999,0.3329999999999999,0.15325,0.24725,0.2845,0.184,0.09225,0.2634999999999999,0.215,0.1912499999999999,0.14175,0.0805,0.173,0.14225,0.1365,0.1875,0.2199999999999999,0.188,0.14925,0.0837499999999999,0.10775,0.1402499999999999,0.11225,0.1114999999999999,0.1962499999999999,0.183,0.0792499999999999,0.28425,0.1589999999999999,0.0702499999999999,0.10325,0.31625,0.11225,0.081,0.118,0.1282499999999999,0.2155,0.0695,0.08725,0.09875,0.20525,0.09475,0.1317499999999999,0.0832499999999999,0.11525,0.1129999999999999,0.0647499999999999,0.143,0.41,0.0742499999999999,0.074,0.09775,0.10225,0.0845,0.10175,0.0777499999999999,0.076,0.09075,0.0865,0.1332499999999999,0.0732499999999999,0.05775,0.04425,0.024,0.0344999999999999,0.0822499999999999,0.09425,0.1387499999999999,0.0444999999999999,0.4337499999999999,0.10325,0.09925,0.059,0.087,0.0544999999999999,0.0434999999999999,0.0695,0.06175,0.0925,0.1535,0.1569999999999999,0.07,0.0762499999999999,0.076,0.04125,0.08875,0.145,0.0569999999999999,0.1684999999999999,0.0285,0.1054999999999999,0.05975,0.0737499999999999,0.0524999999999999,0.0394999999999999,0.0479999999999999,0.021,0.0549999999999999,0.0745,0.03775,0.0444999999999999,0.0197499999999999,0.03525,0.0215
Wings of Courage (1995),0.7967500000000001,0.52175,0.72675,0.734,0.6675,0.26375,0.394,0.32875,0.3754999999999999,0.5105,0.5625,0.3067499999999999,0.3409999999999999,0.5105,0.31225,0.34775,0.25175,0.40475,0.291,0.2475,0.554,0.56925,0.289,0.5015,0.3405,0.16725,0.1277499999999999,0.2465,0.1245,0.2957499999999999,0.1365,0.17375,0.12275,0.33675,0.2279999999999999,0.14675,0.1069999999999999,0.191,0.4389999999999999,0.32775,0.125,0.11825,0.16225,0.1332499999999999,0.38025,0.17675,0.2644999999999999,0.11725,0.529,0.091,0.1555,0.03125,0.37575,0.0939999999999999,0.21025,0.10425,0.0559999999999999,0.0625,0.125,0.0722499999999999,0.1109999999999999,0.126,0.21225,0.2764999999999999,0.4065,0.1654999999999999,0.1392499999999999,0.23475,0.1362499999999999,0.4297499999999999,0.2204999999999999,0.186,0.0715,0.0554999999999999,0.11575,0.12225,0.17325,0.11075,0.05125,0.0822499999999999,0.03675,0.10175,0.1049999999999999,0.09525,0.0775,0.2189999999999999,0.138,0.076,0.47,0.059,0.0755,0.0434999999999999,0.10475,0.064,0.11025,0.0742499999999999,0.38225,0.0519999999999999,0.1505,0.0795,0.05975,0.1372499999999999,0.0822499999999999,0.3319999999999999,0.11625,0.0569999999999999,0.0949999999999999,0.09675,0.06225,0.05375,0.0855,0.0787499999999999,0.11275,0.0735,0.0319999999999999,0.16575,0.0484999999999999,0.15425,0.03575,0.4545,0.0384999999999999,0.0782499999999999,0.022,0.0857499999999999,0.0685,0.0705,0.0667499999999999,0.04825,0.083,0.12225,0.2095,0.087,0.0272499999999999,0.10425,0.04575,0.04625,0.0519999999999999,0.0394999999999999,0.0369999999999999,0.0085,0.0695,0.0359999999999999,0.0225,0.04125,0.0715,0.03525,0.0369999999999999,0.0237499999999999,0.0792499999999999
Two if by Sea (1996),0.67175,0.69875,0.53225,0.67575,0.45025,0.45225,0.415,0.39175,0.5265,0.24375,0.30325,0.3145,0.288,0.3129999999999999,0.4982499999999999,0.2885,0.4945,0.3235,0.242,0.3105,0.199,0.3195,0.2055,0.33925,0.2945,0.29325,0.21275,0.2684999999999999,0.22225,0.1932499999999999,0.22375,0.1917499999999999,0.1365,0.21475,0.2264999999999999,0.2244999999999999,0.3365,0.1965,0.2885,0.17625,0.1917499999999999,0.15575,0.11575,0.17675,0.2075,0.1785,0.2724999999999999,0.1425,0.272,0.202,0.1965,0.0832499999999999,0.1599999999999999,0.122,0.15075,0.11925,0.10525,0.15675,0.1877499999999999,0.2435,0.21275,0.16525,0.1639999999999999,0.144,0.0807499999999999,0.2219999999999999,0.1235,0.10375,0.11725,0.15475,0.2405,0.182,0.1395,0.0825,0.0625,0.1049999999999999,0.16925,0.11925,0.0785,0.0772499999999999,0.64225,0.0974999999999999,0.09125,0.1084999999999999,0.0665,0.0964999999999999,0.10175,0.0434999999999999,0.1335,0.16175,0.0595,0.21125,0.17275,0.04925,0.0675,0.05475,0.203,0.0454999999999999,0.081,0.0697499999999999,0.05375,0.0802499999999999,0.0632499999999999,0.0979999999999999,0.2674999999999999,0.062,0.0544999999999999,0.04675,0.028,0.0439999999999999,0.1079999999999999,0.0489999999999999,0.0807499999999999,0.0672499999999999,0.086,0.563,0.0742499999999999,0.0777499999999999,0.077,0.065,0.0524999999999999,0.067,0.0369999999999999,0.0807499999999999,0.04775,0.073,0.0722499999999999,0.0635,0.03675,0.0652499999999999,0.0504999999999999,0.126,0.027,0.04775,0.1039999999999999,0.0354999999999999,0.05175,0.086,0.0464999999999999,0.03275,0.0459999999999999,0.031,0.0705,0.0202499999999999,0.02975,0.023,0.0185,0.0675,0.0155
Big Bully (1996),0.643,0.601,0.4569999999999999,0.3389999999999999,0.43,0.4195,0.42425,0.517,0.2229999999999999,0.20725,0.34325,0.24975,0.3692499999999999,0.1885,0.393,0.50675,0.4357499999999999,0.181,0.2204999999999999,0.1907499999999999,0.1902499999999999,0.1902499999999999,0.62025,0.193,0.27275,0.20975,0.1932499999999999,0.1745,0.14125,0.31275,0.1932499999999999,0.1997499999999999,0.14375,0.12075,0.2249999999999999,0.3655,0.2544999999999999,0.17675,0.50675,0.2684999999999999,0.57675,0.2209999999999999,0.1942499999999999,0.123,0.14175,0.76525,0.16125,0.1425,0.10875,0.0954999999999999,0.1337499999999999,0.10125,0.214,0.084,0.1775,0.10675,0.1317499999999999,0.0705,0.1355,0.1139999999999999,0.09225,0.1435,0.083,0.086,0.2165,0.09375,0.0635,0.08675,0.072,0.133,0.15825,0.23475,0.09275,0.1109999999999999,0.0675,0.11225,0.0725,0.08775,0.0832499999999999,0.0632499999999999,0.09575,0.1574999999999999,0.05125,0.10725,0.0519999999999999,0.064,0.0757499999999999,0.1649999999999999,0.05625,0.05275,0.0434999999999999,0.09925,0.03725,0.08625,0.17975,0.0815,0.04525,0.0625,0.0835,0.0494999999999999,0.05075,0.04775,0.0539999999999999,0.03825,0.0705,0.27825,0.0384999999999999,0.0499999999999999,0.03975,0.0369999999999999,0.05375,0.0364999999999999,0.09625,0.03025,0.0292499999999999,0.04125,0.0494999999999999,0.05175,0.03775,0.04125,0.0419999999999999,0.04375,0.03975,0.0534999999999999,0.0419999999999999,0.04575,0.03325,0.04125,0.06125,0.0735,0.0267499999999999,0.0285,0.0605,0.0524999999999999,0.0217499999999999,0.08875,0.0564999999999999,0.03075,0.02975,0.0349999999999999,0.0349999999999999,0.019,0.0252499999999999,0.03025,0.0197499999999999,0.0277499999999999,0.0115,0.025,0.0102499999999999
Mary Reilly (1996),0.71325,0.437,0.471,0.654,0.4275,0.23325,0.47075,0.27725,0.46675,0.46675,0.414,0.297,0.22625,0.308,0.46675,0.1945,0.35,0.293,0.6475,0.432,0.3784999999999999,0.293,0.154,0.121,0.3592499999999999,0.186,0.3405,0.22475,0.24125,0.31475,0.36775,0.20925,0.0722499999999999,0.1405,0.1755,0.16975,0.25425,0.28425,0.17125,0.198,0.36,0.1034999999999999,0.2007499999999999,0.1997499999999999,0.201,0.24925,0.15125,0.2125,0.142,0.1362499999999999,0.2055,0.12275,0.1579999999999999,0.2,0.2504999999999999,0.10825,0.10375,0.25275,0.16775,0.68475,0.35075,0.15325,0.96875,0.12325,0.10225,0.069,0.0584999999999999,0.0792499999999999,0.1317499999999999,0.1272499999999999,0.0807499999999999,0.1054999999999999,0.1445,0.0745,0.05625,0.08775,0.28025,0.2209999999999999,0.04925,0.0474999999999999,0.20675,0.0675,0.385,0.15075,0.1397499999999999,0.0747499999999999,0.0725,0.09375,0.09175,0.1024999999999999,0.1594999999999999,0.0544999999999999,0.0737499999999999,0.0559999999999999,0.0554999999999999,0.063,0.0782499999999999,0.0212499999999999,0.0895,0.138,0.0722499999999999,0.0655,0.091,0.06075,0.11075,0.064,0.0745,0.03675,0.0685,0.0414999999999999,0.1704999999999999,0.0989999999999999,0.04375,0.0499999999999999,0.0305,0.10425,0.05425,0.05125,0.065,0.0319999999999999,0.05775,0.0954999999999999,0.0642499999999999,0.0822499999999999,0.0212499999999999,0.0817499999999999,0.1327499999999999,0.03675,0.0384999999999999,0.0787499999999999,0.05175,0.0697499999999999,0.0847499999999999,0.0225,0.0484999999999999,0.025,0.0635,0.075,0.1475,0.0449999999999999,0.0319999999999999,0.0767499999999999,0.0687499999999999,0.022,0.04775,0.0559999999999999,0.03125,0.0285,0.03825
Vampire in Brooklyn (1995),0.66675,0.56525,0.493,0.4469999999999999,0.4265,0.8895,0.51225,0.40525,0.476,0.51225,0.4385,0.3025,0.46675,0.39075,0.3145,0.28,0.28225,0.24375,0.38725,0.31225,0.18725,0.183,0.27025,0.218,0.20625,0.3725,0.23375,0.136,0.2754999999999999,0.21575,0.5375,0.281,0.306,0.12075,0.18075,0.23925,0.21225,0.281,0.1679999999999999,0.1392499999999999,0.18,0.2375,0.1855,0.1345,0.4675,0.1365,0.22075,0.1619999999999999,0.1634999999999999,0.1614999999999999,0.12125,0.11625,0.1402499999999999,0.24225,0.3575,0.1245,0.31325,0.1169999999999999,0.155,0.31325,0.16825,0.0574999999999999,0.1355,0.1335,0.1325,0.1365,0.0765,0.0885,0.1639999999999999,0.1295,0.1257499999999999,0.0605,0.1302499999999999,0.3429999999999999,0.153,0.17225,0.079,0.0667499999999999,0.1895,0.063,0.2524999999999999,0.1049999999999999,0.0675,0.09975,0.0715,0.0875,0.1049999999999999,0.0954999999999999,0.077,0.069,0.08775,0.04875,0.0787499999999999,0.0964999999999999,0.20575,0.06125,0.064,0.1945,0.21825,0.0802499999999999,0.0677499999999999,0.06075,0.0732499999999999,0.0925,0.0519999999999999,0.1024999999999999,0.0822499999999999,0.05525,0.069,0.03875,0.075,0.0464999999999999,0.0529999999999999,0.04125,0.26625,0.03525,0.05875,0.059,0.0534999999999999,0.019,0.10375,0.03675,0.0544999999999999,0.0969999999999999,0.04975,0.0615,0.0329999999999999,0.0735,0.05275,0.0265,0.03025,0.04525,0.62025,0.0282499999999999,0.04225,0.0334999999999999,0.0797499999999999,0.089,0.04625,0.0494999999999999,0.027,0.0354999999999999,0.0339999999999999,0.04575,0.0282499999999999,0.0237499999999999,0.0237499999999999,0.0142499999999999,0.0182499999999999
"Steal Big, Steal Little (1995)",0.63475,0.45725,0.53325,0.609,0.44325,0.3399999999999999,0.394,0.382,0.386,0.47775,0.3255,0.27825,0.32625,0.682,0.291,0.3007499999999999,0.2804999999999999,0.3665,0.21425,0.386,0.3665,0.3665,0.1345,0.2045,0.305,0.3774999999999999,0.207,0.2274999999999999,0.15975,0.1785,0.24575,0.1882499999999999,0.4449999999999999,0.24275,0.19,0.307,0.12225,0.2794999999999999,0.1835,0.217,0.1679999999999999,0.1322499999999999,0.18125,0.24025,0.2385,0.14275,0.1564999999999999,0.3149999999999999,0.3492499999999999,0.1215,0.1282499999999999,0.0642499999999999,0.2644999999999999,0.25925,0.15425,0.2224999999999999,0.05575,0.15175,0.18175,0.0672499999999999,0.1922499999999999,0.496,0.4305,0.1119999999999999,0.291,0.1885,0.065,0.1064999999999999,0.087,0.1669999999999999,0.1225,0.11525,0.33075,0.09275,0.18675,0.09975,0.085,0.1297499999999999,0.06025,0.54275,0.10375,0.18175,0.0842499999999999,0.1144999999999999,0.0895,0.15425,0.1262499999999999,0.1074999999999999,0.1084999999999999,0.04025,0.0847499999999999,0.06,0.1599999999999999,0.0559999999999999,0.15925,0.12025,0.0782499999999999,0.0662499999999999,0.10675,0.39725,0.063,0.0797499999999999,0.0539999999999999,0.05875,0.03825,0.1674999999999999,0.0989999999999999,0.0742499999999999,0.17375,0.0625,0.17825,0.8987499999999999,0.11475,0.0295,0.0509999999999999,0.0742499999999999,0.08775,0.1104999999999999,0.1355,0.029,0.4195,0.0285,0.0595,0.0747499999999999,0.0539999999999999,0.1714999999999999,0.0677499999999999,0.084,0.0802499999999999,0.0424999999999999,0.0544999999999999,0.05975,0.0529999999999999,0.08975,0.1079999999999999,0.03225,0.1039999999999999,0.1139999999999999,0.064,0.0765,0.0459999999999999,0.04225,0.0494999999999999,0.066,0.0257499999999999,0.03175,0.10125,0.0207499999999999,0.062
"NeverEnding Story III, The (1994)",0.7785,0.63025,0.45325,0.38775,0.42825,0.3005,0.3705,0.32825,0.4285,0.246,0.959,0.49275,0.418,0.23025,0.36275,0.5815,0.3764999999999999,0.3025,0.506,0.17575,0.23875,0.21775,0.2817499999999999,0.203,0.27325,0.16775,0.20875,0.4285,0.218,0.18375,0.246,0.204,0.1972499999999999,0.14975,0.23725,0.22875,0.16975,0.11925,0.29025,0.2135,0.1945,0.1312499999999999,0.29925,0.14225,0.26725,0.379,0.2415,0.1297499999999999,0.1619999999999999,0.1185,0.1659999999999999,0.1435,0.18575,0.2209999999999999,0.134,0.079,0.0989999999999999,0.1149999999999999,0.1535,0.0842499999999999,0.059,0.04025,0.1495,0.0984999999999999,0.148,0.0667499999999999,0.08,0.12075,0.0645,0.14725,0.0655,0.17125,0.0489999999999999,0.248,0.1515,0.0989999999999999,0.09725,0.06025,0.15175,0.0439999999999999,0.066,0.09625,0.1064999999999999,0.1094999999999999,0.144,0.0757499999999999,0.09225,0.0964999999999999,0.0574999999999999,0.15975,0.0534999999999999,0.04475,0.08,0.22525,0.0657499999999999,0.1352499999999999,0.05525,0.15175,0.14475,0.04575,0.0655,0.06125,0.073,0.0449999999999999,0.0459999999999999,0.0647499999999999,0.05525,0.0655,0.0305,0.0287499999999999,0.0329999999999999,0.06225,0.0319999999999999,0.082,0.028,0.0539999999999999,0.0364999999999999,0.0459999999999999,0.03975,0.09225,0.04825,0.08775,0.04825,0.069,0.0257499999999999,0.0255,0.03525,0.0319999999999999,0.04075,0.0255,0.0242499999999999,0.0277499999999999,0.11475,0.0559999999999999,0.024,0.3535,0.05575,0.1114999999999999,0.0329999999999999,0.0479999999999999,0.0247499999999999,0.0529999999999999,0.0217499999999999,0.0409999999999999,0.03975,0.0419999999999999,0.0185,0.031,0.0165
Jury Duty (1995),0.6885,0.7609999999999999,0.4902499999999999,0.3319999999999999,0.4307499999999999,0.8440000000000001,0.5495,0.3685,0.55475,0.5495,0.35775,0.356,0.3239999999999999,0.23975,0.25225,0.31925,0.3702499999999999,0.2654999999999999,0.23675,0.24225,0.2574999999999999,0.24425,0.20425,0.1694999999999999,0.25675,0.30925,0.22675,0.182,0.15425,0.1704999999999999,0.202,0.21125,0.611,0.15125,0.1405,0.12,0.2254999999999999,0.382,0.17275,0.135,0.1435,0.245,0.134,0.1235,0.1397499999999999,0.1644999999999999,0.17225,0.1154999999999999,0.2945,0.15325,0.1579999999999999,0.1342499999999999,0.17025,0.08875,0.18225,0.0837499999999999,0.1584999999999999,0.092,0.1525,0.09025,0.0865,0.073,0.1295,0.0785,0.5045,0.1099999999999999,0.10225,0.1114999999999999,0.079,0.14,0.22675,0.0949999999999999,0.0642499999999999,0.1064999999999999,0.09425,0.136,0.134,0.05675,0.0682499999999999,0.38,0.1039999999999999,0.1014999999999999,0.0559999999999999,0.0944999999999999,0.0949999999999999,0.141,0.0802499999999999,0.10325,0.1664999999999999,0.141,0.09375,0.0454999999999999,0.081,0.08675,0.05525,0.04825,0.062,0.0717499999999999,0.1014999999999999,0.0695,0.0949999999999999,0.05425,0.0635,0.0479999999999999,0.0459999999999999,0.1144999999999999,0.0544999999999999,0.065,0.03325,0.0414999999999999,0.09575,0.245,0.05575,0.065,0.0349999999999999,0.0464999999999999,0.0454999999999999,0.067,0.04575,0.0424999999999999,0.0499999999999999,0.0419999999999999,0.0404999999999999,0.05375,0.03975,0.031,0.04525,0.07,0.04975,0.3472499999999999,0.0579999999999999,0.06125,0.04875,0.086,0.03725,0.03925,0.06175,0.03325,0.05925,0.0324999999999999,0.0255,0.0197499999999999,0.0182499999999999,0.0667499999999999,0.03125,0.03475,0.0172499999999999,0.0314999999999999,0.0135
"Scarlet Letter, The (1995)",0.6405,0.521,0.488,0.77325,0.45925,0.26625,0.4177499999999999,0.3592499999999999,0.347,0.347,0.257,0.3874999999999999,0.3515,0.41125,0.347,0.397,0.33275,0.2947499999999999,0.9975,0.347,0.3105,0.31775,0.3007499999999999,0.1755,0.33475,0.2947499999999999,0.4255,0.1735,0.23475,0.2035,0.2405,0.20925,0.084,0.0827499999999999,0.2734999999999999,0.2817499999999999,0.24475,0.1594999999999999,0.14975,0.2375,0.1892499999999999,0.202,0.156,0.48,0.184,0.209,0.2385,0.1159999999999999,0.1992499999999999,0.4255,0.211,0.0959999999999999,0.16575,0.09725,0.15625,0.0915,0.1907499999999999,0.15425,0.1709999999999999,0.11425,0.1297499999999999,0.09225,0.0852499999999999,0.2209999999999999,0.10275,0.0817499999999999,0.189,0.1164999999999999,0.0989999999999999,0.176,0.24525,0.14675,0.09025,0.09325,0.1159999999999999,0.1009999999999999,0.63875,0.56275,0.0539999999999999,0.09425,0.24775,0.1335,0.11025,0.10225,0.0832499999999999,0.0782499999999999,0.0845,0.085,0.0685,0.17725,0.1649999999999999,0.06025,0.183,0.0994999999999999,0.0419999999999999,0.05825,0.10825,0.09125,0.075,0.0712499999999999,0.0637499999999999,0.0652499999999999,0.09725,0.0735,0.10425,0.0564999999999999,0.063,0.04025,0.09825,0.04175,0.16575,0.0534999999999999,0.04675,0.03675,0.0399999999999999,0.0795,0.1014999999999999,0.0579999999999999,0.09825,0.10125,0.05675,0.04825,0.0564999999999999,0.069,0.0235,0.04525,0.0642499999999999,0.10375,0.0569999999999999,0.04125,0.0282499999999999,0.0369999999999999,0.05825,0.0499999999999999,0.0564999999999999,0.0232499999999999,0.04825,0.0329999999999999,0.0384999999999999,0.05275,0.03125,0.03675,0.04425,0.0324999999999999,0.0282499999999999,0.04125,0.019,0.1982499999999999,0.0147499999999999
