movieId,chase,weapons,fight scenes,good,fun movie,surveillance,betrayal,predictable,catastrophe,original,vengeance,mentor,dialogue,culture clash,first contact,greed,runaway,weird,drama,light,life philosophy,not funny,fantasy world,melancholic,adaptation,very funny,sexy,transformation,teen movie,kidnapping,alter ego,internet,absurd,survival,sacrifice,creativity,death,classic car,family,pulp,life & death,british,stereotypes,islam,pornography,underrated,independent film,drinking,hospital,no plot,women,nudity (full frontal - brief),hotel,irish accent,computer animation,period piece,quirky,dysfunctional family,writers,unlikely friendships,california,memory,remake,russian,prison,childhood,oil,doctors,island,multiple storylines,prejudice,new york city,mad scientist,buddy movie,notable nudity,new jersey,blindness,alternate history,san francisco,divorce,simple,foul language,camp,queer,kick-butt women,farce,nudity (topless - brief),nudity (rear),race,wartime,too long,interracial romance,road movie,80s,ensemble cast,trilogy,lawyer,shopping,good music,single father,too short,los angeles,immortality,film noir,unlikeable characters,small town,awesome soundtrack,fashion,snakes,father daughter relationship,tokyo,desert,bollywood,hip hop,brothers,workplace,atheism,hunting,indians,addiction,time,stand-up comedy,wilderness,adoption,robert downey jr,censorship,god,dreams,ghosts/afterlife,cancer,radio,stoner movie,reality tv,graphic novel,made for tv,directorial debut,1930s,best of 2005,potential oscar nom,wine,homeless,prostitution,rebellion,texas,australia,french,finnish,goth,documentary
GoldenEye (1995),0.9725,0.9725,0.9725,0.74,0.88625,0.85575,0.532,0.96975,0.68075,0.66725,0.609,0.59675,0.73875,0.54325,0.62075,0.36075,0.7345,0.4625,0.37525,0.37775,0.27525,0.33575,0.37075,0.2734999999999999,0.3185,0.362,0.603,0.3189999999999999,0.32375,0.10375,0.4117499999999999,0.18475,0.22675,0.33125,0.31125,0.25075,0.3015,0.49975,0.283,0.17675,0.20325,0.3642499999999999,0.294,0.5885,0.2495,0.24175,0.2284999999999999,0.2855,0.15925,0.124,0.3622499999999999,0.16025,0.1952499999999999,0.18425,0.1892499999999999,0.3642499999999999,0.18625,0.24025,0.14225,0.2825,0.27575,0.09725,0.03625,0.52775,0.084,0.32925,0.46825,0.304,0.20825,0.1327499999999999,0.16325,0.0802499999999999,0.3105,0.1305,0.0802499999999999,0.16075,0.1275,0.14525,0.1805,0.1009999999999999,0.09425,0.0835,0.198,0.12425,0.132,0.136,0.18125,0.0959999999999999,0.15725,0.15,0.10975,0.1535,0.14525,0.3057499999999999,0.0685,0.1957499999999999,0.04025,0.1064999999999999,0.1109999999999999,0.0459999999999999,0.0755,0.05925,0.1362499999999999,0.0915,0.04575,0.125,0.53925,0.09375,0.1735,0.0785,0.1347499999999999,0.1775,0.074,0.0569999999999999,0.0479999999999999,0.11375,0.059,0.09775,0.07,0.062,0.10575,0.0835,0.0732499999999999,0.05175,0.0384999999999999,0.10575,0.04775,0.0802499999999999,0.1149999999999999,0.05625,0.1357499999999999,0.0657499999999999,0.1195,0.03075,0.0812499999999999,0.0685,0.0787499999999999,0.03075,0.05925,0.0534999999999999,0.0484999999999999,0.05075,0.09825,0.04875,0.062,0.03375,0.0255,0.062,0.024
Assassins (1995),0.9775,0.9775,0.9775,0.66925,0.9425,0.9705,0.9705,0.4955,0.48475,0.6035,0.93975,0.86425,0.93975,0.4385,0.28025,0.4385,0.4177499999999999,0.3522499999999999,0.2375,0.2279999999999999,0.3994999999999999,0.372,0.243,0.377,0.23525,0.23475,0.23575,0.2885,0.1905,0.147,0.24625,0.377,0.22725,0.177,0.18625,0.2395,0.201,0.241,0.1475,0.207,0.14325,0.0692499999999999,0.1332499999999999,0.0895,0.17375,0.20575,0.0994999999999999,0.0994999999999999,0.2249999999999999,0.1377499999999999,0.15125,0.14525,0.4327499999999999,0.25675,0.16925,0.0605,0.27,0.1375,0.1925,0.17775,0.08875,0.093,0.119,0.09925,0.11525,0.12125,0.0855,0.1415,0.12025,0.2135,0.0647499999999999,0.08725,0.1109999999999999,0.14175,0.09175,0.0875,0.14825,0.122,0.154,0.14775,0.1485,0.0954999999999999,0.0807499999999999,0.1287499999999999,0.0727499999999999,0.09775,0.238,0.1915,0.073,0.04925,0.1435,0.0842499999999999,0.09025,0.10725,0.0534999999999999,0.03225,0.0359999999999999,0.10275,0.061,0.05125,0.04925,0.0757499999999999,0.0787499999999999,0.088,0.0222499999999999,0.0645,0.0732499999999999,0.0389999999999999,0.0569999999999999,0.0262499999999999,0.0642499999999999,0.04225,0.064,0.0777499999999999,0.2274999999999999,0.09175,0.0544999999999999,0.088,0.04425,0.05875,0.0464999999999999,0.0712499999999999,0.03725,0.092,0.031,0.08675,0.0409999999999999,0.0807499999999999,0.0504999999999999,0.04825,0.0454999999999999,0.0494999999999999,0.0479999999999999,0.0195,0.04275,0.0765,0.0334999999999999,0.0227499999999999,0.05375,0.028,0.0642499999999999,0.03925,0.0147499999999999,0.0344999999999999,0.019,0.04425,0.025,0.03875,0.0127499999999999
Broken Arrow (1996),0.9895,0.9895,0.9895,0.8792500000000001,0.97875,0.58525,0.7987500000000001,0.8792500000000001,0.8792500000000001,0.6305,0.7535000000000001,0.55575,0.5865,0.39525,0.64775,0.394,0.44625,0.3045,0.39525,0.3107499999999999,0.3309999999999999,0.389,0.2045,0.27075,0.236,0.27675,0.1907499999999999,0.33725,0.253,0.0735,0.1912499999999999,0.2294999999999999,0.1925,0.46675,0.50625,0.262,0.3165,0.1882499999999999,0.24425,0.40525,0.17875,0.0635,0.27425,0.27875,0.25275,0.23575,0.27875,0.2704999999999999,0.1935,0.245,0.178,0.259,0.0974999999999999,0.2504999999999999,0.1714999999999999,0.0767499999999999,0.21325,0.204,0.1917499999999999,0.1992499999999999,0.24875,0.0657499999999999,0.0697499999999999,0.0584999999999999,0.1104999999999999,0.14975,0.1054999999999999,0.1599999999999999,0.1704999999999999,0.15425,0.27875,0.0795,0.2435,0.1614999999999999,0.10025,0.1315,0.136,0.142,0.126,0.1765,0.1917499999999999,0.1805,0.2435,0.1599999999999999,0.2035,0.1252499999999999,0.133,0.11525,0.10925,0.0627499999999999,0.1865,0.15675,0.0837499999999999,0.135,0.0695,0.0529999999999999,0.0509999999999999,0.09375,0.18275,0.11875,0.074,0.0755,0.05425,0.09375,0.04375,0.14175,0.631,0.0817499999999999,0.1785,0.03675,0.0662499999999999,0.7847500000000001,0.0817499999999999,0.0707499999999999,0.1505,0.0685,0.0787499999999999,0.0667499999999999,0.2289999999999999,0.0605,0.0399999999999999,0.0935,0.0782499999999999,0.0827499999999999,0.0295,0.11625,0.0667499999999999,0.0792499999999999,0.074,0.0675,0.04225,0.0667499999999999,0.0379999999999999,0.04275,0.04225,0.074,0.0404999999999999,0.022,0.03875,0.0464999999999999,0.04175,0.0652499999999999,0.0277499999999999,0.11925,0.04025,0.03225,0.03025,0.0524999999999999,0.0185
Die Hard: With a Vengeance (1995),0.98725,0.98725,0.98725,0.77525,0.97025,0.56575,0.8507499999999999,0.7965,0.56225,0.73425,0.97925,0.647,0.62975,0.62025,0.5105,0.4044999999999999,0.47475,0.58825,0.56825,0.2817499999999999,0.377,0.3602499999999999,0.259,0.2845,0.2514999999999999,0.3712499999999999,0.1555,0.29525,0.14425,0.16125,0.30525,0.14275,0.1555,0.2704999999999999,0.3409999999999999,0.3774999999999999,0.3115,0.37775,0.195,0.207,0.2189999999999999,0.1134999999999999,0.18325,0.2135,0.2189999999999999,0.29625,0.3085,0.3085,0.1669999999999999,0.12,0.1064999999999999,0.22925,0.1927499999999999,0.27425,0.16875,0.0705,0.1902499999999999,0.17225,0.135,0.2284999999999999,0.3035,0.0915,0.04625,0.0655,0.1034999999999999,0.17225,0.0855,0.1425,0.1765,0.132,0.8487499999999999,0.81975,0.1327499999999999,0.60425,0.0825,0.18,0.10025,0.14275,0.1385,0.1935,0.15725,0.582,0.1865,0.12075,0.2025,0.1564999999999999,0.14675,0.0802499999999999,0.2165,0.09325,0.0802499999999999,0.1332499999999999,0.0925,0.2714999999999999,0.0519999999999999,0.565,0.04925,0.26725,0.1545,0.04425,0.05275,0.25925,0.126,0.1014999999999999,0.0469999999999999,0.1054999999999999,0.20475,0.0857499999999999,0.2045,0.0439999999999999,0.1455,0.1397499999999999,0.0772499999999999,0.06175,0.14125,0.0529999999999999,0.0544999999999999,0.1069999999999999,0.218,0.069,0.1947499999999999,0.0895,0.076,0.0529999999999999,0.03925,0.11975,0.0369999999999999,0.05375,0.1795,0.08,0.072,0.0579999999999999,0.04025,0.04375,0.04375,0.089,0.05125,0.0474999999999999,0.05425,0.025,0.0785,0.07,0.0544999999999999,0.082,0.0605,0.0344999999999999,0.0247499999999999,0.04925,0.0197499999999999
"Net, The (1995)",0.97525,0.701,0.701,0.967,0.68725,0.967,0.73025,0.9565,0.9565,0.6625,0.34575,0.54875,0.4745,0.59125,0.9565,0.4167499999999999,0.562,0.845,0.31675,0.477,0.36075,0.3369999999999999,0.31025,0.2279999999999999,0.2095,0.24175,0.2415,0.39175,0.4395,0.1495,0.18375,0.98125,0.2674999999999999,0.3502499999999999,0.31625,0.3745,0.2955,0.16975,0.2855,0.10625,0.23675,0.10175,0.1865,0.412,0.18225,0.1895,0.412,0.0969999999999999,0.45325,0.236,0.26,0.1932499999999999,0.1699999999999999,0.12475,0.244,0.11575,0.13,0.10225,0.26275,0.1664999999999999,0.2907499999999999,0.661,0.0584999999999999,0.0775,0.118,0.24675,0.0845,0.3249999999999999,0.26275,0.1149999999999999,0.412,0.0832499999999999,0.23975,0.0237499999999999,0.1029999999999999,0.0925,0.17825,0.14725,0.55225,0.2475,0.18225,0.03875,0.15575,0.14925,0.0574999999999999,0.0735,0.068,0.0787499999999999,0.09925,0.04975,0.086,0.17725,0.1049999999999999,0.0564999999999999,0.03175,0.0549999999999999,0.17725,0.24625,0.0504999999999999,0.1267499999999999,0.129,0.0727499999999999,0.10125,0.0735,0.0339999999999999,0.1004999999999999,0.0827499999999999,0.0822499999999999,0.077,0.0267499999999999,0.03175,0.1297499999999999,0.08725,0.09225,0.0519999999999999,0.253,0.16825,0.074,0.083,0.0682499999999999,0.299,0.0797499999999999,0.0755,0.0544999999999999,0.03125,0.1019999999999999,0.0637499999999999,0.093,0.11175,0.0642499999999999,0.2115,0.0569999999999999,0.0682499999999999,0.0595,0.08675,0.062,0.04625,0.03375,0.024,0.0504999999999999,0.0757499999999999,0.0727499999999999,0.0235,0.0247499999999999,0.0287499999999999,0.03425,0.03025,0.0175,0.0257499999999999
Outbreak (1995),0.8992500000000001,0.7542500000000001,0.7902499999999999,0.9265,0.73825,0.863,0.9105,0.7902499999999999,0.7902499999999999,0.7235,0.4207499999999999,0.70325,0.496,0.9105,0.6425,0.6315,0.68475,0.9105,0.7847500000000001,0.4087499999999999,0.2935,0.38325,0.1907499999999999,0.3385,0.6045,0.2514999999999999,0.089,0.3565,0.356,0.11925,0.1905,0.46125,0.3289999999999999,0.515,0.49575,0.21825,0.39725,0.20475,0.28,0.1104999999999999,0.2204999999999999,0.15525,0.36175,0.298,0.1714999999999999,0.2514999999999999,0.4034999999999999,0.32825,0.418,0.12075,0.12475,0.2314999999999999,0.0817499999999999,0.207,0.211,0.1109999999999999,0.2002499999999999,0.17925,0.1992499999999999,0.24775,0.57775,0.172,0.083,0.1362499999999999,0.14475,0.2269999999999999,0.1225,0.62825,0.2185,0.249,0.4034999999999999,0.0842499999999999,0.34225,0.0235,0.0474999999999999,0.1815,0.1825,0.27125,0.39225,0.2495,0.18475,0.12325,0.26575,0.1215,0.0454999999999999,0.1367499999999999,0.0979999999999999,0.0895,0.22825,0.2274999999999999,0.0762499999999999,0.10575,0.0875,0.05675,0.1377499999999999,0.0394999999999999,0.14675,0.149,0.37175,0.0672499999999999,0.0787499999999999,0.03875,0.0464999999999999,0.0797499999999999,0.04725,0.4922499999999999,0.10025,0.0409999999999999,0.065,0.04825,0.066,0.155,0.0697499999999999,0.0514999999999999,0.1505,0.10625,0.09075,0.1455,0.0795,0.075,0.0677499999999999,0.0745,0.0529999999999999,0.0792499999999999,0.05675,0.09525,0.04625,0.08925,0.071,0.1044999999999999,0.44025,0.072,0.03675,0.05525,0.071,0.0999999999999999,0.09525,0.04175,0.04375,0.0454999999999999,0.04975,0.03325,0.0534999999999999,0.05975,0.04625,0.0334999999999999,0.025,0.0255,0.0217499999999999
"River Wild, The (1994)",0.78575,0.7745,0.78575,0.706,0.78575,0.706,0.706,0.603,0.603,0.625,0.55775,0.49075,0.4712499999999999,0.8767499999999999,0.603,0.38925,0.8205,0.65075,0.4965,0.2847499999999999,0.3279999999999999,0.3515,0.25375,0.4922499999999999,0.24425,0.24725,0.1669999999999999,0.2875,0.24775,0.4317499999999999,0.1149999999999999,0.2095,0.11775,0.421,0.38625,0.216,0.21625,0.2025,0.7809999999999999,0.15575,0.2714999999999999,0.0765,0.2774999999999999,0.11275,0.156,0.17225,0.38625,0.2804999999999999,0.2945,0.20625,0.2125,0.2355,0.1104999999999999,0.18225,0.2095,0.122,0.1877499999999999,0.7115,0.13,0.26975,0.2724999999999999,0.0825,0.0584999999999999,0.05775,0.09875,0.3245,0.10875,0.284,0.21375,0.144,0.38625,0.0667499999999999,0.1285,0.0349999999999999,0.12375,0.11325,0.14,0.148,0.1292499999999999,0.3682499999999999,0.118,0.09125,0.1312499999999999,0.12075,0.12225,0.0677499999999999,0.1195,0.1312499999999999,0.0925,0.0745,0.0695,0.346,0.1985,0.0677499999999999,0.0662499999999999,0.0384999999999999,0.156,0.061,0.2345,0.3037499999999999,0.09075,0.03475,0.05275,0.1649999999999999,0.04175,0.1327499999999999,0.0635,0.09325,0.1962499999999999,0.1094999999999999,0.0469999999999999,0.1917499999999999,0.0805,0.0454999999999999,0.17075,0.071,0.0885,0.24775,0.26825,0.0474999999999999,0.0314999999999999,0.0852499999999999,0.7705,0.254,0.03925,0.03675,0.086,0.0554999999999999,0.0394999999999999,0.09175,0.0722499999999999,0.061,0.0665,0.015,0.05075,0.05725,0.0632499999999999,0.0232499999999999,0.05025,0.07,0.04375,0.03825,0.0349999999999999,0.11125,0.0847499999999999,0.024,0.023,0.0197499999999999,0.0237499999999999
True Lies (1994),0.99125,0.99125,0.99125,0.7962499999999999,0.9705,0.96375,0.75925,0.83975,0.7962499999999999,0.696,0.75925,0.72975,0.59225,0.5145,0.8367500000000001,0.3175,0.645,0.44425,0.4175,0.5955,0.4659999999999999,0.25175,0.33075,0.38,0.2865,0.9315,0.56225,0.50875,0.29125,0.28725,0.3944999999999999,0.14575,0.28825,0.42825,0.4712499999999999,0.4499999999999999,0.23975,0.39475,0.5425,0.36375,0.2209999999999999,0.1325,0.405,0.35475,0.195,0.33575,0.3329999999999999,0.3329999999999999,0.196,0.14375,0.26175,0.244,0.3582499999999999,0.0767499999999999,0.2314999999999999,0.21075,0.3315,0.3934999999999999,0.1257499999999999,0.22275,0.4067499999999999,0.122,0.0777499999999999,0.118,0.10725,0.3355,0.16325,0.261,0.241,0.1342499999999999,0.1515,0.1159999999999999,0.2594999999999999,0.4147499999999999,0.0979999999999999,0.1342499999999999,0.1405,0.187,0.17025,0.56425,0.1942499999999999,0.121,0.196,0.124,0.1124999999999999,0.51525,0.18275,0.08825,0.09575,0.0885,0.1149999999999999,0.10325,0.179,0.3555,0.0449999999999999,0.152,0.0389999999999999,0.1694999999999999,0.21325,0.11925,0.0685,0.08725,0.1674999999999999,0.089,0.0579999999999999,0.11125,0.17325,0.15425,0.21475,0.10625,0.16125,0.16525,0.075,0.09025,0.09825,0.144,0.0675,0.16225,0.09525,0.05375,0.1372499999999999,0.0775,0.0732499999999999,0.121,0.03825,0.154,0.0529999999999999,0.0732499999999999,0.18725,0.0777499999999999,0.067,0.0672499999999999,0.0529999999999999,0.0379999999999999,0.0454999999999999,0.0737499999999999,0.06225,0.04175,0.06075,0.10025,0.059,0.0797499999999999,0.04875,0.04825,0.05425,0.0737499999999999,0.0242499999999999,0.0454999999999999,0.0177499999999999
Blown Away (1994),0.96925,0.96925,0.96925,0.8767499999999999,0.881,0.7805,0.7805,0.63625,0.63625,0.685,0.90625,0.8460000000000001,0.4509999999999999,0.68625,0.42725,0.5825,0.6455,0.45775,0.8767499999999999,0.32225,0.44375,0.37075,0.3145,0.33625,0.25425,0.25175,0.2115,0.21575,0.1397499999999999,0.23675,0.282,0.18675,0.141,0.2524999999999999,0.24675,0.18375,0.28825,0.369,0.4539999999999999,0.2155,0.23325,0.0857499999999999,0.432,0.17125,0.27875,0.31325,0.188,0.45375,0.23725,0.0685,0.1835,0.28625,0.0939999999999999,0.9955,0.33925,0.0775,0.1965,0.24725,0.1895,0.1952499999999999,0.1945,0.16075,0.1277499999999999,0.0722499999999999,0.48275,0.1402499999999999,0.06125,0.1392499999999999,0.12275,0.193,0.1357499999999999,0.11025,0.0857499999999999,0.2445,0.18725,0.1699999999999999,0.1255,0.1415,0.131,0.15625,0.0782499999999999,0.125,0.1069999999999999,0.14825,0.154,0.0687499999999999,0.22225,0.206,0.12375,0.09125,0.16525,0.0807499999999999,0.091,0.079,0.05125,0.076,0.09725,0.0905,0.349,0.10175,0.11425,0.16575,0.0662499999999999,0.0905,0.0765,0.0999999999999999,0.078,0.0305,0.0677499999999999,0.0625,0.0682499999999999,0.0605,0.09125,0.0707499999999999,0.15975,0.1069999999999999,0.0797499999999999,0.18475,0.0842499999999999,0.11025,0.03175,0.0832499999999999,0.0595,0.0954999999999999,0.0857499999999999,0.26175,0.05825,0.091,0.123,0.0827499999999999,0.0625,0.0662499999999999,0.062,0.03825,0.0579999999999999,0.072,0.203,0.0439999999999999,0.0817499999999999,0.0292499999999999,0.09525,0.0404999999999999,0.04225,0.08775,0.0324999999999999,0.03625,0.03125,0.05675,0.0295
Cliffhanger (1993),0.99275,0.98625,0.99275,0.749,0.99275,0.431,0.694,0.749,0.749,0.5985,0.7565,0.54825,0.6135,0.62675,0.58625,0.41625,0.49875,0.40075,0.49275,0.25825,0.2997499999999999,0.3565,0.22575,0.388,0.274,0.265,0.16425,0.3595,0.2135,0.218,0.2887499999999999,0.18725,0.3007499999999999,0.401,0.51625,0.3522499999999999,0.6265,0.25875,0.3399999999999999,0.252,0.20925,0.10675,0.14075,0.1574999999999999,0.21875,0.176,0.388,0.388,0.25625,0.10775,0.213,0.23425,0.135,0.142,0.1674999999999999,0.1084999999999999,0.18525,0.149,0.144,0.2239999999999999,0.2244999999999999,0.05375,0.0509999999999999,0.0615,0.1262499999999999,0.21825,0.10425,0.1865,0.2065,0.1019999999999999,0.1574999999999999,0.08675,0.18325,0.1649999999999999,0.10325,0.084,0.1485,0.14225,0.0935,0.209,0.1985,0.1009999999999999,0.1775,0.126,0.14175,0.12375,0.14575,0.1375,0.1315,0.068,0.0944999999999999,0.1945,0.09325,0.3087499999999999,0.03925,0.0712499999999999,0.0647499999999999,0.2204999999999999,0.1054999999999999,0.0832499999999999,0.0725,0.0702499999999999,0.1245,0.08925,0.0464999999999999,0.10675,0.2249999999999999,0.0999999999999999,0.1725,0.03375,0.0732499999999999,0.249,0.062,0.0657499999999999,0.0817499999999999,0.1825,0.0539999999999999,0.1855,0.1245,0.05975,0.0637499999999999,0.0964999999999999,0.24625,0.0915,0.0369999999999999,0.15525,0.0439999999999999,0.0682499999999999,0.1599999999999999,0.08925,0.0672499999999999,0.10175,0.0519999999999999,0.0295,0.03425,0.0489999999999999,0.0595,0.021,0.03625,0.0374999999999999,0.04575,0.0797499999999999,0.0262499999999999,0.0865,0.04575,0.03875,0.11725,0.03875,0.019
