movieId,culture clash,runaway,independent film,drama,betrayal,weird,good,greed,melancholic,islam,original,wartime,mentor,drinking,period piece,dialogue,prejudice,sacrifice,vengeance,light,adaptation,catastrophe,unlikely friendships,life & death,british,survival,death,surveillance,weapons,fun movie,chase,childhood,pornography,life philosophy,fight scenes,very funny,transformation,not funny,nudity (full frontal - brief),predictable,film noir,family,fantasy world,1930s,good music,first contact,censorship,too long,stereotypes,rebellion,absurd,quirky,underrated,camp,dysfunctional family,irish accent,women,doctors,awesome soundtrack,hospital,classic car,brothers,indians,queer,alternate history,sexy,teen movie,creativity,multiple storylines,small town,bollywood,nudity (topless - brief),russian,ensemble cast,prison,alter ego,california,desert,hotel,computer animation,writers,race,simple,tokyo,memory,blindness,atheism,farce,interracial romance,radio,road movie,wilderness,foul language,island,directorial debut,god,new jersey,80s,dreams,lawyer,divorce,best of 2005,addiction,mad scientist,finnish,oil,potential oscar nom,pulp,french,hunting,texas,nudity (rear),made for tv,workplace,stoner movie,australia,adoption,new york city,documentary,internet,time,immortality,notable nudity,graphic novel,cancer,san francisco,stand-up comedy,kidnapping,father daughter relationship,trilogy,robert downey jr,snakes,wine,buddy movie,prostitution,ghosts/afterlife,too short,hip hop,no plot,fashion,homeless,goth,kick-butt women,unlikeable characters,los angeles,single father,reality tv,remake,shopping
Braveheart (1995),0.9865,0.98775,0.9895,0.984,0.9895,0.984,0.984,0.97175,0.9115,0.98775,0.8500000000000001,0.8972500000000001,0.9795,0.88575,0.9895,0.9115,0.9795,0.9795,0.9425,0.8872500000000001,0.64925,0.82575,0.6435,0.603,0.9215,0.5795,0.516,0.60125,0.9185,0.7922499999999999,0.9185,0.4439999999999999,0.51475,0.4609999999999999,0.9185,0.56175,0.4277499999999999,0.41525,0.411,0.82575,0.1039999999999999,0.418,0.6565,0.2015,0.646,0.53025,0.176,0.8140000000000001,0.27825,0.90825,0.1659999999999999,0.155,0.288,0.1599999999999999,0.25075,0.54,0.1282499999999999,0.21925,0.646,0.14375,0.3085,0.28075,0.4695,0.20825,0.46525,0.1709999999999999,0.4175,0.2005,0.291,0.1044999999999999,0.388,0.1865,0.20425,0.0755,0.16925,0.40075,0.11825,0.2274999999999999,0.081,0.24925,0.10975,0.198,0.3117499999999999,0.15275,0.1619999999999999,0.2194999999999999,0.10625,0.211,0.1044999999999999,0.09575,0.0685,0.1257499999999999,0.385,0.18625,0.203,0.1545,0.09975,0.2209999999999999,0.14425,0.0657499999999999,0.0767499999999999,0.1634999999999999,0.10475,0.2229999999999999,0.0364999999999999,0.069,0.126,0.1694999999999999,0.0657499999999999,0.0835,0.0812499999999999,0.0807499999999999,0.11975,0.03925,0.1114999999999999,0.1639999999999999,0.0549999999999999,0.0605,0.04225,0.1069999999999999,0.26075,0.2185,0.1044999999999999,0.44175,0.16475,0.0847499999999999,0.0935,0.1277499999999999,0.0837499999999999,0.2634999999999999,0.0625,0.1455,0.0295,0.25875,0.03375,0.125,0.14775,0.03625,0.0554999999999999,0.05075,0.0369999999999999,0.04075,0.0534999999999999,0.0265,0.0539999999999999,0.066,0.025,0.06175,0.025
Legends of the Fall (1994),0.92025,0.8872500000000001,0.879,0.8872500000000001,0.8872500000000001,0.8867499999999999,0.94075,0.83375,0.8867499999999999,0.6555,0.659,0.879,0.78125,0.83375,0.75075,0.82775,0.57075,0.61125,0.60925,0.33625,0.32575,0.61,0.8167500000000001,0.607,0.188,0.42925,0.4495,0.1387499999999999,0.2554999999999999,0.20875,0.3065,0.26675,0.19,0.28725,0.33075,0.24825,0.26575,0.3452499999999999,0.1955,0.3994999999999999,0.0747499999999999,0.633,0.25775,0.25575,0.37175,0.38625,0.05825,0.76925,0.1955,0.0652499999999999,0.2017499999999999,0.17225,0.23225,0.0707499999999999,0.7777499999999999,0.7695000000000001,0.20375,0.1714999999999999,0.211,0.2644999999999999,0.20325,0.95325,0.8819999999999999,0.1382499999999999,0.3625,0.1679999999999999,0.2684999999999999,0.16875,0.1902499999999999,0.0842499999999999,0.22025,0.31425,0.1679999999999999,0.10125,0.09825,0.12025,0.1245,0.141,0.15225,0.124,0.1079999999999999,0.0999999999999999,0.2204999999999999,0.0747499999999999,0.10275,0.16025,0.0845,0.088,0.289,0.0964999999999999,0.1252499999999999,0.299,0.05925,0.1185,0.0647499999999999,0.10375,0.0949999999999999,0.0584999999999999,0.10325,0.05775,0.14425,0.0642499999999999,0.065,0.0665,0.04125,0.04375,0.0635,0.14925,0.03675,0.16475,0.0954999999999999,0.0842499999999999,0.0657499999999999,0.0539999999999999,0.084,0.0732499999999999,0.1185,0.0459999999999999,0.021,0.1099999999999999,0.0954999999999999,0.0685,0.1402499999999999,0.03875,0.2085,0.0645,0.0832499999999999,0.0672499999999999,0.0782499999999999,0.05325,0.04175,0.0494999999999999,0.0404999999999999,0.03075,0.04225,0.075,0.1262499999999999,0.0394999999999999,0.1099999999999999,0.0682499999999999,0.0394999999999999,0.0282499999999999,0.06075,0.03775,0.04125,0.1475,0.03725,0.05275,0.0727499999999999
In the Name of the Father (1993),0.93525,0.8947499999999999,0.7665,0.9155,0.93525,0.9025,0.8594999999999999,0.93525,0.618,0.7665,0.7842499999999999,0.174,0.932,0.65175,0.758,0.44825,0.7665,0.528,0.7815000000000001,0.5815,0.7055,0.52275,0.59625,0.606,0.68075,0.26725,0.39075,0.268,0.2304999999999999,0.34775,0.359,0.28425,0.38225,0.2694999999999999,0.34775,0.37375,0.3385,0.38725,0.37725,0.17375,0.1735,0.3379999999999999,0.27675,0.11125,0.4395,0.1669999999999999,0.15775,0.1275,0.17775,0.39675,0.1362499999999999,0.218,0.3685,0.077,0.4932499999999999,0.8927499999999999,0.15775,0.17075,0.3605,0.25125,0.2324999999999999,0.2445,0.40175,0.15975,0.1445,0.15475,0.16475,0.137,0.2012499999999999,0.21275,0.33375,0.1175,0.1099999999999999,0.1029999999999999,0.8574999999999999,0.1574999999999999,0.16975,0.0384999999999999,0.0825,0.1302499999999999,0.12475,0.298,0.1225,0.15975,0.1034999999999999,0.24,0.12325,0.065,0.0727499999999999,0.0554999999999999,0.1345,0.14225,0.2219999999999999,0.0795,0.25075,0.1322499999999999,0.2345,0.10725,0.1335,0.6685,0.0424999999999999,0.1315,0.266,0.061,0.155,0.05125,0.11225,0.0875,0.0399999999999999,0.061,0.11425,0.077,0.2244999999999999,0.05875,0.16025,0.1245,0.16425,0.0504999999999999,0.063,0.08625,0.0837499999999999,0.04775,0.09475,0.10125,0.16875,0.0645,0.10775,0.07,0.1977499999999999,0.0682499999999999,0.08825,0.0287499999999999,0.0275,0.1805,0.08875,0.04025,0.0334999999999999,0.06075,0.0319999999999999,0.0192499999999999,0.1357499999999999,0.04175,0.05875,0.03225,0.04175,0.0999999999999999,0.0464999999999999,0.03775,0.015
Schindler's List (1993),0.99575,0.99575,0.95725,0.99575,0.96175,0.99575,0.99575,0.984,0.98675,0.94025,0.8987499999999999,0.99825,0.8832500000000001,0.8732500000000001,0.8975,0.98675,0.8765000000000001,0.8765000000000001,0.839,0.9145,0.92025,0.7165,0.9605,0.96175,0.3355,0.8422499999999999,0.48475,0.5565,0.3715,0.48875,0.3715,0.4872499999999999,0.424,0.39725,0.39975,0.53825,0.50725,0.40625,0.56725,0.3715,0.8732500000000001,0.3565,0.38475,0.61225,0.60125,0.34325,0.2827499999999999,0.6825,0.415,0.3575,0.16075,0.17175,0.3309999999999999,0.646,0.356,0.3305,0.173,0.26175,0.5945,0.194,0.3027499999999999,0.31225,0.363,0.2654999999999999,0.3682499999999999,0.2199999999999999,0.32125,0.22875,0.33675,0.14325,0.393,0.20975,0.15075,0.17275,0.24625,0.33675,0.14775,0.12475,0.1265,0.22375,0.1347499999999999,0.28625,0.251,0.1932499999999999,0.26,0.235,0.20425,0.18375,0.11575,0.21675,0.1084999999999999,0.14075,0.36975,0.148,0.177,0.1684999999999999,0.14075,0.1805,0.3219999999999999,0.09425,0.093,0.212,0.15975,0.2274999999999999,0.0494999999999999,0.069,0.15075,0.10325,0.04375,0.09625,0.0805,0.05275,0.17125,0.04575,0.17675,0.0524999999999999,0.0984999999999999,0.0777499999999999,0.1054999999999999,0.0827499999999999,0.177,0.1129999999999999,0.0499999999999999,0.30125,0.17475,0.0732499999999999,0.10275,0.0647499999999999,0.10525,0.11075,0.04375,0.15725,0.03775,0.1325,0.03775,0.0822499999999999,0.0727499999999999,0.04175,0.04275,0.03175,0.087,0.16275,0.03875,0.0409999999999999,0.04825,0.067,0.0569999999999999,0.0267499999999999,0.0339999999999999
Dances with Wolves (1990),0.969,0.9505,0.9215,0.9505,0.8580000000000001,0.9505,0.9505,0.683,0.88425,0.9215,0.695,0.6675,0.8002499999999999,0.88425,0.8580000000000001,0.88425,0.8002499999999999,0.8002499999999999,0.432,0.7665,0.7809999999999999,0.6465,0.64425,0.4495,0.2035,0.61275,0.277,0.15175,0.30225,0.3239999999999999,0.37275,0.32275,0.38225,0.31025,0.42925,0.2877499999999999,0.36575,0.3195,0.4075,0.42925,0.0944999999999999,0.3189999999999999,0.34025,0.141,0.3632499999999999,0.3954999999999999,0.08875,0.8694999999999999,0.5415,0.129,0.1119999999999999,0.1505,0.2284999999999999,0.1619999999999999,0.177,0.23125,0.1327499999999999,0.1669999999999999,0.268,0.1367499999999999,0.2115,0.247,0.99675,0.15075,0.41625,0.0895,0.411,0.20625,0.137,0.1345,0.182,0.10625,0.10925,0.0479999999999999,0.1094999999999999,0.0969999999999999,0.1935,0.4419999999999999,0.0939999999999999,0.1955,0.10025,0.3249999999999999,0.3339999999999999,0.079,0.0584999999999999,0.1355,0.21025,0.076,0.4519999999999999,0.1154999999999999,0.1415,0.3415,0.0722499999999999,0.18725,0.189,0.16325,0.0757499999999999,0.21475,0.11175,0.0685,0.06075,0.0394999999999999,0.081,0.10575,0.0419999999999999,0.0665,0.04575,0.10675,0.027,0.355,0.1345,0.0647499999999999,0.0687499999999999,0.05425,0.15975,0.10075,0.14325,0.0494999999999999,0.0379999999999999,0.174,0.1932499999999999,0.0792499999999999,0.075,0.0409999999999999,0.20325,0.078,0.09425,0.0692499999999999,0.0479999999999999,0.1365,0.029,0.16275,0.0305,0.04375,0.03725,0.1215,0.10825,0.04225,0.0524999999999999,0.0359999999999999,0.04825,0.0267499999999999,0.0695,0.0237499999999999,0.04525,0.05475,0.0344999999999999,0.0285,0.05525
Land and Freedom (Tierra y libertad) (1995),0.98575,0.89575,0.98575,0.72525,0.8625,0.7887500000000001,0.62175,0.83925,0.83925,0.98575,0.66475,0.8935,0.62275,0.7887500000000001,0.77,0.5965,0.62275,0.62275,0.55175,0.52225,0.2987499999999999,0.5485,0.3512499999999999,0.3715,0.79175,0.1225,0.4197499999999999,0.3005,0.5005,0.3804999999999999,0.23425,0.2012499999999999,0.4267499999999999,0.4539999999999999,0.3804999999999999,0.193,0.29225,0.32775,0.25925,0.1295,0.402,0.1305,0.22325,0.6355,0.153,0.147,0.1594999999999999,0.22325,0.20875,0.59475,0.3289999999999999,0.266,0.21625,0.1272499999999999,0.1987499999999999,0.411,0.51725,0.1154999999999999,0.153,0.1684999999999999,0.32725,0.16575,0.1054999999999999,0.271,0.1825,0.15425,0.23275,0.1307499999999999,0.16325,0.22925,0.14475,0.08925,0.2817499999999999,0.1089999999999999,0.10975,0.1114999999999999,0.131,0.1315,0.2025,0.10325,0.121,0.22025,0.0792499999999999,0.15925,0.0974999999999999,0.1392499999999999,0.0979999999999999,0.3472499999999999,0.1594999999999999,0.0677499999999999,0.2224999999999999,0.1689999999999999,0.0439999999999999,0.1644999999999999,0.15475,0.061,0.09525,0.0292499999999999,0.0712499999999999,0.04125,0.09925,0.1942499999999999,0.0752499999999999,0.0509999999999999,0.1982499999999999,0.45625,0.08775,0.10375,0.24025,0.0384999999999999,0.1185,0.10525,0.0805,0.1375,0.11325,0.1044999999999999,0.0787499999999999,0.03075,0.2284999999999999,0.0627499999999999,0.0454999999999999,0.0277499999999999,0.144,0.03225,0.04225,0.03925,0.069,0.03925,0.1345,0.10925,0.0959999999999999,0.0262499999999999,0.11225,0.03,0.0747499999999999,0.0232499999999999,0.059,0.025,0.0247499999999999,0.0135,0.04925,0.0295,0.04875,0.025,0.0245,0.0324999999999999,0.03775,0.0212499999999999,0.0117499999999999
For Whom the Bell Tolls (1943),0.94475,0.782,0.7769999999999999,0.94475,0.94475,0.80775,0.782,0.66,0.80775,0.67875,0.6645,0.7505,0.7769999999999999,0.67325,0.39025,0.764,0.7769999999999999,0.7769999999999999,0.4105,0.52575,0.965,0.4825,0.26975,0.2115,0.35175,0.4357499999999999,0.2855,0.215,0.62075,0.56225,0.389,0.1982499999999999,0.28225,0.3305,0.56225,0.24025,0.44925,0.3515,0.204,0.25525,0.359,0.11125,0.7115,0.8839999999999999,0.093,0.26875,0.368,0.40025,0.28525,0.1574999999999999,0.24275,0.15925,0.248,0.1945,0.1515,0.248,0.33925,0.2219999999999999,0.131,0.18325,0.1639999999999999,0.1495,0.10725,0.21125,0.176,0.2524999999999999,0.09725,0.1977499999999999,0.1445,0.09125,0.0697499999999999,0.1485,0.2007499999999999,0.15425,0.136,0.1745,0.2865,0.287,0.2204999999999999,0.1775,0.38675,0.09625,0.16575,0.0722499999999999,0.14725,0.11325,0.09575,0.1154999999999999,0.1669999999999999,0.1164999999999999,0.145,0.077,0.06225,0.16925,0.0855,0.09575,0.0474999999999999,0.0444999999999999,0.06,0.0652499999999999,0.11775,0.1875,0.0805,0.09875,0.0444999999999999,0.1325,0.067,0.20825,0.0715,0.2925,0.05525,0.0722499999999999,0.0675,0.1054999999999999,0.09725,0.0314999999999999,0.0742499999999999,0.0847499999999999,0.02975,0.10225,0.0742499999999999,0.1267499999999999,0.0672499999999999,0.14725,0.08625,0.068,0.0959999999999999,0.0334999999999999,0.04325,0.0647499999999999,0.0782499999999999,0.0817499999999999,0.17775,0.03325,0.04525,0.0499999999999999,0.15475,0.0282499999999999,0.077,0.1347499999999999,0.0187499999999999,0.05375,0.068,0.086,0.03775,0.028,0.03375,0.03175,0.0494999999999999
Casablanca (1942),0.9845,0.97025,0.94375,0.9845,0.82125,0.9845,0.941,0.9845,0.90225,0.493,0.8572500000000001,0.929,0.61075,0.94375,0.49375,0.941,0.47575,0.58225,0.57125,0.97025,0.30525,0.4712499999999999,0.8247500000000001,0.369,0.3552499999999999,0.14075,0.14525,0.483,0.674,0.674,0.51525,0.6745,0.1382499999999999,0.3884999999999999,0.674,0.40425,0.4167499999999999,0.3159999999999999,0.21825,0.28525,0.94375,0.214,0.251,0.45325,0.38275,0.254,0.36975,0.11825,0.2279999999999999,0.1735,0.31525,0.2694999999999999,0.2415,0.26625,0.1644999999999999,0.1475,0.10325,0.1262499999999999,0.27725,0.1009999999999999,0.27025,0.22175,0.1019999999999999,0.275,0.1965,0.30025,0.1962499999999999,0.24775,0.22275,0.184,0.25175,0.18425,0.1114999999999999,0.36675,0.1134999999999999,0.14075,0.209,0.4227499999999999,0.36775,0.214,0.1942499999999999,0.0697499999999999,0.22875,0.1235,0.24025,0.1195,0.085,0.24225,0.18625,0.15925,0.121,0.0857499999999999,0.12475,0.1302499999999999,0.155,0.03425,0.0695,0.066,0.14275,0.0559999999999999,0.3505,0.15425,0.04625,0.11875,0.0504999999999999,0.154,0.09375,0.15825,0.29025,0.0812499999999999,0.05525,0.0227499999999999,0.0667499999999999,0.0464999999999999,0.0677499999999999,0.04075,0.03425,0.1257499999999999,0.04825,0.062,0.4509999999999999,0.14675,0.03375,0.0359999999999999,0.0369999999999999,0.14675,0.0762499999999999,0.0444999999999999,0.03775,0.1325,0.05525,0.122,0.17075,0.0635,0.04575,0.0559999999999999,0.04575,0.0334999999999999,0.1149999999999999,0.06,0.0295,0.0225,0.0285,0.0324999999999999,0.06225,0.0182499999999999,0.0222499999999999,0.019,0.021
Gone with the Wind (1939),0.98375,0.981,0.8400000000000001,0.981,0.94175,0.981,0.981,0.8885000000000001,0.8992500000000001,0.7942499999999999,0.6055,0.8049999999999999,0.7395,0.5705,0.8400000000000001,0.8992500000000001,0.7395,0.7395,0.3359999999999999,0.91825,0.8325,0.613,0.31675,0.255,0.184,0.3329999999999999,0.18025,0.12275,0.2284999999999999,0.4195,0.2744999999999999,0.5995,0.2284999999999999,0.3482499999999999,0.2185,0.2435,0.4565,0.3159999999999999,0.21725,0.4087499999999999,0.44525,0.36675,0.26875,0.7622500000000001,0.18725,0.24575,0.28325,0.82725,0.416,0.2445,0.11325,0.1014999999999999,0.2249999999999999,0.16625,0.1352499999999999,0.1372499999999999,0.303,0.10425,0.1925,0.10925,0.1902499999999999,0.16075,0.179,0.22925,0.26925,0.1892499999999999,0.44575,0.16875,0.17025,0.1124999999999999,0.1049999999999999,0.0717499999999999,0.09325,0.0964999999999999,0.08925,0.1225,0.1945,0.24775,0.15025,0.255,0.11425,0.12125,0.20375,0.0802499999999999,0.0775,0.14325,0.0974999999999999,0.09775,0.3,0.1205,0.11225,0.0672499999999999,0.0574999999999999,0.1495,0.0564999999999999,0.06125,0.0549999999999999,0.0737499999999999,0.1195,0.0499999999999999,0.30725,0.06075,0.0464999999999999,0.11725,0.0255,0.09025,0.0369999999999999,0.12475,0.0514999999999999,0.09675,0.0777499999999999,0.0262499999999999,0.08725,0.04525,0.079,0.0474999999999999,0.04425,0.06025,0.03125,0.0687499999999999,0.22175,0.24,0.06175,0.03025,0.05325,0.09075,0.0772499999999999,0.04225,0.0344999999999999,0.0827499999999999,0.0429999999999999,0.14325,0.0652499999999999,0.03925,0.0504999999999999,0.04075,0.0695,0.03625,0.067,0.09525,0.0384999999999999,0.0262499999999999,0.03475,0.0379999999999999,0.04125,0.022,0.031,0.03025,0.067
Mr. Smith Goes to Washington (1939),0.98925,0.98925,0.7922499999999999,0.9805,0.961,0.9805,0.96625,0.9805,0.83725,0.9915,0.8167500000000001,0.7582500000000001,0.92425,0.7922499999999999,0.39325,0.83725,0.5575,0.5575,0.3285,0.92975,0.35875,0.4922499999999999,0.8567499999999999,0.414,0.3067499999999999,0.34075,0.2804999999999999,0.40225,0.3844999999999999,0.51475,0.4077499999999999,0.57625,0.258,0.3189999999999999,0.26125,0.38325,0.40725,0.3655,0.32275,0.40925,0.7922499999999999,0.3442499999999999,0.61125,0.542,0.2185,0.291,0.42925,0.212,0.31325,0.2105,0.62125,0.1835,0.309,0.7995000000000001,0.1629999999999999,0.18375,0.15325,0.1997499999999999,0.1735,0.15975,0.32375,0.19,0.1624999999999999,0.211,0.21775,0.193,0.1679999999999999,0.2022499999999999,0.15725,0.5555,0.1927499999999999,0.14675,0.0925,0.1375,0.1405,0.27175,0.3239999999999999,0.17925,0.15225,0.2425,0.10925,0.2007499999999999,0.33975,0.10775,0.126,0.1679999999999999,0.09775,0.49975,0.1235,0.2375,0.15775,0.155,0.17375,0.16975,0.14675,0.15925,0.1875,0.1569999999999999,0.34225,0.2209999999999999,0.1277499999999999,0.16775,0.074,0.2764999999999999,0.0409999999999999,0.3139999999999999,0.0655,0.21625,0.061,0.1305,0.09725,0.0369999999999999,0.10175,0.14075,0.0885,0.0409999999999999,0.0662499999999999,0.09875,0.03875,0.077,0.2002499999999999,0.0464999999999999,0.0267499999999999,0.0449999999999999,0.0785,0.1215,0.0767499999999999,0.069,0.081,0.0662499999999999,0.09375,0.18025,0.05875,0.1569999999999999,0.0707499999999999,0.0529999999999999,0.0755,0.03375,0.0675,0.0584999999999999,0.08625,0.015,0.0444999999999999,0.0344999999999999,0.0389999999999999,0.03875,0.03975,0.0305,0.0275
