movieId,weird,original,first contact,greed,melancholic,survival,dialogue,culture clash,vengeance,catastrophe,drama,runaway,good,independent film,life & death,predictable,surveillance,pornography,mentor,fantasy world,fight scenes,creativity,life philosophy,chase,absurd,light,drinking,adaptation,quirky,betrayal,transformation,mad scientist,not funny,memory,death,weapons,very funny,sacrifice,fun movie,underrated,doctors,writers,dreams,dysfunctional family,unlikely friendships,islam,internet,classic car,nudity (full frontal - brief),god,sexy,desert,immortality,pulp,family,computer animation,hospital,multiple storylines,childhood,road movie,film noir,atheism,alter ego,british,alternate history,simple,small town,prejudice,california,tokyo,hotel,irish accent,wilderness,teen movie,women,queer,stereotypes,workplace,blindness,nudity (topless - brief),good music,directorial debut,time,island,farce,period piece,too long,new jersey,awesome soundtrack,stoner movie,camp,no plot,addiction,censorship,rebellion,wartime,80s,radio,nudity (rear),indians,prison,hunting,oil,unlikeable characters,kidnapping,ensemble cast,race,australia,1930s,divorce,bollywood,graphic novel,reality tv,brothers,trilogy,cancer,notable nudity,snakes,new york city,foul language,best of 2005,homeless,stand-up comedy,los angeles,father daughter relationship,russian,goth,kick-butt women,texas,made for tv,adoption,potential oscar nom,interracial romance,wine,ghosts/afterlife,remake,san francisco,hip hop,too short,finnish,french,robert downey jr,shopping,prostitution,fashion,documentary,single father,buddy movie,lawyer
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.974,0.974,0.985,0.974,0.9175,0.99875,0.9175,0.942,0.974,0.92225,0.96425,0.91325,0.974,0.8247500000000001,0.8992500000000001,0.56275,0.6875,0.8247500000000001,0.533,0.70025,0.423,0.4655,0.3625,0.44275,0.8022499999999999,0.505,0.6915,0.44575,0.60275,0.562,0.4912499999999999,0.58925,0.4157499999999999,0.8165,0.18425,0.37675,0.4912499999999999,0.182,0.4419999999999999,0.4962499999999999,0.355,0.2654999999999999,0.59325,0.1905,0.2209999999999999,0.27,0.2684999999999999,0.2784999999999999,0.285,0.1345,0.256,0.16375,0.32825,0.26225,0.1255,0.1255,0.1975,0.25225,0.2017499999999999,0.1475,0.37975,0.20475,0.45925,0.423,0.27025,0.2135,0.1402499999999999,0.20375,0.18175,0.2445,0.17375,0.18675,0.1054999999999999,0.10375,0.0747499999999999,0.1345,0.10175,0.1335,0.25825,0.18675,0.3,0.24275,0.6395,0.11375,0.1367499999999999,0.17875,0.0742499999999999,0.137,0.16975,0.1425,0.0625,0.21425,0.10025,0.11625,0.25125,0.08975,0.0857499999999999,0.069,0.0964999999999999,0.0999999999999999,0.24125,0.0682499999999999,0.11675,0.1104999999999999,0.22125,0.12475,0.257,0.05975,0.1089999999999999,0.04325,0.2035,0.061,0.0444999999999999,0.0687499999999999,0.20675,0.03225,0.0637499999999999,0.1435,0.0885,0.16775,0.1297499999999999,0.1614999999999999,0.067,0.0885,0.074,0.05475,0.0334999999999999,0.0524999999999999,0.04725,0.075,0.0414999999999999,0.083,0.0409999999999999,0.0637499999999999,0.131,0.09625,0.0777499999999999,0.0384999999999999,0.03575,0.0212499999999999,0.0785,0.10825,0.0187499999999999,0.0534999999999999,0.03875,0.0439999999999999,0.0227499999999999,0.04875,0.03725
Strange Days (1995),0.8620000000000001,0.86975,0.9885,0.8620000000000001,0.8620000000000001,0.9885,0.8620000000000001,0.8620000000000001,0.86975,0.93825,0.7845,0.63525,0.60725,0.6025,0.49775,0.4852499999999999,0.815,0.84375,0.4335,0.31325,0.56925,0.34225,0.51525,0.676,0.36675,0.24275,0.2524999999999999,0.25525,0.239,0.815,0.346,0.1659999999999999,0.39075,0.9075,0.1937499999999999,0.56925,0.24575,0.2155,0.2957499999999999,0.59775,0.186,0.1835,0.2125,0.194,0.1579999999999999,0.2229999999999999,0.26275,0.345,0.283,0.05725,0.53275,0.11125,0.0845,0.31925,0.1049999999999999,0.126,0.12275,0.2284999999999999,0.127,0.18175,0.611,0.125,0.26075,0.129,0.12475,0.11675,0.09275,0.14075,0.28,0.1355,0.293,0.16575,0.0667499999999999,0.1175,0.2085,0.1317499999999999,0.18525,0.1287499999999999,0.1694999999999999,0.3065,0.16375,0.1295,0.1927499999999999,0.0627499999999999,0.12325,0.09075,0.45025,0.14575,0.139,0.085,0.1069999999999999,0.20775,0.354,0.1392499999999999,0.10775,0.05475,0.11275,0.068,0.1465,0.0785,0.1099999999999999,0.1114999999999999,0.141,0.1282499999999999,0.151,0.1649999999999999,0.10825,0.03175,0.0627499999999999,0.091,0.07,0.31825,0.1362499999999999,0.05175,0.09825,0.0384999999999999,0.10775,0.0449999999999999,0.09425,0.0775,0.14325,0.0777499999999999,0.0595,0.891,0.04375,0.04875,0.0414999999999999,0.1357499999999999,0.03625,0.0745,0.0449999999999999,0.1119999999999999,0.079,0.05075,0.0652499999999999,0.03075,0.13,0.1382499999999999,0.04475,0.0394999999999999,0.0414999999999999,0.1415,0.065,0.1345,0.08675,0.03225,0.0277499999999999,0.188,0.05225
In the Mouth of Madness (1995),0.89575,0.74525,0.35375,0.5425,0.524,0.63475,0.81325,0.524,0.6645,0.41325,0.384,0.524,0.5535,0.5425,0.592,0.3035,0.81325,0.5425,0.485,0.8434999999999999,0.35375,0.31975,0.4337499999999999,0.4692499999999999,0.3075,0.22625,0.32975,0.75075,0.355,0.33625,0.3702499999999999,0.569,0.3642499999999999,0.33725,0.23075,0.2125,0.20925,0.27375,0.2229999999999999,0.52675,0.2269999999999999,0.46025,0.2199999999999999,0.17925,0.14375,0.0755,0.11375,0.3442499999999999,0.2175,0.1054999999999999,0.1159999999999999,0.1925,0.10275,0.495,0.10275,0.1377499999999999,0.2885,0.139,0.1455,0.28125,0.135,0.0925,0.1882499999999999,0.143,0.1372499999999999,0.1064999999999999,0.95925,0.16175,0.1917499999999999,0.0842499999999999,0.1972499999999999,0.2259999999999999,0.1282499999999999,0.15125,0.10675,0.1402499999999999,0.1034999999999999,0.11225,0.1205,0.2365,0.0969999999999999,0.09525,0.0915,0.123,0.1225,0.143,0.0697499999999999,0.1965,0.087,0.15975,0.18375,0.0722499999999999,0.0949999999999999,0.1099999999999999,0.031,0.0762499999999999,0.2229999999999999,0.09625,0.14675,0.172,0.091,0.11925,0.0657499999999999,0.0705,0.0787499999999999,0.0524999999999999,0.0715,0.0645,0.074,0.04775,0.05775,0.1169999999999999,0.128,0.1119999999999999,0.1709999999999999,0.0514999999999999,0.1079999999999999,0.17475,0.068,0.0534999999999999,0.0324999999999999,0.0625,0.077,0.04775,0.0305,0.06125,0.27625,0.05225,0.2957499999999999,0.0605,0.059,0.03975,0.0705,0.0255,0.0662499999999999,0.0519999999999999,0.05525,0.05375,0.0282499999999999,0.0949999999999999,0.0379999999999999,0.05225,0.03975,0.05325,0.04375,0.0245,0.0354999999999999,0.04375,0.059
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",0.8915,0.8899999999999999,0.95825,0.8915,0.96825,0.95825,0.8915,0.8915,0.50725,0.853,0.60325,0.8685,0.46225,0.5915,0.8307500000000001,0.2445,0.693,0.3025,0.3575,0.50275,0.24725,0.606,0.25275,0.2857499999999999,0.6945,0.8685,0.65775,0.23125,0.7742500000000001,0.33775,0.40575,0.265,0.31475,0.44525,0.17875,0.2827499999999999,0.216,0.11925,0.1252499999999999,0.2234999999999999,0.15525,0.17225,0.142,0.17475,0.0959999999999999,0.3179999999999999,0.12325,0.127,0.1589999999999999,0.081,0.3369999999999999,0.1257499999999999,0.2985,0.512,0.066,0.1545,0.0762499999999999,0.14975,0.1154999999999999,0.15725,0.8685,0.081,0.087,0.1377499999999999,0.0895,0.14625,0.1109999999999999,0.23425,0.1515,0.24975,0.536,0.0772499999999999,0.0832499999999999,0.0845,0.34225,0.14075,0.0715,0.1134999999999999,0.1225,0.06075,0.09575,0.1139999999999999,0.0635,0.12375,0.24275,0.1215,0.071,0.11025,0.03925,0.09475,0.0775,0.1277499999999999,0.05975,0.14075,0.065,0.12425,0.0282499999999999,0.0722499999999999,0.074,0.05875,0.09175,0.04725,0.085,0.0414999999999999,0.021,0.03875,0.0722499999999999,0.03775,0.125,0.15,0.0454999999999999,0.03325,0.0394999999999999,0.0464999999999999,0.0687499999999999,0.10625,0.0747499999999999,0.0559999999999999,0.10725,0.0142499999999999,0.0344999999999999,0.0695,0.0632499999999999,0.13,0.0579999999999999,0.0677499999999999,0.0192499999999999,0.0569999999999999,0.04525,0.0494999999999999,0.05875,0.025,0.1257499999999999,0.1094999999999999,0.03375,0.0127499999999999,0.0845,0.0722499999999999,0.0182499999999999,0.05225,0.344,0.05175,0.03425,0.0939999999999999,0.1377499999999999,0.0702499999999999,0.0155,0.0252499999999999,0.0172499999999999
2001: A Space Odyssey (1968),0.98575,0.974,0.9745,0.98575,0.98575,0.91325,0.98575,0.98575,0.721,0.8799999999999999,0.96425,0.98575,0.96425,0.4465,0.9005000000000001,0.5295,0.51675,0.5795,0.40425,0.3097499999999999,0.67025,0.4822499999999999,0.383,0.2997499999999999,0.427,0.64775,0.60175,0.8362499999999999,0.3395,0.35575,0.475,0.7985,0.3934999999999999,0.3025,0.27075,0.56675,0.48275,0.1875,0.27175,0.2835,0.242,0.15125,0.35275,0.1569999999999999,0.11225,0.151,0.08975,0.2825,0.3007499999999999,0.40925,0.1785,0.34975,0.616,0.172,0.077,0.27325,0.0949999999999999,0.1515,0.21675,0.16425,0.2544999999999999,0.14475,0.1342499999999999,0.216,0.126,0.34575,0.10075,0.1164999999999999,0.21325,0.29325,0.28325,0.14725,0.1495,0.11325,0.09725,0.14225,0.05725,0.08975,0.09675,0.15275,0.5565,0.1382499999999999,0.3435,0.15275,0.14325,0.144,0.7385,0.0672499999999999,0.489,0.37575,0.10775,0.15025,0.08725,0.187,0.1649999999999999,0.0662499999999999,0.1709999999999999,0.10375,0.072,0.1425,0.079,0.0822499999999999,0.128,0.04375,0.0349999999999999,0.04125,0.10425,0.04725,0.0895,0.0549999999999999,0.0847499999999999,0.0202499999999999,0.024,0.07,0.1564999999999999,0.0329999999999999,0.04275,0.1307499999999999,0.0584999999999999,0.04875,0.067,0.0379999999999999,0.0722499999999999,0.05025,0.0514999999999999,0.073,0.0182499999999999,0.04375,0.071,0.0795,0.0474999999999999,0.0205,0.0632499999999999,0.0569999999999999,0.0227499999999999,0.0117499999999999,0.0615,0.0364999999999999,0.0217499999999999,0.0205,0.0449999999999999,0.0499999999999999,0.04225,0.0534999999999999,0.0409999999999999,0.05625,0.0152499999999999,0.028,0.03375
Sleeper (1973),0.875,0.94725,0.98775,0.8394999999999999,0.7745,0.98775,0.7745,0.7745,0.533,0.8394999999999999,0.94725,0.8625,0.7749999999999999,0.40075,0.67675,0.65225,0.3864999999999999,0.44975,0.39575,0.2967499999999999,0.18325,0.60875,0.50525,0.6525,0.91875,0.8625,0.37825,0.37,0.8427500000000001,0.2594999999999999,0.43325,0.38725,0.1927499999999999,0.3179999999999999,0.32825,0.32575,0.96775,0.152,0.6585,0.22675,0.42325,0.2155,0.2365,0.1579999999999999,0.1654999999999999,0.8734999999999999,0.0842499999999999,0.3007499999999999,0.31575,0.14075,0.44975,0.128,0.1997499999999999,0.2045,0.11675,0.1275,0.3269999999999999,0.09325,0.52525,0.1564999999999999,0.369,0.14075,0.2299999999999999,0.2927499999999999,0.1322499999999999,0.2835,0.14,0.309,0.25275,0.29125,0.205,0.0832499999999999,0.0712499999999999,0.09175,0.1865,0.3329999999999999,0.27475,0.3702499999999999,0.1225,0.1385,0.1684999999999999,0.1485,0.2324999999999999,0.11675,0.8514999999999999,0.1925,0.11775,0.085,0.0757499999999999,0.24025,0.142,0.1014999999999999,0.0885,0.58475,0.7975000000000001,0.1049999999999999,0.131,0.0765,0.0657499999999999,0.0954999999999999,0.0825,0.1019999999999999,0.1129999999999999,0.0399999999999999,0.198,0.0329999999999999,0.09125,0.0549999999999999,0.35,0.1609999999999999,0.137,0.03675,0.062,0.08825,0.0672499999999999,0.0354999999999999,0.08,0.08975,0.22375,0.0707499999999999,0.09725,0.0697499999999999,0.1694999999999999,0.0305,0.0682499999999999,0.0464999999999999,0.0222499999999999,0.0667499999999999,0.0569999999999999,0.04475,0.068,0.0615,0.0964999999999999,0.1405,0.0652499999999999,0.0117499999999999,0.0687499999999999,0.0384999999999999,0.0359999999999999,0.04625,0.1039999999999999,0.03275,0.10475,0.0797499999999999,0.121,0.06225,0.0172499999999999,0.062,0.05175
Brazil (1985),0.981,0.9655,0.98675,0.97225,0.97325,0.99875,0.97225,0.98675,0.98675,0.79975,0.93425,0.98675,0.98675,0.88775,0.981,0.29925,0.8614999999999999,0.88775,0.4217499999999999,0.9205,0.29725,0.6455,0.579,0.40125,0.96625,0.6025,0.58925,0.49375,0.97,0.4515,0.50075,0.3205,0.29825,0.3345,0.2309999999999999,0.3625,0.65425,0.22375,0.2544999999999999,0.38125,0.245,0.2355,0.9685,0.24025,0.20575,0.34875,0.1094999999999999,0.28825,0.212,0.1397499999999999,0.24975,0.22225,0.3117499999999999,0.17475,0.0705,0.12475,0.14,0.16725,0.4177499999999999,0.22125,0.4772499999999999,0.1765,0.3,0.4852499999999999,0.1272499999999999,0.257,0.14325,0.187,0.18075,0.32025,0.2345,0.178,0.12,0.0954999999999999,0.15625,0.1382499999999999,0.0827499999999999,0.8745,0.16275,0.44625,0.26275,0.2125,0.2744999999999999,0.0835,0.5305,0.22075,0.48375,0.1099999999999999,0.25375,0.29125,0.10625,0.08775,0.0745,0.26525,0.583,0.0772499999999999,0.1589999999999999,0.0494999999999999,0.186,0.0544999999999999,0.133,0.0625,0.211,0.0705,0.0949999999999999,0.05375,0.0715,0.05275,0.1624999999999999,0.08825,0.074,0.0554999999999999,0.0509999999999999,0.07,0.133,0.031,0.03375,0.0949999999999999,0.0715,0.0369999999999999,0.1415,0.1079999999999999,0.066,0.0959999999999999,0.0647499999999999,0.04725,0.0675,0.04375,0.05675,0.05225,0.05175,0.05425,0.0434999999999999,0.0875,0.0875,0.0182499999999999,0.0414999999999999,0.03575,0.0305,0.0344999999999999,0.1149999999999999,0.04875,0.0574999999999999,0.0959999999999999,0.078,0.0544999999999999,0.0112499999999999,0.0369999999999999,0.0252499999999999
Until the End of the World (Bis ans Ende der Welt) (1991),0.8995,0.77525,0.9245,0.77525,0.748,0.9245,0.748,0.64975,0.613,0.89625,0.6825,0.45225,0.4832499999999999,0.46775,0.67,0.4024999999999999,0.35675,0.398,0.4085,0.66375,0.211,0.4885,0.22225,0.557,0.475,0.2025,0.65325,0.28125,0.27175,0.3139999999999999,0.34125,0.1044999999999999,0.3482499999999999,0.347,0.18075,0.1955,0.2219999999999999,0.1815,0.24775,0.31825,0.09725,0.22125,0.8102499999999999,0.202,0.1714999999999999,0.239,0.27775,0.3229999999999999,0.176,0.21275,0.1114999999999999,0.48275,0.178,0.12325,0.0925,0.1019999999999999,0.1029999999999999,0.246,0.188,0.8167500000000001,0.24925,0.14275,0.18275,0.1654999999999999,0.14175,0.134,0.1272499999999999,0.15225,0.17925,0.397,0.1892499999999999,0.23925,0.088,0.1385,0.13,0.122,0.0702499999999999,0.131,0.1699999999999999,0.1555,0.4419999999999999,0.086,0.0655,0.127,0.08625,0.10675,0.96325,0.065,0.4419999999999999,0.10725,0.0529999999999999,0.2289999999999999,0.18375,0.08625,0.05125,0.4287499999999999,0.08625,0.0359999999999999,0.1709999999999999,0.34075,0.0742499999999999,0.04775,0.16125,0.1225,0.0697499999999999,0.08975,0.11175,0.53925,0.1094999999999999,0.04025,0.0939999999999999,0.028,0.0539999999999999,0.0697499999999999,0.5775,0.0364999999999999,0.0935,0.02975,0.0389999999999999,0.03625,0.14475,0.04525,0.0707499999999999,0.0762499999999999,0.1044999999999999,0.1327499999999999,0.0195,0.10625,0.244,0.0637499999999999,0.03325,0.05175,0.0827499999999999,0.10225,0.0205,0.018,0.1024999999999999,0.05425,0.11975,0.04675,0.15825,0.0792499999999999,0.0484999999999999,0.05075,0.0645,0.0349999999999999,0.0192499999999999,0.03525,0.0349999999999999
Event Horizon (1997),0.7445,0.7729999999999999,0.9905,0.541,0.541,0.8785000000000001,0.541,0.541,0.7669999999999999,0.6865,0.4317499999999999,0.44025,0.4925,0.53375,0.3017499999999999,0.45225,0.4955,0.53375,0.44925,0.3702499999999999,0.74775,0.4167499999999999,0.3994999999999999,0.3745,0.2224999999999999,0.3325,0.2239999999999999,0.30125,0.215,0.50825,0.44275,0.58725,0.3682499999999999,0.256,0.60425,0.3814999999999999,0.21575,0.3105,0.253,0.45675,0.2935,0.2355,0.199,0.2334999999999999,0.136,0.1099999999999999,0.1315,0.2239999999999999,0.27025,0.2867499999999999,0.23325,0.123,0.25575,0.39275,0.11275,0.1285,0.22075,0.1785,0.1295,0.0842499999999999,0.1014999999999999,0.2165,0.16925,0.087,0.1982499999999999,0.1009999999999999,0.122,0.088,0.0852499999999999,0.10325,0.14725,0.201,0.0514999999999999,0.11575,0.09275,0.1267499999999999,0.14125,0.0677499999999999,0.12175,0.15025,0.077,0.118,0.10475,0.0964999999999999,0.1134999999999999,0.0677499999999999,0.1064999999999999,0.15375,0.081,0.10025,0.139,0.11225,0.10475,0.0645,0.0314999999999999,0.0595,0.12175,0.11375,0.1317499999999999,0.05925,0.0775,0.0519999999999999,0.05825,0.12175,0.04875,0.118,0.05625,0.0414999999999999,0.0459999999999999,0.06225,0.0404999999999999,0.34275,0.0595,0.0685,0.0584999999999999,0.077,0.0707499999999999,0.092,0.0762499999999999,0.072,0.0569999999999999,0.0459999999999999,0.083,0.04675,0.03075,0.04525,0.25075,0.0479999999999999,0.068,0.0544999999999999,0.05425,0.0499999999999999,0.0424999999999999,0.0329999999999999,0.147,0.05825,0.04025,0.0584999999999999,0.0419999999999999,0.0529999999999999,0.03325,0.0529999999999999,0.067,0.04875,0.0222499999999999,0.0262499999999999,0.029,0.03875,0.0252499999999999
"Fast, Cheap & Out of Control (1997)",0.8354999999999999,0.8022499999999999,0.692,0.89425,0.8354999999999999,0.53725,0.57975,0.57975,0.89425,0.692,0.724,0.724,0.4307499999999999,0.3682499999999999,0.4875,0.374,0.34775,0.3037499999999999,0.4795,0.3135,0.2955,0.5335,0.50975,0.2875,0.418,0.37925,0.5545,0.24475,0.55625,0.25775,0.2835,0.15725,0.40225,0.27925,0.3419999999999999,0.14575,0.2319999999999999,0.1144999999999999,0.4307499999999999,0.2684999999999999,0.11025,0.145,0.09625,0.17175,0.178,0.22825,0.35175,0.2957499999999999,0.21225,0.256,0.235,0.0662499999999999,0.1009999999999999,0.146,0.3249999999999999,0.3249999999999999,0.0717499999999999,0.22025,0.1654999999999999,0.1357499999999999,0.1619999999999999,0.14325,0.1957499999999999,0.196,0.09125,0.1397499999999999,0.247,0.25825,0.1225,0.1644999999999999,0.18225,0.0757499999999999,0.0727499999999999,0.10275,0.17375,0.25775,0.10225,0.392,0.11175,0.0404999999999999,0.15775,0.1109999999999999,0.1589999999999999,0.0665,0.27475,0.12125,0.061,0.14425,0.1425,0.0837499999999999,0.0559999999999999,0.05525,0.147,0.251,0.082,0.06075,0.0727499999999999,0.0494999999999999,0.131,0.06225,0.0782499999999999,0.0285,0.1169999999999999,0.078,0.077,0.093,0.09125,0.0777499999999999,0.0875,0.1004999999999999,0.1322499999999999,0.0247499999999999,0.3824999999999999,0.0807499999999999,0.05825,0.03375,0.1574999999999999,0.0449999999999999,0.0832499999999999,0.0554999999999999,0.077,0.066,0.0747499999999999,0.0295,0.08675,0.04175,0.03075,0.129,0.10775,0.0469999999999999,0.08675,0.0675,0.1305,0.181,0.0675,0.015,0.0645,0.0717499999999999,0.0265,0.04975,0.0745,0.04425,0.03375,0.0514999999999999,0.134,0.8142499999999999,0.0359999999999999,0.0449999999999999,0.062
