movieId,melancholic,weird,culture clash,greed,independent film,runaway,dialogue,drinking,betrayal,drama,original,film noir,good,light,life & death,pornography,catastrophe,vengeance,quirky,mentor,life philosophy,childhood,death,absurd,dreams,sexy,adaptation,not funny,unlikely friendships,creativity,hotel,transformation,tokyo,fantasy world,chase,women,predictable,wartime,dysfunctional family,divorce,islam,surveillance,very funny,road movie,classic car,first contact,too long,memory,censorship,1930s,french,russian,writers,good music,small town,weapons,hospital,sacrifice,nudity (full frontal - brief),doctors,god,period piece,queer,british,multiple storylines,fight scenes,workplace,simple,prejudice,farce,fun movie,underrated,stoner movie,desert,wilderness,immortality,mad scientist,computer animation,blindness,irish accent,addiction,pulp,alter ego,documentary,survival,family,wine,finnish,prison,california,atheism,prostitution,bollywood,camp,directorial debut,texas,hunting,indians,stand-up comedy,awesome soundtrack,brothers,interracial romance,teen movie,trilogy,nudity (topless - brief),island,oil,homeless,new jersey,adoption,rebellion,no plot,stereotypes,alternate history,australia,kick-butt women,san francisco,made for tv,cancer,internet,new york city,goth,radio,nudity (rear),fashion,hip hop,ensemble cast,ghosts/afterlife,notable nudity,father daughter relationship,kidnapping,race,80s,time,snakes,best of 2005,shopping,potential oscar nom,lawyer,reality tv,robert downey jr,los angeles,unlikeable characters,too short,graphic novel,foul language,buddy movie,single father,remake
Chungking Express (Chung Hing sam lam) (1994),0.98575,0.98575,0.94525,0.90375,0.8775,0.8775,0.8775,0.563,0.46275,0.66125,0.8434999999999999,0.378,0.8274999999999999,0.61425,0.4155,0.28825,0.42625,0.40275,0.63025,0.31425,0.2784999999999999,0.272,0.1674999999999999,0.23675,0.4985,0.256,0.2654999999999999,0.35975,0.5785,0.44775,0.3087499999999999,0.26025,0.3345,0.2234999999999999,0.5045,0.1922499999999999,0.1435,0.14225,0.1694999999999999,0.128,0.1039999999999999,0.2644999999999999,0.25475,0.16325,0.189,0.1977499999999999,0.1352499999999999,0.2897499999999999,0.05075,0.1357499999999999,0.196,0.10575,0.20425,0.44425,0.1455,0.34775,0.123,0.186,0.1195,0.0964999999999999,0.03425,0.092,0.2035,0.15175,0.49875,0.34775,0.11575,0.2274999999999999,0.1287499999999999,0.0717499999999999,0.5045,0.2865,0.09475,0.11425,0.1897499999999999,0.04525,0.05575,0.11025,0.206,0.1955,0.213,0.1305,0.11025,0.0994999999999999,0.1119999999999999,0.15275,0.152,0.0825,0.0857499999999999,0.551,0.0474999999999999,0.0787499999999999,0.17375,0.0584999999999999,0.1332499999999999,0.09575,0.0817499999999999,0.56,0.0792499999999999,0.44425,0.16025,0.12075,0.12025,0.1835,0.084,0.09875,0.071,0.0464999999999999,0.0797499999999999,0.05375,0.0454999999999999,0.24275,0.0994999999999999,0.08625,0.0815,0.10125,0.05575,0.0399999999999999,0.0444999999999999,0.0837499999999999,0.0925,0.04225,0.0394999999999999,0.0665,0.0469999999999999,0.0595,0.3065,0.0285,0.0677499999999999,0.0569999999999999,0.0807499999999999,0.05375,0.0404999999999999,0.21125,0.04975,0.0504999999999999,0.0915,0.0675,0.0225,0.0295,0.0464999999999999,0.05525,0.0645,0.0222499999999999,0.0215,0.04325,0.03,0.021,0.0095
Safe (1995),0.8787499999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.929,0.8859999999999999,0.7657499999999999,0.648,0.581,0.8859999999999999,0.64775,0.22275,0.4439999999999999,0.2035,0.57075,0.4742499999999999,0.46025,0.28325,0.2564999999999999,0.4565,0.4499999999999999,0.15625,0.15175,0.55775,0.18225,0.4742499999999999,0.24525,0.33825,0.17425,0.31,0.1312499999999999,0.364,0.1445,0.2784999999999999,0.22925,0.403,0.3535,0.0559999999999999,0.21225,0.125,0.22925,0.23225,0.206,0.28,0.1579999999999999,0.3535,0.21425,0.14875,0.30925,0.0359999999999999,0.03175,0.0509999999999999,0.17125,0.20975,0.12425,0.18225,0.2885,0.14575,0.1972499999999999,0.64,0.14375,0.0755,0.15325,0.0595,0.09675,0.17475,0.556,0.16975,0.215,0.09075,0.126,0.31875,0.11225,0.183,0.35,0.1255,0.25325,0.1245,0.17475,0.0642499999999999,0.25925,0.10025,0.14625,0.0797499999999999,0.4137499999999999,0.1044999999999999,0.09475,0.02975,0.0855,0.609,0.11725,0.074,0.066,0.248,0.0835,0.11275,0.0449999999999999,0.06125,0.0687499999999999,0.05375,0.05925,0.085,0.09025,0.0429999999999999,0.08775,0.0885,0.09075,0.299,0.09675,0.0662499999999999,0.1367499999999999,0.03575,0.1589999999999999,0.0735,0.10975,0.0399999999999999,0.03975,0.0549999999999999,0.08675,0.10125,0.1372499999999999,0.05525,0.0935,0.0765,0.133,0.04625,0.0439999999999999,0.0519999999999999,0.03875,0.0549999999999999,0.0569999999999999,0.04325,0.0717499999999999,0.0205,0.0964999999999999,0.0275,0.17675,0.04475,0.0252499999999999,0.1277499999999999,0.03875,0.155,0.0785,0.0257499999999999,0.0117499999999999,0.017,0.0275,0.02,0.0132499999999999
Three Colors: Red (Trois couleurs: Rouge) (1994),0.98475,0.98475,0.9785,0.98475,0.975,0.91825,0.91825,0.7617499999999999,0.74125,0.74175,0.68725,0.28825,0.72375,0.7315,0.78,0.3027499999999999,0.43775,0.3725,0.2774999999999999,0.4439999999999999,0.54125,0.2965,0.4902499999999999,0.15475,0.371,0.4429999999999999,0.2495,0.36175,0.6075,0.3209999999999999,0.3265,0.311,0.138,0.2002499999999999,0.297,0.2415,0.1584999999999999,0.139,0.1265,0.24375,0.2334999999999999,0.68125,0.2209999999999999,0.34675,0.2564999999999999,0.2314999999999999,0.13,0.2065,0.0605,0.08875,0.84775,0.12325,0.1997499999999999,0.2614999999999999,0.17175,0.1215,0.20775,0.307,0.207,0.152,0.0697499999999999,0.1915,0.18575,0.24525,0.16275,0.18,0.1277499999999999,0.2085,0.3565,0.0672499999999999,0.14275,0.3085,0.1684999999999999,0.1287499999999999,0.258,0.09075,0.0842499999999999,0.17975,0.3027499999999999,0.16975,0.10675,0.12025,0.154,0.063,0.1059999999999999,0.119,0.4505,0.0657499999999999,0.1455,0.1245,0.09525,0.0697499999999999,0.135,0.0595,0.11925,0.0755,0.136,0.09325,0.0802499999999999,0.2614999999999999,0.1159999999999999,0.1355,0.0767499999999999,0.961,0.0685,0.1099999999999999,0.09625,0.22525,0.1014999999999999,0.0815,0.09725,0.137,0.081,0.0672499999999999,0.08875,0.0672499999999999,0.0584999999999999,0.064,0.0627499999999999,0.071,0.0682499999999999,0.04825,0.12225,0.076,0.22525,0.029,0.06175,0.141,0.078,0.06,0.0559999999999999,0.0969999999999999,0.0449999999999999,0.05025,0.075,0.03025,0.0742499999999999,0.06175,0.0944999999999999,0.0235,0.05625,0.05025,0.0399999999999999,0.018,0.0167499999999999,0.0152499999999999,0.04075,0.0142499999999999,0.015
Three Colors: Blue (Trois couleurs: Bleu) (1993),0.98775,0.98775,0.9705,0.98775,0.955,0.94475,0.94475,0.7635000000000001,0.69225,0.7125,0.63625,0.4125,0.70875,0.7215,0.9065,0.353,0.489,0.51975,0.23075,0.4327499999999999,0.52175,0.374,0.85575,0.21725,0.207,0.43775,0.2329999999999999,0.3784999999999999,0.4267499999999999,0.52275,0.28825,0.39775,0.29625,0.2085,0.2995,0.193,0.23275,0.1044999999999999,0.353,0.25925,0.3495,0.215,0.23525,0.26425,0.276,0.2564999999999999,0.1367499999999999,0.469,0.09125,0.0767499999999999,0.8694999999999999,0.0647499999999999,0.1895,0.8795,0.0925,0.1659999999999999,0.419,0.1887499999999999,0.24425,0.172,0.05075,0.1009999999999999,0.1342499999999999,0.1679999999999999,0.15025,0.174,0.3,0.208,0.22875,0.065,0.1599999999999999,0.282,0.1649999999999999,0.093,0.1337499999999999,0.15375,0.08725,0.1285,0.1445,0.1445,0.14825,0.1099999999999999,0.134,0.0584999999999999,0.1709999999999999,0.174,0.1775,0.04375,0.15375,0.0672499999999999,0.0825,0.16825,0.0802499999999999,0.05725,0.12175,0.0549999999999999,0.05525,0.0742499999999999,0.0979999999999999,0.15775,0.1535,0.086,0.084,0.843,0.067,0.0579999999999999,0.06,0.27825,0.11325,0.1367499999999999,0.0682499999999999,0.0954999999999999,0.08,0.073,0.0449999999999999,0.086,0.0484999999999999,0.0469999999999999,0.1315,0.05825,0.05375,0.0504999999999999,0.0334999999999999,0.0655,0.0695,0.0615,0.06175,0.18575,0.0935,0.16275,0.0549999999999999,0.05575,0.04325,0.04575,0.03775,0.0514999999999999,0.0915,0.0817499999999999,0.0825,0.0399999999999999,0.03825,0.03825,0.0534999999999999,0.0182499999999999,0.0177499999999999,0.02,0.0275,0.028,0.013
Suture (1993),0.6555,0.89975,0.62825,0.6555,0.92625,0.62825,0.41725,0.92625,0.7702500000000001,0.62825,0.7889999999999999,0.92625,0.62825,0.39125,0.20475,0.54975,0.4167499999999999,0.3319999999999999,0.32525,0.486,0.4645,0.1639999999999999,0.27375,0.4327499999999999,0.44525,0.18225,0.197,0.3155,0.21075,0.37,0.29625,0.26875,0.0949999999999999,0.267,0.32175,0.1564999999999999,0.3774999999999999,0.0695,0.3485,0.1347499999999999,0.11325,0.3339999999999999,0.2249999999999999,0.11725,0.14075,0.2385,0.04675,0.662,0.15075,0.1109999999999999,0.0632499999999999,0.0464999999999999,0.407,0.0905,0.14475,0.1765,0.18175,0.059,0.1375,0.15025,0.0695,0.08925,0.15475,0.17625,0.2002499999999999,0.21025,0.09775,0.08725,0.792,0.1619999999999999,0.153,0.1907499999999999,0.18525,0.05425,0.1475,0.04875,0.1262499999999999,0.14275,0.2415,0.156,0.1435,0.175,0.177,0.0637499999999999,0.10675,0.1292499999999999,0.0489999999999999,0.0329999999999999,0.0905,0.2445,0.0695,0.0359999999999999,0.05925,0.1594999999999999,0.2005,0.0677499999999999,0.0682499999999999,0.0842499999999999,0.1049999999999999,0.0277499999999999,0.51,0.1405,0.10025,0.03225,0.18675,0.05825,0.0275,0.10175,0.2724999999999999,0.0727499999999999,0.04525,0.137,0.2204999999999999,0.10475,0.1034999999999999,0.1367499999999999,0.0817499999999999,0.0855,0.0389999999999999,0.0842499999999999,0.11575,0.024,0.0645,0.03475,0.09975,0.10325,0.11475,0.0469999999999999,0.076,0.0479999999999999,0.05225,0.26975,0.0344999999999999,0.0282499999999999,0.0389999999999999,0.1059999999999999,0.0267499999999999,0.04375,0.1049999999999999,0.072,0.076,0.09375,0.11125,0.016,0.0635,0.03175,0.0389999999999999,0.03225,0.0182499999999999
Underneath (1995),0.92075,0.76,0.73525,0.76,0.7569999999999999,0.73525,0.518,0.6385,0.891,0.73525,0.6885,0.8999999999999999,0.516,0.38325,0.209,0.1972499999999999,0.4469999999999999,0.70975,0.2945,0.4555,0.4619999999999999,0.1574999999999999,0.1139999999999999,0.11775,0.14075,0.4845,0.20475,0.34275,0.1495,0.373,0.1955,0.21925,0.09925,0.2744999999999999,0.3482499999999999,0.16475,0.43,0.088,0.3824999999999999,0.3625,0.0832499999999999,0.347,0.21325,0.254,0.32175,0.254,0.1119999999999999,0.23225,0.04475,0.0745,0.0647499999999999,0.04525,0.32575,0.0994999999999999,0.25,0.23975,0.3592499999999999,0.09925,0.1775,0.16125,0.0247499999999999,0.1257499999999999,0.14375,0.1175,0.2085,0.23975,0.20925,0.0755,0.0755,0.069,0.3429999999999999,0.3295,0.0772499999999999,0.0707499999999999,0.068,0.0329999999999999,0.0832499999999999,0.1614999999999999,0.0974999999999999,0.14925,0.23225,0.3844999999999999,0.1679999999999999,0.0305,0.0499999999999999,0.2965,0.1024999999999999,0.0339999999999999,0.0787499999999999,0.296,0.05325,0.05525,0.092,0.06175,0.14875,0.2847499999999999,0.0262499999999999,0.0737499999999999,0.10375,0.06025,0.0519999999999999,0.05525,0.0807499999999999,0.27025,0.1094999999999999,0.0489999999999999,0.2165,0.05325,0.14875,0.0959999999999999,0.03875,0.09,0.093,0.10125,0.0404999999999999,0.17775,0.0792499999999999,0.03975,0.0292499999999999,0.10075,0.11025,0.0265,0.04375,0.062,0.0354999999999999,0.0399999999999999,0.1365,0.0319999999999999,0.0642499999999999,0.03425,0.1235,0.03975,0.03625,0.0539999999999999,0.0257499999999999,0.0404999999999999,0.1287499999999999,0.14075,0.1049999999999999,0.04275,0.03525,0.0925,0.1714999999999999,0.0324999999999999,0.0165,0.0319999999999999,0.03825,0.0484999999999999,0.0835
Cold Fever (Á köldum klaka) (1995),0.81925,0.81925,0.81925,0.764,0.736,0.764,0.5625,0.736,0.59725,0.5505,0.66275,0.4649999999999999,0.4307499999999999,0.4559999999999999,0.80375,0.185,0.4419999999999999,0.355,0.59725,0.4732499999999999,0.57325,0.28425,0.4155,0.23575,0.1465,0.132,0.14925,0.282,0.2264999999999999,0.1599999999999999,0.307,0.41325,0.72275,0.22225,0.33825,0.0822499999999999,0.242,0.2145,0.2045,0.1089999999999999,0.32075,0.1297499999999999,0.4559999999999999,0.98075,0.255,0.17175,0.16425,0.1144999999999999,0.1297499999999999,0.09625,0.0645,0.1589999999999999,0.2012499999999999,0.26,0.17725,0.1064999999999999,0.18675,0.0717499999999999,0.2614999999999999,0.135,0.0847499999999999,0.0695,0.151,0.11425,0.146,0.16975,0.1765,0.17725,0.3115,0.1099999999999999,0.16725,0.1402499999999999,0.16175,0.4629999999999999,0.44825,0.0662499999999999,0.09075,0.09275,0.1982499999999999,0.18475,0.067,0.1367499999999999,0.1169999999999999,0.1059999999999999,0.0935,0.0755,0.352,0.473,0.0777499999999999,0.15375,0.2534999999999999,0.0444999999999999,0.09425,0.12475,0.146,0.51325,0.02975,0.21175,0.14375,0.1235,0.08825,0.083,0.0615,0.0635,0.131,0.15525,0.0835,0.0865,0.1455,0.124,0.0697499999999999,0.11225,0.04475,0.0865,0.119,0.09075,0.0627499999999999,0.0275,0.0667499999999999,0.05325,0.0287499999999999,0.0267499999999999,0.12075,0.0399999999999999,0.0389999999999999,0.1515,0.04825,0.0344999999999999,0.0875,0.0564999999999999,0.0645,0.05625,0.1089999999999999,0.0832499999999999,0.0479999999999999,0.0615,0.0434999999999999,0.0195,0.019,0.03875,0.02975,0.0657499999999999,0.0494999999999999,0.03375,0.21925,0.0165,0.0314999999999999,0.0207499999999999,0.0095
Underground (1995),0.98925,0.98925,0.98925,0.7987500000000001,0.7987500000000001,0.91775,0.91775,0.73725,0.58575,0.8345,0.772,0.24525,0.5835,0.60625,0.6715,0.26825,0.5295,0.65475,0.6925,0.3545,0.38275,0.36175,0.1995,0.7245,0.272,0.2027499999999999,0.24625,0.3085,0.4619999999999999,0.3525,0.1699999999999999,0.26825,0.288,0.3129999999999999,0.1649999999999999,0.20975,0.14225,0.8694999999999999,0.1775,0.0504999999999999,0.7542500000000001,0.14675,0.3924999999999999,0.186,0.24,0.141,0.7135,0.3139999999999999,0.255,0.091,0.12325,0.3235,0.11425,0.5675,0.1109999999999999,0.57725,0.10825,0.2309999999999999,0.205,0.085,0.09625,0.54225,0.1709999999999999,0.23525,0.2704999999999999,0.15475,0.092,0.0855,0.31625,0.196,0.1962499999999999,0.28625,0.26325,0.10375,0.0865,0.04325,0.05475,0.1059999999999999,0.31025,0.21175,0.1262499999999999,0.10675,0.0842499999999999,0.1639999999999999,0.123,0.0944999999999999,0.03825,0.25225,0.60325,0.079,0.05275,0.04425,0.2279999999999999,0.12425,0.1377499999999999,0.0969999999999999,0.0369999999999999,0.1109999999999999,0.08725,0.4227499999999999,0.26225,0.062,0.0752499999999999,0.05675,0.13,0.1569999999999999,0.05075,0.05925,0.0949999999999999,0.04925,0.145,0.10375,0.1402499999999999,0.18725,0.0722499999999999,0.0735,0.026,0.0389999999999999,0.04975,0.04025,0.0272499999999999,0.0252499999999999,0.0662499999999999,0.05275,0.0257499999999999,0.0652499999999999,0.0895,0.0202499999999999,0.0514999999999999,0.067,0.0444999999999999,0.07,0.03025,0.1039999999999999,0.0162499999999999,0.2405,0.0125,0.0812499999999999,0.0202499999999999,0.023,0.0439999999999999,0.023,0.03125,0.0227499999999999,0.03275,0.0379999999999999,0.03825,0.0142499999999999,0.0077499999999999
Song of the Little Road (Pather Panchali) (1955),0.9925,0.92,0.8,0.8,0.88825,0.92,0.90225,0.88825,0.54625,0.8,0.537,0.88825,0.58525,0.4529999999999999,0.68125,0.1305,0.507,0.263,0.1604999999999999,0.3732499999999999,0.2947499999999999,0.7845,0.46525,0.2012499999999999,0.21525,0.1327499999999999,0.64125,0.35875,0.41525,0.2945,0.1159999999999999,0.308,0.38475,0.17825,0.22625,0.1342499999999999,0.119,0.09775,0.664,0.2495,0.1059999999999999,0.415,0.2007499999999999,0.5585,0.1292499999999999,0.185,0.0954999999999999,0.2189999999999999,0.0514999999999999,0.25675,0.16325,0.11575,0.177,0.294,0.1282499999999999,0.0905,0.1255,0.0935,0.18275,0.0795,0.1317499999999999,0.10825,0.1245,0.1805,0.0979999999999999,0.1262499999999999,0.0785,0.24525,0.2145,0.10225,0.08675,0.1159999999999999,0.05275,0.04025,0.062,0.17725,0.10975,0.0999999999999999,0.08675,0.139,0.1064999999999999,0.0757499999999999,0.0722499999999999,0.1175,0.0672499999999999,0.43925,0.1282499999999999,0.10125,0.062,0.05875,0.0817499999999999,0.0772499999999999,0.7549999999999999,0.0615,0.23225,0.04725,0.02975,0.796,0.10125,0.0979999999999999,0.23475,0.1579999999999999,0.078,0.84625,0.0394999999999999,0.0605,0.1295,0.05875,0.0657499999999999,0.2065,0.05425,0.0349999999999999,0.0615,0.05825,0.03475,0.05075,0.0479999999999999,0.05225,0.1225,0.04775,0.0225,0.0222499999999999,0.0205,0.018,0.03975,0.0295,0.0329999999999999,0.0275,0.028,0.0969999999999999,0.0235,0.04825,0.025,0.0292499999999999,0.0935,0.027,0.0192499999999999,0.024,0.0314999999999999,0.0217499999999999,0.0255,0.017,0.021,0.013,0.0225,0.016,0.021,0.04375,0.006
"World of Apu, The (Apur Sansar) (1959)",0.9755,0.91575,0.95425,0.80775,0.95425,0.95425,0.8775,0.8374999999999999,0.716,0.95425,0.74875,0.74825,0.679,0.4615,0.59725,0.10725,0.42225,0.31325,0.1987499999999999,0.44725,0.4385,0.749,0.3565,0.1725,0.56875,0.268,0.17775,0.35375,0.50575,0.27475,0.1287499999999999,0.29025,0.4267499999999999,0.1039999999999999,0.1689999999999999,0.197,0.1129999999999999,0.0989999999999999,0.267,0.423,0.0847499999999999,0.17775,0.1927499999999999,0.63725,0.235,0.1535,0.09375,0.2274999999999999,0.0514999999999999,0.16625,0.14425,0.0857499999999999,0.238,0.25525,0.14975,0.065,0.1629999999999999,0.0984999999999999,0.2115,0.0499999999999999,0.06075,0.0747499999999999,0.1297499999999999,0.1922499999999999,0.08625,0.0994999999999999,0.1322499999999999,0.2194999999999999,0.1375,0.1064999999999999,0.0805,0.11125,0.10025,0.1104999999999999,0.11825,0.283,0.077,0.10525,0.11525,0.11525,0.0642499999999999,0.064,0.066,0.10125,0.04875,0.1337499999999999,0.09275,0.11225,0.0807499999999999,0.0615,0.04425,0.0847499999999999,0.75125,0.05075,0.08975,0.0822499999999999,0.02975,0.7749999999999999,0.397,0.05275,0.11075,0.123,0.0574999999999999,0.933,0.0519999999999999,0.0424999999999999,0.05175,0.0959999999999999,0.089,0.137,0.09625,0.0272499999999999,0.0574999999999999,0.04675,0.0314999999999999,0.0672499999999999,0.03275,0.0717499999999999,0.0994999999999999,0.03825,0.0245,0.0267499999999999,0.024,0.023,0.04575,0.017,0.0354999999999999,0.0509999999999999,0.0275,0.04125,0.0235,0.0429999999999999,0.0152499999999999,0.0797499999999999,0.0384999999999999,0.0207499999999999,0.0197499999999999,0.0175,0.0404999999999999,0.0122499999999999,0.0187499999999999,0.015,0.0182499999999999,0.03825,0.0152499999999999,0.0125,0.0192499999999999,0.03275,0.0055
