movieId,predictable,first contact,catastrophe,good,weapons,fight scenes,original,chase,survival,fun movie,mad scientist,dialogue,weird,light,mentor,fantasy world,vengeance,runaway,culture clash,betrayal,adaptation,transformation,greed,very funny,drama,not funny,life philosophy,camp,melancholic,sacrifice,pulp,family,creativity,teen movie,death,computer animation,absurd,alter ego,island,immortality,independent film,pornography,internet,life & death,quirky,god,childhood,surveillance,stereotypes,writers,desert,sexy,nudity (full frontal - brief),underrated,memory,islam,dysfunctional family,snakes,classic car,80s,alternate history,california,doctors,remake,drinking,multiple storylines,unlikely friendships,women,new jersey,no plot,hospital,prejudice,simple,irish accent,nudity (rear),farce,queer,too long,trilogy,atheism,unlikeable characters,race,road movie,los angeles,time,too short,awesome soundtrack,tokyo,small town,blindness,notable nudity,wartime,hunting,period piece,dreams,british,prison,new york city,indians,film noir,wilderness,kick-butt women,san francisco,nudity (topless - brief),made for tv,radio,good music,hotel,stand-up comedy,shopping,graphic novel,single father,russian,hip hop,ensemble cast,reality tv,ghosts/afterlife,interracial romance,oil,workplace,kidnapping,brothers,stoner movie,fashion,bollywood,divorce,foul language,censorship,adoption,rebellion,addiction,buddy movie,1930s,goth,australia,directorial debut,cancer,father daughter relationship,robert downey jr,homeless,finnish,texas,best of 2005,prostitution,wine,potential oscar nom,french,lawyer,documentary
Cutthroat Island (1995),0.929,0.598,0.929,0.929,0.9765,0.9765,0.7075,0.9765,0.20575,0.8347500000000001,0.3,0.4579999999999999,0.68125,0.34325,0.4505,0.487,0.5085,0.3672499999999999,0.2865,0.55475,0.27825,0.4215,0.1992499999999999,0.26775,0.238,0.31525,0.3219999999999999,0.24275,0.24025,0.143,0.3095,0.3582499999999999,0.2299999999999999,0.17125,0.2604999999999999,0.1644999999999999,0.199,0.16325,0.5745,0.2264999999999999,0.18275,0.1985,0.2837499999999999,0.1907499999999999,0.265,0.06075,0.174,0.1024999999999999,0.22725,0.20675,0.1275,0.23225,0.1465,0.197,0.1267499999999999,0.1579999999999999,0.156,0.236,0.1624999999999999,0.12375,0.1315,0.2015,0.10425,0.08875,0.18275,0.10225,0.15025,0.23725,0.0979999999999999,0.1377499999999999,0.0984999999999999,0.0969999999999999,0.121,0.0852499999999999,0.1255,0.0725,0.1392499999999999,0.1345,0.12075,0.0865,0.04475,0.11325,0.152,0.0722499999999999,0.0812499999999999,0.0959999999999999,0.14,0.03875,0.0855,0.10725,0.0722499999999999,0.0627499999999999,0.1297499999999999,0.10475,0.1109999999999999,0.09625,0.0777499999999999,0.04925,0.129,0.1009999999999999,0.08725,0.0807499999999999,0.072,0.1064999999999999,0.0459999999999999,0.0444999999999999,0.0625,0.0662499999999999,0.08625,0.10075,0.0354999999999999,0.0429999999999999,0.0765,0.09275,0.03425,0.04975,0.04925,0.15925,0.0762499999999999,0.0777499999999999,0.1124999999999999,0.0974999999999999,0.059,0.0939999999999999,0.0939999999999999,0.151,0.1574999999999999,0.09775,0.0705,0.0314999999999999,0.0554999999999999,0.04275,0.0524999999999999,0.02975,0.05675,0.0454999999999999,0.0584999999999999,0.0295,0.03425,0.0334999999999999,0.10875,0.04275,0.0235,0.03825,0.05375,0.03775,0.03275,0.0235,0.0165
Lawnmower Man 2: Beyond Cyberspace (1996),0.8480000000000001,0.8859999999999999,0.8647499999999999,0.8859999999999999,0.734,0.8480000000000001,0.83575,0.4285,0.8062499999999999,0.2185,0.1679999999999999,0.35075,0.3622499999999999,0.14925,0.50175,0.6015,0.4215,0.26225,0.26225,0.46875,0.23425,0.239,0.26225,0.245,0.26225,0.3592499999999999,0.3075,0.2135,0.27875,0.2524999999999999,0.2564999999999999,0.24425,0.1245,0.3195,0.2319999999999999,0.5845,0.11325,0.1895,0.12225,0.45125,0.16525,0.21825,0.3315,0.11825,0.21025,0.69675,0.14475,0.1955,0.14375,0.206,0.22975,0.16075,0.309,0.10925,0.3159999999999999,0.16525,0.1315,0.0449999999999999,0.1725,0.20975,0.14975,0.0827499999999999,0.17025,0.154,0.1305,0.1977499999999999,0.14075,0.1252499999999999,0.092,0.1987499999999999,0.087,0.069,0.15425,0.1185,0.15875,0.269,0.1564999999999999,0.209,0.2005,0.1255,0.03725,0.0605,0.17125,0.1262499999999999,0.11225,0.04975,0.1995,0.0832499999999999,0.0722499999999999,0.0595,0.10675,0.0725,0.0122499999999999,0.0657499999999999,0.0775,0.0667499999999999,0.089,0.0625,0.09375,0.12475,0.0454999999999999,0.1302499999999999,0.04975,0.0875,0.0652499999999999,0.0292499999999999,0.08625,0.05825,0.0852499999999999,0.06125,0.09425,0.0514999999999999,0.04325,0.12475,0.06025,0.06025,0.0364999999999999,0.0695,0.0549999999999999,0.1054999999999999,0.0489999999999999,0.0359999999999999,0.064,0.03,0.05925,0.0885,0.0389999999999999,0.0574999999999999,0.0509999999999999,0.0655,0.0625,0.0232499999999999,0.04875,0.0504999999999999,0.0319999999999999,0.0564999999999999,0.04425,0.031,0.03675,0.26075,0.03625,0.03775,0.0207499999999999,0.0359999999999999,0.05975,0.0247499999999999,0.04025,0.0255,0.0147499999999999
Screamers (1995),0.99125,0.99325,0.99125,0.99325,0.8162499999999999,0.6255,0.7922499999999999,0.4615,0.97725,0.3067499999999999,0.46175,0.48075,0.508,0.243,0.3894999999999999,0.2254999999999999,0.30325,0.41325,0.3675,0.2644999999999999,0.36,0.3285,0.39,0.21,0.3675,0.393,0.309,0.1505,0.35175,0.4135,0.17925,0.12175,0.2875,0.1415,0.15425,0.1402499999999999,0.17325,0.122,0.15,0.1465,0.2045,0.2017499999999999,0.18425,0.16475,0.2027499999999999,0.128,0.119,0.14675,0.1694999999999999,0.2264999999999999,0.4065,0.10275,0.1957499999999999,0.3117499999999999,0.3017499999999999,0.1475,0.16575,0.07,0.194,0.1302499999999999,0.1272499999999999,0.121,0.14575,0.05025,0.0974999999999999,0.1624999999999999,0.15925,0.11175,0.1094999999999999,0.0579999999999999,0.129,0.09275,0.134,0.1352499999999999,0.1267499999999999,0.1355,0.1307499999999999,0.10975,0.0514999999999999,0.0524999999999999,0.0569999999999999,0.0665,0.1069999999999999,0.0595,0.10725,0.218,0.0722499999999999,0.14175,0.131,0.09725,0.078,0.2045,0.20475,0.0842499999999999,0.152,0.0697499999999999,0.0745,0.05125,0.10975,0.09725,0.088,0.0549999999999999,0.0439999999999999,0.176,0.062,0.11275,0.14975,0.09975,0.0935,0.03925,0.0394999999999999,0.0354999999999999,0.0755,0.0725,0.06125,0.0494999999999999,0.05325,0.0554999999999999,0.1069999999999999,0.0722499999999999,0.03375,0.0797499999999999,0.0745,0.04375,0.0755,0.0682499999999999,0.0314999999999999,0.0645,0.08725,0.0845,0.1034999999999999,0.03025,0.064,0.027,0.06025,0.085,0.03075,0.04675,0.0305,0.09725,0.062,0.04975,0.028,0.04725,0.0314999999999999,0.0295,0.0364999999999999,0.0242499999999999,0.021
Congo (1995),0.8665,0.806,0.8665,0.8665,0.806,0.8665,0.67075,0.79525,0.38375,0.59875,0.566,0.4555,0.31025,0.7525,0.50075,0.3409999999999999,0.4087499999999999,0.3502499999999999,0.2694999999999999,0.32625,0.977,0.4237499999999999,0.49275,0.292,0.25975,0.3545,0.378,0.566,0.2684999999999999,0.254,0.247,0.32225,0.2784999999999999,0.15025,0.295,0.1845,0.3149999999999999,0.2185,0.3389999999999999,0.0785,0.217,0.1947499999999999,0.5175,0.23575,0.3934999999999999,0.217,0.17225,0.10575,0.2524999999999999,0.22625,0.1745,0.129,0.16225,0.1357499999999999,0.09925,0.217,0.1694999999999999,0.61075,0.1962499999999999,0.0697499999999999,0.17125,0.184,0.14575,0.1245,0.14925,0.2294999999999999,0.2219999999999999,0.1589999999999999,0.16825,0.2105,0.1555,0.217,0.11325,0.122,0.1287499999999999,0.08825,0.1365,0.15875,0.028,0.1357499999999999,0.0534999999999999,0.09725,0.0807499999999999,0.1609999999999999,0.03475,0.10275,0.0574999999999999,0.09625,0.07,0.10025,0.064,0.077,0.06225,0.0677499999999999,0.08675,0.0627499999999999,0.0979999999999999,0.10575,0.11975,0.0984999999999999,0.15475,0.0805,0.0974999999999999,0.12075,0.0667499999999999,0.09525,0.04575,0.0785,0.11225,0.1714999999999999,0.0964999999999999,0.03775,0.0702499999999999,0.0875,0.05075,0.0429999999999999,0.04825,0.1129999999999999,0.0574999999999999,0.0765,0.08875,0.11875,0.0707499999999999,0.10225,0.09125,0.10975,0.04525,0.0635,0.10075,0.0152499999999999,0.05575,0.05325,0.0429999999999999,0.04675,0.03025,0.05725,0.0667499999999999,0.03,0.03425,0.076,0.04875,0.05325,0.0185,0.04975,0.03575,0.0389999999999999,0.03975,0.0344999999999999,0.0152499999999999
Hackers (1995),0.94925,0.94925,0.94925,0.94925,0.87175,0.87175,0.63825,0.5445,0.684,0.87175,0.45975,0.87175,0.5565,0.46025,0.56125,0.38825,0.404,0.35175,0.47375,0.246,0.30025,0.303,0.26075,0.2917499999999999,0.28025,0.36475,0.4137499999999999,0.45975,0.28325,0.1912499999999999,0.31575,0.16175,0.39925,0.8985000000000001,0.11575,0.292,0.1505,0.3532499999999999,0.2504999999999999,0.0959999999999999,0.47375,0.2175,0.953,0.209,0.2012499999999999,0.1395,0.3135,0.27825,0.4155,0.1977499999999999,0.11125,0.4185,0.12225,0.22525,0.1659999999999999,0.31775,0.11925,0.09875,0.1895,0.22925,0.16175,0.1629999999999999,0.1352499999999999,0.03875,0.1372499999999999,0.15375,0.17725,0.1345,0.1169999999999999,0.214,0.08875,0.31775,0.1387499999999999,0.20925,0.093,0.0837499999999999,0.1555,0.063,0.0564999999999999,0.1684999999999999,0.2002499999999999,0.15125,0.0647499999999999,0.0559999999999999,0.0732499999999999,0.0605,0.96825,0.076,0.1109999999999999,0.1049999999999999,0.1104999999999999,0.05275,0.0185,0.059,0.1049999999999999,0.1034999999999999,0.0865,0.2544999999999999,0.07,0.0822499999999999,0.075,0.0939999999999999,0.0564999999999999,0.39175,0.0755,0.1342499999999999,0.47375,0.08,0.0787499999999999,0.087,0.1639999999999999,0.0305,0.0615,0.134,0.0534999999999999,0.069,0.027,0.11675,0.2937499999999999,0.1009999999999999,0.0275,0.0672499999999999,0.09675,0.1917499999999999,0.073,0.0765,0.0675,0.0827499999999999,0.0474999999999999,0.0479999999999999,0.04875,0.03425,0.03925,0.256,0.0647499999999999,0.0812499999999999,0.03675,0.0344999999999999,0.08675,0.0369999999999999,0.03175,0.03675,0.0554999999999999,0.0185,0.0287499999999999,0.03175,0.03,0.0257499999999999,0.03825
Johnny Mnemonic (1995),0.9995,0.996,0.99775,0.9995,0.7695000000000001,0.8540000000000001,0.8007500000000001,0.60125,0.996,0.361,0.3105,0.55925,0.79325,0.2995,0.4665,0.34175,0.35675,0.6305,0.3185,0.3037499999999999,0.4742499999999999,0.3452499999999999,0.4054999999999999,0.2425,0.3185,0.38075,0.34475,0.1704999999999999,0.4054999999999999,0.24025,0.43925,0.152,0.471,0.137,0.22725,0.28,0.2815,0.17225,0.10825,0.3672499999999999,0.173,0.27325,0.88975,0.2244999999999999,0.2465,0.39275,0.25575,0.203,0.1335,0.26275,0.1275,0.21675,0.14075,0.23025,0.87975,0.34325,0.18075,0.04925,0.18525,0.1064999999999999,0.14375,0.1014999999999999,0.1795,0.0802499999999999,0.1109999999999999,0.1372499999999999,0.1395,0.1144999999999999,0.4225,0.1195,0.1029999999999999,0.0959999999999999,0.12075,0.12325,0.193,0.138,0.14725,0.1169999999999999,0.192,0.1435,0.1024999999999999,0.0677499999999999,0.11975,0.0742499999999999,0.15125,0.27,0.08825,0.176,0.068,0.10775,0.0825,0.05675,0.04575,0.063,0.082,0.072,0.0807499999999999,0.0605,0.059,0.1609999999999999,0.0514999999999999,0.0949999999999999,0.0469999999999999,0.1109999999999999,0.0875,0.0449999999999999,0.1327499999999999,0.11925,0.08725,0.083,0.298,0.04025,0.0554999999999999,0.0969999999999999,0.04025,0.0735,0.03775,0.076,0.0637499999999999,0.1564999999999999,0.0429999999999999,0.05875,0.0852499999999999,0.0625,0.0722499999999999,0.05675,0.1649999999999999,0.0852499999999999,0.04625,0.21575,0.0792499999999999,0.028,0.0439999999999999,0.03725,0.0374999999999999,0.0805,0.05075,0.03775,0.0569999999999999,0.0429999999999999,0.05375,0.0364999999999999,0.04175,0.04375,0.0295,0.03575,0.0354999999999999,0.0202499999999999,0.0197499999999999
Species (1995),0.95975,0.95975,0.95975,0.92625,0.88375,0.8394999999999999,0.6865,0.8400000000000001,0.64525,0.73575,0.7555000000000001,0.57175,0.54175,0.76525,0.4619999999999999,0.3512499999999999,0.53725,0.61825,0.38,0.53725,0.25425,0.74975,0.421,0.4355,0.38,0.3165,0.32625,0.60025,0.421,0.368,0.3249999999999999,0.2574999999999999,0.33725,0.1977499999999999,0.38825,0.1785,0.302,0.2289999999999999,0.401,0.43025,0.14975,0.72475,0.38675,0.21275,0.2455,0.23325,0.1495,0.24725,0.203,0.15175,0.3804999999999999,0.72475,0.28525,0.2065,0.2209999999999999,0.141,0.16625,0.23925,0.20425,0.22175,0.2224999999999999,0.4439999999999999,0.5865,0.084,0.17225,0.1995,0.149,0.2594999999999999,0.1335,0.175,0.23225,0.10525,0.1902499999999999,0.118,0.246,0.1335,0.1372499999999999,0.11875,0.0275,0.122,0.0752499999999999,0.2299999999999999,0.11075,0.83725,0.08825,0.09475,0.0835,0.14875,0.09975,0.1362499999999999,0.11675,0.0712499999999999,0.5125,0.1034999999999999,0.215,0.0817499999999999,0.1114999999999999,0.0949999999999999,0.10975,0.10225,0.1245,0.09725,0.1322499999999999,0.22775,0.0852499999999999,0.3565,0.06,0.22975,0.0837499999999999,0.23425,0.0667499999999999,0.05125,0.0657499999999999,0.086,0.18625,0.0484999999999999,0.05775,0.1295,0.2395,0.1327499999999999,0.0885,0.0767499999999999,0.0762499999999999,0.08,0.06175,0.14875,0.0825,0.12025,0.0832499999999999,0.0282499999999999,0.05375,0.0564999999999999,0.0715,0.04325,0.04475,0.0737499999999999,0.0625,0.03625,0.04975,0.0489999999999999,0.03925,0.04575,0.03025,0.0579999999999999,0.0519999999999999,0.03625,0.0334999999999999,0.03,0.02
Waterworld (1995),0.98875,0.98875,0.96925,0.96925,0.9465,0.96925,0.7975000000000001,0.9465,0.98875,0.8700000000000001,0.3934999999999999,0.4659999999999999,0.6485,0.37725,0.4892499999999999,0.64425,0.4105,0.55375,0.63525,0.37375,0.30525,0.394,0.4529999999999999,0.2935,0.3409999999999999,0.3602499999999999,0.3485,0.31025,0.3635,0.27675,0.25425,0.2734999999999999,0.45575,0.16975,0.2289999999999999,0.172,0.62125,0.96275,0.46025,0.249,0.268,0.2135,0.52975,0.24025,0.472,0.1347499999999999,0.1907499999999999,0.1049999999999999,0.17775,0.2075,0.56,0.196,0.1405,0.28825,0.2045,0.23525,0.1679999999999999,0.1305,0.186,0.1245,0.24475,0.267,0.1755,0.0895,0.268,0.11575,0.33775,0.1977499999999999,0.1485,0.1195,0.09775,0.16475,0.1895,0.2967499999999999,0.131,0.09425,0.1297499999999999,0.20325,0.0935,0.15025,0.2614999999999999,0.1104999999999999,0.1992499999999999,0.0672499999999999,0.1865,0.09625,0.14275,0.1004999999999999,0.1054999999999999,0.17675,0.05875,0.0762499999999999,0.0785,0.186,0.1084999999999999,0.09375,0.0964999999999999,0.10175,0.15325,0.0979999999999999,0.149,0.1014999999999999,0.05925,0.1169999999999999,0.0409999999999999,0.0657499999999999,0.14275,0.072,0.08775,0.0625,0.0765,0.0685,0.04825,0.0685,0.04025,0.06225,0.0625,0.085,0.552,0.125,0.1059999999999999,0.0717499999999999,0.0692499999999999,0.0797499999999999,0.0777499999999999,0.09225,0.143,0.0792499999999999,0.1029999999999999,0.078,0.076,0.0479999999999999,0.05475,0.04475,0.1267499999999999,0.0655,0.0454999999999999,0.062,0.0369999999999999,0.05125,0.0444999999999999,0.0434999999999999,0.04625,0.0615,0.0554999999999999,0.03225,0.0359999999999999,0.023,0.025
Stargate (1994),0.991,0.991,0.991,0.9875,0.929,0.9155,0.711,0.9155,0.887,0.80925,0.65375,0.679,0.7565,0.4825,0.54225,0.9635,0.4205,0.53025,0.632,0.4445,0.2027499999999999,0.502,0.4165,0.253,0.40225,0.40275,0.34225,0.25125,0.37175,0.6285,0.3722499999999999,0.2115,0.4942499999999999,0.481,0.256,0.51025,0.21625,0.39175,0.1855,0.79375,0.26975,0.17875,0.39175,0.1445,0.2185,0.7185,0.1902499999999999,0.3994999999999999,0.17575,0.1485,0.8775,0.196,0.143,0.32625,0.145,0.3007499999999999,0.2274999999999999,0.21975,0.1639999999999999,0.23825,0.74325,0.21725,0.25025,0.0359999999999999,0.26975,0.10125,0.2249999999999999,0.09025,0.09375,0.1932499999999999,0.10575,0.122,0.2165,0.178,0.1882499999999999,0.09075,0.26275,0.1252499999999999,0.3452499999999999,0.3295,0.05975,0.23025,0.0712499999999999,0.03875,0.26925,0.126,0.249,0.1402499999999999,0.0984999999999999,0.1574999999999999,0.06225,0.1694999999999999,0.066,0.11925,0.1124999999999999,0.1265,0.0845,0.0529999999999999,0.17925,0.08875,0.05225,0.0549999999999999,0.10925,0.1295,0.194,0.135,0.192,0.076,0.0787499999999999,0.06,0.0394999999999999,0.0489999999999999,0.12275,0.04675,0.0579999999999999,0.0399999999999999,0.1704999999999999,0.0727499999999999,0.17625,0.0499999999999999,0.086,0.0747499999999999,0.09125,0.073,0.0682499999999999,0.0767499999999999,0.0534999999999999,0.0845,0.05875,0.25975,0.0499999999999999,0.0394999999999999,0.18575,0.0637499999999999,0.0812499999999999,0.0755,0.03875,0.0509999999999999,0.0369999999999999,0.03175,0.03375,0.0414999999999999,0.03325,0.0242499999999999,0.0424999999999999,0.0292499999999999,0.0514999999999999,0.0197499999999999,0.0225
Star Trek: Generations (1994),0.96625,0.96375,0.932,0.9195,0.96625,0.69525,0.746,0.531,0.64575,0.4489999999999999,0.39525,0.4469999999999999,0.372,0.3295,0.59225,0.2734999999999999,0.3794999999999999,0.396,0.386,0.309,0.1897499999999999,0.3462499999999999,0.372,0.26925,0.58025,0.3502499999999999,0.3129999999999999,0.11175,0.3405,0.7175,0.1965,0.33725,0.311,0.284,0.8832500000000001,0.20475,0.1815,0.2817499999999999,0.127,0.746,0.25325,0.16825,0.1475,0.39925,0.1957499999999999,0.0635,0.34125,0.3087499999999999,0.10675,0.3065,0.308,0.083,0.1362499999999999,0.276,0.23575,0.1317499999999999,0.3077499999999999,0.0399999999999999,0.1372499999999999,0.138,0.1609999999999999,0.08975,0.3442499999999999,0.03825,0.25325,0.1649999999999999,0.309,0.118,0.0802499999999999,0.17525,0.26725,0.122,0.091,0.12375,0.0944999999999999,0.0812499999999999,0.1245,0.1285,0.3635,0.05925,0.03875,0.1164999999999999,0.0835,0.0262499999999999,0.49875,0.129,0.11075,0.1614999999999999,0.071,0.0837499999999999,0.0449999999999999,0.069,0.03525,0.0702499999999999,0.151,0.1114999999999999,0.0737499999999999,0.0369999999999999,0.0825,0.089,0.03175,0.04975,0.16125,0.05425,0.31475,0.1034999999999999,0.25125,0.1292499999999999,0.068,0.09075,0.0195,0.0682499999999999,0.0852499999999999,0.0504999999999999,0.132,0.11425,0.1684999999999999,0.0795,0.09575,0.05775,0.059,0.0514999999999999,0.073,0.0242499999999999,0.05625,0.0852499999999999,0.03825,0.0645,0.076,0.132,0.1555,0.0329999999999999,0.0434999999999999,0.02975,0.05375,0.0569999999999999,0.1694999999999999,0.04775,0.03875,0.03325,0.0369999999999999,0.0389999999999999,0.02975,0.03125,0.0434999999999999,0.026,0.0282499999999999,0.04225,0.0195
