movieId,islam,culture clash,runaway,greed,independent film,documentary,weird,betrayal,drama,original,good,melancholic,wartime,prejudice,drinking,mentor,catastrophe,dialogue,surveillance,pornography,light,vengeance,censorship,adaptation,internet,predictable,life philosophy,first contact,life & death,weapons,fun movie,oil,death,period piece,not funny,absurd,sacrifice,quirky,women,chase,very funny,creativity,fantasy world,unlikely friendships,nudity (full frontal - brief),classic car,dysfunctional family,queer,childhood,california,transformation,family,british,atheism,sexy,stereotypes,multiple storylines,fight scenes,doctors,teen movie,workplace,alternate history,underrated,addiction,film noir,small town,hotel,computer animation,new jersey,irish accent,survival,writers,nudity (topless - brief),hospital,race,god,good music,alter ego,texas,interracial romance,road movie,potential oscar nom,lawyer,1930s,prison,memory,best of 2005,too long,farce,blindness,bollywood,brothers,divorce,radio,wine,indians,wilderness,directorial debut,tokyo,stand-up comedy,hip hop,dreams,pulp,camp,rebellion,80s,reality tv,ensemble cast,awesome soundtrack,cancer,simple,made for tv,russian,new york city,adoption,foul language,mad scientist,kick-butt women,san francisco,finnish,notable nudity,hunting,island,stoner movie,prostitution,french,nudity (rear),australia,graphic novel,kidnapping,father daughter relationship,desert,los angeles,homeless,too short,time,shopping,robert downey jr,snakes,fashion,unlikeable characters,goth,immortality,trilogy,ghosts/afterlife,single father,no plot,buddy movie,remake
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",0.764,0.7757499999999999,0.6115,0.611,0.7757499999999999,0.94075,0.7757499999999999,0.4175,0.5055,0.644,0.5055,0.81325,0.8999999999999999,0.51775,0.4419999999999999,0.4515,0.41425,0.4545,0.22225,0.577,0.389,0.28825,0.739,0.243,0.18175,0.1485,0.65025,0.2012499999999999,0.3625,0.1405,0.21875,0.16175,0.2825,0.10925,0.3229999999999999,0.20475,0.09275,0.29925,0.5225,0.2744999999999999,0.25775,0.477,0.251,0.22525,0.2724999999999999,0.2947499999999999,0.15025,0.3067499999999999,0.23825,0.17575,0.25475,0.0852499999999999,0.1325,0.2304999999999999,0.22875,0.11475,0.15375,0.12025,0.1255,0.1009999999999999,0.28625,0.0857499999999999,0.20725,0.1335,0.2534999999999999,0.1877499999999999,0.2085,0.1307499999999999,0.15475,0.2189999999999999,0.06,0.172,0.0559999999999999,0.0959999999999999,0.061,0.0414999999999999,0.1332499999999999,0.09275,0.09725,0.1225,0.24325,0.03075,0.05275,0.42325,0.0984999999999999,0.1282499999999999,0.0384999999999999,0.16775,0.11125,0.16575,0.2274999999999999,0.0822499999999999,0.1892499999999999,0.0772499999999999,0.149,0.065,0.10475,0.11925,0.3662499999999999,0.10825,0.0812499999999999,0.0777499999999999,0.0944999999999999,0.1997499999999999,0.03425,0.03525,0.05525,0.05125,0.0559999999999999,0.0539999999999999,0.0647499999999999,0.10475,0.247,0.0459999999999999,0.1382499999999999,0.03075,0.0702499999999999,0.0544999999999999,0.0595,0.32475,0.0762499999999999,0.0509999999999999,0.119,0.0692499999999999,0.0944999999999999,0.14375,0.0394999999999999,0.0665,0.0324999999999999,0.0369999999999999,0.0707499999999999,0.0334999999999999,0.03,0.0399999999999999,0.0222499999999999,0.03925,0.08725,0.03075,0.0369999999999999,0.061,0.03225,0.03925,0.04525,0.0287499999999999,0.0374999999999999,0.0152499999999999,0.0267499999999999,0.0334999999999999,0.0102499999999999
"War Room, The (1993)",0.9915,0.82175,0.82175,0.82175,0.6535,0.91875,0.73025,0.72275,0.82175,0.82175,0.82175,0.86225,0.6535,0.4237499999999999,0.49975,0.4379999999999999,0.4539999999999999,0.50225,0.483,0.413,0.49975,0.2574999999999999,0.344,0.37875,0.2985,0.1659999999999999,0.273,0.1659999999999999,0.1925,0.2145,0.2865,0.154,0.1614999999999999,0.24675,0.344,0.3515,0.1079999999999999,0.3289999999999999,0.298,0.2855,0.46975,0.363,0.25675,0.26275,0.33675,0.2907499999999999,0.31275,0.344,0.2704999999999999,0.20875,0.23225,0.15375,0.25475,0.1985,0.39325,0.1649999999999999,0.2294999999999999,0.2145,0.2485,0.1835,0.21225,0.24325,0.297,0.188,0.1649999999999999,0.1967499999999999,0.203,0.1362499999999999,0.1594999999999999,0.1629999999999999,0.0685,0.16975,0.181,0.176,0.2234999999999999,0.05925,0.1922499999999999,0.14325,0.1594999999999999,0.1845,0.1272499999999999,0.0479999999999999,0.1342499999999999,0.15825,0.10275,0.1525,0.1785,0.211,0.25725,0.12325,0.144,0.15475,0.172,0.09075,0.17025,0.1205,0.089,0.1629999999999999,0.0845,0.074,0.1382499999999999,0.0895,0.15475,0.0845,0.1295,0.10225,0.127,0.2007499999999999,0.15175,0.04675,0.11325,0.0595,0.0685,0.1205,0.17725,0.154,0.085,0.1937499999999999,0.1009999999999999,0.0509999999999999,0.11825,0.16725,0.05575,0.0812499999999999,0.127,0.0984999999999999,0.08875,0.04225,0.0369999999999999,0.0762499999999999,0.1195,0.0625,0.0595,0.03525,0.0187499999999999,0.0737499999999999,0.04625,0.0569999999999999,0.0484999999999999,0.0817499999999999,0.066,0.0267499999999999,0.03725,0.04325,0.0344999999999999,0.031,0.04225,0.06025,0.0127499999999999
"Candidate, The (1972)",0.99925,0.968,0.93325,0.968,0.7605,0.2405,0.78075,0.968,0.675,0.7295,0.63625,0.63425,0.7605,0.46825,0.4549999999999999,0.53575,0.4549999999999999,0.5715,0.6185,0.50225,0.53425,0.3522499999999999,0.50225,0.27125,0.362,0.287,0.27625,0.287,0.20425,0.2314999999999999,0.34775,0.31725,0.2345,0.1589999999999999,0.375,0.7637499999999999,0.2584999999999999,0.241,0.39625,0.4107499999999999,0.23975,0.15825,0.31,0.27925,0.31425,0.2239999999999999,0.24575,0.1755,0.1485,0.83525,0.3345,0.211,0.19,0.18025,0.3007499999999999,0.261,0.1335,0.1877499999999999,0.4912499999999999,0.237,0.2845,0.16975,0.2604999999999999,0.077,0.1609999999999999,0.18375,0.39975,0.1624999999999999,0.2055,0.17825,0.074,0.23675,0.28725,0.12275,0.4185,0.1395,0.0822499999999999,0.16675,0.127,0.199,0.22475,0.1014999999999999,0.8025,0.191,0.1004999999999999,0.0812499999999999,0.1907499999999999,0.12025,0.2025,0.1515,0.12475,0.128,0.16325,0.2224999999999999,0.0642499999999999,0.178,0.067,0.125,0.12475,0.0875,0.05825,0.0725,0.1342499999999999,0.251,0.1604999999999999,0.1099999999999999,0.125,0.1902499999999999,0.09975,0.04925,0.1377499999999999,0.1342499999999999,0.05325,0.14675,0.14375,0.12125,0.1569999999999999,0.18275,0.12,0.027,0.062,0.1584999999999999,0.11275,0.08925,0.08925,0.0489999999999999,0.11875,0.0464999999999999,0.0832499999999999,0.05625,0.1639999999999999,0.1275,0.072,0.04425,0.06075,0.12175,0.0409999999999999,0.087,0.22425,0.086,0.09175,0.03825,0.04425,0.03775,0.0637499999999999,0.0695,0.0374999999999999,0.0584999999999999,0.0364999999999999
"Perfect Candidate, A (1996)",0.988,0.7617499999999999,0.5255,0.7617499999999999,0.84425,0.91675,0.54675,0.7617499999999999,0.45925,0.64575,0.45925,0.6385,0.5625,0.417,0.423,0.4267499999999999,0.4227499999999999,0.30225,0.301,0.281,0.423,0.29325,0.1357499999999999,0.3299999999999999,0.24775,0.1525,0.3179999999999999,0.17175,0.3095,0.1599999999999999,0.193,0.0777499999999999,0.3175,0.12425,0.33675,0.18025,0.0797499999999999,0.30725,0.1515,0.1992499999999999,0.3159999999999999,0.1377499999999999,0.214,0.189,0.1892499999999999,0.3129999999999999,0.4469999999999999,0.2329999999999999,0.12075,0.21475,0.22275,0.125,0.0785,0.23275,0.1704999999999999,0.0645,0.145,0.153,0.0569999999999999,0.0895,0.28025,0.0667499999999999,0.1069999999999999,0.32725,0.1995,0.193,0.521,0.1267499999999999,0.189,0.22275,0.0489999999999999,0.21075,0.04625,0.086,0.3305,0.02975,0.072,0.1195,0.18375,0.11325,0.0817499999999999,0.018,0.26025,0.1119999999999999,0.21225,0.1255,0.0745,0.0595,0.14775,0.1139999999999999,0.1014999999999999,0.118,0.1272499999999999,0.05775,0.074,0.0832499999999999,0.0964999999999999,0.15025,0.10225,0.10375,0.146,0.0712499999999999,0.12475,0.05275,0.0895,0.04175,0.027,0.088,0.0625,0.0484999999999999,0.05375,0.1942499999999999,0.0529999999999999,0.0712499999999999,0.1262499999999999,0.0469999999999999,0.074,0.10925,0.03775,0.021,0.0424999999999999,0.0349999999999999,0.05825,0.0399999999999999,0.1059999999999999,0.0574999999999999,0.05875,0.0349999999999999,0.04775,0.0682499999999999,0.0807499999999999,0.03,0.0384999999999999,0.0657499999999999,0.014,0.0574999999999999,0.0185,0.04175,0.0195,0.0645,0.0384999999999999,0.03025,0.027,0.04325,0.0262499999999999,0.0265,0.0232499999999999,0.0165,0.0125
Bob Roberts (1992),0.9965,0.94975,0.8712500000000001,0.94975,0.83975,0.48075,0.8712500000000001,0.94975,0.845,0.8105,0.7562500000000001,0.79175,0.83975,0.56225,0.5105,0.4529999999999999,0.4625,0.604,0.7562500000000001,0.50375,0.83925,0.38475,0.44175,0.4014999999999999,0.32575,0.277,0.3685,0.218,0.2885,0.3974999999999999,0.3057499999999999,0.44225,0.17725,0.12175,0.2329999999999999,0.9805,0.2445,0.57575,0.36275,0.211,0.4409999999999999,0.1745,0.4315,0.1835,0.3305,0.27775,0.29025,0.28125,0.15275,0.252,0.272,0.186,0.33125,0.2017499999999999,0.2714999999999999,0.559,0.21675,0.1985,0.1094999999999999,0.1255,0.301,0.15125,0.52975,0.43725,0.1569999999999999,0.306,0.1327499999999999,0.1917499999999999,0.24425,0.2475,0.0915,0.22275,0.3215,0.1235,0.1362499999999999,0.1367499999999999,0.15275,0.1875,0.119,0.14775,0.1377499999999999,0.2229999999999999,0.1252499999999999,0.152,0.1144999999999999,0.0737499999999999,0.267,0.0755,0.36375,0.11875,0.1059999999999999,0.17625,0.0832499999999999,0.2634999999999999,0.06075,0.082,0.22275,0.36175,0.0797499999999999,0.067,0.21,0.12275,0.125,0.26275,0.1649999999999999,0.11075,0.25925,0.51275,0.1415,0.0469999999999999,0.0842499999999999,0.0727499999999999,0.0695,0.09425,0.0695,0.0697499999999999,0.09425,0.17125,0.0499999999999999,0.0424999999999999,0.093,0.10325,0.0795,0.1367499999999999,0.1044999999999999,0.04675,0.0797499999999999,0.0469999999999999,0.22325,0.0805,0.08675,0.0747499999999999,0.155,0.34675,0.063,0.0409999999999999,0.03925,0.18575,0.069,0.10125,0.21125,0.0825,0.0349999999999999,0.0399999999999999,0.03575,0.0195,0.04575,0.0529999999999999,0.023
Wag the Dog (1997),0.989,0.8819999999999999,0.86775,0.8819999999999999,0.8779999999999999,0.0544999999999999,0.86775,0.8819999999999999,0.7597499999999999,0.8167500000000001,0.917,0.66325,0.8779999999999999,0.3405,0.3874999999999999,0.54225,0.49075,0.64825,0.917,0.3452499999999999,0.5245,0.40175,0.274,0.56775,0.1982499999999999,0.3712499999999999,0.311,0.2304999999999999,0.4095,0.4802499999999999,0.4207499999999999,0.145,0.25275,0.10775,0.268,0.9475,0.1775,0.50925,0.1604999999999999,0.3095,0.60125,0.23225,0.3575,0.22575,0.267,0.2209999999999999,0.2075,0.275,0.1295,0.2075,0.22525,0.15875,0.268,0.1034999999999999,0.30825,0.283,0.2165,0.1925,0.593,0.1134999999999999,0.09925,0.2334999999999999,0.3015,0.0737499999999999,0.11275,0.15175,0.1312499999999999,0.177,0.14875,0.26775,0.11275,0.27275,0.1649999999999999,0.1327499999999999,0.0994999999999999,0.1099999999999999,0.1049999999999999,0.131,0.05725,0.1614999999999999,0.0755,0.0737499999999999,0.11575,0.121,0.1795,0.142,0.0755,0.074,0.3219999999999999,0.10475,0.13,0.1297499999999999,0.06075,0.139,0.0434999999999999,0.0855,0.0725,0.1164999999999999,0.0885,0.0655,0.0787499999999999,0.0807499999999999,0.128,0.2279999999999999,0.08975,0.0504999999999999,0.308,0.27775,0.1054999999999999,0.0637499999999999,0.11825,0.09675,0.20825,0.0702499999999999,0.05125,0.17375,0.14875,0.06075,0.05175,0.1124999999999999,0.04775,0.04875,0.15375,0.091,0.04525,0.03725,0.086,0.0479999999999999,0.0825,0.0655,0.05575,0.1029999999999999,0.06025,0.05425,0.0444999999999999,0.06225,0.0227499999999999,0.1922499999999999,0.0637499999999999,0.05625,0.0895,0.0409999999999999,0.03325,0.0429999999999999,0.0287499999999999,0.023,0.1245,0.059,0.029
"Four Days in September (O Que É Isso, Companheiro?) (1997)",0.8867499999999999,0.86175,0.7675000000000001,0.8467499999999999,0.8467499999999999,0.307,0.86175,0.86175,0.7075,0.7929999999999999,0.72775,0.8467499999999999,0.22925,0.3725,0.55525,0.73075,0.437,0.44275,0.68925,0.4177499999999999,0.55,0.46975,0.44575,0.3365,0.1337499999999999,0.2837499999999999,0.39725,0.1659999999999999,0.2304999999999999,0.3784999999999999,0.475,0.1574999999999999,0.1285,0.5155,0.31875,0.4489999999999999,0.1034999999999999,0.4389999999999999,0.2095,0.475,0.3754999999999999,0.1897499999999999,0.22575,0.492,0.24375,0.22075,0.26975,0.2855,0.1785,0.2375,0.2445,0.1775,0.3692499999999999,0.08725,0.25775,0.21875,0.3472499999999999,0.3784999999999999,0.14425,0.1599999999999999,0.1387499999999999,0.0747499999999999,0.26425,0.1555,0.1895,0.2925,0.22625,0.17275,0.2965,0.39875,0.1535,0.204,0.4479999999999999,0.1594999999999999,0.16225,0.03425,0.1902499999999999,0.1322499999999999,0.13,0.0842499999999999,0.1272499999999999,0.09075,0.0554999999999999,0.1275,0.2085,0.1315,0.04425,0.04725,0.3,0.09625,0.3065,0.14125,0.0875,0.1099999999999999,0.1312499999999999,0.09775,0.092,0.16525,0.1099999999999999,0.092,0.177,0.12375,0.126,0.1927499999999999,0.25925,0.1144999999999999,0.09475,0.4044999999999999,0.1902499999999999,0.0404999999999999,0.0835,0.0835,0.34075,0.0755,0.0732499999999999,0.091,0.0695,0.0939999999999999,0.03025,0.22275,0.0625,0.0569999999999999,0.09125,0.0765,0.04975,0.1069999999999999,0.0999999999999999,0.1679999999999999,0.0175,0.87025,0.1074999999999999,0.04525,0.0627499999999999,0.0454999999999999,0.14825,0.0449999999999999,0.0112499999999999,0.09525,0.0165,0.0202499999999999,0.14475,0.06125,0.03275,0.0762499999999999,0.018,0.0344999999999999,0.079,0.0324999999999999,0.0232499999999999
"Big One, The (1997)",0.97225,0.92075,0.92075,0.9365,0.8314999999999999,0.96325,0.92075,0.80975,0.92075,0.7305,0.6725,0.56675,0.8314999999999999,0.44325,0.5465,0.59925,0.57525,0.33575,0.4205,0.4515,0.69425,0.367,0.4515,0.703,0.381,0.2274999999999999,0.3339999999999999,0.2274999999999999,0.28625,0.24175,0.61125,0.37675,0.24475,0.1365,0.2835,0.69425,0.1425,0.24325,0.33425,0.3695,0.61725,0.24975,0.31025,0.22625,0.264,0.2017499999999999,0.1982499999999999,0.267,0.18725,0.1815,0.31925,0.195,0.27125,0.26825,0.21075,0.26,0.2274999999999999,0.2145,0.15625,0.2674999999999999,0.8612500000000001,0.15125,0.3047499999999999,0.1079999999999999,0.10075,0.297,0.18125,0.16975,0.1917499999999999,0.1094999999999999,0.09175,0.1594999999999999,0.0782499999999999,0.2027499999999999,0.3702499999999999,0.0865,0.11875,0.1317499999999999,0.0665,0.16875,0.25375,0.138,0.15625,0.084,0.304,0.0647499999999999,0.372,0.0737499999999999,0.3445,0.14825,0.09675,0.10525,0.09125,0.0974999999999999,0.1405,0.079,0.09325,0.1882499999999999,0.1129999999999999,0.513,0.14425,0.0842499999999999,0.3535,0.1079999999999999,0.079,0.062,0.24,0.0787499999999999,0.0835,0.1205,0.128,0.10725,0.04425,0.0925,0.1215,0.09875,0.0895,0.1972499999999999,0.086,0.0905,0.11775,0.0715,0.1205,0.0805,0.0807499999999999,0.0717499999999999,0.04325,0.22325,0.05825,0.04825,0.10325,0.05025,0.04725,0.0944999999999999,0.029,0.067,0.0792499999999999,0.072,0.04275,0.2012499999999999,0.0885,0.0414999999999999,0.03825,0.0509999999999999,0.071,0.03575,0.069,0.0389999999999999,0.0222499999999999
Bulworth (1998),0.994,0.7557499999999999,0.7005,0.7557499999999999,0.69525,0.063,0.7005,0.7557499999999999,0.7005,0.7622500000000001,0.52575,0.4795,0.69525,0.29325,0.45225,0.4087499999999999,0.5585,0.51625,0.31975,0.537,0.491,0.422,0.537,0.3315,0.14575,0.5585,0.31775,0.5585,0.5665,0.175,0.312,0.4305,0.30525,0.132,0.2684999999999999,0.8385,0.1599999999999999,0.3662499999999999,0.405,0.255,0.58,0.21825,0.33375,0.1967499999999999,0.3602499999999999,0.17275,0.1629999999999999,0.1922499999999999,0.1302499999999999,0.59725,0.37725,0.15925,0.1952499999999999,0.1902499999999999,0.40575,0.58225,0.1639999999999999,0.25075,0.2455,0.1495,0.15975,0.1069999999999999,0.25775,0.3399999999999999,0.11075,0.148,0.1445,0.1865,0.21625,0.1367499999999999,0.09725,0.1825,0.11225,0.15575,0.21375,0.16675,0.16925,0.209,0.0647499999999999,0.964,0.119,0.08,0.093,0.0832499999999999,0.09125,0.11325,0.1149999999999999,0.1099999999999999,0.344,0.11875,0.11175,0.11275,0.10525,0.118,0.0787499999999999,0.09675,0.10375,0.1277499999999999,0.08925,0.1272499999999999,0.82925,0.083,0.154,0.1555,0.0705,0.0695,0.11375,0.10975,0.09275,0.05825,0.1292499999999999,0.0625,0.0534999999999999,0.0837499999999999,0.1372499999999999,0.3625,0.1257499999999999,0.11375,0.0605,0.06175,0.0725,0.04375,0.1079999999999999,0.18725,0.077,0.0409999999999999,0.1277499999999999,0.0925,0.0747499999999999,0.0494999999999999,0.0509999999999999,0.08925,0.09825,0.3045,0.0324999999999999,0.0514999999999999,0.15025,0.10425,0.0825,0.1397499999999999,0.123,0.1327499999999999,0.0524999999999999,0.0374999999999999,0.0762499999999999,0.03075,0.0625,0.061,0.03275
Roger & Me (1989),0.96825,0.766,0.87425,0.93725,0.8827499999999999,0.95875,0.87425,0.76,0.766,0.78775,0.766,0.6075,0.8827499999999999,0.7882499999999999,0.5265,0.47075,0.59125,0.4075,0.384,0.567,0.56025,0.3635,0.567,0.3934999999999999,0.3662499999999999,0.375,0.3994999999999999,0.375,0.38075,0.3425,0.40825,0.613,0.403,0.1375,0.32775,0.55175,0.16275,0.37375,0.4875,0.3269999999999999,0.56025,0.3259999999999999,0.31625,0.2455,0.245,0.3015,0.50175,0.278,0.17625,0.32325,0.2857499999999999,0.2239999999999999,0.25075,0.21625,0.2887499999999999,0.2485,0.191,0.17925,0.15025,0.1175,0.72775,0.12375,0.28625,0.123,0.1297499999999999,0.51575,0.3135,0.17575,0.30125,0.1629999999999999,0.10975,0.1307499999999999,0.142,0.12375,0.1397499999999999,0.087,0.147,0.11125,0.11925,0.1765,0.144,0.1295,0.1397499999999999,0.0815,0.1275,0.0895,0.1362499999999999,0.0747499999999999,0.15725,0.1485,0.1185,0.1312499999999999,0.1185,0.15425,0.11975,0.079,0.1129999999999999,0.305,0.1089999999999999,0.0842499999999999,0.1317499999999999,0.148,0.1059999999999999,0.0935,0.2724999999999999,0.213,0.36175,0.1049999999999999,0.11775,0.0625,0.15875,0.0725,0.0439999999999999,0.15425,0.127,0.0697499999999999,0.151,0.1604999999999999,0.186,0.05275,0.0574999999999999,0.0742499999999999,0.1004999999999999,0.1009999999999999,0.07,0.0579999999999999,0.068,0.05525,0.0675,0.0359999999999999,0.08625,0.05725,0.06125,0.0935,0.04775,0.0509999999999999,0.10075,0.0645,0.0727499999999999,0.1569999999999999,0.0662499999999999,0.0474999999999999,0.0685,0.04175,0.0384999999999999,0.02975,0.04625,0.0584999999999999,0.0157499999999999
