movieId,documentary,weird,runaway,culture clash,melancholic,original,greed,drama,independent film,good,betrayal,drinking,mentor,dialogue,light,vengeance,life & death,catastrophe,islam,creativity,pornography,quirky,life philosophy,childhood,unlikely friendships,adaptation,fun movie,prejudice,death,good music,chase,very funny,not funny,family,dysfunctional family,predictable,addiction,classic car,surveillance,fantasy world,queer,internet,fight scenes,nudity (full frontal - brief),censorship,weapons,first contact,computer animation,california,transformation,small town,teen movie,hip hop,british,sexy,absurd,film noir,multiple storylines,sacrifice,women,wilderness,dreams,new jersey,road movie,period piece,underrated,awesome soundtrack,alter ego,writers,nudity (topless - brief),hotel,stand-up comedy,doctors,atheism,bollywood,hospital,brothers,wartime,stereotypes,irish accent,survival,hunting,texas,tokyo,farce,prison,memory,too long,oil,simple,new york city,workplace,80s,divorce,alternate history,reality tv,directorial debut,indians,blindness,1930s,wine,finnish,pulp,interracial romance,san francisco,homeless,cancer,stoner movie,best of 2005,race,adoption,radio,foul language,made for tv,mad scientist,notable nudity,god,australia,lawyer,french,kick-butt women,camp,island,potential oscar nom,rebellion,father daughter relationship,los angeles,russian,prostitution,nudity (rear),immortality,desert,fashion,kidnapping,ensemble cast,snakes,time,shopping,buddy movie,goth,too short,robert downey jr,unlikeable characters,ghosts/afterlife,graphic novel,trilogy,no plot,single father,remake
Jupiter's Wife (1994),0.90125,0.83925,0.74125,0.74125,0.705,0.58875,0.62475,0.66975,0.564,0.481,0.55475,0.636,0.43825,0.564,0.1907499999999999,0.23025,0.5515,0.402,0.2304999999999999,0.137,0.3555,0.18675,0.1805,0.12125,0.24,0.279,0.073,0.46375,0.3155,0.0767499999999999,0.1967499999999999,0.15675,0.33325,0.03975,0.22125,0.181,0.94725,0.505,0.55475,0.3239999999999999,0.51575,0.25325,0.16225,0.5575,0.073,0.1875,0.309,0.1089999999999999,0.21475,0.24425,0.1129999999999999,0.0717499999999999,0.368,0.0712499999999999,0.1564999999999999,0.24275,0.437,0.249,0.0857499999999999,0.11175,0.0735,0.14725,0.7615000000000001,0.25125,0.0657499999999999,0.0782499999999999,0.0767499999999999,0.10425,0.2385,0.03675,0.372,0.5065,0.0802499999999999,0.09275,0.21525,0.15475,0.0702499999999999,0.176,0.1287499999999999,0.0742499999999999,0.11225,0.04075,0.645,0.2254999999999999,0.0735,0.28025,0.1322499999999999,0.16825,0.0182499999999999,0.07,0.3692499999999999,0.11875,0.0354999999999999,0.0905,0.0787499999999999,0.0147499999999999,0.0999999999999999,0.067,0.0675,0.0672499999999999,0.05075,0.66225,0.1054999999999999,0.04725,0.0185,0.98525,0.1099999999999999,0.2817499999999999,0.138,0.0324999999999999,0.08675,0.0187499999999999,0.024,0.0285,0.0665,0.03975,0.05325,0.063,0.0349999999999999,0.0805,0.0852499999999999,0.0554999999999999,0.0939999999999999,0.0117499999999999,0.0379999999999999,0.0439999999999999,0.09475,0.10725,0.08775,0.0805,0.0257499999999999,0.03075,0.0755,0.075,0.04625,0.0265,0.0237499999999999,0.0102499999999999,0.0182499999999999,0.0262499999999999,0.059,0.129,0.0255,0.0137499999999999,0.3485,0.0247499999999999,0.0559999999999999,0.011,0.0107499999999999
Hoop Dreams (1994),0.91225,0.79175,0.79175,0.79175,0.8705,0.71625,0.79175,0.79175,0.545,0.69525,0.533,0.4892499999999999,0.73225,0.4125,0.4892499999999999,0.30925,0.37625,0.43775,0.1907499999999999,0.22675,0.2524999999999999,0.23925,0.27175,0.5105,0.82175,0.3255,0.31725,0.38075,0.1357499999999999,0.21,0.25225,0.3205,0.31675,0.5105,0.29825,0.1312499999999999,0.53175,0.28425,0.2684999999999999,0.30225,0.26025,0.1957499999999999,0.26575,0.2724999999999999,0.2035,0.25175,0.143,0.5105,0.24425,0.22575,0.39725,0.8560000000000001,0.281,0.20625,0.1525,0.1342499999999999,0.16575,0.3655,0.202,0.15675,0.10925,0.83375,0.25675,0.21175,0.15425,0.26425,0.185,0.148,0.09525,0.0509999999999999,0.08975,0.10575,0.11475,0.0802499999999999,0.2155,0.0827499999999999,0.17025,0.0974999999999999,0.2435,0.146,0.0642499999999999,0.0732499999999999,0.21725,0.1609999999999999,0.0765,0.09675,0.0632499999999999,0.3107499999999999,0.11375,0.1129999999999999,0.09225,0.0722499999999999,0.1614999999999999,0.08875,0.076,0.4845,0.11975,0.09125,0.0785,0.1129999999999999,0.0775,0.0504999999999999,0.1024999999999999,0.0737499999999999,0.03725,0.12425,0.0677499999999999,0.08675,0.154,0.2229999999999999,0.10675,0.0725,0.214,0.0735,0.04625,0.086,0.0287499999999999,0.082,0.061,0.0414999999999999,0.0815,0.1535,0.0595,0.087,0.14475,0.09975,0.0474999999999999,0.0494999999999999,0.0717499999999999,0.04125,0.0282499999999999,0.0215,0.0429999999999999,0.03025,0.08625,0.0657499999999999,0.03325,0.0192499999999999,0.16375,0.03575,0.04175,0.0999999999999999,0.0334999999999999,0.0305,0.0282499999999999,0.03775,0.0389999999999999,0.0469999999999999,0.0117499999999999
"Endless Summer 2, The (1994)",0.6455,0.66725,0.8382499999999999,0.8382499999999999,0.7655000000000001,0.8227500000000001,0.7655000000000001,0.50725,0.7655000000000001,0.557,0.32725,0.7655000000000001,0.58375,0.4325,0.3349999999999999,0.412,0.4575,0.4337499999999999,0.1624999999999999,0.21725,0.3047499999999999,0.2495,0.59975,0.15475,0.26125,0.2867499999999999,0.4455,0.2007499999999999,0.14775,0.213,0.5135,0.3445,0.3159999999999999,0.1114999999999999,0.1855,0.37525,0.0785,0.2857499999999999,0.079,0.2865,0.14375,0.47475,0.38375,0.27725,0.09425,0.3245,0.37525,0.18075,0.8205,0.28425,0.0842499999999999,0.30525,0.1069999999999999,0.133,0.1887499999999999,0.1397499999999999,0.1099999999999999,0.1967499999999999,0.0855,0.12225,0.1584999999999999,0.17525,0.6985,0.1169999999999999,0.0935,0.26175,0.18575,0.1599999999999999,0.149,0.0939999999999999,0.1377499999999999,0.20775,0.11125,0.22875,0.21425,0.16575,0.0777499999999999,0.124,0.1912499999999999,0.16475,0.06075,0.05225,0.085,0.29325,0.091,0.10175,0.149,0.12275,0.14675,0.10575,0.26025,0.0944999999999999,0.1704999999999999,0.0584999999999999,0.11575,0.04675,0.11075,0.124,0.09625,0.0865,0.1275,0.30525,0.1679999999999999,0.1569999999999999,0.0632499999999999,0.0359999999999999,0.082,0.1455,0.1292499999999999,0.1004999999999999,0.0745,0.03225,0.09775,0.0735,0.0707499999999999,0.14325,0.1405,0.8652500000000001,0.0287499999999999,0.0554999999999999,0.16325,0.1277499999999999,0.2055,0.08725,0.0732499999999999,0.0725,0.092,0.06225,0.04775,0.0994999999999999,0.13,0.1215,0.0959999999999999,0.0414999999999999,0.066,0.04525,0.11125,0.081,0.082,0.0379999999999999,0.0454999999999999,0.0584999999999999,0.04525,0.076,0.0635,0.09,0.0534999999999999,0.0287499999999999,0.0504999999999999
Thirty-Two Short Films About Glenn Gould (1993),0.3645,0.75,0.6845,0.6845,0.75,0.77525,0.73525,0.6845,0.6715,0.4802499999999999,0.4267499999999999,0.526,0.92075,0.60275,0.44975,0.257,0.54975,0.43,0.08875,0.72875,0.23225,0.891,0.5105,0.3685,0.21325,0.3954999999999999,0.3339999999999999,0.2744999999999999,0.369,0.99075,0.30125,0.2229999999999999,0.35275,0.0817499999999999,0.28725,0.3512499999999999,0.302,0.3592499999999999,0.1947499999999999,0.414,0.1987499999999999,0.1282499999999999,0.3339999999999999,0.277,0.20825,0.3339999999999999,0.3512499999999999,0.141,0.1124999999999999,0.3115,0.2309999999999999,0.11875,0.4295,0.2269999999999999,0.15025,0.2244999999999999,0.16575,0.18275,0.11775,0.15425,0.26875,0.14325,0.25575,0.2977499999999999,0.1755,0.307,0.277,0.27425,0.2614999999999999,0.1594999999999999,0.26825,0.15875,0.09925,0.0935,0.0554999999999999,0.15675,0.1335,0.075,0.1292499999999999,0.16275,0.1195,0.0667499999999999,0.091,0.1275,0.1175,0.1114999999999999,0.11275,0.0857499999999999,0.0667499999999999,0.12375,0.0765,0.2155,0.071,0.0707499999999999,0.074,0.0747499999999999,0.15925,0.0865,0.14575,0.092,0.05075,0.15075,0.11375,0.0569999999999999,0.04925,0.09525,0.0959999999999999,0.184,0.10325,0.04575,0.0504999999999999,0.53275,0.0677499999999999,0.10725,0.1535,0.0969999999999999,0.11175,0.0627499999999999,0.0324999999999999,0.04925,0.0915,0.0645,0.0712499999999999,0.0349999999999999,0.05825,0.1365,0.0564999999999999,0.05125,0.0434999999999999,0.0827499999999999,0.069,0.0469999999999999,0.0469999999999999,0.0935,0.10425,0.0359999999999999,0.0434999999999999,0.03625,0.0637499999999999,0.05975,0.2544999999999999,0.11075,0.1252499999999999,0.1262499999999999,0.05275,0.0469999999999999,0.0707499999999999,0.0287499999999999,0.0195
"Celluloid Closet, The (1995)",0.9165,0.77525,0.77525,0.79125,0.79125,0.764,0.772,0.66025,0.63425,0.66025,0.39675,0.37075,0.44875,0.47275,0.514,0.3185,0.36975,0.43825,0.63425,0.3954999999999999,0.84375,0.3545,0.3229999999999999,0.25775,0.3555,0.941,0.4389999999999999,0.39575,0.1907499999999999,0.155,0.182,0.3472499999999999,0.3,0.22425,0.3512499999999999,0.18,0.235,0.1897499999999999,0.2005,0.2825,0.99425,0.29525,0.2199999999999999,0.2105,0.9615,0.2199999999999999,0.1709999999999999,0.1925,0.2214999999999999,0.23875,0.204,0.1972499999999999,0.15675,0.32175,0.4692499999999999,0.1709999999999999,0.218,0.20675,0.1619999999999999,0.496,0.082,0.1195,0.1545,0.14375,0.28125,0.295,0.1679999999999999,0.149,0.48875,0.10525,0.1245,0.087,0.0682499999999999,0.14,0.0944999999999999,0.069,0.1624999999999999,0.176,0.825,0.24725,0.063,0.028,0.147,0.09175,0.11025,0.14125,0.0529999999999999,0.086,0.0742499999999999,0.064,0.066,0.0655,0.1545,0.09075,0.17775,0.14675,0.1315,0.139,0.09325,0.6865,0.16275,0.0845,0.11375,0.23725,0.28725,0.0339999999999999,0.0697499999999999,0.081,0.1245,0.147,0.1372499999999999,0.03175,0.10675,0.131,0.09725,0.1265,0.0314999999999999,0.1175,0.0454999999999999,0.0554999999999999,0.09725,0.1327499999999999,0.0755,0.1175,0.0999999999999999,0.0842499999999999,0.0895,0.0692499999999999,0.0514999999999999,0.0757499999999999,0.0414999999999999,0.1475,0.1392499999999999,0.0584999999999999,0.124,0.0292499999999999,0.0252499999999999,0.0167499999999999,0.0667499999999999,0.085,0.03175,0.148,0.068,0.0329999999999999,0.061,0.075,0.0712499999999999,0.028,0.015
"Great Day in Harlem, A (1994)",0.893,0.87175,0.6735,0.5875,0.87175,0.6995,0.6745,0.47775,0.58375,0.583,0.4044999999999999,0.5095,0.63675,0.46375,0.501,0.22025,0.3592499999999999,0.4277499999999999,0.25375,0.364,0.15125,0.39125,0.768,0.2299999999999999,0.24125,0.258,0.25625,0.3349999999999999,0.2017499999999999,0.3329999999999999,0.24525,0.501,0.31775,0.0865,0.248,0.187,0.1634999999999999,0.18125,0.3335,0.22825,0.2995,0.205,0.1775,0.4105,0.1932499999999999,0.1775,0.17625,0.1149999999999999,0.09125,0.2007499999999999,0.1885,0.077,0.23675,0.3259999999999999,0.2045,0.11175,0.5095,0.3005,0.08725,0.254,0.0657499999999999,0.0817499999999999,0.23625,0.14325,0.1654999999999999,0.22075,0.11125,0.09075,0.2007499999999999,0.13,0.20375,0.10725,0.0837499999999999,0.185,0.45525,0.14925,0.1154999999999999,0.1907499999999999,0.0627499999999999,0.2847499999999999,0.06,0.0287499999999999,0.1845,0.179,0.17675,0.12375,0.0865,0.124,0.1124999999999999,0.0777499999999999,0.681,0.0737499999999999,0.0429999999999999,0.1485,0.078,0.0359999999999999,0.16975,0.08825,0.0939999999999999,0.1945,0.18125,0.0984999999999999,0.142,0.1265,0.0842499999999999,0.10225,0.073,0.06125,0.09775,0.0574999999999999,0.0717499999999999,0.28425,0.0665,0.183,0.05075,0.0319999999999999,0.0282499999999999,0.05775,0.0707499999999999,0.1205,0.0797499999999999,0.065,0.03825,0.0595,0.0247499999999999,0.09375,0.04525,0.0627499999999999,0.0712499999999999,0.0625,0.0692499999999999,0.0389999999999999,0.07,0.05325,0.08875,0.029,0.06025,0.0217499999999999,0.0374999999999999,0.0182499999999999,0.118,0.0207499999999999,0.0282499999999999,0.0142499999999999,0.0132499999999999,0.03325,0.083,0.0569999999999999,0.008
"Haunted World of Edward D. Wood Jr., The (1996)",0.8825000000000001,0.48,0.605,0.605,0.7215,0.73425,0.605,0.5005,0.7987500000000001,0.5005,0.56925,0.33875,0.3495,0.4287499999999999,0.311,0.4665,0.3145,0.43625,0.27,0.3954999999999999,0.5615,0.883,0.24925,0.177,0.1644999999999999,0.20425,0.533,0.46575,0.09175,0.126,0.2867499999999999,0.2284999999999999,0.239,0.081,0.302,0.2927499999999999,0.2209999999999999,0.184,0.1387499999999999,0.3622499999999999,0.4245,0.181,0.1589999999999999,0.25825,0.28025,0.181,0.257,0.16775,0.5275,0.3195,0.263,0.1044999999999999,0.1922499999999999,0.078,0.284,0.216,0.17375,0.2155,0.09425,0.15575,0.1987499999999999,0.0727499999999999,0.25975,0.25725,0.0915,0.25625,0.126,0.10025,0.33775,0.24825,0.31525,0.1044999999999999,0.0747499999999999,0.082,0.3285,0.08925,0.075,0.089,0.0667499999999999,0.11725,0.0489999999999999,0.0529999999999999,0.2065,0.12025,0.1694999999999999,0.10925,0.1044999999999999,0.0954999999999999,0.21375,0.03975,0.0514999999999999,0.18375,0.0574999999999999,0.089,0.06075,0.0519999999999999,0.11325,0.0672499999999999,0.137,0.1694999999999999,0.16175,0.4335,0.1525,0.11225,0.12025,0.0715,0.04375,0.09975,0.28325,0.0735,0.09175,0.0444999999999999,0.029,0.061,0.173,0.15025,0.04025,0.0817499999999999,0.03675,0.0697499999999999,0.05975,0.1945,0.0595,0.0257499999999999,0.0349999999999999,0.0685,0.4095,0.0725,0.05725,0.1295,0.0419999999999999,0.0697499999999999,0.11425,0.0625,0.19,0.0802499999999999,0.0324999999999999,0.03125,0.0762499999999999,0.1039999999999999,0.0504999999999999,0.278,0.0752499999999999,0.0464999999999999,0.2309999999999999,0.02975,0.0652499999999999,0.0147499999999999,0.0192499999999999
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),0.90775,0.93925,0.9345,0.96925,0.93925,0.75725,0.87575,0.58425,0.87575,0.58425,0.32975,0.87575,0.394,0.78325,0.66875,0.3035,0.30625,0.4832499999999999,0.4247499999999999,0.65575,0.40575,0.26975,0.32475,0.53625,0.268,0.39475,0.2544999999999999,0.2385,0.20725,0.39175,0.26325,0.3159999999999999,0.3545,0.2075,0.2,0.4832499999999999,0.1164999999999999,0.2425,0.28425,0.419,0.28125,0.23425,0.2544999999999999,0.2465,0.23675,0.26975,0.4832499999999999,0.53625,0.1154999999999999,0.4317499999999999,0.1175,0.09075,0.0404999999999999,0.17825,0.3305,0.2554999999999999,0.1679999999999999,0.22925,0.1129999999999999,0.287,0.177,0.1367499999999999,0.09475,0.1144999999999999,0.23575,0.246,0.125,0.1205,0.1372499999999999,0.1579999999999999,0.2075,0.087,0.17375,0.271,0.27925,0.14725,0.1305,0.1079999999999999,0.0939999999999999,0.15425,0.11175,0.0727499999999999,0.0825,0.1977499999999999,0.1094999999999999,0.0845,0.1144999999999999,0.18425,0.14825,0.15625,0.0469999999999999,0.14425,0.03875,0.11525,0.16825,0.1064999999999999,0.1084999999999999,0.0974999999999999,0.1629999999999999,0.15925,0.3055,0.05725,0.153,0.1342499999999999,0.078,0.0574999999999999,0.05475,0.09725,0.059,0.1912499999999999,0.09275,0.0324999999999999,0.0292499999999999,0.0745,0.78975,0.10475,0.1099999999999999,0.084,0.03475,0.87425,0.10675,0.0605,0.11875,0.05425,0.04875,0.1059999999999999,0.03325,0.062,0.066,0.0755,0.073,0.0817499999999999,0.235,0.065,0.0464999999999999,0.04725,0.0712499999999999,0.05425,0.023,0.03325,0.0409999999999999,0.03925,0.0235,0.0282499999999999,0.024,0.08725,0.075,0.0262499999999999,0.014
When We Were Kings (1996),0.954,0.8087500000000001,0.922,0.8287500000000001,0.697,0.8287500000000001,0.8287500000000001,0.8287500000000001,0.922,0.8287500000000001,0.67525,0.651,0.8434999999999999,0.61175,0.651,0.477,0.289,0.44975,0.922,0.3419999999999999,0.23225,0.70725,0.51475,0.45075,0.44425,0.51625,0.70675,0.8007500000000001,0.2189999999999999,0.6835,0.32325,0.51975,0.3389999999999999,0.1275,0.213,0.2199999999999999,0.24225,0.2877499999999999,0.51675,0.18,0.24225,0.23925,0.70675,0.2977499999999999,0.2967499999999999,0.3702499999999999,0.1674999999999999,0.1584999999999999,0.34775,0.3505,0.26525,0.1905,0.273,0.31825,0.2744999999999999,0.15425,0.4772499999999999,0.26625,0.52775,0.1392499999999999,0.14725,0.2544999999999999,0.2475,0.124,0.671,0.289,0.348,0.22875,0.2684999999999999,0.18375,0.15225,0.17875,0.2375,0.21025,0.26625,0.18075,0.17025,0.18575,0.21625,0.2355,0.10875,0.09175,0.2259999999999999,0.178,0.14625,0.14225,0.1564999999999999,0.10175,0.1292499999999999,0.10925,0.0994999999999999,0.09325,0.1034999999999999,0.0595,0.1059999999999999,0.05725,0.198,0.23275,0.138,0.1659999999999999,0.0857499999999999,0.1885,0.14525,0.1044999999999999,0.11025,0.1034999999999999,0.1185,0.1945,0.1295,0.23875,0.0964999999999999,0.08725,0.14825,0.0969999999999999,0.067,0.0605,0.1287499999999999,0.0857499999999999,0.05025,0.077,0.1312499999999999,0.15325,0.0835,0.1109999999999999,0.1975,0.0989999999999999,0.0752499999999999,0.0682499999999999,0.0509999999999999,0.0642499999999999,0.09925,0.05575,0.1372499999999999,0.0722499999999999,0.12275,0.06,0.21725,0.02,0.2015,0.0692499999999999,0.026,0.0994999999999999,0.0394999999999999,0.1345,0.0265,0.04075,0.0369999999999999,0.03025,0.016
American Dream (1990),0.8879999999999999,0.716,0.72275,0.61475,0.72275,0.68775,0.94725,0.5955,0.861,0.589,0.4822499999999999,0.54075,0.4277499999999999,0.61475,0.4725,0.33825,0.472,0.4389999999999999,0.73175,0.25275,0.312,0.716,0.55,0.2269999999999999,0.502,0.33525,0.2095,0.31225,0.15475,0.1382499999999999,0.1684999999999999,0.26,0.2927499999999999,0.296,0.575,0.16875,0.23375,0.33225,0.21175,0.18475,0.3035,0.18575,0.14825,0.1699999999999999,0.1835,0.20825,0.17325,0.125,0.27825,0.2185,0.70725,0.12175,0.261,0.31975,0.24475,0.21725,0.23225,0.16175,0.1345,0.182,0.144,0.0765,0.209,0.33425,0.142,0.3085,0.1039999999999999,0.123,0.2075,0.0752499999999999,0.22775,0.09625,0.136,0.12475,0.4105,0.1569999999999999,0.615,0.1902499999999999,0.14,0.27875,0.10525,0.1119999999999999,0.3894999999999999,0.11325,0.2614999999999999,0.1074999999999999,0.0777499999999999,0.10225,0.23525,0.14,0.06175,0.59575,0.19,0.2005,0.087,0.09825,0.25425,0.16775,0.1034999999999999,0.10625,0.21525,0.30625,0.1109999999999999,0.1892499999999999,0.03475,0.0559999999999999,0.11525,0.0722499999999999,0.25325,0.10325,0.08875,0.0564999999999999,0.0484999999999999,0.125,0.0354999999999999,0.064,0.0319999999999999,0.1029999999999999,0.09925,0.0765,0.23525,0.0574999999999999,0.03725,0.0635,0.062,0.16825,0.18475,0.08825,0.0705,0.0524999999999999,0.0314999999999999,0.0554999999999999,0.09475,0.0635,0.09175,0.03275,0.03,0.03975,0.0349999999999999,0.0424999999999999,0.0157499999999999,0.071,0.04825,0.0285,0.0424999999999999,0.0404999999999999,0.0444999999999999,0.0275,0.0077499999999999
