movieId,original,very funny,weird,light,good,absurd,quirky,culture clash,runaway,farce,melancholic,greed,dialogue,betrayal,drama,mentor,independent film,vengeance,predictable,catastrophe,pornography,fun movie,chase,adaptation,drinking,life philosophy,creativity,fantasy world,dysfunctional family,life & death,fight scenes,writers,sexy,unlikely friendships,weapons,transformation,first contact,death,family,underrated,nudity (full frontal - brief),childhood,stereotypes,multiple storylines,queer,teen movie,surveillance,prejudice,not funny,alter ego,classic car,british,islam,stand-up comedy,hotel,doctors,road movie,hospital,pulp,computer animation,workplace,women,california,addiction,stoner movie,good music,nudity (topless - brief),new jersey,small town,censorship,irish accent,ensemble cast,sacrifice,foul language,period piece,divorce,camp,directorial debut,brothers,mad scientist,alternate history,film noir,dreams,awesome soundtrack,simple,internet,notable nudity,new york city,buddy movie,nudity (rear),unlikeable characters,1930s,80s,wartime,too long,memory,survival,hip hop,wilderness,bollywood,prison,tokyo,atheism,blindness,radio,reality tv,indians,kidnapping,adoption,los angeles,robert downey jr,island,no plot,wine,shopping,cancer,russian,texas,interracial romance,french,finnish,god,australia,race,lawyer,best of 2005,homeless,time,ghosts/afterlife,desert,immortality,fashion,kick-butt women,documentary,made for tv,san francisco,father daughter relationship,potential oscar nom,prostitution,hunting,goth,graphic novel,rebellion,oil,snakes,too short,remake,trilogy,single father
Four Rooms (1995),0.83575,0.612,0.68925,0.424,0.5775,0.44225,0.885,0.5775,0.4375,0.4615,0.7637499999999999,0.50925,0.5585,0.60125,0.5775,0.39375,0.4147499999999999,0.6545,0.474,0.43775,0.499,0.3065,0.362,0.3315,0.2385,0.3325,0.36175,0.3455,0.3095,0.27425,0.291,0.3095,0.287,0.1084999999999999,0.23825,0.27625,0.23125,0.1704999999999999,0.086,0.42925,0.2815,0.128,0.0847499999999999,0.7995000000000001,0.136,0.1337499999999999,0.1877499999999999,0.08875,0.21125,0.156,0.3735,0.1024999999999999,0.0695,0.1245,0.90375,0.255,0.136,0.23075,0.471,0.0935,0.12125,0.14325,0.2714999999999999,0.1614999999999999,0.209,0.2095,0.27725,0.085,0.072,0.26825,0.38475,0.1332499999999999,0.21325,0.2239999999999999,0.0775,0.1265,0.067,0.18075,0.1335,0.0574999999999999,0.1445,0.137,0.08775,0.2314999999999999,0.1175,0.1205,0.07,0.0524999999999999,0.05675,0.156,0.10275,0.0549999999999999,0.0637499999999999,0.09125,0.1235,0.15375,0.093,0.0687499999999999,0.1064999999999999,0.0787499999999999,0.1195,0.1245,0.085,0.1955,0.0732499999999999,0.0414999999999999,0.0677499999999999,0.1362499999999999,0.0767499999999999,0.5495,0.1089999999999999,0.0504999999999999,0.069,0.04475,0.0692499999999999,0.0584999999999999,0.065,0.05425,0.05075,0.04875,0.04775,0.133,0.04425,0.0687499999999999,0.1014999999999999,0.0865,0.04125,0.1004999999999999,0.0837499999999999,0.1397499999999999,0.062,0.0305,0.0747499999999999,0.0255,0.069,0.04175,0.04925,0.0655,0.0652499999999999,0.05725,0.14825,0.0677499999999999,0.0329999999999999,0.0282499999999999,0.04725,0.10175,0.04475,0.06175,0.0162499999999999
Flirting With Disaster (1996),0.7755000000000001,0.887,0.75,0.8387500000000001,0.609,0.60175,0.673,0.65225,0.6005,0.8145,0.522,0.6005,0.67775,0.4745,0.6005,0.39375,0.91025,0.31825,0.31225,0.5405,0.2927499999999999,0.3245,0.27925,0.39775,0.3229999999999999,0.261,0.31925,0.2857499999999999,0.71,0.1945,0.31225,0.3159999999999999,0.3502499999999999,0.1917499999999999,0.18225,0.2855,0.25725,0.14875,0.2654999999999999,0.346,0.273,0.1917499999999999,0.4277499999999999,0.2837499999999999,0.512,0.18175,0.1972499999999999,0.23075,0.2095,0.15825,0.178,0.1735,0.1377499999999999,0.0807499999999999,0.1887499999999999,0.119,0.5335,0.1425,0.1372499999999999,0.17325,0.277,0.15225,0.30225,0.25725,0.2514999999999999,0.27775,0.4535,0.18375,0.20775,0.11075,0.2185,0.91775,0.1297499999999999,0.17975,0.146,0.2065,0.086,0.17375,0.1614999999999999,0.0675,0.121,0.14075,0.1009999999999999,0.27775,0.1084999999999999,0.0792499999999999,0.0852499999999999,0.1574999999999999,0.10575,0.08,0.16675,0.25375,0.05525,0.2065,0.1599999999999999,0.1069999999999999,0.11125,0.0579999999999999,0.10775,0.10175,0.08775,0.1485,0.04675,0.0847499999999999,0.04825,0.0434999999999999,0.11925,0.1069999999999999,0.9525,0.08925,0.1164999999999999,0.05825,0.14525,0.10375,0.0364999999999999,0.05575,0.0459999999999999,0.1049999999999999,0.08675,0.071,0.03025,0.0319999999999999,0.0765,0.0735,0.085,0.1185,0.0687499999999999,0.0369999999999999,0.04175,0.08925,0.06175,0.0777499999999999,0.0645,0.0717499999999999,0.066,0.0474999999999999,0.0785,0.10975,0.04625,0.11625,0.0429999999999999,0.0469999999999999,0.0964999999999999,0.0832499999999999,0.0399999999999999,0.04225,0.0192499999999999,0.0615,0.0707499999999999
"Birdcage, The (1996)",0.74625,0.9085,0.85025,0.4345,0.85025,0.3804999999999999,0.22025,0.85025,0.85025,0.768,0.50875,0.42725,0.47075,0.52775,0.85025,0.434,0.391,0.4325,0.25875,0.53375,0.382,0.3645,0.26075,0.53125,0.391,0.26075,0.272,0.2425,0.4872499999999999,0.189,0.2259999999999999,0.15525,0.1795,0.23725,0.22525,0.29,0.20775,0.2035,0.62,0.24975,0.30325,0.16775,0.8485,0.27275,0.9815,0.3149999999999999,0.1074999999999999,0.6285,0.1815,0.17475,0.142,0.17275,0.615,0.131,0.1322499999999999,0.14625,0.11725,0.136,0.128,0.1604999999999999,0.0954999999999999,0.4692499999999999,0.1425,0.12,0.0805,0.2125,0.0969999999999999,0.0984999999999999,0.1039999999999999,0.28625,0.182,0.084,0.17975,0.1034999999999999,0.2309999999999999,0.294,0.25,0.0722499999999999,0.1895,0.0852499999999999,0.2165,0.0905,0.0745,0.062,0.08875,0.1089999999999999,0.09525,0.065,0.03575,0.087,0.1099999999999999,0.0959999999999999,0.04875,0.131,0.1335,0.0707499999999999,0.1054999999999999,0.0509999999999999,0.0742499999999999,0.1265,0.0782499999999999,0.09675,0.11375,0.1455,0.0429999999999999,0.10675,0.10475,0.0627499999999999,0.195,0.0692499999999999,0.0969999999999999,0.0732499999999999,0.084,0.10325,0.09475,0.0817499999999999,0.04975,0.0999999999999999,0.2504999999999999,0.16225,0.0212499999999999,0.05675,0.04225,0.0822499999999999,0.0974999999999999,0.0652499999999999,0.0449999999999999,0.05325,0.0665,0.04725,0.0414999999999999,0.09225,0.0752499999999999,0.0339999999999999,0.0662499999999999,0.2234999999999999,0.0944999999999999,0.0549999999999999,0.09225,0.0265,0.05475,0.0504999999999999,0.0434999999999999,0.0449999999999999,0.0419999999999999,0.0692499999999999,0.754,0.02975,0.2395
Living in Oblivion (1995),0.79325,0.68275,0.6245,0.53725,0.7529999999999999,0.5155,0.8685,0.7529999999999999,0.7529999999999999,0.395,0.6605,0.58825,0.643,0.8685,0.7529999999999999,0.491,0.991,0.3235,0.26875,0.45625,0.3914999999999999,0.35175,0.2794999999999999,0.35,0.4375,0.37375,0.4285,0.32425,0.33575,0.192,0.25475,0.25475,0.31325,0.2375,0.1875,0.32975,0.1905,0.15575,0.15825,0.47875,0.33475,0.14925,0.2415,0.33875,0.2209999999999999,0.1555,0.211,0.33675,0.2584999999999999,0.243,0.202,0.197,0.08875,0.0785,0.17625,0.0979999999999999,0.129,0.09675,0.11425,0.17225,0.069,0.151,0.1355,0.133,0.2017499999999999,0.1965,0.31125,0.24,0.18525,0.1915,0.2239999999999999,0.65175,0.29425,0.1225,0.14,0.05675,0.0875,0.4525,0.1644999999999999,0.09125,0.133,0.4375,0.8505,0.1965,0.12075,0.0925,0.1124999999999999,0.0827499999999999,0.0707499999999999,0.10125,0.08725,0.0939999999999999,0.0747499999999999,0.0692499999999999,0.09725,0.14125,0.10325,0.0715,0.1039999999999999,0.10475,0.0974999999999999,0.11075,0.082,0.1257499999999999,0.04675,0.10325,0.0757499999999999,0.11275,0.084,0.081,0.17925,0.08675,0.061,0.03225,0.03025,0.05525,0.05275,0.09075,0.0817499999999999,0.05075,0.05275,0.09075,0.08975,0.0875,0.0379999999999999,0.10475,0.03925,0.0399999999999999,0.062,0.0444999999999999,0.0549999999999999,0.05475,0.0875,0.077,0.1019999999999999,0.0454999999999999,0.10225,0.0519999999999999,0.0394999999999999,0.028,0.0559999999999999,0.0504999999999999,0.0767499999999999,0.03875,0.05675,0.0449999999999999,0.0207499999999999,0.05125,0.03075
"Paper, The (1994)",0.73075,0.68675,0.574,0.4235,0.7865,0.3169999999999999,0.38375,0.62625,0.6185,0.26375,0.42625,0.62625,0.41725,0.70225,0.7535000000000001,0.7575000000000001,0.251,0.34875,0.406,0.4702499999999999,0.21025,0.6475,0.6475,0.26775,0.1897499999999999,0.31725,0.3015,0.35975,0.68,0.408,0.32125,0.34325,0.12325,0.309,0.3075,0.27325,0.2965,0.198,0.37675,0.29325,0.1835,0.1674999999999999,0.15225,0.204,0.1525,0.1495,0.287,0.1895,0.28425,0.185,0.203,0.14925,0.137,0.10275,0.16025,0.24925,0.10775,0.196,0.152,0.17425,0.74575,0.18075,0.1362499999999999,0.0595,0.0845,0.10425,0.1765,0.3305,0.18325,0.0569999999999999,0.2445,0.69275,0.33675,0.11925,0.14,0.1195,0.0637499999999999,0.08925,0.2624999999999999,0.0935,0.17075,0.1004999999999999,0.1119999999999999,0.09925,0.22525,0.2574999999999999,0.078,0.92775,0.0399999999999999,0.145,0.0727499999999999,0.077,0.0845,0.0775,0.0807499999999999,0.1815,0.15075,0.09725,0.0895,0.0807499999999999,0.1119999999999999,0.0772499999999999,0.0767499999999999,0.11225,0.15525,0.03425,0.15175,0.0885,0.09175,0.074,0.077,0.08975,0.139,0.27925,0.155,0.31425,0.08875,0.0787499999999999,0.079,0.04625,0.05525,0.0519999999999999,0.05925,0.131,0.25825,0.0374999999999999,0.12175,0.1285,0.0895,0.04925,0.0544999999999999,0.0802499999999999,0.0652499999999999,0.03475,0.05825,0.072,0.0732499999999999,0.06025,0.0474999999999999,0.04925,0.03375,0.0652499999999999,0.0265,0.0712499999999999,0.0434999999999999,0.0544999999999999,0.04525,0.0384999999999999,0.10075
Coldblooded (1995),0.8640000000000001,0.8025,0.9395,0.8025,0.8055000000000001,0.71825,0.9395,0.6515,0.6385,0.55475,0.70875,0.77325,0.8485,0.82525,0.6105,0.84625,0.36,0.89625,0.29825,0.4165,0.627,0.397,0.61,0.4235,0.36,0.34075,0.1935,0.41325,0.17325,0.2784999999999999,0.3784999999999999,0.23575,0.39825,0.21625,0.4375,0.299,0.421,0.18675,0.124,0.3419999999999999,0.237,0.2002499999999999,0.23775,0.3359999999999999,0.1275,0.2244999999999999,0.201,0.14575,0.2644999999999999,0.5345,0.3285,0.10275,0.063,0.10775,0.20675,0.3145,0.1149999999999999,0.1084999999999999,0.3555,0.2199999999999999,0.14275,0.11875,0.22575,0.38,0.1049999999999999,0.1892499999999999,0.2095,0.1375,0.2224999999999999,0.0984999999999999,0.1262499999999999,0.18625,0.1845,0.21175,0.05825,0.09675,0.122,0.18325,0.0652499999999999,0.15575,0.1154999999999999,0.3612499999999999,0.075,0.1892499999999999,0.18125,0.0775,0.11575,0.0712499999999999,0.3117499999999999,0.09,0.274,0.04975,0.175,0.088,0.144,0.26725,0.22525,0.066,0.28325,0.1709999999999999,0.1059999999999999,0.0835,0.0717499999999999,0.1292499999999999,0.11475,0.10175,0.0444999999999999,0.0662499999999999,0.0257499999999999,0.0642499999999999,0.11425,0.0742499999999999,0.05925,0.1257499999999999,0.1262499999999999,0.0574999999999999,0.05725,0.0514999999999999,0.04025,0.0524999999999999,0.0265,0.0409999999999999,0.0544999999999999,0.03025,0.063,0.08825,0.0954999999999999,0.0677499999999999,0.0434999999999999,0.04225,0.0815,0.0227499999999999,0.16075,0.06125,0.10275,0.0755,0.0257499999999999,0.0675,0.20825,0.19,0.17975,0.11625,0.0715,0.0715,0.0805,0.1185,0.0102499999999999,0.03725,0.0257499999999999
Open Season (1996),0.722,0.3555,0.701,0.404,0.419,0.96375,0.7255,0.39075,0.3389999999999999,0.63625,0.47475,0.33975,0.3149999999999999,0.257,0.3389999999999999,0.40425,0.61975,0.3259999999999999,0.4619999999999999,0.42925,0.45925,0.20575,0.37075,0.17675,0.2385,0.23425,0.354,0.3552499999999999,0.23075,0.36075,0.17875,0.145,0.1149999999999999,0.08875,0.634,0.1574999999999999,0.22425,0.1995,0.068,0.15275,0.2475,0.10125,0.1885,0.27,0.2264999999999999,0.144,0.34175,0.3047499999999999,0.15675,0.1372499999999999,0.272,0.2135,0.3339999999999999,0.0795,0.0792499999999999,0.14375,0.148,0.09,0.1875,0.1674999999999999,0.26025,0.0687499999999999,0.1392499999999999,0.15875,0.05625,0.0667499999999999,0.2534999999999999,0.212,0.0787499999999999,0.0812499999999999,0.23825,0.1897499999999999,0.17475,0.059,0.118,0.22175,0.21825,0.11275,0.0665,0.2445,0.0579999999999999,0.1357499999999999,0.1049999999999999,0.0459999999999999,0.0349999999999999,0.0627499999999999,0.063,0.217,0.06225,0.0424999999999999,0.3595,0.25875,0.09075,0.2339999999999999,0.15375,0.14125,0.0767499999999999,0.0509999999999999,0.089,0.11975,0.1014999999999999,0.079,0.23325,0.0772499999999999,0.0652499999999999,0.5665,0.0999999999999999,0.0959999999999999,0.1322499999999999,0.0494999999999999,0.1049999999999999,0.0672499999999999,0.0339999999999999,0.3055,0.0222499999999999,0.0255,0.09325,0.08825,0.02975,0.11975,0.05225,0.23325,0.26475,0.14075,0.0645,0.0247499999999999,0.072,0.0384999999999999,0.0695,0.11075,0.06175,0.03425,0.03025,0.0275,0.0479999999999999,0.0702499999999999,0.0785,0.10475,0.03675,0.199,0.03175,0.05375,0.04425,0.1315,0.09625,0.05625,0.0257499999999999,0.0237499999999999,0.0615
Addams Family Values (1993),0.86375,0.72225,0.92475,0.598,0.47975,0.62275,0.68275,0.369,0.3129999999999999,0.44575,0.52,0.32325,0.39825,0.2855,0.2855,0.4615,0.1955,0.3725,0.3774999999999999,0.414,0.2445,0.4389999999999999,0.283,0.4227499999999999,0.1069999999999999,0.28325,0.24375,0.39975,0.661,0.1865,0.27725,0.2684999999999999,0.364,0.52,0.33625,0.287,0.26775,0.248,0.78125,0.3087499999999999,0.29625,0.3379999999999999,0.1425,0.2025,0.24775,0.15775,0.08775,0.0949999999999999,0.208,0.2734999999999999,0.1887499999999999,0.1059999999999999,0.0667499999999999,0.085,0.1185,0.2135,0.1004999999999999,0.21775,0.177,0.3379999999999999,0.1089999999999999,0.16575,0.2249999999999999,0.078,0.0757499999999999,0.0837499999999999,0.08,0.09125,0.0944999999999999,0.1079999999999999,0.1049999999999999,0.25,0.17725,0.182,0.0954999999999999,0.151,0.96925,0.0954999999999999,0.09775,0.141,0.1019999999999999,0.11025,0.0692499999999999,0.0815,0.0827499999999999,0.065,0.0665,0.04325,0.04475,0.1377499999999999,0.193,0.088,0.065,0.0755,0.05875,0.0795,0.129,0.1019999999999999,0.0832499999999999,0.0695,0.0735,0.0682499999999999,0.0615,0.089,0.0449999999999999,0.09775,0.186,0.05725,0.3255,0.0459999999999999,0.0915,0.07,0.151,0.069,0.03875,0.0735,0.0429999999999999,0.05725,0.08875,0.04225,0.0384999999999999,0.05525,0.0745,0.0399999999999999,0.03225,0.0404999999999999,0.0344999999999999,0.03975,0.09375,0.04025,0.15125,0.067,0.0855,0.0247499999999999,0.0842499999999999,0.0732499999999999,0.0514999999999999,0.0534999999999999,0.0469999999999999,0.0394999999999999,0.2784999999999999,0.04725,0.0329999999999999,0.0615,0.0484999999999999,0.0394999999999999,0.0827499999999999,0.0389999999999999,0.0394999999999999
Barcelona (1994),0.77075,0.6265,0.8745,0.772,0.772,0.4805,0.561,0.772,0.7915000000000001,0.1347499999999999,0.8745,0.8745,0.8985000000000001,0.52725,0.798,0.3914999999999999,0.8405,0.27075,0.60975,0.4445,0.2209999999999999,0.46225,0.46225,0.29225,0.3462499999999999,0.35775,0.2604999999999999,0.2935,0.23675,0.207,0.261,0.41025,0.2947499999999999,0.3219999999999999,0.311,0.248,0.2219999999999999,0.195,0.1315,0.32225,0.1917499999999999,0.14675,0.58125,0.3435,0.1654999999999999,0.1312499999999999,0.09575,0.31625,0.31925,0.11625,0.1387499999999999,0.2189999999999999,0.4832499999999999,0.0772499999999999,0.1084999999999999,0.0939999999999999,0.118,0.1985,0.15375,0.1614999999999999,0.2965,0.536,0.2314999999999999,0.11125,0.10725,0.1579999999999999,0.12475,0.2017499999999999,0.1679999999999999,0.0524999999999999,0.133,0.26325,0.09475,0.11575,0.11925,0.172,0.1282499999999999,0.137,0.0615,0.11075,0.1255,0.1009999999999999,0.0842499999999999,0.1985,0.09375,0.12225,0.0989999999999999,0.1275,0.1287499999999999,0.0715,0.2224999999999999,0.0584999999999999,0.1185,0.1755,0.0855,0.12225,0.1425,0.0494999999999999,0.083,0.09575,0.0722499999999999,0.21375,0.08925,0.0692499999999999,0.04225,0.04575,0.064,0.05675,0.0652499999999999,0.0642499999999999,0.05575,0.1535,0.0915,0.22875,0.04125,0.0409999999999999,0.05975,0.0807499999999999,0.10625,0.072,0.0554999999999999,0.08925,0.10475,0.0732499999999999,0.02975,0.0715,0.0319999999999999,0.03675,0.028,0.0675,0.05075,0.0672499999999999,0.05375,0.0615,0.05575,0.03175,0.0635,0.0657499999999999,0.0549999999999999,0.0344999999999999,0.03225,0.03775,0.0797499999999999,0.11375,0.0314999999999999,0.03375,0.0172499999999999,0.17375,0.0252499999999999
Fear of a Black Hat (1994),0.74325,0.948,0.65525,0.7847500000000001,0.67125,0.98125,0.42925,0.72675,0.67125,0.948,0.536,0.65525,0.67125,0.5165,0.65525,0.44275,0.66075,0.5635,0.689,0.4399999999999999,0.5075,0.402,0.402,0.33225,0.3259999999999999,0.3175,0.5605,0.3165,0.1292499999999999,0.3445,0.475,0.1735,0.291,0.208,0.3565,0.33875,0.23175,0.2125,0.16575,0.275,0.378,0.14525,0.8069999999999999,0.22975,0.2304999999999999,0.32475,0.26775,0.5795,0.126,0.1629999999999999,0.1825,0.18575,0.288,0.201,0.1335,0.0574999999999999,0.1545,0.16975,0.14375,0.18475,0.15925,0.16425,0.1342499999999999,0.3645,0.26925,0.61925,0.3369999999999999,0.173,0.10975,0.6825,0.1084999999999999,0.1425,0.2355,0.124,0.10875,0.05275,0.203,0.21375,0.1114999999999999,0.1094999999999999,0.1139999999999999,0.10675,0.153,0.249,0.071,0.1255,0.1049999999999999,0.0875,0.1907499999999999,0.1004999999999999,0.10925,0.0822499999999999,0.1455,0.1109999999999999,0.0697499999999999,0.08675,0.10425,0.99625,0.09075,0.0559999999999999,0.1034999999999999,0.1014999999999999,0.10675,0.1094999999999999,0.08675,0.20525,0.09275,0.0772499999999999,0.0509999999999999,0.1352499999999999,0.0969999999999999,0.078,0.0642499999999999,0.04025,0.0989999999999999,0.0752499999999999,0.0835,0.08825,0.1639999999999999,0.03725,0.153,0.10675,0.0652499999999999,0.1295,0.05625,0.11025,0.32275,0.0409999999999999,0.0459999999999999,0.0549999999999999,0.1074999999999999,0.0404999999999999,0.1009999999999999,0.24425,0.0687499999999999,0.0404999999999999,0.03675,0.084,0.05125,0.0534999999999999,0.05725,0.066,0.08725,0.03775,0.0605,0.0752499999999999,0.0305,0.0329999999999999,0.0142499999999999
