movieId,original,mentor,good,runaway,predictable,weird,betrayal,catastrophe,vengeance,culture clash,melancholic,greed,drama,chase,dialogue,life philosophy,fantasy world,adaptation,fight scenes,pornography,independent film,first contact,not funny,weapons,life & death,very funny,teen movie,light,death,family,fun movie,quirky,transformation,dysfunctional family,drinking,unlikely friendships,writers,nudity (full frontal - brief),creativity,childhood,women,classic car,pulp,sexy,absurd,surveillance,sacrifice,computer animation,prejudice,queer,hospital,multiple storylines,irish accent,stereotypes,internet,islam,underrated,alter ego,small town,doctors,new jersey,farce,california,road movie,mad scientist,memory,period piece,survival,notable nudity,british,indians,camp,too long,bollywood,film noir,hip hop,hotel,alternate history,dreams,divorce,stand-up comedy,nudity (rear),addiction,blindness,prison,interracial romance,wartime,simple,good music,island,brothers,kidnapping,immortality,atheism,adoption,wilderness,texas,80s,finnish,cancer,awesome soundtrack,god,remake,nudity (topless - brief),censorship,race,new york city,stoner movie,1930s,no plot,workplace,lawyer,tokyo,russian,made for tv,australia,foul language,directorial debut,shopping,ghosts/afterlife,ensemble cast,single father,unlikeable characters,reality tv,robert downey jr,radio,kick-butt women,homeless,fashion,los angeles,san francisco,desert,too short,hunting,goth,father daughter relationship,graphic novel,trilogy,documentary,wine,prostitution,snakes,time,oil,buddy movie,potential oscar nom,best of 2005,french,rebellion
Wings of Courage (1995),0.7967500000000001,0.72675,0.734,0.40475,0.52175,0.3754999999999999,0.5105,0.6675,0.3814999999999999,0.56925,0.2475,0.5105,0.554,0.32875,0.31225,0.25175,0.5625,0.291,0.3409999999999999,0.1277499999999999,0.30925,0.3067499999999999,0.3405,0.33675,0.2465,0.26375,0.289,0.20775,0.1245,0.34775,0.5015,0.17375,0.1365,0.16225,0.2334999999999999,0.32775,0.14675,0.1069999999999999,0.2279999999999999,0.20875,0.1332499999999999,0.1555,0.125,0.091,0.11825,0.23925,0.2644999999999999,0.4389999999999999,0.2764999999999999,0.125,0.11725,0.37575,0.21225,0.38025,0.529,0.23475,0.1109999999999999,0.21025,0.0715,0.0625,0.10425,0.12275,0.126,0.1654999999999999,0.0722499999999999,0.186,0.11075,0.1362499999999999,0.1392499999999999,0.1049999999999999,0.17325,0.0559999999999999,0.4065,0.47,0.09525,0.11575,0.0822499999999999,0.4297499999999999,0.0775,0.10175,0.12225,0.2204999999999999,0.0949999999999999,0.0755,0.138,0.10475,0.1372499999999999,0.2189999999999999,0.0742499999999999,0.03675,0.0795,0.0434999999999999,0.0554999999999999,0.0822499999999999,0.076,0.11625,0.0705,0.05125,0.0735,0.16575,0.1505,0.059,0.03125,0.0855,0.04825,0.3319999999999999,0.11025,0.05975,0.03575,0.38225,0.0569999999999999,0.0787499999999999,0.0667499999999999,0.15425,0.0782499999999999,0.2095,0.0319999999999999,0.0519999999999999,0.064,0.0519999999999999,0.083,0.11275,0.06225,0.09675,0.04575,0.0384999999999999,0.0857499999999999,0.12225,0.022,0.05375,0.0484999999999999,0.087,0.4545,0.0225,0.0272499999999999,0.0695,0.0359999999999999,0.04625,0.0792499999999999,0.0085,0.0369999999999999,0.0394999999999999,0.10425,0.04125,0.0685,0.03525,0.0369999999999999,0.0715,0.0237499999999999
Two if by Sea (1996),0.67175,0.53225,0.6785,0.3235,0.69875,0.3105,0.3129999999999999,0.45025,0.415,0.61025,0.3105,0.2239999999999999,0.199,0.39175,0.4982499999999999,0.4945,0.30325,0.242,0.3635,0.21275,0.1965,0.3145,0.2945,0.288,0.2684999999999999,0.45225,0.6785,0.3117499999999999,0.22225,0.24875,0.33925,0.1917499999999999,0.22375,0.11575,0.122,0.17625,0.2244999999999999,0.3365,0.2264999999999999,0.2885,0.17675,0.1965,0.1917499999999999,0.202,0.15575,0.126,0.2724999999999999,0.21675,0.144,0.1877499999999999,0.1425,0.1599999999999999,0.1639999999999999,0.2075,0.272,0.10375,0.21275,0.15075,0.1395,0.15675,0.11925,0.1099999999999999,0.16525,0.2219999999999999,0.2435,0.182,0.11925,0.11725,0.1235,0.09125,0.16925,0.10525,0.0807499999999999,0.1335,0.1084999999999999,0.0625,0.0772499999999999,0.15475,0.0665,0.0974999999999999,0.1049999999999999,0.2405,0.0544999999999999,0.0595,0.10175,0.17275,0.0802499999999999,0.0964999999999999,0.05475,0.64225,0.0697499999999999,0.21125,0.0825,0.0632499999999999,0.0434999999999999,0.2674999999999999,0.073,0.0785,0.0672499999999999,0.563,0.081,0.16175,0.0832499999999999,0.1079999999999999,0.0635,0.0979999999999999,0.0675,0.05375,0.077,0.203,0.062,0.0489999999999999,0.0722499999999999,0.0777499999999999,0.067,0.0504999999999999,0.086,0.05175,0.04925,0.0454999999999999,0.03675,0.0807499999999999,0.028,0.04675,0.1039999999999999,0.0524999999999999,0.0807499999999999,0.0652499999999999,0.0369999999999999,0.0439999999999999,0.0742499999999999,0.126,0.065,0.0705,0.027,0.0459999999999999,0.031,0.0354999999999999,0.0155,0.03275,0.0464999999999999,0.086,0.04775,0.0202499999999999,0.04775,0.023,0.0185,0.02975,0.0675
Last Summer in the Hamptons (1995),0.663,0.5,0.4629999999999999,0.404,0.46975,0.60175,0.44525,0.46975,0.431,0.51425,0.7757499999999999,0.4479999999999999,0.44525,0.1902499999999999,0.496,0.17825,0.2764999999999999,0.4137499999999999,0.276,0.37925,0.749,0.46975,0.2995,0.26425,0.2254999999999999,0.26275,0.14425,0.21725,0.146,0.579,0.1352499999999999,0.392,0.289,0.46225,0.1785,0.23275,0.5445,0.1932499999999999,0.216,0.33575,0.2534999999999999,0.078,0.1064999999999999,0.156,0.1825,0.0959999999999999,0.26775,0.33575,0.22225,0.2885,0.065,0.2465,0.293,0.23475,0.293,0.3462499999999999,0.1845,0.26425,0.1094999999999999,0.066,0.1684999999999999,0.1332499999999999,0.256,0.0539999999999999,0.1054999999999999,0.0807499999999999,0.22925,0.08875,0.16275,0.215,0.144,0.0474999999999999,0.3117499999999999,0.0652499999999999,0.08725,0.11725,0.15025,0.278,0.1589999999999999,0.17675,0.0559999999999999,0.0812499999999999,0.10325,0.11725,0.0835,0.1975,0.09125,0.0584999999999999,0.0717499999999999,0.344,0.0875,0.0464999999999999,0.0787499999999999,0.21625,0.1564999999999999,0.03275,0.05925,0.02975,0.0075,0.15,0.1014999999999999,0.04725,0.0107499999999999,0.0529999999999999,0.1282499999999999,0.08,0.0529999999999999,0.0795,0.1114999999999999,0.0389999999999999,0.14825,0.024,0.0905,0.04875,0.121,0.05375,0.03675,0.0994999999999999,0.05375,0.05025,0.2764999999999999,0.26525,0.0792499999999999,0.151,0.266,0.0665,0.1302499999999999,0.03225,0.0404999999999999,0.04075,0.05225,0.0574999999999999,0.21825,0.05175,0.0702499999999999,0.1619999999999999,0.03425,0.0255,0.11425,0.04575,0.0295,0.02975,0.0334999999999999,0.0489999999999999,0.0344999999999999,0.207,0.03925,0.04375,0.02975
Mary Reilly (1996),0.71325,0.471,0.654,0.3405,0.437,0.46675,0.3784999999999999,0.4275,0.47075,0.3784999999999999,0.432,0.46675,0.3784999999999999,0.27725,0.379,0.35,0.414,0.6475,0.22625,0.21125,0.208,0.297,0.3592499999999999,0.31475,0.22475,0.23325,0.154,0.186,0.24125,0.1945,0.121,0.20925,0.36775,0.2007499999999999,0.2,0.198,0.16975,0.25425,0.1755,0.24925,0.1997499999999999,0.2055,0.36,0.1362499999999999,0.1034999999999999,0.086,0.15125,0.17125,0.12325,0.16775,0.2125,0.1579999999999999,0.96875,0.201,0.142,0.0792499999999999,0.35075,0.2504999999999999,0.1445,0.25275,0.10825,0.0722499999999999,0.15325,0.069,0.68475,0.1054999999999999,0.2209999999999999,0.1317499999999999,0.0584999999999999,0.385,0.28025,0.10375,0.10225,0.09175,0.15075,0.05625,0.0474999999999999,0.1272499999999999,0.1397499999999999,0.0675,0.08775,0.0807499999999999,0.0745,0.1594999999999999,0.0725,0.0737499999999999,0.0655,0.0747499999999999,0.063,0.20675,0.138,0.0544999999999999,0.0745,0.091,0.09375,0.11075,0.0817499999999999,0.04925,0.0499999999999999,0.10425,0.0895,0.1024999999999999,0.12275,0.1704999999999999,0.03675,0.06075,0.0554999999999999,0.0722499999999999,0.065,0.0782499999999999,0.064,0.0989999999999999,0.1327499999999999,0.05125,0.0954999999999999,0.05175,0.0305,0.0635,0.0559999999999999,0.0212499999999999,0.0384999999999999,0.04375,0.0685,0.03675,0.0484999999999999,0.05775,0.0822499999999999,0.0787499999999999,0.0642499999999999,0.0414999999999999,0.05425,0.0697499999999999,0.0319999999999999,0.0687499999999999,0.0847499999999999,0.0319999999999999,0.0767499999999999,0.025,0.03825,0.0449999999999999,0.1475,0.075,0.0225,0.022,0.0212499999999999,0.0559999999999999,0.03125,0.04775,0.0285
Shopping (1994),0.8089999999999999,0.57525,0.26425,0.26475,0.74975,0.5415,0.31975,0.391,0.54875,0.31975,0.501,0.3289999999999999,0.26475,0.624,0.3289999999999999,0.23975,0.2804999999999999,0.2734999999999999,0.246,0.6915,0.812,0.20975,0.3299999999999999,0.244,0.31225,0.1935,0.3512499999999999,0.2155,0.24925,0.0737499999999999,0.1714999999999999,0.3854999999999999,0.139,0.27275,0.1059999999999999,0.213,0.2644999999999999,0.18275,0.18525,0.10125,0.1952499999999999,0.2495,0.2189999999999999,0.2584999999999999,0.4905,0.09525,0.04875,0.122,0.15075,0.3642499999999999,0.0434999999999999,0.24175,0.66,0.1699999999999999,0.1684999999999999,0.10725,0.347,0.12075,0.0822499999999999,0.05875,0.309,0.09675,0.03,0.31525,0.1649999999999999,0.302,0.14125,0.209,0.38025,0.51425,0.0354999999999999,0.272,0.079,0.0459999999999999,0.134,0.657,0.11375,0.136,0.1064999999999999,0.216,0.1044999999999999,0.50575,0.37525,0.04025,0.24,0.0792499999999999,0.0564999999999999,0.0959999999999999,0.08875,0.04025,0.062,0.06175,0.069,0.074,0.06175,0.09625,0.091,0.0682499999999999,0.062,0.0389999999999999,0.0832499999999999,0.0827499999999999,0.0464999999999999,0.143,0.0817499999999999,0.23175,0.0504999999999999,0.12375,0.05225,0.1089999999999999,0.0645,0.0484999999999999,0.03,0.1029999999999999,0.03225,0.19,0.0379999999999999,0.14325,0.76075,0.031,0.04975,0.0394999999999999,0.3,0.06075,0.04975,0.1382499999999999,0.03925,0.0842499999999999,0.1144999999999999,0.05875,0.04175,0.0245,0.0177499999999999,0.023,0.03675,0.0265,0.017,0.0255,0.0252499999999999,0.0275,0.077,0.0215,0.0215,0.0145,0.0305,0.03,0.0195,0.0292499999999999,0.305
Catwalk (1996),0.68725,0.4665,0.63625,0.5585,0.371,0.3295,0.4525,0.63625,0.55175,0.5585,0.61825,0.28825,0.27025,0.31675,0.2937499999999999,0.33575,0.3037499999999999,0.3814999999999999,0.2299999999999999,0.4399999999999999,0.384,0.27075,0.306,0.3485,0.617,0.295,0.2309999999999999,0.17525,0.2334999999999999,0.10675,0.4589999999999999,0.181,0.2234999999999999,0.33875,0.17525,0.30125,0.1609999999999999,0.1282499999999999,0.24175,0.10675,0.24125,0.61875,0.17375,0.1775,0.136,0.141,0.1679999999999999,0.1367499999999999,0.1119999999999999,0.3712499999999999,0.1555,0.38,0.1932499999999999,0.121,0.44975,0.23875,0.0805,0.1885,0.25975,0.0832499999999999,0.26575,0.10175,0.08725,0.1912499999999999,0.119,0.1664999999999999,0.10675,0.0732499999999999,0.1977499999999999,0.14625,0.0845,0.0944999999999999,0.11775,0.05175,0.1185,0.8009999999999999,0.1654999999999999,0.26375,0.2055,0.133,0.2927499999999999,0.12425,0.1277499999999999,0.3582499999999999,0.12075,0.08875,0.09175,0.17975,0.1029999999999999,0.04175,0.0504999999999999,0.0827499999999999,0.0905,0.0464999999999999,0.04625,0.11625,0.1257499999999999,0.0524999999999999,0.05325,0.2817499999999999,0.11875,0.0682499999999999,0.03725,0.086,0.0712499999999999,0.0245,0.21575,0.08775,0.0979999999999999,0.0994999999999999,0.1367499999999999,0.0549999999999999,0.1335,0.0765,0.12275,0.24025,0.079,0.1745,0.0474999999999999,0.38825,0.0775,0.0642499999999999,0.22075,0.0857499999999999,0.0434999999999999,0.0364999999999999,0.153,0.32325,0.7662500000000001,0.144,0.04625,0.02,0.061,0.1139999999999999,0.03625,0.186,0.05425,0.04975,0.66,0.10275,0.0742499999999999,0.37175,0.0409999999999999,0.0605,0.03625,0.04225,0.076,0.04425,0.0212499999999999
Before and After (1996),0.666,0.4912499999999999,0.4365,0.4775,0.4175,0.641,0.65225,0.44175,0.4649999999999999,0.58325,0.266,0.364,0.72475,0.2987499999999999,0.50025,0.34675,0.253,0.34125,0.2674999999999999,0.31225,0.26275,0.31875,0.405,0.213,0.22675,0.27,0.62825,0.21075,0.51325,0.73775,0.14525,0.1614999999999999,0.2045,0.90025,0.26275,0.1164999999999999,0.23075,0.309,0.16275,0.1049999999999999,0.21725,0.18275,0.1287499999999999,0.183,0.1134999999999999,0.1305,0.23375,0.15575,0.11875,0.17425,0.2007499999999999,0.14125,0.1907499999999999,0.1644999999999999,0.18525,0.17175,0.129,0.1262499999999999,0.252,0.15575,0.186,0.1139999999999999,0.263,0.1039999999999999,0.11825,0.1262499999999999,0.1285,0.078,0.2165,0.1285,0.09525,0.084,0.12025,0.195,0.09525,0.09125,0.0717499999999999,0.11575,0.0655,0.1465,0.086,0.12375,0.0615,0.091,0.14525,0.122,0.071,0.1039999999999999,0.08825,0.1545,0.1382499999999999,0.0852499999999999,0.0672499999999999,0.066,0.26,0.14975,0.0727499999999999,0.05675,0.0237499999999999,0.076,0.0762499999999999,0.153,0.05775,0.10275,0.0785,0.0595,0.0519999999999999,0.0757499999999999,0.05375,0.14775,0.03475,0.651,0.05725,0.04325,0.1564999999999999,0.0469999999999999,0.03975,0.0595,0.05975,0.03225,0.11925,0.22375,0.0414999999999999,0.10775,0.11275,0.0389999999999999,0.05125,0.06125,0.06,0.0665,0.05475,0.0474999999999999,0.0499999999999999,0.063,0.0409999999999999,0.138,0.0287499999999999,0.03075,0.0314999999999999,0.0534999999999999,0.03825,0.03825,0.0349999999999999,0.0257499999999999,0.0215,0.03875,0.0177499999999999,0.03625,0.0459999999999999
"Steal Big, Steal Little (1995)",0.63475,0.53325,0.609,0.3665,0.45725,0.386,0.47775,0.44325,0.394,0.47775,0.386,0.47775,0.3665,0.382,0.291,0.2804999999999999,0.3255,0.21425,0.32625,0.207,0.2794999999999999,0.27825,0.305,0.1785,0.2274999999999999,0.3399999999999999,0.1614999999999999,0.3774999999999999,0.15975,0.3007499999999999,0.2045,0.1882499999999999,0.24575,0.18125,0.25925,0.217,0.307,0.12225,0.19,0.14275,0.24025,0.1282499999999999,0.1679999999999999,0.1215,0.1322499999999999,0.1917499999999999,0.1564999999999999,0.1835,0.1119999999999999,0.18175,0.3149999999999999,0.2644999999999999,0.4305,0.2385,0.3492499999999999,0.1064999999999999,0.1922499999999999,0.15425,0.33075,0.15175,0.2224999999999999,0.4449999999999999,0.496,0.1885,0.0672499999999999,0.11525,0.1297499999999999,0.087,0.065,0.0842499999999999,0.085,0.05575,0.291,0.1084999999999999,0.1144999999999999,0.18675,0.54275,0.1669999999999999,0.0895,0.18175,0.09975,0.1225,0.0989999999999999,0.0847499999999999,0.1262499999999999,0.1599999999999999,0.0797499999999999,0.15425,0.12025,0.10375,0.39725,0.06,0.09275,0.0539999999999999,0.1074999999999999,0.03825,0.1714999999999999,0.06025,0.0295,0.0742499999999999,0.10675,0.04025,0.0642499999999999,0.17825,0.084,0.05875,0.15925,0.063,0.1355,0.0782499999999999,0.1674999999999999,0.8987499999999999,0.0677499999999999,0.1104999999999999,0.0285,0.0544999999999999,0.0509999999999999,0.1039999999999999,0.0559999999999999,0.0662499999999999,0.0802499999999999,0.11475,0.17375,0.0742499999999999,0.1079999999999999,0.4195,0.0747499999999999,0.0424999999999999,0.0595,0.0625,0.08775,0.05975,0.029,0.0494999999999999,0.0529999999999999,0.0459999999999999,0.04225,0.03225,0.062,0.0765,0.064,0.1139999999999999,0.08975,0.066,0.0539999999999999,0.03175,0.10125,0.0257499999999999,0.0207499999999999
"NeverEnding Story III, The (1994)",0.7785,0.45325,0.90425,0.3025,0.63025,0.4285,0.246,0.42825,0.3705,0.23875,0.2654999999999999,0.23875,0.23875,0.32825,0.36275,0.3764999999999999,0.959,0.506,0.63025,0.20875,0.1285,0.49275,0.27325,0.49275,0.16375,0.25075,0.2817499999999999,0.4285,0.218,0.5815,0.203,0.204,0.246,0.29925,0.2209999999999999,0.2135,0.22875,0.16975,0.23725,0.379,0.14225,0.1659999999999999,0.1945,0.1185,0.1312499999999999,0.0707499999999999,0.2415,0.29025,0.0984999999999999,0.1535,0.1297499999999999,0.18575,0.1495,0.26725,0.1619999999999999,0.12075,0.059,0.134,0.0489999999999999,0.1149999999999999,0.079,0.1972499999999999,0.04025,0.0667499999999999,0.0842499999999999,0.17125,0.06025,0.0645,0.08,0.1064999999999999,0.09725,0.0989999999999999,0.148,0.0574999999999999,0.1094999999999999,0.1515,0.0439999999999999,0.14725,0.144,0.09625,0.0989999999999999,0.0655,0.05525,0.0534999999999999,0.09225,0.08,0.06125,0.0757499999999999,0.1352499999999999,0.066,0.04575,0.04475,0.248,0.073,0.0964999999999999,0.0459999999999999,0.0255,0.15175,0.082,0.0539999999999999,0.14475,0.15975,0.1435,0.0329999999999999,0.0419999999999999,0.0449999999999999,0.0657499999999999,0.0655,0.03975,0.05525,0.0647499999999999,0.06225,0.03525,0.0459999999999999,0.08775,0.0242499999999999,0.028,0.05575,0.22525,0.15175,0.04075,0.0319999999999999,0.0305,0.0655,0.024,0.04825,0.069,0.0255,0.04825,0.0287499999999999,0.0364999999999999,0.0277499999999999,0.09225,0.0217499999999999,0.11475,0.0247499999999999,0.0529999999999999,0.3535,0.0165,0.0479999999999999,0.0329999999999999,0.1114999999999999,0.0559999999999999,0.0409999999999999,0.0257499999999999,0.0419999999999999,0.0185,0.03975,0.031
"Neon Bible, The (1995)",0.61525,0.571,0.31375,0.51475,0.4535,0.433,0.18625,0.43625,0.38225,0.5015,0.433,0.29325,0.211,0.20875,0.25425,0.1659999999999999,0.6355,0.97325,0.23725,0.486,0.3894999999999999,0.1887499999999999,0.33925,0.1887499999999999,0.3309999999999999,0.28825,0.1129999999999999,0.17875,0.413,0.15025,0.1877499999999999,0.2279999999999999,0.2015,0.25275,0.2614999999999999,0.4712499999999999,0.3015,0.1139999999999999,0.249,0.241,0.089,0.134,0.1679999999999999,0.1505,0.346,0.0539999999999999,0.11325,0.178,0.18375,0.1629999999999999,0.076,0.143,0.1465,0.0752499999999999,0.0787499999999999,0.07,0.1515,0.09975,0.43225,0.0745,0.1295,0.1139999999999999,0.0637499999999999,0.0645,0.08625,0.376,0.10625,0.1119999999999999,0.08,0.1215,0.10675,0.0625,0.09775,0.2644999999999999,0.1049999999999999,0.0399999999999999,0.0637499999999999,0.1579999999999999,0.11075,0.0807499999999999,0.5535,0.09,0.16475,0.05175,0.05875,0.0832499999999999,0.091,0.0762499999999999,0.0959999999999999,0.079,0.06025,0.03825,0.0625,0.1659999999999999,0.0277499999999999,0.0925,0.1805,0.0514999999999999,0.1485,0.1079999999999999,0.0687499999999999,0.04275,0.0107499999999999,0.03225,0.1445,0.026,0.1515,0.05375,0.389,0.04575,0.0642499999999999,0.0215,0.04675,0.069,0.25975,0.0419999999999999,0.0379999999999999,0.0459999999999999,0.0655,0.0142499999999999,0.0454999999999999,0.03225,0.0374999999999999,0.0255,0.024,0.0534999999999999,0.067,0.0637499999999999,0.12275,0.024,0.0389999999999999,0.028,0.0187499999999999,0.05075,0.04925,0.05875,0.38475,0.04725,0.03175,0.03175,0.0414999999999999,0.013,0.0349999999999999,0.0207499999999999,0.0344999999999999,0.10075,0.1084999999999999,0.04475,0.0257499999999999
