movieId,betrayal,culture clash,weird,vengeance,original,drama,mentor,runaway,greed,good,melancholic,addiction,independent film,drinking,dialogue,catastrophe,pornography,life philosophy,life & death,unlikely friendships,adaptation,chase,quirky,fight scenes,predictable,death,light,fun movie,weapons,not funny,very funny,new jersey,underrated,good music,fantasy world,nudity (full frontal - brief),prejudice,prison,surveillance,childhood,hospital,classic car,writers,dysfunctional family,teen movie,hip hop,awesome soundtrack,multiple storylines,transformation,stereotypes,california,irish accent,creativity,queer,first contact,stoner movie,road movie,islam,sacrifice,nudity (topless - brief),british,sexy,small town,alter ego,absurd,family,pulp,foul language,brothers,new york city,survival,dreams,film noir,period piece,doctors,directorial debut,women,80s,homeless,computer animation,censorship,los angeles,hotel,texas,ensemble cast,wilderness,robert downey jr,cancer,wartime,prostitution,lawyer,buddy movie,farce,notable nudity,too long,stand-up comedy,memory,blindness,nudity (rear),unlikeable characters,camp,internet,kidnapping,potential oscar nom,alternate history,bollywood,simple,indians,workplace,finnish,race,rebellion,tokyo,russian,australia,best of 2005,mad scientist,1930s,radio,divorce,graphic novel,atheism,adoption,hunting,ghosts/afterlife,interracial romance,kick-butt women,san francisco,documentary,made for tv,no plot,god,island,immortality,desert,father daughter relationship,shopping,reality tv,goth,trilogy,fashion,wine,snakes,single father,oil,french,time,too short,remake
Leaving Las Vegas (1995),0.9005000000000001,0.93525,0.97725,0.69,0.81725,0.93525,0.66125,0.912,0.8145,0.8925000000000001,0.97725,0.8745,0.912,0.97825,0.8145,0.4257499999999999,0.78575,0.53275,0.8015000000000001,0.8480000000000001,0.57025,0.21325,0.6555,0.2375,0.3492499999999999,0.8174999999999999,0.508,0.2375,0.2375,0.35175,0.2875,0.18575,0.35175,0.54575,0.27325,0.4405,0.1967499999999999,0.11325,0.088,0.11775,0.22275,0.17225,0.38975,0.3685,0.10775,0.1014999999999999,0.54575,0.40075,0.32825,0.153,0.2095,0.3097499999999999,0.1372499999999999,0.28025,0.1972499999999999,0.148,0.26275,0.076,0.2654999999999999,0.27125,0.22775,0.4277499999999999,0.1267499999999999,0.4054999999999999,0.3605,0.11925,0.173,0.1375,0.10375,0.0765,0.1292499999999999,0.1905,0.24525,0.09275,0.1397499999999999,0.151,0.13,0.08675,0.17675,0.11825,0.18325,0.583,0.3502499999999999,0.076,0.0755,0.11775,0.16125,0.41825,0.0752499999999999,0.7275,0.0285,0.15975,0.06225,0.1405,0.1312499999999999,0.0717499999999999,0.1262499999999999,0.1415,0.12475,0.2284999999999999,0.0672499999999999,0.09325,0.0404999999999999,0.17925,0.0817499999999999,0.1044999999999999,0.12275,0.0655,0.091,0.04675,0.078,0.0579999999999999,0.0989999999999999,0.0767499999999999,0.0489999999999999,0.10175,0.0745,0.066,0.0479999999999999,0.1205,0.1039999999999999,0.09575,0.0755,0.05625,0.077,0.09925,0.0554999999999999,0.0469999999999999,0.0519999999999999,0.0529999999999999,0.04125,0.0682499999999999,0.04925,0.04525,0.078,0.05375,0.073,0.1159999999999999,0.178,0.0419999999999999,0.0329999999999999,0.1215,0.0812499999999999,0.0272499999999999,0.0459999999999999,0.0344999999999999,0.0202499999999999,0.02975,0.0185
Dead Presidents (1995),0.913,0.76525,0.563,0.913,0.73525,0.65625,0.6785,0.5255,0.57775,0.563,0.5255,0.5585,0.60625,0.352,0.49375,0.418,0.39675,0.2955,0.3914999999999999,0.39375,0.2504999999999999,0.403,0.32025,0.403,0.3824999999999999,0.3155,0.249,0.27375,0.403,0.3445,0.2554999999999999,0.28825,0.37825,0.14975,0.24875,0.3794999999999999,0.252,0.24325,0.1589999999999999,0.22025,0.16675,0.2425,0.15375,0.1805,0.1912499999999999,0.1725,0.14975,0.182,0.2264999999999999,0.4569999999999999,0.12475,0.16025,0.1684999999999999,0.32975,0.23675,0.1282499999999999,0.1805,0.217,0.24125,0.28425,0.10125,0.1654999999999999,0.14975,0.15425,0.16625,0.2385,0.16425,0.4932499999999999,0.774,0.09375,0.3369999999999999,0.1159999999999999,0.17825,0.084,0.081,0.1322499999999999,0.1139999999999999,0.09075,0.0737499999999999,0.11975,0.09525,0.0795,0.1332499999999999,0.1252499999999999,0.10575,0.0647499999999999,0.1029999999999999,0.06075,0.60625,0.063,0.05375,0.11075,0.12075,0.12375,0.1029999999999999,0.1315,0.0785,0.09075,0.11775,0.09975,0.24725,0.1049999999999999,0.14875,0.0667499999999999,0.134,0.08825,0.0865,0.0852499999999999,0.06125,0.11975,0.0895,0.3299999999999999,0.0959999999999999,0.0925,0.091,0.05725,0.0787499999999999,0.1569999999999999,0.0722499999999999,0.0474999999999999,0.16025,0.0657499999999999,0.0715,0.04475,0.063,0.1004999999999999,0.09075,0.0384999999999999,0.03825,0.0569999999999999,0.064,0.0409999999999999,0.0842499999999999,0.04725,0.05225,0.0454999999999999,0.0775,0.0509999999999999,0.05625,0.04375,0.0324999999999999,0.0295,0.04875,0.03425,0.0282499999999999,0.0404999999999999,0.0499999999999999,0.06025,0.0595
"Crossing Guard, The (1995)",0.61,0.8085,0.89425,0.8895,0.6945,0.681,0.4409999999999999,0.55725,0.55725,0.60475,0.5175,0.2815,0.7929999999999999,0.689,0.4317499999999999,0.41325,0.54175,0.4287499999999999,0.4952499999999999,0.2704999999999999,0.2825,0.58575,0.3015,0.1955,0.30925,0.7742500000000001,0.184,0.1185,0.25425,0.3662499999999999,0.21725,0.14275,0.35275,0.12075,0.299,0.23575,0.145,0.4315,0.172,0.1335,0.2175,0.2744999999999999,0.34775,0.268,0.0994999999999999,0.0842499999999999,0.0747499999999999,0.1907499999999999,0.1967499999999999,0.18,0.1589999999999999,0.2239999999999999,0.17775,0.24625,0.243,0.1805,0.127,0.08625,0.1604999999999999,0.1795,0.1004999999999999,0.154,0.1365,0.1317499999999999,0.2189999999999999,0.1952499999999999,0.1704999999999999,0.086,0.11375,0.09275,0.08875,0.133,0.257,0.0672499999999999,0.1684999999999999,0.26075,0.137,0.04825,0.1064999999999999,0.16525,0.1084999999999999,0.1975,0.0767499999999999,0.123,0.0715,0.0705,0.086,0.0939999999999999,0.0539999999999999,0.06025,0.087,0.0277499999999999,0.09325,0.08925,0.1245,0.0697499999999999,0.12325,0.1159999999999999,0.1327499999999999,0.3794999999999999,0.0615,0.152,0.0964999999999999,0.10875,0.0855,0.136,0.129,0.2754999999999999,0.0797499999999999,0.0339999999999999,0.0564999999999999,0.0489999999999999,0.1089999999999999,0.0404999999999999,0.0539999999999999,0.059,0.085,0.0464999999999999,0.0339999999999999,0.1084999999999999,0.069,0.0544999999999999,0.1624999999999999,0.11725,0.03725,0.0855,0.21975,0.0529999999999999,0.0237499999999999,0.08825,0.0875,0.0529999999999999,0.05825,0.0677499999999999,0.05675,0.21225,0.0444999999999999,0.066,0.04925,0.0389999999999999,0.0262499999999999,0.02975,0.0434999999999999,0.1114999999999999,0.03475,0.0404999999999999,0.04875,0.02975,0.0272499999999999
"Basketball Diaries, The (1995)",0.8925000000000001,0.9135,0.9135,0.72225,0.7095,0.9135,0.94175,0.709,0.59525,0.9135,0.5945,0.99625,0.56425,0.5625,0.484,0.4705,0.8260000000000001,0.636,0.56,0.60675,0.9265,0.2249999999999999,0.29825,0.27275,0.24775,0.368,0.2927499999999999,0.27275,0.27275,0.36,0.25675,0.3612499999999999,0.50125,0.28225,0.2997499999999999,0.4105,0.3279999999999999,0.2025,0.11675,0.44275,0.3924999999999999,0.23725,0.198,0.1892499999999999,0.847,0.21775,0.28225,0.3299999999999999,0.304,0.361,0.2455,0.1965,0.1887499999999999,0.312,0.2,0.385,0.2945,0.3279999999999999,0.25225,0.2654999999999999,0.13,0.23375,0.187,0.2594999999999999,0.14925,0.10825,0.11525,0.33475,0.2239999999999999,0.3804999999999999,0.1475,0.431,0.085,0.08775,0.16175,0.16375,0.2135,0.1485,0.3602499999999999,0.1164999999999999,0.4872499999999999,0.0434999999999999,0.10375,0.088,0.06175,0.156,0.28425,0.24,0.08975,0.4752499999999999,0.069,0.10275,0.05125,0.1235,0.0529999999999999,0.14,0.08775,0.128,0.151,0.0725,0.15575,0.0805,0.04025,0.09375,0.0994999999999999,0.09125,0.0519999999999999,0.05325,0.05925,0.0795,0.1425,0.4415,0.1004999999999999,0.05075,0.10125,0.0667499999999999,0.0812499999999999,0.0605,0.0994999999999999,0.04725,0.1795,0.0939999999999999,0.085,0.05525,0.0747499999999999,0.06175,0.0519999999999999,0.0777499999999999,0.0544999999999999,0.093,0.0569999999999999,0.10425,0.0752499999999999,0.05775,0.029,0.0635,0.0232499999999999,0.0984999999999999,0.09725,0.03075,0.05875,0.0484999999999999,0.0369999999999999,0.04825,0.0255,0.04275,0.0369999999999999,0.02975,0.0287499999999999
Clockers (1995),0.8265,0.75325,0.75325,0.904,0.75075,0.61,0.8385,0.75325,0.695,0.4379999999999999,0.75325,0.9755,0.4455,0.81175,0.6015,0.4185,0.358,0.59225,0.49275,0.3964999999999999,0.42425,0.34775,0.2957499999999999,0.22975,0.23925,0.3175,0.2309999999999999,0.22975,0.22975,0.3555,0.23225,0.6335,0.4275,0.4455,0.2254999999999999,0.206,0.27475,0.155,0.1957499999999999,0.253,0.23825,0.34025,0.1945,0.1644999999999999,0.199,0.8302499999999999,0.4455,0.2294999999999999,0.242,0.28225,0.194,0.1129999999999999,0.1932499999999999,0.2115,0.22225,0.45675,0.20425,0.1377499999999999,0.1332499999999999,0.1004999999999999,0.14125,0.0979999999999999,0.22625,0.24625,0.15975,0.10625,0.22775,0.1104999999999999,0.236,0.39025,0.1347499999999999,0.1515,0.1932499999999999,0.0875,0.11375,0.10775,0.1175,0.0625,0.17075,0.1589999999999999,0.14,0.083,0.1337499999999999,0.1109999999999999,0.16825,0.0787499999999999,0.1445,0.076,0.0765,0.10825,0.1054999999999999,0.1044999999999999,0.0665,0.064,0.10275,0.139,0.0762499999999999,0.11225,0.0825,0.1355,0.0605,0.0715,0.065,0.1755,0.0885,0.077,0.092,0.0615,0.11575,0.0765,0.0835,0.0692499999999999,0.1235,0.0469999999999999,0.0449999999999999,0.089,0.0657499999999999,0.08775,0.083,0.0574999999999999,0.067,0.0722499999999999,0.074,0.0667499999999999,0.073,0.0625,0.1064999999999999,0.118,0.0964999999999999,0.0414999999999999,0.0775,0.05625,0.067,0.0305,0.0449999999999999,0.0499999999999999,0.0845,0.2,0.03775,0.0549999999999999,0.0825,0.0334999999999999,0.03775,0.0379999999999999,0.0227499999999999,0.04575,0.0409999999999999,0.0182499999999999,0.0295
New Jersey Drive (1995),0.5235,0.602,0.546,0.875,0.703,0.3145,0.4895,0.546,0.5235,0.37625,0.6165,0.562,0.366,0.34225,0.40725,0.4217499999999999,0.3239999999999999,0.2005,0.666,0.57075,0.25525,0.68875,0.273,0.3389999999999999,0.3482499999999999,0.3319999999999999,0.1425,0.27,0.27,0.35475,0.2455,0.9965,0.40025,0.4247499999999999,0.49475,0.1835,0.2345,0.24875,0.14425,0.265,0.44025,0.26625,0.189,0.15075,0.34275,0.79375,0.3525,0.193,0.29825,0.1275,0.16825,0.2239999999999999,0.16075,0.25425,0.22375,0.1902499999999999,0.25125,0.1322499999999999,0.09075,0.172,0.081,0.124,0.2045,0.11575,0.1699999999999999,0.1357499999999999,0.188,0.04925,0.0554999999999999,0.207,0.1372499999999999,0.16375,0.1079999999999999,0.0954999999999999,0.0787499999999999,0.09075,0.2185,0.066,0.17525,0.1362499999999999,0.05825,0.16025,0.1044999999999999,0.1129999999999999,0.064,0.0364999999999999,0.0944999999999999,0.14875,0.25925,0.08625,0.0554999999999999,0.20475,0.11275,0.1325,0.0574999999999999,0.46775,0.23975,0.05675,0.0762499999999999,0.1292499999999999,0.066,0.05475,0.11075,0.0319999999999999,0.1084999999999999,0.1282499999999999,0.0925,0.0807499999999999,0.1129999999999999,0.011,0.0349999999999999,0.0745,0.15025,0.05175,0.0494999999999999,0.0539999999999999,0.04775,0.05625,0.0782499999999999,0.0474999999999999,0.0379999999999999,0.04025,0.0354999999999999,0.0262499999999999,0.1684999999999999,0.05525,0.2015,0.04625,0.22475,0.03875,0.04275,0.029,0.0429999999999999,0.03825,0.0429999999999999,0.0424999999999999,0.198,0.05975,0.025,0.0454999999999999,0.11925,0.1902499999999999,0.0359999999999999,0.03075,0.04925,0.025,0.0324999999999999,0.0147499999999999,0.029
Swimming with Sharks (1995),0.7622500000000001,0.8839999999999999,0.875,0.87375,0.851,0.8839999999999999,0.71275,0.76475,0.77475,0.875,0.64975,0.304,0.8805000000000001,0.648,0.7529999999999999,0.4449999999999999,0.49875,0.32175,0.241,0.41325,0.32925,0.3764999999999999,0.8507499999999999,0.30225,0.278,0.217,0.45925,0.4014999999999999,0.30225,0.32125,0.503,0.296,0.561,0.1775,0.4034999999999999,0.24325,0.2365,0.14375,0.4595,0.1317499999999999,0.2524999999999999,0.3525,0.4065,0.248,0.1639999999999999,0.119,0.1775,0.32825,0.33575,0.184,0.351,0.38075,0.2684999999999999,0.263,0.23025,0.20775,0.17775,0.17925,0.3592499999999999,0.2085,0.24575,0.3844999999999999,0.197,0.32825,0.54025,0.1327499999999999,0.246,0.611,0.10025,0.1265,0.10325,0.24675,0.1735,0.1109999999999999,0.20425,0.3335,0.15,0.12075,0.1019999999999999,0.187,0.14675,0.268,0.1704999999999999,0.091,0.1485,0.10225,0.286,0.1347499999999999,0.1039999999999999,0.065,0.13,0.92825,0.2674999999999999,0.0742499999999999,0.147,0.1034999999999999,0.11675,0.1405,0.1074999999999999,0.20375,0.0979999999999999,0.09125,0.3319999999999999,0.08925,0.12125,0.10325,0.1312499999999999,0.08725,0.71525,0.05975,0.12075,0.1307499999999999,0.0579999999999999,0.0672499999999999,0.0605,0.245,0.0762499999999999,0.09875,0.11175,0.0765,0.0732499999999999,0.1377499999999999,0.0637499999999999,0.1094999999999999,0.1765,0.0707499999999999,0.082,0.14325,0.05525,0.0847499999999999,0.0677499999999999,0.1049999999999999,0.0464999999999999,0.05975,0.0459999999999999,0.088,0.05275,0.1262499999999999,0.0605,0.0519999999999999,0.04525,0.1825,0.0615,0.04025,0.0424999999999999,0.0434999999999999,0.0295,0.02975,0.0277499999999999
Fresh (1994),0.77475,0.8972500000000001,0.8972500000000001,0.845,0.853,0.8972500000000001,0.8267500000000001,0.698,0.71825,0.8972500000000001,0.676,0.96425,0.67175,0.583,0.7305,0.43225,0.251,0.48475,0.62,0.54725,0.351,0.272,0.3732499999999999,0.5195,0.184,0.80775,0.58275,0.5065,0.5065,0.3555,0.2524999999999999,0.37775,0.3339999999999999,0.5485,0.35,0.26175,0.308,0.129,0.29425,0.706,0.249,0.3505,0.16375,0.32175,0.39575,0.7622500000000001,0.35575,0.3622499999999999,0.25375,0.3495,0.1382499999999999,0.22075,0.264,0.3035,0.18575,0.3085,0.1977499999999999,0.11975,0.1915,0.2015,0.293,0.14075,0.3077499999999999,0.2254999999999999,0.17275,0.3047499999999999,0.12025,0.26225,0.24125,0.27625,0.22775,0.2002499999999999,0.1555,0.1325,0.1275,0.51775,0.118,0.1109999999999999,0.5105,0.3047499999999999,0.0737499999999999,0.0554999999999999,0.1275,0.1569999999999999,0.11375,0.1325,0.17525,0.1845,0.10825,0.1347499999999999,0.0875,0.14475,0.0959999999999999,0.0474999999999999,0.0454999999999999,0.10025,0.22025,0.0705,0.0815,0.09775,0.1614999999999999,0.064,0.06,0.1205,0.0717499999999999,0.10625,0.10075,0.0775,0.0842499999999999,0.0499999999999999,0.0845,0.15025,0.15925,0.05425,0.0969999999999999,0.0885,0.0717499999999999,0.069,0.08725,0.0569999999999999,0.17625,0.0504999999999999,0.086,0.04225,0.4065,0.0755,0.1139999999999999,0.04525,0.0675,0.0722499999999999,0.1159999999999999,0.04025,0.0827499999999999,0.0677499999999999,0.0339999999999999,0.1897499999999999,0.0404999999999999,0.0662499999999999,0.06175,0.065,0.03825,0.0339999999999999,0.05575,0.1004999999999999,0.0655,0.04825,0.085,0.0755,0.018
What's Love Got to Do with It? (1993),0.8787499999999999,0.9325,0.7365,0.57,0.70375,0.9325,0.99375,0.8714999999999999,0.3994999999999999,0.7365,0.38875,0.547,0.649,0.52225,0.3369999999999999,0.45875,0.25675,0.3904999999999999,0.43875,0.376,0.409,0.259,0.16325,0.2485,0.3225,0.24,0.26875,0.265,0.16675,0.35275,0.267,0.22325,0.28075,0.733,0.2514999999999999,0.3645,0.649,0.11375,0.1059999999999999,0.4449999999999999,0.2199999999999999,0.21625,0.14075,0.2175,0.293,0.2837499999999999,0.29525,0.11925,0.372,0.2015,0.17375,0.12225,0.245,0.209,0.2254999999999999,0.0807499999999999,0.143,0.17725,0.649,0.1169999999999999,0.10925,0.1825,0.2329999999999999,0.2075,0.12175,0.2784999999999999,0.2855,0.1649999999999999,0.1669999999999999,0.0645,0.138,0.2175,0.08625,0.144,0.2015,0.0802499999999999,0.388,0.26125,0.10825,0.15875,0.09125,0.0504999999999999,0.12125,0.0857499999999999,0.04175,0.1302499999999999,0.122,0.17325,0.088,0.0504999999999999,0.0832499999999999,0.1395,0.0702499999999999,0.1725,0.0925,0.1925,0.0707499999999999,0.16125,0.0785,0.076,0.10725,0.0825,0.04425,0.0852499999999999,0.1215,0.1387499999999999,0.08725,0.0994999999999999,0.0647499999999999,0.0172499999999999,0.17025,0.1014999999999999,0.09075,0.0504999999999999,0.0687499999999999,0.0529999999999999,0.09825,0.33025,0.14625,0.26175,0.0509999999999999,0.0785,0.123,0.0439999999999999,0.1215,0.1397499999999999,0.05775,0.09375,0.0677499999999999,0.12175,0.03075,0.1305,0.06,0.069,0.0424999999999999,0.12075,0.0262499999999999,0.08875,0.0534999999999999,0.03125,0.04725,0.05825,0.0802499999999999,0.062,0.0295,0.0324999999999999,0.05225,0.0802499999999999,0.03725
Killing Zoe (1994),0.98,0.7395,0.69825,0.98,0.768,0.7395,0.5495,0.63425,0.47175,0.62925,0.8065,0.942,0.86775,0.378,0.74,0.522,0.563,0.54625,0.28625,0.839,0.27125,0.62925,0.65225,0.59525,0.4855,0.20625,0.45975,0.62925,0.59525,0.3349999999999999,0.29625,0.1917499999999999,0.4455,0.2877499999999999,0.2845,0.4649999999999999,0.14175,0.1144999999999999,0.476,0.25725,0.1397499999999999,0.3319999999999999,0.3435,0.1445,0.176,0.12175,0.22375,0.4167499999999999,0.2259999999999999,0.31725,0.191,0.21125,0.2239999999999999,0.216,0.24425,0.1579999999999999,0.18,0.0737499999999999,0.1624999999999999,0.31975,0.2229999999999999,0.63375,0.1019999999999999,0.133,0.2465,0.08625,0.60325,0.2219999999999999,0.0847499999999999,0.1064999999999999,0.10625,0.064,0.248,0.09775,0.1357499999999999,0.1624999999999999,0.18075,0.0832499999999999,0.04875,0.123,0.2239999999999999,0.28125,0.39725,0.0735,0.1664999999999999,0.1009999999999999,0.12025,0.0489999999999999,0.0735,0.4145,0.03325,0.22925,0.08775,0.1907499999999999,0.0807499999999999,0.085,0.0852499999999999,0.1322499999999999,0.12175,0.152,0.1365,0.129,0.37725,0.0705,0.1094999999999999,0.0707499999999999,0.087,0.05625,0.09975,0.0652499999999999,0.0665,0.04925,0.0727499999999999,0.0835,0.091,0.068,0.0632499999999999,0.04725,0.06225,0.0672499999999999,0.15725,0.0735,0.0559999999999999,0.05625,0.0454999999999999,0.0722499999999999,0.093,0.0697499999999999,0.0305,0.04425,0.074,0.05375,0.0737499999999999,0.05075,0.0544999999999999,0.0389999999999999,0.10625,0.0852499999999999,0.03375,0.0895,0.10375,0.0847499999999999,0.04575,0.0217499999999999,0.0267499999999999,0.4004999999999999,0.03875,0.04075,0.03575
