movieId,betrayal,culture clash,weird,melancholic,greed,runaway,drama,good,original,film noir,independent film,dialogue,drinking,vengeance,light,surveillance,chase,mentor,adaptation,sexy,catastrophe,hotel,fun movie,death,pornography,1930s,quirky,period piece,california,british,not funny,childhood,divorce,weapons,life & death,small town,life philosophy,unlikely friendships,classic car,islam,fight scenes,transformation,censorship,predictable,wartime,very funny,underrated,fantasy world,pulp,prejudice,farce,absurd,sacrifice,first contact,women,alter ego,nudity (full frontal - brief),creativity,writers,lawyer,queer,road movie,dysfunctional family,family,memory,san francisco,doctors,nudity (topless - brief),hospital,good music,blindness,irish accent,prison,kidnapping,los angeles,multiple storylines,computer animation,simple,too long,directorial debut,new york city,mad scientist,desert,dreams,oil,teen movie,french,new jersey,wilderness,tokyo,hunting,addiction,stereotypes,survival,workplace,island,camp,brothers,texas,prostitution,ensemble cast,wine,awesome soundtrack,bollywood,interracial romance,no plot,indians,radio,best of 2005,alternate history,80s,rebellion,adoption,documentary,potential oscar nom,stand-up comedy,russian,stoner movie,kick-butt women,time,foul language,made for tv,race,fashion,nudity (rear),internet,snakes,atheism,immortality,ghosts/afterlife,robert downey jr,notable nudity,father daughter relationship,homeless,buddy movie,trilogy,finnish,unlikeable characters,australia,hip hop,cancer,shopping,goth,remake,god,too short,graphic novel,reality tv,single father
Devil in a Blue Dress (1995),0.8879999999999999,0.78,0.78375,0.78375,0.78,0.7805,0.59475,0.61375,0.77275,0.906,0.32175,0.58625,0.432,0.733,0.419,0.3582499999999999,0.48575,0.48575,0.962,0.5485,0.434,0.3984999999999999,0.364,0.2284999999999999,0.3117499999999999,0.128,0.532,0.3475,0.4177499999999999,0.14975,0.305,0.43825,0.297,0.364,0.16975,0.261,0.3602499999999999,0.3914999999999999,0.3155,0.34475,0.364,0.33025,0.083,0.2604999999999999,0.156,0.20375,0.39225,0.3215,0.355,0.81375,0.0702499999999999,0.16225,0.14225,0.1825,0.21475,0.2012499999999999,0.21625,0.1505,0.266,0.1009999999999999,0.15375,0.3077499999999999,0.1307499999999999,0.16075,0.22625,0.1535,0.14525,0.21325,0.1024999999999999,0.3249999999999999,0.10175,0.14675,0.11925,0.10025,0.97875,0.1654999999999999,0.196,0.11375,0.068,0.1235,0.2015,0.0747499999999999,0.083,0.09225,0.31225,0.1282499999999999,0.0605,0.3145,0.1659999999999999,0.089,0.0655,0.1367499999999999,0.26775,0.09775,0.18575,0.09425,0.1159999999999999,0.0509999999999999,0.22975,0.10575,0.1327499999999999,0.12125,0.15225,0.0665,0.1185,0.14925,0.083,0.0777499999999999,0.0499999999999999,0.0954999999999999,0.0682499999999999,0.04725,0.0835,0.0554999999999999,0.0677499999999999,0.10275,0.0559999999999999,0.08675,0.1395,0.0655,0.073,0.0715,0.174,0.10175,0.1144999999999999,0.147,0.0564999999999999,0.05875,0.0414999999999999,0.091,0.1215,0.0885,0.03875,0.0969999999999999,0.183,0.05675,0.0554999999999999,0.14125,0.0569999999999999,0.1392499999999999,0.0389999999999999,0.10425,0.1285,0.027,0.0314999999999999,0.0627499999999999,0.03825,0.0265,0.026
Red Rock West (1992),0.97075,0.908,0.908,0.908,0.94275,0.59925,0.59925,0.8147500000000001,0.74725,0.91575,0.50775,0.9215,0.56625,0.9215,0.3834999999999999,0.8147500000000001,0.597,0.55975,0.2234999999999999,0.52475,0.54975,0.3964999999999999,0.54275,0.1975,0.2289999999999999,0.0954999999999999,0.54675,0.1377499999999999,0.3465,0.23875,0.3189999999999999,0.11975,0.1952499999999999,0.41925,0.1704999999999999,0.831,0.364,0.204,0.3375,0.11375,0.41925,0.21425,0.09125,0.21825,0.09575,0.2634999999999999,0.4515,0.26875,0.28425,0.1445,0.14525,0.26425,0.15725,0.21975,0.1285,0.13,0.2284999999999999,0.17725,0.16225,0.17875,0.16925,0.58725,0.14525,0.1069999999999999,0.177,0.25725,0.1594999999999999,0.26425,0.33125,0.554,0.14,0.259,0.1325,0.2005,0.16475,0.133,0.1875,0.16725,0.1455,0.14725,0.093,0.1034999999999999,0.35575,0.10975,0.4375,0.12375,0.0449999999999999,0.21225,0.24,0.0772499999999999,0.1405,0.12325,0.0845,0.11675,0.15775,0.0715,0.0959999999999999,0.10975,0.65325,0.0822499999999999,0.16025,0.0509999999999999,0.213,0.0757499999999999,0.0969999999999999,0.16525,0.09825,0.1109999999999999,0.136,0.09225,0.0797499999999999,0.0494999999999999,0.05125,0.0399999999999999,0.143,0.05675,0.05375,0.0852499999999999,0.156,0.11275,0.1049999999999999,0.09875,0.08875,0.0519999999999999,0.083,0.14975,0.04575,0.09875,0.03425,0.02,0.0695,0.15225,0.03575,0.0822499999999999,0.1415,0.0544999999999999,0.03675,0.1335,0.0817499999999999,0.0695,0.04075,0.0697499999999999,0.0384999999999999,0.0187499999999999,0.025,0.03125,0.03,0.04275,0.0324999999999999
Some Folks Call It a Sling Blade (1993),0.75125,0.89225,0.8585,0.7862499999999999,0.89225,0.89225,0.89225,0.89225,0.8932500000000001,0.8899999999999999,0.9405,0.7395,0.8899999999999999,0.557,0.63825,0.48875,0.3854999999999999,0.7682500000000001,0.583,0.2937499999999999,0.5805,0.2495,0.47275,0.2945,0.4004999999999999,0.17675,0.3452499999999999,0.2365,0.4117499999999999,0.303,0.3735,0.44975,0.261,0.47275,0.417,0.3692499999999999,0.3635,0.4765,0.3067499999999999,0.2294999999999999,0.47275,0.3125,0.17225,0.29025,0.2314999999999999,0.53,0.537,0.21875,0.14875,0.424,0.154,0.2764999999999999,0.28425,0.22225,0.216,0.2837499999999999,0.39925,0.4024999999999999,0.265,0.1215,0.2877499999999999,0.17025,0.512,0.3279999999999999,0.28025,0.1315,0.26275,0.39525,0.6565,0.271,0.23975,0.32025,0.51475,0.09225,0.10625,0.3279999999999999,0.28625,0.31925,0.1955,0.275,0.0757499999999999,0.1275,0.0705,0.1629999999999999,0.1014999999999999,0.16625,0.0615,0.1865,0.1285,0.1352499999999999,0.15725,0.2022499999999999,0.296,0.38875,0.195,0.0954999999999999,0.10725,0.15675,0.1114999999999999,0.16125,0.18575,0.0564999999999999,0.1955,0.151,0.16625,0.0544999999999999,0.078,0.1029999999999999,0.2544999999999999,0.1755,0.0595,0.182,0.074,0.21625,0.21375,0.1955,0.0539999999999999,0.0875,0.1059999999999999,0.1235,0.21725,0.22025,0.2017499999999999,0.0349999999999999,0.0737499999999999,0.21175,0.073,0.1375,0.04975,0.124,0.09,0.178,0.12275,0.076,0.1825,0.1185,0.066,0.11825,0.081,0.05225,0.1887499999999999,0.0715,0.05125,0.023,0.0695,0.8947499999999999,0.09625,0.10525,0.09975
Force of Evil (1948),0.9505,0.7722500000000001,0.7842499999999999,0.8875,0.909,0.8875,0.63575,0.5315,0.60975,0.95575,0.8294999999999999,0.7649999999999999,0.8294999999999999,0.6665,0.645,0.39625,0.3335,0.39375,0.40525,0.3994999999999999,0.50175,0.65275,0.2455,0.39425,0.2495,0.62,0.40325,0.0959999999999999,0.41325,0.11275,0.3565,0.10725,0.1574999999999999,0.2455,0.39075,0.34325,0.25125,0.1735,0.27175,0.7902499999999999,0.2455,0.273,0.1159999999999999,0.2475,0.1094999999999999,0.195,0.188,0.2784999999999999,0.28625,0.1614999999999999,0.12,0.12025,0.1997499999999999,0.1659999999999999,0.12,0.0895,0.1114999999999999,0.11775,0.2664999999999999,0.873,0.1765,0.10875,0.191,0.1569999999999999,0.1024999999999999,0.1335,0.10175,0.1195,0.1004999999999999,0.16175,0.0655,0.354,0.087,0.31875,0.078,0.10475,0.15825,0.09,0.1325,0.1594999999999999,0.8022499999999999,0.134,0.089,0.05675,0.2405,0.0627499999999999,0.0514999999999999,0.1699999999999999,0.09675,0.0935,0.11925,0.1265,0.15925,0.0915,0.10175,0.10525,0.05375,0.3149999999999999,0.2185,0.1114999999999999,0.07,0.0162499999999999,0.09825,0.05675,0.1109999999999999,0.063,0.239,0.04375,0.1252499999999999,0.0534999999999999,0.0767499999999999,0.04275,0.05925,0.0419999999999999,0.1024999999999999,0.09675,0.04125,0.05225,0.22625,0.063,0.0725,0.0334999999999999,0.03525,0.15875,0.04225,0.062,0.05925,0.04175,0.0359999999999999,0.05325,0.0359999999999999,0.0429999999999999,0.03225,0.0569999999999999,0.0192499999999999,0.05425,0.0252499999999999,0.0722499999999999,0.021,0.085,0.03375,0.0424999999999999,0.0205,0.0207499999999999,0.04175,0.05075,0.03875,0.0287499999999999,0.0207499999999999
Vertigo (1958),0.8594999999999999,0.979,0.99625,0.9765,0.979,0.9765,0.979,0.8425,0.8634999999999999,0.5685,0.7815000000000001,0.9765,0.67375,0.5235,0.853,0.8015000000000001,0.672,0.40525,0.71775,0.659,0.4307499999999999,0.61575,0.3085,0.49,0.4357499999999999,0.1609999999999999,0.42425,0.247,0.56275,0.28525,0.39275,0.22175,0.1972499999999999,0.25225,0.39225,0.147,0.25825,0.1935,0.3005,0.1415,0.21325,0.32725,0.4379999999999999,0.25225,0.10625,0.3057499999999999,0.3692499999999999,0.241,0.1982499999999999,0.23325,0.24075,0.26475,0.2025,0.27475,0.16375,0.3249999999999999,0.3057499999999999,0.2485,0.1714999999999999,0.1945,0.29125,0.15675,0.151,0.1305,0.2967499999999999,0.944,0.218,0.194,0.2289999999999999,0.4004999999999999,0.18275,0.2185,0.10825,0.2002499999999999,0.10825,0.17525,0.1185,0.1945,0.25075,0.1485,0.11675,0.1335,0.12325,0.403,0.1014999999999999,0.1079999999999999,0.1285,0.067,0.0857499999999999,0.1059999999999999,0.0802499999999999,0.08,0.10375,0.06225,0.0775,0.0777499999999999,0.0805,0.10675,0.063,0.0772499999999999,0.06075,0.145,0.1185,0.10975,0.13,0.14475,0.0989999999999999,0.0399999999999999,0.09475,0.0939999999999999,0.076,0.0915,0.0529999999999999,0.061,0.08875,0.062,0.0484999999999999,0.12125,0.05625,0.21425,0.0772499999999999,0.0707499999999999,0.089,0.0807499999999999,0.05625,0.062,0.0925,0.08,0.06025,0.0389999999999999,0.03425,0.04875,0.03675,0.03225,0.0662499999999999,0.0667499999999999,0.026,0.03525,0.0494999999999999,0.03575,0.03375,0.0692499999999999,0.05075,0.0205,0.027,0.0217499999999999,0.0295,0.0235,0.019
Rear Window (1954),0.96225,0.98275,0.98275,0.95525,0.98275,0.95525,0.98275,0.863,0.8652500000000001,0.681,0.709,0.95525,0.709,0.61725,0.8975,0.89175,0.56425,0.44275,0.50425,0.989,0.4639999999999999,0.44425,0.53875,0.21,0.32675,0.24125,0.5985,0.37,0.4932499999999999,0.3045,0.3672499999999999,0.3429999999999999,0.51075,0.5245,0.353,0.26175,0.31875,0.2455,0.4145,0.22575,0.38175,0.312,0.2314999999999999,0.5245,0.2309999999999999,0.409,0.311,0.23525,0.1897499999999999,0.284,0.2674999999999999,0.3259999999999999,0.17875,0.266,0.178,0.3415,0.269,0.4107499999999999,0.21125,0.26125,0.27925,0.15125,0.21175,0.272,0.1855,0.1875,0.205,0.25325,0.20925,0.44025,0.22125,0.207,0.1392499999999999,0.1735,0.1574999999999999,0.2554999999999999,0.272,0.3512499999999999,0.541,0.14525,0.22925,0.1347499999999999,0.204,0.1555,0.151,0.11775,0.137,0.071,0.12475,0.1397499999999999,0.1297499999999999,0.0725,0.1235,0.10825,0.1255,0.1275,0.1094999999999999,0.12,0.0687499999999999,0.0742499999999999,0.1885,0.16275,0.26125,0.1445,0.10225,0.128,0.0707499999999999,0.118,0.135,0.11625,0.1362499999999999,0.093,0.063,0.1034999999999999,0.1094999999999999,0.0705,0.0584999999999999,0.10475,0.073,0.17925,0.204,0.0705,0.1342499999999999,0.23825,0.04425,0.118,0.089,0.0989999999999999,0.0207499999999999,0.0344999999999999,0.0647499999999999,0.0374999999999999,0.04775,0.0499999999999999,0.12375,0.11775,0.0215,0.0514999999999999,0.0544999999999999,0.0319999999999999,0.0287499999999999,0.08625,0.014,0.0212499999999999,0.0339999999999999,0.0394999999999999,0.0265,0.0832499999999999,0.0165
Gaslight (1944),0.96075,0.98625,0.96075,0.7745,0.92725,0.912,0.98625,0.8614999999999999,0.7577499999999999,0.682,0.682,0.5105,0.682,0.4085,0.7597499999999999,0.8614999999999999,0.563,0.7265,0.5375,0.49675,0.44875,0.26,0.258,0.3017499999999999,0.25775,0.355,0.191,0.64275,0.2204999999999999,0.8174999999999999,0.39875,0.3682499999999999,0.436,0.1937499999999999,0.3055,0.11975,0.22875,0.204,0.243,0.2274999999999999,0.16075,0.3964999999999999,0.16325,0.2055,0.18075,0.2254999999999999,0.3299999999999999,0.186,0.15725,0.2475,0.20625,0.1917499999999999,0.1455,0.1907499999999999,0.3339999999999999,0.3179999999999999,0.37,0.259,0.148,0.2055,0.201,0.1205,0.17275,0.22875,0.5625,0.176,0.30425,0.1387499999999999,0.187,0.16975,0.3219999999999999,0.296,0.12425,0.0857499999999999,0.03275,0.0949999999999999,0.1699999999999999,0.1377499999999999,0.0812499999999999,0.1332499999999999,0.10775,0.1564999999999999,0.084,0.08875,0.239,0.127,0.14125,0.0584999999999999,0.15675,0.09675,0.079,0.0657499999999999,0.18625,0.072,0.09125,0.12175,0.1392499999999999,0.09275,0.04925,0.0827499999999999,0.0344999999999999,0.10975,0.0652499999999999,0.3035,0.15375,0.12125,0.0687499999999999,0.05875,0.0925,0.1245,0.06225,0.0667499999999999,0.1084999999999999,0.0449999999999999,0.0792499999999999,0.0722499999999999,0.0605,0.06125,0.0652499999999999,0.0722499999999999,0.05075,0.1144999999999999,0.15525,0.16775,0.1362499999999999,0.0657499999999999,0.0732499999999999,0.176,0.0775,0.1169999999999999,0.04725,0.0767499999999999,0.079,0.03475,0.0287499999999999,0.0285,0.0295,0.0459999999999999,0.04875,0.0319999999999999,0.0282499999999999,0.0242499999999999,0.09075,0.3329999999999999,0.04375,0.05175,0.0489999999999999,0.0394999999999999,0.0747499999999999
North by Northwest (1959),0.95125,0.97625,0.97625,0.8815,0.97625,0.89175,0.97625,0.8580000000000001,0.80375,0.548,0.62125,0.8815,0.62125,0.54225,0.89175,0.95225,0.91425,0.54775,0.505,0.65325,0.45225,0.62725,0.83125,0.2877499999999999,0.2957499999999999,0.32025,0.4245,0.26175,0.3722499999999999,0.4395,0.30925,0.3532499999999999,0.3017499999999999,0.688,0.27175,0.1669999999999999,0.282,0.2175,0.3615,0.2194999999999999,0.688,0.3219999999999999,0.3964999999999999,0.612,0.18125,0.4745,0.35175,0.26975,0.1614999999999999,0.2877499999999999,0.44425,0.501,0.18425,0.2319999999999999,0.24525,0.299,0.31425,0.39025,0.146,0.203,0.2415,0.33325,0.1755,0.22675,0.275,0.23125,0.20575,0.255,0.211,0.3149999999999999,0.1619999999999999,0.1765,0.135,0.481,0.089,0.1465,0.22675,0.2269999999999999,0.22575,0.16775,0.26025,0.17125,0.24575,0.124,0.1947499999999999,0.15575,0.11775,0.0747499999999999,0.1644999999999999,0.16525,0.154,0.06125,0.20375,0.12475,0.10775,0.1815,0.10525,0.0847499999999999,0.06,0.0825,0.0605,0.15625,0.20375,0.1305,0.134,0.14325,0.0725,0.05525,0.0969999999999999,0.09875,0.09525,0.11375,0.0717499999999999,0.0707499999999999,0.1255,0.0777499999999999,0.0687499999999999,0.0832499999999999,0.10525,0.21025,0.1094999999999999,0.0765,0.1089999999999999,0.09375,0.04425,0.0792499999999999,0.17925,0.0944999999999999,0.05625,0.0727499999999999,0.03975,0.0499999999999999,0.05875,0.05575,0.11825,0.10375,0.02975,0.027,0.0479999999999999,0.0369999999999999,0.031,0.05075,0.0167499999999999,0.025,0.03325,0.04525,0.03,0.0534999999999999,0.025
"Maltese Falcon, The (1941)",0.9135,0.979,0.979,0.95775,0.979,0.9795,0.979,0.902,0.8872500000000001,0.982,0.94975,0.902,0.94975,0.747,0.9795,0.551,0.576,0.5565,0.893,0.5685,0.42425,0.51675,0.64275,0.2594999999999999,0.199,0.669,0.561,0.3615,0.411,0.3555,0.3129999999999999,0.33225,0.18475,0.64275,0.1775,0.2085,0.2654999999999999,0.24975,0.26175,0.2214999999999999,0.64275,0.3309999999999999,0.46475,0.2654999999999999,0.1267499999999999,0.3047499999999999,0.3522499999999999,0.39825,0.53375,0.2925,0.25525,0.4087499999999999,0.149,0.23175,0.1225,0.8972500000000001,0.2329999999999999,0.2175,0.23775,0.14625,0.579,0.1855,0.1992499999999999,0.1385,0.1925,0.91275,0.1382499999999999,0.146,0.08,0.274,0.16325,0.18,0.1362499999999999,0.1262499999999999,0.1569999999999999,0.183,0.191,0.1604999999999999,0.1009999999999999,0.63575,0.0825,0.1377499999999999,0.2524999999999999,0.27875,0.121,0.15825,0.0795,0.1235,0.10175,0.0822499999999999,0.1355,0.1044999999999999,0.2259999999999999,0.0682499999999999,0.05475,0.11725,0.10725,0.1985,0.12475,0.076,0.4792499999999999,0.0685,0.142,0.0865,0.0782499999999999,0.21525,0.15475,0.0802499999999999,0.0667499999999999,0.0885,0.062,0.0792499999999999,0.05175,0.0747499999999999,0.0885,0.08875,0.04725,0.10225,0.08925,0.1099999999999999,0.09375,0.0812499999999999,0.0999999999999999,0.079,0.03975,0.05875,0.10675,0.0727499999999999,0.0414999999999999,0.0564999999999999,0.1387499999999999,0.0339999999999999,0.04025,0.04575,0.0745,0.1139999999999999,0.0394999999999999,0.1024999999999999,0.03625,0.03975,0.0225,0.03675,0.05675,0.0795,0.03,0.0344999999999999,0.0359999999999999,0.0255,0.0237499999999999
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),0.76475,0.97875,0.97875,0.96875,0.97875,0.9715,0.97875,0.8855,0.80175,0.95225,0.95225,0.96875,0.95225,0.43975,0.94375,0.3715,0.311,0.60575,0.4107499999999999,0.56825,0.472,0.4745,0.3622499999999999,0.3572499999999999,0.262,0.45025,0.67475,0.254,0.67675,0.24125,0.26675,0.43,0.18625,0.2857499999999999,0.33775,0.277,0.3722499999999999,0.4735,0.26575,0.21825,0.2857499999999999,0.47875,0.504,0.29425,0.14275,0.3077499999999999,0.28625,0.283,0.2045,0.394,0.3722499999999999,0.8029999999999999,0.2175,0.2827499999999999,0.139,0.3235,0.18075,0.3615,0.59225,0.0574999999999999,0.387,0.2329999999999999,0.21,0.10625,0.22475,0.25125,0.1985,0.3047499999999999,0.15275,0.2355,0.1885,0.2185,0.16675,0.0707499999999999,0.75075,0.1785,0.1735,0.15675,0.16325,0.2339999999999999,0.0747499999999999,0.2804999999999999,0.20525,0.4925,0.1987499999999999,0.09025,0.0752499999999999,0.0915,0.2774999999999999,0.151,0.0705,0.1735,0.1614999999999999,0.10425,0.145,0.09975,0.1932499999999999,0.137,0.129,0.09975,0.0999999999999999,0.12375,0.11075,0.15775,0.1397499999999999,0.0717499999999999,0.09375,0.14375,0.18325,0.10725,0.05675,0.1257499999999999,0.0424999999999999,0.09925,0.09425,0.0772499999999999,0.04325,0.087,0.04325,0.10925,0.063,0.0832499999999999,0.1029999999999999,0.0469999999999999,0.04475,0.0682499999999999,0.10025,0.0974999999999999,0.24375,0.087,0.1079999999999999,0.0292499999999999,0.05875,0.09775,0.09975,0.0292499999999999,0.04625,0.05125,0.03075,0.0459999999999999,0.04675,0.0237499999999999,0.0805,0.0177499999999999,0.0747499999999999,0.021,0.0339999999999999,0.0404999999999999,0.0147499999999999
