movieId,original,good,unlikely friendships,drama,melancholic,culture clash,weird,runaway,greed,mentor,childhood,independent film,vengeance,family,teen movie,dysfunctional family,life & death,catastrophe,drinking,adaptation,prejudice,dialogue,light,life philosophy,fantasy world,very funny,women,pornography,betrayal,quirky,sacrifice,period piece,queer,bollywood,transformation,stereotypes,british,not funny,creativity,computer animation,islam,chase,fun movie,predictable,death,fight scenes,small town,nudity (full frontal - brief),good music,adoption,dreams,classic car,divorce,sexy,first contact,simple,indians,underrated,writers,surveillance,hospital,interracial romance,irish accent,single father,brothers,multiple storylines,wartime,doctors,awesome soundtrack,tokyo,absurd,father daughter relationship,weapons,road movie,new jersey,memory,alter ego,california,survival,rebellion,nudity (topless - brief),1930s,cancer,farce,censorship,directorial debut,blindness,hotel,film noir,addiction,race,atheism,wilderness,internet,island,alternate history,workplace,australia,documentary,french,pulp,too long,foul language,new york city,notable nudity,stand-up comedy,camp,80s,god,prison,ensemble cast,stoner movie,mad scientist,texas,hip hop,wine,russian,potential oscar nom,made for tv,radio,kick-butt women,shopping,nudity (rear),best of 2005,hunting,finnish,fashion,homeless,san francisco,immortality,too short,lawyer,ghosts/afterlife,prostitution,no plot,desert,time,reality tv,kidnapping,oil,robert downey jr,goth,trilogy,graphic novel,buddy movie,unlikeable characters,snakes,los angeles,remake
"Bridges of Madison County, The (1995)",0.90575,0.98925,0.9465,0.7545,0.9465,0.739,0.719,0.739,0.58225,0.487,0.532,0.71975,0.6015,0.532,0.3155,0.20675,0.71975,0.569,0.2957499999999999,0.7455,0.17775,0.4317499999999999,0.4459999999999999,0.552,0.2022499999999999,0.21325,0.48775,0.3259999999999999,0.4585,0.2022499999999999,0.597,0.3037499999999999,0.1465,0.09725,0.3199999999999999,0.1957499999999999,0.1345,0.36175,0.1935,0.14125,0.1205,0.3269999999999999,0.194,0.294,0.43975,0.17425,0.1947499999999999,0.282,0.0765,0.1295,0.3105,0.1735,0.73,0.3259999999999999,0.2415,0.4365,0.10775,0.1287499999999999,0.3097499999999999,0.10875,0.2224999999999999,0.25725,0.09,0.147,0.10575,0.208,0.0832499999999999,0.2095,0.0782499999999999,0.079,0.128,0.0484999999999999,0.1327499999999999,0.15625,0.0712499999999999,0.1947499999999999,0.11125,0.0712499999999999,0.1164999999999999,0.027,0.10375,0.0837499999999999,0.1855,0.0652499999999999,0.0509999999999999,0.11575,0.18625,0.17625,0.08675,0.0737499999999999,0.0504999999999999,0.1282499999999999,0.11225,0.0994999999999999,0.09775,0.1485,0.066,0.0334999999999999,0.0319999999999999,0.03925,0.1614999999999999,0.1569999999999999,0.04325,0.0544999999999999,0.1865,0.1064999999999999,0.08975,0.03925,0.0252499999999999,0.086,0.0265,0.0692499999999999,0.118,0.05625,0.064,0.09475,0.03975,0.0722499999999999,0.0489999999999999,0.17875,0.0504999999999999,0.144,0.08875,0.03625,0.061,0.03675,0.0637499999999999,0.0414999999999999,0.089,0.0474999999999999,0.10525,0.0705,0.0842499999999999,0.05375,0.05575,0.0514999999999999,0.11575,0.03575,0.04025,0.0252499999999999,0.0295,0.027,0.03325,0.023,0.0277499999999999,0.03175,0.0637499999999999,0.03,0.04625
Eat Drink Man Woman (Yin shi nan nu) (1994),0.674,0.61475,0.61475,0.668,0.98425,0.78325,0.87625,0.78325,0.7355,0.45275,0.38875,0.494,0.65075,0.6895,0.41325,0.81525,0.3445,0.47175,0.60225,0.304,0.2334999999999999,0.43025,0.5125,0.40375,0.212,0.38,0.4985,0.30025,0.47875,0.30425,0.2865,0.25,0.22375,0.44125,0.4509999999999999,0.15675,0.3492499999999999,0.302,0.271,0.15925,0.2229999999999999,0.309,0.23775,0.154,0.1962499999999999,0.44225,0.1579999999999999,0.251,0.2259999999999999,0.355,0.11125,0.14625,0.802,0.3255,0.16175,0.18675,0.20325,0.267,0.18525,0.191,0.294,0.30325,0.1962499999999999,0.9545,0.2564999999999999,0.24225,0.088,0.15125,0.11025,0.3245,0.1649999999999999,0.98925,0.16625,0.1094999999999999,0.1295,0.14175,0.1049999999999999,0.14,0.20425,0.118,0.0822499999999999,0.1164999999999999,0.14375,0.0802499999999999,0.126,0.10125,0.1382499999999999,0.173,0.1307499999999999,0.1302499999999999,0.10075,0.3605,0.143,0.0569999999999999,0.1317499999999999,0.088,0.54275,0.10625,0.0935,0.0802499999999999,0.0857499999999999,0.09525,0.05375,0.0642499999999999,0.1922499999999999,0.0732499999999999,0.067,0.05125,0.3605,0.085,0.08675,0.06175,0.0807499999999999,0.0727499999999999,0.0419999999999999,0.2435,0.06175,0.0905,0.08825,0.0384999999999999,0.21125,0.05325,0.09125,0.13,0.0895,0.078,0.10175,0.05025,0.0584999999999999,0.0667499999999999,0.0384999999999999,0.04475,0.0584999999999999,0.04775,0.08875,0.061,0.03625,0.0287499999999999,0.0765,0.084,0.04425,0.03075,0.26225,0.04975,0.0479999999999999,0.065,0.05875,0.0292499999999999,0.0237499999999999
Hoop Dreams (1994),0.79175,0.58725,0.82175,0.79175,0.8705,0.62925,0.62925,0.69525,0.69525,0.73225,0.48875,0.545,0.69525,0.5105,0.8560000000000001,0.29825,0.37625,0.43775,0.33625,0.3255,0.38075,0.4125,0.3375,0.27175,0.30225,0.3205,0.15675,0.2524999999999999,0.408,0.23925,0.202,0.15425,0.26025,0.2155,0.22575,0.2435,0.20625,0.31675,0.22675,0.5105,0.1907499999999999,0.25225,0.31725,0.127,0.1357499999999999,0.26575,0.39725,0.2724999999999999,0.21,0.10675,0.83375,0.28425,0.08875,0.1525,0.143,0.1129999999999999,0.09125,0.26425,0.09525,0.2684999999999999,0.0827499999999999,0.0737499999999999,0.146,0.0469999999999999,0.17025,0.3655,0.0974999999999999,0.11475,0.185,0.1609999999999999,0.1342499999999999,0.09975,0.243,0.21175,0.25675,0.0632499999999999,0.148,0.24425,0.0782499999999999,0.14475,0.0509999999999999,0.1129999999999999,0.0677499999999999,0.0765,0.2035,0.11975,0.0785,0.08975,0.16575,0.53175,0.2229999999999999,0.0802499999999999,0.10925,0.1957499999999999,0.0595,0.076,0.0722499999999999,0.082,0.91225,0.0414999999999999,0.1024999999999999,0.3107499999999999,0.214,0.09225,0.086,0.10575,0.1535,0.1614999999999999,0.0287499999999999,0.09675,0.08625,0.08675,0.04625,0.21725,0.281,0.0775,0.0494999999999999,0.087,0.0735,0.0725,0.0815,0.0192499999999999,0.04125,0.154,0.0732499999999999,0.0504999999999999,0.0429999999999999,0.12425,0.03725,0.0282499999999999,0.04175,0.061,0.0305,0.0717499999999999,0.0389999999999999,0.0215,0.03325,0.4845,0.03025,0.11375,0.0999999999999999,0.03575,0.03775,0.0282499999999999,0.16375,0.0334999999999999,0.0657499999999999,0.0474999999999999,0.0117499999999999
Heavenly Creatures (1994),0.81,0.597,0.9355,0.724,0.95075,0.597,0.95075,0.7145,0.69425,0.87575,0.46125,0.57625,0.8314999999999999,0.135,0.56975,0.398,0.8565,0.427,0.37375,0.39175,0.277,0.55275,0.4395,0.3097499999999999,0.8955,0.2794999999999999,0.7885,0.65175,0.84375,0.3097499999999999,0.2405,0.28625,0.371,0.1985,0.33875,0.21925,0.2987499999999999,0.3532499999999999,0.3235,0.14125,0.2405,0.2259999999999999,0.1965,0.20925,0.1659999999999999,0.27375,0.25375,0.286,0.27875,0.14575,0.4077499999999999,0.2734999999999999,0.09125,0.53125,0.27375,0.0807499999999999,0.10175,0.4147499999999999,0.22625,0.21825,0.175,0.213,0.155,0.0272499999999999,0.15325,0.11475,0.0935,0.2534999999999999,0.1425,0.3635,0.42,0.1619999999999999,0.2075,0.185,0.2885,0.1149999999999999,0.1905,0.26325,0.1922499999999999,0.2925,0.09825,0.11125,0.0329999999999999,0.1355,0.24975,0.1745,0.14575,0.119,0.2299999999999999,0.1129999999999999,0.09325,0.0797499999999999,0.2279999999999999,0.087,0.10525,0.0805,0.2002499999999999,0.46825,0.089,0.05975,0.2055,0.0805,0.0564999999999999,0.082,0.11075,0.0747499999999999,0.1935,0.09125,0.0797499999999999,0.1345,0.05075,0.12425,0.1252499999999999,0.12225,0.04975,0.062,0.05275,0.0747499999999999,0.1302499999999999,0.04975,0.2085,0.0117499999999999,0.09475,0.09,0.04875,0.04075,0.1282499999999999,0.03975,0.0409999999999999,0.063,0.0257499999999999,0.04425,0.0329999999999999,0.0905,0.073,0.0742499999999999,0.04725,0.11225,0.1277499999999999,0.0702499999999999,0.05175,0.1425,0.1987499999999999,0.2294999999999999,0.05375,0.072,0.05975,0.0534999999999999,0.0147499999999999
"Little Princess, A (1995)",0.70025,0.64225,0.5445,0.47575,0.8727499999999999,0.5445,0.952,0.60625,0.8727499999999999,0.56025,0.8280000000000001,0.31525,0.62725,0.7842499999999999,0.8342499999999999,0.18625,0.952,0.474,0.2007499999999999,0.9475,0.5205,0.3117499999999999,0.3199999999999999,0.299,0.77075,0.258,0.33675,0.2012499999999999,0.2734999999999999,0.14875,0.3,0.7795000000000001,0.2035,0.33575,0.33325,0.3265,0.7795000000000001,0.3522499999999999,0.42325,0.302,0.18325,0.3615,0.33075,0.24225,0.181,0.25375,0.10125,0.23125,0.3067499999999999,0.25375,0.1342499999999999,0.21925,0.073,0.2194999999999999,0.15575,0.14625,0.5055,0.22225,0.12325,0.2734999999999999,0.25925,0.241,0.129,0.8287500000000001,0.0797499999999999,0.144,0.09725,0.119,0.1099999999999999,0.1402499999999999,0.149,0.24875,0.20575,0.059,0.137,0.4044999999999999,0.123,0.0642499999999999,0.0857499999999999,0.0994999999999999,0.05075,0.1805,0.0647499999999999,0.0847499999999999,0.0637499999999999,0.0832499999999999,0.2445,0.0984999999999999,0.079,0.0534999999999999,0.0949999999999999,0.1485,0.10325,0.0785,0.1365,0.11275,0.04925,0.068,0.0252499999999999,0.0509999999999999,0.1159999999999999,0.04275,0.0595,0.1475,0.11025,0.072,0.0815,0.0765,0.0444999999999999,0.1044999999999999,0.0534999999999999,0.0842499999999999,0.083,0.04225,0.0632499999999999,0.0595,0.0595,0.03425,0.1845,0.04825,0.075,0.0384999999999999,0.0509999999999999,0.09,0.04225,0.03025,0.0645,0.03725,0.04975,0.0715,0.132,0.0529999999999999,0.05125,0.0677499999999999,0.05875,0.023,0.0637499999999999,0.03025,0.0727499999999999,0.04625,0.0265,0.063,0.0605,0.04675,0.0255,0.0205,0.0657499999999999,0.0107499999999999,0.0954999999999999
"Secret of Roan Inish, The (1994)",0.914,0.67175,0.8532500000000001,0.4187499999999999,0.88025,0.84625,0.88025,0.54175,0.88025,0.45475,0.61675,0.3662499999999999,0.6825,0.68325,0.1694999999999999,0.484,0.45575,0.46225,0.44275,0.4535,0.26475,0.4205,0.3425,0.2774999999999999,0.92575,0.238,0.2289999999999999,0.2324999999999999,0.27775,0.413,0.1699999999999999,0.41125,0.1795,0.3369999999999999,0.2644999999999999,0.1644999999999999,0.41125,0.32625,0.3555,0.191,0.196,0.31275,0.17325,0.17875,0.1992499999999999,0.2015,0.16375,0.23625,0.22975,0.1805,0.1589999999999999,0.22225,0.04075,0.1887499999999999,0.1815,0.24575,0.4257499999999999,0.3115,0.22125,0.2244999999999999,0.06175,0.1205,0.9755,0.12375,0.3077499999999999,0.21725,0.0797499999999999,0.0795,0.22975,0.2007499999999999,0.10275,0.17725,0.1272499999999999,0.123,0.092,0.0615,0.0875,0.1044999999999999,0.09775,0.10625,0.06,0.1634999999999999,0.0384999999999999,0.05625,0.0544999999999999,0.119,0.0837499999999999,0.069,0.0935,0.05625,0.1659999999999999,0.0895,0.1977499999999999,0.0615,0.76525,0.09725,0.04525,0.1915,0.061,0.06175,0.08675,0.082,0.065,0.0615,0.2105,0.0725,0.0519999999999999,0.0905,0.059,0.0812499999999999,0.09275,0.0832499999999999,0.061,0.093,0.0519999999999999,0.0287499999999999,0.0685,0.069,0.085,0.0277499999999999,0.10025,0.0217499999999999,0.11225,0.0419999999999999,0.1089999999999999,0.064,0.0504999999999999,0.03275,0.03025,0.0632499999999999,0.0235,0.0319999999999999,0.0697499999999999,0.0267499999999999,0.05425,0.1644999999999999,0.0212499999999999,0.023,0.0534999999999999,0.0667499999999999,0.04825,0.14275,0.10825,0.03,0.0285,0.03575,0.05025,0.0285,0.0165
King of the Hill (1993),0.78075,0.78075,0.9845,0.81525,0.95925,0.8062499999999999,0.8062499999999999,0.8062499999999999,0.79775,0.883,0.8779999999999999,0.7762500000000001,0.55975,0.4595,0.6045,0.435,0.51575,0.44775,0.7762500000000001,0.54725,0.552,0.3924999999999999,0.3764999999999999,0.22975,0.4862499999999999,0.408,0.2135,0.46875,0.509,0.53175,0.552,0.8525,0.298,0.25725,0.3055,0.1262499999999999,0.32225,0.33275,0.47475,0.4595,0.23875,0.36375,0.4034999999999999,0.18525,0.294,0.3017499999999999,0.308,0.23025,0.25275,0.1704999999999999,0.2012499999999999,0.23375,0.068,0.1997499999999999,0.174,0.11375,0.27875,0.53675,0.18525,0.2017499999999999,0.1307499999999999,0.09625,0.2022499999999999,0.133,0.3595,0.1805,0.1382499999999999,0.1215,0.25275,0.28325,0.1525,0.1977499999999999,0.16025,0.3129999999999999,0.2269999999999999,0.25625,0.1525,0.27875,0.36775,0.32325,0.1397499999999999,0.96025,0.0652499999999999,0.15575,0.146,0.242,0.10575,0.8407500000000001,0.238,0.131,0.148,0.071,0.4054999999999999,0.0959999999999999,0.09325,0.11275,0.0797499999999999,0.16975,0.082,0.0549999999999999,0.1332499999999999,0.0845,0.1114999999999999,0.1307499999999999,0.0775,0.0745,0.15775,0.1895,0.0569999999999999,0.1352499999999999,0.1382499999999999,0.16075,0.067,0.18475,0.0697499999999999,0.04325,0.0579999999999999,0.2355,0.11925,0.2135,0.147,0.0785,0.0732499999999999,0.08875,0.05825,0.02975,0.0424999999999999,0.1059999999999999,0.061,0.0389999999999999,0.04825,0.079,0.14475,0.1094999999999999,0.0657499999999999,0.14725,0.05925,0.03775,0.1175,0.0469999999999999,0.126,0.04375,0.0569999999999999,0.0285,0.0509999999999999,0.0647499999999999,0.0434999999999999,0.05275,0.0137499999999999
"Slingshot, The (Kådisbellan) (1993)",0.76525,0.6655,0.97275,0.76525,0.76,0.6655,0.76,0.6655,0.6245,0.522,0.8879999999999999,0.651,0.5215,0.45375,0.89225,0.6075,0.4277499999999999,0.4255,0.508,0.278,0.47475,0.279,0.22225,0.3159999999999999,0.39075,0.42425,0.59725,0.48275,0.27625,0.45675,0.1235,0.4925,0.37275,0.6925,0.3087499999999999,0.20425,0.217,0.288,0.16875,0.20875,0.18725,0.201,0.23625,0.1755,0.39325,0.21225,0.1664999999999999,0.28,0.1392499999999999,0.1825,0.18625,0.469,0.069,0.144,0.17725,0.15025,0.1594999999999999,0.2229999999999999,0.2055,0.09975,0.189,0.1064999999999999,0.14225,0.309,0.1855,0.2734999999999999,0.4235,0.1245,0.04725,0.286,0.14525,0.145,0.24875,0.24225,0.3107499999999999,0.0762499999999999,0.0915,0.0792499999999999,0.0994999999999999,0.081,0.129,0.3652499999999999,0.1745,0.10425,0.1044999999999999,0.1109999999999999,0.1292499999999999,0.09025,0.0989999999999999,0.2905,0.08975,0.06,0.1392499999999999,0.0702499999999999,0.1104999999999999,0.09525,0.10675,0.217,0.09525,0.0772499999999999,0.1785,0.073,0.0665,0.0569999999999999,0.0707499999999999,0.4367499999999999,0.0677499999999999,0.0569999999999999,0.0504999999999999,0.0969999999999999,0.0665,0.068,0.0725,0.0737499999999999,0.03675,0.0354999999999999,0.69275,0.0464999999999999,0.0969999999999999,0.0519999999999999,0.0994999999999999,0.0409999999999999,0.0424999999999999,0.0252499999999999,0.0359999999999999,0.383,0.089,0.15975,0.0237499999999999,0.0514999999999999,0.0494999999999999,0.03925,0.05175,0.15125,0.1649999999999999,0.0217499999999999,0.0145,0.0227499999999999,0.04475,0.0334999999999999,0.0672499999999999,0.03825,0.0295,0.0785,0.022,0.0275,0.04175,0.0167499999999999,0.0117499999999999
Penny Serenade (1941),0.9165,0.9165,0.8382499999999999,0.869,0.833,0.8055000000000001,0.6975,0.7715000000000001,0.869,0.68025,0.6615,0.8055000000000001,0.5975,0.574,0.24225,0.968,0.8045,0.52,0.31675,0.34575,0.3622499999999999,0.4992499999999999,0.56325,0.3189999999999999,0.49975,0.37575,0.32075,0.41525,0.344,0.1897499999999999,0.4455,0.32675,0.135,0.1159999999999999,0.511,0.22325,0.24775,0.34125,0.33125,0.22975,0.18325,0.53725,0.28325,0.309,0.66825,0.3075,0.32625,0.1957499999999999,0.17275,0.98975,0.34475,0.1515,0.8500000000000001,0.2264999999999999,0.2299999999999999,0.4882499999999999,0.0747499999999999,0.30425,0.1699999999999999,0.29425,0.3515,0.2455,0.1599999999999999,0.23225,0.10425,0.32575,0.17025,0.27125,0.17275,0.8087500000000001,0.1295,0.21775,0.199,0.11525,0.10625,0.53675,0.27525,0.25525,0.1735,0.0685,0.0984999999999999,0.34375,0.156,0.56675,0.481,0.06025,0.18,0.179,0.242,0.0737499999999999,0.1004999999999999,0.12325,0.04925,0.12375,0.2105,0.14925,0.15225,0.05125,0.0187499999999999,0.1257499999999999,0.1589999999999999,0.298,0.2165,0.1357499999999999,0.1009999999999999,0.0727499999999999,0.1245,0.11375,0.0434999999999999,0.09425,0.059,0.0647499999999999,0.1664999999999999,0.04875,0.0875,0.17425,0.03875,0.4135,0.0785,0.08825,0.0969999999999999,0.1365,0.1024999999999999,0.0295,0.0615,0.015,0.0969999999999999,0.04325,0.54375,0.129,0.0847499999999999,0.0805,0.17725,0.073,0.0474999999999999,0.093,0.0984999999999999,0.0524999999999999,0.1525,0.03725,0.0394999999999999,0.0225,0.03425,0.0399999999999999,0.0404999999999999,0.04525,0.11275,0.0319999999999999,0.05275
Fly Away Home (1996),0.885,0.7729999999999999,0.74475,0.74475,0.7485,0.8185,0.8365,0.58125,0.885,0.7715000000000001,0.4,0.7035,0.39975,0.7642500000000001,0.4755,0.65075,0.26475,0.4942499999999999,0.31925,0.207,0.5805,0.32975,0.38375,0.361,0.2794999999999999,0.2334999999999999,0.2284999999999999,0.1475,0.1955,0.22175,0.5805,0.16375,0.1327499999999999,0.40225,0.27125,0.23325,0.14625,0.3345,0.22825,0.549,0.23975,0.37675,0.17575,0.3924999999999999,0.6755,0.263,0.1669999999999999,0.17675,0.1357499999999999,0.44025,0.14,0.1425,0.303,0.119,0.3924999999999999,0.292,0.2977499999999999,0.1599999999999999,0.15925,0.14125,0.59575,0.2125,0.21125,0.2455,0.1897499999999999,0.1312499999999999,0.078,0.1664999999999999,0.06125,0.13,0.0989999999999999,0.98125,0.173,0.204,0.11775,0.10075,0.1059999999999999,0.1312499999999999,0.1375,0.031,0.0414999999999999,0.0735,0.215,0.0632499999999999,0.04575,0.069,0.0755,0.0637499999999999,0.0822499999999999,0.04625,0.17375,0.0979999999999999,0.24825,0.1855,0.2075,0.10275,0.0574999999999999,0.11125,0.05175,0.0339999999999999,0.11825,0.0672499999999999,0.0682499999999999,0.03725,0.0797499999999999,0.0742499999999999,0.0905,0.0795,0.0737499999999999,0.0665,0.0454999999999999,0.0605,0.0815,0.0775,0.12225,0.0817499999999999,0.0559999999999999,0.0434999999999999,0.0692499999999999,0.0474999999999999,0.064,0.04525,0.04925,0.0237499999999999,0.0637499999999999,0.0155,0.079,0.15175,0.0765,0.0954999999999999,0.0717499999999999,0.0767499999999999,0.144,0.0285,0.0845,0.10325,0.076,0.04475,0.03375,0.0439999999999999,0.0379999999999999,0.0172499999999999,0.0374999999999999,0.019,0.0277499999999999,0.019,0.05975,0.0237499999999999,0.0235
