movieId,predictable,original,weapons,fight scenes,vengeance,betrayal,teen movie,runaway,good,first contact,catastrophe,mentor,death,weird,chase,pornography,fantasy world,remake,dialogue,culture clash,adaptation,family,drama,greed,light,melancholic,not funny,very funny,fun movie,life philosophy,sexy,life & death,hospital,nudity (full frontal - brief),camp,transformation,mad scientist,writers,stereotypes,internet,creativity,quirky,pulp,dysfunctional family,absurd,computer animation,survival,sacrifice,multiple storylines,independent film,classic car,immortality,alter ego,drinking,women,surveillance,doctors,childhood,unlikely friendships,unlikeable characters,queer,new jersey,goth,farce,kidnapping,god,underrated,dreams,island,california,memory,too long,road movie,irish accent,notable nudity,nudity (rear),80s,small town,graphic novel,censorship,awesome soundtrack,alternate history,blindness,reality tv,prejudice,no plot,hip hop,ghosts/afterlife,film noir,islam,hotel,nudity (topless - brief),atheism,stand-up comedy,adoption,trilogy,stoner movie,prison,british,simple,kick-butt women,tokyo,divorce,addiction,bollywood,shopping,period piece,good music,snakes,made for tv,indians,foul language,new york city,brothers,fashion,workplace,texas,los angeles,cancer,wilderness,single father,wartime,interracial romance,too short,directorial debut,desert,race,radio,best of 2005,finnish,ensemble cast,homeless,san francisco,russian,time,robert downey jr,hunting,lawyer,1930s,prostitution,australia,buddy movie,potential oscar nom,father daughter relationship,wine,rebellion,oil,french,documentary
Lord of Illusions (1995),0.59975,0.68875,0.59975,0.3379999999999999,0.60925,0.60025,0.2155,0.7205,0.6415,0.59975,0.4117499999999999,0.62475,0.60675,0.9365,0.407,0.68175,0.992,0.0449999999999999,0.48975,0.32325,0.44475,0.16725,0.2304999999999999,0.48975,0.32425,0.35175,0.32875,0.264,0.2017499999999999,0.305,0.246,0.1902499999999999,0.2385,0.8779999999999999,0.25675,0.39025,0.312,0.371,0.0822499999999999,0.182,0.24475,0.266,0.27475,0.17625,0.16675,0.16175,0.143,0.3435,0.2125,0.21625,0.2319999999999999,0.2995,0.21825,0.1935,0.11375,0.1134999999999999,0.1785,0.1392499999999999,0.142,0.0489999999999999,0.1327499999999999,0.145,0.4772499999999999,0.10975,0.2314999999999999,0.2664999999999999,0.4135,0.11575,0.0802499999999999,0.1765,0.1054999999999999,0.15725,0.1009999999999999,0.2135,0.1054999999999999,0.189,0.21175,0.14475,0.1937499999999999,0.11775,0.26125,0.10425,0.178,0.0374999999999999,0.0627499999999999,0.12275,0.0757499999999999,0.3562499999999999,0.51975,0.10425,0.118,0.1877499999999999,0.2664999999999999,0.09225,0.0767499999999999,0.05525,0.0954999999999999,0.087,0.0847499999999999,0.0852499999999999,0.0675,0.09075,0.0504999999999999,0.077,0.04075,0.05725,0.05325,0.0762499999999999,0.1465,0.059,0.05225,0.03225,0.1272499999999999,0.0825,0.0825,0.1049999999999999,0.06075,0.3329999999999999,0.04475,0.075,0.0267499999999999,0.0725,0.0419999999999999,0.0349999999999999,0.09675,0.278,0.03725,0.0559999999999999,0.0262499999999999,0.066,0.0772499999999999,0.0339999999999999,0.0574999999999999,0.04975,0.04375,0.0662499999999999,0.0245,0.03825,0.04775,0.05125,0.0225,0.03925,0.03225,0.04475,0.0627499999999999,0.0187499999999999,0.04275,0.0329999999999999,0.025
Hideaway (1995),0.68425,0.671,0.68425,0.579,0.587,0.48875,0.312,0.415,0.48875,0.68425,0.47075,0.50725,0.44175,0.69825,0.64125,0.273,0.355,0.0722499999999999,0.4067499999999999,0.2845,0.98125,0.3027499999999999,0.2845,0.25075,0.27325,0.28625,0.3705,0.22825,0.24225,0.398,0.3452499999999999,0.24,0.3442499999999999,0.2867499999999999,0.131,0.2674999999999999,0.152,0.268,0.1704999999999999,0.1997499999999999,0.21625,0.3125,0.24725,0.18475,0.2065,0.57,0.1185,0.3409999999999999,0.1835,0.1555,0.2244999999999999,0.0747499999999999,0.23725,0.1555,0.26075,0.48875,0.3259999999999999,0.15075,0.15,0.0434999999999999,0.1664999999999999,0.12375,0.4935,0.1004999999999999,0.23275,0.17725,0.1604999999999999,0.12,0.126,0.23625,0.1644999999999999,0.1154999999999999,0.1885,0.22825,0.147,0.2724999999999999,0.06025,0.0935,0.142,0.1004999999999999,0.128,0.1255,0.11025,0.059,0.0807499999999999,0.1392499999999999,0.06125,0.0474999999999999,0.1029999999999999,0.0865,0.092,0.1805,0.0999999999999999,0.0984999999999999,0.1684999999999999,0.04425,0.06175,0.0782499999999999,0.08775,0.073,0.15775,0.0727499999999999,0.1044999999999999,0.084,0.1089999999999999,0.0652499999999999,0.0605,0.128,0.05625,0.1175,0.0747499999999999,0.05025,0.05775,0.0627499999999999,0.0282499999999999,0.0825,0.0439999999999999,0.0519999999999999,0.0627499999999999,0.08825,0.0685,0.0549999999999999,0.0792499999999999,0.04525,0.0777499999999999,0.0605,0.04725,0.05325,0.04225,0.0647499999999999,0.0484999999999999,0.0434999999999999,0.1119999999999999,0.05325,0.04025,0.091,0.05025,0.0685,0.0504999999999999,0.0399999999999999,0.0479999999999999,0.0454999999999999,0.0925,0.0905,0.04175,0.03075,0.03175,0.0359999999999999,0.0152499999999999
Mary Shelley's Frankenstein (Frankenstein) (1994),0.634,0.731,0.3279999999999999,0.3472499999999999,0.563,0.399,0.1327499999999999,0.4157499999999999,0.579,0.362,0.44525,0.77125,0.61,0.4742499999999999,0.4067499999999999,0.243,0.3482499999999999,0.56525,0.44575,0.3814999999999999,0.97,0.22075,0.3814999999999999,0.3695,0.4157499999999999,0.40225,0.3552499999999999,0.27325,0.14775,0.50325,0.16825,0.7697499999999999,0.195,0.34875,0.1255,0.4679999999999999,0.8485,0.25475,0.11575,0.11775,0.33575,0.1887499999999999,0.16475,0.20575,0.20575,0.1485,0.2,0.23275,0.1307499999999999,0.2815,0.26975,0.41025,0.3047499999999999,0.2815,0.11975,0.0954999999999999,0.4995,0.27475,0.2259999999999999,0.0675,0.14225,0.08975,0.1745,0.131,0.05975,0.395,0.31125,0.11975,0.12175,0.1029999999999999,0.1465,0.11875,0.1089999999999999,0.1342499999999999,0.0757499999999999,0.1445,0.05625,0.09925,0.248,0.0837499999999999,0.0805,0.1455,0.2254999999999999,0.0439999999999999,0.20975,0.05575,0.0667499999999999,0.2967499999999999,0.093,0.15875,0.078,0.1977499999999999,0.14325,0.0979999999999999,0.2229999999999999,0.06075,0.0795,0.0944999999999999,0.143,0.10725,0.04025,0.0817499999999999,0.0627499999999999,0.087,0.1079999999999999,0.04675,0.45675,0.17175,0.10175,0.0944999999999999,0.0852499999999999,0.05175,0.05075,0.0969999999999999,0.05225,0.0672499999999999,0.04875,0.03,0.1262499999999999,0.128,0.03975,0.0524999999999999,0.06175,0.05825,0.0747499999999999,0.0627499999999999,0.0792499999999999,0.0339999999999999,0.0782499999999999,0.059,0.0564999999999999,0.04675,0.0822499999999999,0.0499999999999999,0.0489999999999999,0.0857499999999999,0.04975,0.04725,0.4215,0.03825,0.02975,0.0282499999999999,0.068,0.0409999999999999,0.04875,0.06175,0.0534999999999999,0.0364999999999999,0.0255
Village of the Damned (1995),0.585,0.8089999999999999,0.39025,0.369,0.544,0.544,0.311,0.485,0.3682499999999999,0.53,0.52175,0.45025,0.376,0.57175,0.3269999999999999,0.3575,0.1947499999999999,0.98075,0.3335,0.22075,0.46825,0.6715,0.2189999999999999,0.3077499999999999,0.24275,0.29925,0.3575,0.25625,0.2035,0.32525,0.15975,0.423,0.2002499999999999,0.4165,0.3485,0.366,0.28225,0.188,0.11925,0.1275,0.3505,0.21825,0.2012499999999999,0.1765,0.15725,0.1342499999999999,0.18375,0.27025,0.1755,0.1395,0.282,0.083,0.1594999999999999,0.15375,0.3702499999999999,0.1387499999999999,0.34375,0.6715,0.14475,0.05825,0.14475,0.08825,0.05375,0.1014999999999999,0.06175,0.15625,0.22325,0.1272499999999999,0.15125,0.33775,0.1624999999999999,0.09725,0.1302499999999999,0.0857499999999999,0.0827499999999999,0.1555,0.11075,0.5145,0.09475,0.14425,0.06,0.11775,0.15075,0.03925,0.22775,0.04725,0.065,0.09625,0.1225,0.0842499999999999,0.1119999999999999,0.24275,0.0775,0.1079999999999999,0.1352499999999999,0.0287499999999999,0.084,0.0777499999999999,0.0825,0.09675,0.0524999999999999,0.1099999999999999,0.0725,0.0682499999999999,0.0822499999999999,0.04225,0.1397499999999999,0.15425,0.0822499999999999,0.089,0.0885,0.0539999999999999,0.0494999999999999,0.0855,0.05225,0.0595,0.0712499999999999,0.0399999999999999,0.03925,0.08,0.059,0.06025,0.08675,0.0484999999999999,0.0559999999999999,0.1367499999999999,0.09,0.04425,0.0494999999999999,0.04275,0.05025,0.028,0.0615,0.0459999999999999,0.0334999999999999,0.0379999999999999,0.04675,0.03525,0.0529999999999999,0.05175,0.0652499999999999,0.03,0.05875,0.0282499999999999,0.0339999999999999,0.0292499999999999,0.0339999999999999,0.0324999999999999,0.0227499999999999
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",0.8999999999999999,0.8342499999999999,0.8999999999999999,0.35,0.4885,0.3165,0.551,0.3735,0.626,0.36375,0.4097499999999999,0.47975,0.58725,0.4075,0.585,0.2564999999999999,0.4489999999999999,0.518,0.2995,0.3502499999999999,0.28525,0.1795,0.3502499999999999,0.3502499999999999,0.23375,0.2544999999999999,0.3442499999999999,0.24325,0.4379999999999999,0.255,0.1175,0.31,0.686,0.22925,0.207,0.4034999999999999,0.31675,0.2967499999999999,0.1297499999999999,0.14775,0.368,0.1855,0.1267499999999999,0.175,0.2284999999999999,0.14075,0.1039999999999999,0.1564999999999999,0.1579999999999999,0.15675,0.18625,0.28825,0.31575,0.12,0.11275,0.12325,0.393,0.201,0.147,0.0645,0.141,0.20375,0.0755,0.1139999999999999,0.1594999999999999,0.08675,0.21325,0.8327500000000001,0.10275,0.2045,0.154,0.122,0.11475,0.124,0.0632499999999999,0.0687499999999999,0.0994999999999999,0.149,0.03125,0.267,0.066,0.10375,0.1004999999999999,0.1322499999999999,0.11625,0.04875,0.1159999999999999,0.17825,0.09275,0.11625,0.1195,0.2065,0.06225,0.15,0.0615,0.1337499999999999,0.0705,0.077,0.0564999999999999,0.06075,0.04725,0.1124999999999999,0.0519999999999999,0.12425,0.0822499999999999,0.04025,0.04775,0.0772499999999999,0.24625,0.0857499999999999,0.05525,0.04275,0.05775,0.0697499999999999,0.0574999999999999,0.0685,0.1124999999999999,0.1629999999999999,0.04825,0.0835,0.0489999999999999,0.0479999999999999,0.0454999999999999,0.04525,0.0605,0.04625,0.04625,0.05525,0.05425,0.0399999999999999,0.05675,0.0672499999999999,0.05575,0.0379999999999999,0.074,0.0847499999999999,0.05075,0.03025,0.04375,0.0474999999999999,0.0275,0.0344999999999999,0.12275,0.03425,0.03725,0.0207499999999999,0.03125,0.0287499999999999,0.03175
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),0.96675,0.7597499999999999,0.96675,0.57175,0.52575,0.408,0.16975,0.2624999999999999,0.531,0.505,0.531,0.85425,0.41325,0.28025,0.553,0.437,0.524,0.43975,0.3542499999999999,0.24575,0.25725,0.25,0.2375,0.22925,0.16225,0.262,0.31525,0.23225,0.3045,0.3027499999999999,0.437,0.1649999999999999,0.4075,0.545,0.23425,0.24775,0.16225,0.236,0.123,0.16625,0.1942499999999999,0.2015,0.2115,0.14075,0.1584999999999999,0.174,0.0979999999999999,0.2299999999999999,0.28625,0.11575,0.1885,0.9945,0.2784999999999999,0.10875,0.17275,0.145,0.175,0.1367499999999999,0.15225,0.04125,0.15525,0.11725,0.0504999999999999,0.1154999999999999,0.24925,0.0817499999999999,0.10025,0.08725,0.1624999999999999,0.08775,0.1387499999999999,0.10375,0.0682499999999999,0.1385,0.1392499999999999,0.4935,0.1164999999999999,0.05975,0.0334999999999999,0.437,0.151,0.1535,0.084,0.083,0.09525,0.084,0.09125,0.09325,0.10475,0.1185,0.084,0.12325,0.05625,0.0795,0.21175,0.20725,0.067,0.077,0.0712499999999999,0.061,0.09825,0.21475,0.10325,0.09875,0.0755,0.09775,0.0675,0.0752499999999999,0.05225,0.1257499999999999,0.0775,0.05525,0.5885,0.05075,0.06225,0.082,0.03975,0.0827499999999999,0.0584999999999999,0.0364999999999999,0.0574999999999999,0.0635,0.1019999999999999,0.04625,0.0539999999999999,0.11175,0.0494999999999999,0.0509999999999999,0.03175,0.015,0.05375,0.04775,0.0695,0.0705,0.09025,0.04575,0.0652499999999999,0.0359999999999999,0.0459999999999999,0.09425,0.04225,0.03475,0.0569999999999999,0.0314999999999999,0.025,0.03,0.04875,0.0434999999999999,0.0167499999999999
Bad Girls (1994),0.5955,0.689,0.44925,0.5955,0.597,0.44225,0.568,0.4715,0.4659999999999999,0.32725,0.4405,0.512,0.33625,0.2965,0.707,0.35775,0.3355,0.1164999999999999,0.37575,0.496,0.2445,0.28075,0.22975,0.24175,0.3105,0.2965,0.3675,0.243,0.35,0.35375,0.4325,0.26175,0.1664999999999999,0.298,0.40425,0.2925,0.1405,0.2955,0.4882499999999999,0.3542499999999999,0.1932499999999999,0.1887499999999999,0.23625,0.14725,0.176,0.17425,0.16175,0.2554999999999999,0.22075,0.11975,0.3305,0.10075,0.184,0.265,0.94725,0.1377499999999999,0.1225,0.389,0.2875,0.04625,0.17375,0.11725,0.069,0.11675,0.132,0.0832499999999999,0.212,0.18225,0.15725,0.15825,0.2045,0.082,0.3169999999999999,0.1694999999999999,0.11725,0.4075,0.09425,0.1307499999999999,0.03725,0.10375,0.1185,0.15925,0.14925,0.0419999999999999,0.09475,0.2345,0.12225,0.0944999999999999,0.10375,0.14525,0.1435,0.27025,0.0832499999999999,0.121,0.1365,0.0732499999999999,0.076,0.083,0.0757499999999999,0.1435,0.25175,0.0777499999999999,0.1265,0.06125,0.09275,0.14625,0.09025,0.0787499999999999,0.0645,0.061,0.16325,0.0667499999999999,0.0672499999999999,0.061,0.08925,0.0837499999999999,0.3445,0.05975,0.05975,0.242,0.1185,0.0627499999999999,0.21125,0.0787499999999999,0.0645,0.15625,0.05525,0.05375,0.0255,0.03775,0.05775,0.0584999999999999,0.0655,0.0697499999999999,0.04675,0.04275,0.0439999999999999,0.0389999999999999,0.05225,0.63025,0.0469999999999999,0.02975,0.04625,0.05375,0.0262499999999999,0.0324999999999999,0.0605,0.03175,0.018
Body Snatchers (1993),0.7577499999999999,0.731,0.68825,0.4277499999999999,0.4155,0.3745,0.31375,0.4625,0.6175,0.7577499999999999,0.7577499999999999,0.43975,0.16425,0.392,0.3542499999999999,0.364,0.184,0.95025,0.4495,0.353,0.6325,0.3662499999999999,0.3299999999999999,0.4792499999999999,0.37875,0.3512499999999999,0.3632499999999999,0.237,0.268,0.2877499999999999,0.31,0.18075,0.23225,0.382,0.267,0.66025,0.6315,0.1962499999999999,0.1235,0.09175,0.2544999999999999,0.1955,0.14925,0.25775,0.20625,0.142,0.1659999999999999,0.247,0.1725,0.2385,0.1684999999999999,0.1435,0.1347499999999999,0.1589999999999999,0.15725,0.1932499999999999,0.30225,0.1235,0.177,0.091,0.1245,0.1089999999999999,0.05125,0.12375,0.0484999999999999,0.1515,0.2264999999999999,0.0842499999999999,0.1545,0.2875,0.1069999999999999,0.0845,0.08725,0.1084999999999999,0.11325,0.212,0.0855,0.2754999999999999,0.04975,0.14275,0.0549999999999999,0.1257499999999999,0.11875,0.0235,0.1825,0.0935,0.062,0.0469999999999999,0.17725,0.1594999999999999,0.08925,0.23525,0.0944999999999999,0.1159999999999999,0.081,0.0212499999999999,0.0807499999999999,0.0777499999999999,0.0832499999999999,0.0632499999999999,0.0667499999999999,0.1927499999999999,0.06075,0.1287499999999999,0.086,0.0262499999999999,0.1074999999999999,0.09025,0.2445,0.0787499999999999,0.0925,0.04925,0.0514999999999999,0.0732499999999999,0.05275,0.05725,0.065,0.04625,0.0369999999999999,0.0949999999999999,0.0647499999999999,0.0569999999999999,0.134,0.0827499999999999,0.0752499999999999,0.1925,0.1267499999999999,0.04625,0.05575,0.0215,0.0707499999999999,0.0287499999999999,0.351,0.05875,0.05675,0.0429999999999999,0.08675,0.03225,0.0677499999999999,0.0454999999999999,0.03375,0.03375,0.0459999999999999,0.0812499999999999,0.0374999999999999,0.1624999999999999,0.0807499999999999,0.0282499999999999,0.0324999999999999
"Next Karate Kid, The (1994)",0.7325,0.7395,0.66225,0.66025,0.5515,0.344,0.8492500000000001,0.377,0.44875,0.3179999999999999,0.4167499999999999,0.90725,0.24325,0.2299999999999999,0.37375,0.191,0.3085,0.203,0.34175,0.344,0.26275,0.5415,0.344,0.20475,0.288,0.22975,0.293,0.25,0.261,0.296,0.13,0.17925,0.1589999999999999,0.2544999999999999,0.1967499999999999,0.24325,0.09925,0.31575,0.24075,0.1952499999999999,0.141,0.248,0.24325,0.12,0.1997499999999999,0.1795,0.0642499999999999,0.144,0.1465,0.15375,0.16175,0.50025,0.18275,0.1372499999999999,0.2514999999999999,0.10725,0.09575,0.198,0.3129999999999999,0.03225,0.14425,0.147,0.05575,0.1952499999999999,0.0817499999999999,0.077,0.0695,0.1074999999999999,0.11775,0.25125,0.17275,0.193,0.0677499999999999,0.0837499999999999,0.0777499999999999,0.14925,0.1337499999999999,0.0725,0.0519999999999999,0.0605,0.1292499999999999,0.1322499999999999,0.0615,0.04325,0.12025,0.1322499999999999,0.1735,0.0775,0.1109999999999999,0.10825,0.0682499999999999,0.0584999999999999,0.065,0.11125,0.178,0.2624999999999999,0.0574999999999999,0.0817499999999999,0.0647499999999999,0.10725,0.16425,0.0805,0.0969999999999999,0.05825,0.0775,0.136,0.071,0.0702499999999999,0.03775,0.0875,0.12275,0.04275,0.21625,0.0645,0.0662499999999999,0.0765,0.0434999999999999,0.05975,0.0459999999999999,0.04525,0.11675,0.062,0.16475,0.0964999999999999,0.0615,0.0419999999999999,0.04375,0.063,0.0277499999999999,0.0334999999999999,0.0474999999999999,0.04375,0.0647499999999999,0.06175,0.1079999999999999,0.0255,0.0227499999999999,0.0354999999999999,0.0579999999999999,0.0677499999999999,0.0364999999999999,0.064,0.03625,0.0319999999999999,0.0399999999999999,0.15275,0.0479999999999999,0.03275,0.018
Candyman: Farewell to the Flesh (1995),0.68025,0.8380000000000001,0.68025,0.42425,0.61575,0.792,0.40175,0.4125,0.4842499999999999,0.295,0.4034999999999999,0.46325,0.5175,0.396,0.374,0.24725,0.3259999999999999,0.1624999999999999,0.3692499999999999,0.5635,0.2937499999999999,0.3389999999999999,0.5635,0.2594999999999999,0.15275,0.396,0.37825,0.2314999999999999,0.262,0.2714999999999999,0.1882499999999999,0.2,0.36,0.3097499999999999,0.2744999999999999,0.29425,0.2015,0.2254999999999999,0.08775,0.12025,0.31375,0.25275,0.2329999999999999,0.179,0.16725,0.1709999999999999,0.0939999999999999,0.132,0.1982499999999999,0.1435,0.2274999999999999,0.2345,0.15775,0.1084999999999999,0.12025,0.0765,0.1282499999999999,0.16625,0.1709999999999999,0.0277499999999999,0.14725,0.1034999999999999,0.062,0.1614999999999999,0.0554999999999999,0.087,0.1825,0.26075,0.08775,0.1252499999999999,0.1164999999999999,0.1019999999999999,0.119,0.08,0.05175,0.1332499999999999,0.076,0.0895,0.0695,0.1059999999999999,0.137,0.12025,0.09175,0.05175,0.0852499999999999,0.092,0.133,0.04875,0.11975,0.08975,0.1024999999999999,0.3562499999999999,0.087,0.10975,0.0755,0.0354999999999999,0.0732499999999999,0.074,0.0554999999999999,0.0775,0.06175,0.0642499999999999,0.05475,0.0825,0.0544999999999999,0.0632499999999999,0.0727499999999999,0.137,0.09025,0.0579999999999999,0.0655,0.03675,0.0554999999999999,0.072,0.0775,0.0772499999999999,0.0564999999999999,0.0665,0.05075,0.0514999999999999,0.0227499999999999,0.0459999999999999,0.06225,0.05075,0.071,0.05325,0.04625,0.1054999999999999,0.019,0.05525,0.0439999999999999,0.0379999999999999,0.0675,0.05225,0.06025,0.03675,0.0459999999999999,0.0237499999999999,0.05025,0.0489999999999999,0.03425,0.04025,0.0419999999999999,0.0287499999999999,0.03325,0.0257499999999999,0.0434999999999999,0.0245,0.0187499999999999
