movieId,period piece,adaptation,weird,good,culture clash,original,melancholic,runaway,drama,betrayal,british,greed,mentor,independent film,light,dialogue,catastrophe,drinking,vengeance,life philosophy,pornography,fantasy world,prejudice,transformation,unlikely friendships,not funny,childhood,1930s,women,chase,predictable,life & death,family,sexy,writers,very funny,teen movie,quirky,creativity,fun movie,queer,islam,fight scenes,dysfunctional family,sacrifice,death,divorce,nudity (full frontal - brief),first contact,absurd,surveillance,underrated,film noir,weapons,farce,irish accent,doctors,multiple storylines,alter ego,classic car,wartime,bollywood,interracial romance,hotel,computer animation,good music,stereotypes,censorship,immortality,small town,notable nudity,pulp,indians,memory,hospital,blindness,too long,ensemble cast,alternate history,made for tv,fashion,dreams,mad scientist,california,island,simple,awesome soundtrack,brothers,atheism,nudity (topless - brief),wine,new jersey,road movie,camp,nudity (rear),addiction,directorial debut,adoption,prison,internet,french,wilderness,new york city,survival,tokyo,best of 2005,australia,stand-up comedy,rebellion,lawyer,russian,robert downey jr,father daughter relationship,race,workplace,stoner movie,hunting,potential oscar nom,god,radio,no plot,prostitution,cancer,texas,single father,unlikeable characters,san francisco,foul language,kick-butt women,goth,shopping,finnish,desert,80s,kidnapping,hip hop,ghosts/afterlife,remake,oil,snakes,too short,graphic novel,trilogy,time,reality tv,homeless,documentary,los angeles,buddy movie
Sense and Sensibility (1995),0.9685,0.976,0.8102499999999999,0.95775,0.819,0.60175,0.8102499999999999,0.70225,0.7705,0.745,0.87425,0.50025,0.704,0.4935,0.64525,0.5505,0.507,0.4935,0.22675,0.33525,0.1907499999999999,0.22275,0.64175,0.3702499999999999,0.704,0.3269999999999999,0.50125,0.2095,0.5275,0.256,0.25375,0.52175,0.354,0.2664999999999999,0.3047499999999999,0.2204999999999999,0.54625,0.2022499999999999,0.208,0.269,0.26425,0.193,0.17425,0.3085,0.2125,0.18175,0.45225,0.272,0.1644999999999999,0.1895,0.1569999999999999,0.1805,0.1054999999999999,0.1154999999999999,0.16525,0.145,0.1485,0.14,0.1054999999999999,0.1535,0.1004999999999999,0.192,0.25775,0.14225,0.1375,0.299,0.1905,0.16675,0.1059999999999999,0.09375,0.242,0.11475,0.15675,0.0637499999999999,0.1124999999999999,0.1355,0.1257499999999999,0.09025,0.14175,0.24375,0.14975,0.09225,0.12,0.062,0.11625,0.0835,0.11525,0.137,0.18075,0.0394999999999999,0.1892499999999999,0.0605,0.064,0.0559999999999999,0.0399999999999999,0.0539999999999999,0.0827499999999999,0.12,0.0707499999999999,0.0755,0.0514999999999999,0.0787499999999999,0.0449999999999999,0.0762499999999999,0.05725,0.137,0.0635,0.065,0.0757499999999999,0.059,0.0369999999999999,0.05325,0.16425,0.0802499999999999,0.05225,0.06075,0.04825,0.0645,0.0334999999999999,0.0857499999999999,0.0464999999999999,0.0389999999999999,0.0514999999999999,0.06,0.10775,0.0319999999999999,0.05725,0.0529999999999999,0.04625,0.0237499999999999,0.0732499999999999,0.0172499999999999,0.0539999999999999,0.0464999999999999,0.0404999999999999,0.03075,0.0494999999999999,0.0235,0.1104999999999999,0.1024999999999999,0.04525,0.0222499999999999,0.03675,0.067,0.0384999999999999,0.0389999999999999,0.03775,0.0117499999999999,0.02975
Othello (1995),0.46325,0.786,0.7985,0.7985,0.7985,0.72675,0.40175,0.7985,0.7985,0.78325,0.46325,0.7985,0.6565,0.7985,0.415,0.66575,0.4639999999999999,0.7985,0.5035,0.3149999999999999,0.3585,0.288,0.3824999999999999,0.3555,0.279,0.361,0.1985,0.17925,0.1649999999999999,0.211,0.24275,0.238,0.2189999999999999,0.36375,0.1725,0.2155,0.17175,0.1907499999999999,0.22375,0.23325,0.279,0.2055,0.25825,0.21625,0.2907499999999999,0.1594999999999999,0.1069999999999999,0.3505,0.2035,0.216,0.10425,0.266,0.2214999999999999,0.1965,0.1134999999999999,0.179,0.1684999999999999,0.1564999999999999,0.25825,0.1272499999999999,0.068,0.1402499999999999,0.27025,0.0695,0.21875,0.1385,0.1574999999999999,0.2465,0.1932499999999999,0.09275,0.2817499999999999,0.1292499999999999,0.10625,0.073,0.078,0.1475,0.069,0.0984999999999999,0.22525,0.1535,0.0994999999999999,0.0715,0.16325,0.0637499999999999,0.1205,0.0915,0.1332499999999999,0.1267499999999999,0.16375,0.22725,0.06,0.09675,0.05475,0.086,0.1902499999999999,0.21425,0.11525,0.0717499999999999,0.0855,0.0885,0.0409999999999999,0.09375,0.0672499999999999,0.0837499999999999,0.05325,0.08925,0.05425,0.05925,0.1024999999999999,0.0645,0.0459999999999999,0.202,0.075,0.12025,0.0682499999999999,0.067,0.04625,0.05225,0.062,0.0564999999999999,0.059,0.03025,0.04775,0.0514999999999999,0.0509999999999999,0.069,0.04375,0.0682499999999999,0.0755,0.0667499999999999,0.0202499999999999,0.018,0.03725,0.0715,0.0705,0.0652499999999999,0.0404999999999999,0.0529999999999999,0.0285,0.069,0.09375,0.05525,0.0409999999999999,0.0424999999999999,0.0792499999999999,0.04125,0.0295,0.03175,0.0414999999999999
Persuasion (1995),0.90775,0.98475,0.8222499999999999,0.8055000000000001,0.8222499999999999,0.5215,0.8222499999999999,0.45525,0.656,0.656,0.907,0.416,0.4247499999999999,0.45525,0.6125,0.5115,0.4575,0.32375,0.24125,0.259,0.17725,0.25,0.4725,0.5315,0.26425,0.32125,0.3115,0.1765,0.29325,0.21475,0.17425,0.186,0.26675,0.17075,0.27175,0.236,0.216,0.16725,0.24875,0.20675,0.22875,0.1365,0.23275,0.31325,0.1059999999999999,0.131,0.23975,0.2135,0.1897499999999999,0.1505,0.2015,0.20925,0.21775,0.10875,0.119,0.20725,0.1024999999999999,0.1255,0.1049999999999999,0.1604999999999999,0.09775,0.24375,0.1385,0.12475,0.12125,0.1545,0.0737499999999999,0.0939999999999999,0.10075,0.1159999999999999,0.1987499999999999,0.10525,0.0665,0.0925,0.10575,0.1355,0.0797499999999999,0.39,0.09675,0.3612499999999999,0.21475,0.05825,0.0717499999999999,0.1245,0.0905,0.09625,0.14675,0.0842499999999999,0.16825,0.0574999999999999,0.138,0.08,0.0574999999999999,0.0667499999999999,0.04175,0.0725,0.0785,0.0994999999999999,0.067,0.0705,0.0847499999999999,0.09925,0.0559999999999999,0.0815,0.05675,0.28925,0.0767499999999999,0.0647499999999999,0.0642499999999999,0.04875,0.08,0.092,0.09875,0.0504999999999999,0.062,0.05525,0.0822499999999999,0.05725,0.0374999999999999,0.077,0.0374999999999999,0.0277499999999999,0.0489999999999999,0.05475,0.03325,0.0434999999999999,0.03925,0.03,0.0595,0.0272499999999999,0.067,0.0499999999999999,0.0349999999999999,0.04275,0.0369999999999999,0.0464999999999999,0.02975,0.0117499999999999,0.1159999999999999,0.05625,0.0434999999999999,0.0127499999999999,0.09725,0.04425,0.03475,0.0257499999999999,0.0682499999999999,0.0152499999999999,0.0182499999999999
Carrington (1995),0.8325,0.8852500000000001,0.7509999999999999,0.81,0.632,0.62125,0.944,0.7509999999999999,0.632,0.42725,0.8325,0.58325,0.69375,0.632,0.3725,0.5045,0.418,0.632,0.38925,0.3635,0.635,0.2634999999999999,0.2764999999999999,0.2465,0.5905,0.36675,0.1614999999999999,0.1589999999999999,0.2734999999999999,0.258,0.1594999999999999,0.42025,0.10575,0.635,0.44725,0.197,0.0935,0.62475,0.3195,0.1169999999999999,0.46225,0.27175,0.18275,0.213,0.2012499999999999,0.18125,0.3585,0.28725,0.183,0.1709999999999999,0.1327499999999999,0.25475,0.0895,0.14125,0.144,0.1755,0.1435,0.3379999999999999,0.1195,0.0974999999999999,0.0815,0.1195,0.2219999999999999,0.1089999999999999,0.15325,0.11725,0.12075,0.0772499999999999,0.04925,0.10725,0.40375,0.1365,0.0717499999999999,0.133,0.11725,0.17275,0.119,0.077,0.0865,0.0765,0.05475,0.0802499999999999,0.11525,0.0657499999999999,0.118,0.05375,0.1064999999999999,0.12475,0.069,0.0989999999999999,0.088,0.0762499999999999,0.0785,0.128,0.15225,0.079,0.065,0.1034999999999999,0.0944999999999999,0.082,0.0817499999999999,0.1545,0.065,0.0685,0.086,0.04425,0.1305,0.0687499999999999,0.0837499999999999,0.0222499999999999,0.09775,0.04275,0.0549999999999999,0.0605,0.04825,0.0805,0.0329999999999999,0.03875,0.0339999999999999,0.03775,0.0232499999999999,0.0454999999999999,0.0707499999999999,0.05175,0.0394999999999999,0.0885,0.0549999999999999,0.04025,0.0459999999999999,0.02,0.0215,0.0474999999999999,0.05575,0.03225,0.0464999999999999,0.04325,0.0272499999999999,0.0187499999999999,0.02975,0.031,0.04325,0.03925,0.04825,0.0349999999999999,0.0534999999999999,0.0479999999999999,0.05925,0.0175,0.03
"Cry, the Beloved Country (1995)",0.22025,0.9525,0.646,0.646,0.68525,0.5995,0.5435,0.646,0.646,0.4645,0.1975,0.646,0.4599999999999999,0.646,0.24925,0.32075,0.4519999999999999,0.646,0.3485,0.26125,0.33675,0.25225,0.957,0.2002499999999999,0.2475,0.32425,0.14175,0.09825,0.1644999999999999,0.21875,0.21525,0.344,0.35075,0.12225,0.2744999999999999,0.21775,0.1044999999999999,0.1709999999999999,0.2027499999999999,0.10725,0.18075,0.2189999999999999,0.189,0.3185,0.33625,0.33525,0.03425,0.3165,0.22175,0.1725,0.10025,0.185,0.24525,0.1262499999999999,0.0615,0.2339999999999999,0.0825,0.15175,0.092,0.16125,0.10875,0.1765,0.2604999999999999,0.0755,0.1972499999999999,0.1965,0.15975,0.1267499999999999,0.04025,0.1887499999999999,0.17925,0.10775,0.2055,0.072,0.0954999999999999,0.11225,0.1405,0.0787499999999999,0.0725,0.3139999999999999,0.0334999999999999,0.0627499999999999,0.0429999999999999,0.1149999999999999,0.15575,0.0722499999999999,0.067,0.1624999999999999,0.1387499999999999,0.069,0.0324999999999999,0.16975,0.09575,0.0895,0.1149999999999999,0.14225,0.09075,0.2239999999999999,0.08875,0.063,0.0439999999999999,0.1897499999999999,0.04725,0.08625,0.0655,0.0334999999999999,0.119,0.09675,0.1375,0.05825,0.0727499999999999,0.061,0.0732499999999999,0.4097499999999999,0.0509999999999999,0.065,0.0685,0.0339999999999999,0.2002499999999999,0.0285,0.04575,0.175,0.066,0.1322499999999999,0.0772499999999999,0.0369999999999999,0.0314999999999999,0.0344999999999999,0.1034999999999999,0.0474999999999999,0.027,0.0564999999999999,0.0757499999999999,0.03825,0.066,0.0329999999999999,0.0359999999999999,0.0192499999999999,0.04575,0.03425,0.0409999999999999,0.03025,0.0464999999999999,0.0287499999999999,0.05025,0.093,0.03925,0.03575,0.029
Richard III (1995),0.94625,0.8354999999999999,0.7825,0.76525,0.82775,0.80175,0.6725,0.7825,0.82775,0.82775,0.94625,0.716,0.4505,0.716,0.52075,0.762,0.45025,0.716,0.3545,0.34875,0.3954999999999999,0.37675,0.371,0.39225,0.1957499999999999,0.3429999999999999,0.216,0.94075,0.148,0.26525,0.1307499999999999,0.2244999999999999,0.216,0.373,0.23025,0.2339999999999999,0.11975,0.27,0.28625,0.2885,0.3135,0.4004999999999999,0.24525,0.2917499999999999,0.1405,0.25125,0.14325,0.29725,0.1634999999999999,0.28225,0.197,0.30325,0.151,0.3844999999999999,0.25525,0.13,0.206,0.15925,0.3057499999999999,0.14425,0.3702499999999999,0.126,0.1302499999999999,0.1342499999999999,0.18025,0.3115,0.15925,0.2804999999999999,0.1079999999999999,0.0989999999999999,0.1382499999999999,0.1295,0.0702499999999999,0.0925,0.1225,0.11075,0.0865,0.149,0.8015000000000001,0.1405,0.071,0.08775,0.1357499999999999,0.10225,0.11375,0.0632499999999999,0.118,0.1004999999999999,0.14625,0.1039999999999999,0.10575,0.0959999999999999,0.0702499999999999,0.2189999999999999,0.067,0.21925,0.11175,0.1255,0.1185,0.08,0.0795,0.1064999999999999,0.25,0.2035,0.10275,0.32875,0.0652499999999999,0.0915,0.4775,0.04275,0.05275,0.9535,0.1367499999999999,0.063,0.087,0.0707499999999999,0.0454999999999999,0.0775,0.0797499999999999,0.04875,0.0514999999999999,0.0374999999999999,0.031,0.1129999999999999,0.03275,0.1154999999999999,0.0444999999999999,0.068,0.084,0.059,0.0107499999999999,0.03675,0.0534999999999999,0.05075,0.10175,0.0404999999999999,0.0247499999999999,0.0324999999999999,0.0692499999999999,0.09625,0.0267499999999999,0.12,0.0524999999999999,0.0439999999999999,0.05275,0.0287499999999999,0.0875,0.0212499999999999,0.0334999999999999
Angels and Insects (1995),0.8865000000000001,0.69375,0.80325,0.6455,0.80325,0.584,0.7637499999999999,0.64425,0.6915,0.3329999999999999,0.6195,0.7622500000000001,0.358,0.4812499999999999,0.37875,0.46475,0.475,0.4812499999999999,0.31925,0.3037499999999999,0.92925,0.3405,0.197,0.33025,0.19,0.30925,0.10325,0.1382499999999999,0.3359999999999999,0.22675,0.275,0.1684999999999999,0.42325,0.851,0.3844999999999999,0.207,0.1307499999999999,0.426,0.2514999999999999,0.18,0.15675,0.2199999999999999,0.18175,0.4395,0.2199999999999999,0.172,0.1569999999999999,0.3705,0.2475,0.1975,0.0817499999999999,0.2055,0.0954999999999999,0.14175,0.084,0.16125,0.1634999999999999,0.186,0.11375,0.1272499999999999,0.0822499999999999,0.137,0.202,0.17775,0.1357499999999999,0.10875,0.09575,0.57325,0.03775,0.086,0.4802499999999999,0.11875,0.11475,0.07,0.0735,0.1149999999999999,0.0772499999999999,0.0632499999999999,0.15,0.0645,0.1795,0.1079999999999999,0.068,0.0747499999999999,0.1054999999999999,0.0935,0.09175,0.09025,0.0655,0.0742499999999999,0.3209999999999999,0.077,0.05975,0.0675,0.428,0.0732499999999999,0.0775,0.23975,0.0745,0.0755,0.0725,0.0707499999999999,0.04925,0.0727499999999999,0.1342499999999999,0.05625,0.1104999999999999,0.0795,0.04225,0.0539999999999999,0.0652499999999999,0.09525,0.1995,0.09975,0.09225,0.081,0.0534999999999999,0.076,0.05125,0.0222499999999999,0.1245,0.0469999999999999,0.03425,0.0504999999999999,0.062,0.0635,0.03525,0.0605,0.0697499999999999,0.04075,0.027,0.03475,0.10325,0.0642499999999999,0.0825,0.05875,0.062,0.025,0.03725,0.0285,0.0267499999999999,0.0647499999999999,0.031,0.03,0.03325,0.0267499999999999,0.029,0.05425,0.03175
In the Bleak Midwinter (1995),0.4752499999999999,0.5315,0.699,0.68075,0.68075,0.723,0.5775,0.66475,0.66475,0.64475,0.5,0.66475,0.4725,0.66475,0.68075,0.60675,0.49875,0.66475,0.2794999999999999,0.1897499999999999,0.378,0.33875,0.312,0.3385,0.28625,0.2774999999999999,0.28075,0.15825,0.1669999999999999,0.26625,0.1907499999999999,0.64475,0.20825,0.14925,0.24475,0.3472499999999999,0.1185,0.47575,0.31675,0.2977499999999999,0.4075,0.1515,0.28425,0.74625,0.3742499999999999,0.136,0.21275,0.2865,0.20425,0.2564999999999999,0.1064999999999999,0.487,0.58975,0.1535,0.36575,0.25775,0.18275,0.3279999999999999,0.274,0.2304999999999999,0.1382499999999999,0.44775,0.11375,0.22775,0.1684999999999999,0.087,0.14575,0.14725,0.15175,0.17825,0.0735,0.0999999999999999,0.064,0.08775,0.1084999999999999,0.18025,0.0687499999999999,0.8200000000000001,0.22125,0.38425,0.0334999999999999,0.073,0.17875,0.0807499999999999,0.0655,0.0667499999999999,0.0805,0.14475,0.1164999999999999,0.1545,0.1392499999999999,0.1745,0.2279999999999999,0.1495,0.0632499999999999,0.11325,0.1624999999999999,0.1674999999999999,0.0695,0.1327499999999999,0.067,0.0627499999999999,0.0949999999999999,0.0847499999999999,0.0529999999999999,0.2045,0.3672499999999999,0.0905,0.04675,0.03875,0.04875,0.25175,0.1402499999999999,0.063,0.074,0.0747499999999999,0.04675,0.067,0.137,0.11425,0.066,0.0287499999999999,0.0715,0.0504999999999999,0.11525,0.0807499999999999,0.03375,0.1255,0.0742499999999999,0.067,0.0474999999999999,0.0484999999999999,0.0359999999999999,0.03625,0.0494999999999999,0.1225,0.025,0.016,0.05175,0.04925,0.0564999999999999,0.0195,0.0817499999999999,0.0272499999999999,0.181,0.04625,0.0514999999999999,0.0339999999999999,0.027
"Awfully Big Adventure, An (1995)",0.644,0.4367499999999999,0.74525,0.53725,0.4439999999999999,0.735,0.53225,0.3452499999999999,0.54025,0.4439999999999999,0.644,0.5195,0.4692499999999999,0.53125,0.4095,0.5445,0.40575,0.3635,0.3429999999999999,0.1475,0.518,0.4145,0.1905,0.1952499999999999,0.31875,0.3007499999999999,0.266,0.1079999999999999,0.11725,0.242,0.35675,0.2375,0.1564999999999999,0.4147499999999999,0.22975,0.26325,0.214,0.411,0.24775,0.2045,0.2835,0.1175,0.28,0.22575,0.1139999999999999,0.2594999999999999,0.068,0.39125,0.2224999999999999,0.1765,0.1405,0.1252499999999999,0.1089999999999999,0.2027499999999999,0.2584999999999999,0.17425,0.11725,0.26,0.1252499999999999,0.1277499999999999,0.0785,0.11525,0.0777499999999999,0.09,0.1735,0.0949999999999999,0.15125,0.1375,0.0812499999999999,0.11975,0.3047499999999999,0.1995,0.0805,0.11775,0.0825,0.2294999999999999,0.1337499999999999,0.09875,0.1322499999999999,0.09725,0.0212499999999999,0.1099999999999999,0.09275,0.0762499999999999,0.1139999999999999,0.084,0.0949999999999999,0.124,0.0959999999999999,0.2075,0.04675,0.1089999999999999,0.0855,0.1039999999999999,0.25475,0.11375,0.11925,0.063,0.0812499999999999,0.09425,0.0344999999999999,0.0687499999999999,0.05025,0.0574999999999999,0.172,0.04625,0.09375,0.0964999999999999,0.1079999999999999,0.0212499999999999,0.16025,0.12,0.0625,0.0595,0.09675,0.187,0.0504999999999999,0.10475,0.0825,0.04975,0.0797499999999999,0.05425,0.0369999999999999,0.059,0.0364999999999999,0.0964999999999999,0.03925,0.0745,0.0802499999999999,0.0815,0.02,0.0225,0.0267499999999999,0.0574999999999999,0.07,0.04225,0.0584999999999999,0.0252499999999999,0.0287499999999999,0.0697499999999999,0.0175,0.2584999999999999,0.04325,0.0359999999999999,0.066,0.0534999999999999,0.0314999999999999,0.021,0.0329999999999999
"Stars Fell on Henrietta, The (1995)",0.66675,0.2855,0.4525,0.53925,0.495,0.75475,0.57975,0.60575,0.4605,0.4605,0.238,0.526,0.572,0.60575,0.28525,0.281,0.45425,0.5665,0.26,0.35975,0.3492499999999999,0.295,0.358,0.312,0.2415,0.28725,0.2925,0.86825,0.146,0.24775,0.26725,0.21325,0.4185,0.1225,0.2289999999999999,0.1937499999999999,0.1312499999999999,0.403,0.2022499999999999,0.1967499999999999,0.24225,0.2754999999999999,0.1684999999999999,0.287,0.14975,0.218,0.2025,0.1975,0.25025,0.17825,0.0765,0.4257499999999999,0.11475,0.23975,0.276,0.3595,0.11675,0.2395,0.10575,0.22275,0.1049999999999999,0.375,0.0949999999999999,0.282,0.202,0.1282499999999999,0.0697499999999999,0.0672499999999999,0.0509999999999999,0.8214999999999999,0.2219999999999999,0.16175,0.2279999999999999,0.31525,0.09475,0.076,0.17525,0.136,0.0695,0.253,0.03925,0.53825,0.1345,0.4177499999999999,0.1445,0.09675,0.1282499999999999,0.086,0.3652499999999999,0.05425,0.0815,0.4569999999999999,0.263,0.1845,0.05375,0.1099999999999999,0.1195,0.124,0.0722499999999999,0.04475,0.04575,0.23875,0.0762499999999999,0.136,0.10625,0.0364999999999999,0.2724999999999999,0.07,0.09925,0.0265,0.0964999999999999,0.24075,0.15575,0.14475,0.10275,0.0835,0.1312499999999999,0.1375,0.192,0.1119999999999999,0.04225,0.04925,0.07,0.7929999999999999,0.04475,0.0374999999999999,0.0459999999999999,0.03275,0.03125,0.0419999999999999,0.0434999999999999,0.009,0.04275,0.0792499999999999,0.0544999999999999,0.0559999999999999,0.0652499999999999,0.009,0.9595,0.10725,0.0155,0.04375,0.03725,0.05525,0.1604999999999999,0.0747499999999999,0.0777499999999999,0.0595,0.02975
