movieId,drama,culture clash,good,runaway,betrayal,mentor,weird,unlikely friendships,original,independent film,melancholic,greed,life & death,drinking,catastrophe,childhood,prejudice,light,dialogue,adaptation,sacrifice,family,life philosophy,teen movie,vengeance,dysfunctional family,very funny,fun movie,predictable,death,transformation,islam,chase,good music,fight scenes,hospital,creativity,not funny,fantasy world,period piece,stereotypes,quirky,dreams,nudity (full frontal - brief),survival,pornography,first contact,doctors,bollywood,cancer,awesome soundtrack,small town,weapons,underrated,british,simple,classic car,computer animation,irish accent,writers,new jersey,brothers,surveillance,foul language,queer,women,alter ego,addiction,indians,california,nudity (topless - brief),road movie,multiple storylines,single father,absurd,memory,race,wartime,1930s,alternate history,adoption,too long,sexy,father daughter relationship,blindness,rebellion,divorce,directorial debut,atheism,80s,homeless,tokyo,radio,prison,wilderness,censorship,film noir,new york city,internet,hotel,farce,ensemble cast,interracial romance,stoner movie,god,mad scientist,pulp,workplace,best of 2005,lawyer,island,potential oscar nom,texas,hip hop,immortality,stand-up comedy,made for tv,ghosts/afterlife,san francisco,camp,time,australia,buddy movie,hunting,russian,notable nudity,los angeles,nudity (rear),robert downey jr,too short,documentary,desert,shopping,fashion,kidnapping,wine,finnish,trilogy,french,kick-butt women,reality tv,snakes,prostitution,goth,no plot,unlikeable characters,oil,graphic novel,remake
Mr. Holland's Opus (1995),0.8185,0.7045,0.78925,0.8027500000000001,0.8705,0.97775,0.53475,0.8027500000000001,0.65525,0.515,0.515,0.45325,0.70525,0.45325,0.6855,0.60325,0.3602499999999999,0.5745,0.40525,0.39525,0.6255,0.56275,0.62925,0.7565,0.52475,0.22775,0.2927499999999999,0.4712499999999999,0.3685,0.305,0.4429999999999999,0.3395,0.574,0.98725,0.353,0.3125,0.67,0.35775,0.26375,0.24975,0.3329999999999999,0.1995,0.659,0.40075,0.42125,0.1709999999999999,0.27225,0.22775,0.1084999999999999,0.3349999999999999,0.40525,0.23675,0.22975,0.24925,0.14,0.33575,0.3027499999999999,0.21125,0.1317499999999999,0.16625,0.22625,0.20875,0.2027499999999999,0.1159999999999999,0.1365,0.16675,0.25375,0.2224999999999999,0.15925,0.08825,0.10325,0.0895,0.1634999999999999,0.2877499999999999,0.2199999999999999,0.17425,0.131,0.0787499999999999,0.1024999999999999,0.2764999999999999,0.1305,0.1679999999999999,0.12375,0.0695,0.1362499999999999,0.0822499999999999,0.17525,0.093,0.09625,0.151,0.09675,0.0832499999999999,0.26425,0.10025,0.0695,0.0852499999999999,0.0765,0.1357499999999999,0.14175,0.09625,0.0825,0.05075,0.0797499999999999,0.14775,0.0539999999999999,0.1315,0.1059999999999999,0.10525,0.0817499999999999,0.05475,0.1119999999999999,0.05875,0.0915,0.36675,0.0959999999999999,0.0999999999999999,0.05375,0.11025,0.11825,0.0825,0.247,0.03325,0.062,0.03775,0.0722499999999999,0.0647499999999999,0.0494999999999999,0.0584999999999999,0.03025,0.16525,0.0287499999999999,0.04425,0.144,0.0509999999999999,0.05325,0.03425,0.04575,0.0464999999999999,0.0404999999999999,0.05325,0.04975,0.0399999999999999,0.0454999999999999,0.0364999999999999,0.10025,0.04125,0.03775,0.03475,0.0494999999999999
Immortal Beloved (1994),0.8885000000000001,0.7842499999999999,0.7842499999999999,0.71775,0.7245,0.942,0.7842499999999999,0.424,0.7215,0.687,0.7525,0.6455,0.66875,0.62125,0.4892499999999999,0.412,0.55125,0.27525,0.5765,0.4297499999999999,0.3105,0.213,0.566,0.1355,0.44625,0.1835,0.24775,0.3125,0.24,0.4735,0.395,0.55125,0.34675,0.967,0.32075,0.18675,0.5215,0.33025,0.3135,0.687,0.1262499999999999,0.24725,0.215,0.50275,0.155,0.51,0.21075,0.202,0.3552499999999999,0.15475,0.57275,0.149,0.22725,0.549,0.24675,0.1785,0.24925,0.1475,0.17875,0.31675,0.201,0.2199999999999999,0.17425,0.0989999999999999,0.1395,0.39375,0.27225,0.25075,0.123,0.09575,0.1535,0.1109999999999999,0.2175,0.04225,0.1972499999999999,0.199,0.1505,0.0805,0.11375,0.14375,0.0544999999999999,0.1372499999999999,0.3934999999999999,0.09825,0.2209999999999999,0.3175,0.075,0.11275,0.147,0.10875,0.0725,0.1154999999999999,0.12125,0.12025,0.137,0.3934999999999999,0.17725,0.0825,0.0672499999999999,0.262,0.0652499999999999,0.093,0.0695,0.16425,0.10375,0.1235,0.16125,0.065,0.11225,0.04625,0.0905,0.122,0.05925,0.2239999999999999,0.3067499999999999,0.10775,0.08775,0.2194999999999999,0.074,0.0855,0.0722499999999999,0.072,0.0662499999999999,0.06075,0.074,0.27725,0.0645,0.28325,0.1322499999999999,0.0832499999999999,0.04175,0.1034999999999999,0.05975,0.0652499999999999,0.081,0.04475,0.0715,0.0615,0.05875,0.0827499999999999,0.03325,0.0574999999999999,0.0424999999999999,0.0875,0.1004999999999999,0.089,0.0207499999999999,0.05475,0.04275
Forrest Gump (1994),0.97175,0.991,0.97625,0.96775,0.96775,0.94725,0.97175,0.96775,0.912,0.9525,0.90625,0.97175,0.972,0.7577499999999999,0.7987500000000001,0.8387500000000001,0.90575,0.893,0.99975,0.8887499999999999,0.90575,0.34175,0.66925,0.47375,0.43125,0.2867499999999999,0.721,0.77125,0.6895,0.289,0.47975,0.9525,0.65375,0.81775,0.65375,0.346,0.42625,0.3159999999999999,0.38775,0.8607499999999999,0.3299999999999999,0.361,0.56675,0.4469999999999999,0.5625,0.21075,0.6895,0.27775,0.28025,0.59275,0.731,0.25225,0.6895,0.3349999999999999,0.194,0.70075,0.3904999999999999,0.1845,0.2329999999999999,0.16175,0.2209999999999999,0.269,0.38825,0.416,0.3934999999999999,0.10625,0.2259999999999999,0.52375,0.22775,0.2269999999999999,0.2395,0.1962499999999999,0.46575,0.10525,0.25875,0.2375,0.1882499999999999,0.60625,0.1644999999999999,0.3954999999999999,0.1255,0.5735,0.119,0.0737499999999999,0.21075,0.3512499999999999,0.089,0.1385,0.1594999999999999,0.50975,0.1485,0.14975,0.2495,0.156,0.0895,0.11425,0.11075,0.1579999999999999,0.09225,0.11975,0.3129999999999999,0.12275,0.0692499999999999,0.25425,0.17225,0.3285,0.1997499999999999,0.0857499999999999,0.0755,0.0399999999999999,0.1495,0.11275,0.0979999999999999,0.0439999999999999,0.1975,0.1049999999999999,0.073,0.12275,0.15625,0.123,0.42525,0.06125,0.2837499999999999,0.10025,0.08775,0.0519999999999999,0.1882499999999999,0.0509999999999999,0.0697499999999999,0.1175,0.0324999999999999,0.1079999999999999,0.0797499999999999,0.03925,0.0524999999999999,0.0364999999999999,0.0519999999999999,0.17275,0.0349999999999999,0.0272499999999999,0.0314999999999999,0.12,0.0712499999999999,0.017,0.05975,0.0474999999999999,0.05125,0.03425,0.0319999999999999
"Bronx Tale, A (1993)",0.825,0.9215,0.9215,0.73075,0.999,0.95725,0.825,0.98025,0.7922499999999999,0.6135,0.63,0.79375,0.5615,0.522,0.56225,0.80575,0.51075,0.557,0.688,0.30125,0.379,0.26825,0.41225,0.4555,0.89225,0.26425,0.4395,0.62575,0.2534999999999999,0.3305,0.32025,0.16575,0.54225,0.6085,0.62575,0.21125,0.18575,0.3245,0.39275,0.4237499999999999,0.2185,0.198,0.263,0.253,0.282,0.2744999999999999,0.1975,0.188,0.15725,0.198,0.6085,0.2897499999999999,0.62575,0.50475,0.1465,0.287,0.4679999999999999,0.26825,0.489,0.1335,0.3369999999999999,0.236,0.431,0.3309999999999999,0.11425,0.145,0.1992499999999999,0.281,0.2035,0.3017499999999999,0.3315,0.2002499999999999,0.274,0.1405,0.08975,0.4095,0.25325,0.144,0.20875,0.14275,0.1352499999999999,0.15975,0.20775,0.129,0.1955,0.27,0.0755,0.7757499999999999,0.063,0.2204999999999999,0.081,0.14475,0.1305,0.17825,0.1094999999999999,0.0959999999999999,0.1725,0.7662500000000001,0.0732499999999999,0.1415,0.09075,0.0802499999999999,0.8560000000000001,0.27225,0.0632499999999999,0.076,0.21525,0.063,0.14725,0.1725,0.073,0.144,0.137,0.1937499999999999,0.10325,0.1119999999999999,0.0905,0.10475,0.0857499999999999,0.0797499999999999,0.1897499999999999,0.05575,0.22575,0.0615,0.09675,0.0939999999999999,0.09275,0.15225,0.0725,0.028,0.04425,0.0464999999999999,0.0539999999999999,0.0429999999999999,0.0807499999999999,0.0255,0.07,0.1505,0.03925,0.06175,0.03125,0.05125,0.0677499999999999,0.0429999999999999,0.0625,0.177,0.05775,0.0359999999999999,0.03625
With Honors (1994),0.96925,0.65075,0.8485,0.96925,0.96925,0.8975,0.5935,0.96925,0.7465,0.55575,0.679,0.38325,0.902,0.56025,0.54425,0.581,0.4535,0.427,0.3399999999999999,0.392,0.4599999999999999,0.239,0.774,0.4135,0.433,0.151,0.38175,0.35975,0.48375,0.483,0.43025,0.1669999999999999,0.54075,0.2289999999999999,0.2937499999999999,0.4014999999999999,0.27275,0.356,0.204,0.09375,0.37875,0.3305,0.3512499999999999,0.254,0.5435,0.17425,0.3145,0.30825,0.0777499999999999,0.31975,0.2289999999999999,0.185,0.2035,0.23825,0.10425,0.4435,0.2395,0.203,0.17225,0.188,0.399,0.17325,0.17625,0.09775,0.1225,0.1765,0.261,0.24725,0.0752499999999999,0.1325,0.26,0.25075,0.21525,0.2604999999999999,0.152,0.283,0.0984999999999999,0.2664999999999999,0.0717499999999999,0.1654999999999999,0.15025,0.05125,0.0939999999999999,0.0464999999999999,0.17125,0.0464999999999999,0.09425,0.0777499999999999,0.194,0.1109999999999999,0.981,0.0685,0.577,0.11975,0.14375,0.05975,0.079,0.09075,0.15175,0.0842499999999999,0.09175,0.271,0.04575,0.1945,0.075,0.18325,0.1267499999999999,0.0994999999999999,0.0212499999999999,0.04875,0.1505,0.0767499999999999,0.07,0.088,0.1952499999999999,0.0757499999999999,0.03875,0.365,0.14425,0.0852499999999999,0.2264999999999999,0.0314999999999999,0.0354999999999999,0.0647499999999999,0.079,0.09175,0.03925,0.1074999999999999,0.08775,0.187,0.0195,0.0544999999999999,0.25775,0.0217499999999999,0.03325,0.0319999999999999,0.089,0.0534999999999999,0.04025,0.0595,0.04475,0.04125,0.04725,0.0237499999999999,0.074,0.0227499999999999,0.03375,0.016,0.0832499999999999
King of the Hill (1993),0.81525,0.8062499999999999,0.78075,0.8025,0.7762500000000001,0.883,0.7545,0.9845,0.7522500000000001,0.7762500000000001,0.95925,0.59725,0.31725,0.7762500000000001,0.44775,0.8779999999999999,0.552,0.52325,0.44025,0.54725,0.552,0.4595,0.22975,0.6045,0.3854999999999999,0.435,0.408,0.4034999999999999,0.18525,0.294,0.3055,0.23875,0.36375,0.25275,0.3017499999999999,0.1307499999999999,0.47475,0.33275,0.4862499999999999,0.8525,0.1262499999999999,0.53175,0.2012499999999999,0.23025,0.36775,0.46875,0.174,0.1215,0.25725,0.0652499999999999,0.25275,0.308,0.18325,0.53675,0.32225,0.11375,0.23375,0.4595,0.2022499999999999,0.18525,0.2269999999999999,0.3595,0.1952499999999999,0.1114999999999999,0.298,0.2135,0.1525,0.131,0.27875,0.27875,0.1397499999999999,0.3129999999999999,0.1805,0.133,0.1525,0.25625,0.148,0.1382499999999999,0.96025,0.11275,0.1704999999999999,0.0845,0.1997499999999999,0.1977499999999999,0.10575,0.32325,0.068,0.242,0.071,0.1895,0.1059999999999999,0.28325,0.2135,0.1352499999999999,0.4054999999999999,0.146,0.238,0.1307499999999999,0.0959999999999999,0.8407500000000001,0.15575,0.1382499999999999,0.09625,0.16075,0.0569999999999999,0.067,0.1332499999999999,0.0797499999999999,0.08875,0.079,0.09325,0.2355,0.18475,0.0697499999999999,0.0389999999999999,0.0745,0.11925,0.14475,0.061,0.15775,0.05925,0.16975,0.0509999999999999,0.05825,0.0579999999999999,0.0775,0.05275,0.0732499999999999,0.126,0.04825,0.082,0.14725,0.0785,0.0424999999999999,0.1175,0.04325,0.02975,0.0569999999999999,0.0549999999999999,0.147,0.03775,0.0434999999999999,0.1094999999999999,0.04375,0.0657499999999999,0.0647499999999999,0.0469999999999999,0.0285,0.0137499999999999
Philadelphia (1993),0.9775,0.97075,0.9775,0.9705,0.9705,0.8382499999999999,0.9635,0.9125,0.7185,0.87025,0.776,0.8680000000000001,0.91375,0.8680000000000001,0.7665,0.2,0.7985,0.72275,0.5395,0.44675,0.7905,0.54225,0.4665,0.49975,0.4125,0.54875,0.291,0.2475,0.31025,0.79375,0.36175,0.50375,0.279,0.42525,0.2284999999999999,0.55475,0.24275,0.4077499999999999,0.203,0.38775,0.7175,0.1485,0.1009999999999999,0.40625,0.27875,0.5995,0.281,0.3565,0.22625,0.741,0.42525,0.1714999999999999,0.14925,0.32675,0.2224999999999999,0.16475,0.2022499999999999,0.1569999999999999,0.3195,0.2185,0.311,0.21925,0.1912499999999999,0.14,0.98175,0.22325,0.195,0.3155,0.0999999999999999,0.126,0.1785,0.10875,0.304,0.203,0.136,0.11025,0.16975,0.35,0.1205,0.36075,0.1257499999999999,0.2022499999999999,0.27075,0.09525,0.1674999999999999,0.0757499999999999,0.143,0.1044999999999999,0.2105,0.57875,0.1317499999999999,0.09125,0.14275,0.1185,0.0847499999999999,0.4615,0.074,0.1049999999999999,0.1144999999999999,0.1525,0.0632499999999999,0.1287499999999999,0.1825,0.0852499999999999,0.1435,0.09,0.0695,0.2935,0.2027499999999999,0.95325,0.0742499999999999,0.14625,0.074,0.07,0.0727499999999999,0.0939999999999999,0.0984999999999999,0.148,0.1245,0.09625,0.0682499999999999,0.0344999999999999,0.0685,0.0479999999999999,0.05375,0.11475,0.10025,0.0665,0.14725,0.0637499999999999,0.0429999999999999,0.0292499999999999,0.1029999999999999,0.0559999999999999,0.0242499999999999,0.02975,0.02,0.0499999999999999,0.04025,0.06075,0.174,0.06175,0.04625,0.03075,0.0479999999999999,0.03725,0.0474999999999999,0.0539999999999999,0.064
Rudy (1993),0.8485,0.8485,0.93175,0.8394999999999999,0.94075,0.976,0.8485,0.77875,0.66875,0.8394999999999999,0.3385,0.45025,0.42325,0.3095,0.65675,0.476,0.8394999999999999,0.4619999999999999,0.266,0.27375,0.8394999999999999,0.4489999999999999,0.38,0.564,0.3774999999999999,0.11625,0.25425,0.543,0.4519999999999999,0.25325,0.4054999999999999,0.638,0.402,0.11725,0.543,0.22875,0.3189999999999999,0.3735,0.3149999999999999,0.2644999999999999,0.2244999999999999,0.16525,0.92825,0.262,0.2017499999999999,0.1639999999999999,0.25225,0.2945,0.264,0.2015,0.11725,0.186,0.2209999999999999,0.21475,0.1084999999999999,0.27425,0.15425,0.184,0.24775,0.1307499999999999,0.63575,0.37825,0.14325,0.16175,0.1297499999999999,0.14625,0.28225,0.1347499999999999,0.14225,0.16725,0.0959999999999999,0.11575,0.0944999999999999,0.1927499999999999,0.14975,0.1265,0.2837499999999999,0.09675,0.1144999999999999,0.349,0.0865,0.078,0.09775,0.0742499999999999,0.1535,0.04625,0.0595,0.089,0.0735,0.1352499999999999,0.1255,0.0595,0.3605,0.11975,0.1129999999999999,0.07,0.0797499999999999,0.05725,0.204,0.0705,0.1014999999999999,0.0449999999999999,0.0494999999999999,0.0747499999999999,0.07,0.1352499999999999,0.12225,0.0742499999999999,0.03825,0.082,0.0969999999999999,0.0494999999999999,0.24475,0.1312499999999999,0.156,0.0857499999999999,0.1024999999999999,0.143,0.1175,0.1069999999999999,0.15725,0.0574999999999999,0.12325,0.0642499999999999,0.1084999999999999,0.0785,0.03925,0.0667499999999999,0.12375,0.0999999999999999,0.03525,0.03175,0.0434999999999999,0.0534999999999999,0.03625,0.05525,0.022,0.0584999999999999,0.0399999999999999,0.04925,0.0652499999999999,0.0564999999999999,0.0364999999999999,0.0369999999999999,0.0374999999999999,0.0319999999999999,0.03675,0.029,0.04275
"Saint of Fort Washington, The (1993)",0.77725,0.77725,0.6445,0.77725,0.709,0.90875,0.77925,0.7455,0.8285,0.91975,0.77925,0.77725,0.673,0.726,0.635,0.32675,0.51375,0.5135,0.518,0.431,0.369,0.26075,0.62875,0.3289999999999999,0.733,0.15525,0.534,0.2564999999999999,0.4752499999999999,0.603,0.4375,0.43325,0.3027499999999999,0.2025,0.36375,0.54475,0.27075,0.3672499999999999,0.4549999999999999,0.1225,0.25575,0.2764999999999999,0.71625,0.30025,0.552,0.3934999999999999,0.2714999999999999,0.424,0.3065,0.20475,0.2025,0.31375,0.22875,0.6885,0.2294999999999999,0.3145,0.257,0.18125,0.17125,0.3435,0.56525,0.1674999999999999,0.118,0.10525,0.28425,0.2035,0.2714999999999999,0.4185,0.0647499999999999,0.1689999999999999,0.539,0.57675,0.31,0.261,0.197,0.3409999999999999,0.1302499999999999,0.11175,0.10425,0.1287499999999999,0.09625,0.15975,0.11575,0.118,0.17275,0.1292499999999999,0.10825,0.3692499999999999,0.4629999999999999,0.46425,0.996,0.15775,0.2224999999999999,0.3335,0.17175,0.27,0.11825,0.9345,0.201,0.24925,0.4085,0.0657499999999999,0.1195,0.266,0.44625,0.29425,0.1505,0.27,0.1124999999999999,0.1887499999999999,0.172,0.1505,0.0474999999999999,0.31925,0.03325,0.0514999999999999,0.05125,0.305,0.1337499999999999,0.0697499999999999,0.26275,0.091,0.147,0.09525,0.04725,0.137,0.11275,0.18075,0.1915,0.0117499999999999,0.06025,0.2804999999999999,0.4075,0.1164999999999999,0.03975,0.024,0.3117499999999999,0.0635,0.0645,0.1129999999999999,0.25525,0.0449999999999999,0.15225,0.0615,0.0459999999999999,0.2145,0.0434999999999999,0.0314999999999999,0.0544999999999999
It's a Wonderful Life (1946),0.9695,0.9695,0.8614999999999999,0.9535,0.8935,0.9325,0.9695,0.9325,0.79375,0.7737499999999999,0.8347500000000001,0.9695,0.895,0.7737499999999999,0.51475,0.8260000000000001,0.475,0.9535,0.8347500000000001,0.45375,0.62425,0.6515,0.7495,0.2115,0.34325,0.28225,0.433,0.55425,0.3245,0.2435,0.50025,0.2339999999999999,0.4479999999999999,0.33075,0.4479999999999999,0.2304999999999999,0.36975,0.3522499999999999,0.525,0.175,0.17425,0.16575,0.649,0.271,0.30625,0.1265,0.3245,0.17675,0.1267499999999999,0.18075,0.34325,0.93825,0.3245,0.266,0.15725,0.494,0.2664999999999999,0.305,0.1614999999999999,0.1019999999999999,0.1845,0.3924999999999999,0.1932499999999999,0.141,0.14675,0.1074999999999999,0.25025,0.1337499999999999,0.13,0.2075,0.0742499999999999,0.2065,0.12,0.10575,0.1402499999999999,0.186,0.1392499999999999,0.14725,0.21375,0.305,0.078,0.4982499999999999,0.10025,0.0569999999999999,0.1307499999999999,0.0915,0.1505,0.09475,0.10175,0.1897499999999999,0.1674999999999999,0.123,0.1669999999999999,0.14525,0.0715,0.1084999999999999,0.7737499999999999,0.077,0.0832499999999999,0.1745,0.10125,0.0787499999999999,0.076,0.1372499999999999,0.23725,0.1679999999999999,0.1134999999999999,0.09225,0.05625,0.0752499999999999,0.1599999999999999,0.0334999999999999,0.10125,0.0292499999999999,0.2945,0.1044999999999999,0.119,0.1579999999999999,0.081,0.1019999999999999,0.4215,0.0469999999999999,0.14425,0.09425,0.0615,0.0227499999999999,0.03125,0.0267499999999999,0.04475,0.0747499999999999,0.0282499999999999,0.1624999999999999,0.16575,0.0459999999999999,0.0349999999999999,0.03475,0.05175,0.20475,0.0404999999999999,0.029,0.0519999999999999,0.16125,0.077,0.0215,0.0439999999999999,0.0295,0.09425,0.0225,0.0212499999999999
