movieId,islam,sacrifice,original,wartime,good,greed,drama,vengeance,period piece,weird,mentor,culture clash,catastrophe,betrayal,runaway,prejudice,melancholic,chase,fight scenes,weapons,predictable,dialogue,adaptation,surveillance,first contact,fantasy world,independent film,not funny,life philosophy,survival,unlikely friendships,fun movie,light,british,pornography,transformation,very funny,life & death,stereotypes,death,family,drinking,nudity (full frontal - brief),teen movie,irish accent,indians,camp,childhood,women,underrated,absurd,quirky,desert,alternate history,computer animation,dysfunctional family,classic car,doctors,russian,creativity,1930s,queer,pulp,interracial romance,writers,california,hospital,alter ego,island,sexy,multiple storylines,finnish,too long,brothers,rebellion,censorship,farce,internet,radio,race,new jersey,good music,prison,hotel,film noir,blindness,bollywood,road movie,memory,simple,small town,ensemble cast,texas,nudity (rear),mad scientist,notable nudity,australia,nudity (topless - brief),tokyo,awesome soundtrack,atheism,wilderness,immortality,80s,divorce,god,kidnapping,stand-up comedy,oil,adoption,made for tv,too short,foul language,graphic novel,hip hop,remake,stoner movie,hunting,dreams,san francisco,directorial debut,addiction,time,workplace,new york city,best of 2005,kick-butt women,trilogy,lawyer,no plot,fashion,snakes,french,potential oscar nom,cancer,robert downey jr,unlikeable characters,buddy movie,ghosts/afterlife,reality tv,documentary,father daughter relationship,single father,wine,homeless,shopping,prostitution,los angeles,goth
Rob Roy (1995),0.5745,0.76525,0.8527499999999999,0.1634999999999999,0.7685,0.65875,0.7685,0.7657499999999999,0.8480000000000001,0.658,0.60575,0.8527499999999999,0.476,0.77125,0.64675,0.76525,0.658,0.50275,0.52075,0.50275,0.295,0.57575,0.3379999999999999,0.433,0.1997499999999999,0.66275,0.38625,0.356,0.26775,0.146,0.1885,0.27975,0.29025,0.469,0.7075,0.29,0.29025,0.15625,0.16525,0.2664999999999999,0.30725,0.26725,0.3512499999999999,0.12475,0.794,0.305,0.064,0.1569999999999999,0.1307499999999999,0.33325,0.0747499999999999,0.155,0.15225,0.2075,0.12225,0.151,0.20325,0.16625,0.0865,0.11925,0.1709999999999999,0.205,0.1882499999999999,0.1365,0.14325,0.1169999999999999,0.08,0.1619999999999999,0.1064999999999999,0.27025,0.15075,0.0212499999999999,0.22325,0.15425,0.2145,0.09275,0.05425,0.09425,0.03125,0.0969999999999999,0.0885,0.2289999999999999,0.08875,0.08,0.0832499999999999,0.187,0.076,0.089,0.0677499999999999,0.1505,0.156,0.04825,0.11625,0.126,0.1024999999999999,0.134,0.088,0.17675,0.0657499999999999,0.1382499999999999,0.082,0.12325,0.11375,0.0915,0.05875,0.0835,0.0989999999999999,0.082,0.08725,0.06125,0.072,0.0717499999999999,0.0895,0.14875,0.05325,0.07,0.077,0.17625,0.04575,0.0647499999999999,0.059,0.072,0.04375,0.0449999999999999,0.0534999999999999,0.03975,0.10475,0.06175,0.15175,0.0722499999999999,0.0685,0.24975,0.0329999999999999,0.0584999999999999,0.09425,0.0647499999999999,0.0454999999999999,0.04475,0.0795,0.0359999999999999,0.0272499999999999,0.0262499999999999,0.0494999999999999,0.0554999999999999,0.1195,0.0334999999999999,0.06,0.0414999999999999,0.1599999999999999
Beyond Rangoon (1995),0.90525,0.671,0.63575,0.10775,0.486,0.486,0.5305,0.5045,0.60975,0.471,0.525,0.5305,0.53025,0.386,0.471,0.60175,0.5305,0.3299999999999999,0.216,0.2239999999999999,0.39825,0.3675,0.24025,0.1195,0.39825,0.22475,0.5305,0.3662499999999999,0.3145,0.3482499999999999,0.29525,0.133,0.1629999999999999,0.1335,0.2574999999999999,0.36575,0.2435,0.3229999999999999,0.1425,0.20875,0.1629999999999999,0.36475,0.2887499999999999,0.17775,0.27975,0.61225,0.0805,0.1089999999999999,0.2289999999999999,0.33125,0.09225,0.1624999999999999,0.1275,0.1292499999999999,0.17075,0.1392499999999999,0.141,0.33775,0.0782499999999999,0.129,0.0807499999999999,0.122,0.1342499999999999,0.10225,0.11925,0.133,0.22675,0.0815,0.0994999999999999,0.14775,0.136,0.04175,0.09425,0.12325,0.12225,0.083,0.06125,0.12175,0.05525,0.17975,0.14675,0.148,0.118,0.18225,0.09225,0.1584999999999999,0.1019999999999999,0.14775,0.144,0.1525,0.202,0.04275,0.1465,0.11975,0.0915,0.1039999999999999,0.11925,0.1337499999999999,0.11475,0.10125,0.1937499999999999,0.05675,0.05925,0.0777499999999999,0.0389999999999999,0.1154999999999999,0.05775,0.0605,0.05875,0.0954999999999999,0.091,0.068,0.05525,0.0324999999999999,0.0939999999999999,0.03475,0.08925,0.0195,0.12425,0.0519999999999999,0.05925,0.04975,0.0949999999999999,0.04675,0.05375,0.03525,0.05875,0.0262499999999999,0.1109999999999999,0.0454999999999999,0.0235,0.0272499999999999,0.0379999999999999,0.05575,0.3279999999999999,0.0429999999999999,0.0364999999999999,0.0275,0.0802499999999999,0.03075,0.04475,0.04525,0.06225,0.0232499999999999,0.069,0.026,0.0459999999999999,0.0539999999999999,0.0364999999999999
First Knight (1995),0.53025,0.6225,0.68175,0.32725,0.95625,0.4559999999999999,0.31775,0.4559999999999999,0.7555000000000001,0.4882499999999999,0.475,0.68175,0.76725,0.8075000000000001,0.3445,0.6225,0.4882499999999999,0.6625,0.76725,0.532,0.76725,0.349,0.40025,0.25925,0.4825,0.72125,0.217,0.3395,0.3179999999999999,0.15925,0.203,0.262,0.22975,0.31325,0.1654999999999999,0.3047499999999999,0.26925,0.15575,0.1932499999999999,0.3435,0.3904999999999999,0.1235,0.1902499999999999,0.49075,0.275,0.27725,0.0969999999999999,0.20475,0.15425,0.17175,0.25125,0.1669999999999999,0.09175,0.38125,0.1589999999999999,0.1332499999999999,0.1377499999999999,0.1619999999999999,0.1387499999999999,0.2035,0.067,0.1362499999999999,0.16975,0.283,0.1882499999999999,0.10475,0.1272499999999999,0.123,0.12325,0.11675,0.14975,0.03575,0.0822499999999999,0.1609999999999999,0.0464999999999999,0.068,0.18425,0.41225,0.09325,0.0705,0.0827499999999999,0.062,0.08,0.10375,0.08675,0.1555,0.0732499999999999,0.0885,0.068,0.1225,0.0685,0.0449999999999999,0.05675,0.16075,0.0785,0.1004999999999999,0.0479999999999999,0.086,0.0379999999999999,0.068,0.09125,0.04975,0.3135,0.0767499999999999,0.14325,0.135,0.194,0.081,0.0359999999999999,0.05875,0.06225,0.17675,0.05075,0.0215,0.064,0.15275,0.0615,0.03375,0.087,0.0845,0.0549999999999999,0.0479999999999999,0.10375,0.0574999999999999,0.05775,0.0225,0.04775,0.06175,0.074,0.08925,0.0544999999999999,0.0449999999999999,0.03675,0.026,0.073,0.03925,0.0379999999999999,0.0222499999999999,0.1555,0.0369999999999999,0.0182499999999999,0.0287499999999999,0.0984999999999999,0.069,0.04125,0.1315,0.0389999999999999,0.0305,0.0534999999999999
Panther (1995),0.823,0.823,0.83975,0.34375,0.60975,0.75675,0.706,0.8812500000000001,0.8200000000000001,0.5475,0.83175,0.54475,0.51775,0.681,0.52725,0.67175,0.5475,0.4985,0.5765,0.499,0.45475,0.38975,0.641,0.5295,0.2927499999999999,0.31925,0.252,0.3169999999999999,0.41325,0.1992499999999999,0.2309999999999999,0.37175,0.2524999999999999,0.1907499999999999,0.62475,0.31225,0.391,0.4455,0.41525,0.4815,0.32425,0.2905,0.4297499999999999,0.38925,0.22775,0.119,0.1402499999999999,0.1937499999999999,0.37675,0.1915,0.188,0.23475,0.08975,0.21525,0.1735,0.2185,0.38925,0.09975,0.2229999999999999,0.2,0.0822499999999999,0.25275,0.15875,0.15525,0.305,0.534,0.2264999999999999,0.22475,0.25775,0.1937499999999999,0.1955,0.0489999999999999,0.1024999999999999,0.09025,0.1922499999999999,0.551,0.10575,0.26825,0.0637499999999999,0.235,0.26425,0.1392499999999999,0.13,0.087,0.09625,0.22825,0.304,0.15675,0.16375,0.11825,0.10875,0.1245,0.073,0.23425,0.0994999999999999,0.15025,0.0772499999999999,0.4525,0.09075,0.1392499999999999,0.39175,0.0677499999999999,0.5515,0.0675,0.09025,0.2294999999999999,0.3535,0.10475,0.0285,0.132,0.0235,0.0959999999999999,0.25225,0.2435,0.43,0.1545,0.1325,0.04325,0.2334999999999999,0.1357499999999999,0.15575,0.58825,0.0625,0.11725,0.0822499999999999,0.0875,0.1322499999999999,0.03925,0.1372499999999999,0.0584999999999999,0.05175,0.04375,0.0324999999999999,0.2435,0.073,0.11725,0.09775,0.10325,0.118,0.09175,0.144,0.0379999999999999,0.0474999999999999,0.04375,0.145,0.1039999999999999,0.0479999999999999,0.1372499999999999,0.0665
"Walking Dead, The (1995)",0.8454999999999999,0.7115,0.63525,0.7115,0.38325,0.297,0.297,0.66725,0.10475,0.297,0.39425,0.3095,0.43875,0.2794999999999999,0.351,0.491,0.3189999999999999,0.3067499999999999,0.29025,0.2704999999999999,0.594,0.3685,0.20675,0.4419999999999999,0.307,0.2514999999999999,0.25,0.304,0.7275,0.11875,0.21175,0.16425,0.1935,0.04425,0.378,0.22225,0.239,0.6175,0.626,0.21725,0.10975,0.17825,0.32925,0.27275,0.1402499999999999,0.1287499999999999,0.74025,0.1425,0.14375,0.1982499999999999,0.2007499999999999,0.21125,0.1604999999999999,0.16125,0.1902499999999999,0.176,0.27225,0.0974999999999999,0.10475,0.1694999999999999,0.0595,0.153,0.23775,0.15825,0.12375,0.189,0.15275,0.1044999999999999,0.1624999999999999,0.16175,0.1704999999999999,0.27375,0.1074999999999999,0.1305,0.059,0.1215,0.1599999999999999,0.3339999999999999,0.1225,0.17925,0.1932499999999999,0.0984999999999999,0.1034999999999999,0.09075,0.11475,0.05675,0.11525,0.177,0.05225,0.16075,0.1154999999999999,0.1235,0.0752499999999999,0.172,0.125,0.12375,0.03825,0.3505,0.05925,0.17275,0.05125,0.1392499999999999,0.0389999999999999,0.1674999999999999,0.0484999999999999,0.11725,0.066,0.0949999999999999,0.04725,0.0504999999999999,0.0295,0.071,0.0454999999999999,0.0989999999999999,0.4559999999999999,0.067,0.1044999999999999,0.0627499999999999,0.0852499999999999,0.0529999999999999,0.05175,0.11275,0.0217499999999999,0.0655,0.0509999999999999,0.04925,0.0665,0.03525,0.03075,0.12,0.03775,0.066,0.0277499999999999,0.03125,0.0762499999999999,0.1465,0.22325,0.0652499999999999,0.0459999999999999,0.4455,0.0324999999999999,0.04075,0.0409999999999999,0.0235,0.126,0.11725,0.06175,0.0935,0.0364999999999999
"War, The (1994)",0.8540000000000001,0.8540000000000001,0.72125,0.8540000000000001,0.72125,0.4317499999999999,0.78325,0.5475,0.20375,0.473,0.717,0.513,0.47875,0.383,0.513,0.58675,0.4625,0.27675,0.4217499999999999,0.383,0.31725,0.403,0.29725,0.14375,0.21325,0.412,0.503,0.3602499999999999,0.4085,0.1619999999999999,0.51525,0.1694999999999999,0.16025,0.1855,0.2855,0.27575,0.23125,0.266,0.2865,0.25725,0.76525,0.20825,0.238,0.4912499999999999,0.1755,0.1967499999999999,0.15125,0.7689999999999999,0.1992499999999999,0.45575,0.11325,0.207,0.0329999999999999,0.172,0.6985,0.3269999999999999,0.2027499999999999,0.11225,0.11625,0.135,0.09375,0.1569999999999999,0.1352499999999999,0.14675,0.1897499999999999,0.09925,0.154,0.10925,0.12225,0.10875,0.12175,0.0875,0.1355,0.1332499999999999,0.0569999999999999,0.05875,0.05625,0.24125,0.1659999999999999,0.10075,0.0772499999999999,0.2554999999999999,0.1034999999999999,0.0569999999999999,0.086,0.136,0.05825,0.08625,0.0852499999999999,0.22125,0.1634999999999999,0.0645,0.0717499999999999,0.1335,0.1034999999999999,0.1347499999999999,0.0419999999999999,0.139,0.0837499999999999,0.2554999999999999,0.0757499999999999,0.11775,0.05575,0.1054999999999999,0.0662499999999999,0.0682499999999999,0.05325,0.0815,0.031,0.1962499999999999,0.0474999999999999,0.0705,0.09975,0.0339999999999999,0.11175,0.05525,0.067,0.0534999999999999,0.1327499999999999,0.05525,0.10525,0.071,0.0969999999999999,0.03975,0.04925,0.0389999999999999,0.0672499999999999,0.0349999999999999,0.04425,0.065,0.04025,0.03125,0.0374999999999999,0.04675,0.0787499999999999,0.081,0.03475,0.02975,0.092,0.0404999999999999,0.0205,0.0469999999999999,0.14275,0.019,0.05175,0.029,0.03825,0.0165,0.08825
Wyatt Earp (1994),0.67025,0.67025,0.6715,0.0695,0.60425,0.5585,0.5585,0.71875,0.76525,0.889,0.69125,0.50325,0.44575,0.4165,0.50325,0.3359999999999999,0.51225,0.507,0.507,0.507,0.33775,0.3375,0.2624999999999999,0.26975,0.25025,0.3645,0.55375,0.3355,0.43425,0.2514999999999999,0.3884999999999999,0.2355,0.1569999999999999,0.08675,0.196,0.3602499999999999,0.2239999999999999,0.55375,0.0787499999999999,0.43025,0.26475,0.41225,0.2017499999999999,0.118,0.376,0.3047499999999999,0.09075,0.3007499999999999,0.17825,0.38775,0.1175,0.213,0.25675,0.1545,0.1287499999999999,0.14075,0.3065,0.1275,0.08725,0.17025,0.0549999999999999,0.1385,0.2279999999999999,0.0584999999999999,0.1892499999999999,0.24325,0.1669999999999999,0.17425,0.0865,0.1004999999999999,0.15275,0.0677499999999999,0.571,0.52625,0.05125,0.0722499999999999,0.1317499999999999,0.0984999999999999,0.062,0.0935,0.2264999999999999,0.22075,0.1169999999999999,0.1054999999999999,0.14775,0.1445,0.079,0.15425,0.0815,0.124,0.14625,0.237,0.29425,0.1225,0.084,0.07,0.0865,0.399,0.08675,0.22075,0.0524999999999999,0.1455,0.27825,0.09875,0.05375,0.11325,0.06025,0.0905,0.0479999999999999,0.0715,0.1039999999999999,0.0787499999999999,0.05825,0.04775,0.0564999999999999,0.06125,0.09775,0.10525,0.0787499999999999,0.0692499999999999,0.0559999999999999,0.1084999999999999,0.1945,0.0637499999999999,0.0792499999999999,0.04125,0.0845,0.0685,0.08,0.03775,0.04575,0.09,0.03175,0.0642499999999999,0.18275,0.083,0.0529999999999999,0.1235,0.145,0.0314999999999999,0.029,0.0334999999999999,0.0434999999999999,0.0257499999999999,0.1104999999999999,0.0354999999999999,0.1144999999999999,0.08675,0.0454999999999999
Geronimo: An American Legend (1993),0.9805,0.932,0.9805,0.294,0.57525,0.4655,0.51225,0.53275,0.98375,0.509,0.552,0.68625,0.469,0.52125,0.4655,0.58075,0.509,0.398,0.398,0.398,0.3355,0.3345,0.275,0.131,0.3355,0.27575,0.248,0.3495,0.3774999999999999,0.1955,0.28525,0.177,0.22075,0.1515,0.23625,0.311,0.22075,0.3047499999999999,0.2365,0.32225,0.194,0.2259999999999999,0.2355,0.1104999999999999,0.291,0.99325,0.13,0.16175,0.285,0.2877499999999999,0.1104999999999999,0.16825,0.26225,0.1485,0.15275,0.1285,0.1569999999999999,0.11325,0.0964999999999999,0.201,0.1069999999999999,0.1535,0.1475,0.4855,0.1322499999999999,0.24825,0.14525,0.10875,0.1024999999999999,0.0999999999999999,0.1895,0.04825,0.24275,0.1425,0.072,0.0772499999999999,0.0647499999999999,0.09125,0.078,0.23575,0.1335,0.135,0.10275,0.1009999999999999,0.0939999999999999,0.1079999999999999,0.093,0.20975,0.1505,0.072,0.1064999999999999,0.0647499999999999,0.3067499999999999,0.1659999999999999,0.29325,0.1124999999999999,0.0707499999999999,0.15875,0.0752499999999999,0.138,0.08875,0.15825,0.10575,0.1119999999999999,0.0449999999999999,0.08875,0.0715,0.0685,0.1034999999999999,0.1865,0.1362499999999999,0.083,0.02975,0.10825,0.0964999999999999,0.0424999999999999,0.0785,0.08,0.063,0.0865,0.05925,0.0707499999999999,0.0737499999999999,0.05825,0.0627499999999999,0.0282499999999999,0.09625,0.03125,0.0479999999999999,0.03675,0.079,0.0785,0.0394999999999999,0.0519999999999999,0.072,0.0514999999999999,0.0227499999999999,0.0519999999999999,0.125,0.0265,0.0374999999999999,0.0305,0.04175,0.0384999999999999,0.0464999999999999,0.03675,0.0369999999999999,0.0775,0.059
Heaven & Earth (1993),0.8915,0.8915,0.69175,0.8915,0.504,0.4685,0.50675,0.739,0.42325,0.587,0.4509999999999999,0.484,0.45075,0.4287499999999999,0.40325,0.431,0.587,0.2835,0.23075,0.264,0.303,0.3149999999999999,0.537,0.10425,0.21925,0.2684999999999999,0.592,0.35175,0.412,0.50775,0.31125,0.143,0.12025,0.0727499999999999,0.44225,0.3399999999999999,0.246,0.592,0.29,0.4067499999999999,0.254,0.26825,0.412,0.1225,0.2465,0.16375,0.24825,0.20325,0.25925,0.371,0.152,0.21775,0.13,0.1634999999999999,0.16975,0.14725,0.2259999999999999,0.191,0.1285,0.16825,0.0677499999999999,0.16375,0.141,0.144,0.236,0.27125,0.17725,0.11675,0.1164999999999999,0.15125,0.189,0.25975,0.1897499999999999,0.14475,0.0805,0.1555,0.09925,0.08975,0.1355,0.075,0.21875,0.0925,0.09175,0.084,0.0905,0.1669999999999999,0.10925,0.12275,0.066,0.2734999999999999,0.15525,0.065,0.0745,0.1019999999999999,0.088,0.089,0.1312499999999999,0.23725,0.22175,0.0847499999999999,0.1014999999999999,0.15425,0.06025,0.04725,0.10025,0.0815,0.04725,0.1069999999999999,0.0559999999999999,0.0735,0.0529999999999999,0.0827499999999999,0.03875,0.0757499999999999,0.04625,0.0444999999999999,0.11125,0.0782499999999999,0.0959999999999999,0.0559999999999999,0.1535,0.077,0.0645,0.1402499999999999,0.0692499999999999,0.0832499999999999,0.0712499999999999,0.3435,0.0549999999999999,0.0534999999999999,0.0267499999999999,0.04225,0.073,0.0529999999999999,0.082,0.0677499999999999,0.10775,0.0344999999999999,0.119,0.0384999999999999,0.0389999999999999,0.0702499999999999,0.03975,0.0314999999999999,0.072,0.04225,0.08675,0.0424999999999999,0.0429999999999999
Courage Under Fire (1996),0.9675,0.96825,0.8819999999999999,0.9675,0.8819999999999999,0.8819999999999999,0.8819999999999999,0.675,0.514,0.56275,0.633,0.58575,0.61225,0.81575,0.532,0.96825,0.505,0.67525,0.67525,0.67525,0.42325,0.3722499999999999,0.24525,0.7655000000000001,0.24275,0.25325,0.46425,0.384,0.293,0.52775,0.27975,0.2594999999999999,0.3295,0.153,0.2005,0.2845,0.258,0.38425,0.46775,0.645,0.34775,0.2475,0.237,0.3894999999999999,0.3405,0.133,0.215,0.1584999999999999,0.31775,0.3097499999999999,0.184,0.201,0.67175,0.3575,0.18325,0.22775,0.1287499999999999,0.3452499999999999,0.2264999999999999,0.125,0.0667499999999999,0.14775,0.11575,0.15075,0.1074999999999999,0.1352499999999999,0.3745,0.1272499999999999,0.10075,0.148,0.14575,0.0595,0.0605,0.27125,0.2234999999999999,0.11625,0.066,0.1305,0.32325,0.137,0.1975,0.1292499999999999,0.18075,0.0855,0.0964999999999999,0.14425,0.0837499999999999,0.0605,0.092,0.1704999999999999,0.1775,0.4267499999999999,0.187,0.1392499999999999,0.073,0.0797499999999999,0.04275,0.10075,0.065,0.0675,0.08725,0.073,0.04675,0.0509999999999999,0.10425,0.08725,0.0662499999999999,0.0782499999999999,0.0722499999999999,0.09475,0.0795,0.0895,0.1154999999999999,0.02,0.0775,0.05525,0.0772499999999999,0.1019999999999999,0.062,0.0984999999999999,0.0695,0.0697499999999999,0.0247499999999999,0.1024999999999999,0.066,0.024,0.0469999999999999,0.0399999999999999,0.2065,0.1175,0.029,0.03825,0.0384999999999999,0.03625,0.23225,0.0605,0.04075,0.085,0.09475,0.03825,0.0285,0.05775,0.09575,0.0384999999999999,0.0494999999999999,0.0632499999999999,0.0339999999999999,0.0424999999999999,0.05175
