movieId,computer animation,family,original,childhood,weird,good,runaway,light,fun movie,greed,fantasy world,culture clash,unlikely friendships,mentor,adaptation,drama,melancholic,catastrophe,chase,vengeance,very funny,dialogue,creativity,life & death,predictable,fight scenes,life philosophy,transformation,first contact,betrayal,good music,stereotypes,simple,not funny,teen movie,sacrifice,independent film,prejudice,underrated,weapons,quirky,surveillance,drinking,alter ego,british,mad scientist,farce,pornography,classic car,dysfunctional family,period piece,death,island,nudity (full frontal - brief),too short,absurd,survival,adoption,small town,awesome soundtrack,indians,pulp,queer,writers,road movie,dreams,irish accent,memory,women,doctors,1930s,sexy,alternate history,snakes,hotel,multiple storylines,california,islam,camp,film noir,hunting,hospital,brothers,divorce,wartime,80s,interracial romance,wilderness,internet,race,bollywood,censorship,single father,too long,tokyo,kidnapping,stand-up comedy,prison,ghosts/afterlife,new jersey,made for tv,directorial debut,blindness,fashion,desert,san francisco,stoner movie,new york city,buddy movie,shopping,workplace,russian,radio,no plot,trilogy,atheism,immortality,time,foul language,hip hop,oil,addiction,goth,nudity (topless - brief),kick-butt women,notable nudity,french,ensemble cast,wine,father daughter relationship,australia,rebellion,graphic novel,best of 2005,texas,homeless,potential oscar nom,nudity (rear),cancer,lawyer,god,reality tv,unlikeable characters,documentary,finnish,robert downey jr,prostitution,los angeles,remake
Toy Story (1995),0.99875,0.98575,0.93675,0.98,0.93675,0.93675,0.815,0.8747499999999999,0.87625,0.93675,0.59525,0.93675,0.92875,0.7285,0.501,0.93675,0.67625,0.68125,0.6625,0.7705,0.62925,0.7655000000000001,0.68475,0.5715,0.3505,0.6625,0.46275,0.388,0.68125,0.368,0.3462499999999999,0.4459999999999999,0.50475,0.34275,0.2189999999999999,0.4509999999999999,0.43125,0.4509999999999999,0.291,0.6625,0.3055,0.52825,0.274,0.4065,0.2209999999999999,0.5635,0.33025,0.176,0.254,0.22625,0.22425,0.1694999999999999,0.29325,0.22325,0.14525,0.1292499999999999,0.3824999999999999,0.1965,0.267,0.3622499999999999,0.15125,0.143,0.1644999999999999,0.14125,0.11075,0.24075,0.141,0.24125,0.08925,0.1735,0.14075,0.20375,0.26775,0.2385,0.151,0.14625,0.1935,0.22425,0.1395,0.134,0.066,0.1004999999999999,0.1405,0.14825,0.1277499999999999,0.202,0.08725,0.08775,0.1312499999999999,0.152,0.08,0.1139999999999999,0.08725,0.077,0.09575,0.0807499999999999,0.071,0.10175,0.11525,0.11125,0.0519999999999999,0.1629999999999999,0.0857499999999999,0.09275,0.0925,0.093,0.0795,0.0812499999999999,0.55075,0.09225,0.077,0.05275,0.1225,0.0959999999999999,0.2945,0.068,0.0272499999999999,0.2115,0.125,0.03725,0.0822499999999999,0.05925,0.0257499999999999,0.069,0.0579999999999999,0.03975,0.04575,0.1195,0.03775,0.0469999999999999,0.0364999999999999,0.16675,0.0792499999999999,0.0822499999999999,0.0705,0.0605,0.05175,0.03325,0.06075,0.0339999999999999,0.031,0.03475,0.0374999999999999,0.03925,0.0192499999999999,0.0424999999999999,0.04825,0.0409999999999999,0.022
Babe (1995),0.98725,0.98725,0.8632500000000001,0.9485,0.64525,0.929,0.64525,0.4575,0.389,0.58175,0.697,0.64525,0.929,0.47475,0.602,0.58175,0.64525,0.554,0.3275,0.58175,0.299,0.47975,0.431,0.4217499999999999,0.27125,0.358,0.294,0.26275,0.358,0.247,0.239,0.2917499999999999,0.32225,0.2867499999999999,0.3269999999999999,0.38975,0.2475,0.38975,0.1885,0.1255,0.3199999999999999,0.136,0.12,0.0885,0.25425,0.1392499999999999,0.084,0.1415,0.1307499999999999,0.21925,0.1962499999999999,0.20875,0.11775,0.2905,0.0344999999999999,0.137,0.11875,0.33575,0.1275,0.08675,0.1594999999999999,0.1282499999999999,0.17025,0.1337499999999999,0.1084999999999999,0.17225,0.1355,0.05925,0.10725,0.10675,0.0855,0.1315,0.1252499999999999,0.1327499999999999,0.0725,0.1205,0.0717499999999999,0.0944999999999999,0.0939999999999999,0.09325,0.093,0.08925,0.23175,0.0752499999999999,0.0695,0.05125,0.09875,0.10725,0.0797499999999999,0.0579999999999999,0.16475,0.082,0.086,0.0695,0.0444999999999999,0.03675,0.0752499999999999,0.0777499999999999,0.093,0.09275,0.05675,0.079,0.09975,0.0815,0.0354999999999999,0.0615,0.05925,0.0474999999999999,0.09,0.031,0.065,0.0499999999999999,0.0722499999999999,0.062,0.0655,0.0895,0.0384999999999999,0.05925,0.11325,0.0459999999999999,0.0292499999999999,0.04525,0.023,0.03725,0.05425,0.0615,0.0292499999999999,0.0364999999999999,0.029,0.0584999999999999,0.37925,0.03775,0.02975,0.0212499999999999,0.05175,0.061,0.0479999999999999,0.04025,0.0662499999999999,0.06025,0.05325,0.0344999999999999,0.0232499999999999,0.0354999999999999,0.0265,0.0369999999999999,0.03175,0.022,0.0145
Pocahontas (1995),0.9835,0.9655,0.87375,0.73575,0.384,0.87375,0.38875,0.3087499999999999,0.50275,0.56,0.827,0.66575,0.38075,0.55425,0.28525,0.4975,0.3107499999999999,0.4972499999999999,0.428,0.32075,0.246,0.45525,0.18175,0.17775,0.44725,0.23675,0.297,0.254,0.386,0.33525,0.7942499999999999,0.83125,0.2395,0.37975,0.51125,0.4995,0.148,0.358,0.26575,0.2634999999999999,0.156,0.18225,0.1335,0.11525,0.16525,0.1074999999999999,0.0787499999999999,0.178,0.1619999999999999,0.0944999999999999,0.6305,0.21525,0.23525,0.15225,0.18525,0.085,0.126,0.1714999999999999,0.1415,0.14075,0.9785,0.14625,0.15925,0.1659999999999999,0.10275,0.09075,0.1415,0.11175,0.17275,0.09075,0.0722499999999999,0.124,0.1755,0.1609999999999999,0.09525,0.14925,0.18075,0.4995,0.16775,0.092,0.15175,0.089,0.083,0.1049999999999999,0.09075,0.1332499999999999,0.4107499999999999,0.0885,0.15175,0.14525,0.12075,0.05825,0.09875,0.0775,0.05375,0.1435,0.11825,0.0785,0.0605,0.0865,0.0429999999999999,0.05275,0.0735,0.1029999999999999,0.1099999999999999,0.079,0.09025,0.059,0.0369999999999999,0.082,0.0524999999999999,0.078,0.0847499999999999,0.11375,0.0419999999999999,0.0692499999999999,0.05725,0.0605,0.05075,0.0959999999999999,0.0559999999999999,0.06125,0.0192499999999999,0.0414999999999999,0.0727499999999999,0.0665,0.0314999999999999,0.04675,0.0399999999999999,0.304,0.076,0.09625,0.03625,0.0449999999999999,0.0865,0.0334999999999999,0.03425,0.06075,0.0474999999999999,0.0672499999999999,0.0672499999999999,0.03175,0.0344999999999999,0.03375,0.0247499999999999,0.0334999999999999,0.0334999999999999,0.03825,0.064
"Jungle Book, The (1994)",0.98075,0.98075,0.7105,0.77525,0.288,0.603,0.725,0.2754999999999999,0.41025,0.674,0.45275,0.54725,0.22075,0.477,0.8815,0.4475,0.26725,0.4519999999999999,0.4495,0.46525,0.27075,0.3445,0.244,0.202,0.3195,0.4495,0.2694999999999999,0.3309999999999999,0.2324999999999999,0.31325,0.11425,0.413,0.1865,0.34025,0.25625,0.3572499999999999,0.129,0.3572499999999999,0.2865,0.4495,0.1495,0.196,0.15925,0.15675,0.59425,0.09775,0.10175,0.1709999999999999,0.15,0.178,0.2827499999999999,0.3037499999999999,0.1887499999999999,0.2299999999999999,0.1262499999999999,0.18,0.18125,0.3269999999999999,0.0657499999999999,0.0822499999999999,0.8512500000000001,0.1584999999999999,0.17775,0.10625,0.083,0.0745,0.08,0.12225,0.20475,0.18175,0.091,0.139,0.1317499999999999,0.61775,0.0827499999999999,0.2002499999999999,0.10475,0.08975,0.3672499999999999,0.0837499999999999,0.46025,0.138,0.1252499999999999,0.0692499999999999,0.05875,0.07,0.35475,0.3035,0.0857499999999999,0.082,0.17275,0.067,0.10125,0.0642499999999999,0.04525,0.05625,0.0792499999999999,0.1004999999999999,0.06125,0.09,0.072,0.062,0.08625,0.11625,0.091,0.0702499999999999,0.0677499999999999,0.0702499999999999,0.0549999999999999,0.05775,0.03575,0.05125,0.03025,0.05125,0.0584999999999999,0.0662499999999999,0.0677499999999999,0.0344999999999999,0.0459999999999999,0.0499999999999999,0.05425,0.0762499999999999,0.0242499999999999,0.05875,0.04975,0.0895,0.0255,0.16075,0.04575,0.0702499999999999,0.04875,0.06175,0.012,0.0162499999999999,0.0349999999999999,0.0735,0.028,0.066,0.05675,0.0419999999999999,0.0349999999999999,0.0329999999999999,0.03075,0.03125,0.026,0.0329999999999999,0.0707499999999999,0.0374999999999999,0.201
"Lion King, The (1994)",0.98625,0.978,0.77525,0.971,0.88225,0.8745,0.88225,0.88225,0.648,0.54625,0.69825,0.60225,0.8745,0.8242499999999999,0.50775,0.728,0.6415,0.56075,0.62475,0.6175,0.469,0.5255,0.4187499999999999,0.56225,0.31525,0.34125,0.44675,0.3834999999999999,0.2774999999999999,0.5605,0.8,0.52625,0.3625,0.33225,0.45375,0.563,0.47375,0.563,0.308,0.3159999999999999,0.14975,0.32375,0.214,0.198,0.15425,0.186,0.15075,0.16275,0.3149999999999999,0.4004999999999999,0.291,0.53375,0.2017499999999999,0.23575,0.1579999999999999,0.09125,0.3097499999999999,0.3209999999999999,0.1614999999999999,0.68675,0.42325,0.1689999999999999,0.1352499999999999,0.1084999999999999,0.155,0.1287499999999999,0.18725,0.1475,0.1614999999999999,0.121,0.137,0.1094999999999999,0.28425,0.17925,0.1292499999999999,0.12475,0.1614999999999999,0.291,0.1134999999999999,0.0989999999999999,0.1395,0.1555,0.20525,0.1164999999999999,0.1235,0.141,0.2199999999999999,0.1895,0.0792499999999999,0.17575,0.123,0.16925,0.0954999999999999,0.09225,0.0765,0.0855,0.0717499999999999,0.12425,0.1855,0.09025,0.0399999999999999,0.09025,0.1252499999999999,0.0652499999999999,0.24275,0.1972499999999999,0.1255,0.0652499999999999,0.15675,0.0842499999999999,0.05025,0.08825,0.17125,0.1362499999999999,0.0717499999999999,0.0647499999999999,0.0657499999999999,0.1159999999999999,0.062,0.09075,0.066,0.071,0.03375,0.0544999999999999,0.0384999999999999,0.04625,0.0414999999999999,0.0994999999999999,0.03925,0.083,0.0905,0.0857499999999999,0.0369999999999999,0.031,0.0702499999999999,0.07,0.0419999999999999,0.0364999999999999,0.12325,0.0655,0.03325,0.0305,0.03225,0.03025,0.0319999999999999,0.03675,0.0509999999999999,0.0364999999999999,0.0314999999999999
"Secret Adventures of Tom Thumb, The (1993)",0.93175,0.8634999999999999,0.85825,0.27825,0.94875,0.57275,0.5005,0.261,0.2269999999999999,0.6975,0.54575,0.5005,0.1897499999999999,0.40075,0.4519999999999999,0.4235,0.54125,0.419,0.2865,0.54125,0.204,0.3954999999999999,0.50875,0.62725,0.3239999999999999,0.1845,0.22325,0.45425,0.3135,0.35,0.0692499999999999,0.1387499999999999,0.16525,0.3325,0.10775,0.0959999999999999,0.6975,0.374,0.25,0.2995,0.40225,0.16675,0.4235,0.1785,0.16175,0.67775,0.09025,0.6975,0.1574999999999999,0.25475,0.0637499999999999,0.2319999999999999,0.173,0.1327499999999999,0.14875,0.22125,0.09575,0.0685,0.15325,0.1109999999999999,0.10675,0.15875,0.25925,0.14775,0.151,0.1059999999999999,0.14125,0.0847499999999999,0.14275,0.0752499999999999,0.0825,0.1094999999999999,0.0875,0.0705,0.124,0.22275,0.15875,0.16575,0.2224999999999999,0.10925,0.20825,0.14925,0.31725,0.0615,0.0974999999999999,0.0409999999999999,0.0984999999999999,0.2885,0.0735,0.0534999999999999,0.216,0.05075,0.05275,0.11325,0.208,0.10425,0.067,0.0805,0.0247499999999999,0.1029999999999999,0.0687499999999999,0.1195,0.0727499999999999,0.0319999999999999,0.0755,0.0409999999999999,0.24975,0.0559999999999999,0.0247499999999999,0.0265,0.12225,0.068,0.0344999999999999,0.1215,0.04175,0.0554999999999999,0.067,0.0349999999999999,0.04225,0.04375,0.0707499999999999,0.1589999999999999,0.0534999999999999,0.0539999999999999,0.14275,0.06225,0.068,0.0529999999999999,0.0777499999999999,0.0755,0.1402499999999999,0.0419999999999999,0.3315,0.1292499999999999,0.0662499999999999,0.1327499999999999,0.0167499999999999,0.04325,0.04675,0.0137499999999999,0.05575,0.05575,0.0835,0.0817499999999999,0.1977499999999999,0.15875,0.0677499999999999,0.0314999999999999,0.0282499999999999
Black Beauty (1994),0.81975,0.81975,0.7875000000000001,0.6425,0.9145,0.6925,0.72625,0.72625,0.27425,0.86625,0.27425,0.7875000000000001,0.5995,0.44975,0.71675,0.592,0.86625,0.4415,0.253,0.38275,0.2774999999999999,0.3105,0.2314999999999999,0.1579999999999999,0.21475,0.1927499999999999,0.21225,0.27825,0.23225,0.38275,0.15925,0.15925,0.2045,0.3642499999999999,0.1332499999999999,0.5885,0.2455,0.5885,0.1927499999999999,0.2219999999999999,0.1352499999999999,0.085,0.16675,0.1195,0.293,0.381,0.1594999999999999,0.11825,0.11825,0.1024999999999999,0.3369999999999999,0.27925,0.09075,0.21425,0.04925,0.125,0.0642499999999999,0.121,0.1059999999999999,0.1584999999999999,0.3482499999999999,0.134,0.14725,0.12475,0.084,0.138,0.1317499999999999,0.081,0.09975,0.0695,0.09525,0.1149999999999999,0.11675,0.1505,0.064,0.1302499999999999,0.05825,0.1079999999999999,0.0642499999999999,0.0885,0.04175,0.0865,0.124,0.0637499999999999,0.0647499999999999,0.09975,0.1614999999999999,0.0822499999999999,0.0755,0.076,0.1159999999999999,0.05475,0.05225,0.08875,0.04675,0.03,0.0657499999999999,0.0667499999999999,0.1215,0.0697499999999999,0.05925,0.076,0.1049999999999999,0.05225,0.067,0.05875,0.087,0.0389999999999999,0.03575,0.0479999999999999,0.0519999999999999,0.0354999999999999,0.05175,0.03925,0.04475,0.04925,0.082,0.072,0.0384999999999999,0.0414999999999999,0.025,0.05025,0.02,0.0489999999999999,0.05825,0.0595,0.0319999999999999,0.04275,0.0242499999999999,0.0404999999999999,0.0399999999999999,0.0287499999999999,0.0152499999999999,0.0222499999999999,0.0715,0.04225,0.018,0.0344999999999999,0.0787499999999999,0.0464999999999999,0.1084999999999999,0.02,0.02,0.0252499999999999,0.04825,0.0195,0.03175,0.0147499999999999,0.03475
Mrs. Doubtfire (1993),0.8202499999999999,0.98225,0.649,0.98225,0.5215,0.84575,0.5215,0.7085,0.71275,0.3435,0.27525,0.5215,0.84575,0.566,0.437,0.77675,0.5215,0.70875,0.7185,0.44175,0.96225,0.418,0.5765,0.235,0.518,0.44175,0.4205,0.39425,0.37875,0.36375,0.1415,0.31925,0.2847499999999999,0.3265,0.678,0.4127499999999999,0.264,0.2224999999999999,0.17775,0.28925,0.18725,0.2784999999999999,0.148,0.3542499999999999,0.21675,0.1699999999999999,0.7085,0.1415,0.1614999999999999,0.74525,0.243,0.28525,0.279,0.23275,0.1154999999999999,0.2724999999999999,0.14575,0.25775,0.08625,0.0805,0.11175,0.1255,0.179,0.138,0.1054999999999999,0.062,0.3705,0.11525,0.255,0.3285,0.0767499999999999,0.2445,0.2957499999999999,0.0747499999999999,0.16425,0.118,0.1129999999999999,0.09525,0.1014999999999999,0.087,0.0489999999999999,0.26075,0.129,0.946,0.0895,0.1295,0.119,0.08725,0.14975,0.074,0.09725,0.11325,0.7622500000000001,0.1094999999999999,0.0514999999999999,0.09025,0.083,0.087,0.149,0.08875,0.0444999999999999,0.0742499999999999,0.1445,0.11525,0.05575,0.7245,0.0727499999999999,0.155,0.0715,0.22975,0.2935,0.04925,0.155,0.12425,0.0399999999999999,0.0885,0.0662499999999999,0.26525,0.1525,0.1609999999999999,0.0625,0.0672499999999999,0.03125,0.0484999999999999,0.0489999999999999,0.1322499999999999,0.0979999999999999,0.03375,0.05625,0.0424999999999999,0.05475,0.0242499999999999,0.0215,0.0384999999999999,0.03725,0.0579999999999999,0.0354999999999999,0.0717499999999999,0.0715,0.14675,0.0569999999999999,0.06175,0.0379999999999999,0.0245,0.0349999999999999,0.03125,0.04725,0.03525,0.0837499999999999
Aladdin (1992),0.986,0.986,0.7802500000000001,0.96375,0.865,0.8547499999999999,0.865,0.865,0.768,0.61525,0.971,0.54775,0.5745,0.50425,0.3924999999999999,0.6585,0.54775,0.5125,0.64325,0.63575,0.58175,0.4147499999999999,0.42125,0.26625,0.286,0.42325,0.38925,0.3834999999999999,0.25,0.3665,0.76325,0.7285,0.268,0.30225,0.4135,0.2857499999999999,0.1475,0.2485,0.2917499999999999,0.42325,0.16575,0.2794999999999999,0.264,0.17625,0.16375,0.3389999999999999,0.21,0.15075,0.2524999999999999,0.16575,0.15,0.15725,0.195,0.175,0.178,0.0742499999999999,0.15825,0.1262499999999999,0.1659999999999999,0.2055,0.32725,0.16075,0.1342499999999999,0.1272499999999999,0.1282499999999999,0.15725,0.23875,0.15975,0.18375,0.14525,0.0807499999999999,0.1902499999999999,0.21175,0.39,0.17625,0.12225,0.1835,0.16325,0.10525,0.11825,0.10075,0.1307499999999999,0.142,0.23125,0.1619999999999999,0.18475,0.2155,0.0989999999999999,0.0762499999999999,0.1435,0.0959999999999999,0.0755,0.081,0.073,0.0554999999999999,0.17925,0.073,0.1425,0.26,0.09325,0.0464999999999999,0.0792499999999999,0.1079999999999999,0.10325,0.23575,0.1345,0.0812499999999999,0.0979999999999999,0.1345,0.1317499999999999,0.05525,0.09725,0.14425,0.08675,0.0595,0.05975,0.04525,0.10025,0.0369999999999999,0.09,0.1967499999999999,0.0652499999999999,0.0469999999999999,0.04675,0.05425,0.0484999999999999,0.05175,0.0514999999999999,0.0944999999999999,0.0627499999999999,0.0717499999999999,0.0549999999999999,0.03525,0.03,0.0489999999999999,0.23825,0.04125,0.0384999999999999,0.04875,0.0605,0.0267499999999999,0.02975,0.0287499999999999,0.0282499999999999,0.03,0.0424999999999999,0.0449999999999999,0.04125,0.0237499999999999
Snow White and the Seven Dwarfs (1937),0.991,0.98675,0.72575,0.6925,0.94775,0.6805,0.94775,0.94775,0.65975,0.622,0.98475,0.57975,0.548,0.4395,0.734,0.5225,0.57975,0.47775,0.51025,0.385,0.262,0.57975,0.33475,0.1679999999999999,0.2395,0.1699999999999999,0.28625,0.4515,0.2017499999999999,0.2339999999999999,0.7509999999999999,0.56475,0.68175,0.34875,0.4872499999999999,0.35575,0.15,0.35575,0.27825,0.17275,0.15025,0.1435,0.3037499999999999,0.17325,0.1735,0.2015,0.0915,0.1335,0.21175,0.1255,0.25025,0.2837499999999999,0.136,0.24925,0.0979999999999999,0.15025,0.1144999999999999,0.1312499999999999,0.1725,0.1195,0.2324999999999999,0.1699999999999999,0.3462499999999999,0.10825,0.16875,0.1465,0.1564999999999999,0.08675,0.2189999999999999,0.11975,0.49975,0.18,0.1545,0.3625,0.1335,0.1144999999999999,0.21275,0.25025,0.10075,0.17775,0.1885,0.1074999999999999,0.146,0.10125,0.089,0.1169999999999999,0.17075,0.1054999999999999,0.0782499999999999,0.0827499999999999,0.0752499999999999,0.08675,0.0802499999999999,0.09275,0.0569999999999999,0.0795,0.069,0.08675,0.09775,0.0865,0.0544999999999999,0.081,0.09775,0.14075,0.0677499999999999,0.1535,0.121,0.0549999999999999,0.04875,0.1225,0.0767499999999999,0.066,0.1129999999999999,0.08875,0.04125,0.0549999999999999,0.0827499999999999,0.0584999999999999,0.031,0.05625,0.0847499999999999,0.0682499999999999,0.0414999999999999,0.0389999999999999,0.04375,0.0524999999999999,0.0474999999999999,0.0359999999999999,0.10475,0.0625,0.04675,0.0399999999999999,0.0195,0.0275,0.05525,0.0662499999999999,0.03175,0.0354999999999999,0.0384999999999999,0.08675,0.029,0.025,0.0255,0.03425,0.016,0.0255,0.0429999999999999,0.0277499999999999,0.0242499999999999
