movieId,good,mentor,drama,betrayal,runaway,unlikely friendships,original,culture clash,catastrophe,teen movie,family,weird,melancholic,childhood,independent film,life & death,predictable,life philosophy,greed,adaptation,drinking,dysfunctional family,sacrifice,chase,prejudice,vengeance,death,dialogue,light,first contact,transformation,not funny,cancer,fantasy world,hospital,very funny,fight scenes,fun movie,women,computer animation,doctors,pornography,creativity,stereotypes,nudity (full frontal - brief),small town,quirky,underrated,single father,weapons,writers,irish accent,adoption,period piece,new jersey,islam,simple,survival,classic car,divorce,california,queer,dreams,memory,good music,interracial romance,bollywood,indians,multiple storylines,british,road movie,alter ego,surveillance,brothers,internet,sexy,absurd,race,blindness,alternate history,pulp,foul language,wartime,father daughter relationship,hotel,ghosts/afterlife,awesome soundtrack,homeless,addiction,atheism,prison,notable nudity,new york city,immortality,radio,lawyer,hip hop,san francisco,too long,island,shopping,nudity (rear),farce,god,wilderness,mad scientist,camp,workplace,stand-up comedy,1930s,nudity (topless - brief),80s,time,texas,film noir,australia,directorial debut,too short,tokyo,made for tv,stoner movie,ensemble cast,censorship,fashion,remake,russian,robert downey jr,los angeles,no plot,wine,kidnapping,finnish,reality tv,potential oscar nom,kick-butt women,buddy movie,unlikeable characters,rebellion,hunting,best of 2005,desert,oil,prostitution,goth,snakes,trilogy,documentary,french,graphic novel
Powder (1995),0.75075,0.7695000000000001,0.873,0.873,0.873,0.873,0.7415,0.5685,0.69475,0.346,0.30325,0.559,0.60425,0.46525,0.5685,0.6345,0.69475,0.659,0.3442499999999999,0.399,0.35775,0.21625,0.45375,0.3095,0.50275,0.4145,0.4925,0.4245,0.45225,0.69475,0.5405,0.3425,0.4795,0.6945,0.24175,0.26125,0.47475,0.1902499999999999,0.255,0.184,0.16175,0.8089999999999999,0.21375,0.406,0.297,0.3575,0.27475,0.3632499999999999,0.186,0.4915,0.1947499999999999,0.1365,0.11225,0.10275,0.11325,0.22725,0.292,0.40025,0.2554999999999999,0.0755,0.11375,0.16725,0.26775,0.24475,0.1327499999999999,0.1119999999999999,0.08725,0.15575,0.17925,0.0795,0.12325,0.23525,0.09775,0.0785,0.2395,0.1815,0.14425,0.138,0.24525,0.206,0.1315,0.04425,0.068,0.0657499999999999,0.06,0.29825,0.19,0.1377499999999999,0.08725,0.292,0.0807499999999999,0.0979999999999999,0.05625,0.36375,0.16425,0.0305,0.0494999999999999,0.064,0.1292499999999999,0.1674999999999999,0.0554999999999999,0.18225,0.059,0.3572499999999999,0.09575,0.23475,0.16075,0.0524999999999999,0.0984999999999999,0.065,0.091,0.0984999999999999,0.16875,0.1285,0.08625,0.06225,0.0767499999999999,0.0847499999999999,0.079,0.0722499999999999,0.0999999999999999,0.16325,0.22575,0.03725,0.0687499999999999,0.0544999999999999,0.05725,0.0359999999999999,0.0369999999999999,0.026,0.0404999999999999,0.0459999999999999,0.079,0.0544999999999999,0.0802499999999999,0.0305,0.05625,0.0772499999999999,0.148,0.0225,0.10575,0.0319999999999999,0.0319999999999999,0.2674999999999999,0.1337499999999999,0.0584999999999999,0.0292499999999999,0.0364999999999999,0.09525
Dangerous Minds (1995),0.714,0.87375,0.72125,0.64475,0.64475,0.64475,0.68,0.61575,0.5065,0.8852500000000001,0.61675,0.61575,0.29525,0.65925,0.3555,0.56475,0.44225,0.60075,0.61575,0.60275,0.3555,0.09375,0.3125,0.45275,0.4589999999999999,0.409,0.68625,0.33625,0.24775,0.3445,0.3522499999999999,0.32575,0.1619999999999999,0.34025,0.3047499999999999,0.2339999999999999,0.3622499999999999,0.37825,0.15925,0.61675,0.146,0.2254999999999999,0.3874999999999999,0.55675,0.2965,0.14875,0.1664999999999999,0.2299999999999999,0.1639999999999999,0.2987499999999999,0.2987499999999999,0.12475,0.067,0.0935,0.2294999999999999,0.201,0.23825,0.31425,0.2214999999999999,0.16575,0.0722499999999999,0.1505,0.18275,0.1835,0.17725,0.1019999999999999,0.10525,0.0949999999999999,0.1977499999999999,0.1109999999999999,0.18675,0.1917499999999999,0.155,0.09075,0.24525,0.11525,0.2155,0.2264999999999999,0.09525,0.1415,0.1325,0.4555,0.0717499999999999,0.0469999999999999,0.0765,0.2847499999999999,0.1967499999999999,0.1965,0.1925,0.0974999999999999,0.132,0.0667499999999999,0.08675,0.10075,0.1654999999999999,0.0514999999999999,0.7557499999999999,0.059,0.0707499999999999,0.3279999999999999,0.278,0.12025,0.084,0.064,0.067,0.093,0.205,0.0802499999999999,0.0875,0.0712499999999999,0.1154999999999999,0.0752499999999999,0.1367499999999999,0.0494999999999999,0.0842499999999999,0.0329999999999999,0.087,0.21625,0.0762499999999999,0.064,0.1034999999999999,0.0579999999999999,0.0944999999999999,0.04775,0.08975,0.0665,0.0544999999999999,0.0389999999999999,0.08775,0.03475,0.0364999999999999,0.0469999999999999,0.0697499999999999,0.0647499999999999,0.06175,0.0615,0.03625,0.23425,0.03075,0.0329999999999999,0.03375,0.03025,0.0584999999999999,0.0484999999999999,0.03725,0.03175,0.0252499999999999,0.0319999999999999,0.0424999999999999
Two Bits (1995),0.51875,0.73775,0.654,0.654,0.5845,0.8472500000000001,0.6285,0.4595,0.4435,0.1367499999999999,0.27275,0.4595,0.654,0.61275,0.654,0.76925,0.5195,0.1725,0.32225,0.245,0.654,0.57525,0.10725,0.265,0.18,0.386,0.49375,0.30625,0.15125,0.20325,0.2815,0.31975,0.245,0.52525,0.148,0.2694999999999999,0.51875,0.1545,0.1775,0.27275,0.26575,0.2907499999999999,0.22325,0.09475,0.207,0.09975,0.29325,0.2395,0.131,0.4555,0.17375,0.134,0.05675,0.11125,0.1704999999999999,0.16075,0.2199999999999999,0.14425,0.1644999999999999,0.0802499999999999,0.38225,0.1965,0.538,0.2694999999999999,0.283,0.11375,0.1245,0.062,0.14925,0.1109999999999999,0.2085,0.51875,0.092,0.0504999999999999,0.1689999999999999,0.09575,0.14775,0.12375,0.204,0.09175,0.1475,0.0479999999999999,0.10925,0.04775,0.1307499999999999,0.09425,0.0782499999999999,0.66025,0.125,0.0314999999999999,0.0665,0.0817499999999999,0.0979999999999999,0.05325,0.05325,0.0282499999999999,0.1935,0.0742499999999999,0.1175,0.0777499999999999,0.1815,0.19,0.05675,0.22175,0.10575,0.1392499999999999,0.12,0.1629999999999999,0.1089999999999999,0.1992499999999999,0.365,0.0707499999999999,0.08,0.0637499999999999,0.091,0.18475,0.246,0.0334999999999999,0.1185,0.03825,0.3245,0.0584999999999999,0.0795,0.0855,0.02,0.1917499999999999,0.10575,0.0539999999999999,0.0785,0.0687499999999999,0.0359999999999999,0.04075,0.0419999999999999,0.18675,0.0665,0.025,0.0595,0.0215,0.04925,0.0177499999999999,0.0717499999999999,0.2654999999999999,0.0334999999999999,0.0292499999999999,0.03225,0.0257499999999999,0.0464999999999999,0.0287499999999999,0.0339999999999999
White Squall (1996),0.6795,0.916,0.63625,0.63625,0.70425,0.973,0.6575,0.63625,0.4865,0.4675,0.3065,0.403,0.44225,0.68825,0.70425,0.473,0.38,0.32925,0.401,0.26775,0.3339999999999999,0.14475,0.70425,0.3974999999999999,0.70425,0.4762499999999999,0.26325,0.38175,0.2524999999999999,0.347,0.25875,0.3225,0.0605,0.33975,0.125,0.2375,0.3492499999999999,0.295,0.1755,0.3065,0.09875,0.3375,0.23825,0.384,0.2445,0.23675,0.1355,0.35,0.11825,0.3492499999999999,0.1064999999999999,0.2935,0.0605,0.347,0.17625,0.23275,0.141,0.56875,0.24125,0.067,0.23025,0.1255,0.25575,0.1302499999999999,0.1965,0.0832499999999999,0.0509999999999999,0.3562499999999999,0.254,0.0905,0.1059999999999999,0.15575,0.137,0.126,0.1074999999999999,0.177,0.0817499999999999,0.173,0.11075,0.17325,0.12175,0.0615,0.12325,0.0464999999999999,0.0742499999999999,0.05375,0.18425,0.064,0.0702499999999999,0.0667499999999999,0.10975,0.09625,0.04475,0.0807499999999999,0.088,0.06175,0.1144999999999999,0.0717499999999999,0.1955,0.21375,0.0319999999999999,0.21225,0.05225,0.03125,0.175,0.11975,0.18675,0.0727499999999999,0.06075,0.086,0.11325,0.1584999999999999,0.073,0.09275,0.08725,0.0807499999999999,0.05625,0.05625,0.0875,0.0949999999999999,0.1689999999999999,0.4237499999999999,0.0615,0.04825,0.03925,0.0915,0.0449999999999999,0.0399999999999999,0.0925,0.028,0.0645,0.0389999999999999,0.031,0.0727499999999999,0.0697499999999999,0.0757499999999999,0.0504999999999999,0.1495,0.0969999999999999,0.0175,0.17525,0.0419999999999999,0.0265,0.03525,0.04575,0.05175,0.0197499999999999,0.0374999999999999,0.0262499999999999
"Bridges of Madison County, The (1995)",0.98925,0.90575,0.7545,0.90575,0.7545,0.9465,0.65225,0.71975,0.569,0.3365,0.532,0.719,0.9465,0.53425,0.55225,0.71975,0.294,0.552,0.487,0.7455,0.487,0.20675,0.597,0.3269999999999999,0.17775,0.2704999999999999,0.43975,0.4317499999999999,0.4459999999999999,0.2415,0.3199999999999999,0.36175,0.1855,0.2022499999999999,0.2224999999999999,0.21325,0.17425,0.194,0.48775,0.14125,0.2095,0.3259999999999999,0.1935,0.1957499999999999,0.282,0.1947499999999999,0.2022499999999999,0.1287499999999999,0.147,0.1327499999999999,0.3097499999999999,0.09,0.1295,0.3037499999999999,0.0712499999999999,0.1205,0.4365,0.1164999999999999,0.1735,0.73,0.0712499999999999,0.1465,0.3105,0.1947499999999999,0.0765,0.25725,0.09725,0.10775,0.208,0.1345,0.15625,0.11125,0.086,0.10575,0.0994999999999999,0.3259999999999999,0.128,0.0504999999999999,0.18625,0.1485,0.1614999999999999,0.04325,0.0832499999999999,0.0484999999999999,0.17625,0.0842499999999999,0.0782499999999999,0.0414999999999999,0.0737499999999999,0.1282499999999999,0.086,0.1865,0.0544999999999999,0.0474999999999999,0.17875,0.0705,0.064,0.089,0.1569999999999999,0.09775,0.144,0.08875,0.0652499999999999,0.0252499999999999,0.11225,0.118,0.08975,0.066,0.1064999999999999,0.0837499999999999,0.10375,0.03925,0.11575,0.05625,0.08675,0.0334999999999999,0.11575,0.10525,0.079,0.0489999999999999,0.0692499999999999,0.0265,0.0574999999999999,0.0637499999999999,0.04625,0.03975,0.0295,0.03,0.05575,0.09475,0.04025,0.03675,0.03575,0.0722499999999999,0.0504999999999999,0.0277499999999999,0.03175,0.027,0.061,0.03625,0.0514999999999999,0.0252499999999999,0.05375,0.027,0.0637499999999999,0.03325,0.0319999999999999,0.03925,0.023
Frankie Starlight (1995),0.724,0.7935000000000001,0.58475,0.58475,0.58475,0.58475,0.5605,0.57125,0.4419999999999999,0.11125,0.30625,0.61025,0.61025,0.3974999999999999,0.4865,0.65975,0.2224999999999999,0.4599999999999999,0.4865,0.48675,0.4865,0.1977499999999999,0.288,0.22775,0.288,0.243,0.47875,0.2857499999999999,0.34275,0.2304999999999999,0.266,0.345,0.1967499999999999,0.6215,0.1589999999999999,0.2002499999999999,0.25525,0.204,0.14725,0.17075,0.091,0.266,0.22775,0.1034999999999999,0.1887499999999999,0.21725,0.28125,0.1935,0.0925,0.21625,0.2865,0.955,0.1302499999999999,0.2975,0.29425,0.1074999999999999,0.09525,0.123,0.139,0.085,0.0662499999999999,0.15225,0.0837499999999999,0.1034999999999999,0.0905,0.1285,0.1825,0.52625,0.152,0.1134999999999999,0.381,0.08875,0.0762499999999999,0.17725,0.0534999999999999,0.19,0.09075,0.05025,0.10175,0.1159999999999999,0.1337499999999999,0.0459999999999999,0.21025,0.08625,0.0564999999999999,0.354,0.0905,0.04325,0.0702499999999999,0.14125,0.1317499999999999,0.374,0.0692499999999999,0.0875,0.05375,0.05025,0.062,0.0369999999999999,0.0514999999999999,0.069,0.0722499999999999,0.14225,0.06025,0.14125,0.4575,0.0747499999999999,0.06025,0.11475,0.0865,0.1099999999999999,0.03125,0.077,0.0349999999999999,0.44475,0.09325,0.15975,0.0905,0.0732499999999999,0.0484999999999999,0.0529999999999999,0.0695,0.065,0.0484999999999999,0.04725,0.0215,0.092,0.04025,0.014,0.0539999999999999,0.06,0.1104999999999999,0.0605,0.03725,0.0172499999999999,0.04225,0.03175,0.0202499999999999,0.05675,0.1034999999999999,0.0125,0.03275,0.03975,0.04775,0.05475,0.0275,0.03725,0.0344999999999999,0.0964999999999999,0.0207499999999999
Up Close and Personal (1996),0.99275,0.8514999999999999,0.57475,0.78175,0.57475,0.57475,0.64975,0.4912499999999999,0.53425,0.8187500000000001,0.21125,0.31225,0.53275,0.4479999999999999,0.22375,0.2784999999999999,0.517,0.35,0.413,0.3682499999999999,0.214,0.132,0.45125,0.45575,0.2199999999999999,0.4419999999999999,0.26125,0.3485,0.295,0.39425,0.267,0.3035,0.16525,0.25175,0.26725,0.2299999999999999,0.3565,0.1992499999999999,0.2224999999999999,0.1465,0.32925,0.17725,0.17225,0.2065,0.1967499999999999,0.18675,0.2022499999999999,0.147,0.1287499999999999,0.18275,0.1629999999999999,0.23175,0.05325,0.11775,0.123,0.40325,0.14125,0.121,0.1905,0.24,0.11175,0.14125,0.207,0.10875,0.1215,0.25075,0.1365,0.208,0.23525,0.06175,0.0785,0.1589999999999999,0.248,0.12075,0.36375,0.1044999999999999,0.2574999999999999,0.14375,0.16425,0.22025,0.1265,0.0265,0.0939999999999999,0.05475,0.0835,0.21175,0.0994999999999999,0.065,0.062,0.0579999999999999,0.3045,0.0775,0.05675,0.0752499999999999,0.18475,0.141,0.0677499999999999,0.124,0.1935,0.0939999999999999,0.12,0.15375,0.078,0.0212499999999999,0.0785,0.077,0.08675,0.16125,0.06075,0.0514999999999999,0.1935,0.0895,0.083,0.0925,0.0727499999999999,0.03775,0.0549999999999999,0.179,0.0384999999999999,0.09075,0.05775,0.066,0.1074999999999999,0.0479999999999999,0.12025,0.06125,0.04675,0.04925,0.0692499999999999,0.0319999999999999,0.0319999999999999,0.0207499999999999,0.0755,0.0494999999999999,0.0539999999999999,0.029,0.04275,0.0479999999999999,0.0449999999999999,0.0504999999999999,0.075,0.04575,0.03375,0.02975,0.026,0.04425,0.021,0.023,0.0227499999999999
Three Wishes (1995),0.7717499999999999,0.9045,0.563,0.9045,0.624,0.577,0.62325,0.4105,0.52425,0.138,0.8347500000000001,0.35375,0.2674999999999999,0.827,0.624,0.4475,0.46025,0.40175,0.3864999999999999,0.17775,0.1855,0.4882499999999999,0.624,0.4855,0.624,0.369,0.3472499999999999,0.24125,0.24725,0.40275,0.23375,0.3482499999999999,0.746,0.65175,0.371,0.1997499999999999,0.239,0.16325,0.2405,0.827,0.2075,0.154,0.2524999999999999,0.25375,0.181,0.3455,0.204,0.1267499999999999,0.1892499999999999,0.23575,0.2754999999999999,0.10025,0.2925,0.3722499999999999,0.1335,0.14975,0.31725,0.24075,0.14875,0.0954999999999999,0.1375,0.14175,0.28,0.1109999999999999,0.084,0.258,0.15375,0.1669999999999999,0.119,0.061,0.23025,0.11975,0.1019999999999999,0.2065,0.1034999999999999,0.09075,0.1335,0.0797499999999999,0.0807499999999999,0.2254999999999999,0.17275,0.04225,0.09,0.05425,0.1064999999999999,0.1535,0.0449999999999999,0.1215,0.0484999999999999,0.0469999999999999,0.08675,0.0539999999999999,0.0499999999999999,0.2664999999999999,0.1654999999999999,0.11025,0.06,0.1345,0.1335,0.381,0.0727499999999999,0.0464999999999999,0.0875,0.04375,0.2345,0.14175,0.09275,0.0549999999999999,0.0792499999999999,0.086,0.089,0.11025,0.0762499999999999,0.0727499999999999,0.09325,0.04625,0.085,0.078,0.03575,0.0797499999999999,0.0509999999999999,0.05075,0.0825,0.04025,0.0857499999999999,0.11425,0.03725,0.0285,0.0984999999999999,0.022,0.04075,0.14275,0.02975,0.024,0.04525,0.022,0.0252499999999999,0.0152499999999999,0.1765,0.0265,0.0984999999999999,0.18475,0.04225,0.0267499999999999,0.359,0.018,0.0157499999999999,0.0324999999999999,0.0237499999999999
Unstrung Heroes (1995),0.63825,0.52325,0.7705,0.56475,0.56475,0.66525,0.71625,0.5345,0.436,0.12175,0.46075,0.66175,0.5215,0.51825,0.3065,0.36175,0.24725,0.2885,0.50275,0.62475,0.2817499999999999,0.78525,0.205,0.21725,0.24125,0.3722499999999999,0.413,0.46975,0.2664999999999999,0.2259999999999999,0.381,0.282,0.8425,0.28025,0.1367499999999999,0.3399999999999999,0.2175,0.1425,0.1684999999999999,0.1882499999999999,0.12175,0.22675,0.3115,0.08825,0.45175,0.22875,0.671,0.2279999999999999,0.1604999999999999,0.24475,0.17225,0.3,0.46375,0.21825,0.2355,0.1815,0.1262499999999999,0.0964999999999999,0.20975,0.0665,0.16525,0.16475,0.0964999999999999,0.1579999999999999,0.118,0.1074999999999999,0.25375,0.2855,0.187,0.12375,0.15725,0.1144999999999999,0.1124999999999999,0.3605,0.06175,0.15675,0.36075,0.10225,0.09475,0.1265,0.1505,0.1262499999999999,0.5735,0.1684999999999999,0.1024999999999999,0.03875,0.1164999999999999,0.0439999999999999,0.062,0.1345,0.08725,0.1905,0.22525,0.04975,0.0379999999999999,0.08925,0.0677499999999999,0.04975,0.211,0.05575,0.0225,0.24625,0.081,0.18125,0.09475,0.081,0.06225,0.0964999999999999,0.1372499999999999,0.1392499999999999,0.16375,0.0717499999999999,0.067,0.182,0.09975,0.078,0.33975,0.0195,0.17175,0.136,0.0564999999999999,0.132,0.0802499999999999,0.04775,0.0262499999999999,0.0632499999999999,0.0842499999999999,0.05575,0.11025,0.04075,0.031,0.03925,0.03375,0.0404999999999999,0.04025,0.03925,0.0642499999999999,0.0539999999999999,0.03475,0.075,0.0615,0.03625,0.0409999999999999,0.0354999999999999,0.0245,0.05025,0.03875,0.03325,0.0544999999999999
"Walk in the Clouds, A (1995)",0.96725,0.642,0.4395,0.642,0.47375,0.433,0.57875,0.72925,0.6305,0.5675,0.78725,0.5915,0.5915,0.47375,0.394,0.1815,0.489,0.3129999999999999,0.27025,0.2714999999999999,0.394,0.5585,0.5315,0.60675,0.3305,0.39875,0.15,0.394,0.41425,0.489,0.3077499999999999,0.3265,0.069,0.273,0.255,0.256,0.377,0.377,0.55,0.12425,0.33825,0.17875,0.15475,0.34175,0.283,0.0815,0.15275,0.1569999999999999,0.22575,0.24625,0.15325,0.21525,0.381,0.291,0.0805,0.128,0.18575,0.1302499999999999,0.14425,0.392,0.38525,0.1377499999999999,0.0959999999999999,0.1495,0.09075,0.46575,0.09175,0.26875,0.14725,0.1074999999999999,0.2415,0.1079999999999999,0.12425,0.15775,0.20725,0.3375,0.179,0.0949999999999999,0.16375,0.25125,0.1277499999999999,0.1714999999999999,0.672,0.1069999999999999,0.1352499999999999,0.0954999999999999,0.05425,0.15075,0.0539999999999999,0.0875,0.0762499999999999,0.153,0.08775,0.0727499999999999,0.0652499999999999,0.07,0.06175,0.54125,0.0732499999999999,0.2385,0.0944999999999999,0.1545,0.0715,0.0389999999999999,0.1175,0.09775,0.0797499999999999,0.0715,0.0785,0.0802499999999999,0.124,0.05075,0.093,0.062,0.0827499999999999,0.0449999999999999,0.1119999999999999,0.1765,0.0444999999999999,0.0494999999999999,0.093,0.04225,0.0792499999999999,0.10275,0.51325,0.0905,0.05625,0.0359999999999999,0.139,0.38,0.0404999999999999,0.0225,0.06125,0.0414999999999999,0.05325,0.0197499999999999,0.03525,0.02,0.0855,0.022,0.17275,0.122,0.03725,0.03175,0.0807499999999999,0.0359999999999999,0.0162499999999999,0.0287499999999999,0.04125
