movieId,good,predictable,weapons,fight scenes,weird,first contact,catastrophe,chase,culture clash,original,dialogue,fun movie,runaway,drama,greed,betrayal,light,survival,mentor,fantasy world,vengeance,melancholic,independent film,alter ego,sacrifice,adaptation,mad scientist,drinking,computer animation,very funny,transformation,awesome soundtrack,childhood,surveillance,creativity,family,life philosophy,unlikely friendships,islam,trilogy,prejudice,good music,not funny,pornography,life & death,wartime,death,absurd,teen movie,underrated,classic car,stereotypes,immortality,alternate history,quirky,dysfunctional family,80s,tokyo,sexy,graphic novel,too long,pulp,period piece,simple,desert,rebellion,british,multiple storylines,nudity (full frontal - brief),island,california,ensemble cast,internet,memory,camp,irish accent,doctors,queer,time,foul language,snakes,too short,writers,brothers,women,no plot,robert downey jr,farce,race,ghosts/afterlife,best of 2005,dreams,nudity (topless - brief),new jersey,film noir,hospital,indians,new york city,hotel,road movie,god,blindness,1930s,small town,father daughter relationship,prison,wilderness,oil,censorship,buddy movie,san francisco,atheism,nudity (rear),hunting,directorial debut,unlikeable characters,bollywood,kick-butt women,divorce,kidnapping,cancer,addiction,workplace,stoner movie,goth,los angeles,hip hop,remake,interracial romance,australia,notable nudity,fashion,made for tv,radio,stand-up comedy,russian,reality tv,single father,shopping,adoption,potential oscar nom,texas,homeless,wine,prostitution,french,documentary,finnish,lawyer
Star Wars: Episode IV - A New Hope (1977),0.98325,0.99725,0.9685,0.91475,0.97975,0.99725,0.95125,0.92125,0.97975,0.933,0.94725,0.8987499999999999,0.935,0.97975,0.97975,0.8320000000000001,0.8865000000000001,0.97375,0.8700000000000001,0.9785,0.44875,0.9185,0.84125,0.424,0.50625,0.4347499999999999,0.8425,0.7765,0.63275,0.406,0.502,0.8585,0.75075,0.4337499999999999,0.54125,0.50725,0.4044999999999999,0.62475,0.4555,0.98225,0.44475,0.756,0.37725,0.1505,0.27875,0.84125,0.4885,0.17275,0.55575,0.2917499999999999,0.346,0.16825,0.2845,0.277,0.239,0.4985,0.7555000000000001,0.29025,0.23225,0.029,0.33525,0.34975,0.243,0.3934999999999999,0.89425,0.98,0.3419999999999999,0.23975,0.26725,0.20675,0.21825,0.17525,0.24575,0.26275,0.247,0.2524999999999999,0.1327499999999999,0.1639999999999999,0.49775,0.0969999999999999,0.3515,0.1159999999999999,0.1397499999999999,0.1365,0.0765,0.1119999999999999,0.0379999999999999,0.15775,0.16125,0.10825,0.14525,0.31975,0.0825,0.09825,0.3229999999999999,0.04275,0.25925,0.05175,0.09775,0.124,0.247,0.0875,0.3149999999999999,0.15775,0.0762499999999999,0.09825,0.0792499999999999,0.175,0.09275,0.16575,0.08775,0.247,0.0379999999999999,0.0765,0.1094999999999999,0.0379999999999999,0.176,0.0652499999999999,0.06225,0.0662499999999999,0.0685,0.067,0.0439999999999999,0.09475,0.03625,0.0539999999999999,0.0277499999999999,0.022,0.0852499999999999,0.079,0.04125,0.03025,0.1392499999999999,0.1257499999999999,0.0645,0.0944999999999999,0.0212499999999999,0.0389999999999999,0.04425,0.0429999999999999,0.0257499999999999,0.06125,0.03025,0.04075,0.0399999999999999,0.04175,0.0319999999999999,0.0225,0.025
Jurassic Park (1993),0.97825,0.98925,0.98925,0.97825,0.92525,0.98925,0.97825,0.952,0.92525,0.8107500000000001,0.94375,0.86575,0.7662500000000001,0.8752500000000001,0.7095,0.92525,0.8065,0.7822499999999999,0.69025,0.8247500000000001,0.60425,0.658,0.658,0.40075,0.602,0.901,0.955,0.658,0.8787499999999999,0.48975,0.4465,0.54125,0.8787499999999999,0.638,0.6785,0.8787499999999999,0.713,0.4195,0.3409999999999999,0.48475,0.42325,0.3784999999999999,0.395,0.16075,0.2694999999999999,0.18225,0.4255,0.1332499999999999,0.2855,0.3209999999999999,0.33125,0.2244999999999999,0.31025,0.4,0.2035,0.3005,0.38875,0.148,0.14675,0.089,0.16525,0.20975,0.1957499999999999,0.372,0.33275,0.1594999999999999,0.1599999999999999,0.29925,0.18225,0.8320000000000001,0.2395,0.1975,0.1815,0.2015,0.17225,0.15725,0.53775,0.1337499999999999,0.59675,0.2704999999999999,0.43825,0.1124999999999999,0.0994999999999999,0.10125,0.1014999999999999,0.0837499999999999,0.03,0.0989999999999999,0.15825,0.40075,0.1495,0.24775,0.1084999999999999,0.11275,0.0847499999999999,0.1267499999999999,0.25675,0.1024999999999999,0.1392499999999999,0.1044999999999999,0.22775,0.138,0.1345,0.1629999999999999,0.0559999999999999,0.09425,0.1302499999999999,0.1387499999999999,0.10225,0.1689999999999999,0.1049999999999999,0.11975,0.0665,0.18575,0.0857499999999999,0.03425,0.0635,0.03675,0.1845,0.069,0.1149999999999999,0.0584999999999999,0.0479999999999999,0.09775,0.04525,0.0579999999999999,0.0514999999999999,0.0434999999999999,0.0775,0.04575,0.0697499999999999,0.0702499999999999,0.0685,0.10575,0.0915,0.05425,0.03875,0.081,0.09475,0.11125,0.03725,0.0632499999999999,0.0529999999999999,0.0314999999999999,0.0257499999999999,0.04075,0.024,0.0222499999999999,0.146
Terminator 2: Judgment Day (1991),0.99275,0.9775,0.98575,0.98575,0.9555,0.99275,0.99575,0.98575,0.9555,0.9175,0.92975,0.95625,0.8892500000000001,0.9555,0.9555,0.8752500000000001,0.841,0.975,0.737,0.6055,0.8725,0.7709999999999999,0.5425,0.503,0.6455,0.3325,0.871,0.5425,0.4245,0.50425,0.4905,0.8420000000000001,0.5415,0.653,0.47875,0.309,0.4475,0.32925,0.3235,0.6285,0.26625,0.4865,0.4177499999999999,0.3695,0.245,0.146,0.2445,0.151,0.29,0.38925,0.4525,0.1917499999999999,0.382,0.2385,0.175,0.4137499999999999,0.733,0.31825,0.24725,0.1765,0.18425,0.22175,0.20475,0.25875,0.44675,0.3774999999999999,0.1709999999999999,0.23175,0.291,0.272,0.48475,0.1164999999999999,0.17275,0.3047499999999999,0.125,0.16625,0.1947499999999999,0.156,0.5995,0.55475,0.26825,0.0725,0.0939999999999999,0.09775,0.0994999999999999,0.10925,0.04075,0.18175,0.1905,0.0847499999999999,0.0807499999999999,0.14675,0.1694999999999999,0.1119999999999999,0.1649999999999999,0.1654999999999999,0.3225,0.08875,0.09875,0.18475,0.145,0.1277499999999999,0.0974999999999999,0.1962499999999999,0.0785,0.1099999999999999,0.12475,0.1397499999999999,0.1927499999999999,0.23625,0.09225,0.0777499999999999,0.0765,0.2554999999999999,0.11425,0.0767499999999999,0.0974999999999999,0.1569999999999999,0.1054999999999999,0.1382499999999999,0.078,0.05825,0.05975,0.10275,0.028,0.2664999999999999,0.04875,0.05075,0.126,0.0807499999999999,0.0692499999999999,0.05975,0.067,0.027,0.073,0.05875,0.0474999999999999,0.05125,0.09525,0.0852499999999999,0.0429999999999999,0.1159999999999999,0.04775,0.0384999999999999,0.05325,0.0524999999999999,0.0267499999999999,0.0192499999999999,0.0287499999999999
Heavy Metal (1981),0.7705,0.9015,0.53625,0.9015,0.8672500000000001,0.83725,0.8154999999999999,0.43025,0.6615,0.7889999999999999,0.53625,0.53625,0.555,0.492,0.3944999999999999,0.827,0.48575,0.83725,0.4679999999999999,0.89975,0.827,0.605,0.605,0.32175,0.394,0.427,0.20725,0.253,0.964,0.299,0.40575,0.81975,0.60875,0.2684999999999999,0.54225,0.608,0.295,0.1545,0.2075,0.071,0.36375,0.32325,0.397,0.8062499999999999,0.192,0.0747499999999999,0.2329999999999999,0.3289999999999999,0.3844999999999999,0.2835,0.2554999999999999,0.1887499999999999,0.2624999999999999,0.23525,0.256,0.16225,0.44875,0.28325,0.6505,0.4629999999999999,0.1064999999999999,0.51625,0.14475,0.15175,0.23475,0.076,0.16625,0.4852499999999999,0.3712499999999999,0.1515,0.15725,0.08625,0.14425,0.356,0.27175,0.17125,0.16025,0.1555,0.1064999999999999,0.14075,0.1325,0.0652499999999999,0.20375,0.093,0.37725,0.0949999999999999,0.05125,0.1265,0.11475,0.05125,0.03475,0.25525,0.27775,0.2955,0.23725,0.10675,0.1395,0.23875,0.123,0.1235,0.17025,0.17975,0.0827499999999999,0.10975,0.0712499999999999,0.0944999999999999,0.12125,0.04575,0.2027499999999999,0.118,0.0747499999999999,0.087,0.1385,0.05925,0.1352499999999999,0.04325,0.0499999999999999,0.0534999999999999,0.05175,0.177,0.0534999999999999,0.4822499999999999,0.0817499999999999,0.53775,0.24125,0.05325,0.05325,0.04325,0.0969999999999999,0.0835,0.187,0.0747499999999999,0.05425,0.09325,0.1054999999999999,0.0677499999999999,0.03025,0.0295,0.0642499999999999,0.06175,0.02975,0.09,0.04825,0.0195,0.0645,0.0569999999999999,0.0404999999999999,0.04225,0.064
"Rock, The (1996)",0.88375,0.86575,0.992,0.994,0.7595000000000001,0.69275,0.86575,0.994,0.79775,0.664,0.8320000000000001,0.994,0.6885,0.79775,0.596,0.79775,0.4735,0.559,0.80325,0.48575,0.849,0.73625,0.57475,0.4459999999999999,0.702,0.3944999999999999,0.21325,0.57475,0.2269999999999999,0.4735,0.4245,0.85625,0.3017499999999999,0.66825,0.34375,0.406,0.522,0.26275,0.25175,0.182,0.36975,0.31725,0.365,0.1775,0.2229999999999999,0.303,0.3045,0.2022499999999999,0.6755,0.40625,0.3884999999999999,0.3814999999999999,0.1579999999999999,0.2684999999999999,0.1805,0.2504999999999999,0.2604999999999999,0.1054999999999999,0.26425,0.1029999999999999,0.1367499999999999,0.2065,0.16275,0.25875,0.3129999999999999,0.1119999999999999,0.18025,0.2095,0.2314999999999999,0.498,0.2204999999999999,0.21075,0.23525,0.073,0.1644999999999999,0.22725,0.176,0.293,0.0697499999999999,0.37575,0.18025,0.12175,0.1725,0.1704999999999999,0.206,0.17725,0.0682499999999999,0.2907499999999999,0.22925,0.26475,0.072,0.0832499999999999,0.1292499999999999,0.1312499999999999,0.0765,0.2465,0.10575,0.11275,0.1362499999999999,0.1485,0.0379999999999999,0.17275,0.0692499999999999,0.1387499999999999,0.086,0.9025,0.0795,0.1332499999999999,0.379,0.40125,0.9195,0.05525,0.0775,0.118,0.1124999999999999,0.073,0.0765,0.14475,0.267,0.0949999999999999,0.1295,0.0827499999999999,0.10675,0.0762499999999999,0.06075,0.0827499999999999,0.0752499999999999,0.0554999999999999,0.1609999999999999,0.061,0.1465,0.0712499999999999,0.04125,0.10225,0.0852499999999999,0.09075,0.0635,0.09675,0.17675,0.0737499999999999,0.0747499999999999,0.076,0.06125,0.05275,0.0394999999999999,0.04575,0.0232499999999999,0.03325,0.0989999999999999
Ghost in the Shell (Kôkaku kidôtai) (1995),0.92375,0.9875,0.689,0.689,0.9815,0.9875,0.95825,0.6305,0.9815,0.8472500000000001,0.8680000000000001,0.689,0.9815,0.9815,0.9815,0.68875,0.6535,0.9875,0.614,0.47375,0.68875,0.8680000000000001,0.8055000000000001,0.5445,0.3964999999999999,0.63625,0.262,0.6455,0.7902499999999999,0.3425,0.44175,0.8055000000000001,0.2634999999999999,0.39625,0.521,0.121,0.39125,0.20925,0.39725,0.129,0.25825,0.8055000000000001,0.3715,0.6525,0.55425,0.076,0.21775,0.4379999999999999,0.1245,0.4004999999999999,0.351,0.23175,0.53575,0.27025,0.3389999999999999,0.3035,0.1342499999999999,0.79,0.469,0.5885,0.22425,0.16525,0.17975,0.198,0.089,0.25475,0.3235,0.2214999999999999,0.22425,0.08675,0.14125,0.0865,0.38275,0.503,0.0645,0.17975,0.16125,0.1922499999999999,0.0772499999999999,0.0885,0.12375,0.04625,0.16975,0.16325,0.22425,0.25525,0.0885,0.1262499999999999,0.0727499999999999,0.06025,0.1392499999999999,0.262,0.2165,0.10375,0.26175,0.1619999999999999,0.0935,0.0652499999999999,0.1535,0.0935,0.18075,0.15675,0.1094999999999999,0.10175,0.142,0.1029999999999999,0.148,0.088,0.22225,0.0394999999999999,0.04725,0.15225,0.085,0.1029999999999999,0.1435,0.1312499999999999,0.08625,0.11775,0.066,0.0509999999999999,0.0707499999999999,0.1255,0.16375,0.2355,0.08975,0.0732499999999999,0.0652499999999999,0.03075,0.08925,0.0459999999999999,0.0692499999999999,0.04275,0.05225,0.0464999999999999,0.08875,0.0519999999999999,0.04225,0.0262499999999999,0.03475,0.0595,0.0847499999999999,0.0499999999999999,0.0409999999999999,0.05375,0.077,0.0712499999999999,0.0509999999999999,0.024,0.04525
Independence Day (a.k.a. ID4) (1996),0.987,0.987,0.98325,0.987,0.8115000000000001,0.98325,0.987,0.971,0.81,0.723,0.827,0.889,0.7225,0.79175,0.4579999999999999,0.79175,0.63625,0.869,0.52,0.552,0.471,0.423,0.64825,0.4649999999999999,0.7847500000000001,0.23625,0.8385,0.5525,0.575,0.4245,0.5325,0.2714999999999999,0.47875,0.59475,0.5625,0.499,0.4615,0.194,0.43975,0.1925,0.52,0.15425,0.3425,0.17125,0.155,0.64825,0.2885,0.28,0.748,0.2915,0.1975,0.59025,0.22775,0.44575,0.189,0.26025,0.31775,0.142,0.29825,0.04975,0.14725,0.2485,0.17825,0.3285,0.60275,0.079,0.1272499999999999,0.213,0.2015,0.4469999999999999,0.29925,0.55675,0.4715,0.078,0.39275,0.1604999999999999,0.44025,0.1405,0.2375,0.39975,0.20975,0.23475,0.1505,0.0815,0.181,0.214,0.0524999999999999,0.124,0.31625,0.172,0.08925,0.085,0.10125,0.1302499999999999,0.0797499999999999,0.14875,0.18225,0.28325,0.139,0.0805,0.381,0.155,0.0792499999999999,0.1305,0.0964999999999999,0.09125,0.10875,0.213,0.065,0.1485,0.15175,0.17325,0.15125,0.085,0.0722499999999999,0.0777499999999999,0.0865,0.05275,0.30825,0.071,0.11125,0.0419999999999999,0.1029999999999999,0.0705,0.031,0.2189999999999999,0.069,0.128,0.1694999999999999,0.09475,0.0935,0.182,0.0737499999999999,0.273,0.08625,0.1385,0.0504999999999999,0.521,0.145,0.0519999999999999,0.0267499999999999,0.04975,0.03675,0.03975,0.03325,0.03725,0.0215,0.0252499999999999,0.0459999999999999
Die Hard (1988),0.87225,0.74525,0.9915,0.99425,0.969,0.68225,0.74525,0.99425,0.969,0.8545,0.8819999999999999,0.99425,0.8819999999999999,0.9455,0.9455,0.969,0.8405,0.57475,0.7435,0.51725,0.93075,0.67075,0.674,0.67775,0.44175,0.689,0.2987499999999999,0.674,0.312,0.69225,0.4125,0.46875,0.45075,0.7735000000000001,0.46825,0.43725,0.4669999999999999,0.6165,0.2244999999999999,0.4425,0.44175,0.435,0.3455,0.34575,0.259,0.1925,0.2764999999999999,0.475,0.2294999999999999,0.33875,0.4399999999999999,0.39025,0.16125,0.2165,0.3215,0.4525,0.7797499999999999,0.21975,0.367,0.05725,0.14875,0.207,0.273,0.33175,0.27875,0.153,0.21525,0.20825,0.3015,0.18025,0.725,0.18525,0.18675,0.0964999999999999,0.16925,0.29,0.2495,0.1967499999999999,0.24775,0.7875000000000001,0.306,0.0687499999999999,0.1292499999999999,0.17925,0.11325,0.0842499999999999,0.0675,0.3844999999999999,0.1302499999999999,0.09775,0.182,0.088,0.55075,0.2175,0.17375,0.2204999999999999,0.1997499999999999,0.39875,0.2887499999999999,0.1795,0.0627499999999999,0.14225,0.1335,0.1515,0.0857499999999999,0.1285,0.12,0.21525,0.2155,0.59575,0.15125,0.0685,0.0675,0.1985,0.11375,0.11875,0.074,0.153,0.2025,0.34375,0.1387499999999999,0.075,0.289,0.08925,0.066,0.916,0.0845,0.03125,0.145,0.08875,0.1297499999999999,0.0797499999999999,0.067,0.1049999999999999,0.0797499999999999,0.0765,0.0374999999999999,0.07,0.203,0.0905,0.1094999999999999,0.1525,0.0595,0.0605,0.076,0.04925,0.03125,0.0374999999999999,0.05125
E.T. the Extra-Terrestrial (1982),0.8480000000000001,0.8234999999999999,0.8234999999999999,0.68225,0.8045,0.8480000000000001,0.8045,0.62,0.8320000000000001,0.7717499999999999,0.8394999999999999,0.69575,0.91025,0.8832500000000001,0.7969999999999999,0.8832500000000001,0.91025,0.554,0.8654999999999999,0.84775,0.2935,0.8045,0.5675,0.16775,0.5675,0.42,0.68725,0.4655,0.8985000000000001,0.33625,0.5275,0.301,0.945,0.24675,0.4922499999999999,0.945,0.419,0.8832500000000001,0.3289999999999999,0.1985,0.5675,0.35,0.33175,0.18,0.44025,0.152,0.236,0.0944999999999999,0.71225,0.27,0.27025,0.182,0.1342499999999999,0.33175,0.2002499999999999,0.59375,0.54775,0.1815,0.1362499999999999,0.0187499999999999,0.14175,0.1907499999999999,0.2055,0.485,0.2654999999999999,0.12475,0.1405,0.14725,0.21425,0.22525,0.289,0.073,0.0787499999999999,0.25,0.1345,0.093,0.3794999999999999,0.1307499999999999,0.3462499999999999,0.32125,0.1995,0.0852499999999999,0.1004999999999999,0.17575,0.11725,0.0449999999999999,0.0272499999999999,0.08,0.1992499999999999,0.11425,0.05025,0.24325,0.084,0.0785,0.11875,0.1375,0.2997499999999999,0.0742499999999999,0.11175,0.1317499999999999,0.10625,0.14375,0.1584999999999999,0.155,0.0847499999999999,0.0797499999999999,0.1169999999999999,0.05925,0.0705,0.0725,0.09925,0.1495,0.0499999999999999,0.1355,0.0905,0.029,0.12275,0.03975,0.3037499999999999,0.0675,0.09725,0.04525,0.0479999999999999,0.09825,0.0235,0.03775,0.03075,0.024,0.1049999999999999,0.04725,0.05575,0.0459999999999999,0.0935,0.1892499999999999,0.0802499999999999,0.04375,0.0245,0.21825,0.0745,0.20425,0.05275,0.0797499999999999,0.04075,0.0374999999999999,0.0275,0.0414999999999999,0.0314999999999999,0.0222499999999999,0.0354999999999999
Top Gun (1986),0.94875,0.8314999999999999,0.97025,0.97025,0.5435,0.67175,0.821,0.97025,0.8554999999999999,0.64625,0.906,0.929,0.63375,0.8554999999999999,0.3235,0.8554999999999999,0.63375,0.24875,0.91,0.58775,0.60975,0.2955,0.5325,0.23425,0.52275,0.26525,0.1977499999999999,0.31225,0.39475,0.2995,0.3722499999999999,0.92375,0.77875,0.3592499999999999,0.17075,0.4459999999999999,0.2907499999999999,0.53975,0.3565,0.089,0.52275,0.5325,0.3395,0.17475,0.2025,0.409,0.354,0.1395,0.8872500000000001,0.23975,0.1755,0.5125,0.16275,0.3067499999999999,0.1262499999999999,0.1982499999999999,0.8560000000000001,0.0605,0.5285,0.0379999999999999,0.0717499999999999,0.2339999999999999,0.35875,0.275,0.0825,0.0767499999999999,0.10025,0.1365,0.1704999999999999,0.1835,0.2674999999999999,0.0895,0.1985,0.0755,0.31,0.18525,0.12275,0.28725,0.17625,0.2209999999999999,0.18175,0.15225,0.15875,0.18025,0.2644999999999999,0.1267499999999999,0.06225,0.092,0.2199999999999999,0.27275,0.0237499999999999,0.09125,0.11975,0.15525,0.08625,0.146,0.17025,0.0835,0.11025,0.05675,0.0574999999999999,0.14,0.10925,0.074,0.05175,0.11325,0.04925,0.0747499999999999,0.0777499999999999,0.477,0.16375,0.062,0.0915,0.05225,0.0635,0.03625,0.1272499999999999,0.0795,0.09925,0.0569999999999999,0.15025,0.0569999999999999,0.05025,0.071,0.05875,0.1099999999999999,0.08,0.076,0.2915,0.04075,0.18475,0.1679999999999999,0.0539999999999999,0.1835,0.0852499999999999,0.2204999999999999,0.0615,0.14,0.201,0.0344999999999999,0.05175,0.0509999999999999,0.0287499999999999,0.024,0.0349999999999999,0.031,0.0215,0.0227499999999999,0.0559999999999999
