movieId,melancholic,weird,original,greed,runaway,culture clash,drama,dialogue,independent film,light,film noir,good,drinking,vengeance,life & death,pornography,betrayal,childhood,unlikely friendships,mentor,catastrophe,death,surveillance,adaptation,life philosophy,quirky,sexy,divorce,tokyo,not funny,dreams,wartime,women,transformation,islam,dysfunctional family,absurd,hotel,chase,creativity,sacrifice,french,road movie,too long,very funny,fantasy world,period piece,1930s,classic car,farce,censorship,small town,good music,prejudice,british,memory,first contact,simple,russian,predictable,nudity (full frontal - brief),hospital,writers,queer,workplace,weapons,doctors,family,fight scenes,multiple storylines,god,underrated,fun movie,survival,bollywood,wilderness,stoner movie,prostitution,immortality,wine,desert,rebellion,blindness,addiction,prison,alter ego,irish accent,mad scientist,interracial romance,documentary,trilogy,directorial debut,brothers,california,computer animation,atheism,indians,nudity (topless - brief),teen movie,hunting,pulp,awesome soundtrack,camp,island,texas,stand-up comedy,oil,homeless,finnish,adoption,new jersey,stereotypes,cancer,father daughter relationship,alternate history,san francisco,new york city,made for tv,no plot,kick-butt women,radio,lawyer,race,fashion,australia,kidnapping,ghosts/afterlife,nudity (rear),best of 2005,internet,ensemble cast,80s,time,snakes,potential oscar nom,hip hop,notable nudity,goth,shopping,reality tv,robert downey jr,unlikeable characters,los angeles,single father,foul language,too short,graphic novel,buddy movie,remake
"Hate (Haine, La) (1995)",0.96075,0.956,0.9645,0.96375,0.96375,0.96375,0.9645,0.80975,0.8022499999999999,0.9485,0.9485,0.8280000000000001,0.80975,0.96375,0.64525,0.762,0.8815,0.606,0.72825,0.60625,0.4127499999999999,0.3502499999999999,0.71475,0.3035,0.597,0.4335,0.1634999999999999,0.081,0.22125,0.3435,0.25825,0.3505,0.137,0.279,0.70325,0.1977499999999999,0.3249999999999999,0.1922499999999999,0.26025,0.3745,0.1694999999999999,0.93075,0.198,0.085,0.3592499999999999,0.213,0.09,0.089,0.34375,0.22975,0.2955,0.188,0.28825,0.7782500000000001,0.28425,0.09375,0.16275,0.2022499999999999,0.1674999999999999,0.2234999999999999,0.27675,0.4619999999999999,0.2135,0.20975,0.18125,0.297,0.11075,0.15525,0.28925,0.204,0.0534999999999999,0.27825,0.1124999999999999,0.146,0.08925,0.12275,0.39675,0.1357499999999999,0.0245,0.1897499999999999,0.0409999999999999,0.3585,0.141,0.7645,0.1455,0.1362499999999999,0.1392499999999999,0.0632499999999999,0.0584999999999999,0.2684999999999999,0.0959999999999999,0.258,0.21325,0.09675,0.1215,0.0757499999999999,0.0692499999999999,0.2684999999999999,0.2877499999999999,0.09725,0.144,0.555,0.1079999999999999,0.0707499999999999,0.0767499999999999,0.0762499999999999,0.05275,0.3642499999999999,0.2269999999999999,0.0732499999999999,0.1644999999999999,0.2259999999999999,0.0822499999999999,0.0349999999999999,0.0785,0.04775,0.0989999999999999,0.05925,0.03975,0.0359999999999999,0.04675,0.0359999999999999,0.1945,0.04875,0.15575,0.1495,0.04975,0.0509999999999999,0.20725,0.07,0.05875,0.06025,0.03325,0.0235,0.12125,0.429,0.0384999999999999,0.0409999999999999,0.069,0.0817499999999999,0.04625,0.0459999999999999,0.0772499999999999,0.0165,0.1785,0.0265,0.0379999999999999,0.08,0.0107499999999999
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0.984,0.984,0.8605,0.984,0.984,0.984,0.8082499999999999,0.74325,0.55725,0.518,0.23275,0.8294999999999999,0.8082499999999999,0.39975,0.55725,0.275,0.60725,0.38925,0.95275,0.3545,0.44525,0.16775,0.2025,0.258,0.2867499999999999,0.26325,0.33175,0.60125,0.3067499999999999,0.35375,0.15375,0.34775,0.38975,0.3359999999999999,0.306,0.26775,0.206,0.27325,0.24275,0.428,0.306,0.8062499999999999,0.1169999999999999,0.131,0.2175,0.26225,0.1885,0.132,0.2309999999999999,0.1195,0.0755,0.2045,0.88375,0.18075,0.1262499999999999,0.1897499999999999,0.16675,0.3954999999999999,0.1119999999999999,0.1815,0.24375,0.1589999999999999,0.22675,0.15575,0.10425,0.188,0.1094999999999999,0.1704999999999999,0.17675,0.20525,0.0364999999999999,0.1382499999999999,0.23725,0.0817499999999999,0.1785,0.1255,0.089,0.074,0.05275,0.3077499999999999,0.10725,0.0667499999999999,0.2925,0.0682499999999999,0.0845,0.1315,0.09275,0.067,0.15525,0.05625,0.1054999999999999,0.10425,0.17325,0.09225,0.122,0.05825,0.137,0.076,0.12275,0.04525,0.1302499999999999,0.18725,0.1154999999999999,0.0895,0.0812499999999999,0.0642499999999999,0.1009999999999999,0.03675,0.086,0.0762499999999999,0.09325,0.156,0.03725,0.1049999999999999,0.082,0.0695,0.0667499999999999,0.04125,0.124,0.087,0.1337499999999999,0.0379999999999999,0.075,0.1109999999999999,0.0645,0.05875,0.05325,0.0752499999999999,0.0414999999999999,0.064,0.04975,0.0314999999999999,0.0524999999999999,0.0287499999999999,0.0569999999999999,0.184,0.08725,0.03525,0.1074999999999999,0.0187499999999999,0.03025,0.05525,0.0285,0.03,0.0277499999999999,0.0252499999999999,0.03225,0.03,0.0142499999999999
Three Colors: Red (Trois couleurs: Rouge) (1994),0.98475,0.98475,0.98475,0.9785,0.9785,0.9785,0.91825,0.764,0.74125,0.3475,0.28825,0.74175,0.91825,0.59875,0.78,0.3027499999999999,0.674,0.2965,0.6075,0.4439999999999999,0.43775,0.4902499999999999,0.68125,0.2495,0.54125,0.2774999999999999,0.4429999999999999,0.24375,0.138,0.36175,0.371,0.139,0.2415,0.311,0.2334999999999999,0.1265,0.15475,0.3265,0.297,0.3209999999999999,0.307,0.84775,0.34675,0.13,0.2209999999999999,0.2002499999999999,0.1915,0.08875,0.2564999999999999,0.0672499999999999,0.0605,0.17175,0.2614999999999999,0.3565,0.24525,0.2065,0.2314999999999999,0.2085,0.12325,0.1584999999999999,0.207,0.20775,0.1997499999999999,0.18575,0.1277499999999999,0.1215,0.152,0.119,0.18,0.16275,0.0697499999999999,0.3085,0.14275,0.1059999999999999,0.135,0.258,0.1684999999999999,0.0697499999999999,0.09075,0.4505,0.1287499999999999,0.09725,0.3027499999999999,0.10675,0.1455,0.154,0.16975,0.0842499999999999,0.1355,0.063,0.961,0.11925,0.1159999999999999,0.1245,0.17975,0.09525,0.09325,0.0685,0.0767499999999999,0.136,0.12025,0.2614999999999999,0.0595,0.1099999999999999,0.0755,0.0802499999999999,0.09625,0.22525,0.0657499999999999,0.0815,0.1014999999999999,0.081,0.0627499999999999,0.06,0.0672499999999999,0.0584999999999999,0.0682499999999999,0.064,0.137,0.0672499999999999,0.12225,0.0944999999999999,0.0969999999999999,0.22525,0.08875,0.0559999999999999,0.141,0.076,0.03025,0.071,0.06175,0.0449999999999999,0.05025,0.075,0.06175,0.029,0.078,0.04825,0.0742499999999999,0.0235,0.05625,0.0399999999999999,0.05025,0.0142499999999999,0.0152499999999999,0.018,0.0167499999999999,0.04075,0.015
Song of the Little Road (Pather Panchali) (1955),0.9925,0.90225,0.88825,0.90225,0.90225,0.90225,0.8,0.90225,0.58525,0.88825,0.88825,0.8,0.7617499999999999,0.5375,0.68125,0.1305,0.199,0.7845,0.41525,0.3732499999999999,0.507,0.46525,0.415,0.64125,0.2947499999999999,0.1604999999999999,0.1327499999999999,0.2495,0.38475,0.35875,0.21525,0.09775,0.1342499999999999,0.308,0.1059999999999999,0.664,0.2012499999999999,0.1159999999999999,0.22625,0.2945,0.0935,0.16325,0.5585,0.0954999999999999,0.2007499999999999,0.17825,0.10825,0.25675,0.1292499999999999,0.10225,0.0514999999999999,0.1282499999999999,0.294,0.2145,0.1805,0.2189999999999999,0.185,0.24525,0.11575,0.119,0.18275,0.1255,0.177,0.1245,0.0785,0.0905,0.0795,0.43925,0.1262499999999999,0.0979999999999999,0.1317499999999999,0.1159999999999999,0.08675,0.0979999999999999,0.7549999999999999,0.062,0.05275,0.0772499999999999,0.17725,0.1282499999999999,0.04025,0.05425,0.08675,0.1064999999999999,0.062,0.0722499999999999,0.139,0.10975,0.1579999999999999,0.1175,0.84625,0.23225,0.23475,0.05875,0.0999999999999999,0.0817499999999999,0.796,0.0394999999999999,0.078,0.02975,0.0757499999999999,0.0979999999999999,0.0615,0.0605,0.04725,0.10125,0.1295,0.05875,0.10125,0.2065,0.0657499999999999,0.0615,0.1225,0.0969999999999999,0.05825,0.0479999999999999,0.0225,0.05225,0.0349999999999999,0.05075,0.0205,0.0314999999999999,0.04825,0.03975,0.03475,0.0235,0.0275,0.018,0.027,0.04775,0.0329999999999999,0.025,0.0292499999999999,0.0935,0.024,0.0295,0.028,0.0222499999999999,0.0192499999999999,0.0217499999999999,0.0255,0.021,0.017,0.04375,0.016,0.013,0.0225,0.021,0.006
"World of Apu, The (Apur Sansar) (1959)",0.9755,0.95425,0.95425,0.8775,0.95425,0.95425,0.95425,0.8775,0.716,0.74825,0.74825,0.95425,0.73225,0.4615,0.59725,0.10725,0.22625,0.749,0.50575,0.44725,0.42225,0.3565,0.17775,0.17775,0.4385,0.1987499999999999,0.268,0.423,0.4267499999999999,0.35375,0.56875,0.0989999999999999,0.197,0.29025,0.0847499999999999,0.267,0.1725,0.1287499999999999,0.1689999999999999,0.27475,0.0984999999999999,0.14425,0.63725,0.09375,0.1927499999999999,0.1039999999999999,0.0747499999999999,0.16625,0.235,0.1064999999999999,0.0514999999999999,0.14975,0.25525,0.1375,0.1922499999999999,0.2274999999999999,0.1535,0.2194999999999999,0.0857499999999999,0.1129999999999999,0.2115,0.1629999999999999,0.238,0.1297499999999999,0.1322499999999999,0.065,0.0499999999999999,0.1337499999999999,0.0994999999999999,0.08625,0.06075,0.11125,0.0805,0.0722499999999999,0.75125,0.11825,0.10025,0.0847499999999999,0.283,0.09275,0.1104999999999999,0.09625,0.11525,0.0642499999999999,0.0807499999999999,0.066,0.11525,0.077,0.123,0.10125,0.933,0.08975,0.11075,0.0615,0.10525,0.04425,0.7749999999999999,0.0519999999999999,0.0574999999999999,0.02975,0.064,0.05275,0.05075,0.0424999999999999,0.0822499999999999,0.397,0.05175,0.0959999999999999,0.11225,0.137,0.089,0.0574999999999999,0.0994999999999999,0.04125,0.04675,0.03275,0.0245,0.0717499999999999,0.0272499999999999,0.0672499999999999,0.024,0.0404999999999999,0.0429999999999999,0.04575,0.0314999999999999,0.0235,0.0509999999999999,0.023,0.0207499999999999,0.03825,0.0354999999999999,0.0152499999999999,0.0797499999999999,0.0384999999999999,0.0175,0.017,0.0275,0.0267499999999999,0.0197499999999999,0.0122499999999999,0.0187499999999999,0.0182499999999999,0.015,0.03275,0.0125,0.03825,0.0152499999999999,0.0192499999999999,0.0055
Faces (1968),0.978,0.92275,0.92925,0.92925,0.92275,0.92275,0.78325,0.81175,0.93975,0.67975,0.67975,0.63675,0.78325,0.74625,0.52525,0.72375,0.50775,0.10375,0.22625,0.27125,0.42025,0.17425,0.4105,0.29225,0.3037499999999999,0.50625,0.3399999999999999,0.65125,0.15225,0.33075,0.12425,0.08725,0.38675,0.27575,0.1074999999999999,0.4237499999999999,0.29525,0.45575,0.17225,0.21125,0.0747499999999999,0.05375,0.1004999999999999,0.08875,0.18525,0.1865,0.083,0.05875,0.21625,0.266,0.17975,0.15725,0.0895,0.25875,0.09925,0.0865,0.18475,0.05075,0.076,0.27025,0.2002499999999999,0.12025,0.3105,0.29,0.14075,0.144,0.1674999999999999,0.0777499999999999,0.191,0.3389999999999999,0.128,0.1307499999999999,0.1725,0.11275,0.0725,0.145,0.10375,0.2534999999999999,0.0494999999999999,0.0464999999999999,0.08725,0.03,0.1805,0.2495,0.0732499999999999,0.1372499999999999,0.148,0.1709999999999999,0.1375,0.11225,0.072,0.1272499999999999,0.10775,0.15375,0.137,0.0559999999999999,0.09175,0.0792499999999999,0.0692499999999999,0.1649999999999999,0.11125,0.0835,0.10325,0.0637499999999999,0.1659999999999999,0.10775,0.05825,0.11225,0.12425,0.09125,0.05575,0.11875,0.0479999999999999,0.031,0.059,0.0319999999999999,0.0424999999999999,0.04775,0.03425,0.0795,0.0647499999999999,0.022,0.03425,0.0479999999999999,0.03225,0.04325,0.0155,0.0935,0.0404999999999999,0.059,0.1322499999999999,0.0414999999999999,0.0394999999999999,0.0225,0.0574999999999999,0.03775,0.08775,0.03675,0.0087499999999999,0.064,0.0539999999999999,0.11775,0.0835,0.0235,0.0232499999999999,0.019,0.0242499999999999,0.0195,0.0075
Citizen Kane (1941),0.98825,0.98825,0.9875,0.98825,0.98825,0.98825,0.9875,0.98825,0.776,0.913,0.913,0.9875,0.776,0.7075,0.66925,0.44175,0.5245,0.663,0.4175,0.636,0.44675,0.43525,0.31,0.46525,0.4599999999999999,0.27875,0.1347499999999999,0.1104999999999999,0.20875,0.361,0.279,0.0994999999999999,0.086,0.3662499999999999,0.364,0.131,0.20975,0.1937499999999999,0.29925,0.41325,0.2125,0.04625,0.1332499999999999,0.23625,0.67425,0.199,0.239,0.38875,0.24525,0.16275,0.1355,0.1902499999999999,0.33075,0.25425,0.2965,0.273,0.28225,0.3429999999999999,0.0725,0.352,0.245,0.11075,0.1987499999999999,0.1639999999999999,0.03925,0.1897499999999999,0.09125,0.1345,0.32275,0.18625,0.1892499999999999,0.2365,0.31475,0.12425,0.268,0.1169999999999999,0.3545,0.04875,0.244,0.05525,0.1435,0.1415,0.11475,0.08675,0.11475,0.20575,0.2294999999999999,0.20875,0.04825,0.0842499999999999,0.14875,0.2724999999999999,0.17675,0.285,0.18125,0.10625,0.20975,0.081,0.0984999999999999,0.0727499999999999,0.1124999999999999,0.30725,0.089,0.15875,0.0817499999999999,0.092,0.06225,0.0564999999999999,0.04875,0.05125,0.1039999999999999,0.10925,0.0949999999999999,0.05475,0.078,0.1255,0.11175,0.0672499999999999,0.125,0.0359999999999999,0.16275,0.0687499999999999,0.08875,0.05075,0.0494999999999999,0.05275,0.08875,0.029,0.08725,0.078,0.0687499999999999,0.081,0.3255,0.15825,0.0444999999999999,0.0369999999999999,0.021,0.03025,0.018,0.0262499999999999,0.0735,0.0484999999999999,0.04025,0.0132499999999999,0.0939999999999999,0.0237499999999999,0.0359999999999999,0.0559999999999999,0.0127499999999999
"Innocents, The (1961)",0.96075,0.93475,0.97425,0.83775,0.83975,0.8140000000000001,0.6625,0.83775,0.8142499999999999,0.83975,0.83975,0.5855,0.6625,0.6925,0.63475,0.598,0.5585,0.7325,0.1322499999999999,0.58475,0.4087499999999999,0.249,0.93475,0.723,0.25375,0.42,0.5025,0.1059999999999999,0.1387499999999999,0.353,0.1624999999999999,0.11225,0.1215,0.423,0.0667499999999999,0.18,0.1714999999999999,0.213,0.2415,0.3027499999999999,0.1357499999999999,0.1094999999999999,0.1307499999999999,0.075,0.1912499999999999,0.3555,0.664,0.14375,0.211,0.199,0.1235,0.1372499999999999,0.0949999999999999,0.1225,0.664,0.212,0.242,0.1905,0.0722499999999999,0.2005,0.1885,0.11525,0.18025,0.136,0.05125,0.1475,0.1445,0.7325,0.2027499999999999,0.09,0.0359999999999999,0.209,0.10675,0.0494999999999999,0.0835,0.1084999999999999,0.0865,0.0782499999999999,0.1325,0.0642499999999999,0.04775,0.05225,0.1865,0.0765,0.0939999999999999,0.1992499999999999,0.1315,0.3329999999999999,0.0672499999999999,0.0479999999999999,0.0292499999999999,0.11325,0.14,0.08675,0.1355,0.05375,0.09775,0.0479999999999999,0.28025,0.031,0.1392499999999999,0.0974999999999999,0.1505,0.0677499999999999,0.0822499999999999,0.08,0.05675,0.04175,0.0237499999999999,0.1064999999999999,0.0655,0.05475,0.0205,0.0265,0.08775,0.0504999999999999,0.066,0.0675,0.04175,0.0384999999999999,0.04175,0.04375,0.0374999999999999,0.1064999999999999,0.04975,0.0637499999999999,0.3419999999999999,0.0564999999999999,0.063,0.0534999999999999,0.0359999999999999,0.062,0.03725,0.067,0.0287499999999999,0.04025,0.0334999999999999,0.4912499999999999,0.0167499999999999,0.0205,0.0524999999999999,0.0202499999999999,0.0165,0.0212499999999999,0.0282499999999999,0.022,0.0459999999999999,0.0215,0.0135
Jean de Florette (1986),0.8847499999999999,0.93625,0.93625,0.9395,0.889,0.93625,0.93625,0.8614999999999999,0.82175,0.82375,0.3954999999999999,0.93625,0.641,0.79925,0.661,0.16825,0.521,0.584,0.8109999999999999,0.7315,0.5855,0.3359999999999999,0.3485,0.50525,0.2955,0.18675,0.1355,0.12475,0.2224999999999999,0.388,0.592,0.1372499999999999,0.10875,0.3572499999999999,0.4619999999999999,0.66075,0.247,0.1997499999999999,0.3804999999999999,0.3299999999999999,0.4115,0.96925,0.2135,0.1947499999999999,0.4475,0.2435,0.81375,0.502,0.1659999999999999,0.23825,0.1699999999999999,0.30625,0.40625,0.4459999999999999,0.3065,0.1455,0.22375,0.5635,0.10575,0.1815,0.3105,0.21475,0.2015,0.12325,0.091,0.1579999999999999,0.124,0.392,0.2012499999999999,0.15825,0.0675,0.258,0.2915,0.3894999999999999,0.37925,0.1154999999999999,0.088,0.04775,0.10175,0.1902499999999999,0.23225,0.1149999999999999,0.25375,0.0449999999999999,0.15025,0.1039999999999999,0.17525,0.0865,0.11475,0.05775,0.437,0.1275,0.2624999999999999,0.10575,0.15375,0.0775,0.276,0.15725,0.1285,0.092,0.09325,0.16625,0.0682499999999999,0.1084999999999999,0.06125,0.087,0.09525,0.0787499999999999,0.0652499999999999,0.1382499999999999,0.0969999999999999,0.123,0.075,0.12275,0.0905,0.076,0.04975,0.1014999999999999,0.0885,0.05225,0.0519999999999999,0.12,0.1594999999999999,0.0595,0.1325,0.068,0.126,0.05075,0.05925,0.0549999999999999,0.0695,0.11075,0.1347499999999999,0.071,0.05675,0.0285,0.0767499999999999,0.0145,0.0514999999999999,0.0207499999999999,0.0265,0.0197499999999999,0.0242499999999999,0.05125,0.05725,0.028,0.0165,0.067,0.013
Manon of the Spring (Manon des sources) (1986),0.9125,0.895,0.913,0.913,0.772,0.9125,0.913,0.727,0.9125,0.44025,0.24475,0.913,0.61375,0.8322499999999999,0.61725,0.4645,0.473,0.4692499999999999,0.56675,0.64925,0.4669999999999999,0.6265,0.3495,0.4077499999999999,0.27975,0.1704999999999999,0.26525,0.1664999999999999,0.21975,0.353,0.1805,0.1134999999999999,0.1555,0.3622499999999999,0.33575,0.25625,0.1315,0.1377499999999999,0.39175,0.23525,0.25025,0.93625,0.10775,0.156,0.392,0.23025,0.419,0.5015,0.1584999999999999,0.0827499999999999,0.26075,0.32075,0.25175,0.269,0.346,0.22675,0.16925,0.2284999999999999,0.1322499999999999,0.14725,0.4872499999999999,0.21575,0.1425,0.1387499999999999,0.0752499999999999,0.11975,0.14925,0.3149999999999999,0.2614999999999999,0.15975,0.05075,0.26025,0.16375,0.184,0.474,0.1564999999999999,0.0735,0.0499999999999999,0.15425,0.11725,0.09,0.11875,0.174,0.05875,0.1079999999999999,0.09225,0.21625,0.0539999999999999,0.1215,0.0499999999999999,0.33325,0.1084999999999999,0.173,0.0905,0.129,0.0615,0.267,0.1345,0.14825,0.0775,0.0925,0.1599999999999999,0.0705,0.11025,0.0579999999999999,0.0705,0.0574999999999999,0.0539999999999999,0.1014999999999999,0.1569999999999999,0.1034999999999999,0.11425,0.11375,0.211,0.11175,0.0494999999999999,0.0434999999999999,0.1505,0.079,0.0559999999999999,0.0245,0.0964999999999999,0.1322499999999999,0.11875,0.29225,0.062,0.1079999999999999,0.21225,0.0712499999999999,0.0842499999999999,0.0484999999999999,0.14825,0.0544999999999999,0.03025,0.0665,0.04475,0.11525,0.027,0.0215,0.03175,0.05125,0.0287499999999999,0.0305,0.05375,0.09275,0.0394999999999999,0.0277499999999999,0.0399999999999999,0.0182499999999999
