movieId,first contact,fight scenes,original,catastrophe,weird,survival,predictable,greed,good,chase,weapons,dialogue,vengeance,surveillance,drama,runaway,fun movie,culture clash,melancholic,mad scientist,fantasy world,mentor,light,sacrifice,life & death,transformation,adaptation,creativity,very funny,betrayal,life philosophy,not funny,family,computer animation,islam,alter ego,immortality,childhood,underrated,absurd,pornography,independent film,death,island,desert,memory,drinking,internet,alternate history,pulp,unlikely friendships,prejudice,doctors,teen movie,stereotypes,simple,classic car,quirky,time,dysfunctional family,california,80s,sexy,nudity (full frontal - brief),period piece,writers,tokyo,camp,god,awesome soundtrack,british,race,dreams,trilogy,multiple storylines,wartime,hospital,irish accent,snakes,no plot,women,too long,new jersey,atheism,small town,good music,blindness,hotel,indians,road movie,farce,oil,queer,nudity (topless - brief),film noir,hunting,rebellion,new york city,radio,wilderness,ensemble cast,nudity (rear),1930s,too short,san francisco,workplace,ghosts/afterlife,foul language,los angeles,graphic novel,unlikeable characters,prison,single father,brothers,interracial romance,divorce,remake,directorial debut,bollywood,notable nudity,made for tv,kidnapping,father daughter relationship,censorship,fashion,kick-butt women,stoner movie,shopping,russian,cancer,stand-up comedy,best of 2005,australia,addiction,buddy movie,reality tv,adoption,hip hop,homeless,robert downey jr,goth,texas,wine,potential oscar nom,finnish,prostitution,french,lawyer,documentary
Waterworld (1995),0.98875,0.96925,0.7975000000000001,0.96925,0.6485,0.98875,0.96925,0.6485,0.59775,0.9465,0.9465,0.4659999999999999,0.4509999999999999,0.636,0.3409999999999999,0.55375,0.68925,0.381,0.3635,0.3934999999999999,0.64425,0.4892499999999999,0.34975,0.27675,0.24025,0.394,0.30525,0.45575,0.4077499999999999,0.2875,0.3485,0.3602499999999999,0.2734999999999999,0.172,0.23525,0.96275,0.249,0.1907499999999999,0.28825,0.62125,0.2135,0.1175,0.2289999999999999,0.46025,0.56,0.2045,0.18125,0.52975,0.24475,0.25425,0.33775,0.16475,0.1755,0.16975,0.17775,0.1895,0.186,0.472,0.1865,0.1679999999999999,0.267,0.1245,0.196,0.1405,0.186,0.2075,0.1004999999999999,0.31025,0.1347499999999999,0.14275,0.09375,0.1104999999999999,0.1084999999999999,0.0935,0.11575,0.0762499999999999,0.09775,0.2967499999999999,0.1305,0.1195,0.1977499999999999,0.20325,0.1485,0.15025,0.1054999999999999,0.14275,0.17675,0.072,0.15325,0.1992499999999999,0.09425,0.552,0.1297499999999999,0.1169999999999999,0.0979999999999999,0.0785,0.078,0.10175,0.0657499999999999,0.149,0.04025,0.131,0.05475,0.09625,0.05925,0.125,0.0625,0.143,0.0672499999999999,0.0765,0.2614999999999999,0.0964999999999999,0.0685,0.0717499999999999,0.085,0.09225,0.0895,0.0655,0.0777499999999999,0.05875,0.0409999999999999,0.1059999999999999,0.062,0.0792499999999999,0.0797499999999999,0.1014999999999999,0.0692499999999999,0.0625,0.04825,0.0454999999999999,0.08775,0.04625,0.1267499999999999,0.076,0.0479999999999999,0.06225,0.1029999999999999,0.0685,0.05125,0.0369999999999999,0.04475,0.0434999999999999,0.0554999999999999,0.03225,0.0444999999999999,0.0615,0.0359999999999999,0.023,0.025
Stargate (1994),0.991,0.929,0.7565,0.8959999999999999,0.7565,0.887,0.8959999999999999,0.7565,0.756,0.9155,0.9155,0.4922499999999999,0.53025,0.679,0.40225,0.4315,0.679,0.45725,0.37175,0.65375,0.9635,0.54225,0.4825,0.6285,0.29925,0.502,0.2027499999999999,0.4942499999999999,0.298,0.23275,0.34225,0.40275,0.2115,0.51025,0.3007499999999999,0.39175,0.79375,0.1902499999999999,0.32625,0.21625,0.17875,0.145,0.256,0.1855,0.8775,0.145,0.1332499999999999,0.39175,0.74325,0.3722499999999999,0.2249999999999999,0.122,0.25025,0.481,0.17575,0.2165,0.1639999999999999,0.2185,0.26925,0.2274999999999999,0.21725,0.23825,0.196,0.143,0.22725,0.1485,0.1402499999999999,0.25125,0.7185,0.249,0.1265,0.23025,0.1124999999999999,0.3452499999999999,0.10125,0.1694999999999999,0.10575,0.178,0.21975,0.1932499999999999,0.09025,0.1252499999999999,0.09375,0.3295,0.0984999999999999,0.192,0.1574999999999999,0.076,0.17925,0.0712499999999999,0.09275,0.17625,0.26275,0.1295,0.08875,0.066,0.25975,0.0529999999999999,0.135,0.05225,0.0579999999999999,0.1882499999999999,0.18575,0.126,0.10925,0.0499999999999999,0.1704999999999999,0.0534999999999999,0.03875,0.0394999999999999,0.05975,0.0845,0.0489999999999999,0.0747499999999999,0.0727499999999999,0.0767499999999999,0.0359999999999999,0.0755,0.0682499999999999,0.06225,0.194,0.086,0.0509999999999999,0.0845,0.073,0.0549999999999999,0.09125,0.06,0.12275,0.03875,0.0787499999999999,0.03325,0.0812499999999999,0.0499999999999999,0.0394999999999999,0.0399999999999999,0.05875,0.04675,0.03175,0.0369999999999999,0.0637499999999999,0.0414999999999999,0.0424999999999999,0.0292499999999999,0.03375,0.0242499999999999,0.0514999999999999,0.0197499999999999,0.0225
Dragonheart (1996),0.9545,0.9545,0.73225,0.87425,0.62325,0.3505,0.87425,0.62325,0.80325,0.79125,0.79125,0.39575,0.40375,0.4615,0.39975,0.4297499999999999,0.59775,0.4287499999999999,0.51975,0.561,0.99075,0.86825,0.37675,0.8734999999999999,0.3007499999999999,0.379,0.22575,0.32875,0.5165,0.531,0.34875,0.3159999999999999,0.37525,0.30725,0.17025,0.1415,0.9595,0.507,0.3205,0.14225,0.14375,0.16625,0.24425,0.177,0.1009999999999999,0.08775,0.1195,0.292,0.26225,0.16775,0.51975,0.4,0.15975,0.22125,0.37175,0.191,0.175,0.2185,0.1579999999999999,0.15325,0.1425,0.1094999999999999,0.1337499999999999,0.2199999999999999,0.21275,0.16925,0.04075,0.155,0.0999999999999999,0.1985,0.172,0.1215,0.1109999999999999,0.0994999999999999,0.20625,0.0765,0.134,0.261,0.2055,0.12225,0.1355,0.11325,0.14725,0.0837499999999999,0.1495,0.193,0.14125,0.04225,0.2239999999999999,0.1139999999999999,0.0767499999999999,0.0605,0.12275,0.11475,0.092,0.14575,0.3175,0.05525,0.1205,0.11775,0.05425,0.10175,0.0677499999999999,0.16625,0.085,0.0994999999999999,0.3,0.04025,0.0685,0.09425,0.0369999999999999,0.1159999999999999,0.0895,0.09775,0.1295,0.0825,0.04975,0.0752499999999999,0.10675,0.05875,0.0735,0.04675,0.0652499999999999,0.0429999999999999,0.0314999999999999,0.0652499999999999,0.07,0.04875,0.1235,0.08,0.0825,0.077,0.081,0.0529999999999999,0.147,0.04525,0.0642499999999999,0.0964999999999999,0.0675,0.0319999999999999,0.10025,0.05925,0.025,0.03775,0.05175,0.0295,0.0329999999999999,0.03475,0.0185
Twister (1996),0.99675,0.993,0.871,0.99675,0.5895,0.7549999999999999,0.99675,0.62925,0.9265,0.974,0.9725,0.8367500000000001,0.62925,0.9265,0.62925,0.62925,0.9265,0.62925,0.293,0.8365,0.49,0.48375,0.31,0.69875,0.29,0.3542499999999999,0.23525,0.381,0.533,0.44025,0.38525,0.352,0.53625,0.412,0.21775,0.282,0.118,0.3924999999999999,0.17525,0.1395,0.15375,0.2095,0.28025,0.42125,0.16675,0.11625,0.1119999999999999,0.4465,0.3095,0.1925,0.18275,0.245,0.28025,0.5825,0.3285,0.3065,0.2027499999999999,0.1325,0.1435,0.16375,0.252,0.1604999999999999,0.16775,0.21275,0.10325,0.21175,0.062,0.25925,0.215,0.252,0.0762499999999999,0.17925,0.05825,0.10075,0.30625,0.123,0.1267499999999999,0.1875,0.1925,0.48475,0.15575,0.0925,0.0974999999999999,0.09525,0.1882499999999999,0.2269999999999999,0.09725,0.09525,0.1475,0.181,0.0762499999999999,0.196,0.1315,0.04575,0.084,0.4585,0.026,0.0752499999999999,0.173,0.0994999999999999,0.28525,0.0785,0.05275,0.16275,0.21125,0.05825,0.15825,0.297,0.0509999999999999,0.0782499999999999,0.05025,0.1129999999999999,0.1372499999999999,0.0539999999999999,0.1684999999999999,0.7802500000000001,0.0662499999999999,0.09225,0.1014999999999999,0.09575,0.0444999999999999,0.063,0.0514999999999999,0.0409999999999999,0.059,0.06175,0.0652499999999999,0.1285,0.09075,0.1252499999999999,0.0805,0.0285,0.0374999999999999,0.0459999999999999,0.05675,0.1345,0.05025,0.0652499999999999,0.03775,0.05875,0.019,0.1004999999999999,0.04775,0.0414999999999999,0.0255,0.0215,0.03525,0.03775,0.024
Independence Day (a.k.a. ID4) (1996),0.98325,0.987,0.825,0.987,0.8115000000000001,0.869,0.987,0.8115000000000001,0.8365,0.971,0.971,0.7785,0.79175,0.8385,0.79175,0.79175,0.85975,0.7225,0.423,0.8385,0.552,0.487,0.5825,0.7847500000000001,0.3085,0.5325,0.23625,0.5625,0.63625,0.3269999999999999,0.4615,0.3425,0.499,0.575,0.64825,0.4649999999999999,0.22775,0.47875,0.2915,0.28,0.17975,0.252,0.2885,0.4469999999999999,0.60275,0.078,0.20875,0.4715,0.44575,0.2485,0.194,0.52,0.44025,0.748,0.59025,0.3285,0.1975,0.189,0.2375,0.26025,0.29925,0.31775,0.29825,0.2015,0.30225,0.1505,0.142,0.39275,0.381,0.2714999999999999,0.1272499999999999,0.31625,0.085,0.1925,0.213,0.64825,0.14875,0.1604999999999999,0.20975,0.214,0.181,0.14725,0.1302499999999999,0.17325,0.1305,0.15425,0.155,0.139,0.18225,0.0805,0.12475,0.213,0.1405,0.10125,0.0797499999999999,0.085,0.079,0.28325,0.273,0.10875,0.55675,0.15125,0.0792499999999999,0.23475,0.15175,0.1029999999999999,0.172,0.39975,0.2189999999999999,0.04975,0.0777499999999999,0.09125,0.521,0.0815,0.1694999999999999,0.30825,0.128,0.0722499999999999,0.0865,0.0935,0.0737499999999999,0.071,0.0964999999999999,0.065,0.182,0.05275,0.0705,0.145,0.1385,0.11125,0.08625,0.08925,0.09475,0.0419999999999999,0.1485,0.0504999999999999,0.0519999999999999,0.069,0.03675,0.0524999999999999,0.031,0.04975,0.03975,0.0267499999999999,0.0252499999999999,0.03325,0.03725,0.0459999999999999,0.0215
Around the World in 80 Days (1956),0.5835,0.57125,0.71875,0.60075,0.92975,0.5835,0.57125,0.6815,0.8460000000000001,0.7577499999999999,0.1942499999999999,0.50625,0.57,0.351,0.8460000000000001,0.8460000000000001,0.8200000000000001,0.8460000000000001,0.70725,0.25225,0.619,0.50575,0.63,0.28075,0.496,0.4942499999999999,0.9115,0.38875,0.3155,0.20525,0.406,0.3359999999999999,0.39725,0.273,0.272,0.292,0.22925,0.4559999999999999,0.27375,0.2294999999999999,0.20425,0.10625,0.20525,0.38325,0.2544999999999999,0.3289999999999999,0.3824999999999999,0.1317499999999999,0.2684999999999999,0.2329999999999999,0.1659999999999999,0.2279999999999999,0.3195,0.15,0.272,0.2319999999999999,0.15875,0.1579999999999999,0.24525,0.14975,0.33475,0.30225,0.17875,0.14675,0.55975,0.17625,0.2375,0.176,0.0949999999999999,0.1887499999999999,0.55975,0.4629999999999999,0.11325,0.08775,0.144,0.0682499999999999,0.1245,0.12125,0.197,0.09,0.15725,0.6555,0.05625,0.1545,0.10575,0.146,0.0984999999999999,0.21275,0.77525,0.1865,0.1679999999999999,0.1387499999999999,0.1485,0.0875,0.1134999999999999,0.069,0.11025,0.1074999999999999,0.0732499999999999,0.07,0.086,0.09375,0.45775,0.05125,0.496,0.06025,0.04375,0.04425,0.0657499999999999,0.0232499999999999,0.03075,0.0782499999999999,0.03525,0.0855,0.1535,0.0847499999999999,0.0715,0.0757499999999999,0.08725,0.07,0.15175,0.0499999999999999,0.05975,0.10575,0.1604999999999999,0.0579999999999999,0.09,0.0925,0.05925,0.0324999999999999,0.0805,0.092,0.06025,0.05525,0.0459999999999999,0.0292499999999999,0.0479999999999999,0.119,0.024,0.0544999999999999,0.024,0.05575,0.137,0.0469999999999999,0.0305,0.0414999999999999,0.11575,0.04875,0.04375
"20,000 Leagues Under the Sea (1954)",0.8865000000000001,0.8865000000000001,0.73525,0.71125,0.871,0.88575,0.59725,0.75275,0.68875,0.68375,0.55475,0.5765,0.52675,0.47675,0.50225,0.871,0.57975,0.50225,0.532,0.6555,0.645,0.4509999999999999,0.871,0.4024999999999999,0.558,0.483,0.959,0.33875,0.3355,0.263,0.40475,0.3545,0.379,0.3329999999999999,0.3784999999999999,0.245,0.45675,0.4515,0.2975,0.2165,0.146,0.202,0.2055,0.5425,0.4399999999999999,0.148,0.33575,0.10675,0.17675,0.2965,0.293,0.29525,0.3725,0.1885,0.271,0.2435,0.252,0.40275,0.1252499999999999,0.189,0.37375,0.11525,0.1089999999999999,0.14825,0.3575,0.2204999999999999,0.1337499999999999,0.22775,0.0479999999999999,0.1347499999999999,0.3219999999999999,0.15125,0.1402499999999999,0.156,0.16725,0.3784999999999999,0.1425,0.14675,0.2987499999999999,0.066,0.12475,0.13,0.10875,0.0757499999999999,0.15325,0.1297499999999999,0.121,0.20975,0.174,0.195,0.15025,0.216,0.1292499999999999,0.09,0.1659999999999999,0.1982499999999999,0.10225,0.081,0.16325,0.12025,0.1094999999999999,0.0865,0.196,0.03925,0.1054999999999999,0.0935,0.148,0.0642499999999999,0.07,0.03325,0.05925,0.1375,0.03025,0.08825,0.081,0.087,0.0384999999999999,0.092,0.071,0.0605,0.0579999999999999,0.076,0.04275,0.0667499999999999,0.214,0.0369999999999999,0.1154999999999999,0.12475,0.141,0.029,0.09125,0.0762499999999999,0.10475,0.0747499999999999,0.05375,0.0247499999999999,0.10375,0.05075,0.061,0.0519999999999999,0.04025,0.0479999999999999,0.11125,0.0369999999999999,0.0424999999999999,0.0499999999999999,0.0925,0.04725,0.0454999999999999
"Lawnmower Man, The (1992)",0.99425,0.9575,0.83375,0.99425,0.7875000000000001,0.9555,0.687,0.7875000000000001,0.7395,0.647,0.4105,0.43775,0.4519999999999999,0.4765,0.44725,0.44725,0.31425,0.44725,0.43775,0.8815,0.5835,0.539,0.3179999999999999,0.3642499999999999,0.2754999999999999,0.5855,0.381,0.4505,0.578,0.2845,0.3345,0.3405,0.32325,0.8445,0.16125,0.2219999999999999,0.7945,0.2279999999999999,0.30325,0.3834999999999999,0.3057499999999999,0.15425,0.2254999999999999,0.21425,0.1034999999999999,0.5055,0.11275,0.79325,0.207,0.187,0.1902499999999999,0.09425,0.294,0.2045,0.2254999999999999,0.4135,0.185,0.2455,0.25575,0.16875,0.1355,0.1169999999999999,0.22025,0.3225,0.15175,0.2865,0.0969999999999999,0.2239999999999999,0.8009999999999999,0.1144999999999999,0.08775,0.118,0.27675,0.10875,0.2435,0.059,0.14825,0.51,0.14275,0.1942499999999999,0.141,0.1124999999999999,0.11225,0.18275,0.18475,0.0747499999999999,0.172,0.04575,0.09025,0.1287499999999999,0.1252499999999999,0.05175,0.1564999999999999,0.17275,0.091,0.1004999999999999,0.05625,0.0682499999999999,0.0702499999999999,0.0637499999999999,0.0494999999999999,0.1887499999999999,0.0514999999999999,0.1257499999999999,0.06025,0.152,0.0354999999999999,0.063,0.092,0.27825,0.0782499999999999,0.1124999999999999,0.05175,0.06125,0.0825,0.0742499999999999,0.09625,0.086,0.0802499999999999,0.16625,0.141,0.0394999999999999,0.0369999999999999,0.1074999999999999,0.0374999999999999,0.0662499999999999,0.1029999999999999,0.1425,0.0795,0.0595,0.0969999999999999,0.0414999999999999,0.0399999999999999,0.1317499999999999,0.0329999999999999,0.0685,0.05675,0.11475,0.05225,0.0509999999999999,0.03125,0.0319999999999999,0.027,0.03475,0.031,0.0257499999999999,0.0329999999999999,0.0404999999999999,0.0282499999999999
"Abyss, The (1989)",0.98375,0.96125,0.90975,0.903,0.8540000000000001,0.73375,0.903,0.90975,0.7987500000000001,0.8042499999999999,0.8712500000000001,0.8932500000000001,0.8540000000000001,0.8932500000000001,0.8154999999999999,0.80725,0.66525,0.8105,0.8105,0.959,0.517,0.5295,0.6355,0.76125,0.5335,0.53475,0.3345,0.53375,0.364,0.2604999999999999,0.4772499999999999,0.38075,0.3335,0.596,0.236,0.33825,0.192,0.26575,0.5845,0.26725,0.3622499999999999,0.30925,0.23075,0.23125,0.31375,0.236,0.26175,0.1709999999999999,0.3645,0.2194999999999999,0.35475,0.33325,0.37975,0.258,0.14925,0.24675,0.2734999999999999,0.24075,0.32375,0.35075,0.23275,0.43875,0.24125,0.22325,0.236,0.18225,0.277,0.16225,0.21775,0.14075,0.17975,0.3107499999999999,0.2005,0.144,0.26475,0.125,0.18375,0.18375,0.3185,0.17425,0.127,0.45575,0.10025,0.23375,0.147,0.15975,0.16075,0.16925,0.1957499999999999,0.1054999999999999,0.1069999999999999,0.73925,0.12075,0.50625,0.10225,0.16575,0.12475,0.09275,0.17875,0.1074999999999999,0.4325,0.1317499999999999,0.11725,0.10925,0.14325,0.12175,0.0757499999999999,0.17475,0.1355,0.03525,0.05925,0.09,0.0697499999999999,0.0805,0.08,0.21775,0.0429999999999999,0.1124999999999999,0.1074999999999999,0.0762499999999999,0.15575,0.06225,0.0852499999999999,0.0852499999999999,0.0339999999999999,0.05825,0.1104999999999999,0.0652499999999999,0.213,0.059,0.126,0.089,0.04875,0.0539999999999999,0.071,0.0235,0.0625,0.03525,0.0404999999999999,0.05525,0.0389999999999999,0.0717499999999999,0.0499999999999999,0.09175,0.028,0.031,0.0489999999999999,0.04675,0.03575
"Day the Earth Stood Still, The (1951)",0.99025,0.7925,0.97,0.8009999999999999,0.97,0.71925,0.415,0.97,0.97,0.4725,0.9185,0.93975,0.71125,0.93975,0.97,0.94975,0.6225,0.97,0.788,0.64525,0.30525,0.4519999999999999,0.94975,0.4247499999999999,0.64025,0.50725,0.31975,0.41925,0.5265,0.28,0.3774999999999999,0.3655,0.24825,0.27875,0.80125,0.20825,0.3555,0.495,0.32725,0.37775,0.1972499999999999,0.6755,0.22725,0.258,0.30325,0.2,0.4237499999999999,0.1332499999999999,0.2269999999999999,0.3612499999999999,0.3452499999999999,0.50725,0.3555,0.15425,0.303,0.4762499999999999,0.2455,0.20875,0.3135,0.28425,0.33575,0.15525,0.22875,0.2095,0.26875,0.18375,0.27,0.1564999999999999,0.204,0.0964999999999999,0.28725,0.33525,0.25525,0.0722499999999999,0.1377499999999999,0.2887499999999999,0.35675,0.146,0.17075,0.0815,0.144,0.1355,0.10775,0.18025,0.27375,0.21825,0.1402499999999999,0.183,0.17175,0.1387499999999999,0.4325,0.1805,0.125,0.1699999999999999,0.8839999999999999,0.1455,0.1895,0.0944999999999999,0.4097499999999999,0.0672499999999999,0.10525,0.05175,0.22675,0.074,0.14075,0.22125,0.0747499999999999,0.0767499999999999,0.04225,0.03875,0.061,0.0842499999999999,0.0514999999999999,0.1004999999999999,0.1485,0.14175,0.0742499999999999,0.136,0.1094999999999999,0.03,0.14325,0.0564999999999999,0.11375,0.16825,0.05675,0.0524999999999999,0.1262499999999999,0.0409999999999999,0.063,0.0524999999999999,0.0827499999999999,0.2495,0.0424999999999999,0.06225,0.0539999999999999,0.03275,0.13,0.0295,0.0685,0.0344999999999999,0.0305,0.0697499999999999,0.09125,0.05675,0.0369999999999999,0.0499999999999999,0.05625,0.03825,0.0484999999999999
