movieId,weird,melancholic,independent film,original,runaway,greed,culture clash,betrayal,dialogue,drama,drinking,catastrophe,pornography,mentor,good,vengeance,quirky,life philosophy,predictable,life & death,light,not funny,fantasy world,dysfunctional family,adaptation,sexy,creativity,absurd,writers,chase,very funny,queer,transformation,unlikely friendships,first contact,women,death,film noir,classic car,childhood,hotel,fight scenes,multiple storylines,weapons,islam,road movie,nudity (full frontal - brief),pulp,divorce,fun movie,surveillance,addiction,prejudice,dreams,small town,farce,tokyo,teen movie,hospital,too long,irish accent,underrated,computer animation,british,period piece,bollywood,censorship,memory,doctors,new jersey,wartime,good music,california,stand-up comedy,finnish,sacrifice,documentary,family,1930s,alter ego,camp,wilderness,stoner movie,blindness,mad scientist,stereotypes,french,workplace,internet,prison,indians,texas,interracial romance,simple,atheism,directorial debut,russian,adoption,awesome soundtrack,brothers,wine,god,hip hop,desert,australia,alternate history,new york city,survival,notable nudity,homeless,prostitution,immortality,nudity (topless - brief),no plot,kick-butt women,ensemble cast,hunting,made for tv,island,nudity (rear),fashion,kidnapping,cancer,reality tv,unlikeable characters,oil,goth,80s,robert downey jr,shopping,radio,race,san francisco,trilogy,father daughter relationship,potential oscar nom,lawyer,best of 2005,los angeles,rebellion,snakes,graphic novel,too short,ghosts/afterlife,foul language,single father,time,buddy movie,remake
Lamerica (1994),0.54275,0.7125,0.72175,0.51975,0.589,0.54275,0.52,0.24625,0.433,0.52,0.33425,0.44625,0.26875,0.4105,0.34125,0.35575,0.1302499999999999,0.3399999999999999,0.2405,0.559,0.33425,0.3505,0.3215,0.23425,0.25375,0.10675,0.16825,0.14,0.12225,0.345,0.1895,0.12075,0.245,0.118,0.2405,0.082,0.2827499999999999,0.1977499999999999,0.11675,0.17675,0.193,0.244,0.193,0.24975,0.379,0.4277499999999999,0.0735,0.12225,0.08875,0.1415,0.1342499999999999,0.07,0.14225,0.10225,0.1277499999999999,0.09125,0.25525,0.132,0.0855,0.09025,0.1877499999999999,0.09025,0.1795,0.20325,0.0969999999999999,0.1342499999999999,0.0257499999999999,0.1257499999999999,0.11125,0.1215,0.16075,0.09575,0.0935,0.0692499999999999,0.11175,0.09125,0.1305,0.17675,0.11275,0.14125,0.15725,0.04975,0.0489999999999999,0.25,0.092,0.0969999999999999,0.06175,0.0682499999999999,0.13,0.292,0.0732499999999999,0.0964999999999999,0.0364999999999999,0.0667499999999999,0.093,0.04375,0.10575,0.0954999999999999,0.1355,0.1292499999999999,0.0349999999999999,0.0324999999999999,0.05675,0.15625,0.0544999999999999,0.05075,0.03975,0.14625,0.179,0.1315,0.0949999999999999,0.0539999999999999,0.0464999999999999,0.1154999999999999,0.1064999999999999,0.0349999999999999,0.04275,0.0544999999999999,0.0747499999999999,0.1887499999999999,0.09275,0.1525,0.0329999999999999,0.0275,0.0384999999999999,0.04275,0.0329999999999999,0.0354999999999999,0.0885,0.031,0.03425,0.0822499999999999,0.076,0.201,0.0837499999999999,0.0227499999999999,0.0439999999999999,0.04625,0.0115,0.1154999999999999,0.0172499999999999,0.0559999999999999,0.0227499999999999,0.0584999999999999,0.0292499999999999,0.03925,0.014,0.0167499999999999,0.012
Georgia (1995),0.7245,0.79925,0.77325,0.67625,0.7245,0.4145,0.7245,0.4725,0.527,0.7245,0.7245,0.4305,0.4629999999999999,0.46975,0.35075,0.31675,0.37075,0.302,0.37375,0.24425,0.24075,0.36275,0.3037499999999999,0.6175,0.2817499999999999,0.1875,0.2304999999999999,0.1684999999999999,0.356,0.1855,0.194,0.3482499999999999,0.23075,0.17975,0.22775,0.1765,0.1735,0.1034999999999999,0.1332499999999999,0.1475,0.12225,0.22125,0.25375,0.22125,0.09675,0.10725,0.156,0.15675,0.1405,0.22125,0.0677499999999999,0.8434999999999999,0.17175,0.0765,0.16325,0.066,0.09225,0.1252499999999999,0.14175,0.15875,0.146,0.3017499999999999,0.189,0.119,0.0969999999999999,0.0767499999999999,0.0964999999999999,0.0984999999999999,0.0782499999999999,0.1917499999999999,0.0944999999999999,0.8,0.1465,0.118,0.14575,0.121,0.0419999999999999,0.34675,0.04675,0.193,0.08775,0.059,0.18525,0.0785,0.0815,0.3632499999999999,0.0444999999999999,0.06225,0.14775,0.0715,0.0775,0.1245,0.10575,0.0979999999999999,0.05425,0.0925,0.05475,0.0632499999999999,0.1937499999999999,0.1019999999999999,0.0534999999999999,0.04675,0.16675,0.04025,0.0509999999999999,0.09325,0.087,0.0837499999999999,0.20375,0.05775,0.04275,0.0484999999999999,0.074,0.1714999999999999,0.14075,0.235,0.0257499999999999,0.05575,0.0449999999999999,0.0785,0.029,0.0732499999999999,0.066,0.12,0.16975,0.0292499999999999,0.0827499999999999,0.0954999999999999,0.1342499999999999,0.0399999999999999,0.09725,0.06175,0.0369999999999999,0.0449999999999999,0.05375,0.0484999999999999,0.018,0.03225,0.0807499999999999,0.03375,0.0359999999999999,0.0685,0.04575,0.0414999999999999,0.06025,0.0657499999999999,0.0642499999999999,0.03875,0.0285
The Journey of August King (1995),0.587,0.587,0.57925,0.65425,0.74975,0.32225,0.587,0.3864999999999999,0.25,0.3692499999999999,0.1892499999999999,0.43125,0.2229999999999999,0.48175,0.426,0.60575,0.2754999999999999,0.2885,0.26775,0.53075,0.12175,0.32925,0.3159999999999999,0.2185,0.2955,0.1845,0.14375,0.11725,0.21725,0.21625,0.21875,0.16575,0.21125,0.3692499999999999,0.1905,0.0815,0.248,0.1892499999999999,0.3159999999999999,0.1169999999999999,0.173,0.15575,0.15825,0.26125,0.3505,0.1169999999999999,0.12325,0.1352499999999999,0.0642499999999999,0.1689999999999999,0.08675,0.0697499999999999,0.3625,0.12025,0.2304999999999999,0.0745,0.0672499999999999,0.1362499999999999,0.1277499999999999,0.0657499999999999,0.3195,0.263,0.1332499999999999,0.11875,0.1367499999999999,0.3155,0.0384999999999999,0.0954999999999999,0.08825,0.17525,0.0959999999999999,0.0935,0.153,0.10525,0.05025,0.3445,0.0494999999999999,0.12475,0.10175,0.0895,0.0845,0.3705,0.061,0.15775,0.0635,0.06225,0.0464999999999999,0.0837499999999999,0.0835,0.0969999999999999,0.0727499999999999,0.0645,0.11525,0.09675,0.0817499999999999,0.1342499999999999,0.24375,0.0424999999999999,0.0865,0.0805,0.061,0.03925,0.1345,0.0235,0.18575,0.11775,0.11575,0.0964999999999999,0.25675,0.0775,0.03475,0.061,0.0404999999999999,0.015,0.063,0.0605,0.03475,0.1584999999999999,0.05725,0.1614999999999999,0.05175,0.0484999999999999,0.10275,0.03975,0.0404999999999999,0.0652499999999999,0.0314999999999999,0.0657499999999999,0.04225,0.0314999999999999,0.0404999999999999,0.1124999999999999,0.0737499999999999,0.0695,0.0404999999999999,0.05425,0.03425,0.0334999999999999,0.0225,0.04375,0.0237499999999999,0.019,0.062,0.11925,0.0717499999999999,0.0519999999999999,0.0287499999999999,0.0225,0.0107499999999999
Heidi Fleiss: Hollywood Madam (1995),0.581,0.4485,0.5685,0.59625,0.53375,0.81175,0.4135,0.3255,0.2845,0.348,0.45925,0.406,0.81975,0.51025,0.2614999999999999,0.308,0.262,0.1425,0.33425,0.198,0.3165,0.22975,0.33025,0.60225,0.2355,0.40375,0.15725,0.3165,0.2825,0.1947499999999999,0.266,0.25075,0.207,0.09275,0.22325,0.23025,0.11725,0.42125,0.16025,0.09675,0.636,0.201,0.43925,0.1982499999999999,0.24975,0.3934999999999999,0.272,0.17975,0.0974999999999999,0.3894999999999999,0.1435,0.48975,0.2465,0.076,0.1185,0.15025,0.1322499999999999,0.22125,0.1305,0.1365,0.10075,0.083,0.1654999999999999,0.08625,0.0579999999999999,0.11975,0.303,0.0767499999999999,0.18425,0.138,0.0797499999999999,0.0549999999999999,0.7565,0.0885,0.0574999999999999,0.0747499999999999,0.72625,0.09,0.1245,0.0954999999999999,0.0875,0.074,0.09375,0.12425,0.0584999999999999,0.1317499999999999,0.0339999999999999,0.1257499999999999,0.5165,0.1947499999999999,0.0524999999999999,0.10525,0.14475,0.0489999999999999,0.0225,0.1084999999999999,0.0524999999999999,0.05225,0.06075,0.067,0.1044999999999999,0.03125,0.31325,0.0202499999999999,0.03125,0.0795,0.0662499999999999,0.03975,0.16975,0.1342499999999999,0.8707499999999999,0.03075,0.1029999999999999,0.0434999999999999,0.09225,0.1175,0.0454999999999999,0.0404999999999999,0.0364999999999999,0.0484999999999999,0.12425,0.08975,0.0339999999999999,0.23375,0.2115,0.12475,0.03525,0.05425,0.1169999999999999,0.05475,0.0245,0.0519999999999999,0.0745,0.03375,0.086,0.06,0.0344999999999999,0.0765,0.80925,0.022,0.04225,0.04125,0.0339999999999999,0.0175,0.0642499999999999,0.02,0.0202499999999999,0.0369999999999999,0.0237499999999999
Nobody Loves Me (Keiner liebt mich) (1994),0.68675,0.69525,0.69525,0.536,0.54575,0.501,0.42025,0.3652499999999999,0.3735,0.27175,0.69525,0.3914999999999999,0.2584999999999999,0.268,0.27175,0.3107499999999999,0.2867499999999999,0.72,0.538,0.64125,0.27175,0.2957499999999999,0.293,0.2095,0.2204999999999999,0.14425,0.1765,0.15375,0.26175,0.205,0.1377499999999999,0.401,0.306,0.10175,0.1555,0.4237499999999999,0.24075,0.1004999999999999,0.0845,0.17975,0.0509999999999999,0.12425,0.11575,0.09425,0.11075,0.14075,0.1272499999999999,0.137,0.09625,0.09425,0.143,0.11825,0.137,0.04625,0.0625,0.09725,0.21525,0.10575,0.07,0.1252499999999999,0.05625,0.06225,0.1054999999999999,0.2244999999999999,0.0994999999999999,0.14375,0.0504999999999999,0.0822499999999999,0.03675,0.10675,0.937,0.073,0.03425,0.387,0.5195,0.062,0.0652499999999999,0.09325,0.03825,0.0474999999999999,0.0755,0.17625,0.0449999999999999,0.04575,0.11475,0.20625,0.12125,0.202,0.0479999999999999,0.0579999999999999,0.05625,0.0374999999999999,0.18425,0.03175,0.04925,0.0782499999999999,0.09675,0.0285,0.0514999999999999,0.04875,0.1465,0.0319999999999999,0.0564999999999999,0.0217499999999999,0.1845,0.0459999999999999,0.0192499999999999,0.1014999999999999,0.0369999999999999,0.069,0.0514999999999999,0.064,0.0152499999999999,0.0524999999999999,0.1295,0.0419999999999999,0.0364999999999999,0.0454999999999999,0.093,0.02,0.0559999999999999,0.0247499999999999,0.0554999999999999,0.0305,0.05075,0.0665,0.03675,0.0255,0.022,0.0267499999999999,0.0314999999999999,0.11275,0.0235,0.0237499999999999,0.11375,0.01,0.0115,0.0247499999999999,0.0147499999999999,0.0127499999999999,0.0775,0.0135,0.0237499999999999,0.021,0.0227499999999999,0.0175,0.0202499999999999,0.0142499999999999,0.0057499999999999
"Star Maker, The (Uomo delle stelle, L') (1995)",0.8354999999999999,0.8354999999999999,0.643,0.65675,0.37675,0.643,0.8354999999999999,0.27925,0.4167499999999999,0.46675,0.2239999999999999,0.42925,0.5505,0.4485,0.4942499999999999,0.3305,0.21525,0.2385,0.369,0.53125,0.21175,0.3037499999999999,0.22475,0.16425,0.218,0.24325,0.1982499999999999,0.16475,0.3379999999999999,0.18325,0.2975,0.1927499999999999,0.25825,0.3512499999999999,0.172,0.372,0.22775,0.0994999999999999,0.2314999999999999,0.40575,0.175,0.15575,0.2825,0.11625,0.12375,0.3389999999999999,0.3289999999999999,0.1282499999999999,0.14775,0.1352499999999999,0.0732499999999999,0.1164999999999999,0.236,0.50075,0.3259999999999999,0.079,0.214,0.1034999999999999,0.14575,0.173,0.1795,0.1945,0.1255,0.16025,0.16025,0.2027499999999999,0.2249999999999999,0.1885,0.1342499999999999,0.04825,0.208,0.092,0.1134999999999999,0.1395,0.03975,0.0865,0.1019999999999999,0.091,0.0827499999999999,0.09425,0.0807499999999999,0.087,0.071,0.0737499999999999,0.075,0.082,0.11075,0.067,0.04925,0.1235,0.065,0.04275,0.05675,0.16325,0.1164999999999999,0.0554999999999999,0.0822499999999999,0.0747499999999999,0.0697499999999999,0.1255,0.09925,0.0755,0.0595,0.06125,0.05625,0.0857499999999999,0.0675,0.05475,0.1337499999999999,0.0695,0.0822499999999999,0.04275,0.0755,0.0652499999999999,0.0735,0.0645,0.03325,0.0647499999999999,0.1515,0.183,0.118,0.04125,0.076,0.1355,0.1124999999999999,0.0334999999999999,0.031,0.0359999999999999,0.03975,0.05675,0.0642499999999999,0.09475,0.03525,0.082,0.0439999999999999,0.0195,0.021,0.0344999999999999,0.024,0.04075,0.0172499999999999,0.009,0.0305,0.0314999999999999,0.0394999999999999,0.03275,0.03325,0.0275,0.013
"Silences of the Palace, The (Saimt el Qusur) (1994)",0.4962499999999999,0.5985,0.35,0.637,0.45275,0.305,0.70075,0.17875,0.27,0.33325,0.33325,0.4105,0.23125,0.52675,0.33325,0.41625,0.18125,0.24825,0.2075,0.2977499999999999,0.33325,0.3209999999999999,0.2855,0.3605,0.2022499999999999,0.68675,0.2224999999999999,0.1967499999999999,0.17125,0.2385,0.1659999999999999,0.39675,0.22575,0.31925,0.1815,0.8465,0.27975,0.156,0.55775,0.37725,0.06175,0.22575,0.14075,0.1574999999999999,0.2455,0.11425,0.0797499999999999,0.15,0.38725,0.16925,0.1485,0.05775,0.14375,0.066,0.182,0.153,0.31,0.18425,0.0559999999999999,0.1997499999999999,0.1525,0.04125,0.14425,0.0549999999999999,0.0534999999999999,0.2395,0.0954999999999999,0.2279999999999999,0.11075,0.1084999999999999,0.11525,0.4117499999999999,0.061,0.03475,0.071,0.059,0.08625,0.2244999999999999,0.0757499999999999,0.12375,0.34475,0.0787499999999999,0.071,0.15575,0.0777499999999999,0.23075,0.2875,0.0625,0.1029999999999999,0.1775,0.0625,0.0394999999999999,0.0454999999999999,0.05225,0.0735,0.0865,0.0672499999999999,0.0662499999999999,0.0852499999999999,0.0652499999999999,0.0127499999999999,0.05475,0.029,0.1377499999999999,0.0464999999999999,0.082,0.0364999999999999,0.06175,0.4885,0.0202499999999999,0.1887499999999999,0.04675,0.03775,0.06,0.0647499999999999,0.03275,0.03575,0.0469999999999999,0.08825,0.3522499999999999,0.0782499999999999,0.14925,0.03775,0.03375,0.0702499999999999,0.0115,0.16925,0.0655,0.0319999999999999,0.08975,0.0979999999999999,0.0267499999999999,0.0424999999999999,0.205,0.1287499999999999,0.30725,0.0067499999999999,0.04525,0.0207499999999999,0.178,0.022,0.0334999999999999,0.10875,0.0637499999999999,0.03225,0.05525,0.0277499999999999,0.0127499999999999,0.0082499999999999
From the Journals of Jean Seberg (1995),0.57125,0.6605,0.4619999999999999,0.65175,0.57125,0.51,0.51075,0.51075,0.29525,0.51,0.52075,0.4347499999999999,0.651,0.4014999999999999,0.4605,0.31525,0.34325,0.5175,0.1425,0.71225,0.4605,0.2935,0.25825,0.1897499999999999,0.4715,0.1262499999999999,0.2694999999999999,0.1937499999999999,0.28225,0.14225,0.24175,0.3482499999999999,0.22975,0.2455,0.16525,0.8565,0.0732499999999999,0.12175,0.34175,0.2095,0.1039999999999999,0.15525,0.18475,0.1609999999999999,0.4619999999999999,0.1455,0.17375,0.13,0.0855,0.11825,0.3255,0.1485,0.4619999999999999,0.0549999999999999,0.4692499999999999,0.05875,0.1004999999999999,0.1629999999999999,0.20825,0.1317499999999999,0.13,0.272,0.1352499999999999,0.0384999999999999,0.0915,0.141,0.0817499999999999,0.0817499999999999,0.0827499999999999,0.0969999999999999,0.1195,0.0974999999999999,0.1287499999999999,0.10375,0.2209999999999999,0.21575,0.95175,0.04575,0.1069999999999999,0.184,0.0697499999999999,0.12075,0.061,0.0409999999999999,0.151,0.33475,0.05925,0.1395,0.1885,0.0827499999999999,0.0949999999999999,0.071,0.0675,0.0534999999999999,0.0672499999999999,0.0979999999999999,0.16075,0.08975,0.05425,0.0479999999999999,0.085,0.03375,0.06075,0.023,0.03575,0.0777499999999999,0.089,0.0514999999999999,0.03,0.0549999999999999,0.1245,0.0627499999999999,0.05975,0.03475,0.0625,0.0414999999999999,0.0334999999999999,0.142,0.0845,0.0409999999999999,0.04925,0.03025,0.0615,0.03125,0.0292499999999999,0.0875,0.0499999999999999,0.02975,0.03075,0.0085,0.04825,0.0339999999999999,0.0334999999999999,0.03325,0.0875,0.016,0.028,0.0277499999999999,0.0319999999999999,0.0314999999999999,0.0222499999999999,0.0202499999999999,0.10025,0.0677499999999999,0.028,0.0339999999999999,0.022,0.022,0.0167499999999999
Man of the Year (1995),0.46425,0.671,0.8340000000000001,0.5875,0.419,0.3195,0.5675,0.419,0.27475,0.419,0.186,0.40725,0.496,0.40725,0.2967499999999999,0.3399999999999999,0.2329999999999999,0.68675,0.191,0.401,0.21375,0.27675,0.30925,0.1699999999999999,0.31375,0.1337499999999999,0.28825,0.15075,0.28925,0.2017499999999999,0.2455,0.969,0.2435,0.419,0.2175,0.1525,0.519,0.1029999999999999,0.09125,0.0732499999999999,0.1029999999999999,0.22475,0.1624999999999999,0.14175,0.60225,0.09275,0.2754999999999999,0.1902499999999999,0.1629999999999999,0.25425,0.1009999999999999,0.09,0.60225,0.118,0.1164999999999999,0.1977499999999999,0.09475,0.1362499999999999,0.15525,0.1975,0.1295,0.1099999999999999,0.1629999999999999,0.0727499999999999,0.0727499999999999,0.05475,0.0787499999999999,0.10575,0.085,0.22375,0.1589999999999999,0.05975,0.258,0.59625,0.67175,0.0695,0.754,0.16575,0.05575,0.17825,0.1335,0.04475,0.12475,0.2055,0.084,0.2385,0.0409999999999999,0.11075,0.072,0.0665,0.0735,0.0939999999999999,0.137,0.1009999999999999,0.082,0.0635,0.09375,0.0675,0.0954999999999999,0.10375,0.071,0.06125,0.21025,0.14875,0.122,0.10275,0.0802499999999999,0.0574999999999999,0.10925,0.10525,0.04575,0.2375,0.08725,0.0287499999999999,0.0424999999999999,0.0349999999999999,0.02,0.0747499999999999,0.09775,0.15525,0.1892499999999999,0.04725,0.22225,0.0852499999999999,0.03375,0.0192499999999999,0.04875,0.0662499999999999,0.1295,0.0464999999999999,0.0252499999999999,0.0842499999999999,0.0635,0.0444999999999999,0.04425,0.0117499999999999,0.04375,0.0112499999999999,0.0265,0.0665,0.0242499999999999,0.0172499999999999,0.0554999999999999,0.029,0.0295,0.0227499999999999,0.0667499999999999,0.0217499999999999,0.0187499999999999
"Addiction, The (1995)",0.8015000000000001,0.67125,0.7827500000000001,0.69725,0.61575,0.53975,0.4845,0.40725,0.6815,0.4327499999999999,0.5725,0.3994999999999999,0.42525,0.6395,0.265,0.52125,0.22075,0.276,0.31325,0.7542500000000001,0.2907499999999999,0.3419999999999999,0.282,0.2455,0.48175,0.28125,0.2995,0.2907499999999999,0.2865,0.275,0.187,0.1945,0.58575,0.12025,0.24075,0.189,0.4585,0.4,0.17825,0.1144999999999999,0.09775,0.2219999999999999,0.1574999999999999,0.2175,0.22525,0.1034999999999999,0.2135,0.312,0.0544999999999999,0.172,0.0625,0.9595,0.09,0.1185,0.16725,0.0865,0.1307499999999999,0.1322499999999999,0.365,0.11325,0.146,0.254,0.126,0.05425,0.0777499999999999,0.031,0.136,0.0685,0.24375,0.1614999999999999,0.076,0.089,0.08875,0.10775,0.03,0.186,0.04325,0.0935,0.0419999999999999,0.20625,0.18725,0.0979999999999999,0.1235,0.10725,0.353,0.1332499999999999,0.0364999999999999,0.0807499999999999,0.08775,0.066,0.0605,0.079,0.0359999999999999,0.1094999999999999,0.1455,0.118,0.0464999999999999,0.066,0.1445,0.0637499999999999,0.0424999999999999,0.1455,0.3475,0.02,0.0282499999999999,0.0827499999999999,0.81,0.1495,0.1059999999999999,0.0787499999999999,0.084,0.8360000000000001,0.0895,0.066,0.09425,0.0559999999999999,0.03675,0.04875,0.0747499999999999,0.0837499999999999,0.09125,0.03225,0.05925,0.10125,0.1382499999999999,0.0277499999999999,0.934,0.10175,0.11325,0.0285,0.06075,0.03975,0.03825,0.0282499999999999,0.03625,0.03525,0.0257499999999999,0.05325,0.0202499999999999,0.0192499999999999,0.1295,0.1957499999999999,0.0132499999999999,0.0692499999999999,0.0399999999999999,0.0185,0.021,0.0205,0.03175
