movieId,original,good,drama,mentor,greed,culture clash,runaway,vengeance,weird,melancholic,unlikely friendships,sacrifice,prejudice,independent film,catastrophe,adaptation,betrayal,life & death,islam,dialogue,period piece,childhood,drinking,life philosophy,chase,light,fun movie,family,very funny,surveillance,teen movie,fight scenes,transformation,predictable,survival,death,not funny,first contact,pornography,good music,creativity,fantasy world,nudity (full frontal - brief),doctors,underrated,stereotypes,small town,hospital,indians,british,bollywood,dysfunctional family,weapons,dreams,irish accent,classic car,awesome soundtrack,quirky,brothers,new jersey,1930s,race,california,computer animation,simple,alter ego,foul language,wartime,cancer,writers,women,too long,alternate history,queer,road movie,prison,nudity (topless - brief),80s,addiction,absurd,radio,multiple storylines,blindness,sexy,texas,film noir,memory,lawyer,censorship,internet,atheism,wilderness,rebellion,adoption,interracial romance,farce,mad scientist,pulp,island,hotel,god,new york city,ensemble cast,single father,immortality,father daughter relationship,san francisco,desert,directorial debut,homeless,made for tv,australia,camp,stoner movie,workplace,tokyo,hip hop,divorce,time,best of 2005,russian,ghosts/afterlife,buddy movie,stand-up comedy,hunting,potential oscar nom,notable nudity,nudity (rear),robert downey jr,documentary,too short,snakes,kidnapping,oil,fashion,los angeles,kick-butt women,trilogy,finnish,shopping,prostitution,wine,reality tv,goth,no plot,graphic novel,unlikeable characters,french,remake
Across the Sea of Time (1995),0.9335,0.7729999999999999,0.469,0.6765,0.87025,0.71,0.6905,0.6905,0.87025,0.71,0.35375,0.56175,0.472,0.61475,0.81775,0.389,0.67225,0.61475,0.56175,0.4115,0.665,0.45875,0.33975,0.1164999999999999,0.372,0.4065,0.6315,0.4812499999999999,0.305,0.367,0.41925,0.4075,0.2135,0.4445,0.56025,0.2334999999999999,0.35075,0.81775,0.2365,0.1634999999999999,0.38025,0.60825,0.253,0.1355,0.201,0.26275,0.1405,0.2324999999999999,0.39675,0.11125,0.14625,0.197,0.372,0.1402499999999999,0.09975,0.549,0.1569999999999999,0.21575,0.22875,0.2314999999999999,0.10725,0.17875,0.0842499999999999,0.4832499999999999,0.38975,0.187,0.18125,0.1674999999999999,0.2229999999999999,0.1614999999999999,0.16975,0.0737499999999999,0.55625,0.17325,0.1255,0.181,0.1535,0.0835,0.0632499999999999,0.1387499999999999,0.21175,0.22225,0.16875,0.1215,0.1252499999999999,0.1124999999999999,0.14475,0.059,0.0632499999999999,0.2997499999999999,0.0815,0.29625,0.062,0.25925,0.09375,0.10125,0.1357499999999999,0.20425,0.1745,0.0519999999999999,0.2175,0.786,0.0752499999999999,0.0792499999999999,0.1952499999999999,0.1997499999999999,0.11475,0.144,0.16025,0.04175,0.0489999999999999,0.017,0.0635,0.10125,0.0707499999999999,0.09575,0.1185,0.0692499999999999,0.293,0.0227499999999999,0.45875,0.12125,0.0755,0.21925,0.0334999999999999,0.0132499999999999,0.091,0.0635,0.1455,0.179,0.0212499999999999,0.20825,0.0554999999999999,0.0165,0.47575,0.0735,0.0832499999999999,0.1325,0.03,0.0712499999999999,0.0419999999999999,0.0232499999999999,0.15225,0.0282499999999999,0.05625,0.0999999999999999,0.061,0.0695,0.1327499999999999
Mr. Holland's Opus (1995),0.8705,0.879,0.8185,0.97775,0.678,0.78925,0.78925,0.5745,0.5745,0.515,0.8027500000000001,0.6255,0.3602499999999999,0.70525,0.6855,0.39525,0.33775,0.70525,0.3395,0.31475,0.24975,0.60325,0.3285,0.62925,0.574,0.4235,0.4712499999999999,0.56275,0.2927499999999999,0.245,0.7565,0.353,0.4429999999999999,0.3685,0.42125,0.305,0.35775,0.27225,0.1709999999999999,0.98725,0.67,0.26375,0.40075,0.22775,0.24925,0.3329999999999999,0.23675,0.3125,0.15925,0.14,0.1084999999999999,0.22775,0.2035,0.659,0.1317499999999999,0.3027499999999999,0.40525,0.1995,0.20875,0.22625,0.1024999999999999,0.131,0.08825,0.21125,0.33575,0.25375,0.1159999999999999,0.0787499999999999,0.3349999999999999,0.16625,0.16675,0.1679999999999999,0.2764999999999999,0.1365,0.0895,0.10025,0.10325,0.151,0.2224999999999999,0.2199999999999999,0.26425,0.1634999999999999,0.1362499999999999,0.12375,0.0915,0.0765,0.17425,0.05475,0.0852499999999999,0.14175,0.09625,0.0695,0.0822499999999999,0.1305,0.0797499999999999,0.089,0.1315,0.1059999999999999,0.1119999999999999,0.09625,0.0539999999999999,0.1357499999999999,0.05075,0.2877499999999999,0.0959999999999999,0.0695,0.11825,0.04425,0.093,0.09675,0.05375,0.03325,0.0825,0.14775,0.10525,0.0832499999999999,0.36675,0.17525,0.247,0.0817499999999999,0.0722499999999999,0.11025,0.062,0.0999999999999999,0.03775,0.05875,0.0647499999999999,0.0584999999999999,0.03025,0.0287499999999999,0.16525,0.0399999999999999,0.05325,0.03775,0.0509999999999999,0.0494999999999999,0.05325,0.0464999999999999,0.04575,0.144,0.0454999999999999,0.03425,0.04975,0.0364999999999999,0.10025,0.03475,0.04125,0.0404999999999999,0.0494999999999999
Apollo 13 (1995),0.962,0.962,0.962,0.97025,0.962,0.87825,0.8720000000000001,0.91925,0.91925,0.651,0.53675,0.95275,0.95275,0.6845,0.8714999999999999,0.71875,0.33725,0.44375,0.883,0.4772499999999999,0.9265,0.72025,0.188,0.3159999999999999,0.54975,0.52775,0.556,0.49875,0.276,0.54975,0.3399999999999999,0.7335,0.4765,0.7335,0.7929999999999999,0.2145,0.3495,0.77125,0.15675,0.26125,0.4167499999999999,0.24775,0.2634999999999999,0.4822499999999999,0.26275,0.1345,0.1684999999999999,0.22575,0.41925,0.21575,0.2027499999999999,0.31875,0.27875,0.244,0.567,0.2005,0.1679999999999999,0.146,0.1144999999999999,0.16175,0.20775,0.3522499999999999,0.27425,0.2995,0.265,0.1255,0.1285,0.20875,0.15725,0.1465,0.12225,0.1865,0.40025,0.11375,0.0792499999999999,0.122,0.087,0.21475,0.05325,0.1139999999999999,0.389,0.1352499999999999,0.1255,0.09875,0.09725,0.079,0.147,0.08825,0.0692499999999999,0.17875,0.20975,0.1262499999999999,0.089,0.0832499999999999,0.1255,0.0595,0.397,0.10075,0.2329999999999999,0.14525,0.177,0.0595,0.4599999999999999,0.152,0.2475,0.08975,0.10525,0.183,0.0795,0.0549999999999999,0.192,0.0895,0.087,0.0725,0.05575,0.087,0.04525,0.089,0.238,0.0484999999999999,0.1445,0.11475,0.05325,0.0642499999999999,0.0717499999999999,0.0544999999999999,0.0449999999999999,0.06075,0.0514999999999999,0.0595,0.126,0.0637499999999999,0.0715,0.1425,0.0529999999999999,0.04275,0.0584999999999999,0.05175,0.0295,0.03975,0.0257499999999999,0.03625,0.0419999999999999,0.04325,0.05175,0.026,0.024,0.03175,0.0499999999999999
Immortal Beloved (1994),0.7842499999999999,0.7842499999999999,0.8885000000000001,0.8752500000000001,0.7525,0.7842499999999999,0.6945,0.7245,0.7525,0.7525,0.424,0.55125,0.2504999999999999,0.66875,0.4892499999999999,0.4297499999999999,0.4609999999999999,0.66875,0.55125,0.5765,0.687,0.412,0.48375,0.566,0.34675,0.27525,0.22375,0.213,0.24775,0.20525,0.1355,0.32075,0.395,0.24,0.155,0.4735,0.33025,0.21075,0.51,0.967,0.5215,0.3135,0.50275,0.202,0.549,0.1262499999999999,0.149,0.18675,0.123,0.24675,0.3552499999999999,0.1835,0.18025,0.215,0.17875,0.24925,0.57275,0.24725,0.2199999999999999,0.201,0.11375,0.1505,0.09575,0.1475,0.1785,0.27225,0.0989999999999999,0.0805,0.15475,0.31675,0.39375,0.1372499999999999,0.14375,0.1395,0.1109999999999999,0.12025,0.1535,0.10875,0.25075,0.1972499999999999,0.12125,0.2175,0.2209999999999999,0.3625,0.05925,0.17725,0.199,0.04625,0.1885,0.0672499999999999,0.147,0.137,0.3175,0.0544999999999999,0.0695,0.0712499999999999,0.1235,0.16125,0.0905,0.262,0.10375,0.0825,0.093,0.04225,0.3067499999999999,0.09825,0.074,0.1034999999999999,0.11275,0.0725,0.08775,0.072,0.0855,0.16425,0.065,0.1154999999999999,0.2239999999999999,0.075,0.0722499999999999,0.11225,0.074,0.2194999999999999,0.0662499999999999,0.10775,0.06075,0.122,0.27725,0.28325,0.1322499999999999,0.04175,0.0832499999999999,0.0574999999999999,0.081,0.0207499999999999,0.0652499999999999,0.0645,0.0827499999999999,0.0615,0.0715,0.05975,0.0424999999999999,0.04475,0.03325,0.0875,0.1004999999999999,0.05475,0.089,0.05875,0.04275
Murder in the First (1995),0.91875,0.90925,0.831,0.88575,0.91875,0.90925,0.90925,0.90925,0.64325,0.62025,0.61175,0.78325,0.504,0.3804999999999999,0.5455,0.389,0.91875,0.32425,0.78325,0.35375,0.42425,0.30725,0.26975,0.4125,0.493,0.2145,0.34325,0.1372499999999999,0.275,0.4419999999999999,0.20975,0.21275,0.298,0.282,0.2534999999999999,0.4207499999999999,0.38325,0.23825,0.78325,0.15675,0.15325,0.2534999999999999,0.26075,0.1614999999999999,0.4145,0.2005,0.194,0.31275,0.1425,0.153,0.1119999999999999,0.1175,0.1997499999999999,0.2435,0.34025,0.23225,0.0959999999999999,0.144,0.177,0.22125,0.669,0.20975,0.1995,0.145,0.11825,0.1957499999999999,0.134,0.1099999999999999,0.11975,0.1525,0.1555,0.0825,0.18075,0.1312499999999999,0.0735,0.9355,0.155,0.08625,0.18425,0.135,0.11525,0.11225,0.1897499999999999,0.09425,0.0722499999999999,0.08975,0.06175,0.94125,0.09875,0.2395,0.0812499999999999,0.067,0.1262499999999999,0.0762499999999999,0.06025,0.0842499999999999,0.0969999999999999,0.09275,0.1897499999999999,0.0722499999999999,0.08,0.0732499999999999,0.175,0.0707499999999999,0.08625,0.04925,0.3722499999999999,0.0235,0.1355,0.09875,0.08825,0.05575,0.065,0.146,0.08,0.06,0.0705,0.05375,0.09375,0.0399999999999999,0.1019999999999999,0.1337499999999999,0.0775,0.0845,0.0394999999999999,0.06225,0.0662499999999999,0.0915,0.123,0.0275,0.0815,0.03325,0.1825,0.03,0.0262499999999999,0.03875,0.05975,0.04125,0.03775,0.0314999999999999,0.0632499999999999,0.03575,0.05825,0.0384999999999999,0.0354999999999999,0.086,0.03325,0.03275,0.074
"Bronx Tale, A (1993)",0.99525,0.9215,0.825,0.95725,0.79375,0.825,0.73075,0.839,0.9215,0.72625,0.98025,0.379,0.51075,0.6135,0.56225,0.30125,0.994,0.5615,0.16575,0.557,0.4237499999999999,0.80575,0.522,0.41225,0.54225,0.557,0.3339999999999999,0.26825,0.4395,0.999,0.4555,0.62575,0.32025,0.2534999999999999,0.282,0.3305,0.3245,0.1975,0.41125,0.6085,0.18575,0.39275,0.253,0.188,0.50475,0.2185,0.2897499999999999,0.21125,0.2035,0.1465,0.15725,0.26425,0.31625,0.263,0.489,0.4679999999999999,0.6085,0.198,0.236,0.3369999999999999,0.20875,0.25325,0.3017499999999999,0.26825,0.287,0.1992499999999999,0.3309999999999999,0.144,0.198,0.1335,0.145,0.15975,0.14275,0.11425,0.2002499999999999,0.17825,0.3315,0.2204999999999999,0.281,0.08975,0.1305,0.274,0.1955,0.20775,0.137,0.1725,0.4095,0.1725,0.0959999999999999,0.0732499999999999,0.063,0.1094999999999999,0.27,0.1352499999999999,0.8560000000000001,0.09075,0.076,0.21525,0.073,0.1415,0.0632499999999999,0.7662500000000001,0.0802499999999999,0.1405,0.10325,0.129,0.0857499999999999,0.0464999999999999,0.7757499999999999,0.081,0.0905,0.05575,0.0797499999999999,0.27225,0.063,0.14475,0.1937499999999999,0.0755,0.1897499999999999,0.14725,0.09675,0.10475,0.22575,0.1119999999999999,0.0615,0.144,0.0939999999999999,0.15225,0.0725,0.04425,0.028,0.05125,0.0807499999999999,0.05775,0.0429999999999999,0.09275,0.06175,0.1505,0.07,0.0539999999999999,0.0677499999999999,0.0255,0.03125,0.0429999999999999,0.0625,0.0359999999999999,0.177,0.03925,0.03625
With Honors (1994),0.8967499999999999,0.96925,0.96925,0.8975,0.65075,0.70075,0.70075,0.65075,0.4605,0.679,0.96925,0.4599999999999999,0.4535,0.902,0.54425,0.392,0.31825,0.902,0.1669999999999999,0.3399999999999999,0.09375,0.4147499999999999,0.56025,0.774,0.54075,0.2754999999999999,0.35975,0.239,0.38175,0.17625,0.4135,0.2937499999999999,0.43025,0.48375,0.5435,0.483,0.356,0.3145,0.17425,0.2289999999999999,0.27275,0.204,0.254,0.30825,0.23825,0.37875,0.185,0.4014999999999999,0.0752499999999999,0.10425,0.0777499999999999,0.151,0.18025,0.3512499999999999,0.17225,0.2395,0.2289999999999999,0.3305,0.17325,0.399,0.0717499999999999,0.0984999999999999,0.1325,0.203,0.4435,0.261,0.09775,0.2664999999999999,0.31975,0.188,0.1765,0.05125,0.1654999999999999,0.1225,0.25075,0.11975,0.26,0.1109999999999999,0.24725,0.152,0.577,0.21525,0.17125,0.0939999999999999,0.07,0.079,0.283,0.04875,0.05975,0.15175,0.194,0.14375,0.0464999999999999,0.15025,0.04575,0.18525,0.18325,0.1267499999999999,0.1505,0.0842499999999999,0.075,0.09075,0.271,0.2604999999999999,0.1952499999999999,0.0464999999999999,0.14425,0.0544999999999999,0.0777499999999999,0.981,0.03875,0.0314999999999999,0.0852499999999999,0.1945,0.0994999999999999,0.0685,0.088,0.09425,0.2264999999999999,0.0212499999999999,0.079,0.365,0.0354999999999999,0.0757499999999999,0.0647499999999999,0.0767499999999999,0.09175,0.1074999999999999,0.08775,0.0195,0.187,0.04125,0.03325,0.03375,0.0217499999999999,0.03925,0.0595,0.0534999999999999,0.089,0.25775,0.04725,0.0319999999999999,0.04475,0.0237499999999999,0.074,0.016,0.0227499999999999,0.04025,0.0832499999999999
In the Name of the Father (1993),0.93525,0.9025,0.9155,0.92125,0.93525,0.9155,0.9155,0.9155,0.9025,0.6755,0.59625,0.7665,0.533,0.73075,0.52275,0.7055,0.93525,0.606,0.7665,0.44825,0.758,0.28425,0.393,0.2694999999999999,0.359,0.2485,0.20975,0.3379999999999999,0.37375,0.79775,0.16475,0.34775,0.3385,0.17375,0.26725,0.39075,0.38725,0.1669999999999999,0.4832499999999999,0.4395,0.137,0.27675,0.37725,0.17075,0.3685,0.17775,0.21275,0.25125,0.40175,0.68075,0.33375,0.4932499999999999,0.2304999999999999,0.1335,0.8927499999999999,0.2324999999999999,0.3605,0.218,0.2445,0.2345,0.11125,0.298,0.16975,0.1302499999999999,0.1225,0.1574999999999999,0.2219999999999999,0.174,0.16875,0.12475,0.15775,0.1275,0.1445,0.15975,0.1345,0.8574999999999999,0.1175,0.10725,0.266,0.1362499999999999,0.0554999999999999,0.2012499999999999,0.24,0.15475,0.11425,0.1735,0.1034999999999999,0.6685,0.15775,0.08625,0.12325,0.14225,0.39675,0.16425,0.0727499999999999,0.065,0.061,0.0875,0.0795,0.0825,0.1322499999999999,0.0504999999999999,0.1029999999999999,0.0999999999999999,0.04775,0.1977499999999999,0.0645,0.0384999999999999,0.25075,0.1357499999999999,0.2244999999999999,0.1245,0.077,0.16025,0.05875,0.15975,0.06075,0.0424999999999999,0.0837499999999999,0.1315,0.1099999999999999,0.04025,0.1805,0.10775,0.061,0.11225,0.09475,0.077,0.08825,0.063,0.0334999999999999,0.0287499999999999,0.07,0.05125,0.0192499999999999,0.04175,0.05875,0.0682499999999999,0.155,0.015,0.08875,0.0275,0.0464999999999999,0.04175,0.0319999999999999,0.10125,0.03225,0.0399999999999999,0.03775
What's Love Got to Do with It? (1993),0.8714999999999999,0.8714999999999999,0.9325,0.91225,0.9325,0.9325,0.9325,0.70275,0.4932499999999999,0.3994999999999999,0.376,0.649,0.649,0.43875,0.45875,0.409,0.57,0.43875,0.17725,0.32175,0.17475,0.4449999999999999,0.52225,0.3904999999999999,0.259,0.26875,0.265,0.2784999999999999,0.267,0.1124999999999999,0.293,0.2485,0.372,0.3225,0.138,0.24,0.35275,0.2254999999999999,0.3369999999999999,0.733,0.245,0.2514999999999999,0.3645,0.2015,0.28075,0.2015,0.2329999999999999,0.2199999999999999,0.0994999999999999,0.10925,0.1387499999999999,0.2175,0.16675,0.2175,0.12225,0.21625,0.29525,0.16325,0.1669999999999999,0.22325,0.33025,0.17025,0.17375,0.15875,0.08725,0.2075,0.1649999999999999,0.088,0.17325,0.14075,0.388,0.0925,0.1215,0.209,0.143,0.11375,0.1169999999999999,0.26125,0.547,0.12175,0.14625,0.11925,0.16125,0.1825,0.0857499999999999,0.08625,0.0707499999999999,0.0832499999999999,0.09125,0.0825,0.0785,0.1302499999999999,0.1014999999999999,0.123,0.1397499999999999,0.076,0.09825,0.2855,0.06,0.12125,0.1305,0.0645,0.04175,0.062,0.069,0.12075,0.09375,0.0424999999999999,0.0802499999999999,0.10825,0.12175,0.0687499999999999,0.10725,0.0807499999999999,0.0647499999999999,0.09075,0.2837499999999999,0.26175,0.05225,0.0529999999999999,0.0504999999999999,0.1215,0.1395,0.1925,0.0439999999999999,0.0852499999999999,0.1725,0.0785,0.122,0.0677499999999999,0.0802499999999999,0.0802499999999999,0.04425,0.0295,0.04725,0.0504999999999999,0.05775,0.03125,0.0172499999999999,0.0262499999999999,0.0504999999999999,0.05825,0.08875,0.0534999999999999,0.03075,0.0509999999999999,0.076,0.0324999999999999,0.03725
Rudy (1993),0.8485,0.95425,0.8485,0.976,0.729,0.8485,0.578,0.578,0.71875,0.3199999999999999,0.77875,0.8394999999999999,0.8394999999999999,0.42325,0.65675,0.27375,0.45025,0.42325,0.638,0.266,0.2825,0.476,0.15275,0.38,0.402,0.258,0.4589999999999999,0.4489999999999999,0.25425,0.22875,0.564,0.543,0.4054999999999999,0.4519999999999999,0.2017499999999999,0.25325,0.3735,0.25225,0.1639999999999999,0.11725,0.3189999999999999,0.3149999999999999,0.262,0.2945,0.21475,0.2244999999999999,0.186,0.22875,0.14225,0.1084999999999999,0.264,0.11625,0.16925,0.92825,0.24775,0.15425,0.11725,0.16525,0.37825,0.63575,0.1144999999999999,0.2837499999999999,0.16725,0.184,0.27425,0.28225,0.16175,0.09675,0.2015,0.1307499999999999,0.14625,0.078,0.349,0.1297499999999999,0.11575,0.11975,0.0959999999999999,0.1352499999999999,0.1347499999999999,0.14975,0.3605,0.0944999999999999,0.1535,0.09775,0.24475,0.0797499999999999,0.1265,0.082,0.07,0.204,0.0735,0.1129999999999999,0.04625,0.0865,0.0494999999999999,0.1014999999999999,0.1352499999999999,0.12225,0.0969999999999999,0.0705,0.07,0.05725,0.0449999999999999,0.1927499999999999,0.156,0.0742499999999999,0.1175,0.03175,0.089,0.1255,0.1024999999999999,0.0574999999999999,0.1069999999999999,0.0747499999999999,0.0742499999999999,0.0595,0.1312499999999999,0.0595,0.15725,0.03825,0.1084999999999999,0.143,0.12325,0.0857499999999999,0.0642499999999999,0.0494999999999999,0.0785,0.0667499999999999,0.12375,0.03525,0.0999999999999999,0.0564999999999999,0.03625,0.03675,0.0534999999999999,0.03925,0.04925,0.0584999999999999,0.022,0.0434999999999999,0.0364999999999999,0.05525,0.0652499999999999,0.0369999999999999,0.0374999999999999,0.029,0.0319999999999999,0.0399999999999999,0.04275
