movieId,very funny,original,farce,light,weird,good,absurd,greed,runaway,predictable,quirky,melancholic,culture clash,vengeance,fun movie,mentor,chase,betrayal,drama,catastrophe,dialogue,independent film,surveillance,adaptation,creativity,pornography,fight scenes,life philosophy,fantasy world,drinking,family,first contact,transformation,life & death,underrated,weapons,unlikely friendships,sexy,stereotypes,childhood,writers,nudity (full frontal - brief),british,alter ego,dysfunctional family,islam,period piece,death,teen movie,classic car,computer animation,hotel,sacrifice,multiple storylines,prejudice,queer,not funny,pulp,good music,doctors,california,road movie,mad scientist,nudity (topless - brief),hospital,small town,stoner movie,censorship,women,80s,camp,workplace,buddy movie,alternate history,ensemble cast,foul language,survival,irish accent,new jersey,simple,brothers,1930s,awesome soundtrack,divorce,film noir,directorial debut,wartime,new york city,stand-up comedy,kidnapping,notable nudity,memory,nudity (rear),internet,too long,dreams,island,addiction,blindness,radio,bollywood,prison,wilderness,time,indians,tokyo,french,desert,no plot,russian,unlikeable characters,race,los angeles,fashion,reality tv,hip hop,shopping,interracial romance,wine,robert downey jr,lawyer,san francisco,ghosts/afterlife,immortality,atheism,adoption,australia,finnish,texas,best of 2005,made for tv,kick-butt women,god,rebellion,remake,homeless,cancer,trilogy,snakes,hunting,too short,oil,goth,potential oscar nom,prostitution,father daughter relationship,graphic novel,documentary,single father
Four Rooms (1995),0.612,0.83575,0.4615,0.4615,0.7637499999999999,0.60125,0.44225,0.60125,0.4065,0.474,0.885,0.50925,0.5775,0.6545,0.3065,0.39375,0.362,0.7637499999999999,0.5775,0.43775,0.5585,0.599,0.5015,0.3315,0.36175,0.499,0.27025,0.3325,0.3455,0.2385,0.086,0.23125,0.27625,0.27425,0.42925,0.23825,0.1084999999999999,0.287,0.0847499999999999,0.128,0.3095,0.2815,0.1024999999999999,0.156,0.3095,0.0695,0.0775,0.1704999999999999,0.1337499999999999,0.3735,0.0935,0.90375,0.21325,0.7995000000000001,0.08875,0.136,0.21125,0.471,0.2095,0.255,0.2714999999999999,0.136,0.0574999999999999,0.27725,0.23075,0.072,0.209,0.26825,0.14325,0.0637499999999999,0.067,0.12125,0.05675,0.1445,0.1332499999999999,0.2239999999999999,0.0787499999999999,0.38475,0.085,0.1175,0.1335,0.0549999999999999,0.2314999999999999,0.1265,0.137,0.18075,0.09125,0.0524999999999999,0.1245,0.1362499999999999,0.07,0.15375,0.156,0.1205,0.1235,0.08775,0.0504999999999999,0.1614999999999999,0.1955,0.0732499999999999,0.0787499999999999,0.1195,0.1064999999999999,0.1004999999999999,0.0677499999999999,0.1245,0.04875,0.1397499999999999,0.069,0.065,0.10275,0.0687499999999999,0.5495,0.0305,0.0414999999999999,0.0687499999999999,0.0692499999999999,0.05075,0.04475,0.1089999999999999,0.1014999999999999,0.04175,0.0837499999999999,0.062,0.085,0.0767499999999999,0.04425,0.04775,0.05425,0.0865,0.069,0.0747499999999999,0.133,0.0329999999999999,0.04475,0.04125,0.0584999999999999,0.06175,0.04725,0.05725,0.10175,0.0282499999999999,0.14825,0.0655,0.0652499999999999,0.04925,0.0677499999999999,0.0255,0.0162499999999999
Friday (1995),0.97275,0.7762500000000001,0.8907499999999999,0.8907499999999999,0.656,0.736,0.21225,0.41625,0.736,0.3545,0.4629999999999999,0.4782499999999999,0.41625,0.5815,0.3804999999999999,0.565,0.53275,0.497,0.38625,0.433,0.4187499999999999,0.406,0.3375,0.25275,0.2405,0.312,0.4725,0.2965,0.24725,0.61925,0.1377499999999999,0.2,0.29125,0.54475,0.309,0.2309999999999999,0.70375,0.20825,0.3924999999999999,0.27275,0.08725,0.3465,0.1322499999999999,0.18625,0.1342499999999999,0.0925,0.0925,0.176,0.27375,0.271,0.143,0.1255,0.192,0.26375,0.179,0.1327499999999999,0.2204999999999999,0.1659999999999999,0.6565,0.09825,0.1805,0.244,0.0687499999999999,0.16275,0.21125,0.16975,0.7955000000000001,0.0715,0.1855,0.1325,0.1332499999999999,0.16025,0.6475,0.11575,0.2145,0.21125,0.0969999999999999,0.21575,0.407,0.279,0.2017499999999999,0.0574999999999999,0.81925,0.04675,0.10525,0.153,0.0842499999999999,0.0687499999999999,0.2544999999999999,0.0845,0.17125,0.1139999999999999,0.11375,0.147,0.184,0.0895,0.09725,0.57275,0.1114999999999999,0.0935,0.0727499999999999,0.1569999999999999,0.2229999999999999,0.214,0.14875,0.1245,0.0349999999999999,0.0785,0.1357499999999999,0.087,0.06225,0.11625,0.4569999999999999,0.04775,0.04725,0.6825,0.1272499999999999,0.05575,0.0255,0.0569999999999999,0.04525,0.05675,0.127,0.06125,0.04875,0.06075,0.0857499999999999,0.065,0.10425,0.0267499999999999,0.0419999999999999,0.066,0.0637499999999999,0.069,0.0272499999999999,0.1955,0.10725,0.15075,0.06075,0.04275,0.0399999999999999,0.04075,0.0414999999999999,0.059,0.05175,0.04225,0.0354999999999999,0.04075,0.0205
Flirting With Disaster (1996),0.887,0.7755000000000001,0.8145,0.8145,0.75,0.609,0.60175,0.65225,0.52,0.31225,0.673,0.522,0.59575,0.47675,0.3245,0.39375,0.27925,0.65225,0.6005,0.5405,0.67775,0.91025,0.1972499999999999,0.39775,0.31925,0.402,0.1927499999999999,0.261,0.2857499999999999,0.2764999999999999,0.2654999999999999,0.25725,0.2855,0.1945,0.346,0.18225,0.1917499999999999,0.3502499999999999,0.4277499999999999,0.1917499999999999,0.3159999999999999,0.273,0.1735,0.15825,0.71,0.1377499999999999,0.146,0.14875,0.18175,0.178,0.17325,0.1887499999999999,0.1297499999999999,0.2837499999999999,0.23075,0.512,0.2095,0.1372499999999999,0.27775,0.119,0.30225,0.5335,0.0675,0.4535,0.1425,0.20775,0.2514999999999999,0.11075,0.15225,0.05525,0.086,0.277,0.10575,0.121,0.91775,0.17975,0.11125,0.2185,0.18375,0.1084999999999999,0.1614999999999999,0.25375,0.27775,0.2065,0.14075,0.17375,0.2065,0.1574999999999999,0.0807499999999999,0.1069999999999999,0.0852499999999999,0.1069999999999999,0.08,0.0792499999999999,0.1599999999999999,0.1009999999999999,0.05825,0.25725,0.0847499999999999,0.04825,0.10175,0.08775,0.10775,0.0369999999999999,0.11925,0.1485,0.071,0.08925,0.14525,0.0459999999999999,0.16675,0.0735,0.08925,0.0777499999999999,0.0434999999999999,0.0579999999999999,0.0364999999999999,0.08675,0.10375,0.1164999999999999,0.085,0.0474999999999999,0.04175,0.06175,0.04675,0.9525,0.0765,0.03025,0.1049999999999999,0.1185,0.066,0.0645,0.0319999999999999,0.0964999999999999,0.0192499999999999,0.0687499999999999,0.05575,0.0615,0.0399999999999999,0.11625,0.04225,0.0832499999999999,0.0429999999999999,0.10975,0.04625,0.0785,0.0469999999999999,0.0717499999999999,0.0707499999999999
"Birdcage, The (1996)",0.9085,0.74625,0.768,0.768,0.412,0.85025,0.3804999999999999,0.5525,0.85025,0.25875,0.22025,0.50875,0.85025,0.5525,0.3645,0.434,0.26075,0.3774999999999999,0.85025,0.53375,0.47075,0.391,0.22525,0.53125,0.272,0.382,0.2259999999999999,0.26075,0.2425,0.22475,0.62,0.20775,0.29,0.189,0.24975,0.1555,0.23725,0.1795,0.8485,0.1322499999999999,0.15525,0.30325,0.17275,0.17475,0.4872499999999999,0.615,0.2309999999999999,0.2035,0.3149999999999999,0.142,0.1604999999999999,0.1322499999999999,0.17975,0.27275,0.6285,0.9815,0.1815,0.128,0.2125,0.14625,0.1425,0.11725,0.0852499999999999,0.0969999999999999,0.136,0.1039999999999999,0.0805,0.28625,0.4692499999999999,0.04875,0.25,0.0954999999999999,0.03575,0.2165,0.084,0.1034999999999999,0.1054999999999999,0.182,0.0984999999999999,0.08875,0.1895,0.0959999999999999,0.062,0.294,0.0905,0.0722499999999999,0.131,0.065,0.131,0.0627499999999999,0.09525,0.0707499999999999,0.087,0.1089999999999999,0.1335,0.0745,0.0732499999999999,0.12,0.1455,0.0429999999999999,0.1265,0.0782499999999999,0.0742499999999999,0.05325,0.10475,0.09675,0.16225,0.04725,0.084,0.04975,0.1099999999999999,0.0822499999999999,0.0692499999999999,0.09225,0.10675,0.0509999999999999,0.09475,0.2504999999999999,0.10325,0.0969999999999999,0.0974999999999999,0.2234999999999999,0.0665,0.0414999999999999,0.11375,0.195,0.04225,0.0212499999999999,0.0999999999999999,0.0652499999999999,0.0662499999999999,0.0752499999999999,0.05675,0.0434999999999999,0.754,0.0449999999999999,0.0817499999999999,0.02975,0.0419999999999999,0.0265,0.0692499999999999,0.0449999999999999,0.05475,0.0549999999999999,0.09225,0.0944999999999999,0.0504999999999999,0.0339999999999999,0.2395
Dumb & Dumber (Dumb and Dumber) (1994),0.9925,0.90775,0.9925,0.96425,0.997,0.66725,0.86175,0.4635,0.997,0.98775,0.62125,0.997,0.997,0.477,0.4175,0.43,0.488,0.38325,0.4635,0.5,0.4097499999999999,0.4815,0.38325,0.31025,0.4275,0.32425,0.33925,0.28125,0.25725,0.4147499999999999,0.2125,0.246,0.24675,0.252,0.21575,0.23125,0.475,0.1942499999999999,0.20925,0.1902499999999999,0.1895,0.2445,0.12275,0.2524999999999999,0.16175,0.1282499999999999,0.1282499999999999,0.15875,0.1995,0.179,0.15975,0.16175,0.1634999999999999,0.21475,0.145,0.35,0.2385,0.18425,0.136,0.09675,0.25725,0.93975,0.131,0.0979999999999999,0.1604999999999999,0.075,0.3389999999999999,0.0964999999999999,0.12,0.1505,0.1825,0.1312499999999999,0.69475,0.16175,0.05625,0.3522499999999999,0.08625,0.09625,0.42825,0.4315,0.4639999999999999,0.0707499999999999,0.1312499999999999,0.069,0.1049999999999999,0.33275,0.0852499999999999,0.0605,0.2905,0.42625,0.14875,0.1039999999999999,0.087,0.09925,0.0979999999999999,0.14375,0.23425,0.06125,0.2987499999999999,0.0439999999999999,0.0762499999999999,0.086,0.10525,0.3562499999999999,0.0959999999999999,0.1295,0.0394999999999999,0.1235,0.077,0.04975,0.0677499999999999,0.069,0.0705,0.0544999999999999,0.05075,0.0519999999999999,0.05225,0.061,0.0765,0.0964999999999999,0.028,0.05025,0.0559999999999999,0.0817499999999999,0.0717499999999999,0.09475,0.17125,0.0409999999999999,0.0615,0.04775,0.04325,0.067,0.071,0.0549999999999999,0.0409999999999999,0.0584999999999999,0.10375,0.06,0.093,0.06175,0.0379999999999999,0.0807499999999999,0.0394999999999999,0.04375,0.0662499999999999,0.0364999999999999,0.065,0.03275,0.0205
Ace Ventura: Pet Detective (1994),0.99425,0.873,0.9785,0.96475,0.64075,0.745,0.7989999999999999,0.551,0.745,0.99375,0.5385,0.3525,0.551,0.551,0.5685,0.473,0.5145,0.32125,0.551,0.422,0.382,0.64075,0.2674999999999999,0.3057499999999999,0.28,0.381,0.3834999999999999,0.28025,0.23775,0.211,0.4155,0.25375,0.25625,0.20375,0.22525,0.3705,0.2219999999999999,0.2259999999999999,0.26625,0.21,0.14075,0.26025,0.08775,0.365,0.149,0.10575,0.10575,0.21025,0.2055,0.131,0.4155,0.1255,0.271,0.26875,0.17575,0.14475,0.2995,0.2294999999999999,0.0969999999999999,0.08725,0.1905,0.22225,0.2115,0.0954999999999999,0.1377499999999999,0.0702499999999999,0.3225,0.40325,0.1124999999999999,0.1195,0.2065,0.1029999999999999,0.68075,0.1785,0.0514999999999999,0.22125,0.0737499999999999,0.0797499999999999,0.24525,0.3522499999999999,0.15075,0.0807499999999999,0.0964999999999999,0.064,0.1267499999999999,0.1679999999999999,0.08,0.05975,0.3452499999999999,0.66825,0.1312499999999999,0.16625,0.0832499999999999,0.09575,0.10125,0.087,0.1059999999999999,0.059,0.1312499999999999,0.0697499999999999,0.0725,0.08825,0.0827499999999999,0.154,0.089,0.08875,0.0359999999999999,0.0707499999999999,0.216,0.0559999999999999,0.05425,0.0812499999999999,0.11075,0.04125,0.0484999999999999,0.0692499999999999,0.05675,0.0539999999999999,0.0285,0.0605,0.05825,0.1099999999999999,0.05925,0.0735,0.063,0.0785,0.0855,0.04425,0.05675,0.05075,0.0449999999999999,0.0687499999999999,0.063,0.03575,0.03825,0.0569999999999999,0.05575,0.0652499999999999,0.11475,0.0767499999999999,0.0324999999999999,0.0232499999999999,0.04325,0.0369999999999999,0.0509999999999999,0.04075,0.0737499999999999,0.0305,0.0277499999999999
Addams Family Values (1993),0.72225,0.86375,0.46875,0.598,0.92475,0.47975,0.62275,0.32325,0.3097499999999999,0.374,0.68275,0.52,0.369,0.3725,0.4389999999999999,0.4615,0.283,0.28075,0.2855,0.414,0.39825,0.59125,0.1515,0.4227499999999999,0.24375,0.32325,0.27725,0.28325,0.39975,0.1955,0.78125,0.26775,0.287,0.1865,0.3087499999999999,0.2209999999999999,0.52,0.364,0.1425,0.3379999999999999,0.2684999999999999,0.29625,0.1059999999999999,0.2734999999999999,0.661,0.0667499999999999,0.0954999999999999,0.248,0.14875,0.1887499999999999,0.3379999999999999,0.1185,0.17725,0.2025,0.0949999999999999,0.24775,0.208,0.177,0.0837499999999999,0.2135,0.2249999999999999,0.1004999999999999,0.141,0.08,0.21775,0.0944999999999999,0.0757499999999999,0.1079999999999999,0.16575,0.065,0.96925,0.1089999999999999,0.04475,0.1019999999999999,0.25,0.182,0.129,0.1049999999999999,0.09125,0.0827499999999999,0.09775,0.088,0.0815,0.151,0.11025,0.0954999999999999,0.0755,0.04325,0.085,0.05725,0.0665,0.0795,0.1377499999999999,0.065,0.05875,0.0692499999999999,0.07,0.078,0.089,0.0449999999999999,0.0695,0.0735,0.0832499999999999,0.03975,0.186,0.0682499999999999,0.04225,0.04025,0.151,0.0429999999999999,0.193,0.0399999999999999,0.0459999999999999,0.067,0.09775,0.1019999999999999,0.03875,0.08875,0.069,0.0915,0.03225,0.0732499999999999,0.09375,0.15125,0.0615,0.3255,0.0745,0.0384999999999999,0.05725,0.0404999999999999,0.0842499999999999,0.0855,0.05525,0.0329999999999999,0.0827499999999999,0.0344999999999999,0.0735,0.0389999999999999,0.0484999999999999,0.0394999999999999,0.0394999999999999,0.0615,0.2784999999999999,0.0534999999999999,0.0469999999999999,0.0514999999999999,0.04725,0.0247499999999999,0.0394999999999999
Dave (1993),0.8959999999999999,0.8134999999999999,0.31225,0.90225,0.65725,0.90625,0.49375,0.8134999999999999,0.63,0.4235,0.2259999999999999,0.28225,0.774,0.774,0.7765,0.6905,0.51525,0.8134999999999999,0.774,0.6285,0.4519999999999999,0.18225,0.909,0.3365,0.2465,0.156,0.4235,0.39275,0.7615000000000001,0.1995,0.37175,0.383,0.4525,0.16775,0.203,0.2085,0.538,0.214,0.287,0.2734999999999999,0.1385,0.24875,0.18275,0.1987499999999999,0.20675,0.983,0.1714999999999999,0.1892499999999999,0.697,0.1982499999999999,0.2385,0.25725,0.40825,0.10125,0.40825,0.1104999999999999,0.3067499999999999,0.1579999999999999,0.0852499999999999,0.271,0.2857499999999999,0.0752499999999999,0.22475,0.0675,0.15225,0.36675,0.079,0.0974999999999999,0.2279999999999999,0.0944999999999999,0.10625,0.265,0.08,0.3315,0.1004999999999999,0.078,0.24175,0.184,0.22625,0.22825,0.067,0.0949999999999999,0.1245,0.17925,0.0984999999999999,0.0807499999999999,0.36375,0.0959999999999999,0.0715,0.0615,0.0579999999999999,0.1362499999999999,0.119,0.37775,0.0662499999999999,0.1775,0.1397499999999999,0.0692499999999999,0.17675,0.26875,0.14225,0.10875,0.0682499999999999,0.2035,0.1084999999999999,0.0559999999999999,0.03775,0.0677499999999999,0.10625,0.12325,0.03,0.14075,0.0384999999999999,0.0855,0.04675,0.0429999999999999,0.25875,0.148,0.1079999999999999,0.0735,0.17025,0.1134999999999999,0.25775,0.0707499999999999,0.1907499999999999,0.05325,0.04075,0.025,0.0752499999999999,0.03375,0.0752499999999999,0.0795,0.05675,0.03825,0.0775,0.48675,0.088,0.067,0.1342499999999999,0.069,0.09575,0.2319999999999999,0.05575,0.04575,0.0379999999999999,0.0797499999999999,0.0255,0.03625,0.134
Fear of a Black Hat (1994),0.98125,0.74325,0.98125,0.948,0.60475,0.67125,0.96225,0.4509999999999999,0.67125,0.689,0.60475,0.536,0.72675,0.5635,0.402,0.44275,0.402,0.50325,0.65525,0.4399999999999999,0.5465,0.66075,0.26775,0.33225,0.5605,0.5075,0.3565,0.3175,0.3165,0.3259999999999999,0.16575,0.23175,0.33875,0.3445,0.275,0.2309999999999999,0.208,0.291,0.8069999999999999,0.14525,0.1735,0.378,0.18575,0.1629999999999999,0.1292499999999999,0.288,0.10875,0.2125,0.20575,0.1825,0.18475,0.1335,0.2355,0.22975,0.5795,0.2304999999999999,0.126,0.14375,0.61925,0.0574999999999999,0.1342499999999999,0.1545,0.1094999999999999,0.3369999999999999,0.16975,0.10975,0.26925,0.6825,0.16425,0.1455,0.203,0.15925,0.1907499999999999,0.1139999999999999,0.1425,0.124,0.10425,0.1084999999999999,0.173,0.071,0.1114999999999999,0.0822499999999999,0.249,0.05275,0.10675,0.21375,0.1109999999999999,0.0875,0.201,0.0772499999999999,0.1049999999999999,0.08675,0.1004999999999999,0.1255,0.0697499999999999,0.153,0.078,0.3645,0.1094999999999999,0.08675,0.0559999999999999,0.1034999999999999,0.09075,0.0409999999999999,0.09275,0.1014999999999999,0.03725,0.0549999999999999,0.0642499999999999,0.0835,0.10925,0.1295,0.1352499999999999,0.0404999999999999,0.20525,0.99625,0.0989999999999999,0.1639999999999999,0.04025,0.0969999999999999,0.05625,0.0404999999999999,0.0459999999999999,0.1074999999999999,0.10675,0.0509999999999999,0.0652499999999999,0.153,0.08825,0.11025,0.0687499999999999,0.1009999999999999,0.10675,0.08725,0.0305,0.32275,0.0752499999999999,0.0329999999999999,0.0605,0.0534999999999999,0.0752499999999999,0.03775,0.05725,0.084,0.05125,0.03675,0.066,0.24425,0.0142499999999999
Radioland Murders (1994),0.73825,0.66975,0.381,0.5735,0.56,0.481,0.255,0.68575,0.56,0.4265,0.265,0.56,0.56,0.33575,0.4635,0.50725,0.353,0.66575,0.2614999999999999,0.4445,0.505,0.1387499999999999,0.208,0.3319999999999999,0.2794999999999999,0.23075,0.4255,0.2334999999999999,0.3774999999999999,0.1825,0.26525,0.3057499999999999,0.2125,0.2249999999999999,0.39975,0.353,0.1362499999999999,0.1987499999999999,0.22425,0.70525,0.59975,0.3077499999999999,0.2594999999999999,0.24025,0.18425,0.11075,0.30525,0.155,0.14825,0.152,0.246,0.176,0.1282499999999999,0.2017499999999999,0.20875,0.15175,0.20425,0.27875,0.11175,0.1985,0.09625,0.10725,0.0782499999999999,0.04425,0.09775,0.0984999999999999,0.078,0.1104999999999999,0.1892499999999999,0.0944999999999999,0.1875,0.059,0.03825,0.14725,0.15525,0.0272499999999999,0.1054999999999999,0.14225,0.0925,0.0717499999999999,0.0979999999999999,0.91525,0.14975,0.1932499999999999,0.12475,0.0944999999999999,0.1365,0.072,0.11425,0.0655,0.22275,0.248,0.15075,0.1149999999999999,0.127,0.11275,0.11325,0.0757499999999999,0.1405,0.93825,0.2634999999999999,0.0695,0.11825,0.2005,0.14575,0.076,0.03875,0.0579999999999999,0.18425,0.0469999999999999,0.0885,0.09425,0.06125,0.1629999999999999,0.075,0.0384999999999999,0.0822499999999999,0.15925,0.09975,0.0969999999999999,0.0812499999999999,0.09575,0.0675,0.34075,0.0835,0.04325,0.04175,0.03275,0.0549999999999999,0.0524999999999999,0.0647499999999999,0.0825,0.05825,0.06225,0.05325,0.0282499999999999,0.0292499999999999,0.0959999999999999,0.05975,0.023,0.03325,0.03225,0.0364999999999999,0.05125,0.0419999999999999,0.0775,0.1225,0.028,0.0544999999999999
