movieId,weird,runaway,betrayal,melancholic,greed,original,culture clash,vengeance,dialogue,drama,pornography,independent film,good,quirky,drinking,mentor,adaptation,catastrophe,death,light,predictable,absurd,chase,sexy,surveillance,life & death,fantasy world,not funny,film noir,life philosophy,dysfunctional family,weapons,creativity,very funny,fight scenes,transformation,pulp,first contact,nudity (full frontal - brief),classic car,underrated,writers,censorship,hospital,doctors,addiction,small town,multiple storylines,hotel,fun movie,mad scientist,sacrifice,survival,alter ego,queer,women,british,nudity (topless - brief),unlikely friendships,childhood,road movie,wilderness,dreams,blindness,goth,irish accent,camp,graphic novel,teen movie,family,california,directorial debut,kidnapping,good music,islam,prejudice,tokyo,awesome soundtrack,computer animation,memory,farce,stoner movie,period piece,stereotypes,hunting,new jersey,texas,80s,divorce,prison,brothers,too long,nudity (rear),workplace,alternate history,simple,prostitution,atheism,desert,australia,internet,stand-up comedy,wartime,god,immortality,foul language,no plot,unlikeable characters,best of 2005,reality tv,1930s,ensemble cast,new york city,kick-butt women,notable nudity,indians,island,bollywood,potential oscar nom,russian,homeless,finnish,hip hop,snakes,adoption,made for tv,robert downey jr,radio,los angeles,lawyer,interracial romance,cancer,french,trilogy,race,wine,documentary,rebellion,ghosts/afterlife,oil,father daughter relationship,fashion,shopping,buddy movie,san francisco,remake,time,too short,single father
To Die For (1995),0.98425,0.90725,0.7165,0.55475,0.621,0.7635000000000001,0.7669999999999999,0.4725,0.71325,0.7669999999999999,0.61775,0.4882499999999999,0.7669999999999999,0.97625,0.479,0.4399999999999999,0.522,0.46025,0.143,0.69725,0.3335,0.7907500000000001,0.15825,0.8322499999999999,0.15275,0.265,0.3295,0.2249999999999999,0.25225,0.26275,0.60775,0.366,0.1535,0.278,0.1885,0.2194999999999999,0.1795,0.1952499999999999,0.1317499999999999,0.15825,0.3545,0.302,0.202,0.139,0.16475,0.277,0.4355,0.2219999999999999,0.20325,0.186,0.11425,0.0994999999999999,0.05075,0.16775,0.3215,0.3189999999999999,0.1599999999999999,0.0667499999999999,0.10425,0.1049999999999999,0.11075,0.0775,0.259,0.1405,0.093,0.15975,0.0852499999999999,0.0539999999999999,0.4539999999999999,0.16925,0.32675,0.0835,0.0727499999999999,0.1525,0.1064999999999999,0.2015,0.0737499999999999,0.0915,0.135,0.071,0.4085,0.062,0.1912499999999999,0.18675,0.0504999999999999,0.151,0.12175,0.04975,0.24375,0.1164999999999999,0.0895,0.09125,0.084,0.23775,0.0827499999999999,0.0697499999999999,0.0797499999999999,0.0514999999999999,0.0242499999999999,0.0584999999999999,0.16625,0.0645,0.0685,0.0354999999999999,0.0655,0.0915,0.0757499999999999,0.5585,0.1265,0.72525,0.0815,0.2319999999999999,0.0672499999999999,0.1009999999999999,0.09875,0.06125,0.03325,0.0795,0.072,0.0282499999999999,0.03475,0.0202499999999999,0.10175,0.0295,0.11525,0.11825,0.2815,0.0404999999999999,0.1282499999999999,0.1765,0.081,0.03025,0.0374999999999999,0.0182499999999999,0.05525,0.236,0.237,0.0549999999999999,0.03575,0.0319999999999999,0.1267499999999999,0.21475,0.0255,0.0655,0.0404999999999999,0.0165,0.0155,0.0232499999999999,0.0252499999999999
"Young Poisoner's Handbook, The (1995)",0.83525,0.8225,0.92625,0.77325,0.83525,0.8334999999999999,0.749,0.7549999999999999,0.83525,0.72475,0.61825,0.47375,0.4615,0.8322499999999999,0.47375,0.94275,0.498,0.42525,0.5175,0.5145,0.2005,0.3159999999999999,0.1967499999999999,0.23475,0.2385,0.6,0.3555,0.3055,0.27675,0.3265,0.58025,0.297,0.258,0.64275,0.4115,0.3057499999999999,0.1704999999999999,0.1967499999999999,0.3289999999999999,0.306,0.4992499999999999,0.15525,0.207,0.562,0.33775,0.31625,0.18275,0.1897499999999999,0.16425,0.297,0.25475,0.1245,0.0745,0.18675,0.274,0.3007499999999999,0.51025,0.44725,0.47375,0.48475,0.2015,0.1505,0.1992499999999999,0.198,0.1382499999999999,0.1902499999999999,0.22375,0.3097499999999999,0.52225,0.1935,0.2734999999999999,0.2324999999999999,0.1405,0.14375,0.257,0.25125,0.237,0.14375,0.1714999999999999,0.2015,0.40225,0.41525,0.4285,0.26425,0.0484999999999999,0.20825,0.082,0.1345,0.068,0.382,0.4385,0.1004999999999999,0.17175,0.2165,0.08875,0.1079999999999999,0.118,0.08625,0.0409999999999999,0.149,0.0727499999999999,0.10225,0.14475,0.0722499999999999,0.0449999999999999,0.21025,0.05825,0.0827499999999999,0.1917499999999999,0.0554999999999999,0.0974999999999999,0.04575,0.087,0.10875,0.09025,0.0682499999999999,0.0615,0.1624999999999999,0.063,0.0685,0.09125,0.03375,0.09575,0.0222499999999999,0.2284999999999999,0.1195,0.0915,0.0499999999999999,0.05025,0.06025,0.0459999999999999,0.0727499999999999,0.1149999999999999,0.0479999999999999,0.0865,0.077,0.10075,0.1955,0.03775,0.021,0.1109999999999999,0.17425,0.0359999999999999,0.0379999999999999,0.04775,0.0207499999999999,0.0384999999999999,0.021,0.0637499999999999
Nadja (1994),0.7655000000000001,0.59075,0.48075,0.7655000000000001,0.61575,0.75075,0.483,0.4449999999999999,0.711,0.3365,0.573,0.64125,0.31675,0.8552500000000001,0.57375,0.4097499999999999,0.557,0.41325,0.4405,0.37175,0.3794999999999999,0.2714999999999999,0.26575,0.478,0.12425,0.29225,0.388,0.294,0.57375,0.523,0.65125,0.24,0.2714999999999999,0.37175,0.24,0.429,0.18075,0.22425,0.3255,0.1659999999999999,0.29025,0.3315,0.119,0.1377499999999999,0.0905,0.568,0.14375,0.255,0.18475,0.2324999999999999,0.32825,0.0722499999999999,0.1069999999999999,0.23925,0.26825,0.16075,0.1957499999999999,0.2185,0.15325,0.11225,0.0805,0.1405,0.16075,0.17375,0.91475,0.1992499999999999,0.213,0.087,0.1262499999999999,0.09375,0.083,0.184,0.05525,0.1977499999999999,0.1292499999999999,0.18025,0.1975,0.21525,0.127,0.10025,0.123,0.1124999999999999,0.17275,0.1119999999999999,0.04075,0.18675,0.192,0.0807499999999999,0.076,0.0855,0.0747499999999999,0.08,0.22275,0.078,0.076,0.04225,0.04825,0.13,0.0287499999999999,0.0409999999999999,0.14075,0.076,0.1292499999999999,0.04375,0.79,0.05925,0.0459999999999999,0.3492499999999999,0.10675,0.085,0.09575,0.09375,0.8859999999999999,0.10325,0.181,0.05375,0.04125,0.066,0.15975,0.0529999999999999,0.0439999999999999,0.10975,0.11075,0.04725,0.05825,0.1059999999999999,0.0989999999999999,0.04775,0.03525,0.0414999999999999,0.04225,0.03575,0.06025,0.0429999999999999,0.0344999999999999,0.0514999999999999,0.0825,0.028,0.05825,0.0235,0.0974999999999999,0.132,0.0339999999999999,0.0205,0.0539999999999999,0.083,0.0212499999999999,0.0097499999999999,0.0354999999999999
Death and the Maiden (1994),0.94775,0.7927500000000001,0.83125,0.74875,0.94775,0.75875,0.83125,0.68575,0.6555,0.83125,0.56925,0.51625,0.6385,0.27025,0.51625,0.41825,0.4945,0.4325,0.36,0.2937499999999999,0.17175,0.28525,0.269,0.4065,0.47175,0.31325,0.2744999999999999,0.39625,0.1335,0.33175,0.2299999999999999,0.177,0.196,0.2,0.144,0.24625,0.2105,0.23125,0.33075,0.34175,0.39075,0.20575,0.37075,0.1975,0.50925,0.11975,0.131,0.2199999999999999,0.24375,0.1382499999999999,0.10775,0.122,0.0725,0.1282499999999999,0.1614999999999999,0.3592499999999999,0.18425,0.1555,0.123,0.1265,0.23425,0.1352499999999999,0.0999999999999999,0.16225,0.0329999999999999,0.17225,0.0984999999999999,0.15325,0.10725,0.1074999999999999,0.091,0.1089999999999999,0.34075,0.1079999999999999,0.8935,0.1684999999999999,0.09275,0.066,0.173,0.25675,0.1569999999999999,0.0822499999999999,0.16825,0.1104999999999999,0.05975,0.0974999999999999,0.05825,0.0444999999999999,0.34375,0.2294999999999999,0.069,0.1169999999999999,0.1297499999999999,0.17225,0.08775,0.12275,0.0765,0.0974999999999999,0.04425,0.04875,0.05725,0.0885,0.10075,0.03275,0.0292499999999999,0.06125,0.04125,0.09975,0.1347499999999999,0.0697499999999999,0.086,0.1009999999999999,0.1044999999999999,0.0697499999999999,0.20325,0.0504999999999999,0.09825,0.05425,0.0905,0.0414999999999999,0.05625,0.0399999999999999,0.0479999999999999,0.03275,0.0692499999999999,0.0795,0.1669999999999999,0.22875,0.0247499999999999,0.676,0.0569999999999999,0.0399999999999999,0.0564999999999999,0.06125,0.06025,0.10875,0.03525,0.0652499999999999,0.0305,0.0579999999999999,0.0569999999999999,0.0499999999999999,0.0384999999999999,0.03475,0.04275,0.04025,0.04775,0.022,0.0339999999999999
Natural Born Killers (1994),0.9035,0.95675,0.991,0.881,0.82375,0.87825,0.82375,0.991,0.91425,0.82375,0.95675,0.412,0.4519999999999999,0.8600000000000001,0.2239999999999999,0.3675,0.45125,0.4257499999999999,0.17475,0.3854999999999999,0.64875,0.91175,0.2065,0.51625,0.25525,0.2319999999999999,0.39725,0.28025,0.2239999999999999,0.279,0.3595,0.3165,0.274,0.32625,0.33675,0.1985,0.55475,0.1992499999999999,0.39225,0.2524999999999999,0.33825,0.181,0.95675,0.1175,0.085,0.50525,0.0822499999999999,0.55325,0.121,0.3165,0.0722499999999999,0.0949999999999999,0.0822499999999999,0.501,0.2857499999999999,0.1367499999999999,0.126,0.1694999999999999,0.11425,0.1629999999999999,0.3405,0.1074999999999999,0.1255,0.139,0.17225,0.1982499999999999,0.17125,0.7255,0.12325,0.0852499999999999,0.16275,0.16375,0.0662499999999999,0.3047499999999999,0.199,0.30525,0.137,0.484,0.1405,0.0657499999999999,0.15675,0.196,0.05875,0.1385,0.0449999999999999,0.118,0.11775,0.069,0.1064999999999999,0.60825,0.1555,0.086,0.11525,0.09375,0.1079999999999999,0.0677499999999999,0.0775,0.093,0.062,0.0665,0.12,0.0885,0.09375,0.189,0.05525,0.24625,0.03675,0.1795,0.16625,0.521,0.05475,0.12025,0.0499999999999999,0.12325,0.09675,0.1235,0.04375,0.0905,0.12225,0.0444999999999999,0.0717499999999999,0.03825,0.0795,0.14675,0.0655,0.071,0.92325,0.03175,0.11875,0.03425,0.067,0.0349999999999999,0.03475,0.0344999999999999,0.1074999999999999,0.0287499999999999,0.064,0.1634999999999999,0.0155,0.0207499999999999,0.03375,0.0459999999999999,0.0185,0.16725,0.0267499999999999,0.0225,0.0217499999999999,0.0267499999999999,0.0082499999999999
Kalifornia (1993),0.93225,0.92175,0.93225,0.82925,0.92825,0.80775,0.93225,0.95075,0.90325,0.7355,0.70425,0.71125,0.7742500000000001,0.732,0.71125,0.4865,0.5465,0.42125,0.277,0.299,0.38575,0.20425,0.378,0.56125,0.7742500000000001,0.17675,0.39425,0.3735,0.3007499999999999,0.29925,0.2554999999999999,0.2465,0.15375,0.2664999999999999,0.2465,0.2284999999999999,0.499,0.26325,0.30225,0.3047499999999999,0.46975,0.496,0.2055,0.2594999999999999,0.258,0.3409999999999999,0.263,0.2925,0.41225,0.26675,0.10025,0.22025,0.1059999999999999,0.8227500000000001,0.246,0.31,0.16825,0.6035,0.29625,0.1805,0.91625,0.16175,0.1215,0.2674999999999999,0.3155,0.22275,0.18175,0.24675,0.18375,0.1335,0.8705,0.1785,0.276,0.09875,0.10575,0.1445,0.0727499999999999,0.082,0.14525,0.0785,0.0822499999999999,0.1069999999999999,0.09825,0.38675,0.09275,0.291,0.178,0.09675,0.1307499999999999,0.1664999999999999,0.08975,0.085,0.20475,0.1205,0.1205,0.133,0.09075,0.08875,0.1335,0.09625,0.10425,0.0717499999999999,0.0717499999999999,0.04225,0.04125,0.118,0.0479999999999999,0.1709999999999999,0.1034999999999999,0.1927499999999999,0.04525,0.1325,0.1684999999999999,0.09725,0.10625,0.0827499999999999,0.0514999999999999,0.0657499999999999,0.14425,0.0559999999999999,0.0725,0.04675,0.08625,0.0519999999999999,0.09,0.10275,0.216,0.0787499999999999,0.20475,0.09975,0.0727499999999999,0.0484999999999999,0.04225,0.03625,0.0637499999999999,0.0725,0.0424999999999999,0.1579999999999999,0.04425,0.10575,0.0339999999999999,0.0227499999999999,0.04625,0.2684999999999999,0.10725,0.04025,0.0152499999999999,0.03825,0.0285
Romeo Is Bleeding (1993),0.691,0.756,0.9145,0.87825,0.9145,0.74325,0.9145,0.7962499999999999,0.766,0.60375,0.5625,0.28325,0.4925,0.60175,0.431,0.4479999999999999,0.3007499999999999,0.51875,0.31275,0.3215,0.349,0.3655,0.5365,0.83925,0.57475,0.4004999999999999,0.3572499999999999,0.346,0.8825000000000001,0.63575,0.1699999999999999,0.2604999999999999,0.1305,0.2209999999999999,0.23875,0.2425,0.4775,0.22725,0.4107499999999999,0.421,0.51,0.1967499999999999,0.2947499999999999,0.2209999999999999,0.1982499999999999,0.2955,0.1079999999999999,0.21325,0.30925,0.2249999999999999,0.0875,0.16775,0.0762499999999999,0.1955,0.1584999999999999,0.27775,0.16925,0.3695,0.2259999999999999,0.15325,0.1865,0.1049999999999999,0.251,0.21125,0.0459999999999999,0.26625,0.0949999999999999,0.17925,0.1505,0.11625,0.2175,0.16525,0.33975,0.137,0.0815,0.11175,0.08875,0.1084999999999999,0.1555,0.17975,0.1079999999999999,0.1079999999999999,0.1089999999999999,0.1975,0.08675,0.2845,0.05575,0.08625,0.18125,0.1064999999999999,0.0735,0.1317499999999999,0.17925,0.1335,0.0989999999999999,0.1255,0.11375,0.09525,0.156,0.0394999999999999,0.0645,0.09725,0.0665,0.04575,0.0549999999999999,0.1455,0.1315,0.145,0.06125,0.06075,0.0944999999999999,0.079,0.6905,0.08,0.24175,0.062,0.0755,0.0827499999999999,0.15125,0.22775,0.0835,0.029,0.0735,0.04925,0.074,0.06,0.10425,0.078,0.1014999999999999,0.1649999999999999,0.076,0.04575,0.067,0.05075,0.0605,0.04225,0.03,0.04925,0.0399999999999999,0.05725,0.0384999999999999,0.0667499999999999,0.09125,0.131,0.1654999999999999,0.04725,0.08,0.03075,0.0277499999999999
Killer (Bulletproof Heart) (1994),0.85225,0.72325,0.8394999999999999,0.95975,0.7395,0.741,0.8494999999999999,0.9865,0.9865,0.75275,0.68825,0.72325,0.57,0.5445,0.72325,0.57875,0.17725,0.4952499999999999,0.5045,0.32675,0.30925,0.245,0.65925,0.83325,0.71,0.45875,0.384,0.3,0.8640000000000001,0.1977499999999999,0.134,0.53125,0.1975,0.2405,0.53125,0.2997499999999999,0.4085,0.2865,0.24925,0.179,0.3107499999999999,0.1765,0.17375,0.2007499999999999,0.16025,0.24725,0.123,0.32575,0.4325,0.57,0.0979999999999999,0.2435,0.24575,0.673,0.1377499999999999,0.10825,0.1064999999999999,0.4177499999999999,0.24375,0.0797499999999999,0.1034999999999999,0.17875,0.072,0.2564999999999999,0.0722499999999999,0.192,0.08825,0.07,0.16725,0.09125,0.2684999999999999,0.128,0.17575,0.17675,0.0737499999999999,0.09025,0.1327499999999999,0.17675,0.24375,0.1475,0.11725,0.088,0.1169999999999999,0.0994999999999999,0.1154999999999999,0.0935,0.04925,0.1985,0.20875,0.1089999999999999,0.03325,0.1297499999999999,0.24775,0.0755,0.11025,0.0984999999999999,0.2264999999999999,0.0424999999999999,0.0625,0.05325,0.1044999999999999,0.05225,0.0529999999999999,0.067,0.0817499999999999,0.32075,0.0712499999999999,0.1169999999999999,0.0852499999999999,0.2475,0.06125,0.11425,0.0875,0.139,0.25725,0.03475,0.0285,0.05075,0.027,0.0837499999999999,0.0439999999999999,0.03225,0.06175,0.05475,0.0655,0.1342499999999999,0.12125,0.0265,0.3742499999999999,0.0817499999999999,0.0574999999999999,0.087,0.04825,0.10275,0.0419999999999999,0.03125,0.0227499999999999,0.03175,0.0795,0.04375,0.04425,0.025,0.0845,0.21475,0.151,0.031,0.04375,0.0122499999999999,0.0217499999999999
Cronos (1993),0.8627499999999999,0.8634999999999999,0.50325,0.8605,0.8627499999999999,0.81325,0.72625,0.7735000000000001,0.8627499999999999,0.38475,0.394,0.72625,0.52625,0.7965,0.534,0.50875,0.50225,0.41025,0.49675,0.4317499999999999,0.3,0.29425,0.403,0.18275,0.1235,0.71275,0.969,0.3425,0.3087499999999999,0.346,0.28325,0.2514999999999999,0.3502499999999999,0.2845,0.309,0.54925,0.193,0.2495,0.18625,0.24525,0.40425,0.18125,0.0747499999999999,0.2294999999999999,0.1765,0.40125,0.31825,0.1925,0.12375,0.18175,0.3824999999999999,0.58825,0.23175,0.273,0.149,0.14075,0.1975,0.1997499999999999,0.32325,0.1927499999999999,0.14575,0.17625,0.215,0.22175,0.8959999999999999,0.195,0.14675,0.3685,0.1322499999999999,0.14875,0.09875,0.55375,0.05625,0.18175,0.08775,0.0865,0.20775,0.15725,0.1594999999999999,0.0999999999999999,0.1029999999999999,0.132,0.1282499999999999,0.10875,0.1245,0.21975,0.09525,0.093,0.0434999999999999,0.093,0.132,0.0805,0.11525,0.0782499999999999,0.0949999999999999,0.248,0.0757499999999999,0.11675,0.05125,0.0469999999999999,0.0712499999999999,0.0802499999999999,0.0722499999999999,0.11675,0.98375,0.04675,0.0529999999999999,0.0994999999999999,0.0765,0.03625,0.078,0.05525,0.0635,0.12125,0.0627499999999999,0.08,0.0579999999999999,0.04875,0.087,0.0767499999999999,0.065,0.1584999999999999,0.0657499999999999,0.1755,0.05325,0.05525,0.0642499999999999,0.071,0.03775,0.0334999999999999,0.05075,0.083,0.069,0.0875,0.03775,0.0677499999999999,0.0439999999999999,0.0262499999999999,0.25725,0.0579999999999999,0.04775,0.0822499999999999,0.2219999999999999,0.0359999999999999,0.03675,0.0419999999999999,0.0305,0.0185,0.0359999999999999
Cemetery Man (Dellamorte Dellamore) (1994),0.9815,0.8625,0.52025,0.8485,0.62675,0.7805,0.62675,0.8625,0.61725,0.62675,0.45875,0.4775,0.5445,0.9815,0.55825,0.489,0.5205,0.39825,0.89975,0.7005,0.48875,0.7625,0.2744999999999999,0.4649999999999999,0.0847499999999999,0.938,0.352,0.3165,0.2,0.60225,0.14825,0.31425,0.4679999999999999,0.6815,0.24875,0.4695,0.142,0.1935,0.20325,0.37525,0.3375,0.18,0.18375,0.429,0.17925,0.1925,0.2544999999999999,0.288,0.208,0.2239999999999999,0.48875,0.21325,0.20725,0.97175,0.1865,0.2165,0.16575,0.209,0.272,0.1149999999999999,0.18325,0.3682499999999999,0.208,0.11925,0.4985,0.1915,0.48875,0.4327499999999999,0.1114999999999999,0.0735,0.11425,0.27175,0.04575,0.12125,0.0605,0.26375,0.16025,0.72825,0.1327499999999999,0.09475,0.32225,0.11175,0.077,0.14,0.1079999999999999,0.1545,0.09725,0.135,0.1149999999999999,0.10175,0.0827499999999999,0.0835,0.1295,0.1694999999999999,0.0805,0.12225,0.09825,0.059,0.068,0.09275,0.0595,0.1119999999999999,0.10875,0.0379999999999999,0.1099999999999999,0.05025,0.09575,0.09725,0.064,0.0835,0.04425,0.0479999999999999,0.0655,0.08775,0.1159999999999999,0.0642499999999999,0.12,0.076,0.04075,0.05475,0.145,0.09,0.0645,0.1265,0.03575,0.05875,0.1397499999999999,0.04675,0.0404999999999999,0.0167499999999999,0.05775,0.11225,0.0807499999999999,0.0404999999999999,0.0429999999999999,0.0847499999999999,0.0469999999999999,0.03325,0.0994999999999999,0.0429999999999999,0.0329999999999999,0.06025,0.06225,0.0615,0.0359999999999999,0.019,0.026,0.0245,0.0087499999999999
