movieId,weird,good,culture clash,original,first contact,predictable,greed,runaway,melancholic,catastrophe,dialogue,drama,survival,betrayal,independent film,light,weapons,drinking,fantasy world,mentor,creativity,vengeance,adaptation,chase,surveillance,life & death,life philosophy,absurd,fight scenes,fun movie,quirky,pornography,transformation,memory,mad scientist,sacrifice,death,not funny,dreams,islam,childhood,underrated,very funny,unlikely friendships,doctors,writers,film noir,dysfunctional family,british,classic car,alter ego,computer animation,immortality,nudity (full frontal - brief),prejudice,sexy,good music,tokyo,simple,god,internet,family,alternate history,time,period piece,multiple storylines,atheism,hospital,pulp,hotel,awesome soundtrack,california,irish accent,desert,nudity (topless - brief),small town,teen movie,stereotypes,workplace,directorial debut,women,road movie,queer,island,rebellion,too long,blindness,wilderness,censorship,farce,1930s,stoner movie,80s,no plot,wartime,new jersey,addiction,camp,indians,race,oil,foul language,ensemble cast,prison,nudity (rear),trilogy,radio,snakes,divorce,new york city,kidnapping,hunting,bollywood,best of 2005,cancer,graphic novel,brothers,ghosts/afterlife,father daughter relationship,unlikeable characters,goth,potential oscar nom,los angeles,homeless,australia,made for tv,stand-up comedy,san francisco,interracial romance,notable nudity,reality tv,russian,french,adoption,documentary,wine,too short,kick-butt women,texas,hip hop,fashion,remake,shopping,robert downey jr,prostitution,finnish,single father,lawyer,buddy movie
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0.99275,0.82975,0.99275,0.87575,0.907,0.907,0.9415,0.83975,0.9185,0.82975,0.9415,0.83725,0.907,0.68625,0.69175,0.9815,0.42,0.69175,0.9965,0.4357499999999999,0.7045,0.37075,0.4569999999999999,0.29725,0.28,0.25675,0.37525,0.643,0.287,0.28075,0.536,0.31425,0.42425,0.36375,0.61725,0.20875,0.1574999999999999,0.38775,0.96225,0.43875,0.89825,0.483,0.2897499999999999,0.45925,0.2199999999999999,0.16875,0.471,0.29025,0.43425,0.25225,0.26725,0.178,0.2199999999999999,0.2194999999999999,0.16375,0.2435,0.244,0.38025,0.23975,0.05875,0.0825,0.89825,0.1669999999999999,0.1034999999999999,0.31,0.17725,0.12375,0.1225,0.261,0.30625,0.244,0.1019999999999999,0.22825,0.1805,0.2022499999999999,0.14625,0.1815,0.11325,0.17225,0.1845,0.1855,0.1932499999999999,0.16125,0.36675,0.1397499999999999,0.084,0.2977499999999999,0.2279999999999999,0.1282499999999999,0.2514999999999999,0.205,0.14975,0.0762499999999999,0.204,0.215,0.1149999999999999,0.0695,0.1185,0.0865,0.092,0.23725,0.03675,0.0762499999999999,0.0939999999999999,0.1169999999999999,0.14675,0.0285,0.0737499999999999,0.0745,0.0657499999999999,0.659,0.05225,0.16025,0.153,0.024,0.1175,0.1875,0.0564999999999999,0.073,0.0745,0.14775,0.12375,0.0379999999999999,0.0999999999999999,0.10425,0.068,0.0667499999999999,0.03625,0.04375,0.092,0.03,0.068,0.8374999999999999,0.16725,0.0519999999999999,0.21675,0.02975,0.0845,0.04575,0.0414999999999999,0.066,0.0207499999999999,0.03875,0.0702499999999999,0.0777499999999999,0.0695,0.0235,0.0145,0.05225
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.96425,0.99875,0.974,0.95925,0.985,0.99875,0.96425,0.96425,0.9175,0.99625,0.9175,0.96425,0.96975,0.91775,0.5045,0.8992500000000001,0.56275,0.5045,0.70025,0.533,0.4655,0.4439999999999999,0.44575,0.44275,0.43875,0.37375,0.3625,0.8022499999999999,0.423,0.44275,0.60275,0.4639999999999999,0.4912499999999999,0.8165,0.58925,0.182,0.18425,0.4157499999999999,0.59325,0.27,0.2017499999999999,0.4962499999999999,0.32975,0.2209999999999999,0.355,0.2654999999999999,0.37975,0.1905,0.423,0.2784999999999999,0.45925,0.1255,0.32825,0.285,0.20375,0.256,0.3,0.2445,0.2135,0.1345,0.2684999999999999,0.0735,0.27025,0.6395,0.17875,0.25225,0.20475,0.1975,0.26225,0.17375,0.16975,0.18175,0.18675,0.16375,0.18675,0.1402499999999999,0.10375,0.10175,0.1335,0.24275,0.0747499999999999,0.1475,0.1345,0.11375,0.25125,0.0742499999999999,0.25825,0.1054999999999999,0.11625,0.1367499999999999,0.1089999999999999,0.1425,0.0857499999999999,0.21425,0.08975,0.137,0.10025,0.0625,0.0999999999999999,0.257,0.11675,0.16775,0.12475,0.24125,0.0964999999999999,0.20675,0.069,0.1435,0.04325,0.0885,0.22125,0.0682499999999999,0.2035,0.1297499999999999,0.03225,0.061,0.0687499999999999,0.131,0.074,0.1104999999999999,0.0334999999999999,0.083,0.0885,0.1614999999999999,0.05975,0.075,0.067,0.0777499999999999,0.0409999999999999,0.0637499999999999,0.0444999999999999,0.05475,0.0785,0.0414999999999999,0.0439999999999999,0.0637499999999999,0.03575,0.0524999999999999,0.04725,0.0384999999999999,0.03875,0.09625,0.0187499999999999,0.10825,0.0534999999999999,0.0212499999999999,0.0227499999999999,0.03725,0.04875
Across the Sea of Time (1995),0.87025,0.81775,0.67225,0.9335,0.81775,0.81775,0.67225,0.71,0.71,0.81775,0.71,0.469,0.56025,0.67225,0.71,0.72,0.4075,0.71,0.60825,0.6765,0.38025,0.4605,0.389,0.372,0.367,0.61475,0.1164999999999999,0.1387499999999999,0.372,0.6315,0.21575,0.2365,0.2135,0.14475,0.1357499999999999,0.472,0.2334999999999999,0.35075,0.1402499999999999,0.56175,0.45875,0.201,0.305,0.35375,0.1355,0.1614999999999999,0.1124999999999999,0.197,0.11125,0.549,0.187,0.4832499999999999,0.1952499999999999,0.253,0.472,0.1215,0.1634999999999999,0.09575,0.38975,0.2175,0.2997499999999999,0.4812499999999999,0.55625,0.293,0.665,0.22225,0.0815,0.2324999999999999,0.20425,0.0519999999999999,0.1569999999999999,0.0842499999999999,0.09975,0.144,0.1535,0.1405,0.44475,0.26275,0.0707499999999999,0.16025,0.16975,0.1255,0.17325,0.1745,0.062,0.0737499999999999,0.16875,0.29625,0.0632499999999999,0.10125,0.10725,0.10125,0.0835,0.05625,0.1674999999999999,0.2314999999999999,0.0632499999999999,0.0635,0.39675,0.17875,0.0165,0.18125,0.0752499999999999,0.181,0.0635,0.1325,0.21175,0.20825,0.0692499999999999,0.786,0.0554999999999999,0.0334999999999999,0.14625,0.0227499999999999,0.2229999999999999,0.0999999999999999,0.22875,0.12125,0.1997499999999999,0.061,0.0282499999999999,0.0132499999999999,0.0735,0.04175,0.017,0.0489999999999999,0.21925,0.11475,0.09375,0.091,0.15225,0.45875,0.0695,0.25925,0.179,0.0232499999999999,0.0212499999999999,0.0832499999999999,0.1252499999999999,0.1185,0.47575,0.1327499999999999,0.0712499999999999,0.1455,0.0419999999999999,0.03,0.0792499999999999,0.059,0.0755
Strange Days (1995),0.8620000000000001,0.95025,0.7845,0.83575,0.9885,0.9885,0.8620000000000001,0.7845,0.8620000000000001,0.9905,0.8620000000000001,0.7845,0.9885,0.86975,0.281,0.32525,0.56925,0.24275,0.31325,0.4335,0.34225,0.86975,0.25525,0.676,0.7135,0.3824999999999999,0.51525,0.36675,0.56925,0.4985,0.239,0.84375,0.346,0.9075,0.1659999999999999,0.2155,0.1937499999999999,0.39075,0.2125,0.2229999999999999,0.127,0.59775,0.2239999999999999,0.1579999999999999,0.186,0.1835,0.611,0.194,0.129,0.345,0.26075,0.126,0.0845,0.283,0.14075,0.53275,0.16375,0.1355,0.11675,0.05725,0.26275,0.1049999999999999,0.12475,0.1927499999999999,0.09075,0.2284999999999999,0.125,0.12275,0.31925,0.293,0.139,0.28,0.16575,0.11125,0.3065,0.09275,0.1175,0.18525,0.1287499999999999,0.1295,0.2085,0.18175,0.1317499999999999,0.0627499999999999,0.10775,0.45025,0.1694999999999999,0.0667499999999999,0.1392499999999999,0.12325,0.0627499999999999,0.085,0.11275,0.20775,0.05475,0.14575,0.354,0.1069999999999999,0.0785,0.10825,0.141,0.0775,0.1649999999999999,0.1099999999999999,0.1465,0.09825,0.068,0.0449999999999999,0.091,0.09425,0.151,0.1114999999999999,0.07,0.14325,0.0384999999999999,0.31825,0.05175,0.0652499999999999,0.04375,0.1282499999999999,0.0414999999999999,0.1119999999999999,0.891,0.0777499999999999,0.03175,0.0745,0.0595,0.13,0.079,0.10775,0.1362499999999999,0.04875,0.0414999999999999,0.0449999999999999,0.03225,0.05075,0.04475,0.1357499999999999,0.03625,0.1382499999999999,0.08675,0.03075,0.065,0.1415,0.1345,0.0394999999999999,0.0277499999999999,0.05225,0.188
Blade Runner (1982),0.98,0.99725,0.9755,0.8645,0.9965,0.99725,0.95975,0.9975,0.9505,0.99275,0.9505,0.95975,0.9965,0.70275,0.80375,0.8227500000000001,0.8089999999999999,0.80375,0.57325,0.517,0.4305,0.724,0.8300000000000001,0.608,0.4355,0.6165,0.54625,0.4599999999999999,0.608,0.57925,0.4525,0.56875,0.524,0.723,0.45675,0.3275,0.2827499999999999,0.3804999999999999,0.51,0.252,0.32725,0.40375,0.3315,0.2175,0.2175,0.1709999999999999,0.8672500000000001,0.22275,0.291,0.3545,0.9275,0.3215,0.67275,0.24525,0.213,0.3525,0.6585,0.46525,0.25925,0.19,0.1325,0.09875,0.177,0.24475,0.235,0.14575,0.136,0.10875,0.32325,0.27525,0.7637499999999999,0.483,0.1835,0.3037499999999999,0.3834999999999999,0.12125,0.16825,0.0795,0.1405,0.20625,0.1365,0.1684999999999999,0.16925,0.1215,0.42125,0.22225,0.14525,0.18225,0.1694999999999999,0.1317499999999999,0.144,0.2574999999999999,0.525,0.1094999999999999,0.076,0.1034999999999999,0.0697499999999999,0.1475,0.1084999999999999,0.0959999999999999,0.29725,0.063,0.1272499999999999,0.08725,0.11225,0.3994999999999999,0.0564999999999999,0.31925,0.07,0.0857499999999999,0.0524999999999999,0.36275,0.10075,0.1164999999999999,0.05575,0.09175,0.068,0.121,0.0944999999999999,0.068,0.12425,0.04575,0.8839999999999999,0.0752499999999999,0.04625,0.0865,0.065,0.09625,0.0625,0.0414999999999999,0.0319999999999999,0.04325,0.059,0.04325,0.0419999999999999,0.0549999999999999,0.0434999999999999,0.0642499999999999,0.062,0.03475,0.05325,0.019,0.05625,0.05425,0.0915,0.0215,0.0167499999999999,0.0182499999999999,0.079
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",0.8915,0.86825,0.65775,0.671,0.95825,0.95825,0.8915,0.64625,0.96825,0.8755,0.8915,0.60325,0.95825,0.4197499999999999,0.8685,0.57825,0.2827499999999999,0.8685,0.50275,0.3575,0.606,0.1962499999999999,0.23125,0.2857499999999999,0.693,0.23675,0.25275,0.6945,0.24725,0.15575,0.7742500000000001,0.3025,0.40575,0.44525,0.265,0.0875,0.17875,0.31475,0.142,0.32325,0.1154999999999999,0.2234999999999999,0.208,0.0959999999999999,0.15525,0.17225,0.8685,0.17475,0.1377499999999999,0.127,0.087,0.1545,0.2985,0.1589999999999999,0.23425,0.3369999999999999,0.09575,0.24975,0.14625,0.081,0.12325,0.066,0.0895,0.0635,0.1215,0.14975,0.081,0.0762499999999999,0.512,0.536,0.03925,0.1515,0.0772499999999999,0.1257499999999999,0.06075,0.1109999999999999,0.0845,0.0715,0.1134999999999999,0.1139999999999999,0.34225,0.15725,0.14075,0.12375,0.065,0.071,0.1225,0.0832499999999999,0.14075,0.24275,0.125,0.09475,0.0282499999999999,0.1277499999999999,0.12425,0.11025,0.05975,0.0775,0.05875,0.0722499999999999,0.085,0.0142499999999999,0.03875,0.09175,0.074,0.0687499999999999,0.0722499999999999,0.0559999999999999,0.15,0.10725,0.021,0.04725,0.0454999999999999,0.0344999999999999,0.10625,0.03325,0.0464999999999999,0.03375,0.0579999999999999,0.0414999999999999,0.0192499999999999,0.025,0.13,0.0695,0.03775,0.0494999999999999,0.0632499999999999,0.0845,0.1257499999999999,0.0747499999999999,0.0394999999999999,0.0677499999999999,0.344,0.05875,0.0702499999999999,0.1094999999999999,0.0182499999999999,0.0569999999999999,0.04525,0.0722499999999999,0.1377499999999999,0.0127499999999999,0.03425,0.05175,0.0939999999999999,0.05225,0.0155,0.0172499999999999,0.0252499999999999
2001: A Space Odyssey (1968),0.98575,0.95775,0.96425,0.8220000000000001,0.9745,0.91325,0.96425,0.98575,0.98575,0.897,0.98575,0.96425,0.91325,0.53425,0.945,0.6925,0.67025,0.8767499999999999,0.3097499999999999,0.40425,0.4822499999999999,0.35575,0.8362499999999999,0.2997499999999999,0.32975,0.58425,0.383,0.427,0.3,0.3,0.3395,0.4065,0.475,0.3025,0.7985,0.1875,0.27075,0.3934999999999999,0.35275,0.151,0.21675,0.2835,0.2674999999999999,0.11225,0.242,0.15125,0.2544999999999999,0.1569999999999999,0.216,0.2825,0.1342499999999999,0.27325,0.616,0.3007499999999999,0.1164999999999999,0.1912499999999999,0.5565,0.29325,0.34575,0.40925,0.08975,0.077,0.126,0.3435,0.1375,0.1515,0.14475,0.0949999999999999,0.172,0.28325,0.489,0.21325,0.14725,0.34975,0.15275,0.10075,0.11325,0.05725,0.08975,0.1382499999999999,0.09725,0.16425,0.14225,0.15275,0.1649999999999999,0.7385,0.09675,0.1495,0.1912499999999999,0.0915,0.0895,0.37575,0.1709999999999999,0.15025,0.0662499999999999,0.0672499999999999,0.08725,0.10775,0.1425,0.10425,0.128,0.04875,0.04125,0.079,0.072,0.1564999999999999,0.10375,0.1307499999999999,0.0549999999999999,0.0584999999999999,0.0349999999999999,0.0822499999999999,0.0847499999999999,0.067,0.0329999999999999,0.0202499999999999,0.07,0.0227499999999999,0.0514999999999999,0.04375,0.0182499999999999,0.0205,0.05025,0.0379999999999999,0.04725,0.0795,0.0722499999999999,0.0615,0.0632499999999999,0.04275,0.024,0.073,0.0449999999999999,0.0474999999999999,0.05625,0.0569999999999999,0.0217499999999999,0.04375,0.071,0.0364999999999999,0.0409999999999999,0.0117499999999999,0.04225,0.0499999999999999,0.0534999999999999,0.0205,0.0152499999999999,0.03375,0.028
Lost Horizon (1937),0.8009999999999999,0.8807499999999999,0.8009999999999999,0.72975,0.4405,0.4405,0.7722500000000001,0.8009999999999999,0.68825,0.7055,0.5795,0.8009999999999999,0.64425,0.56475,0.53925,0.7685,0.4405,0.53925,0.8807499999999999,0.59575,0.30225,0.32025,0.903,0.52525,0.18225,0.3005,0.65375,0.26075,0.25,0.37075,0.1735,0.15575,0.605,0.34025,0.2425,0.4519999999999999,0.27275,0.3159999999999999,0.43975,0.52575,0.5475,0.2977499999999999,0.27275,0.2744999999999999,0.3642499999999999,0.17325,0.45275,0.1375,0.5075,0.1755,0.15775,0.1875,0.81175,0.2594999999999999,0.497,0.11275,0.127,0.17325,0.3655,0.16825,0.08775,0.23825,0.2214999999999999,0.3225,0.4495,0.141,0.1897499999999999,0.24675,0.10875,0.25625,0.12025,0.21175,0.18025,0.495,0.064,0.1825,0.147,0.3047499999999999,0.15125,0.1059999999999999,0.24875,0.21675,0.15475,0.264,0.5605,0.52425,0.309,0.2997499999999999,0.1312499999999999,0.1714999999999999,0.908,0.08725,0.1215,0.05475,0.284,0.136,0.0499999999999999,0.1415,0.25125,0.11725,0.24675,0.0282499999999999,0.0564999999999999,0.122,0.0524999999999999,0.1704999999999999,0.0875,0.17075,0.22125,0.0755,0.1305,0.146,0.0767499999999999,0.0642499999999999,0.03925,0.017,0.077,0.1915,0.0499999999999999,0.0277499999999999,0.0349999999999999,0.026,0.0394999999999999,0.0959999999999999,0.10825,0.1285,0.0825,0.0735,0.1385,0.0514999999999999,0.04525,0.1255,0.0695,0.061,0.03925,0.078,0.0944999999999999,0.0579999999999999,0.0454999999999999,0.0399999999999999,0.03675,0.0757499999999999,0.0725,0.0334999999999999,0.1129999999999999,0.04675,0.03375,0.0359999999999999,0.03075
Around the World in 80 Days (1956),0.8460000000000001,0.8460000000000001,0.95,0.71875,0.5835,0.5835,0.58925,0.8460000000000001,0.70725,0.60075,0.50625,0.8460000000000001,0.5835,0.57,0.4825,0.653,0.351,0.4825,0.619,0.50575,0.38875,0.30225,0.9115,0.7577499999999999,0.20525,0.16675,0.406,0.2294999999999999,0.57125,0.8200000000000001,0.1579999999999999,0.20425,0.4942499999999999,0.3289999999999999,0.25225,0.28075,0.20525,0.3359999999999999,0.11325,0.272,0.4559999999999999,0.27375,0.287,0.1659999999999999,0.3195,0.17625,0.1134999999999999,0.14975,0.55975,0.15875,0.292,0.273,0.22925,0.14675,0.2279999999999999,0.17875,0.146,0.2375,0.2319999999999999,0.0949999999999999,0.1317499999999999,0.39725,0.2684999999999999,0.24525,0.55975,0.144,0.1545,0.1245,0.2329999999999999,0.21275,0.1887499999999999,0.33475,0.12125,0.2544999999999999,0.0875,0.10575,0.15,0.272,0.06025,0.0757499999999999,0.15725,0.1865,0.1485,0.38325,0.11025,0.6555,0.0984999999999999,0.07,0.10575,0.1679999999999999,0.45775,0.09,0.30225,0.09,0.0682499999999999,0.05625,0.05525,0.176,0.77525,0.4629999999999999,0.1387499999999999,0.04425,0.086,0.0782499999999999,0.09375,0.08775,0.0732499999999999,0.197,0.0847499999999999,0.1074999999999999,0.0499999999999999,0.069,0.08725,0.092,0.0324999999999999,0.0232499999999999,0.0855,0.04375,0.05975,0.03075,0.024,0.0469999999999999,0.0657499999999999,0.024,0.06025,0.15175,0.0805,0.496,0.1535,0.07,0.0292499999999999,0.05925,0.11575,0.0479999999999999,0.04375,0.137,0.05125,0.0579999999999999,0.05575,0.119,0.1604999999999999,0.0715,0.0925,0.0544999999999999,0.0414999999999999,0.0305,0.03525,0.04875,0.0459999999999999
Sleeper (1973),0.94725,0.9105,0.94725,0.80325,0.98775,0.98775,0.94725,0.94725,0.7745,0.98975,0.815,0.94725,0.98775,0.45375,0.8734999999999999,0.8625,0.32575,0.369,0.2967499999999999,0.39575,0.60875,0.257,0.37,0.6525,0.3864999999999999,0.3199999999999999,0.50525,0.91875,0.18325,0.6585,0.8427500000000001,0.44975,0.43325,0.3179999999999999,0.38725,0.152,0.32825,0.1927499999999999,0.2365,0.8734999999999999,0.52525,0.22675,0.96775,0.1654999999999999,0.42325,0.2155,0.369,0.1579999999999999,0.2927499999999999,0.3007499999999999,0.2299999999999999,0.1275,0.1997499999999999,0.31575,0.309,0.44975,0.1684999999999999,0.29125,0.2835,0.14075,0.0842499999999999,0.11675,0.1322499999999999,0.2324999999999999,0.1925,0.09325,0.14075,0.3269999999999999,0.2045,0.205,0.0757499999999999,0.25275,0.0832499999999999,0.128,0.1385,0.14,0.09175,0.27475,0.3702499999999999,0.1485,0.1865,0.1564999999999999,0.3329999999999999,0.11675,0.7975000000000001,0.11775,0.1225,0.0712499999999999,0.58475,0.8514999999999999,0.35,0.24025,0.131,0.1014999999999999,0.1049999999999999,0.085,0.0885,0.142,0.0954999999999999,0.09125,0.1129999999999999,0.0707499999999999,0.0329999999999999,0.0825,0.0657499999999999,0.0672499999999999,0.0765,0.08975,0.1609999999999999,0.22375,0.198,0.1019999999999999,0.137,0.09725,0.0354999999999999,0.03675,0.08825,0.0652499999999999,0.0682499999999999,0.0399999999999999,0.0222499999999999,0.0615,0.0305,0.0697499999999999,0.0549999999999999,0.04475,0.1694999999999999,0.0687499999999999,0.0964999999999999,0.08,0.062,0.0464999999999999,0.1039999999999999,0.068,0.06225,0.1405,0.0359999999999999,0.0667499999999999,0.0569999999999999,0.0384999999999999,0.121,0.0117499999999999,0.10475,0.03275,0.0797499999999999,0.04625,0.0172499999999999,0.05175,0.062
