movieId,fight scenes,chase,weapons,fun movie,original,predictable,vengeance,mentor,good,betrayal,catastrophe,dialogue,very funny,culture clash,runaway,light,first contact,weird,greed,life philosophy,melancholic,fantasy world,drama,not funny,surveillance,pornography,pulp,death,teen movie,adaptation,transformation,family,alter ego,buddy movie,classic car,sexy,stereotypes,life & death,creativity,80s,nudity (full frontal - brief),absurd,quirky,kidnapping,camp,independent film,childhood,unlikely friendships,farce,sacrifice,computer animation,drinking,women,california,hospital,writers,dysfunctional family,multiple storylines,internet,kick-butt women,los angeles,new jersey,mad scientist,underrated,notable nudity,hip hop,prison,irish accent,nudity (rear),road movie,queer,survival,awesome soundtrack,simple,remake,island,too long,prejudice,immortality,alternate history,islam,no plot,brothers,memory,russian,stand-up comedy,tokyo,blindness,doctors,hotel,nudity (topless - brief),race,new york city,addiction,film noir,small town,period piece,san francisco,shopping,good music,indians,trilogy,bollywood,foul language,british,desert,snakes,divorce,interracial romance,wartime,wilderness,stoner movie,dreams,too short,censorship,god,ghosts/afterlife,fashion,texas,hunting,adoption,unlikeable characters,workplace,ensemble cast,single father,reality tv,australia,directorial debut,finnish,graphic novel,cancer,robert downey jr,atheism,homeless,time,made for tv,1930s,father daughter relationship,oil,prostitution,lawyer,radio,potential oscar nom,goth,french,rebellion,wine,best of 2005,documentary
Sudden Death (1995),0.977,0.977,0.977,0.96925,0.61775,0.5765,0.5955,0.49975,0.5765,0.43125,0.5765,0.36375,0.22275,0.2867499999999999,0.3369999999999999,0.308,0.5325,0.23475,0.259,0.31875,0.246,0.17975,0.2867499999999999,0.38425,0.4982499999999999,0.16925,0.1955,0.36175,0.17225,0.21725,0.3419999999999999,0.1525,0.214,0.09875,0.1099999999999999,0.1267499999999999,0.1315,0.2835,0.32875,0.08875,0.2309999999999999,0.135,0.2135,0.1624999999999999,0.185,0.09025,0.11625,0.148,0.11675,0.31475,0.121,0.083,0.2145,0.09575,0.1352499999999999,0.147,0.1584999999999999,0.14725,0.21425,0.0494999999999999,0.04275,0.10175,0.185,0.149,0.04275,0.0707499999999999,0.0857499999999999,0.126,0.0959999999999999,0.071,0.12125,0.1525,0.065,0.10275,0.0529999999999999,0.142,0.08825,0.0735,0.156,0.0974999999999999,0.0775,0.0865,0.0777499999999999,0.0665,0.0534999999999999,0.069,0.04025,0.0777499999999999,0.10625,0.11125,0.1405,0.06125,0.05775,0.0627499999999999,0.09175,0.083,0.06175,0.0984999999999999,0.06075,0.0429999999999999,0.0559999999999999,0.0205,0.067,0.05075,0.04725,0.11625,0.17275,0.1927499999999999,0.0695,0.04775,0.07,0.04825,0.0647499999999999,0.0349999999999999,0.07,0.0344999999999999,0.0454999999999999,0.10175,0.04625,0.0459999999999999,0.0707499999999999,0.021,0.0775,0.0509999999999999,0.715,0.04575,0.025,0.1059999999999999,0.0237499999999999,0.013,0.0479999999999999,0.0217499999999999,0.0464999999999999,0.04325,0.0305,0.0354999999999999,0.0282499999999999,0.0469999999999999,0.081,0.0374999999999999,0.031,0.0287499999999999,0.0175,0.0364999999999999,0.03075,0.0172499999999999,0.0237499999999999,0.0142499999999999,0.013
Money Train (1995),0.94225,0.94225,0.94225,0.8314999999999999,0.65525,0.55625,0.70375,0.5895,0.538,0.57475,0.538,0.4569999999999999,0.40475,0.431,0.3329999999999999,0.17425,0.3105,0.2905,0.431,0.3339999999999999,0.251,0.28225,0.4117499999999999,0.33725,0.3652499999999999,0.212,0.2274999999999999,0.21425,0.18375,0.241,0.258,0.2455,0.22025,0.4559999999999999,0.22775,0.362,0.12175,0.2189999999999999,0.2229999999999999,0.131,0.21075,0.1185,0.2415,0.1765,0.138,0.187,0.1865,0.194,0.1195,0.1992499999999999,0.132,0.15125,0.2574999999999999,0.1415,0.2189999999999999,0.196,0.15025,0.1084999999999999,0.27425,0.0652499999999999,0.0822499999999999,0.15625,0.138,0.1664999999999999,0.0845,0.1079999999999999,0.1019999999999999,0.16925,0.1679999999999999,0.071,0.14125,0.09225,0.0954999999999999,0.1805,0.079,0.1119999999999999,0.11425,0.187,0.0825,0.1325,0.187,0.16925,0.60725,0.0925,0.064,0.089,0.0559999999999999,0.0574999999999999,0.14375,0.1545,0.53675,0.05725,0.792,0.1139999999999999,0.09425,0.0725,0.0835,0.083,0.183,0.0637499999999999,0.075,0.03,0.0745,0.135,0.07,0.04075,0.0554999999999999,0.14425,0.12075,0.0519999999999999,0.0519999999999999,0.0574999999999999,0.1034999999999999,0.0815,0.0925,0.0635,0.0399999999999999,0.075,0.06,0.04575,0.16725,0.04025,0.0974999999999999,0.0439999999999999,0.0765,0.0414999999999999,0.0314999999999999,0.0665,0.027,0.0187499999999999,0.0529999999999999,0.029,0.0539999999999999,0.10225,0.05625,0.03975,0.0579999999999999,0.0265,0.05025,0.05775,0.0792499999999999,0.0424999999999999,0.0642499999999999,0.03,0.02975,0.0165,0.0285,0.0225,0.0117499999999999
Fair Game (1995),0.8855,0.94425,0.8855,0.80725,0.663,0.8047500000000001,0.46625,0.5155,0.4565,0.4295,0.4565,0.48975,0.282,0.2564999999999999,0.4245,0.38275,0.37725,0.3622499999999999,0.21025,0.2927499999999999,0.24375,0.2395,0.2564999999999999,0.3429999999999999,0.3215,0.50625,0.26075,0.27025,0.21675,0.36175,0.31825,0.2827499999999999,0.16475,0.03875,0.147,0.56675,0.21575,0.22425,0.1377499999999999,0.238,0.2239999999999999,0.3299999999999999,0.21325,0.23175,0.2985,0.0885,0.1252499999999999,0.1515,0.126,0.1395,0.1614999999999999,0.08675,0.26575,0.11825,0.1282499999999999,0.1345,0.1425,0.25275,0.391,0.0489999999999999,0.0725,0.1074999999999999,0.2985,0.0742499999999999,1.0,0.10975,0.09125,0.1302499999999999,0.3452499999999999,0.2355,0.14275,0.0855,0.0675,0.1014999999999999,0.45775,0.1987499999999999,0.1104999999999999,0.088,0.076,0.1564999999999999,0.1044999999999999,0.15575,0.0959999999999999,0.1287499999999999,0.3542499999999999,0.0979999999999999,0.04525,0.0817499999999999,0.15575,0.13,0.1885,0.0449999999999999,0.04975,0.10075,0.10975,0.0645,0.0727499999999999,0.1362499999999999,0.11725,0.0564999999999999,0.1495,0.0255,0.0797499999999999,0.0662499999999999,0.1109999999999999,0.0964999999999999,0.0832499999999999,0.34125,0.1614999999999999,0.04875,0.0999999999999999,0.0569999999999999,0.0845,0.133,0.121,0.09925,0.0514999999999999,0.0775,0.0424999999999999,0.0742499999999999,0.10725,0.0394999999999999,0.0747499999999999,0.05175,0.04625,0.21575,0.04425,0.0627499999999999,0.06025,0.0245,0.0569999999999999,0.04575,0.1074999999999999,0.03475,0.0697499999999999,0.0255,0.0559999999999999,0.0287499999999999,0.0647499999999999,0.0414999999999999,0.36775,0.0652499999999999,0.03775,0.0305,0.0252499999999999,0.0207499999999999,0.0324999999999999,0.018,0.0147499999999999
Rumble in the Bronx (Hont faan kui) (1995),0.98625,0.94275,0.94275,0.861,0.747,0.3592499999999999,0.60225,0.55425,0.5055,0.60225,0.4399999999999999,0.5645,0.56475,0.416,0.4197499999999999,0.3592499999999999,0.2544999999999999,0.4495,0.35175,0.354,0.4495,0.2917499999999999,0.4075,0.25475,0.40475,0.3165,0.1985,0.3425,0.148,0.28725,0.3435,0.16325,0.23425,0.267,0.2264999999999999,0.18675,0.53175,0.21175,0.4565,0.31325,0.21675,0.1765,0.2115,0.122,0.1297499999999999,0.3215,0.26825,0.22025,0.2385,0.17075,0.1795,0.3215,0.1785,0.1287499999999999,0.16625,0.1079999999999999,0.1977499999999999,0.1564999999999999,0.12,0.287,0.1139999999999999,0.175,0.0994999999999999,0.1977499999999999,0.08825,0.0787499999999999,0.083,0.1435,0.14775,0.1735,0.14875,0.12025,0.3285,0.1149999999999999,0.0364999999999999,0.1639999999999999,0.0959999999999999,0.12275,0.132,0.1054999999999999,0.135,0.1594999999999999,0.155,0.0722499999999999,0.062,0.09175,0.2714999999999999,0.1282499999999999,0.15625,0.12125,0.1355,0.0727499999999999,0.661,0.0692499999999999,0.088,0.0954999999999999,0.08925,0.068,0.17725,0.085,0.0717499999999999,0.1735,0.1059999999999999,0.1335,0.1684999999999999,0.0677499999999999,0.1154999999999999,0.08,0.0935,0.059,0.0752499999999999,0.0822499999999999,0.1039999999999999,0.05475,0.12375,0.03725,0.12125,0.09325,0.0444999999999999,0.03325,0.0792499999999999,0.0389999999999999,0.11625,0.0627499999999999,0.05425,0.04575,0.124,0.09325,0.03325,0.028,0.131,0.04875,0.05975,0.0454999999999999,0.1094999999999999,0.04475,0.0712499999999999,0.0584999999999999,0.0772499999999999,0.05025,0.0319999999999999,0.03225,0.05775,0.085,0.0499999999999999,0.0805,0.03675,0.0305,0.03375
Bad Boys (1995),0.98975,0.98975,0.9855,0.98975,0.65525,0.70375,0.708,0.6315,0.8245,0.647,0.70375,0.6315,0.95125,0.54025,0.44075,0.3615,0.2684999999999999,0.2815,0.525,0.387,0.3742499999999999,0.2664999999999999,0.46025,0.2744999999999999,0.4267499999999999,0.22925,0.2012499999999999,0.23725,0.2574999999999999,0.25925,0.33075,0.27725,0.2985,0.97275,0.24375,0.4095,0.37475,0.16225,0.396,0.123,0.22475,0.15,0.1624999999999999,0.1465,0.09,0.16925,0.2194999999999999,0.21475,0.54275,0.38725,0.1952499999999999,0.196,0.1755,0.1805,0.18175,0.152,0.15275,0.1445,0.20925,0.10425,0.1327499999999999,0.1367499999999999,0.1425,0.2165,0.2012499999999999,0.419,0.10125,0.24175,0.1342499999999999,0.1277499999999999,0.13,0.187,0.17275,0.2214999999999999,0.061,0.2155,0.184,0.11925,0.1144999999999999,0.1292499999999999,0.1054999999999999,0.16775,0.1515,0.1009999999999999,0.081,0.09,0.088,0.1375,0.08825,0.145,0.09475,0.11525,0.0755,0.4439999999999999,0.08825,0.082,0.091,0.15175,0.23575,0.137,0.0637499999999999,0.091,0.09325,0.2594999999999999,0.084,0.0529999999999999,0.063,0.15075,0.081,0.061,0.062,0.0949999999999999,0.06175,0.063,0.0905,0.04975,0.15525,0.0825,0.0414999999999999,0.04375,0.05725,0.03025,0.0745,0.0524999999999999,0.0747499999999999,0.0399999999999999,0.04175,0.4469999999999999,0.04975,0.0554999999999999,0.06075,0.077,0.06075,0.05225,0.071,0.0449999999999999,0.04075,0.0549999999999999,0.05125,0.06175,0.061,0.04125,0.087,0.04675,0.05275,0.03725,0.0469999999999999,0.0364999999999999,0.0232499999999999
Under Siege 2: Dark Territory (1995),0.9825,0.9825,0.9825,0.9725,0.66975,0.60475,0.756,0.65925,0.60475,0.594,0.60475,0.30525,0.2405,0.32225,0.4609999999999999,0.2435,0.44275,0.32225,0.26025,0.33525,0.21,0.23025,0.32225,0.38225,0.35375,0.18525,0.1945,0.4785,0.21225,0.23175,0.33275,0.305,0.17925,0.0762499999999999,0.1347499999999999,0.138,0.1282499999999999,0.17575,0.22225,0.10325,0.24375,0.1684999999999999,0.195,0.09525,0.1932499999999999,0.1664999999999999,0.1555,0.1465,0.1292499999999999,0.4675,0.147,0.1664999999999999,0.2229999999999999,0.15225,0.17575,0.2095,0.1445,0.11975,0.1845,0.05325,0.2135,0.091,0.1932499999999999,0.10975,0.0657499999999999,0.11875,0.1069999999999999,0.14225,0.1297499999999999,0.0742499999999999,0.128,0.1355,0.0735,0.192,0.0737499999999999,0.1902499999999999,0.1144999999999999,0.122,0.16825,0.127,0.09225,0.13,0.0865,0.0827499999999999,0.05575,0.076,0.0549999999999999,0.10325,0.1654999999999999,0.078,0.0915,0.0459999999999999,0.1134999999999999,0.0574999999999999,0.0949999999999999,0.063,0.07,0.08875,0.1084999999999999,0.0389999999999999,0.0712499999999999,0.0205,0.0662499999999999,0.0637499999999999,0.0697499999999999,0.11025,0.0949999999999999,0.1815,0.1024999999999999,0.0675,0.0949999999999999,0.05175,0.0815,0.0722499999999999,0.1114999999999999,0.0389999999999999,0.0847499999999999,0.03575,0.03125,0.04825,0.1099999999999999,0.022,0.0767499999999999,0.0359999999999999,0.071,0.03125,0.0185,0.0559999999999999,0.028,0.03575,0.06225,0.0295,0.0544999999999999,0.04525,0.0635,0.0399999999999999,0.0414999999999999,0.0262499999999999,0.0519999999999999,0.04125,0.0305,0.0812499999999999,0.0242499999999999,0.04025,0.03725,0.0172499999999999,0.0569999999999999,0.0155,0.0135
Drop Zone (1994),0.96775,0.96775,0.95275,0.96775,0.62725,0.6555,0.627,0.60125,0.54975,0.3159999999999999,0.5275,0.37,0.2314999999999999,0.2574999999999999,0.4227499999999999,0.2319999999999999,0.3612499999999999,0.2264999999999999,0.2574999999999999,0.3705,0.252,0.267,0.25075,0.3285,0.25675,0.18725,0.15225,0.372,0.1609999999999999,0.22825,0.35175,0.2234999999999999,0.20475,0.0489999999999999,0.14625,0.1535,0.1902499999999999,0.1689999999999999,0.21925,0.20375,0.21425,0.145,0.249,0.20875,0.1265,0.18625,0.244,0.1395,0.1159999999999999,0.23775,0.15,0.18625,0.18225,0.0964999999999999,0.1365,0.14875,0.1129999999999999,0.1124999999999999,0.2804999999999999,0.0672499999999999,0.0429999999999999,0.0685,0.1465,0.14,0.0579999999999999,0.09875,0.33225,0.17325,0.1845,0.08,0.1282499999999999,0.14375,0.16625,0.0727499999999999,0.0479999999999999,0.1347499999999999,0.1014999999999999,0.10075,0.187,0.1175,0.11875,0.0837499999999999,0.1134999999999999,0.08975,0.0817499999999999,0.0692499999999999,0.04425,0.1252499999999999,0.1094999999999999,0.0745,0.1415,0.0765,0.05975,0.0514999999999999,0.08825,0.05825,0.0775,0.0989999999999999,0.068,0.0579999999999999,0.09575,0.03375,0.068,0.05125,0.0574999999999999,0.0752499999999999,0.05425,0.10925,0.11875,0.0479999999999999,0.05025,0.04675,0.06175,0.05925,0.118,0.0717499999999999,0.083,0.0499999999999999,0.0349999999999999,0.196,0.0677499999999999,0.0364999999999999,0.0715,0.05225,0.0667499999999999,0.03775,0.03225,0.06175,0.03425,0.016,0.0564999999999999,0.0647499999999999,0.0717499999999999,0.05525,0.0665,0.0655,0.04225,0.02975,0.04425,0.03175,0.04325,0.0439999999999999,0.0339999999999999,0.05925,0.02975,0.03,0.02975,0.0122499999999999,0.0127499999999999
"Hunted, The (1995)",0.918,0.912,0.912,0.6635,0.719,0.39025,0.8485,0.58825,0.46375,0.65175,0.46375,0.437,0.2504999999999999,0.45425,0.593,0.257,0.258,0.4054999999999999,0.42225,0.4044999999999999,0.4054999999999999,0.3205,0.45425,0.3455,0.6295,0.363,0.4955,0.44725,0.1922499999999999,0.214,0.32625,0.27075,0.3325,0.1079999999999999,0.279,0.141,0.20925,0.3864999999999999,0.1935,0.16025,0.26525,0.12375,0.21275,0.1674999999999999,0.1267499999999999,0.2837499999999999,0.21925,0.21625,0.17575,0.2837499999999999,0.1659999999999999,0.38525,0.1367499999999999,0.126,0.29925,0.183,0.29725,0.16925,0.1175,0.0504999999999999,0.0722499999999999,0.087,0.09925,0.1332499999999999,0.087,0.04075,0.09475,0.272,0.09725,0.0785,0.2002499999999999,0.32775,0.1925,0.135,0.083,0.2299999999999999,0.1317499999999999,0.2837499999999999,0.09225,0.14275,0.0865,0.04275,0.14425,0.1084999999999999,0.0815,0.1084999999999999,0.4529999999999999,0.14075,0.16325,0.10825,0.1599999999999999,0.0484999999999999,0.1265,0.088,0.10225,0.09025,0.11525,0.0579999999999999,0.0717499999999999,0.09075,0.08825,0.0454999999999999,0.0812499999999999,0.0895,0.10825,0.081,0.0267499999999999,0.08875,0.093,0.0865,0.05375,0.092,0.0935,0.0817499999999999,0.0732499999999999,0.09025,0.15875,0.087,0.061,0.30725,0.122,0.03425,0.04925,0.0637499999999999,0.0514999999999999,0.04075,0.078,0.076,0.04925,0.0519999999999999,0.09075,0.03725,0.0514999999999999,0.0852499999999999,0.0459999999999999,0.04775,0.0865,0.03625,0.0404999999999999,0.0509999999999999,0.0287499999999999,0.03425,0.0459999999999999,0.067,0.0489999999999999,0.0424999999999999,0.05275,0.0265,0.021
Nemesis 2: Nebula (1995),0.72375,0.72375,0.72375,0.3532499999999999,0.7922499999999999,0.75,0.45425,0.5075,0.71675,0.22825,0.75,0.40575,0.27225,0.2847499999999999,0.26175,0.175,0.75,0.30425,0.1995,0.361,0.3149999999999999,0.2957499999999999,0.2045,0.37675,0.0925,0.3379999999999999,0.59125,0.131,0.1545,0.2135,0.23575,0.256,0.1215,0.0247499999999999,0.2264999999999999,0.1775,0.17625,0.10775,0.156,0.11275,0.1975,0.17725,0.29,0.3179999999999999,0.22825,0.1245,0.1735,0.1365,0.2007499999999999,0.10375,0.189,0.10025,0.2764999999999999,0.1367499999999999,0.123,0.2204999999999999,0.174,0.22375,0.179,0.25925,0.04025,0.1594999999999999,0.23275,0.0484999999999999,0.173,0.0757499999999999,0.0685,0.127,0.1054999999999999,0.11775,0.2229999999999999,0.17425,0.0727499999999999,0.05675,0.14325,0.1355,0.2219999999999999,0.11475,0.16625,0.12025,0.0994999999999999,0.14,0.05775,0.121,0.04025,0.15575,0.1629999999999999,0.0549999999999999,0.08875,0.05975,0.123,0.05975,0.0414999999999999,0.08975,0.1265,0.0534999999999999,0.0964999999999999,0.0657499999999999,0.05775,0.0479999999999999,0.1009999999999999,0.0715,0.0775,0.0282499999999999,0.0885,0.4335,0.118,0.15925,0.17375,0.0677499999999999,0.0682499999999999,0.0817499999999999,0.10875,0.1967499999999999,0.0384999999999999,0.05975,0.0717499999999999,0.0665,0.12225,0.0835,0.2264999999999999,0.0409999999999999,0.1654999999999999,0.04225,0.0627499999999999,0.05375,0.0314999999999999,0.0647499999999999,0.0359999999999999,0.02,0.04125,0.0384999999999999,0.05975,0.03,0.0692499999999999,0.0605,0.05775,0.0344999999999999,0.0272499999999999,0.0474999999999999,0.0409999999999999,0.03625,0.0185,0.0579999999999999,0.03225,0.03025,0.0479999999999999,0.0265,0.0227499999999999
"Specialist, The (1994)",0.9235,0.9235,0.9235,0.8772500000000001,0.61525,0.62725,0.87025,0.50175,0.471,0.64,0.471,0.44425,0.261,0.34125,0.31,0.1927499999999999,0.35575,0.3035,0.34125,0.3345,0.21675,0.2957499999999999,0.30925,0.3502499999999999,0.64,0.642,0.1875,0.31275,0.1347499999999999,0.24525,0.28,0.33275,0.15625,0.0615,0.2055,0.642,0.20575,0.189,0.277,0.14175,0.26225,0.14925,0.17625,0.10375,0.1927499999999999,0.1024999999999999,0.1545,0.1342499999999999,0.083,0.2005,0.1515,0.1004999999999999,0.2155,0.078,0.123,0.1034999999999999,0.14775,0.18275,0.27625,0.1305,0.0479999999999999,0.14375,0.1927499999999999,0.1785,0.141,0.0632499999999999,0.083,0.153,0.40925,0.0685,0.1445,0.09425,0.083,0.0875,0.0605,0.10425,0.1402499999999999,0.0727499999999999,0.0979999999999999,0.1185,0.09375,0.128,0.071,0.11425,0.0657499999999999,0.0979999999999999,0.0464999999999999,0.1255,0.1029999999999999,0.215,0.12225,0.0399999999999999,0.0717499999999999,0.0705,0.1365,0.0625,0.0752499999999999,0.074,0.0939999999999999,0.0514999999999999,0.0807499999999999,0.0419999999999999,0.0812499999999999,0.04575,0.0682499999999999,0.0424999999999999,0.03775,0.22375,0.1659999999999999,0.0767499999999999,0.0595,0.0637499999999999,0.10225,0.0895,0.18175,0.064,0.0509999999999999,0.05575,0.0389999999999999,0.0817499999999999,0.14175,0.15375,0.1114999999999999,0.04075,0.0805,0.09575,0.0245,0.04525,0.03625,0.0344999999999999,0.04475,0.04525,0.06025,0.04825,0.05325,0.0529999999999999,0.04775,0.0225,0.05025,0.05325,0.0615,0.04425,0.0374999999999999,0.0324999999999999,0.03825,0.0275,0.03225,0.017,0.0115
