movieId,teen movie,good,predictable,original,very funny,catastrophe,mentor,family,childhood,fun movie,melancholic,runaway,women,chase,light,stereotypes,fight scenes,dialogue,fantasy world,culture clash,sexy,first contact,life philosophy,unlikely friendships,betrayal,vengeance,adaptation,weird,divorce,drama,pornography,transformation,not funny,greed,weapons,quirky,writers,shopping,farce,internet,drinking,new jersey,dysfunctional family,life & death,creativity,fashion,interracial romance,absurd,queer,computer animation,nudity (full frontal - brief),new york city,independent film,single father,death,sacrifice,hospital,hotel,pulp,prejudice,notable nudity,classic car,surveillance,underrated,multiple storylines,hip hop,nudity (rear),camp,california,alter ego,irish accent,doctors,simple,remake,too long,80s,small town,san francisco,islam,good music,awesome soundtrack,dreams,adoption,island,mad scientist,period piece,alternate history,foul language,no plot,bollywood,british,road movie,memory,unlikeable characters,indians,workplace,stand-up comedy,blindness,immortality,wine,father daughter relationship,film noir,lawyer,kick-butt women,too short,ghosts/afterlife,race,stoner movie,cancer,wartime,survival,los angeles,brothers,radio,addiction,prison,ensemble cast,atheism,reality tv,buddy movie,god,time,tokyo,robert downey jr,censorship,russian,kidnapping,nudity (topless - brief),made for tv,wilderness,goth,1930s,directorial debut,homeless,texas,australia,prostitution,finnish,trilogy,snakes,potential oscar nom,oil,french,best of 2005,desert,rebellion,graphic novel,hunting,documentary
Waiting to Exhale (1995),0.79,0.899,0.543,0.64075,0.265,0.4475,0.49475,0.4235,0.48175,0.21975,0.70575,0.5545,0.97525,0.51625,0.279,0.5685,0.3295,0.3445,0.2744999999999999,0.282,0.27675,0.32525,0.31,0.6245,0.5545,0.434,0.536,0.26625,0.82375,0.5545,0.23775,0.2425,0.296,0.21575,0.2895,0.1922499999999999,0.182,0.24975,0.09975,0.16325,0.57,0.0842499999999999,0.206,0.1689999999999999,0.1709999999999999,0.09075,0.41825,0.1337499999999999,0.47475,0.191,0.2704999999999999,0.079,0.152,0.09275,0.2624999999999999,0.21,0.22175,0.09925,0.1892499999999999,0.147,0.145,0.23375,0.0855,0.11075,0.22225,0.14,0.198,0.1185,0.10175,0.173,0.1159999999999999,0.11525,0.08975,0.0675,0.1285,0.0777499999999999,0.10425,0.085,0.119,0.077,0.08775,0.0805,0.1252499999999999,0.11975,0.1019999999999999,0.1252499999999999,0.139,0.05075,0.0727499999999999,0.0905,0.09,0.1639999999999999,0.08725,0.0454999999999999,0.137,0.3864999999999999,0.0999999999999999,0.10475,0.0662499999999999,0.2239999999999999,0.0399999999999999,0.1014999999999999,0.04125,0.07,0.1039999999999999,0.085,0.0857499999999999,0.0665,0.437,0.0665,0.11475,0.04675,0.1044999999999999,0.0845,0.10025,0.0657499999999999,0.0745,0.0615,0.0454999999999999,0.026,0.03575,0.0454999999999999,0.062,0.03775,0.0524999999999999,0.04775,0.04375,0.10975,0.04925,0.0645,0.05225,0.065,0.05825,0.0667499999999999,0.0652499999999999,0.0292499999999999,0.0752499999999999,0.03925,0.03725,0.0677499999999999,0.05625,0.03625,0.03325,0.021,0.04925,0.0252499999999999,0.0192499999999999,0.08825,0.03725
Father of the Bride Part II (1995),0.62825,0.6315,0.61125,0.71925,0.83925,0.54475,0.649,0.8687499999999999,0.60375,0.58075,0.3794999999999999,0.63425,0.40225,0.5815,0.374,0.34075,0.29,0.259,0.33725,0.43025,0.1272499999999999,0.4157499999999999,0.3355,0.63425,0.649,0.4014999999999999,0.28925,0.2935,0.44025,0.63425,0.1942499999999999,0.3675,0.244,0.22675,0.2865,0.243,0.1922499999999999,0.1805,0.291,0.21325,0.1245,0.14875,0.7589999999999999,0.2504999999999999,0.31675,0.0652499999999999,0.23475,0.15475,0.15175,0.208,0.37375,0.0652499999999999,0.14525,0.5465,0.16925,0.2784999999999999,0.612,0.1039999999999999,0.151,0.1327499999999999,0.1059999999999999,0.133,0.1144999999999999,0.1039999999999999,0.15375,0.09325,0.1114999999999999,0.118,0.3215,0.17825,0.1064999999999999,0.3077499999999999,0.1965,0.61225,0.05075,0.0504999999999999,0.0984999999999999,0.121,0.0935,0.09425,0.0852499999999999,0.1362499999999999,0.2175,0.11475,0.1134999999999999,0.11375,0.15625,0.0539999999999999,0.09225,0.09425,0.0667499999999999,0.15625,0.10575,0.0384999999999999,0.124,0.1119999999999999,0.09425,0.11575,0.0865,0.0785,0.94825,0.0935,0.0775,0.0737499999999999,0.58725,0.368,0.0837499999999999,0.061,0.14375,0.0707499999999999,0.11125,0.04375,0.1139999999999999,0.0637499999999999,0.0539999999999999,0.10125,0.06225,0.0732499999999999,0.05575,0.04675,0.0439999999999999,0.2664999999999999,0.0737499999999999,0.03525,0.0627499999999999,0.04275,0.0827499999999999,0.1019999999999999,0.04725,0.09125,0.0509999999999999,0.0539999999999999,0.06,0.0459999999999999,0.05725,0.04475,0.04075,0.021,0.071,0.03425,0.03325,0.05125,0.0374999999999999,0.0225,0.04825,0.0255,0.0222499999999999,0.05975,0.02
Sabrina (1995),0.932,0.96225,0.396,0.7927500000000001,0.39125,0.565,0.611,0.54525,0.4459999999999999,0.3555,0.68825,0.4459999999999999,0.3964999999999999,0.479,0.5095,0.22775,0.55975,0.501,0.272,0.42725,0.31925,0.286,0.31425,0.23625,0.48475,0.4257499999999999,0.4325,0.45675,0.30525,0.44425,0.183,0.51175,0.3165,0.35775,0.55975,0.1912499999999999,0.14075,0.2514999999999999,0.14975,0.257,0.1709999999999999,0.1225,0.14275,0.15925,0.2604999999999999,0.44775,0.25275,0.1195,0.15275,0.1599999999999999,0.34575,0.133,0.1709999999999999,0.2867499999999999,0.1292499999999999,0.2554999999999999,0.211,0.1897499999999999,0.1185,0.3329999999999999,0.1049999999999999,0.1335,0.3512499999999999,0.1362499999999999,0.1245,0.0549999999999999,0.1175,0.073,0.132,0.1385,0.1262499999999999,0.29,0.16425,0.98125,0.182,0.0509999999999999,0.0765,0.15925,0.12425,0.09075,0.0595,0.1109999999999999,0.11175,0.27725,0.1297499999999999,0.3355,0.1897499999999999,0.1917499999999999,0.0605,0.10475,0.1265,0.0519999999999999,0.12,0.04525,0.121,0.081,0.0712499999999999,0.2085,0.23375,0.23625,0.0847499999999999,0.0825,0.087,0.0667499999999999,0.0969999999999999,0.14375,0.09125,0.05925,0.1109999999999999,0.0584999999999999,0.1074999999999999,0.031,0.1975,0.04975,0.05725,0.0812499999999999,0.1295,0.1372499999999999,0.04175,0.0252499999999999,0.0379999999999999,0.10575,0.0825,0.0534999999999999,0.0785,0.0539999999999999,0.0444999999999999,0.0655,0.0642499999999999,0.15575,0.0314999999999999,0.0802499999999999,0.05275,0.04025,0.0969999999999999,0.0262499999999999,0.0627499999999999,0.0132499999999999,0.0434999999999999,0.0579999999999999,0.0305,0.06225,0.10775,0.03675,0.0989999999999999,0.03025,0.0235,0.03875,0.0197499999999999
Bed of Roses (1996),0.979,0.9915,0.46325,0.60975,0.20725,0.506,0.522,0.3485,0.7735000000000001,0.2564999999999999,0.6235,0.7735000000000001,0.2002499999999999,0.3722499999999999,0.4655,0.2955,0.3075,0.4525,0.3385,0.38225,0.22825,0.41925,0.38225,0.52075,0.522,0.4495,0.2025,0.38225,0.2415,0.52075,0.1704999999999999,0.24475,0.33275,0.2455,0.2375,0.2935,0.175,0.2204999999999999,0.0755,0.268,0.14175,0.1129999999999999,0.11775,0.16425,0.16975,0.0519999999999999,0.40925,0.0949999999999999,0.1195,0.1292499999999999,0.184,0.153,0.208,0.1382499999999999,0.26725,0.3585,0.2175,0.1795,0.1495,0.208,0.1044999999999999,0.1445,0.139,0.12475,0.18125,0.0625,0.1495,0.063,0.0915,0.1175,0.25225,0.11475,0.10175,0.05625,0.136,0.0735,0.1004999999999999,0.0984999999999999,0.09675,0.0984999999999999,0.0742499999999999,0.08925,0.0459999999999999,0.1332499999999999,0.0647499999999999,0.1674999999999999,0.1297499999999999,0.0707499999999999,0.11875,0.05475,0.069,0.0519999999999999,0.124,0.03925,0.154,0.05775,0.093,0.085,0.0579999999999999,0.2309999999999999,0.04775,0.08625,0.0519999999999999,0.0695,0.12175,0.20325,0.0727499999999999,0.05075,0.0792499999999999,0.062,0.0775,0.0364999999999999,0.09575,0.08775,0.118,0.0672499999999999,0.0732499999999999,0.068,0.0329999999999999,0.03875,0.0504999999999999,0.084,0.0404999999999999,0.0464999999999999,0.031,0.09725,0.0285,0.1272499999999999,0.0479999999999999,0.06225,0.0615,0.0429999999999999,0.0627499999999999,0.04975,0.0632499999999999,0.03925,0.0474999999999999,0.0444999999999999,0.03625,0.0305,0.0237499999999999,0.059,0.0324999999999999,0.0235,0.05225,0.029,0.0172499999999999,0.03525,0.0132499999999999
Nine Months (1995),0.8812500000000001,0.8867499999999999,0.64425,0.67125,0.959,0.513,0.5555,0.6375,0.45575,0.52075,0.4659999999999999,0.389,0.3575,0.54775,0.56525,0.47975,0.33125,0.2985,0.30425,0.36375,0.1882499999999999,0.384,0.49575,0.32525,0.5555,0.372,0.3149999999999999,0.3395,0.69175,0.36375,0.2027499999999999,0.3379999999999999,0.2075,0.23025,0.20425,0.173,0.17525,0.44275,0.5155,0.179,0.25325,0.15325,0.7542500000000001,0.347,0.351,0.0805,0.1335,0.35275,0.1405,0.20475,0.2405,0.0847499999999999,0.1805,0.31575,0.2465,0.27475,0.666,0.153,0.181,0.1079999999999999,0.084,0.15075,0.09725,0.1272499999999999,0.182,0.09775,0.1385,0.1104999999999999,0.14525,0.2065,0.081,0.45825,0.42525,0.21275,0.0954999999999999,0.078,0.09125,0.528,0.1089999999999999,0.0752499999999999,0.08975,0.14375,0.5735,0.22525,0.2025,0.148,0.1892499999999999,0.077,0.1059999999999999,0.0915,0.1362499999999999,0.1435,0.11175,0.06225,0.09925,0.15125,0.10775,0.12225,0.08725,0.14325,0.0652499999999999,0.09925,0.0735,0.0727499999999999,0.0672499999999999,0.2584999999999999,0.068,0.09425,0.121,0.0675,0.1815,0.0584999999999999,0.088,0.1992499999999999,0.0534999999999999,0.1004999999999999,0.04425,0.0722499999999999,0.1882499999999999,0.1305,0.05925,0.09025,0.0765,0.04075,0.075,0.17425,0.0822499999999999,0.09275,0.04425,0.0727499999999999,0.0282499999999999,0.067,0.0697499999999999,0.0785,0.03425,0.0434999999999999,0.09375,0.0235,0.0359999999999999,0.05125,0.0369999999999999,0.0324999999999999,0.0677499999999999,0.0277499999999999,0.0554999999999999,0.0242499999999999,0.0379999999999999,0.0399999999999999,0.0217499999999999
Something to Talk About (1995),0.501,0.58025,0.7555000000000001,0.593,0.39625,0.7555000000000001,0.47575,0.86625,0.17775,0.2927499999999999,0.64675,0.35075,0.879,0.4685,0.3305,0.24625,0.21225,0.3585,0.243,0.424,0.3215,0.7555000000000001,0.3107499999999999,0.16675,0.298,0.5085,0.246,0.31675,0.72475,0.6635,0.14925,0.284,0.2935,0.2435,0.17725,0.17975,0.203,0.16475,0.1004999999999999,0.3105,0.191,0.1385,0.7665,0.139,0.1937499999999999,0.05975,0.3249999999999999,0.18625,0.4805,0.16475,0.16575,0.072,0.2185,0.3067499999999999,0.24425,0.1922499999999999,0.2012499999999999,0.1205,0.14525,0.1159999999999999,0.18275,0.1475,0.15075,0.10725,0.11225,0.1099999999999999,0.11125,0.0737499999999999,0.14575,0.1594999999999999,0.1955,0.1564999999999999,0.074,0.0722499999999999,0.06075,0.05525,0.1905,0.0835,0.15075,0.0665,0.068,0.12,0.346,0.0959999999999999,0.08875,0.1255,0.1375,0.06125,0.1175,0.10175,0.0815,0.10025,0.07,0.04975,0.08625,0.11525,0.0959999999999999,0.0984999999999999,0.0549999999999999,0.09225,0.16425,0.0954999999999999,0.15175,0.0692499999999999,0.05025,0.0579999999999999,0.09875,0.06,0.09,0.082,0.0875,0.03925,0.186,0.087,0.05225,0.0895,0.09475,0.0765,0.10875,0.0187499999999999,0.05425,0.03475,0.05475,0.067,0.0642499999999999,0.0569999999999999,0.04725,0.10625,0.0675,0.0815,0.03125,0.05525,0.05875,0.0519999999999999,0.081,0.0409999999999999,0.03225,0.0185,0.03625,0.0277499999999999,0.03125,0.0805,0.03375,0.0222499999999999,0.0389999999999999,0.022,0.0237499999999999,0.05975,0.0205
Forget Paris (1995),0.964,0.964,0.4742499999999999,0.67425,0.87625,0.45525,0.58525,0.32225,0.413,0.3655,0.68125,0.4379999999999999,0.2055,0.49275,0.58725,0.15975,0.23075,0.308,0.36375,0.4379999999999999,0.1735,0.23625,0.46175,0.26425,0.421,0.4215,0.20375,0.407,0.69525,0.4765,0.1564999999999999,0.293,0.24125,0.29625,0.2,0.369,0.3065,0.11925,0.432,0.1877499999999999,0.189,0.144,0.152,0.2007499999999999,0.3804999999999999,0.123,0.194,0.2105,0.1185,0.1415,0.194,0.1084999999999999,0.189,0.0805,0.20975,0.3984999999999999,0.4147499999999999,0.2045,0.16775,0.12125,0.0827499999999999,0.1912499999999999,0.1892499999999999,0.2299999999999999,0.19,0.0792499999999999,0.08675,0.0785,0.1024999999999999,0.14625,0.128,0.2015,0.20975,0.09675,0.073,0.0494999999999999,0.1305,0.14525,0.09475,0.06125,0.05775,0.0835,0.1044999999999999,0.1034999999999999,0.086,0.151,0.22225,0.05375,0.1089999999999999,0.0665,0.0999999999999999,0.3179999999999999,0.1897499999999999,0.0459999999999999,0.1395,0.08625,0.1159999999999999,0.1415,0.06,0.23625,0.0454999999999999,0.09425,0.0682499999999999,0.0559999999999999,0.0539999999999999,0.1285,0.08775,0.0767499999999999,0.069,0.0775,0.078,0.03175,0.09175,0.1327499999999999,0.0712499999999999,0.10275,0.0625,0.0757499999999999,0.0399999999999999,0.027,0.0277499999999999,0.14925,0.0812499999999999,0.0489999999999999,0.071,0.0632499999999999,0.04175,0.10625,0.03575,0.081,0.03275,0.0635,0.0775,0.06075,0.061,0.04075,0.0394999999999999,0.0272499999999999,0.0529999999999999,0.0305,0.0287499999999999,0.03875,0.22775,0.0232499999999999,0.0454999999999999,0.027,0.0252499999999999,0.0265,0.0339999999999999
I.Q. (1994),0.99475,0.99475,0.69075,0.6945,0.661,0.4972499999999999,0.58925,0.7967500000000001,0.86575,0.89425,0.48575,0.86575,0.201,0.42125,0.74425,0.24425,0.2867499999999999,0.38675,0.2204999999999999,0.52825,0.2957499999999999,0.521,0.4389999999999999,0.3249999999999999,0.31275,0.392,0.3249999999999999,0.3622499999999999,0.1945,0.3535,0.187,0.42325,0.2907499999999999,0.2554999999999999,0.239,0.4024999999999999,0.22575,0.215,0.20875,0.2794999999999999,0.11425,0.66625,0.0954999999999999,0.45075,0.21875,0.18675,0.24425,0.17375,0.14225,0.18725,0.22775,0.08775,0.31275,0.1305,0.26375,0.18425,0.14575,0.2269999999999999,0.15875,0.15525,0.09025,0.18125,0.15125,0.18275,0.1265,0.05975,0.1277499999999999,0.09825,0.16275,0.18475,0.23975,0.21725,0.22325,0.1054999999999999,0.067,0.082,0.256,0.1024999999999999,0.1569999999999999,0.09025,0.1352499999999999,0.14425,0.0439999999999999,0.15,0.27875,0.70325,0.2185,0.05325,0.1034999999999999,0.089,0.17375,0.12375,0.0787499999999999,0.0524999999999999,0.11425,0.08825,0.063,0.134,0.11625,0.1119999999999999,0.04475,0.0852499999999999,0.0574999999999999,0.09625,0.068,0.16775,0.1505,0.064,0.0569999999999999,0.0815,0.0827499999999999,0.0409999999999999,0.08775,0.31025,0.06,0.088,0.0524999999999999,0.0787499999999999,0.05575,0.06225,0.0787499999999999,0.18125,0.05525,0.1164999999999999,0.084,0.10725,0.05025,0.0815,0.0564999999999999,0.06025,0.0429999999999999,0.10475,0.0655,0.0399999999999999,0.0732499999999999,0.15225,0.0424999999999999,0.0205,0.05425,0.0655,0.04275,0.05475,0.0399999999999999,0.0247499999999999,0.0464999999999999,0.0504999999999999,0.031,0.05725,0.0232499999999999
Only You (1994),0.97525,0.97525,0.45925,0.58625,0.2269999999999999,0.4495,0.45375,0.50725,0.7065,0.31425,0.406,0.7065,0.39375,0.6565,0.5225,0.272,0.212,0.253,0.2957499999999999,0.737,0.2614999999999999,0.272,0.375,0.2135,0.37975,0.377,0.23925,0.3465,0.34325,0.26,0.1579999999999999,0.277,0.32825,0.258,0.1287499999999999,0.212,0.1159999999999999,0.21475,0.08825,0.2194999999999999,0.1902499999999999,0.092,0.10575,0.1925,0.1555,0.0647499999999999,0.257,0.126,0.1154999999999999,0.12225,0.18625,0.0737499999999999,0.1902499999999999,0.05625,0.194,0.187,0.2244999999999999,0.57825,0.11525,0.09475,0.10175,0.1725,0.1317499999999999,0.1887499999999999,0.16075,0.0574999999999999,0.129,0.0655,0.1312499999999999,0.11825,0.1912499999999999,0.156,0.129,0.0569999999999999,0.12175,0.05725,0.11275,0.12025,0.0735,0.0509999999999999,0.072,0.2259999999999999,0.05625,0.1255,0.1084999999999999,0.14425,0.10325,0.03525,0.14375,0.083,0.0652499999999999,0.20425,0.193,0.04275,0.1054999999999999,0.05125,0.0817499999999999,0.17625,0.059,0.22975,0.0285,0.11725,0.0504999999999999,0.0685,0.04925,0.14625,0.063,0.05425,0.04475,0.10775,0.087,0.03025,0.0667499999999999,0.08675,0.0732499999999999,0.0745,0.03725,0.0765,0.03975,0.0354999999999999,0.04525,0.16725,0.05625,0.958,0.03425,0.05525,0.06175,0.0895,0.0384999999999999,0.0652499999999999,0.03425,0.0524999999999999,0.0534999999999999,0.05175,0.04775,0.0384999999999999,0.073,0.029,0.0414999999999999,0.03025,0.03575,0.03975,0.0364999999999999,0.0257499999999999,0.088,0.019,0.03325,0.1915,0.0215
"Baby-Sitters Club, The (1995)",0.88975,0.8202499999999999,0.5385,0.66,0.3225,0.44625,0.44175,0.71775,0.72,0.52675,0.252,0.5085,0.308,0.39,0.3225,0.50225,0.3572499999999999,0.33475,0.26175,0.3179999999999999,0.1987499999999999,0.32125,0.3135,0.6145,0.189,0.26175,0.945,0.3175,0.121,0.3764999999999999,0.17375,0.2684999999999999,0.3265,0.1805,0.1775,0.1945,0.18175,0.0989999999999999,0.14375,0.1765,0.11975,0.18425,0.136,0.1699999999999999,0.31825,0.16525,0.25225,0.2249999999999999,0.14225,0.216,0.16175,0.0569999999999999,0.20675,0.075,0.1505,0.1285,0.1312499999999999,0.0642499999999999,0.17825,0.1024999999999999,0.10725,0.237,0.1069999999999999,0.05975,0.187,0.15175,0.0817499999999999,0.97375,0.16775,0.1915,0.09125,0.10525,0.143,0.0785,0.11825,0.16925,0.1235,0.0757499999999999,0.0835,0.0757499999999999,0.18275,0.069,0.1619999999999999,0.142,0.23175,0.09025,0.1455,0.03125,0.11775,0.10575,0.08725,0.14125,0.0642499999999999,0.05425,0.12075,0.0509999999999999,0.1345,0.0702499999999999,0.0484999999999999,0.0454999999999999,0.0657499999999999,0.10475,0.0245,0.0807499999999999,0.2534999999999999,0.0339999999999999,0.059,0.0822499999999999,0.0514999999999999,0.0484999999999999,0.0782499999999999,0.0489999999999999,0.1885,0.06,0.0554999999999999,0.09125,0.07,0.04225,0.0647499999999999,0.0287499999999999,0.03925,0.028,0.03475,0.0329999999999999,0.063,0.05975,0.05925,0.12025,0.1365,0.2329999999999999,0.0539999999999999,0.0544999999999999,0.073,0.04625,0.04875,0.063,0.05425,0.025,0.0267499999999999,0.0657499999999999,0.019,0.0574999999999999,0.03625,0.0172499999999999,0.05725,0.0245,0.0215,0.05425,0.0235
