movieId,original,weird,melancholic,greed,quirky,culture clash,drama,good,independent film,runaway,very funny,light,vengeance,dialogue,absurd,unlikely friendships,mentor,drinking,betrayal,life & death,farce,pornography,life philosophy,catastrophe,adaptation,creativity,writers,fun movie,predictable,dysfunctional family,chase,good music,surveillance,awesome soundtrack,fantasy world,childhood,british,death,sexy,underrated,transformation,multiple storylines,fight scenes,workplace,stereotypes,small town,ensemble cast,queer,classic car,road movie,new jersey,nudity (full frontal - brief),dreams,not funny,family,addiction,first contact,women,hotel,nudity (topless - brief),period piece,islam,prejudice,alter ego,directorial debut,weapons,film noir,california,teen movie,irish accent,stoner movie,sacrifice,survival,foul language,hospital,new york city,divorce,computer animation,pulp,censorship,simple,doctors,unlikeable characters,brothers,tokyo,memory,wartime,wilderness,alternate history,wine,atheism,1930s,mad scientist,camp,prison,adoption,internet,80s,blindness,texas,best of 2005,rebellion,buddy movie,cancer,too long,bollywood,potential oscar nom,radio,homeless,los angeles,stand-up comedy,nudity (rear),hip hop,robert downey jr,desert,indians,no plot,god,kidnapping,finnish,island,ghosts/afterlife,french,goth,shopping,australia,hunting,reality tv,immortality,interracial romance,notable nudity,oil,father daughter relationship,documentary,time,race,kick-butt women,russian,fashion,prostitution,trilogy,san francisco,made for tv,snakes,graphic novel,lawyer,too short,single father,remake
Get Shorty (1995),0.95825,0.87625,0.65175,0.79375,0.7275,0.7769999999999999,0.69225,0.87625,0.50125,0.7769999999999999,0.59175,0.7769999999999999,0.605,0.7769999999999999,0.727,0.33675,0.46275,0.3754999999999999,0.95825,0.3239999999999999,0.49275,0.2907499999999999,0.27975,0.43975,0.67825,0.3007499999999999,0.384,0.6625,0.245,0.21125,0.4925,0.2997499999999999,0.95825,0.2997499999999999,0.24525,0.15075,0.21475,0.1945,0.51125,0.3015,0.27025,0.30525,0.8187500000000001,0.061,0.3265,0.2534999999999999,0.702,0.2937499999999999,0.2125,0.0795,0.21275,0.18175,0.10525,0.20875,0.1327499999999999,0.3934999999999999,0.2224999999999999,0.1004999999999999,0.1982499999999999,0.1594999999999999,0.1277499999999999,0.17825,0.1992499999999999,0.20575,0.1495,0.24025,0.1455,0.2997499999999999,0.15975,0.346,0.11175,0.17825,0.072,0.2314999999999999,0.08975,0.066,0.0514999999999999,0.1972499999999999,0.481,0.33025,0.0615,0.092,0.11825,0.1745,0.07,0.0682499999999999,0.0702499999999999,0.0772499999999999,0.11125,0.0544999999999999,0.085,0.1684999999999999,0.09725,0.0762499999999999,0.093,0.0707499999999999,0.11125,0.06025,0.0655,0.15525,0.0964999999999999,0.03975,0.2967499999999999,0.0632499999999999,0.0735,0.0705,0.0762499999999999,0.0647499999999999,0.05375,0.68875,0.0662499999999999,0.0632499999999999,0.0705,0.1345,0.0772499999999999,0.2339999999999999,0.1619999999999999,0.0444999999999999,0.0817499999999999,0.0662499999999999,0.09075,0.0319999999999999,0.03025,0.0697499999999999,0.0215,0.05825,0.05875,0.05725,0.0647499999999999,0.10475,0.074,0.05975,0.05225,0.0464999999999999,0.04525,0.0817499999999999,0.1402499999999999,0.05675,0.0667499999999999,0.0429999999999999,0.03325,0.03125,0.079,0.0885,0.03025,0.077,0.0737499999999999,0.03275,0.023
Kicking and Screaming (1995),0.8887499999999999,0.78725,0.8887499999999999,0.8887499999999999,0.57475,0.6325,0.426,0.78725,0.7345,0.6325,0.66125,0.78725,0.3964999999999999,0.8545,0.55275,0.61525,0.47875,0.756,0.46525,0.357,0.181,0.18025,0.6255,0.414,0.26525,0.4,0.561,0.213,0.3017499999999999,0.256,0.2209999999999999,0.22575,0.1669999999999999,0.33875,0.26875,0.625,0.12425,0.145,0.1425,0.3325,0.24525,0.3924999999999999,0.22025,0.1865,0.278,0.1725,0.33875,0.17875,0.14075,0.27475,0.2299999999999999,0.15025,0.1034999999999999,0.248,0.10675,0.1775,0.18275,0.2022499999999999,0.14125,0.064,0.0777499999999999,0.067,0.1495,0.15125,0.3087499999999999,0.2314999999999999,0.16275,0.12175,0.2865,0.16075,0.3405,0.09675,0.1245,0.091,0.0949999999999999,0.2194999999999999,0.1639999999999999,0.16625,0.1372499999999999,0.0625,0.0682499999999999,0.06075,0.1972499999999999,0.0775,0.09825,0.1159999999999999,0.0742499999999999,0.16525,0.085,0.0842499999999999,0.0817499999999999,0.08625,0.0745,0.09175,0.072,0.0534999999999999,0.0905,0.0692499999999999,0.05125,0.1282499999999999,0.03875,0.0935,0.0484999999999999,0.1275,0.09975,0.11775,0.0615,0.074,0.0647499999999999,0.03675,0.0964999999999999,0.0384999999999999,0.084,0.17675,0.0359999999999999,0.08825,0.10425,0.0579999999999999,0.0295,0.0484999999999999,0.118,0.0469999999999999,0.03625,0.026,0.0715,0.0697499999999999,0.1169999999999999,0.072,0.04275,0.0489999999999999,0.0802499999999999,0.03875,0.04425,0.04575,0.0319999999999999,0.04575,0.078,0.05025,0.0645,0.0287499999999999,0.09475,0.03125,0.0499999999999999,0.03,0.03975,0.0257499999999999,0.025,0.0235,0.016
Bottle Rocket (1996),0.88825,0.90825,0.8852500000000001,0.90825,0.95725,0.8707499999999999,0.60425,0.8282499999999999,0.96475,0.8707499999999999,0.95675,0.80775,0.68625,0.67175,0.58525,0.8965000000000001,0.67725,0.60425,0.90825,0.4067499999999999,0.56025,0.2927499999999999,0.39775,0.42125,0.3105,0.4885,0.57675,0.44975,0.3279999999999999,0.396,0.29625,0.8282499999999999,0.6225,0.8282499999999999,0.20825,0.21025,0.274,0.1897499999999999,0.16725,0.40325,0.22625,0.239,0.37075,0.2,0.143,0.31675,0.2264999999999999,0.22575,0.2965,0.54275,0.3712499999999999,0.2365,0.3025,0.26425,0.1495,0.23025,0.179,0.09275,0.5105,0.32225,0.1367499999999999,0.09,0.1252499999999999,0.1362499999999999,0.68625,0.1164999999999999,0.18275,0.16975,0.14675,0.23025,0.2847499999999999,0.09,0.1345,0.18625,0.149,0.10225,0.0812499999999999,0.11325,0.151,0.0499999999999999,0.22325,0.0735,0.3305,0.7529999999999999,0.10825,0.0969999999999999,0.0837499999999999,0.15,0.08775,0.21025,0.0737499999999999,0.0752499999999999,0.0685,0.185,0.1119999999999999,0.10425,0.0702499999999999,0.04975,0.0925,0.537,0.12475,0.0762499999999999,0.2264999999999999,0.0657499999999999,0.079,0.077,0.10825,0.0682499999999999,0.04375,0.063,0.0825,0.05175,0.1235,0.0984999999999999,0.05025,0.062,0.09125,0.0354999999999999,0.1897499999999999,0.082,0.05225,0.0717499999999999,0.05025,0.05675,0.059,0.1475,0.0964999999999999,0.0374999999999999,0.04225,0.0319999999999999,0.0625,0.0712499999999999,0.083,0.0767499999999999,0.0635,0.0615,0.0685,0.074,0.0359999999999999,0.03725,0.08675,0.03775,0.05175,0.031,0.0172499999999999,0.03425,0.0657499999999999,0.018,0.0177499999999999
Living in Oblivion (1995),0.79325,0.6605,0.6605,0.7529999999999999,0.8685,0.7529999999999999,0.7529999999999999,0.7529999999999999,0.991,0.7529999999999999,0.68275,0.53725,0.7529999999999999,0.643,0.5155,0.2375,0.491,0.31625,0.42225,0.192,0.395,0.3914999999999999,0.37375,0.45625,0.35,0.4285,0.25475,0.35175,0.26875,0.33575,0.2794999999999999,0.1965,0.211,0.1965,0.32425,0.14925,0.197,0.15575,0.31325,0.47875,0.32975,0.33875,0.25475,0.069,0.2415,0.18525,0.65175,0.2209999999999999,0.202,0.129,0.24,0.33475,0.8505,0.2584999999999999,0.15825,0.133,0.1905,0.151,0.17625,0.31125,0.14,0.08875,0.33675,0.243,0.4525,0.1875,0.4375,0.1355,0.1555,0.2239999999999999,0.2017499999999999,0.29425,0.1415,0.1225,0.09675,0.0827499999999999,0.05675,0.17225,0.11425,0.1915,0.12075,0.0979999999999999,0.08725,0.1644999999999999,0.11075,0.14125,0.0692499999999999,0.1039999999999999,0.133,0.03225,0.082,0.0939999999999999,0.09125,0.0875,0.0974999999999999,0.084,0.0925,0.0747499999999999,0.1257499999999999,0.09075,0.10475,0.0767499999999999,0.0707499999999999,0.05525,0.09725,0.10475,0.0519999999999999,0.04675,0.03925,0.081,0.0785,0.10125,0.0715,0.17925,0.0444999999999999,0.0757499999999999,0.061,0.09075,0.11275,0.05275,0.08675,0.062,0.05075,0.0559999999999999,0.03025,0.08975,0.028,0.10325,0.0549999999999999,0.0817499999999999,0.1124999999999999,0.03875,0.10225,0.077,0.0399999999999999,0.0875,0.0875,0.05275,0.05475,0.0394999999999999,0.05125,0.0454999999999999,0.1019999999999999,0.05675,0.0504999999999999,0.0379999999999999,0.0449999999999999,0.03075,0.0207499999999999
Smoke (1995),0.90925,0.756,0.705,0.76475,0.59225,0.7495,0.96975,0.756,0.97175,0.76475,0.36775,0.50725,0.76475,0.7715000000000001,0.205,0.8105,0.7745,0.5755,0.56825,0.59075,0.15775,0.37525,0.65475,0.44725,0.32325,0.27275,0.66925,0.2664999999999999,0.33625,0.4235,0.397,0.34875,0.2455,0.34875,0.34975,0.24625,0.277,0.2199999999999999,0.1684999999999999,0.5115,0.4237499999999999,0.7777499999999999,0.39875,0.14775,0.1345,0.25925,0.88625,0.1475,0.20925,0.1119999999999999,0.4237499999999999,0.212,0.54625,0.3542499999999999,0.1265,0.2955,0.1865,0.146,0.16725,0.201,0.139,0.0935,0.276,0.1965,0.16225,0.16875,0.15175,0.192,0.11875,0.32325,0.2624999999999999,0.17275,0.1377499999999999,0.1639999999999999,0.205,0.77875,0.0815,0.1377499999999999,0.1765,0.0464999999999999,0.4295,0.182,0.15425,0.1674999999999999,0.2007499999999999,0.2355,0.0895,0.1415,0.10325,0.192,0.0885,0.10925,0.076,0.0645,0.124,0.08975,0.0812499999999999,0.10175,0.1395,0.10075,0.082,0.05775,0.1395,0.12125,0.0732499999999999,0.1387499999999999,0.18025,0.09875,0.2294999999999999,0.0767499999999999,0.093,0.12425,0.135,0.1905,0.063,0.1164999999999999,0.09525,0.0662499999999999,0.0479999999999999,0.09775,0.1185,0.10575,0.0544999999999999,0.0292499999999999,0.144,0.0785,0.03275,0.03225,0.24075,0.0579999999999999,0.1495,0.0529999999999999,0.14375,0.04325,0.1049999999999999,0.15925,0.0544999999999999,0.09675,0.069,0.03925,0.1362499999999999,0.03725,0.05575,0.0429999999999999,0.024,0.05925,0.028,0.0409999999999999,0.0187499999999999
Clerks (1994),0.93425,0.95975,0.90275,0.90275,0.86975,0.88375,0.86425,0.88375,0.9725,0.88375,0.93525,0.89175,0.86425,0.93075,0.7797499999999999,0.65825,0.65625,0.46075,0.6855,0.76075,0.8422499999999999,0.48275,0.6455,0.4575,0.3562499999999999,0.5615,0.3732499999999999,0.518,0.3705,0.21175,0.601,0.608,0.3532499999999999,0.608,0.22375,0.3622499999999999,0.345,0.2754999999999999,0.432,0.4409999999999999,0.369,0.4145,0.65875,0.87975,0.29125,0.299,0.23375,0.33175,0.34775,0.2334999999999999,0.964,0.32575,0.32225,0.247,0.1124999999999999,0.55,0.3355,0.10475,0.1704999999999999,0.303,0.122,0.1069999999999999,0.198,0.3522499999999999,0.65925,0.21175,0.78975,0.25725,0.3169999999999999,0.22725,0.6705,0.208,0.386,0.80575,0.138,0.10375,0.092,0.174,0.22525,0.32725,0.27075,0.11475,0.1664999999999999,0.1347499999999999,0.1525,0.16675,0.069,0.16175,0.132,0.05725,0.17425,0.05975,0.26125,0.199,0.121,0.05225,0.196,0.139,0.16725,0.078,0.11125,0.1287499999999999,0.3492499999999999,0.155,0.0852499999999999,0.09325,0.1004999999999999,0.0954999999999999,0.0989999999999999,0.1312499999999999,0.136,0.0474999999999999,0.1387499999999999,0.1375,0.11125,0.05575,0.14725,0.21725,0.067,0.0817499999999999,0.11025,0.0905,0.04125,0.072,0.281,0.10175,0.05525,0.067,0.10825,0.0384999999999999,0.11175,0.0777499999999999,0.06125,0.0825,0.1795,0.1169999999999999,0.0765,0.081,0.0449999999999999,0.0539999999999999,0.283,0.0752499999999999,0.069,0.10925,0.126,0.03325,0.0424999999999999,0.0227499999999999,0.0155
Ed Wood (1994),0.93275,0.93275,0.92775,0.93275,0.98075,0.93275,0.99575,0.93275,0.60075,0.92775,0.57575,0.8414999999999999,0.7725,0.64075,0.52,0.6195,0.73475,0.53725,0.62075,0.474,0.3482499999999999,0.5295,0.369,0.4449999999999999,0.3085,0.40025,0.408,0.3844999999999999,0.31975,0.2845,0.202,0.33675,0.20475,0.33675,0.205,0.3385,0.1525,0.24975,0.25175,0.45175,0.33675,0.23825,0.22475,0.0787499999999999,0.0935,0.33225,0.297,0.26125,0.1997499999999999,0.17375,0.349,0.26775,0.4932499999999999,0.2764999999999999,0.1019999999999999,0.56025,0.2845,0.1654999999999999,0.20325,0.2674999999999999,0.1947499999999999,0.1845,0.27525,0.38775,0.20725,0.1425,0.8414999999999999,0.4435,0.09675,0.1775,0.1372499999999999,0.1845,0.1367499999999999,0.1945,0.1579999999999999,0.0605,0.0642499999999999,0.1639999999999999,0.21625,0.17075,0.072,0.1185,0.142,0.15225,0.122,0.15775,0.0742499999999999,0.1584999999999999,0.09075,0.0705,0.088,0.172,0.33975,0.1905,0.1014999999999999,0.063,0.0765,0.05525,0.1922499999999999,0.1372499999999999,0.10575,0.09175,0.1897499999999999,0.1285,0.06075,0.0682499999999999,0.0865,0.0762499999999999,0.187,0.4685,0.086,0.0569999999999999,0.0687499999999999,0.26525,0.072,0.06025,0.0262499999999999,0.18075,0.0409999999999999,0.0514999999999999,0.0667499999999999,0.0752499999999999,0.0344999999999999,0.11875,0.0165,0.063,0.0705,0.0939999999999999,0.2095,0.05875,0.0384999999999999,0.0414999999999999,0.09125,0.10625,0.1059999999999999,0.0915,0.05025,0.03775,0.0509999999999999,0.04375,0.0349999999999999,0.0665,0.0999999999999999,0.1357499999999999,0.0499999999999999,0.0287499999999999,0.0202499999999999,0.0177499999999999,0.0215
Swimming with Sharks (1995),0.8839999999999999,0.81725,0.64975,0.8839999999999999,0.8507499999999999,0.8839999999999999,0.8839999999999999,0.875,0.8805000000000001,0.8839999999999999,0.503,0.45925,0.8839999999999999,0.734,0.54025,0.41325,0.71275,0.648,0.72975,0.25025,0.2674999999999999,0.7529999999999999,0.32175,0.4449999999999999,0.32925,0.2684999999999999,0.4065,0.4014999999999999,0.278,0.248,0.3764999999999999,0.1775,0.514,0.1775,0.4034999999999999,0.1317499999999999,0.24575,0.217,0.3844999999999999,0.561,0.33575,0.32825,0.30225,0.71525,0.184,0.197,0.1485,0.263,0.3525,0.17775,0.296,0.24325,0.24675,0.32125,0.1327499999999999,0.304,0.23025,0.15,0.1704999999999999,0.2085,0.12125,0.17925,0.2365,0.32825,0.3335,0.22225,0.1735,0.351,0.1639999999999999,0.38075,0.20775,0.3592499999999999,0.10325,0.611,0.2524999999999999,0.1265,0.0765,0.187,0.246,0.14675,0.1312499999999999,0.20425,0.20375,0.10025,0.0579999999999999,0.11675,0.1039999999999999,0.10225,0.12125,0.1825,0.1377499999999999,0.09875,0.0762499999999999,0.0979999999999999,0.14375,0.0637499999999999,0.09125,0.12075,0.1405,0.091,0.245,0.1307499999999999,0.92825,0.1347499999999999,0.147,0.10325,0.08925,0.11175,0.1019999999999999,0.268,0.1034999999999999,0.1074999999999999,0.119,0.286,0.0459999999999999,0.08725,0.0677499999999999,0.1049999999999999,0.3319999999999999,0.05975,0.0464999999999999,0.1765,0.0434999999999999,0.0605,0.05275,0.0605,0.1094999999999999,0.1262499999999999,0.05975,0.0707499999999999,0.0742499999999999,0.0424999999999999,0.088,0.05525,0.0295,0.12075,0.082,0.0672499999999999,0.04525,0.065,0.0519999999999999,0.14325,0.0847499999999999,0.0615,0.0732499999999999,0.13,0.02975,0.04025,0.0277499999999999
Barcelona (1994),0.8500000000000001,0.8745,0.8745,0.8745,0.561,0.8745,0.798,0.772,0.8405,0.51475,0.6265,0.772,0.5885,0.8985000000000001,0.4805,0.3219999999999999,0.3914999999999999,0.39125,0.307,0.27975,0.4805,0.34125,0.35775,0.4445,0.29225,0.2604999999999999,0.41025,0.3209999999999999,0.60975,0.23675,0.46225,0.1579999999999999,0.18225,0.1985,0.2935,0.14675,0.2189999999999999,0.195,0.2947499999999999,0.32225,0.248,0.3435,0.261,0.2965,0.58125,0.1679999999999999,0.26325,0.1654999999999999,0.1387499999999999,0.118,0.2017499999999999,0.1917499999999999,0.0842499999999999,0.31925,0.1315,0.11125,0.2219999999999999,0.536,0.1084999999999999,0.12475,0.11925,0.4832499999999999,0.31625,0.11625,0.137,0.311,0.1009999999999999,0.2314999999999999,0.1312499999999999,0.133,0.10725,0.1755,0.1569999999999999,0.11575,0.1985,0.1275,0.172,0.1614999999999999,0.15375,0.0524999999999999,0.09375,0.0939999999999999,0.2224999999999999,0.0615,0.21375,0.12225,0.1755,0.083,0.1255,0.22875,0.08925,0.0584999999999999,0.11075,0.1282499999999999,0.0722499999999999,0.0652499999999999,0.12225,0.1185,0.0692499999999999,0.0807499999999999,0.0715,0.0797499999999999,0.1287499999999999,0.0409999999999999,0.0855,0.09575,0.0657499999999999,0.04225,0.0319999999999999,0.0642499999999999,0.0772499999999999,0.0715,0.0494999999999999,0.05575,0.0675,0.064,0.0915,0.08925,0.05675,0.0554999999999999,0.1535,0.028,0.072,0.03225,0.04125,0.10475,0.0344999999999999,0.04575,0.05075,0.10625,0.0989999999999999,0.11375,0.0635,0.0615,0.03675,0.0732499999999999,0.05375,0.05975,0.0672499999999999,0.0549999999999999,0.17375,0.03175,0.05575,0.0314999999999999,0.03775,0.02975,0.03375,0.0252499999999999,0.0172499999999999
"Hudsucker Proxy, The (1994)",0.8865000000000001,0.8745,0.8205,0.8447499999999999,0.8322499999999999,0.8205,0.654,0.788,0.577,0.8205,0.77675,0.7715000000000001,0.55225,0.8287500000000001,0.80525,0.23275,0.4995,0.4297499999999999,0.677,0.69075,0.77,0.4659999999999999,0.4105,0.4389999999999999,0.39325,0.522,0.3219999999999999,0.5725,0.3045,0.22625,0.4895,0.241,0.24975,0.20325,0.7682500000000001,0.27225,0.217,0.17025,0.2244999999999999,0.63175,0.44475,0.27925,0.24475,0.2865,0.16575,0.4077499999999999,0.16175,0.1569999999999999,0.239,0.11225,0.1882499999999999,0.183,0.2967499999999999,0.22825,0.11525,0.079,0.44725,0.1169999999999999,0.2339999999999999,0.25375,0.1965,0.34125,0.1277499999999999,0.25275,0.1325,0.1942499999999999,0.23925,0.1402499999999999,0.10025,0.272,0.11825,0.129,0.44725,0.12,0.12425,0.762,0.067,0.16675,0.57275,0.1049999999999999,0.2115,0.1927499999999999,0.2199999999999999,0.22925,0.0969999999999999,0.16725,0.0792499999999999,0.12275,0.18675,0.072,0.16625,0.60275,0.1875,0.09375,0.0855,0.11175,0.1669999999999999,0.09075,0.11725,0.059,0.0905,0.0647499999999999,0.05425,0.05875,0.0752499999999999,0.0857499999999999,0.148,0.0735,0.0695,0.05425,0.071,0.1252499999999999,0.05875,0.10125,0.063,0.08825,0.10425,0.1014999999999999,0.061,0.04775,0.0979999999999999,0.14075,0.05525,0.1129999999999999,0.03475,0.065,0.0344999999999999,0.05275,0.1395,0.0504999999999999,0.0647499999999999,0.09525,0.0722499999999999,0.05025,0.174,0.11025,0.067,0.05775,0.278,0.0394999999999999,0.05875,0.0554999999999999,0.0444999999999999,0.1392499999999999,0.065,0.0635,0.03175,0.022,0.0262499999999999
