movieId,betrayal,chase,fight scenes,vengeance,weapons,culture clash,good,original,fun movie,weird,greed,dialogue,drama,runaway,surveillance,melancholic,mentor,catastrophe,predictable,independent film,light,pornography,drinking,adaptation,first contact,life philosophy,very funny,death,classic car,sexy,fantasy world,survival,not funny,kidnapping,creativity,underrated,pulp,sacrifice,unlikely friendships,alter ego,life & death,transformation,nudity (full frontal - brief),quirky,absurd,family,childhood,stereotypes,british,period piece,irish accent,islam,dysfunctional family,teen movie,nudity (topless - brief),hospital,prejudice,multiple storylines,california,computer animation,hotel,foul language,good music,awesome soundtrack,memory,film noir,writers,simple,women,doctors,prison,blindness,kick-butt women,queer,buddy movie,80s,notable nudity,internet,addiction,tokyo,farce,road movie,brothers,hunting,no plot,new jersey,bollywood,alternate history,los angeles,small town,nudity (rear),directorial debut,mad scientist,wilderness,graphic novel,wartime,russian,camp,san francisco,island,too long,new york city,hip hop,divorce,ensemble cast,desert,trilogy,censorship,lawyer,french,immortality,indians,remake,snakes,best of 2005,potential oscar nom,dreams,1930s,race,unlikeable characters,stoner movie,prostitution,texas,workplace,oil,interracial romance,rebellion,stand-up comedy,atheism,shopping,ghosts/afterlife,father daughter relationship,cancer,adoption,robert downey jr,australia,time,goth,fashion,finnish,homeless,made for tv,wine,too short,god,radio,reality tv,single father,documentary
Desperado (1995),0.964,0.9785,0.9785,0.964,0.9785,0.64875,0.7865,0.8185,0.9425,0.721,0.555,0.8987499999999999,0.64875,0.69675,0.60325,0.9625,0.57775,0.43125,0.62625,0.303,0.44925,0.5835,0.28325,0.3429999999999999,0.2027499999999999,0.4075,0.44925,0.414,0.4267499999999999,0.7235,0.237,0.1745,0.31925,0.10225,0.387,0.277,0.6235,0.1689999999999999,0.20425,0.4635,0.281,0.3179999999999999,0.39925,0.35775,0.4365,0.1365,0.1725,0.25775,0.1287499999999999,0.09925,0.213,0.0925,0.1435,0.1599999999999999,0.565,0.1755,0.125,0.2897499999999999,0.1495,0.14875,0.207,0.2274999999999999,0.3067499999999999,0.303,0.091,0.10775,0.1664999999999999,0.1435,0.16675,0.0827499999999999,0.1034999999999999,0.1765,0.3205,0.17725,0.4555,0.1322499999999999,0.194,0.1059999999999999,0.4599999999999999,0.184,0.3015,0.11425,0.19,0.152,0.12225,0.10775,0.0852499999999999,0.1099999999999999,0.0925,0.2035,0.17625,0.11825,0.123,0.0855,0.2704999999999999,0.069,0.0605,0.15,0.0635,0.08725,0.0949999999999999,0.0782499999999999,0.1624999999999999,0.1104999999999999,0.0662499999999999,0.187,0.2264999999999999,0.195,0.05275,0.04975,0.1024999999999999,0.06025,0.1352499999999999,0.1882499999999999,0.1099999999999999,0.12375,0.1099999999999999,0.0564999999999999,0.0725,0.0835,0.11125,0.0519999999999999,0.11075,0.081,0.05375,0.1084999999999999,0.04375,0.09825,0.0737499999999999,0.0845,0.17525,0.059,0.0665,0.0672499999999999,0.0712499999999999,0.062,0.0635,0.11775,0.12125,0.0479999999999999,0.0519999999999999,0.0625,0.03425,0.05425,0.05225,0.03875,0.0479999999999999,0.0217499999999999,0.0324999999999999
Speed (1994),0.96025,0.9915,0.9915,0.8082499999999999,0.98775,0.96025,0.936,0.72025,0.9915,0.96025,0.40575,0.8895,0.8895,0.77275,0.7769999999999999,0.3169999999999999,0.782,0.87575,0.8895,0.5425,0.405,0.18175,0.5425,0.311,0.7537499999999999,0.43,0.352,0.3542499999999999,0.32525,0.3365,0.24225,0.5115,0.34775,0.22475,0.4075,0.1922499999999999,0.207,0.53625,0.21425,0.386,0.2495,0.3874999999999999,0.17275,0.1932499999999999,0.2289999999999999,0.543,0.262,0.359,0.1149999999999999,0.1725,0.1347499999999999,0.11275,0.175,0.68975,0.12275,0.26025,0.3097499999999999,0.1679999999999999,0.22875,0.23925,0.21,0.5115,0.1905,0.21425,0.09875,0.0825,0.11925,0.43425,0.2199999999999999,0.307,0.1292499999999999,0.16775,0.14825,0.139,0.3015,0.3025,0.11875,0.28825,0.0647499999999999,0.10875,0.0999999999999999,0.262,0.088,0.0855,0.17325,0.1235,0.09175,0.1972499999999999,0.4365,0.1124999999999999,0.0855,0.2309999999999999,0.281,0.0837499999999999,0.026,0.0812499999999999,0.0637499999999999,0.1465,0.206,0.21825,0.1215,0.1337499999999999,0.0775,0.3325,0.05375,0.1315,0.1262499999999999,0.118,0.05175,0.0504999999999999,0.10625,0.12,0.0677499999999999,0.14,0.04875,0.076,0.0637499999999999,0.0707499999999999,0.14425,0.073,0.0817499999999999,0.076,0.05825,0.1064999999999999,0.11425,0.195,0.0399999999999999,0.081,0.0642499999999999,0.23275,0.27825,0.05675,0.08825,0.0727499999999999,0.04075,0.05025,0.14125,0.0489999999999999,0.11275,0.0245,0.0662499999999999,0.0459999999999999,0.0559999999999999,0.126,0.03975,0.09975,0.0569999999999999,0.1555,0.0242499999999999
"Fugitive, The (1993)",0.96575,0.9875,0.9735,0.9265,0.9735,0.96575,0.991,0.8305,0.9285,0.96575,0.75125,0.788,0.991,0.8732500000000001,0.96125,0.486,0.8345,0.6985,0.788,0.53425,0.60225,0.18425,0.53425,0.52275,0.4755,0.33775,0.37475,0.54975,0.395,0.23275,0.3492499999999999,0.584,0.37725,0.193,0.3359999999999999,0.3225,0.149,0.42925,0.388,0.29025,0.37375,0.27,0.3814999999999999,0.1957499999999999,0.141,0.6045,0.6045,0.1912499999999999,0.27325,0.264,0.2744999999999999,0.218,0.197,0.405,0.176,0.64575,0.42925,0.09,0.2504999999999999,0.6045,0.2985,0.38775,0.22875,0.22375,0.24975,0.1579999999999999,0.1345,0.3715,0.1325,0.75675,0.84575,0.24125,0.0695,0.1335,0.1895,0.17275,0.0989999999999999,0.14775,0.0905,0.065,0.12275,0.23175,0.1335,0.483,0.1282499999999999,0.11625,0.1185,0.17925,0.10025,0.148,0.10275,0.10975,0.1362499999999999,0.1902499999999999,0.0225,0.15875,0.14075,0.09075,0.2254999999999999,0.1882499999999999,0.2095,0.1114999999999999,0.05275,0.31575,0.0514999999999999,0.1302499999999999,0.1654999999999999,0.181,0.3575,0.0787499999999999,0.0682499999999999,0.10225,0.2304999999999999,0.10325,0.0584999999999999,0.12175,0.1039999999999999,0.11875,0.2065,0.0334999999999999,0.0642499999999999,0.0524999999999999,0.0549999999999999,0.0662499999999999,0.0652499999999999,0.08725,0.0732499999999999,0.0757499999999999,0.0712499999999999,0.10325,0.1997499999999999,0.0489999999999999,0.1277499999999999,0.08975,0.0642499999999999,0.05775,0.24725,0.0242499999999999,0.0792499999999999,0.0324999999999999,0.09675,0.1257499999999999,0.0509999999999999,0.11625,0.029,0.0885,0.0752499999999999,0.09825,0.03025
In the Line of Fire (1993),0.9875,0.92725,0.92725,0.69875,0.92725,0.9875,0.9335,0.69575,0.7829999999999999,0.9875,0.66625,0.717,0.8672500000000001,0.69975,0.9845,0.4725,0.8720000000000001,0.61975,0.717,0.4225,0.4715,0.2485,0.4225,0.3472499999999999,0.32225,0.3285,0.269,0.3455,0.41825,0.3535,0.25925,0.22625,0.359,0.272,0.2355,0.304,0.4205,0.46025,0.26375,0.1955,0.3715,0.2815,0.2965,0.2125,0.193,0.239,0.2309999999999999,0.235,0.184,0.1445,0.3239999999999999,0.4525,0.17725,0.2877499999999999,0.257,0.243,0.42125,0.2135,0.3452499999999999,0.16625,0.4625,0.292,0.1485,0.15225,0.1215,0.1335,0.17575,0.1347499999999999,0.217,0.381,0.14575,0.2284999999999999,0.21825,0.20625,0.1564999999999999,0.24425,0.09775,0.15975,0.0837499999999999,0.079,0.09575,0.172,0.09475,0.18525,0.134,0.1367499999999999,0.0785,0.2264999999999999,0.11925,0.23275,0.15575,0.10425,0.1925,0.1845,0.0215,0.074,0.0835,0.0792499999999999,0.1564999999999999,0.11025,0.129,0.119,0.05075,0.1649999999999999,0.2329999999999999,0.1644999999999999,0.0627499999999999,0.145,0.16825,0.0319999999999999,0.0777499999999999,0.25375,0.06075,0.2027499999999999,0.0324999999999999,0.0954999999999999,0.0564999999999999,0.069,0.1995,0.04025,0.09575,0.04875,0.29625,0.0817499999999999,0.1609999999999999,0.20575,0.04075,0.0787499999999999,0.0755,0.121,0.0795,0.0474999999999999,0.09725,0.0915,0.0242499999999999,0.06075,0.0979999999999999,0.0344999999999999,0.0695,0.0235,0.04025,0.0715,0.0344999999999999,0.059,0.0369999999999999,0.08675,0.05825,0.0944999999999999,0.0334999999999999
Judgment Night (1993),0.7625,0.955,0.8485,0.6735,0.8485,0.71175,0.70375,0.691,0.8414999999999999,0.5225,0.71175,0.6735,0.64725,0.503,0.70375,0.3612499999999999,0.54325,0.4659999999999999,0.627,0.21625,0.236,0.255,0.30825,0.21175,0.2985,0.37875,0.287,0.4135,0.363,0.17675,0.2837499999999999,0.43025,0.32625,0.11475,0.18725,0.46625,0.3189999999999999,0.21625,0.2734999999999999,0.1355,0.31125,0.1932499999999999,0.1957499999999999,0.1957499999999999,0.1382499999999999,0.215,0.16825,0.3165,0.08,0.085,0.30225,0.11625,0.18125,0.3125,0.2887499999999999,0.289,0.21625,0.204,0.3425,0.18525,0.26225,0.123,0.14675,0.733,0.14625,0.2007499999999999,0.177,0.22675,0.2115,0.1317499999999999,0.1485,0.17025,0.1024999999999999,0.1327499999999999,0.284,0.23775,0.273,0.16925,0.09425,0.092,0.1024999999999999,0.5265,0.1397499999999999,0.251,0.0707499999999999,0.203,0.0632499999999999,0.1385,0.304,0.178,0.20725,0.09625,0.05925,0.1902499999999999,0.0237499999999999,0.0667499999999999,0.04825,0.16425,0.25075,0.0792499999999999,0.11225,0.1195,0.4935,0.11525,0.37275,0.22175,0.0554999999999999,0.0845,0.257,0.0334999999999999,0.0827499999999999,0.10725,0.12175,0.0687499999999999,0.04275,0.05975,0.10625,0.0787499999999999,0.1545,0.0615,0.0935,0.0657499999999999,0.1684999999999999,0.0665,0.04475,0.1485,0.04875,0.10175,0.0645,0.39175,0.1937499999999999,0.0354999999999999,0.2155,0.0642499999999999,0.0737499999999999,0.0554999999999999,0.1164999999999999,0.0314999999999999,0.031,0.0165,0.5215,0.0449999999999999,0.0499999999999999,0.0915,0.0509999999999999,0.1094999999999999,0.05325,0.0645,0.026
Ransom (1996),0.979,0.935,0.935,0.897,0.935,0.979,0.92775,0.645,0.912,0.979,0.74625,0.5965,0.8867499999999999,0.6425,0.92775,0.34475,0.69875,0.70925,0.5965,0.31775,0.23075,0.2239999999999999,0.306,0.24975,0.43225,0.30925,0.3115,0.2385,0.24075,0.279,0.241,0.3395,0.377,0.986,0.21075,0.367,0.33575,0.52025,0.1629999999999999,0.273,0.178,0.2294999999999999,0.34875,0.14975,0.1099999999999999,0.522,0.23675,0.18575,0.0875,0.2299999999999999,0.253,0.10975,0.5895,0.44525,0.1332499999999999,0.3545,0.31775,0.11725,0.2764999999999999,0.23675,0.15175,0.1927499999999999,0.1245,0.0647499999999999,0.14825,0.0925,0.1972499999999999,0.14325,0.1545,0.3135,0.16125,0.2012499999999999,0.081,0.1355,0.1905,0.09975,0.11675,0.2734999999999999,0.05625,0.04525,0.08,0.15275,0.1169999999999999,0.16125,0.1619999999999999,0.27475,0.0785,0.1644999999999999,0.0785,0.152,0.1164999999999999,0.0737499999999999,0.0767499999999999,0.12275,0.04375,0.063,0.084,0.1064999999999999,0.17225,0.0915,0.0662499999999999,0.25325,0.0847499999999999,0.3472499999999999,0.16325,0.0984999999999999,0.0524999999999999,0.1059999999999999,0.205,0.03725,0.062,0.1014999999999999,0.12325,0.05525,0.04275,0.05375,0.0569999999999999,0.04025,0.1272499999999999,0.0534999999999999,0.065,0.0632499999999999,0.0782499999999999,0.0687499999999999,0.0737499999999999,0.077,0.03225,0.0752499999999999,0.0529999999999999,0.089,0.0827499999999999,0.0469999999999999,0.0747499999999999,0.1485,0.0559999999999999,0.0559999999999999,0.05325,0.0349999999999999,0.0454999999999999,0.027,0.0647499999999999,0.0782499999999999,0.03025,0.0727499999999999,0.03775,0.074,0.0752499999999999,0.3279999999999999,0.0172499999999999
Diva (1981),0.82925,0.9005000000000001,0.62525,0.44175,0.62525,0.84175,0.80125,0.71975,0.62525,0.85975,0.8734999999999999,0.62525,0.7525,0.7525,0.80125,0.97075,0.6095,0.4489999999999999,0.2754999999999999,0.8734999999999999,0.487,0.30525,0.43625,0.2835,0.23225,0.30725,0.2977499999999999,0.61,0.28125,0.59925,0.28225,0.0655,0.3522499999999999,0.21975,0.49775,0.31275,0.531,0.14725,0.2907499999999999,0.15675,0.26225,0.33675,0.22625,0.4275,0.3275,0.08875,0.39075,0.1129999999999999,0.201,0.302,0.21025,0.22425,0.1385,0.14525,0.217,0.211,0.1912499999999999,0.14675,0.124,0.17575,0.40925,0.0569999999999999,0.50775,0.179,0.2269999999999999,0.4135,0.278,0.14275,0.1922499999999999,0.1235,0.0939999999999999,0.10475,0.199,0.15825,0.08625,0.25775,0.1262499999999999,0.085,0.283,0.2239999999999999,0.14525,0.1397499999999999,0.0999999999999999,0.0832499999999999,0.49275,0.1169999999999999,0.26,0.0637499999999999,0.0524999999999999,0.11125,0.1392499999999999,0.2744999999999999,0.0765,0.1064999999999999,0.02,0.10525,0.0632499999999999,0.0645,0.15675,0.0772499999999999,0.16825,0.065,0.1897499999999999,0.1342499999999999,0.0539999999999999,0.0737499999999999,0.0757499999999999,0.12425,0.0767499999999999,0.599,0.17325,0.082,0.0097499999999999,0.02975,0.0364999999999999,0.1342499999999999,0.1604999999999999,0.14125,0.0812499999999999,0.0324999999999999,0.1054999999999999,0.74225,0.0429999999999999,0.15275,0.12075,0.0847499999999999,0.0439999999999999,0.0667499999999999,0.069,0.1372499999999999,0.0815,0.0667499999999999,0.075,0.0459999999999999,0.03175,0.05725,0.10725,0.025,0.149,0.04625,0.06125,0.0657499999999999,0.1604999999999999,0.03725,0.03925,0.0852499999999999,0.0287499999999999,0.0252499999999999,0.04775
Sneakers (1992),0.8945000000000001,0.8042499999999999,0.575,0.38225,0.72175,0.76675,0.95625,0.80975,0.90825,0.78975,0.76675,0.65375,0.76675,0.76675,0.98225,0.65375,0.7525,0.8785000000000001,0.8785000000000001,0.3994999999999999,0.8334999999999999,0.17475,0.26575,0.27575,0.8785000000000001,0.286,0.74875,0.1267499999999999,0.30425,0.423,0.21475,0.2847499999999999,0.397,0.31975,0.32275,0.50875,0.2385,0.23025,0.46275,0.209,0.22425,0.293,0.15175,0.64575,0.55575,0.1865,0.58775,0.3075,0.2614999999999999,0.191,0.36275,0.562,0.17325,0.5525,0.2857499999999999,0.14625,0.131,0.39575,0.2395,0.3239999999999999,0.21375,0.149,0.3994999999999999,0.3994999999999999,0.23525,0.1144999999999999,0.2995,0.1679999999999999,0.1004999999999999,0.3315,0.26325,0.7245,0.074,0.11875,0.3505,0.182,0.09625,0.7605,0.0494999999999999,0.0725,0.21575,0.1014999999999999,0.064,0.0757499999999999,0.16725,0.2185,0.1069999999999999,0.31425,0.086,0.235,0.1039999999999999,0.1159999999999999,0.1735,0.0807499999999999,0.0195,0.11475,0.404,0.0822499999999999,0.25425,0.1069999999999999,0.05375,0.0999999999999999,0.0667499999999999,0.1129999999999999,0.92575,0.0915,0.10175,0.0792499999999999,0.14225,0.0454999999999999,0.0474999999999999,0.074,0.0404999999999999,0.0652499999999999,0.06175,0.0742499999999999,0.1425,0.0989999999999999,0.1367499999999999,0.0745,0.0755,0.0205,0.0675,0.18125,0.256,0.0715,0.059,0.0685,0.16525,0.11625,0.0747499999999999,0.0637499999999999,0.0554999999999999,0.0685,0.12,0.0354999999999999,0.27325,0.0275,0.11675,0.0252499999999999,0.0414999999999999,0.0852499999999999,0.09375,0.0745,0.0549999999999999,0.21675,0.04675,0.03925,0.04175
Breakdown (1997),0.931,0.91775,0.7987500000000001,0.676,0.74575,0.931,0.90675,0.6555,0.7987500000000001,0.931,0.61675,0.4882499999999999,0.7305,0.62775,0.90675,0.33325,0.368,0.50775,0.4882499999999999,0.1674999999999999,0.2604999999999999,0.21125,0.15375,0.22975,0.35875,0.2895,0.20375,0.246,0.4782499999999999,0.189,0.2324999999999999,0.405,0.3315,0.92775,0.26125,0.3305,0.25325,0.199,0.1295,0.1405,0.3389999999999999,0.25825,0.2514999999999999,0.1897499999999999,0.1775,0.22425,0.1624999999999999,0.1465,0.06225,0.0732499999999999,0.12475,0.1064999999999999,0.1327499999999999,0.1579999999999999,0.0795,0.2987499999999999,0.1345,0.10375,0.7909999999999999,0.1435,0.23025,0.10825,0.0752499999999999,0.0742499999999999,0.236,0.1917499999999999,0.214,0.309,0.1609999999999999,0.26175,0.132,0.176,0.0652499999999999,0.1287499999999999,0.069,0.148,0.0845,0.1845,0.04625,0.0642499999999999,0.0815,0.8320000000000001,0.05675,0.288,0.127,0.1875,0.0732499999999999,0.1054999999999999,0.1495,0.24375,0.0984999999999999,0.1074999999999999,0.0732499999999999,0.17175,0.0187499999999999,0.0595,0.0519999999999999,0.0817499999999999,0.1282499999999999,0.137,0.14675,0.08825,0.0464999999999999,0.25475,0.0384999999999999,0.91325,0.0499999999999999,0.0735,0.1589999999999999,0.0499999999999999,0.0394999999999999,0.09,0.0549999999999999,0.15025,0.02975,0.0645,0.0605,0.0434999999999999,0.077,0.06,0.0632499999999999,0.0444999999999999,0.1584999999999999,0.1024999999999999,0.1094999999999999,0.0812499999999999,0.0272499999999999,0.079,0.0499999999999999,0.119,0.04475,0.0409999999999999,0.0364999999999999,0.092,0.0494999999999999,0.0707499999999999,0.0775,0.0197499999999999,0.0559999999999999,0.0272499999999999,0.04675,0.05975,0.08675,0.0479999999999999,0.029,0.0782499999999999,0.0329999999999999,0.03875,0.028
Face/Off (1997),0.7945,0.99075,0.99075,0.817,0.9905,0.7945,0.796,0.7729999999999999,0.99075,0.712,0.47375,0.6795,0.7945,0.51875,0.58025,0.52,0.61,0.742,0.742,0.44225,0.48575,0.31125,0.44225,0.3215,0.6255,0.3279999999999999,0.3525,0.38,0.3515,0.32525,0.37775,0.52775,0.3475,0.1694999999999999,0.35,0.29925,0.241,0.4722499999999999,0.193,0.28125,0.27075,0.40175,0.26575,0.2022499999999999,0.2945,0.4669999999999999,0.208,0.3359999999999999,0.0865,0.12175,0.23075,0.1144999999999999,0.2764999999999999,0.25475,0.15875,0.45025,0.1322499999999999,0.196,0.2815,0.2145,0.1175,0.4489999999999999,0.14275,0.15225,0.119,0.10925,0.1495,0.20575,0.1882499999999999,0.3249999999999999,0.8394999999999999,0.15075,0.21,0.1669999999999999,0.25525,0.1785,0.184,0.215,0.0615,0.09375,0.21175,0.11375,0.23125,0.25375,0.16725,0.11525,0.0847499999999999,0.1564999999999999,0.8045,0.1275,0.1124999999999999,0.1114999999999999,0.2025,0.0837499999999999,0.10025,0.06225,0.0494999999999999,0.148,0.14325,0.17025,0.14975,0.09875,0.10825,0.146,0.0762499999999999,0.1972499999999999,0.1287499999999999,0.16525,0.0802499999999999,0.03375,0.09,0.2209999999999999,0.09325,0.1327499999999999,0.0459999999999999,0.0685,0.09025,0.0615,0.18275,0.0815,0.075,0.066,0.0979999999999999,0.12275,0.05825,0.151,0.05225,0.11175,0.0685,0.1154999999999999,0.0905,0.0605,0.12175,0.12275,0.0534999999999999,0.0539999999999999,0.08,0.05275,0.0514999999999999,0.04325,0.05925,0.0504999999999999,0.0389999999999999,0.09375,0.05625,0.04025,0.0675,0.11475,0.0255
