movieId,good,teen movie,very funny,original,predictable,family,catastrophe,melancholic,mentor,women,chase,fun movie,divorce,light,computer animation,stereotypes,dialogue,runaway,culture clash,vengeance,first contact,life philosophy,fantasy world,drama,weird,greed,sexy,adaptation,unlikely friendships,betrayal,transformation,fight scenes,shopping,dysfunctional family,farce,not funny,quirky,writers,pornography,creativity,new york city,drinking,single father,surveillance,internet,hotel,fashion,interracial romance,childhood,life & death,hospital,new jersey,absurd,sacrifice,nudity (full frontal - brief),queer,independent film,weapons,death,doctors,simple,prejudice,multiple storylines,underrated,nudity (rear),california,irish accent,alter ego,pulp,notable nudity,classic car,adoption,san francisco,period piece,remake,british,foul language,too long,small town,wine,islam,workplace,alternate history,island,unlikeable characters,memory,bollywood,lawyer,mad scientist,road movie,dreams,hip hop,camp,no plot,indians,blindness,ghosts/afterlife,survival,awesome soundtrack,father daughter relationship,80s,good music,stand-up comedy,ensemble cast,film noir,wartime,immortality,los angeles,too short,cancer,brothers,race,kick-butt women,atheism,radio,time,prison,stoner movie,addiction,reality tv,buddy movie,1930s,robert downey jr,god,tokyo,nudity (topless - brief),kidnapping,russian,homeless,french,wilderness,censorship,directorial debut,prostitution,australia,made for tv,texas,trilogy,oil,potential oscar nom,goth,finnish,best of 2005,snakes,hunting,desert,rebellion,graphic novel,documentary
Waiting to Exhale (1995),0.59,0.79,0.265,0.64075,0.543,0.4235,0.4475,0.70575,0.49475,0.97525,0.51625,0.21975,0.82375,0.279,0.191,0.5685,0.3445,0.289,0.282,0.434,0.32525,0.31,0.2744999999999999,0.5545,0.255,0.32725,0.27675,0.536,0.6245,0.45225,0.2425,0.30825,0.24975,0.206,0.09975,0.296,0.1922499999999999,0.182,0.23775,0.1709999999999999,0.079,0.57,0.09275,0.093,0.16325,0.09925,0.09075,0.41825,0.195,0.1689999999999999,0.22175,0.0842499999999999,0.1337499999999999,0.21,0.2704999999999999,0.47475,0.152,0.2895,0.2624999999999999,0.11525,0.08975,0.147,0.22225,0.11075,0.198,0.10175,0.1159999999999999,0.173,0.1892499999999999,0.145,0.23375,0.1252499999999999,0.085,0.1252499999999999,0.0675,0.09,0.05075,0.1285,0.10425,0.2239999999999999,0.119,0.3864999999999999,0.139,0.11975,0.0454999999999999,0.08725,0.0905,0.04125,0.1019999999999999,0.1639999999999999,0.0805,0.14,0.1185,0.0727499999999999,0.137,0.10475,0.085,0.11475,0.08775,0.0399999999999999,0.0777499999999999,0.077,0.0999999999999999,0.0745,0.1014999999999999,0.0665,0.0662499999999999,0.04675,0.1039999999999999,0.437,0.1044999999999999,0.0857499999999999,0.07,0.0615,0.0845,0.0454999999999999,0.0657499999999999,0.0665,0.10025,0.0454999999999999,0.026,0.065,0.03775,0.03575,0.062,0.10975,0.04375,0.04775,0.0667499999999999,0.03325,0.0645,0.0439999999999999,0.05825,0.0752499999999999,0.0292499999999999,0.04925,0.0652499999999999,0.03725,0.03625,0.05625,0.05225,0.03925,0.021,0.0677499999999999,0.08825,0.04925,0.0252499999999999,0.0192499999999999,0.03725
Father of the Bride Part II (1995),0.7529999999999999,0.62825,0.83925,0.71925,0.61125,0.8687499999999999,0.54475,0.3794999999999999,0.53675,0.40225,0.5815,0.58075,0.44025,0.3475,0.60375,0.34075,0.259,0.405,0.43025,0.4014999999999999,0.4157499999999999,0.3355,0.33725,0.63425,0.34875,0.25775,0.1272499999999999,0.28925,0.63425,0.269,0.3675,0.29,0.1805,0.7589999999999999,0.291,0.244,0.243,0.1922499999999999,0.1942499999999999,0.31675,0.0652499999999999,0.10475,0.5465,0.14525,0.21325,0.1039999999999999,0.0652499999999999,0.23475,0.20725,0.2504999999999999,0.612,0.14875,0.15475,0.2784999999999999,0.37375,0.15175,0.2504999999999999,0.16825,0.16925,0.3077499999999999,0.1965,0.1327499999999999,0.15375,0.1039999999999999,0.1114999999999999,0.3215,0.1064999999999999,0.17825,0.151,0.1059999999999999,0.133,0.2175,0.121,0.11375,0.61225,0.0667499999999999,0.0539999999999999,0.05075,0.0984999999999999,0.0785,0.0935,0.1119999999999999,0.15625,0.11475,0.0384999999999999,0.10575,0.09425,0.0775,0.1134999999999999,0.15625,0.1362499999999999,0.09325,0.118,0.09225,0.124,0.11575,0.368,0.11125,0.0852499999999999,0.94825,0.0504999999999999,0.09425,0.09425,0.06225,0.0935,0.0707499999999999,0.0865,0.04375,0.58725,0.14375,0.1139999999999999,0.0837499999999999,0.0737499999999999,0.0732499999999999,0.0637499999999999,0.2664999999999999,0.10125,0.061,0.0539999999999999,0.05575,0.04675,0.0539999999999999,0.03525,0.0439999999999999,0.0737499999999999,0.1019999999999999,0.0827499999999999,0.04275,0.0459999999999999,0.0374999999999999,0.09125,0.0627499999999999,0.06,0.04075,0.04475,0.04725,0.05725,0.071,0.05125,0.03325,0.0509999999999999,0.021,0.0225,0.03425,0.05975,0.04825,0.0255,0.0222499999999999,0.02
Sabrina (1995),0.798,0.682,0.39125,0.7927500000000001,0.396,0.54525,0.565,0.68825,0.611,0.3964999999999999,0.479,0.3555,0.30525,0.5095,0.2827499999999999,0.22775,0.501,0.4205,0.42725,0.4257499999999999,0.286,0.31425,0.272,0.83325,0.45675,0.35775,0.31925,0.4325,0.23625,0.48475,0.51175,0.55975,0.2514999999999999,0.14275,0.14975,0.3165,0.1912499999999999,0.14075,0.183,0.2604999999999999,0.133,0.1195,0.2867499999999999,0.55975,0.257,0.1897499999999999,0.44775,0.25275,0.248,0.15925,0.211,0.1225,0.1195,0.2554999999999999,0.34575,0.15275,0.1709999999999999,0.14225,0.1292499999999999,0.29,0.16425,0.3329999999999999,0.1245,0.1362499999999999,0.1175,0.132,0.1262499999999999,0.1385,0.1185,0.1049999999999999,0.1335,0.11175,0.15925,0.3355,0.98125,0.1265,0.1917499999999999,0.182,0.0765,0.23625,0.12425,0.081,0.1897499999999999,0.27725,0.04525,0.12,0.10475,0.087,0.1297499999999999,0.0519999999999999,0.1109999999999999,0.0549999999999999,0.073,0.0605,0.121,0.2085,0.14375,0.1074999999999999,0.0595,0.0847499999999999,0.0509999999999999,0.09075,0.0712499999999999,0.1295,0.0825,0.0584999999999999,0.23375,0.031,0.0969999999999999,0.1109999999999999,0.1975,0.09125,0.0667499999999999,0.1372499999999999,0.04975,0.10575,0.0812499999999999,0.05925,0.05725,0.04175,0.0252499999999999,0.0802499999999999,0.0534999999999999,0.0379999999999999,0.0825,0.0655,0.0444999999999999,0.0539999999999999,0.04025,0.10775,0.15575,0.0785,0.05275,0.0627499999999999,0.0262499999999999,0.0642499999999999,0.0969999999999999,0.0434999999999999,0.06225,0.0305,0.0314999999999999,0.0132499999999999,0.03675,0.0579999999999999,0.03875,0.0989999999999999,0.03025,0.0235,0.0197499999999999
How to Make an American Quilt (1995),0.8580000000000001,0.54,0.21675,0.61125,0.50225,0.33475,0.492,0.89375,0.51675,0.98725,0.4067499999999999,0.14625,0.89175,0.3552499999999999,0.1624999999999999,0.291,0.3117499999999999,0.4095,0.4095,0.4095,0.3027499999999999,0.3399999999999999,0.24775,0.51725,0.4095,0.5205,0.4419999999999999,0.8162499999999999,0.51725,0.4267499999999999,0.30625,0.2155,0.1689999999999999,0.2025,0.1725,0.3295,0.1634999999999999,0.293,0.201,0.2867499999999999,0.08775,0.243,0.10125,0.39625,0.21275,0.205,0.04825,0.31525,0.217,0.24325,0.3195,0.0857499999999999,0.143,0.378,0.21425,0.1885,0.24325,0.1895,0.292,0.272,0.235,0.1952499999999999,0.49975,0.14175,0.2115,0.39275,0.11925,0.128,0.14775,0.2274999999999999,0.20675,0.1245,0.1377499999999999,0.276,0.09625,0.134,0.0394999999999999,0.15375,0.4095,0.3605,0.1322499999999999,0.1019999999999999,0.244,0.18325,0.04825,0.11825,0.05525,0.082,0.0959999999999999,0.1255,0.16025,0.071,0.065,0.1039999999999999,0.10625,0.1584999999999999,0.1352499999999999,0.1009999999999999,0.0672499999999999,0.0667499999999999,0.0419999999999999,0.10675,0.10375,0.53675,0.09525,0.15075,0.078,0.05175,0.11475,0.0989999999999999,0.0685,0.0662499999999999,0.0564999999999999,0.137,0.1262499999999999,0.0959999999999999,0.0695,0.0832499999999999,0.0595,0.0334999999999999,0.0295,0.0857499999999999,0.05375,0.04725,0.085,0.3715,0.04825,0.04475,0.04625,0.04775,0.1124999999999999,0.0665,0.0667499999999999,0.06225,0.04175,0.0429999999999999,0.05575,0.031,0.05425,0.0282499999999999,0.03225,0.0464999999999999,0.028,0.0424999999999999,0.0595,0.09225,0.023,0.0295,0.03325
Bed of Roses (1996),0.989,0.643,0.20725,0.60975,0.46325,0.361,0.506,0.6235,0.50975,0.2002499999999999,0.3722499999999999,0.205,0.2415,0.4655,0.361,0.2955,0.4525,0.2865,0.38225,0.4495,0.41925,0.38225,0.3385,0.52075,0.253,0.2865,0.22825,0.2025,0.52075,0.2937499999999999,0.24475,0.3075,0.2204999999999999,0.11775,0.0755,0.33275,0.2935,0.175,0.1704999999999999,0.16975,0.153,0.123,0.1382499999999999,0.2304999999999999,0.268,0.1795,0.0519999999999999,0.40925,0.197,0.23075,0.2175,0.1129999999999999,0.0949999999999999,0.3585,0.184,0.1195,0.14175,0.2375,0.26725,0.11475,0.10175,0.208,0.18125,0.12475,0.1495,0.0915,0.25225,0.1175,0.1495,0.1044999999999999,0.1445,0.0459999999999999,0.0984999999999999,0.1674999999999999,0.05625,0.069,0.0707499999999999,0.136,0.1004999999999999,0.2309999999999999,0.0964999999999999,0.05775,0.1297499999999999,0.1332499999999999,0.03925,0.124,0.05475,0.0519999999999999,0.0647499999999999,0.0519999999999999,0.08925,0.0625,0.063,0.11875,0.154,0.085,0.20325,0.0775,0.0742499999999999,0.04775,0.0735,0.0984999999999999,0.093,0.0732499999999999,0.08625,0.062,0.0579999999999999,0.0364999999999999,0.12175,0.0792499999999999,0.09575,0.0727499999999999,0.0695,0.068,0.08775,0.084,0.0672499999999999,0.05075,0.118,0.0329999999999999,0.03875,0.0429999999999999,0.0464999999999999,0.0504999999999999,0.0404999999999999,0.1272499999999999,0.0285,0.09725,0.04975,0.0324999999999999,0.06225,0.031,0.0627499999999999,0.0474999999999999,0.03925,0.0479999999999999,0.0632499999999999,0.03625,0.059,0.0237499999999999,0.0615,0.0444999999999999,0.0235,0.0305,0.03525,0.05225,0.029,0.0172499999999999,0.0132499999999999
Nine Months (1995),0.6015,0.651,0.959,0.67125,0.64425,0.6375,0.513,0.4659999999999999,0.4832499999999999,0.3575,0.54775,0.52075,0.69175,0.56525,0.24025,0.47975,0.2985,0.389,0.296,0.372,0.384,0.49575,0.30425,0.36375,0.36375,0.23025,0.1882499999999999,0.3149999999999999,0.32525,0.26775,0.3379999999999999,0.32525,0.44275,0.7542500000000001,0.5155,0.2075,0.173,0.17525,0.2027499999999999,0.351,0.0847499999999999,0.25325,0.31575,0.1515,0.179,0.153,0.0805,0.1335,0.45575,0.347,0.666,0.15325,0.35275,0.27475,0.2405,0.1405,0.347,0.16925,0.2465,0.45825,0.42525,0.1079999999999999,0.182,0.1272499999999999,0.1385,0.14525,0.081,0.2065,0.181,0.084,0.15075,0.5735,0.528,0.148,0.21275,0.1362499999999999,0.077,0.0954999999999999,0.09125,0.14325,0.1089999999999999,0.15125,0.1892499999999999,0.22525,0.06225,0.11175,0.0915,0.0735,0.2025,0.1435,0.14375,0.09775,0.1104999999999999,0.1059999999999999,0.09925,0.12225,0.2584999999999999,0.1815,0.08975,0.0652499999999999,0.078,0.0752499999999999,0.10775,0.04425,0.09925,0.0675,0.08725,0.0584999999999999,0.0672499999999999,0.121,0.088,0.068,0.0727499999999999,0.0722499999999999,0.1992499999999999,0.09025,0.1004999999999999,0.09425,0.0534999999999999,0.1882499999999999,0.1305,0.067,0.04075,0.05925,0.0765,0.09275,0.0822499999999999,0.17425,0.0785,0.0677499999999999,0.0727499999999999,0.075,0.0697499999999999,0.09375,0.0434999999999999,0.04425,0.03425,0.0359999999999999,0.0324999999999999,0.0369999999999999,0.0282499999999999,0.0235,0.0277499999999999,0.05125,0.0399999999999999,0.0554999999999999,0.0242499999999999,0.0379999999999999,0.0217499999999999
Something to Talk About (1995),0.46625,0.501,0.39625,0.593,0.7555000000000001,0.86625,0.7555000000000001,0.64675,0.47575,0.879,0.4685,0.2927499999999999,0.72475,0.3305,0.16475,0.24625,0.3585,0.35075,0.424,0.5085,0.7555000000000001,0.3107499999999999,0.243,0.6635,0.31675,0.44925,0.3215,0.246,0.16675,0.298,0.284,0.21225,0.16475,0.7665,0.1004999999999999,0.2935,0.17975,0.203,0.14925,0.1937499999999999,0.072,0.191,0.3067499999999999,0.25825,0.3105,0.1205,0.05975,0.3249999999999999,0.17775,0.139,0.2012499999999999,0.1385,0.18625,0.1922499999999999,0.16575,0.4805,0.2185,0.17725,0.24425,0.1564999999999999,0.074,0.1159999999999999,0.11225,0.10725,0.11125,0.14575,0.1955,0.1594999999999999,0.14525,0.18275,0.1475,0.346,0.0835,0.1255,0.0722499999999999,0.0815,0.06125,0.06075,0.1905,0.09225,0.15075,0.11525,0.1375,0.0959999999999999,0.04975,0.07,0.10175,0.15175,0.08875,0.10025,0.12,0.1099999999999999,0.0737499999999999,0.1175,0.08625,0.0984999999999999,0.0579999999999999,0.0875,0.068,0.16425,0.05525,0.0665,0.0959999999999999,0.09475,0.0954999999999999,0.082,0.0549999999999999,0.03925,0.05025,0.09,0.186,0.09875,0.0692499999999999,0.0765,0.087,0.03475,0.0895,0.06,0.05225,0.10875,0.0187499999999999,0.05525,0.067,0.05425,0.05475,0.10625,0.04725,0.0569999999999999,0.0519999999999999,0.03375,0.0815,0.0642499999999999,0.05875,0.03225,0.0409999999999999,0.0675,0.081,0.03625,0.0805,0.03125,0.03125,0.0185,0.0222499999999999,0.0277499999999999,0.05975,0.0389999999999999,0.022,0.0237499999999999,0.0205
French Kiss (1995),0.93725,0.71825,0.7435,0.7105,0.49475,0.689,0.4725,0.678,0.46825,0.26175,0.66175,0.66025,0.5415,0.7465,0.686,0.31925,0.43925,0.3135,0.7105,0.40575,0.244,0.3954999999999999,0.3335,0.2965,0.40375,0.23725,0.33225,0.235,0.2269999999999999,0.366,0.3395,0.235,0.26225,0.1347499999999999,0.27225,0.29225,0.3129999999999999,0.253,0.154,0.3189999999999999,0.0935,0.1725,0.09125,0.18675,0.1694999999999999,0.5405,0.1725,0.1965,0.2135,0.149,0.23525,0.09975,0.21375,0.20925,0.15825,0.1365,0.132,0.206,0.202,0.28925,0.2684999999999999,0.09875,0.1574999999999999,0.17175,0.10275,0.0944999999999999,0.1589999999999999,0.11475,0.1365,0.1267499999999999,0.1699999999999999,0.0735,0.138,0.237,0.0695,0.1355,0.04275,0.0785,0.1335,0.65825,0.11075,0.074,0.1594999999999999,0.156,0.03225,0.20925,0.10475,0.0855,0.10275,0.0752499999999999,0.2075,0.069,0.0757499999999999,0.152,0.10425,0.141,0.1604999999999999,0.0875,0.0695,0.03775,0.077,0.05525,0.0747499999999999,0.0489999999999999,0.0944999999999999,0.1044999999999999,0.0665,0.0334999999999999,0.0539999999999999,0.04375,0.063,0.0605,0.06025,0.082,0.092,0.1945,0.09125,0.0559999999999999,0.083,0.03075,0.0255,0.15675,0.2415,0.0324999999999999,0.0534999999999999,0.0692499999999999,0.0642499999999999,0.0675,0.0449999999999999,0.79125,0.0584999999999999,0.04425,0.0524999999999999,0.0479999999999999,0.04425,0.04025,0.04075,0.05575,0.0424999999999999,0.03525,0.026,0.0165,0.03025,0.03075,0.0579999999999999,0.0939999999999999,0.0227499999999999,0.0245,0.021
Forget Paris (1995),0.7889999999999999,0.3894999999999999,0.87625,0.67425,0.4742499999999999,0.32225,0.45525,0.68125,0.58525,0.2055,0.49275,0.3655,0.69525,0.58725,0.1525,0.15975,0.308,0.30025,0.4379999999999999,0.4215,0.23625,0.46175,0.36375,0.4765,0.4379999999999999,0.4379999999999999,0.1735,0.20375,0.26425,0.421,0.293,0.23075,0.11925,0.152,0.432,0.24125,0.369,0.3065,0.1564999999999999,0.3804999999999999,0.1084999999999999,0.1835,0.0805,0.1962499999999999,0.1877499999999999,0.2045,0.123,0.194,0.214,0.2007499999999999,0.4147499999999999,0.144,0.2105,0.3984999999999999,0.194,0.1185,0.2007499999999999,0.2,0.20975,0.2015,0.20975,0.12125,0.19,0.2299999999999999,0.08675,0.1024999999999999,0.128,0.14625,0.16775,0.0827499999999999,0.1912499999999999,0.1044999999999999,0.14525,0.151,0.09675,0.0999999999999999,0.05375,0.073,0.1305,0.23625,0.09475,0.08625,0.22225,0.1034999999999999,0.0459999999999999,0.1897499999999999,0.0665,0.0682499999999999,0.086,0.3179999999999999,0.0835,0.0792499999999999,0.0785,0.1089999999999999,0.1395,0.1415,0.1285,0.09625,0.05775,0.0454999999999999,0.0494999999999999,0.06125,0.1159999999999999,0.0625,0.09425,0.0775,0.06,0.03175,0.0539999999999999,0.069,0.09175,0.08775,0.0559999999999999,0.0757499999999999,0.1327499999999999,0.14925,0.10275,0.0767499999999999,0.0712499999999999,0.0399999999999999,0.027,0.0635,0.0489999999999999,0.0277499999999999,0.0812499999999999,0.10625,0.04175,0.0632499999999999,0.06075,0.22775,0.081,0.071,0.0775,0.0394999999999999,0.04075,0.03575,0.061,0.0529999999999999,0.03875,0.0287499999999999,0.03275,0.0272499999999999,0.0232499999999999,0.0305,0.0265,0.0454999999999999,0.027,0.0252499999999999,0.0339999999999999
I.Q. (1994),0.9545,0.552,0.68925,0.6945,0.69075,0.81125,0.4972499999999999,0.48575,0.58925,0.201,0.42125,0.89425,0.1945,0.74425,0.81125,0.24425,0.38675,0.48575,0.48575,0.392,0.521,0.4389999999999999,0.2204999999999999,0.3535,0.52825,0.3315,0.2957499999999999,0.3249999999999999,0.3249999999999999,0.26775,0.42325,0.2867499999999999,0.215,0.0954999999999999,0.20875,0.2907499999999999,0.4024999999999999,0.22575,0.187,0.21875,0.08775,0.11425,0.1305,0.1995,0.2794999999999999,0.2269999999999999,0.18675,0.24425,0.2375,0.45075,0.14575,0.66625,0.17375,0.18425,0.22775,0.14225,0.3315,0.239,0.26375,0.21725,0.22325,0.15525,0.1265,0.18275,0.1277499999999999,0.16275,0.23975,0.18475,0.15875,0.09025,0.18125,0.0439999999999999,0.1024999999999999,0.70325,0.1054999999999999,0.17375,0.05325,0.067,0.256,0.1119999999999999,0.1569999999999999,0.08825,0.2185,0.15,0.0524999999999999,0.0787499999999999,0.089,0.0574999999999999,0.27875,0.12375,0.14425,0.05975,0.09825,0.1034999999999999,0.11425,0.134,0.16775,0.0935,0.1352499999999999,0.04475,0.082,0.09025,0.063,0.0524999999999999,0.0852499999999999,0.0815,0.11625,0.0409999999999999,0.068,0.0569999999999999,0.08775,0.1505,0.09625,0.0787499999999999,0.31025,0.18125,0.088,0.064,0.06,0.05575,0.06225,0.10475,0.1164999999999999,0.0787499999999999,0.05525,0.0815,0.05025,0.10725,0.0399999999999999,0.0399999999999999,0.06025,0.084,0.0655,0.0424999999999999,0.15225,0.0564999999999999,0.0732499999999999,0.05425,0.05475,0.04275,0.0429999999999999,0.0205,0.0247499999999999,0.0655,0.05725,0.0464999999999999,0.0504999999999999,0.031,0.0232499999999999
