movieId,original,vengeance,weird,fight scenes,betrayal,greed,chase,weapons,good,melancholic,pornography,drama,surveillance,runaway,culture clash,dialogue,mentor,catastrophe,independent film,light,predictable,first contact,survival,very funny,adaptation,fun movie,fantasy world,alter ego,quirky,death,drinking,life & death,sacrifice,life philosophy,absurd,creativity,sexy,classic car,transformation,unlikely friendships,not funny,family,computer animation,nudity (full frontal - brief),awesome soundtrack,pulp,underrated,childhood,graphic novel,tokyo,stereotypes,dysfunctional family,good music,farce,islam,mad scientist,multiple storylines,british,teen movie,period piece,nudity (topless - brief),prejudice,queer,irish accent,hospital,foul language,simple,kick-butt women,kidnapping,camp,80s,addiction,women,california,brothers,film noir,desert,wilderness,alternate history,blindness,writers,doctors,small town,immortality,road movie,memory,directorial debut,censorship,goth,new jersey,trilogy,hotel,snakes,hunting,no plot,internet,wartime,island,too long,notable nudity,bollywood,hip hop,prison,dreams,buddy movie,nudity (rear),best of 2005,stoner movie,rebellion,indians,unlikeable characters,ensemble cast,texas,ghosts/afterlife,russian,1930s,australia,stand-up comedy,potential oscar nom,workplace,father daughter relationship,divorce,god,atheism,new york city,race,cancer,finnish,los angeles,adoption,robert downey jr,san francisco,remake,too short,interracial romance,french,prostitution,oil,reality tv,made for tv,shopping,time,homeless,fashion,radio,lawyer,wine,documentary,single father
From Dusk Till Dawn (1996),0.96275,0.971,0.97875,0.92375,0.91875,0.67225,0.92375,0.92375,0.85625,0.687,0.949,0.62575,0.949,0.67225,0.67225,0.754,0.46675,0.4489999999999999,0.4175,0.67225,0.67125,0.5115,0.37675,0.56025,0.40925,0.7855000000000001,0.2339999999999999,0.44975,0.73525,0.2524999999999999,0.36375,0.1962499999999999,0.193,0.38075,0.592,0.3804999999999999,0.69975,0.39725,0.42,0.1897499999999999,0.308,0.26825,0.1089999999999999,0.3047499999999999,0.34175,0.57925,0.392,0.1154999999999999,0.53925,0.11325,0.259,0.299,0.3055,0.3315,0.0785,0.67125,0.3545,0.11525,0.16875,0.1004999999999999,0.558,0.1385,0.19,0.198,0.132,0.77,0.09375,0.1094999999999999,0.41825,0.67125,0.20675,0.17125,0.1945,0.1877499999999999,0.8260000000000001,0.10275,0.17675,0.2249999999999999,0.1704999999999999,0.11625,0.2022499999999999,0.1395,0.1725,0.072,0.3245,0.066,0.1882499999999999,0.2125,0.3159999999999999,0.2229999999999999,0.0509999999999999,0.2055,0.70025,0.1425,0.061,0.13,0.04875,0.1089999999999999,0.08625,0.1205,0.05625,0.0777499999999999,0.1315,0.0865,0.3179999999999999,0.1124999999999999,0.14575,0.09525,0.03,0.0579999999999999,0.2514999999999999,0.2624999999999999,0.372,0.0695,0.05425,0.04725,0.09125,0.0855,0.0745,0.0534999999999999,0.0524999999999999,0.06075,0.06175,0.05625,0.0772499999999999,0.0677499999999999,0.0642499999999999,0.0399999999999999,0.11225,0.0765,0.1335,0.0494999999999999,0.0489999999999999,0.03875,0.0805,0.0384999999999999,0.03725,0.0484999999999999,0.175,0.05475,0.0414999999999999,0.0235,0.0374999999999999,0.0685,0.04825,0.0242499999999999,0.0314999999999999,0.0324999999999999,0.0245
Desperado (1995),0.964,0.964,0.9625,0.9785,0.9625,0.60325,0.9785,0.9785,0.8765000000000001,0.7185,0.6,0.64875,0.8987499999999999,0.69675,0.38575,0.68325,0.57775,0.43125,0.26525,0.3375,0.62625,0.2027499999999999,0.1745,0.44925,0.3429999999999999,0.67325,0.237,0.4635,0.35775,0.414,0.254,0.281,0.1689999999999999,0.4075,0.4365,0.387,0.7235,0.4267499999999999,0.3179999999999999,0.20425,0.31925,0.1365,0.14875,0.39925,0.303,0.6235,0.277,0.1725,0.2704999999999999,0.184,0.25775,0.1435,0.3067499999999999,0.3015,0.0925,0.123,0.2897499999999999,0.1287499999999999,0.1599999999999999,0.09925,0.565,0.125,0.17725,0.213,0.1755,0.2274999999999999,0.1435,0.3205,0.10225,0.15,0.1322499999999999,0.4599999999999999,0.16675,0.1495,0.19,0.10775,0.187,0.0855,0.1099999999999999,0.1765,0.1664999999999999,0.0827499999999999,0.2035,0.1024999999999999,0.11425,0.091,0.11825,0.195,0.11775,0.10775,0.2264999999999999,0.207,0.1882499999999999,0.152,0.12225,0.1059999999999999,0.069,0.08725,0.0949999999999999,0.194,0.0852499999999999,0.1624999999999999,0.1034999999999999,0.1099999999999999,0.4555,0.17625,0.1099999999999999,0.11125,0.04375,0.06025,0.0835,0.0662499999999999,0.11075,0.17525,0.0605,0.0564999999999999,0.062,0.09825,0.12375,0.081,0.059,0.1104999999999999,0.05225,0.0737499999999999,0.0782499999999999,0.0725,0.0665,0.0479999999999999,0.0925,0.0672499999999999,0.0712499999999999,0.0635,0.1352499999999999,0.05425,0.1084999999999999,0.04975,0.0519999999999999,0.05375,0.0479999999999999,0.0625,0.0845,0.0635,0.0519999999999999,0.12125,0.03875,0.05275,0.03425,0.0324999999999999,0.0217499999999999
"Crow, The (1994)",0.96375,0.986,0.96375,0.991,0.9445,0.96375,0.853,0.853,0.8182499999999999,0.918,0.96375,0.62575,0.5775,0.69675,0.69675,0.57025,0.6945,0.4665,0.96375,0.991,0.3385,0.292,0.17425,0.4237499999999999,0.52775,0.16975,0.9795,0.999,0.5385,0.89975,0.57025,0.84325,0.42725,0.4595,0.142,0.17975,0.20525,0.3662499999999999,0.4495,0.637,0.3672499999999999,0.1345,0.22025,0.245,0.9365,0.38875,0.48475,0.3572499999999999,0.8765000000000001,0.1987499999999999,0.11725,0.14825,0.70375,0.1144999999999999,0.0697499999999999,0.11925,0.1639999999999999,0.178,0.1699999999999999,0.1124999999999999,0.2877499999999999,0.17275,0.1965,0.241,0.21775,0.1972499999999999,0.17975,0.0925,0.071,0.1995,0.17975,0.267,0.1317499999999999,0.1139999999999999,0.189,0.373,0.0757499999999999,0.1024999999999999,0.1009999999999999,0.2269999999999999,0.09825,0.1169999999999999,0.11875,0.80125,0.1252499999999999,0.26675,0.1689999999999999,0.1079999999999999,0.99475,0.25875,0.2734999999999999,0.11925,0.09175,0.0705,0.05875,0.1049999999999999,0.0652499999999999,0.0657499999999999,0.06075,0.0944999999999999,0.0795,0.1252499999999999,0.11625,0.1029999999999999,0.2007499999999999,0.3035,0.1614999999999999,0.11975,0.0857499999999999,0.10275,0.1074999999999999,0.0637499999999999,0.05125,0.7645,0.0627499999999999,0.068,0.0852499999999999,0.1287499999999999,0.10925,0.06025,0.0369999999999999,0.05075,0.10775,0.0647499999999999,0.09025,0.0792499999999999,0.19,0.0559999999999999,0.1079999999999999,0.05275,0.3195,0.1275,0.0569999999999999,0.0745,0.0635,0.04325,0.09,0.0369999999999999,0.0484999999999999,0.06025,0.0625,0.1044999999999999,0.127,0.05475,0.03325,0.03075,0.03,0.03225,0.0255
"Fugitive, The (1993)",0.96575,0.96575,0.96575,0.9735,0.946,0.96575,0.9875,0.9735,0.92825,0.70275,0.39375,0.991,0.96125,0.92475,0.8887499999999999,0.556,0.8345,0.6985,0.4785,0.60225,0.50525,0.4755,0.584,0.37475,0.52275,0.788,0.3492499999999999,0.29025,0.1957499999999999,0.54975,0.3512499999999999,0.37375,0.42925,0.33775,0.141,0.3359999999999999,0.23275,0.395,0.27,0.388,0.37725,0.6045,0.6045,0.3814999999999999,0.22375,0.149,0.3225,0.3622499999999999,0.0225,0.065,0.1912499999999999,0.197,0.22875,0.12275,0.218,0.1362499999999999,0.09,0.27325,0.405,0.264,0.176,0.42925,0.1335,0.2744999999999999,0.64575,0.38775,0.3715,0.0695,0.193,0.09075,0.17275,0.0905,0.1325,0.2504999999999999,0.1335,0.1579999999999999,0.1302499999999999,0.1902499999999999,0.17925,0.24125,0.1345,0.75675,0.148,0.0682499999999999,0.23175,0.24975,0.10975,0.181,0.0242499999999999,0.11625,0.1654999999999999,0.2985,0.10325,0.483,0.1282499999999999,0.14775,0.15875,0.1882499999999999,0.2095,0.0989999999999999,0.1185,0.05275,0.84575,0.1039999999999999,0.1895,0.10275,0.0584999999999999,0.0642499999999999,0.0732499999999999,0.10225,0.0334999999999999,0.0514999999999999,0.0549999999999999,0.1997499999999999,0.14075,0.11875,0.05775,0.0757499999999999,0.12175,0.0662499999999999,0.0489999999999999,0.31575,0.029,0.0712499999999999,0.1114999999999999,0.2065,0.1277499999999999,0.0324999999999999,0.10025,0.08975,0.0642499999999999,0.2254999999999999,0.2304999999999999,0.11625,0.08725,0.0787499999999999,0.0524999999999999,0.0652499999999999,0.0752499999999999,0.1257499999999999,0.10325,0.24725,0.09675,0.0792499999999999,0.0885,0.3575,0.0509999999999999,0.03025,0.09825
Batman (1989),0.93525,0.99275,0.93525,0.99325,0.70175,0.93525,0.9005000000000001,0.9005000000000001,0.76725,0.871,0.93525,0.56475,0.579,0.59625,0.59625,0.63475,0.557,0.57475,0.93525,0.99325,0.921,0.4155,0.3455,0.38925,0.675,0.599,0.56025,0.99875,0.33175,0.3159999999999999,0.4014999999999999,0.17075,0.38525,0.3319999999999999,0.183,0.3159999999999999,0.4267499999999999,0.2334999999999999,0.4685,0.21825,0.3502499999999999,0.2734999999999999,0.2,0.1684999999999999,0.417,0.367,0.2845,0.32525,0.7805,0.17375,0.1902499999999999,0.31425,0.23025,0.16375,0.1024999999999999,0.3155,0.1694999999999999,0.127,0.199,0.21475,0.16525,0.1699999999999999,0.25325,0.1387499999999999,0.1014999999999999,0.2027499999999999,0.0974999999999999,0.065,0.0569999999999999,0.3854999999999999,0.4125,0.1815,0.11825,0.192,0.178,0.484,0.08,0.0627499999999999,0.1897499999999999,0.14775,0.136,0.15975,0.1317499999999999,0.32125,0.09525,0.0797499999999999,0.1325,0.17775,0.8645,0.1385,0.33525,0.14975,0.2022499999999999,0.059,0.06025,0.1084999999999999,0.074,0.066,0.069,0.05675,0.0755,0.0787499999999999,0.08775,0.0767499999999999,0.1694999999999999,0.085,0.46875,0.0999999999999999,0.137,0.0722499999999999,0.185,0.134,0.0842499999999999,0.1392499999999999,0.05375,0.20725,0.0595,0.093,0.0737499999999999,0.0574999999999999,0.05525,0.0677499999999999,0.04925,0.05075,0.11625,0.091,0.0782499999999999,0.04575,0.0665,0.0549999999999999,0.2085,0.091,0.0344999999999999,0.0414999999999999,0.0642499999999999,0.04275,0.0529999999999999,0.05125,0.15575,0.0692499999999999,0.0334999999999999,0.05525,0.0559999999999999,0.0817499999999999,0.0534999999999999,0.0374999999999999,0.05175,0.03175,0.0252499999999999
Heavy Metal (1981),0.827,0.827,0.8672500000000001,0.9015,0.57375,0.68925,0.43025,0.2897499999999999,0.6375,0.605,0.8062499999999999,0.492,0.40375,0.555,0.605,0.5035,0.4679999999999999,0.44325,0.18625,0.9015,0.30425,0.83725,0.83725,0.299,0.427,0.3389999999999999,0.89975,0.32175,0.256,0.2329999999999999,0.2015,0.48575,0.394,0.295,0.3289999999999999,0.54225,0.8062499999999999,0.2554999999999999,0.40575,0.1545,0.397,0.60875,0.964,0.3712499999999999,0.81975,0.51625,0.2835,0.3299999999999999,0.4629999999999999,0.28325,0.1887499999999999,0.16225,0.32325,0.207,0.2075,0.20725,0.4852499999999999,0.16625,0.3844999999999999,0.14475,0.27775,0.36375,0.1555,0.17125,0.10675,0.14075,0.15175,0.0534999999999999,0.177,0.27175,0.44875,0.4822499999999999,0.37725,0.15725,0.093,0.23725,0.23475,0.12125,0.23525,0.17975,0.20375,0.16025,0.10975,0.2624999999999999,0.1235,0.356,0.1352499999999999,0.2027499999999999,0.24125,0.2955,0.071,0.123,0.1325,0.05925,0.0949999999999999,0.14425,0.0747499999999999,0.1515,0.1064999999999999,0.187,0.0499999999999999,0.05325,0.0944999999999999,0.25525,0.118,0.1385,0.03475,0.53775,0.076,0.1395,0.04325,0.08625,0.09,0.05125,0.0677499999999999,0.0827499999999999,0.0835,0.1054999999999999,0.02975,0.0817499999999999,0.0712499999999999,0.05175,0.17025,0.087,0.23875,0.11475,0.0534999999999999,0.04225,0.05325,0.06175,0.05125,0.0747499999999999,0.04325,0.0652499999999999,0.0969999999999999,0.0569999999999999,0.0645,0.04575,0.03025,0.05425,0.0642499999999999,0.1064999999999999,0.04825,0.0747499999999999,0.09325,0.064,0.0195,0.0404999999999999,0.0295
Ghost in the Shell (Kôkaku kidôtai) (1995),0.9815,0.86375,0.96375,0.689,0.71475,0.9815,0.6305,0.6305,0.8055000000000001,0.8680000000000001,0.6525,0.9815,0.39625,0.8214999999999999,0.8680000000000001,0.8680000000000001,0.614,0.92375,0.5825,0.5085,0.2485,0.9875,0.9875,0.3425,0.63625,0.238,0.47375,0.5445,0.3389999999999999,0.21775,0.6175,0.974,0.3964999999999999,0.39125,0.4379999999999999,0.521,0.469,0.351,0.44175,0.20925,0.3715,0.25875,0.7902499999999999,0.22425,0.8055000000000001,0.16525,0.4004999999999999,0.2634999999999999,0.5885,0.79,0.23175,0.3035,0.8055000000000001,0.1315,0.39725,0.262,0.2214999999999999,0.3235,0.1245,0.17975,0.2165,0.25825,0.1922499999999999,0.17975,0.1619999999999999,0.0885,0.198,0.11775,0.0509999999999999,0.0645,0.1342499999999999,0.1255,0.22425,0.14125,0.16325,0.26175,0.089,0.148,0.27025,0.15675,0.16975,0.16125,0.10175,0.53575,0.0935,0.503,0.1435,0.22225,0.08975,0.10375,0.129,0.1535,0.12375,0.1029999999999999,0.25525,0.38275,0.076,0.08675,0.22425,0.0692499999999999,0.08625,0.0652499999999999,0.1029999999999999,0.262,0.0394999999999999,0.085,0.1392499999999999,0.2355,0.25475,0.0935,0.1312499999999999,0.0865,0.0499999999999999,0.06025,0.0519999999999999,0.1094999999999999,0.0459999999999999,0.08875,0.0847499999999999,0.16375,0.142,0.066,0.18075,0.15225,0.0652499999999999,0.0727499999999999,0.0707499999999999,0.024,0.0732499999999999,0.0595,0.0885,0.04725,0.03075,0.04625,0.08925,0.0712499999999999,0.077,0.088,0.04225,0.05225,0.03475,0.0772499999999999,0.0409999999999999,0.04275,0.0464999999999999,0.04525,0.05375,0.0509999999999999,0.0262499999999999
Synthetic Pleasures (1995),0.76125,0.7355,0.88575,0.50525,0.3725,0.7355,0.4792499999999999,0.34025,0.7005,0.4519999999999999,0.57175,0.7355,0.3964999999999999,0.7355,0.7355,0.5155,0.4985,0.45325,0.4357499999999999,0.3249999999999999,0.59925,0.65,0.156,0.3097499999999999,0.4645,0.583,0.63075,0.50525,0.2614999999999999,0.4852499999999999,0.15875,0.7475,0.18725,0.173,0.1937499999999999,0.16375,0.26,0.36775,0.33525,0.155,0.31575,0.67525,0.21725,0.182,0.174,0.1947499999999999,0.0994999999999999,0.3329999999999999,0.61,0.14925,0.37625,0.22175,0.5885,0.246,0.18725,0.4247499999999999,0.39125,0.079,0.2445,0.092,0.04825,0.2,0.358,0.2644999999999999,0.1325,0.1937499999999999,0.14775,0.1555,0.23475,0.24075,0.0767499999999999,0.15325,0.09,0.0964999999999999,0.1094999999999999,0.15,0.0692499999999999,0.091,0.1805,0.0544999999999999,0.21725,0.14175,0.125,0.04325,0.09825,0.0845,0.2455,0.04925,0.05825,0.1342499999999999,0.1709999999999999,0.1785,0.03675,0.186,0.0625,0.1215,0.18725,0.23825,0.1699999999999999,0.03425,0.0549999999999999,0.4962499999999999,0.16975,0.66075,0.092,0.063,0.419,0.1947499999999999,0.1034999999999999,0.1159999999999999,0.0524999999999999,0.1307499999999999,0.0657499999999999,0.14975,0.1604999999999999,0.1019999999999999,0.10125,0.10375,0.03625,0.151,0.09275,0.15375,0.05675,0.05675,0.0702499999999999,0.0399999999999999,0.11225,0.05825,0.16275,0.1905,0.0192499999999999,0.03825,0.065,0.072,0.0765,0.0715,0.05325,0.0165,0.2035,0.03375,0.0712499999999999,0.08925,0.1912499999999999,0.0197499999999999,0.0295,0.03725,0.0055,0.04075,0.03575
Escape from New York (1981),0.8827499999999999,0.8154999999999999,0.982,0.9575,0.8154999999999999,0.73775,0.99025,0.9575,0.7775000000000001,0.66875,0.73775,0.49475,0.564,0.702,0.555,0.674,0.5725,0.667,0.73775,0.702,0.508,0.98825,0.98825,0.64,0.3595,0.6495,0.5315,0.3602499999999999,0.412,0.2907499999999999,0.5015,0.2594999999999999,0.3295,0.34375,0.3175,0.39575,0.24975,0.4639999999999999,0.4345,0.199,0.39475,0.1815,0.17825,0.20825,0.3542499999999999,0.513,0.4569999999999999,0.2877499999999999,0.0787499999999999,0.18,0.191,0.1935,0.32025,0.122,0.18675,0.508,0.15375,0.15725,0.18,0.09475,0.38025,0.154,0.2375,0.14925,0.172,0.209,0.27525,0.1485,0.2189999999999999,0.508,0.8095000000000001,0.0742499999999999,0.15225,0.3625,0.1252499999999999,0.22075,0.30925,0.272,0.4247499999999999,0.11775,0.18425,0.199,0.2294999999999999,0.22675,0.2209999999999999,0.20375,0.1644999999999999,0.0795,0.0782499999999999,0.4872499999999999,0.2204999999999999,0.178,0.8927499999999999,0.1307499999999999,0.0695,0.10325,0.0837499999999999,0.57,0.0835,0.0752499999999999,0.0569999999999999,0.0647499999999999,0.87425,0.09275,0.16075,0.15425,0.0792499999999999,0.118,0.1895,0.1679999999999999,0.0787499999999999,0.2554999999999999,0.1445,0.10875,0.0479999999999999,0.072,0.23075,0.092,0.0705,0.1039999999999999,0.0509999999999999,0.0775,0.0469999999999999,0.04725,0.949,0.1525,0.0399999999999999,0.0324999999999999,0.2445,0.05675,0.0579999999999999,0.10875,0.062,0.03375,0.09125,0.0359999999999999,0.0855,0.2289999999999999,0.0394999999999999,0.0584999999999999,0.0925,0.2249999999999999,0.29925,0.17575,0.077,0.0334999999999999,0.03675,0.03325,0.0235
Army of Darkness (1993),0.863,0.7575000000000001,0.98675,0.7947500000000001,0.49,0.695,0.7947500000000001,0.7947500000000001,0.8885000000000001,0.695,0.516,0.51325,0.2385,0.8885000000000001,0.695,0.4419999999999999,0.537,0.4565,0.56225,0.8547499999999999,0.802,0.68,0.57925,0.9345,0.52375,0.8015000000000001,0.8532500000000001,0.3325,0.90575,0.2264999999999999,0.4034999999999999,0.377,0.298,0.3642499999999999,0.58125,0.523,0.23725,0.34875,0.44325,0.34975,0.1955,0.1129999999999999,0.1535,0.272,0.4044999999999999,0.3455,0.405,0.30125,0.1755,0.16525,0.11825,0.14825,0.3007499999999999,0.829,0.10625,0.67575,0.18,0.63675,0.14975,0.63675,0.5035,0.18425,0.151,0.21925,0.14825,0.1054999999999999,0.14875,0.0705,0.0964999999999999,0.67575,0.27525,0.0865,0.09675,0.17575,0.16475,0.11175,0.1985,0.65,0.11675,0.1275,0.1579999999999999,0.1594999999999999,0.17075,0.48175,0.2007499999999999,0.10225,0.1935,0.22425,0.2214999999999999,0.16625,0.7595000000000001,0.1267499999999999,0.21575,0.0979999999999999,0.0727499999999999,0.0732499999999999,0.10025,0.18275,0.0705,0.0652499999999999,0.0499999999999999,0.0344999999999999,0.26225,0.0984999999999999,0.26925,0.0805,0.0855,0.194,0.1149999999999999,0.06175,0.0504999999999999,0.05625,0.0687499999999999,0.2027499999999999,0.0667499999999999,0.0842499999999999,0.15425,0.0954999999999999,0.0364999999999999,0.11625,0.04625,0.05625,0.0549999999999999,0.05975,0.05675,0.0682499999999999,0.05625,0.0695,0.0642499999999999,0.0404999999999999,0.079,0.062,0.03875,0.0519999999999999,0.0444999999999999,0.0409999999999999,0.0444999999999999,0.0579999999999999,0.05025,0.0725,0.0999999999999999,0.27025,0.0805,0.059,0.0762499999999999,0.0152499999999999,0.0242499999999999,0.03675,0.013
