movieId,original,greed,weird,drama,vengeance,good,culture clash,runaway,melancholic,independent film,betrayal,mentor,dialogue,unlikely friendships,pornography,life & death,light,catastrophe,adaptation,drinking,islam,chase,very funny,sacrifice,fight scenes,quirky,surveillance,fun movie,family,childhood,death,prejudice,first contact,period piece,life philosophy,fantasy world,weapons,survival,teen movie,creativity,good music,alter ego,predictable,absurd,british,classic car,nudity (full frontal - brief),dysfunctional family,nudity (topless - brief),underrated,awesome soundtrack,computer animation,farce,wartime,stereotypes,sexy,documentary,queer,transformation,california,small town,multiple storylines,addiction,80s,foul language,censorship,film noir,not funny,doctors,writers,hospital,simple,bollywood,dreams,irish accent,brothers,wilderness,women,tokyo,alternate history,mad scientist,directorial debut,new jersey,stand-up comedy,road movie,internet,memory,1930s,atheism,pulp,rebellion,hip hop,hotel,too long,cancer,indians,divorce,blindness,workplace,stoner movie,ensemble cast,potential oscar nom,prison,notable nudity,desert,best of 2005,race,camp,interracial romance,kidnapping,buddy movie,god,nudity (rear),hunting,new york city,texas,island,kick-butt women,ghosts/afterlife,radio,father daughter relationship,time,made for tv,russian,los angeles,san francisco,graphic novel,goth,snakes,trilogy,immortality,australia,lawyer,too short,finnish,wine,adoption,reality tv,oil,robert downey jr,unlikeable characters,french,homeless,shopping,no plot,single father,prostitution,fashion,remake
"Shawshank Redemption, The (1994)",0.98425,0.98425,0.98425,0.98425,0.9775,0.98425,0.98425,0.9775,0.9735,0.9025,0.8755,0.8765000000000001,0.9735,0.94425,0.54475,0.8242499999999999,0.7295,0.7562500000000001,0.9215,0.591,0.873,0.6775,0.71575,0.7862499999999999,0.6775,0.27725,0.65275,0.72275,0.21175,0.56125,0.26975,0.7862499999999999,0.3984999999999999,0.5535,0.70675,0.2714999999999999,0.6775,0.65675,0.2259999999999999,0.32475,0.70975,0.294,0.266,0.141,0.3225,0.52525,0.5785,0.2915,0.23325,0.43825,0.70975,0.2209999999999999,0.214,0.28625,0.2664999999999999,0.18725,0.0479999999999999,0.26,0.40425,0.138,0.2274999999999999,0.26975,0.32075,0.1555,0.66525,0.1332499999999999,0.2845,0.38,0.25575,0.27325,0.303,0.4485,0.4922499999999999,0.601,0.21025,0.2714999999999999,0.1287499999999999,0.0944999999999999,0.1564999999999999,0.33825,0.1352499999999999,0.4185,0.189,0.1272499999999999,0.255,0.1644999999999999,0.30725,0.2345,0.2055,0.207,0.33225,0.083,0.11275,0.6375,0.27675,0.248,0.06225,0.2007499999999999,0.0772499999999999,0.27125,0.2155,0.12475,0.97225,0.03325,0.08675,0.14825,0.2987499999999999,0.06125,0.0454999999999999,0.08,0.245,0.135,0.03725,0.0797499999999999,0.089,0.0765,0.1327499999999999,0.0187499999999999,0.088,0.195,0.1054999999999999,0.49075,0.154,0.15225,0.0745,0.0935,0.0682499999999999,0.0324999999999999,0.1287499999999999,0.278,0.1545,0.08925,0.1397499999999999,0.1475,0.0549999999999999,0.0349999999999999,0.0637499999999999,0.0344999999999999,0.0444999999999999,0.0772499999999999,0.0242499999999999,0.05225,0.153,0.04275,0.05825,0.04275,0.0459999999999999,0.0252499999999999,0.0227499999999999
Forrest Gump (1994),0.97175,0.97175,0.97175,0.97175,0.96125,0.97625,0.97175,0.9625,0.919,0.972,0.4137499999999999,0.8700000000000001,0.8967499999999999,0.96775,0.245,0.972,0.8767499999999999,0.7987500000000001,0.8887499999999999,0.391,0.9525,0.65375,0.8767499999999999,0.9525,0.6895,0.361,0.44325,0.77125,0.34175,0.8387500000000001,0.289,0.90575,0.6895,0.9525,0.66925,0.38775,0.65375,0.5625,0.47375,0.42625,0.81775,0.2259999999999999,0.4912499999999999,0.25875,0.194,0.3904999999999999,0.4469999999999999,0.2867499999999999,0.2395,0.3349999999999999,0.731,0.1845,0.3129999999999999,0.60625,0.3299999999999999,0.21075,0.0324999999999999,0.3934999999999999,0.47975,0.2269999999999999,0.25225,0.46575,0.52375,0.50975,0.416,0.11425,0.11075,0.3159999999999999,0.27775,0.16175,0.346,0.70075,0.28025,0.56675,0.2329999999999999,0.269,0.0895,0.10625,0.14975,0.3954999999999999,0.3285,0.1385,0.2209999999999999,0.1049999999999999,0.1962499999999999,0.09225,0.2375,0.1644999999999999,0.1594999999999999,0.1997499999999999,0.3512499999999999,0.0439999999999999,0.11975,0.5735,0.59275,0.22775,0.089,0.21075,0.0857499999999999,0.25425,0.12275,0.11275,0.156,0.0519999999999999,0.1079999999999999,0.0755,0.1882499999999999,0.123,0.0692499999999999,0.0524999999999999,0.2837499999999999,0.17225,0.0509999999999999,0.10025,0.1579999999999999,0.0979999999999999,0.1495,0.0272499999999999,0.12275,0.2495,0.0737499999999999,0.42525,0.073,0.08775,0.1882499999999999,0.15625,0.03425,0.017,0.12,0.17275,0.1975,0.06125,0.0399999999999999,0.1175,0.0519999999999999,0.0364999999999999,0.1255,0.0314999999999999,0.05125,0.0697499999999999,0.0474999999999999,0.0349999999999999,0.1485,0.0797499999999999,0.05975,0.10525,0.0712499999999999,0.03925,0.0319999999999999
One Flew Over the Cuckoo's Nest (1975),0.995,0.995,0.99075,0.995,0.995,0.991,0.995,0.995,0.97075,0.939,0.65775,0.813,0.97075,0.8227500000000001,0.638,0.8720000000000001,0.8712500000000001,0.4579999999999999,0.976,0.788,0.8474999999999999,0.26975,0.8055000000000001,0.56125,0.34575,0.622,0.4207499999999999,0.43925,0.1624999999999999,0.36175,0.33475,0.56125,0.20875,0.4519999999999999,0.6175,0.268,0.254,0.2684999999999999,0.1535,0.26725,0.54825,0.4579999999999999,0.273,0.8645,0.3037499999999999,0.36075,0.38525,0.34375,0.68225,0.3632499999999999,0.40575,0.2204999999999999,0.49975,0.1629999999999999,0.4669999999999999,0.21,0.05625,0.24225,0.3844999999999999,0.17875,0.18625,0.38375,0.32425,0.11725,0.286,0.33875,0.3834999999999999,0.385,0.565,0.25075,0.756,0.21525,0.18725,0.359,0.2105,0.2279999999999999,0.088,0.09925,0.0875,0.22875,0.207,0.23925,0.17525,0.0782499999999999,0.14375,0.08975,0.1375,0.1694999999999999,0.189,0.1159999999999999,0.8885000000000001,0.03275,0.1917499999999999,0.16225,0.195,0.1352499999999999,0.089,0.1425,0.123,0.3415,0.65675,0.14975,0.552,0.0324999999999999,0.05175,0.17175,0.1295,0.087,0.04825,0.04925,0.19,0.1327499999999999,0.03925,0.1074999999999999,0.10075,0.0732499999999999,0.0695,0.029,0.0564999999999999,0.1335,0.071,0.1265,0.16175,0.0549999999999999,0.0625,0.0787499999999999,0.03975,0.0687499999999999,0.147,0.0652499999999999,0.0974999999999999,0.03675,0.139,0.0444999999999999,0.0394999999999999,0.0569999999999999,0.0647499999999999,0.0855,0.05525,0.10325,0.10675,0.04025,0.1327499999999999,0.02,0.03525,0.025,0.0757499999999999,0.0192499999999999,0.0137499999999999
Stand by Me (1986),0.96475,0.96475,0.96475,0.96475,0.8205,0.96475,0.96475,0.9075,0.9075,0.683,0.5825,0.8815,0.774,0.99125,0.3482499999999999,0.774,0.82175,0.61775,0.861,0.51775,0.23375,0.51825,0.63475,0.65875,0.57025,0.3067499999999999,0.426,0.622,0.81375,0.976,0.8685,0.65875,0.1977499999999999,0.23375,0.6115,0.52675,0.24475,0.416,0.7597499999999999,0.377,0.584,0.29025,0.243,0.20725,0.23125,0.481,0.2967499999999999,0.3169999999999999,0.263,0.4107499999999999,0.8247500000000001,0.81375,0.3592499999999999,0.1649999999999999,0.266,0.16575,0.03775,0.1614999999999999,0.373,0.2269999999999999,0.60525,0.16925,0.416,0.46475,0.72025,0.1465,0.17175,0.3087499999999999,0.1679999999999999,0.28025,0.2704999999999999,0.372,0.128,0.32475,0.20925,0.2614999999999999,0.40275,0.137,0.16025,0.18025,0.14,0.2007499999999999,0.26575,0.10875,0.34125,0.09175,0.4054999999999999,0.14,0.059,0.17675,0.2095,0.11975,0.14,0.22675,0.3107499999999999,0.2204999999999999,0.05925,0.1714999999999999,0.06075,0.4127499999999999,0.11875,0.09875,0.149,0.0735,0.192,0.0847499999999999,0.2022499999999999,0.2644999999999999,0.068,0.1169999999999999,0.3225,0.04125,0.0672499999999999,0.121,0.08925,0.11275,0.1584999999999999,0.04325,0.1634999999999999,0.1367499999999999,0.08,0.344,0.0847499999999999,0.0657499999999999,0.0795,0.0825,0.04925,0.0645,0.08625,0.1755,0.087,0.10675,0.076,0.11475,0.0745,0.0344999999999999,0.1039999999999999,0.03325,0.03825,0.0732499999999999,0.0652499999999999,0.05775,0.1024999999999999,0.0757499999999999,0.0655,0.0767499999999999,0.05075,0.0399999999999999,0.0255
Butch Cassidy and the Sundance Kid (1969),0.9725,0.9725,0.9725,0.9725,0.7509999999999999,0.9725,0.9725,0.913,0.889,0.62675,0.718,0.79775,0.7802500000000001,0.889,0.45175,0.469,0.90075,0.4425,0.33475,0.6195,0.4357499999999999,0.7825,0.82125,0.49575,0.6395,0.396,0.49275,0.8222499999999999,0.54625,0.8520000000000001,0.2857499999999999,0.49575,0.21425,0.56925,0.40725,0.24825,0.4772499999999999,0.1887499999999999,0.23225,0.4147499999999999,0.8167500000000001,0.65075,0.3824999999999999,0.33775,0.291,0.4117499999999999,0.286,0.1755,0.259,0.27375,0.8167500000000001,0.54625,0.374,0.1885,0.25575,0.1815,0.0524999999999999,0.33225,0.3097499999999999,0.2734999999999999,0.199,0.2224999999999999,0.0835,0.20775,0.1935,0.1134999999999999,0.378,0.311,0.1282499999999999,0.15975,0.1375,0.2375,0.0782499999999999,0.24625,0.1905,0.27725,0.21225,0.10325,0.15575,0.149,0.1357499999999999,0.15225,0.21475,0.0842499999999999,0.2314999999999999,0.0717499999999999,0.1594999999999999,0.29125,0.0752499999999999,0.18625,0.45325,0.0524999999999999,0.2045,0.2965,0.0544999999999999,0.3512499999999999,0.11225,0.11575,0.0722499999999999,0.27925,0.134,0.12275,0.148,0.05525,0.3325,0.1555,0.1392499999999999,0.1644999999999999,0.0677499999999999,0.12375,0.562,0.03,0.05925,0.1684999999999999,0.1267499999999999,0.22425,0.16375,0.0685,0.0692499999999999,0.15175,0.0439999999999999,0.2804999999999999,0.0524999999999999,0.05525,0.0692499999999999,0.083,0.04275,0.0282499999999999,0.1119999999999999,0.16525,0.0399999999999999,0.172,0.0802499999999999,0.0637499999999999,0.0305,0.0842499999999999,0.0944999999999999,0.022,0.0852499999999999,0.03975,0.0544999999999999,0.0845,0.064,0.04575,0.0715,0.04325,0.0925,0.0762499999999999,0.019
Good Will Hunting (1997),0.98825,0.98825,0.98125,0.99825,0.98825,0.98825,0.98825,0.98825,0.8402499999999999,0.8832500000000001,0.59475,0.979,0.9775,0.95475,0.31,0.8947499999999999,0.8480000000000001,0.73375,0.7882499999999999,0.8402499999999999,0.387,0.502,0.83125,0.812,0.5345,0.408,0.502,0.5775,0.2015,0.7629999999999999,0.25375,0.812,0.4732499999999999,0.387,0.698,0.1985,0.3495,0.5275,0.4535,0.50075,0.60575,0.3472499999999999,0.41425,0.34975,0.33025,0.39075,0.32175,0.244,0.24225,0.434,0.42125,0.2015,0.184,0.14225,0.481,0.1604999999999999,0.03175,0.24,0.46275,0.3245,0.271,0.2764999999999999,0.3087499999999999,0.16775,0.83775,0.121,0.1195,0.40375,0.27275,0.644,0.30525,0.45725,0.264,0.5015,0.249,0.24825,0.0735,0.1215,0.12175,0.30925,0.1945,0.21425,0.2035,0.10275,0.15125,0.146,0.3395,0.14675,0.1962499999999999,0.1569999999999999,0.20825,0.0767499999999999,0.10775,0.191,0.43125,0.10425,0.0979999999999999,0.15725,0.1337499999999999,0.256,0.2865,0.216,0.192,0.05025,0.05775,0.1024999999999999,0.20875,0.061,0.05475,0.0374999999999999,0.276,0.1134999999999999,0.03925,0.71725,0.11075,0.0667499999999999,0.0969999999999999,0.03625,0.08975,0.20625,0.10375,0.1965,0.0775,0.066,0.0675,0.10375,0.0285,0.028,0.0775,0.12125,0.10325,0.0469999999999999,0.0722499999999999,0.0994999999999999,0.0262499999999999,0.05125,0.0657499999999999,0.05725,0.04625,0.1175,0.125,0.0414999999999999,0.1337499999999999,0.119,0.066,0.1395,0.03825,0.0414999999999999,0.04275
Full Tilt Boogie (1997),0.8815,0.85975,0.71675,0.82375,0.85975,0.72075,0.69225,0.82375,0.74475,0.91175,0.641,0.41325,0.53125,0.25775,0.8082499999999999,0.29725,0.627,0.7025,0.4367499999999999,0.2214999999999999,0.40925,0.5065,0.53675,0.40925,0.52425,0.7385,0.38025,0.8452500000000001,0.4725,0.292,0.201,0.402,0.7025,0.38925,0.21325,0.6375,0.409,0.15475,0.52375,0.4762499999999999,0.1372499999999999,0.5945,0.7025,0.297,0.32125,0.32525,0.5645,0.405,0.14875,0.1535,0.245,0.292,0.53875,0.40925,0.239,0.3994999999999999,0.9855,0.51225,0.26475,0.558,0.21675,0.54425,0.25975,0.2927499999999999,0.09375,0.48575,0.34225,0.2905,0.1392499999999999,0.39775,0.138,0.0835,0.0637499999999999,0.1084999999999999,0.29825,0.251,0.2937499999999999,0.2145,0.25825,0.16975,0.4137499999999999,0.289,0.2544999999999999,0.20675,0.14325,0.4902499999999999,0.23425,0.26075,0.1485,0.649,0.09425,0.2012499999999999,0.28225,0.18625,0.0969999999999999,0.0815,0.1347499999999999,0.24775,0.21275,0.084,0.255,0.21475,0.13,0.3732499999999999,0.146,0.296,0.0944999999999999,0.27025,0.1907499999999999,0.1435,0.262,0.0999999999999999,0.1195,0.081,0.1609999999999999,0.1845,0.069,0.4085,0.155,0.0712499999999999,0.207,0.0772499999999999,0.1089999999999999,0.05075,0.14375,0.079,0.38975,0.22475,0.3007499999999999,0.1059999999999999,0.12425,0.1644999999999999,0.0822499999999999,0.196,0.069,0.1995,0.1937499999999999,0.2209999999999999,0.183,0.365,0.20375,0.0959999999999999,0.03825,0.031,0.0632499999999999,0.0197499999999999,0.0795,0.207,0.0137499999999999
Pleasantville (1998),0.96025,0.96025,0.96025,0.8685,0.798,0.7609999999999999,0.8374999999999999,0.8712500000000001,0.8045,0.6945,0.33275,0.5445,0.76525,0.7905,0.5885,0.7935000000000001,0.8712500000000001,0.7509999999999999,0.58925,0.4469999999999999,0.69425,0.32925,0.418,0.26975,0.58025,0.51075,0.37075,0.58825,0.3934999999999999,0.68525,0.2329999999999999,0.8505,0.79525,0.2055,0.8305,0.83725,0.27675,0.927,0.55025,0.65925,0.264,0.36675,0.4465,0.8287500000000001,0.2007499999999999,0.252,0.29125,0.4385,0.16425,0.4075,0.264,0.27975,0.2965,0.1644999999999999,0.57525,0.395,0.0449999999999999,0.5375,0.5195,0.239,0.609,0.1579999999999999,0.207,0.09925,0.09175,0.82125,0.8712500000000001,0.26975,0.2175,0.40075,0.147,0.3435,0.0954999999999999,0.4085,0.074,0.09725,0.09725,0.3562499999999999,0.1982499999999999,0.28025,0.3087499999999999,0.3472499999999999,0.1735,0.0757499999999999,0.2219999999999999,0.24325,0.32425,0.1265,0.248,0.1357499999999999,0.5565,0.0655,0.11575,0.1049999999999999,0.11875,0.09175,0.238,0.126,0.32775,0.12375,0.16225,0.0727499999999999,0.0842499999999999,0.079,0.09925,0.1395,0.20375,0.135,0.1272499999999999,0.0257499999999999,0.0554999999999999,0.182,0.0549999999999999,0.0514999999999999,0.09875,0.0627499999999999,0.206,0.0797499999999999,0.20575,0.24925,0.1024999999999999,0.29425,0.11875,0.0354999999999999,0.06075,0.087,0.1282499999999999,0.09875,0.1285,0.0807499999999999,0.1375,0.05725,0.04625,0.0767499999999999,0.03525,0.0635,0.0837499999999999,0.38275,0.121,0.084,0.131,0.0424999999999999,0.1315,0.1267499999999999,0.0785,0.0747499999999999,0.0569999999999999,0.1342499999999999,0.0235
American History X (1998),0.991,0.991,0.9765,0.991,0.991,0.9765,0.991,0.99625,0.8707499999999999,0.8687499999999999,0.936,0.92,0.8707499999999999,0.8247500000000001,0.95,0.8512500000000001,0.75725,0.6715,0.5495,0.66975,0.71025,0.4489999999999999,0.5525,0.53025,0.52175,0.48,0.615,0.46725,0.46725,0.4067499999999999,0.4237499999999999,0.99625,0.209,0.40525,0.5445,0.2055,0.4489999999999999,0.4505,0.575,0.23025,0.4167499999999999,0.55475,0.3582499999999999,0.2485,0.3329999999999999,0.421,0.5105,0.4004999999999999,0.4024999999999999,0.46725,0.412,0.17175,0.2005,0.518,0.6785,0.404,0.0702499999999999,0.2815,0.44625,0.39575,0.1982499999999999,0.4115,0.50825,0.1099999999999999,0.6225,0.71875,0.75725,0.3715,0.17625,0.2022499999999999,0.28925,0.177,0.3844999999999999,0.2674999999999999,0.261,0.81375,0.16775,0.15625,0.1357499999999999,0.3185,0.16625,0.54725,0.2309999999999999,0.1455,0.256,0.15625,0.18175,0.1614999999999999,0.2017499999999999,0.1029999999999999,0.4585,0.18375,0.12325,0.21175,0.2264999999999999,0.14175,0.0745,0.2314999999999999,0.092,0.25575,0.24875,0.186,0.90175,0.09025,0.05225,0.252,0.637,0.1004999999999999,0.1735,0.0635,0.22175,0.1679999999999999,0.09925,0.09375,0.11175,0.09175,0.125,0.0832499999999999,0.0509999999999999,0.09775,0.1265,0.0652499999999999,0.134,0.1079999999999999,0.65575,0.059,0.6135,0.1292499999999999,0.126,0.0772499999999999,0.03025,0.064,0.184,0.1305,0.0802499999999999,0.0265,0.123,0.175,0.04975,0.1917499999999999,0.14825,0.04425,0.17075,0.03225,0.0785,0.0765,0.0655,0.0265,0.03325
Grateful Dawg (2000),0.8567499999999999,0.66075,0.748,0.66075,0.66075,0.796,0.67325,0.67325,0.85425,0.4559999999999999,0.55625,0.6155,0.6295,0.8049999999999999,0.657,0.3545,0.426,0.698,0.72175,0.21875,0.4395,0.7782500000000001,0.4385,0.4395,0.55075,0.3642499999999999,0.4855,0.51325,0.7995000000000001,0.4815,0.5055,0.575,0.2827499999999999,0.4395,0.51725,0.3804999999999999,0.53175,0.1139999999999999,0.2684999999999999,0.67925,0.96825,0.2774999999999999,0.44075,0.1345,0.17125,0.38525,0.56575,0.5625,0.0519999999999999,0.2465,0.56875,0.4399999999999999,0.16425,0.3462499999999999,0.26275,0.26225,0.788,0.41325,0.2345,0.202,0.25475,0.3582499999999999,0.1584999999999999,0.14925,0.1355,0.10575,0.33625,0.347,0.18,0.1669999999999999,0.15375,0.4175,0.249,0.17425,0.1357499999999999,0.17425,0.1195,0.18125,0.09675,0.2385,0.10225,0.1164999999999999,0.33875,0.14125,0.14325,0.15675,0.2254999999999999,0.1327499999999999,0.0549999999999999,0.1505,0.1119999999999999,0.477,0.1252499999999999,0.2012499999999999,0.152,0.187,0.145,0.12175,0.11975,0.197,0.21025,0.1119999999999999,0.132,0.3159999999999999,0.12025,0.26875,0.29025,0.09725,0.40125,0.3259999999999999,0.09625,0.03975,0.0727499999999999,0.1634999999999999,0.0944999999999999,0.1109999999999999,0.09975,0.2015,0.09025,0.1415,0.1475,0.0715,0.1545,0.082,0.0795,0.8145,0.04375,0.0835,0.0842499999999999,0.3349999999999999,0.04175,0.04125,0.1574999999999999,0.267,0.0277499999999999,0.23125,0.1995,0.16875,0.04925,0.0292499999999999,0.0875,0.0349999999999999,0.0499999999999999,0.0295,0.1074999999999999,0.0885,0.0615,0.05725,0.067
