movieId,melancholic,original,weird,greed,drama,independent film,culture clash,runaway,drinking,vengeance,good,dialogue,pornography,dysfunctional family,quirky,betrayal,divorce,mentor,catastrophe,sexy,life & death,life philosophy,writers,adaptation,unlikely friendships,light,women,absurd,predictable,multiple storylines,very funny,family,queer,death,surveillance,creativity,not funny,fantasy world,addiction,hotel,chase,transformation,nudity (full frontal - brief),workplace,first contact,hospital,doctors,childhood,british,underrated,nudity (topless - brief),ensemble cast,small town,classic car,fun movie,fight scenes,period piece,farce,california,prejudice,sacrifice,stereotypes,weapons,new jersey,teen movie,road movie,islam,alter ego,new york city,film noir,unlikeable characters,censorship,dreams,irish accent,interracial romance,good music,adoption,directorial debut,wine,pulp,computer animation,memory,tokyo,blindness,too long,survival,notable nudity,internet,brothers,simple,cancer,nudity (rear),wartime,awesome soundtrack,best of 2005,1930s,father daughter relationship,potential oscar nom,bollywood,texas,stoner movie,wilderness,atheism,foul language,mad scientist,alternate history,shopping,stand-up comedy,los angeles,reality tv,robert downey jr,camp,prison,prostitution,kick-butt women,french,lawyer,homeless,single father,hunting,indians,no plot,island,hip hop,documentary,radio,fashion,80s,race,god,oil,san francisco,finnish,australia,kidnapping,graphic novel,rebellion,desert,goth,immortality,russian,ghosts/afterlife,made for tv,buddy movie,snakes,trilogy,too short,time,remake
To Die For (1995),0.98425,0.7635000000000001,0.98425,0.90725,0.7669999999999999,0.91125,0.7669999999999999,0.7669999999999999,0.479,0.54975,0.7669999999999999,0.43925,0.61775,0.60775,0.97625,0.7165,0.24375,0.4399999999999999,0.46025,0.8322499999999999,0.265,0.26275,0.302,0.522,0.10425,0.539,0.3189999999999999,0.7907500000000001,0.3335,0.2219999999999999,0.278,0.16925,0.3215,0.143,0.4912499999999999,0.1535,0.2249999999999999,0.3295,0.277,0.20325,0.15825,0.2194999999999999,0.1317499999999999,0.23775,0.1952499999999999,0.139,0.16475,0.1049999999999999,0.1599999999999999,0.3545,0.0667499999999999,0.2319999999999999,0.4355,0.15825,0.186,0.1885,0.1912499999999999,0.4085,0.32675,0.2015,0.0994999999999999,0.18675,0.366,0.151,0.4539999999999999,0.11075,0.1064999999999999,0.16775,0.0672499999999999,0.25225,0.5585,0.202,0.259,0.15975,0.081,0.1525,0.11525,0.0835,0.236,0.1795,0.135,0.071,0.0737499999999999,0.1405,0.09125,0.05075,0.09875,0.16625,0.0895,0.0697499999999999,0.03025,0.084,0.0685,0.0915,0.1265,0.0815,0.1267499999999999,0.072,0.0795,0.12175,0.062,0.0775,0.0514999999999999,0.0915,0.11425,0.0827499999999999,0.0255,0.0645,0.1282499999999999,0.72525,0.2815,0.0852499999999999,0.1164999999999999,0.0797499999999999,0.1009999999999999,0.0374999999999999,0.1765,0.03475,0.0252499999999999,0.0504999999999999,0.06125,0.0757499999999999,0.03325,0.10175,0.237,0.0404999999999999,0.21475,0.04975,0.05525,0.0354999999999999,0.0319999999999999,0.0404999999999999,0.0202499999999999,0.0584999999999999,0.0727499999999999,0.0539999999999999,0.0549999999999999,0.0242499999999999,0.093,0.0655,0.0282499999999999,0.03575,0.11825,0.0655,0.0295,0.0182499999999999,0.0232499999999999,0.0155,0.0165
Mighty Aphrodite (1995),0.62675,0.7465,0.62675,0.9405,0.9405,0.7902499999999999,0.68325,0.68325,0.559,0.4815,0.6425,0.4845,0.365,0.80575,0.652,0.354,0.4067499999999999,0.479,0.4237499999999999,0.248,0.3265,0.46525,0.4439999999999999,0.4267499999999999,0.474,0.59675,0.29,0.39125,0.2002499999999999,0.3605,0.55325,0.16425,0.1395,0.1545,0.23675,0.32025,0.26175,0.30725,0.16025,0.22275,0.23275,0.403,0.2967499999999999,0.2724999999999999,0.21425,0.16525,0.2189999999999999,0.24825,0.18525,0.2907499999999999,0.12075,0.23175,0.15475,0.208,0.3824999999999999,0.208,0.1965,0.42425,0.2,0.16475,0.09375,0.1855,0.182,0.275,0.11725,0.1119999999999999,0.1054999999999999,0.1972499999999999,0.3592499999999999,0.12425,0.16975,0.1345,0.281,0.09975,0.09225,0.1029999999999999,0.966,0.11075,0.25075,0.18125,0.1932499999999999,0.09225,0.207,0.1725,0.09,0.0767499999999999,0.15175,0.069,0.1255,0.16875,0.0682499999999999,0.08825,0.16425,0.0949999999999999,0.0775,0.1775,0.09025,0.06175,0.0742499999999999,0.06225,0.1154999999999999,0.0817499999999999,0.07,0.11675,0.0974999999999999,0.10825,0.1402499999999999,0.16325,0.11225,0.0359999999999999,0.1144999999999999,0.0529999999999999,0.088,0.61925,0.0549999999999999,0.0722499999999999,0.0707499999999999,0.0857499999999999,0.08,0.075,0.073,0.08925,0.0915,0.06025,0.0449999999999999,0.08825,0.1357499999999999,0.09275,0.10775,0.0449999999999999,0.0454999999999999,0.0449999999999999,0.04225,0.05325,0.10375,0.0519999999999999,0.0632499999999999,0.0519999999999999,0.03525,0.0419999999999999,0.05875,0.05525,0.0424999999999999,0.0767499999999999,0.0349999999999999,0.04875,0.028,0.0509999999999999,0.0257499999999999
Crumb (1994),0.9495,0.9395,0.9495,0.9495,0.8207500000000001,0.77325,0.9495,0.8207500000000001,0.63425,0.86425,0.4992499999999999,0.54875,0.851,0.8685,0.88825,0.4915,0.156,0.503,0.512,0.851,0.5555,0.473,0.29,0.51975,0.32375,0.72,0.59925,0.72,0.512,0.2259999999999999,0.4995,0.355,0.261,0.1332499999999999,0.26425,0.6255,0.33825,0.1714999999999999,0.39425,0.27825,0.26625,0.2835,0.24675,0.2857499999999999,0.512,0.1505,0.26325,0.404,0.2002499999999999,0.31775,0.178,0.11925,0.17675,0.27525,0.275,0.2724999999999999,0.0979999999999999,0.72,0.37525,0.1835,0.089,0.1245,0.208,0.2105,0.14475,0.1912499999999999,0.18325,0.194,0.1397499999999999,0.2455,0.1815,0.638,0.1039999999999999,0.0989999999999999,0.09625,0.2219999999999999,0.1805,0.14475,0.15675,0.1372499999999999,0.2309999999999999,0.0845,0.16475,0.15775,0.083,0.15075,0.1009999999999999,0.2845,0.67,0.0817499999999999,0.074,0.0735,0.069,0.11675,0.26325,0.15025,0.091,0.0662499999999999,0.064,0.1307499999999999,0.09225,0.11525,0.16625,0.0672499999999999,0.1357499999999999,0.077,0.0529999999999999,0.092,0.0579999999999999,0.08725,0.0974999999999999,0.0715,0.089,0.09325,0.1337499999999999,0.0857499999999999,0.0339999999999999,0.09375,0.0237499999999999,0.089,0.04225,0.02,0.089,0.0722499999999999,0.8985000000000001,0.03225,0.0529999999999999,0.0389999999999999,0.0509999999999999,0.0504999999999999,0.11475,0.383,0.04375,0.067,0.1175,0.2835,0.05225,0.027,0.0657499999999999,0.0414999999999999,0.0364999999999999,0.0384999999999999,0.0775,0.05725,0.0579999999999999,0.0344999999999999,0.025,0.05125,0.0147499999999999
Like Water for Chocolate (Como agua para chocolate) (1992),0.92725,0.68475,0.8425,0.7987500000000001,0.6545,0.6545,0.63825,0.63825,0.44275,0.56025,0.8374999999999999,0.433,0.6455,0.62525,0.32825,0.50075,0.8207500000000001,0.522,0.4639999999999999,0.6455,0.501,0.47575,0.29525,0.81725,0.8714999999999999,0.5805,0.673,0.238,0.187,0.21925,0.275,0.41025,0.54125,0.3007499999999999,0.14225,0.33825,0.294,0.4599999999999999,0.1252499999999999,0.184,0.25725,0.36875,0.30725,0.11175,0.1704999999999999,0.17125,0.2095,0.3159999999999999,0.298,0.2644999999999999,0.0974999999999999,0.0632499999999999,0.1094999999999999,0.1962499999999999,0.207,0.2975,0.4815,0.0645,0.1084999999999999,0.4097499999999999,0.3512499999999999,0.1967499999999999,0.15675,0.082,0.24775,0.1745,0.52325,0.1084999999999999,0.0379999999999999,0.0935,0.11225,0.2445,0.1332499999999999,0.201,0.24675,0.16625,0.2324999999999999,0.0837499999999999,0.207,0.1064999999999999,0.1495,0.0544999999999999,0.10525,0.15775,0.1215,0.0984999999999999,0.36375,0.05275,0.12475,0.11225,0.1619999999999999,0.1912499999999999,0.126,0.1064999999999999,0.09325,0.14525,0.22875,0.1004999999999999,0.2007499999999999,0.08825,0.0677499999999999,0.1674999999999999,0.2445,0.0394999999999999,0.0885,0.10775,0.0677499999999999,0.05775,0.0369999999999999,0.0479999999999999,0.05725,0.0827499999999999,0.0857499999999999,0.04375,0.1475,0.0752499999999999,0.04125,0.023,0.0665,0.0969999999999999,0.1262499999999999,0.0715,0.1159999999999999,0.0369999999999999,0.062,0.04425,0.04375,0.0444999999999999,0.074,0.063,0.0399999999999999,0.084,0.0792499999999999,0.11775,0.04525,0.068,0.0964999999999999,0.0815,0.0792499999999999,0.0727499999999999,0.04425,0.1302499999999999,0.0944999999999999,0.0459999999999999,0.04775,0.0652499999999999,0.0439999999999999,0.029,0.0225
Tom & Viv (1994),0.84375,0.8205,0.84375,0.748,0.748,0.81525,0.748,0.748,0.7165,0.66675,0.623,0.70175,0.407,0.42725,0.4692499999999999,0.709,0.744,0.57875,0.432,0.273,0.38225,0.58325,0.3045,0.49875,0.44525,0.41425,0.68275,0.3169999999999999,0.281,0.2,0.23725,0.3685,0.1897499999999999,0.21925,0.3545,0.31825,0.4265,0.31025,0.1392499999999999,0.2194999999999999,0.2185,0.30225,0.3399999999999999,0.2259999999999999,0.23525,0.3864999999999999,0.889,0.2125,0.3562499999999999,0.2175,0.2435,0.076,0.15625,0.255,0.24225,0.26075,0.38875,0.08,0.187,0.3395,0.23475,0.1947499999999999,0.252,0.1455,0.15925,0.12025,0.125,0.30025,0.152,0.1265,0.09475,0.09825,0.255,0.23175,0.1725,0.11675,0.35275,0.08775,0.10325,0.17425,0.2025,0.255,0.0865,0.409,0.24775,0.063,0.21225,0.09175,0.0745,0.122,0.1574999999999999,0.1044999999999999,0.11575,0.0539999999999999,0.03275,0.4629999999999999,0.1267499999999999,0.40325,0.05375,0.05325,0.0969999999999999,0.0785,0.47875,0.0605,0.283,0.10475,0.03475,0.0847499999999999,0.0632499999999999,0.0857499999999999,0.071,0.1175,0.085,0.05275,0.0247499999999999,0.0687499999999999,0.076,0.0969999999999999,0.0822499999999999,0.0574999999999999,0.03525,0.0295,0.076,0.0785,0.0584999999999999,0.0727499999999999,0.1342499999999999,0.0314999999999999,0.135,0.09525,0.05125,0.1195,0.0235,0.0822499999999999,0.0667499999999999,0.10125,0.09625,0.0454999999999999,0.05875,0.0845,0.072,0.0845,0.1114999999999999,0.04575,0.05375,0.04525,0.0202499999999999,0.1014999999999999,0.04625
Mrs. Parker and the Vicious Circle (1994),0.7615000000000001,0.8325,0.56925,0.63625,0.8325,0.8472500000000001,0.8325,0.476,0.72,0.63625,0.8325,0.6845,0.489,0.26325,0.32325,0.3239999999999999,0.12425,0.55325,0.43225,0.3429999999999999,0.3409999999999999,0.52125,0.92525,0.62675,0.4925,0.532,0.1902499999999999,0.47,0.3482499999999999,0.3555,0.46375,0.1815,0.3425,0.18425,0.20825,0.3005,0.32625,0.354,0.59225,0.437,0.26625,0.3379999999999999,0.3037499999999999,0.12325,0.214,0.1397499999999999,0.123,0.15375,0.21625,0.399,0.239,0.73225,0.1545,0.147,0.146,0.24875,0.31475,0.121,0.1297499999999999,0.2244999999999999,0.16375,0.16325,0.174,0.36875,0.15725,0.1124999999999999,0.128,0.26025,0.87625,0.12275,0.23175,0.09925,0.08925,0.2827499999999999,0.1235,0.1975,0.06225,0.14675,0.03175,0.17825,0.16175,0.0939999999999999,0.083,0.1317499999999999,0.0685,0.12475,0.32425,0.1347499999999999,0.091,0.0792499999999999,0.16375,0.1352499999999999,0.0835,0.1975,0.09475,0.7965,0.0772499999999999,0.0677499999999999,0.0675,0.0949999999999999,0.10875,0.2095,0.1029999999999999,0.1144999999999999,0.12225,0.1034999999999999,0.0285,0.11975,0.0989999999999999,0.1109999999999999,0.16775,0.1624999999999999,0.0999999999999999,0.04525,0.06025,0.0682499999999999,0.03075,0.14975,0.03525,0.0449999999999999,0.061,0.04925,0.11975,0.0755,0.09525,0.1252499999999999,0.08625,0.181,0.1315,0.1337499999999999,0.0554999999999999,0.0605,0.09425,0.0652499999999999,0.0559999999999999,0.04675,0.0469999999999999,0.07,0.0717499999999999,0.10625,0.0805,0.0895,0.122,0.04225,0.0635,0.0509999999999999,0.05625,0.0549999999999999,0.04425
Safe Passage (1994),0.69375,0.72125,0.62075,0.711,0.8852500000000001,0.8434999999999999,0.69375,0.56725,0.37825,0.56725,0.711,0.43425,0.555,0.944,0.55325,0.487,0.6345,0.4295,0.5415,0.27975,0.275,0.18,0.3685,0.3632499999999999,0.45375,0.4782499999999999,0.4044999999999999,0.1887499999999999,0.41725,0.51175,0.28425,0.717,0.65925,0.1995,0.54775,0.237,0.32325,0.50225,0.2105,0.15875,0.28,0.2244999999999999,0.2604999999999999,0.1395,0.41725,0.26575,0.14275,0.1694999999999999,0.56975,0.3315,0.3944999999999999,0.3129999999999999,0.207,0.3085,0.3505,0.396,0.249,0.20375,0.20575,0.31025,0.17425,0.14325,0.214,0.2774999999999999,0.21725,0.1704999999999999,0.17225,0.24925,0.156,0.11275,0.31775,0.11475,0.2584999999999999,0.2475,0.2997499999999999,0.17325,0.1977499999999999,0.15625,0.14975,0.17725,0.2774999999999999,0.23475,0.241,0.65175,0.0685,0.1584999999999999,0.1922499999999999,0.11375,0.37875,0.1674999999999999,0.251,0.346,0.1402499999999999,0.17325,0.39075,0.1215,0.1594999999999999,0.0615,0.6705,0.11375,0.126,0.15025,0.3944999999999999,0.1377499999999999,0.087,0.14975,0.04125,0.0682499999999999,0.10425,0.3145,0.178,0.17125,0.11625,0.0692499999999999,0.386,0.0414999999999999,0.15325,0.0785,0.2289999999999999,0.04125,0.09925,0.067,0.0939999999999999,0.20375,0.05975,0.0797499999999999,0.0722499999999999,0.0792499999999999,0.0554999999999999,0.068,0.0177499999999999,0.062,0.0075,0.1292499999999999,0.125,0.0439999999999999,0.21675,0.093,0.06075,0.03525,0.0514999999999999,0.05475,0.08725,0.16075,0.0454999999999999,0.0687499999999999,0.027,0.0369999999999999,0.024
What Happened Was... (1994),0.971,0.70075,0.971,0.79775,0.79775,0.909,0.56075,0.5255,0.79775,0.63675,0.3675,0.7909999999999999,0.27325,0.3565,0.59075,0.36675,0.23375,0.42825,0.4515,0.5945,0.25875,0.2877499999999999,0.62325,0.3502499999999999,0.17375,0.3675,0.3462499999999999,0.6205,0.3429999999999999,0.288,0.24125,0.1029999999999999,0.2189999999999999,0.15025,0.4852499999999999,0.4355,0.34025,0.39525,0.1957499999999999,0.16675,0.23075,0.2319999999999999,0.1967499999999999,0.71025,0.196,0.1305,0.12075,0.14175,0.11075,0.21125,0.15725,0.14075,0.1385,0.2264999999999999,0.146,0.17525,0.09925,0.141,0.088,0.11225,0.064,0.127,0.1465,0.2269999999999999,0.0905,0.1019999999999999,0.0777499999999999,0.09625,0.469,0.1455,0.1285,0.0384999999999999,0.0692499999999999,0.1347499999999999,0.0835,0.0845,0.1114999999999999,0.14,0.3904999999999999,0.20325,0.176,0.08725,0.088,0.0499999999999999,0.182,0.16525,0.0504999999999999,0.1287499999999999,0.0827499999999999,0.12125,0.0429999999999999,0.08925,0.0745,0.10875,0.0494999999999999,0.0757499999999999,0.0429999999999999,0.0319999999999999,0.0742499999999999,0.10625,0.09125,0.0979999999999999,0.0539999999999999,0.0662499999999999,0.0765,0.08875,0.074,0.1129999999999999,0.0305,0.0964999999999999,0.0424999999999999,0.087,0.0662499999999999,0.0359999999999999,0.0509999999999999,0.04725,0.03775,0.24825,0.0519999999999999,0.0167499999999999,0.05675,0.04575,0.04775,0.05675,0.0579999999999999,0.0722499999999999,0.0835,0.05125,0.0519999999999999,0.0667499999999999,0.04075,0.0359999999999999,0.1322499999999999,0.069,0.025,0.0157499999999999,0.0227499999999999,0.03925,0.0569999999999999,0.0499999999999999,0.04625,0.019,0.0835,0.026,0.03125,0.089,0.02,0.0235,0.0107499999999999
"New Age, The (1994)",0.62275,0.69825,0.8907499999999999,0.798,0.667,0.71825,0.54725,0.434,0.62275,0.486,0.54725,0.3255,0.49,0.39,0.8907499999999999,0.63825,0.1992499999999999,0.3735,0.44075,0.51325,0.56975,0.63475,0.4495,0.3185,0.273,0.22075,0.10525,0.9325,0.30525,0.308,0.2564999999999999,0.09275,0.26625,0.2055,0.1955,0.204,0.1925,0.65525,0.2817499999999999,0.1495,0.4922499999999999,0.3045,0.15475,0.17125,0.264,0.14925,0.1977499999999999,0.1285,0.0727499999999999,0.2907499999999999,0.1302499999999999,0.14325,0.2175,0.14,0.125,0.33775,0.15525,0.2564999999999999,0.6385,0.2804999999999999,0.37375,0.1255,0.31625,0.27475,0.088,0.183,0.1225,0.45175,0.11025,0.123,0.35675,0.12425,0.14475,0.2855,0.0964999999999999,0.0645,0.0544999999999999,0.08675,0.12175,0.18625,0.23625,0.1745,0.1129999999999999,0.0424999999999999,0.04925,0.14275,0.0964999999999999,0.189,0.0762499999999999,0.075,0.08875,0.11025,0.1044999999999999,0.1009999999999999,0.2145,0.0805,0.04575,0.0379999999999999,0.1709999999999999,0.2945,0.2224999999999999,0.131,0.04475,0.11575,0.075,0.087,0.2865,0.09475,0.63725,0.15125,0.26525,0.1535,0.0999999999999999,0.1004999999999999,0.181,0.09775,0.0285,0.2584999999999999,0.0217499999999999,0.023,0.05875,0.05525,0.071,0.39575,0.0419999999999999,0.06225,0.131,0.153,0.1365,0.068,0.0504999999999999,0.0252499999999999,0.05725,0.0499999999999999,0.05925,0.04975,0.091,0.0267499999999999,0.1144999999999999,0.0757499999999999,0.05225,0.0735,0.085,0.02975,0.0212499999999999,0.09575,0.0132499999999999,0.0319999999999999,0.0295
Short Cuts (1993),0.897,0.73075,0.735,0.73525,0.73525,0.73525,0.6995,0.73075,0.73525,0.678,0.674,0.697,0.79775,0.56525,0.6905,0.691,0.6395,0.33875,0.643,0.3,0.4499999999999999,0.4465,0.4445,0.4187499999999999,0.23875,0.3542499999999999,0.2495,0.47575,0.643,0.96475,0.3219999999999999,0.1267499999999999,0.195,0.28025,0.32325,0.30825,0.24325,0.308,0.36875,0.2714999999999999,0.2405,0.31375,0.26275,0.3179999999999999,0.643,0.31725,0.25975,0.1325,0.12425,0.3552499999999999,0.1895,0.97825,0.191,0.45675,0.27275,0.22575,0.0807499999999999,0.24675,0.50575,0.1882499999999999,0.1312499999999999,0.11225,0.179,0.20825,0.1084999999999999,0.21875,0.0807499999999999,0.1589999999999999,0.1134999999999999,0.1129999999999999,0.399,0.09675,0.1049999999999999,0.191,0.0742499999999999,0.2754999999999999,0.1159999999999999,0.10075,0.2012499999999999,0.26325,0.0935,0.05925,0.128,0.0687499999999999,0.756,0.3077499999999999,0.176,0.0964999999999999,0.06075,0.11375,0.14375,0.22475,0.1069999999999999,0.2294999999999999,0.20475,0.0652499999999999,0.063,0.0539999999999999,0.05775,0.1375,0.1649999999999999,0.1257499999999999,0.05125,0.123,0.068,0.079,0.0682499999999999,0.0915,0.9525,0.1205,0.95825,0.07,0.142,0.066,0.0574999999999999,0.0469999999999999,0.0605,0.119,0.018,0.05675,0.0765,0.05925,0.0454999999999999,0.1305,0.08775,0.0717499999999999,0.10725,0.1084999999999999,0.0805,0.03375,0.0652499999999999,0.0404999999999999,0.0745,0.05425,0.0474999999999999,0.0207499999999999,0.0419999999999999,0.06175,0.0399999999999999,0.0374999999999999,0.0549999999999999,0.075,0.0499999999999999,0.0564999999999999,0.0295,0.10975,0.145,0.0172499999999999,0.0162499999999999
